THE LAST OF US odc. 9 FINAŁ | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=InCexO5WMJ8
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)

7:  BFP - Ja zwykłem te nasze poniedziałkowe spotkania zaczynać od słów
446:  BFP - I kluczem do tego wszystkiego jest Marlene.
450:  BFP - Biorąc pod uwagę, a to jest właśnie ten kadr, który pojawiał się w zwiastunie jeszcze kilka miesięcy temu, Marlene nie kłamała, kiedy mówiła Ellie, że zna ją od dziecka.
460:  BFP - Dosłownie, od jej narodzin.
462:  BFP - I decyzja, którą ona podejmuje pod koniec tego serialu, versus decyzja, którą podejmuje Joel, zresztą odbierając jej życie,
471:  BFP - Każe właściwie powiedzieć jak echo jej słowa.
476:  BFP - Kim ty dla niej jesteś?
477:  BFP - Ja ją znam od dziecka.
478:  BFP - Ty myślisz, że dla mnie to jest łatwe?
481:  GW - Tutaj z miejsca znają od dziecka, ale nie wychowywała jej i nie spędziła z nią tyle czasu, nie uratowała jej życia, nie miała tak głębokiej relacji.
494:  BFP - Więc pozbyła się jej, oddając ją Fedrze.
499:  BFP - Oddała ją do internatu, do szkoły z internatem w Fedrze, czyli swojemu największemu wrogowi, ale to dlatego, że wiedziała, że to będzie najbezpieczniejsze dla niej miejsce.
508:  BFP - I oddając już głos Krzysztofowi i tobie Grzegorz, mnie poruszyła ta scena, poruszyła mnie przede wszystkim dlatego, że słychać, znaczy widać, nawet gdybym nie grał w gry, nawet gdybym nie wiedział, że
524:  BFP - Ashley Johnson grała Ellie w grze, to widziałbym w niej coś Ellie.
528:  BFP - To jak ona mówi.
529:  BFP - Ten sposób, który przejęła Bella Ramsey.
532:  BFP - To fucking tell them Ellie.
534:  BFP - You fucking tell them.
536:  BFP - Jest tutaj coś takiego, co sprawia, że nie musicie mi mówić, że to jest jej matka.
539:  BFP - Ja to po prostu wiem.
540:  BFP - Ja to widzę i nie potrzeba Marlene, która nie wiem, cokolwiek więcej powie.
546:  BFP - Krzysztof?
547:  KMM - No zgadzam się w zupełności, znaczy ja miałem takie, już od samego początku sceny wiadomo było o co chodzi, więc jak ona powiedziała, że o tak, tak Ellie, no to to było na poziomie somehow, znaczy to nie było na poziomie somehow Palpatine Returns, ale blisko, więc zupełnie niepotrzebnie.
563:  KMM - Druga rzecz, ja miałem wcześniej taką hipotezę, że dlatego... O co miała do niej mówić, przepraszam, baby, no name'ie?
568:  BFP - Myślę, że nadała imię swojemu dziecku.
570:  KMM - Tak, ale chodzi o to, co pokazujesz w dialogach, nie?
573:  KMM - I myślę, że większym priorytetem było to, żeby ją ochronić przed atakiem, prawda, który mógł tam następować.
579:  KMM - Poza tym ja w ogóle tego zasadniczo nie rozumiem, co się dzieje w tym serialu, ponieważ przez ostatnie cztery odcinki starano mi się wytłumaczyć, że zarażenia już nie istnieją.
587:  KMM - Nagle się pojawia jeden, który się dobijał, ale fortunnie, że jeden.
592:  KMM - To jest 14 lat temu.
594:  KMM - No to tym gorzej, nie?
595:  KMM - Bo jakby było dziesięciu zarażonych, no to wtedy miałaby większy problem z odparciem tego ataku.
599:  KMM - No ale dobrze, już załóżmy, że jest wszystko w porządku, no i potem mamy klasyczną taką fabułę wybrańca, nie?
604:  KMM - Że ona zyskuje supermocę w wyniku tego.
607:  KMM - No okej, w porządku, nie ma sprawy.
609:  KMM - Dla mnie jest scena kompletnie niepotrzebna.
610:  KMM - Uważam, że gdyby została całkowicie wycięta, a mówię to, zwróćcie uwagę, no jako człowiek, który mówił, że było za mało retrospekcji w serialu, więc uważam, że ta scena była całkowicie niepotrzebna, jeśli już można było ją wmontować o wiele wcześniej, nie w tym odcinku, nie w tym odcinku.
623:  KMM - Gdzieś na początku, kiedy brakowało bardzo tamtej retrospekcji dotyczącej życia Eli, ta scena później, nie uwierzycie, powiem, okej, ta scena i plansza 13 lat później.
639:  KMM - i potem robimy drugą retrospekcję z życia Eli i w ten sposób mamy zbudowany ten kontrapunkt między retrospekcjami poświęconymi Joelowi, od których serial się zaczynał, i retrospekcjami poświęconymi Elim.
650:  KMM - Dwa wątki wyraziste, które się łączą ładnie i wiodą nas do samego końca i możemy startować wtedy od zupełnie innego poziomu.
657:  KMM - Dla mnie jest cena niepotrzebna.
658:  BFP - To ja mam dwa szybkie kontraargumenty.
661:  BFP - Tak, zgadza się, to jest historia wybrańca, tylko w przeciwieństwie do wszystkich innych historii wybrańców, które znasz,
667:  BFP - Ten wybranic nie zbawił świata.
669:  BFP - O to chodzi.
670:  BFP - This is the point.
671:  BFP - A druga rzecz jest taka, że dlaczego ta sekwencja pojawia się właśnie teraz?
676:  BFP - Ponieważ teraz już poznaliśmy cały background Eli dotychczas i teraz przywiązaliśmy się do Eli i teraz ma większe przebicie emocjonalne, a przynajmniej dla mnie.
687:  KMM - Z tym przewiązaniem się to jest problem pewien.
690:  GW - To ja z kolei powiem tak, jeżeli chodzi o dostarczenie tej sceny, to mogę przyznać rację Krzysztofowi, że tutaj i to jest generalny zarzut do serialu, że czasami raz, że na budowanie tempa i to w jaki sposób przedstawia się pewne elementy historii i świata,
706:  GW - Można tutaj mieć dużo do zarzucenia i być może się zgodzę właśnie, jeżeli chodzi o delivery tej sceny na początku i jak to powiązano potem z kolejnymi scenami tego odcinka.
717:  GW - Natomiast absolutnie nie zgodzę się, że jest scena niepotrzebna.
720:  GW - Właśnie to jest to...
723:  GW - po raz kolejny, tylko że no właśnie z perspektywy osoby, która grała, tej sceny nie było w grze i mieliśmy tutaj uzupełnienie historii, pogłębienie jej, które wydawało mi się bardzo cenne już pomijając kwestie fanservice przez występ Ashley Johnson, który zresztą jest świetny.
742:  GW - To właśnie tutaj nadano raz to, że
746:  GW - to wtedy wszystko wydaje mi się przynajmniej jeżeli mamy jakiś związek emocjonalny z tym wszystkim to bardziej powiedzmy boli.
754:  GW - Ponadto też znamy tutaj motywację Marlene w tym wszystkim.
758:  GW - Więc to jest istotna scena z perspektywy jakby wiedzy o relacjach międzyludzkich i wiedzy o świecie.
766:  GW - Natomiast faktycznie można ją było zrobić lepiej lepiej ją podać i w istocie zgodzę się że jak
776:  GW - Na całą apokalipsę faktycznie znów przedłożono tutaj jakość nad ilość.
781:  GW - Ten jeden zarażony wystarczy, żeby doprowadzić do ludzkiego dramatu, jasne.
787:  GW - Natomiast faktycznie u osób, które chciałyby trochę więcej z poczucia tej apokalipsy i zaszczucia, generalnie w całym serialu zarażonych było...
798:  GW - bardzo mało, ale to inaczej przekłada się na język gry, a inaczej na język serialu, że nie musimy odstrzelić tylu NPC-ów tutaj.
809:  GW - Nawet jeżeli patrząc na finalną scenę, mamy tylko pokazane ileś przebitek, ile Joel tak naprawdę bestialsku wyży na tych ludzi.
817:  GW - Natomiast w grze, z racji tego, że mamy troszeczkę większe oddzielenie emocjonalne od tychże NPC-ów właśnie,
825:  GW - no to możemy sobie znacznie większy body count tutaj odstawić.
831:  GW - Natomiast wracając, zgodzę się co do podania, nie zgodzę się co do samej wartości tej sceny, bo ona jest zarówno fanservice'em, zarówno pięknym uzupełnieniem, a też uzupełnieniem wiedzy o świecie i postaciach.
847:  KMM - Ostatni raz, kiedy widzieliśmy dużo zarażonych, to który był odcinek?
849:  KMM - Czwarty?
850:  KMM - Piąty.
852:  KMM - A w szóstym odcinku była kalka retrospekcji w sensie, że jest jeden zarażony, który atakuje naszych bohaterów.
861:  KMM - Dokładnie to samo, tylko że to było w odniesieniu też do Eli, nawiasem mówiąc.
865:  BFP - Sami rozgrzebaliście jeden z moich głównych punktów zaczepienia krytyki, który jutro pokażę w swojej recenzji.
873:  BFP - To, co teraz widzicie, to, co teraz wam puszczę w tym momencie,
878:  BFP - to jest to czego brakowało mi w tym serialu razy dwa takich scen tu nie chodzi o chmary zarażonych
887:  BFP - Chodzi o poczucie ryzyka i zaszczucia.
890:  KMM - To można budować to jak w ósmym pasażerze Nostromo, gdzie nie widzimy przez trzy czwarte filmu obcego, ksenomorfa.
897:  KMM - To nie jest kwestia liczby ilości.
900:  KMM - Przypomnijcie sobie, że odwołam się jeszcze szybko do World War Z. Tam jest przesada i to celowo zresztą budowana tej chmary jak z Pola Romero i klasycznych filmów o zombie, przewalającej się zombiaków.
911:  KMM - Po czym jest scena na lotnisku?
913:  KMM - ciemnym lotnisku, gdzie jest i morze siedmiu.
916:  KMM - I wyrzynają cały oddział komandosów.
918:  KMM - I człowiek ma ciary.
919:  KMM - To nie chodzi o ilość, nigdy nie chodzi o ilość, ale to chodzi o całe budowanie atmosfery zagrożenia.
923:  KMM - Zgadzam się.
924:  KMM - W sposób, który będzie konsekwentny po prostu.
927:  KMM - Świetnie budowano atmosferę zagrożenia w tym odcinku z kanibalami.
930:  KMM - Nawiasem bardzo dobrze.
932:  KMM - Tylko, że tam też zabrakło właśnie tych zarażonych cały czas, żeby pokazać, że tak, człowiek jest nikczemny dla drugiego człowieka, nawet w obliczu takiego zagrożenia.
941:  KMM - I w grze z oczywistych względów na cutscenach, a nie oszukujmy się to one głównie są adaptowane, no pokazujemy fabułę pozbawioną takiej depikcji zarażonych, ponieważ już jest to w sekwencjach akcji.
955:  KMM - Ale w momencie jak wycinamy sekwencję akcji, no to zostajemy wtedy z adaptacją no właśnie czego?
959:  KMM - Tak duńskiego dramatu społecznego, który będzie się opierał na tym, że mamy długie, powolne kadry.
965:  KMM - Przecież ile trwa ta scena
967:  KMM - Nazwijmy to porą, to ta retrospekcja, ona trwa jedną trzecią tego odcinka.
971:  BFP - No nie, no nie, no nie żartujmy.
973:  KMM - Ona trwa jedną trzecią tego odcinka, zobacz sobie, dosłownie tak, teraz w tym momencie... No dobrze, film trwa 30 minut, więc trwa jedną czwartą.
980:  BFP - Dokładnie w jednej trzeciej.
981:  BFP - I w jednej czwartej.
982:  BFP - No powiedzmy, ale to jest za dużo.
986:  KMM - Pamiętajcie, że myśmy rozkliwiali się nad tym, że coś trwało dwie minuty albo pół trzydzieści sekund i ojej, a tutaj mamy sekwencję, która wypełnia znaczącą część odcinka, a można było ją zamknąć w dwóch sekundach.
1002:  BFP - Będę miał poważny zarzut.
1004:  BFP - Ponownie, nie chcę odkryć wszystkich kart przed moją najnowszą krytyką, bo naprawdę odpalam się parę razy.
1009:  BFP - Krzysztofowo się odpalam.
1011:  BFP - Żebyście mieli też świadomość, że nie lecę aż w tak skrajny fanboizm, który oczywiście słusznie mi się przypisuje, że jestem fanbojem, ale nie patrzę na to zupełnie bezkrytycznie.
1021:  BFP - To też właśnie...
1024:  BFP - Jak mówią Amerykanie, można rzuć gumę i iść jednocześnie.
1027:  BFP - To jest dość prosty multitasking.
1029:  BFP - I można mieć świetne dialogi i można mieć 40 minut mięska, ale można mieć też 20 minut frytek.
1037:  BFP - I ten serial miał z tym problem.
1041:  BFP - Ja lubię frytki.
1043:  BFP - Ale właśnie o tym mówię, że właśnie 20 minut frytek nam zabrakło.
1047:  BFP - I pierwszy odcinek nam to dał.
1049:  BFP - Był długi.
1050:  BFP - Trzeci odcinek nam tego sporo dał, chociaż tam mało było frytek.
1054:  BFP - Mnie tutaj bardzo zabrakło w tym odcinku całej sekwencji, która jest w tunelu, gdzie jest horda zarażonych.
1060:  BFP - Jak potężne uderzenie na sam koniec miałoby wszystko to, co się dzieje w szpitalu, gdyby była jeszcze ta jedna sekwencja Ellie i Joel, kiedy nawzajem którejś z nich ratuje sobie życie.
1072:  BFP - Że muszą uciekać przed zarażonymi.
1073:  BFP - Jeszcze mieliby takie poczucie właśnie udało nam się uciec ponownie przed śmiercią.
1079:  BFP - Po czym idą do szpitala i tam czeka na nią śmierć.
1081:  BFP - Ale odłożę to na bok.
1084:  BFP - Chciałem powiedzieć, że jedna rzecz, którą obaj przemilczyliście, która jest ważna, to też, że ta scena miała światotwórczo znaczenie, bardziej niż fabularnie, że ona wyjaśnia odporność Ellie.
1096:  GW - Ale do tego jeszcze po prostu nie doszliśmy.
1098:  GW - Pominęliśmy.
1100:  KMM - Przeszkodziliśmy za bardzo do przodu.
1102:  KMM - To też będzie podbite w szpitalu przecież w rozmowie.
1105:  GW - Tak, poza tym tutaj jest jeszcze istotniejsza sprawa.
1107:  GW - To się zakreśla tak naprawdę dwa główne motywy, które później rezonują pod koniec odcinka.
1115:  GW - Po pierwsze, co się robi z miłości?
1119:  GW - Bo zauważcie, że jak Marlin wchodzi do pokoju, to Ana trzyma nóż przy szyi
1126:  GW - I ona wie, że w momencie, kiedy poczuje, że coś jest już z nią nie tak, ona sobie poderżnie gardło.
1132:  GW - Także do jakiego stopnia trzeba... No właśnie tutaj widać, jak trzyma ten... Tak, to jest piękna scena.
1139:  GW - To jest przerażająca scena, ale no tak, tak.
1142:  GW - To jest jedno, a drugie to jest to, że co potrafimy zrobić z miłości, potrafimy skłamać i skłamać i jakby dokonać rzeczy, która...
1155:  GW - dla innych może być dużym zagrożeniem, bo
1159:  GW - Anna też zaznaczała, że zakażona ugryzła ją po tym, jak przecięła pępowinę.
1170:  GW - Czyli chciała zaznaczyć, że jakby coś, Eli nie mógł jej sięgnąć w żaden sposób wirus.
1180:  GW - Czyli tutaj skłamała wprost swojej przyjaciółce z dzieciństwa, której potrafiła zawierzyć życie, ale wiedziała, że jeżeli by powiedziała,
1187:  GW - najpierw mnie ugryzła, najpierw mnie ugryzło, a potem urodziłam, to najprawdopodobniej Eli by została też zastrzelona, więc skłamała swoją najwierniejszą przyjaciółkę, która też uratowała jej życie, tylko po to, żeby chronić życie swojej córki.
1204:  GW - Tak więc tutaj mamy to jedno, że co potrafimy zrobić z miłości, jak się poświęcić, a jednocześnie potrafimy też dokonać tragicznych rzeczy, kłamstwa i no, tak że to będzie później jeszcze.
1216:  BFP - które chciałem szybko przeczytać.
1217:  BFP - Jan Guzek napisał, w sumie tę sceną mógłby się zaczynać odcinek, czy tym kadrem.
1221:  BFP - Matka z nożem przy szyi, martwy zarażony na ziemi i ślad ugryzienia.
1226:  BFP - Jan byłbyś niezłym scenarzystą, nie by się to podobało, ale Krzysztof wtedy by powiedział, przemiana w duński dramat nastąpiła.
1234:  KMM - W pełni, kompletnie.
1235:  KMM - Nie, nie, nie, nie.
1235:  KMM - Duński dramat społeczny jest wtedy, kiedy masz... Kiedy by 20 minut tak się działo.
1239:  KMM - Tak, dokładnie, nie, nie, prawda, jest zbyt dużo pierdolenia nad czymś, co jesteśmy w stanie właśnie jedną piękną sceną załatwić.
1246:  KMM - I wiecie, dobrze, dobrze, można dobrze zrobić teatralny film, tego przykładem jest znakomity Wielorebich, fał swą drogą Akademii, że nagrodziła Brendana Fraisera.
1255:  KMM - Tylko że wiecie, jeżeli bym poszedł na ten film złudzony reklamą, że to będzie film o polowaniu na wieloryby i w ogóle będzie dużo akcji, to wtedy wyszedłbym z kina cokolwiek niezadowolony, a teraz do mojego niezadowolenia brakowało tylko tego, żeby Joel i Ellie po drodze mówili, ej, a w ogóle to wiecie co?
1272:  KMM - Bo to są zombiaki, znaczy zarażeni, to jest grzyb.
1275:  KMM - O, popatrz, popatrz, tam za horyzontem, gdzie go nie widać.
1278:  KMM - O, jesteśmy bardzo przerażeni.
1280:  KMM - Tego tylko brakowało.
1282:  BFP - Kurczę, Krzysztof, nie chcę psuć ci imprezy, która trwa trzydzieści kilka lat, ale czasem tytuły filmów są metaforami.
1288:  BFP - Natomiast Dead Grammar napisał, dziękuję za wsparcie, im dalej w sezon, aż do finału mam poczucie skrótów, jakbym grał w grę, w której był srogi crunch pod koniec produkcji i cięcie feature'ów.
1301:  BFP - Czułem coś takiego, to znaczy czułem i będę o tym ponownie mówił, nie tylko jutro, ale też na kolejnym poniedziałkowym spotkaniu, czułem, że skoro mogliście zrobić 80-minutowy odcinek i 70-minutowy odcinek, to czemu nie wycisnęliście więcej z tego budżetu, który mieliście?
1320:  BFP - Ponownie, można mieć steka, ale można mieć też dużo frytek.
1324:  GW - Czy żyrafa była aż tak droga?
1327:  GW - Pionowy jamnik.
1328:  GW - Pionowy jamnik, tak.
1330:  KMM - Pionowy jamnik.
1332:  KMM - No tak, no bo jeżeli spojrzycie, żyrafa to jest pionowy jamnik, wystarczy jamnika obrócić i jest już żyrafą.
1338:  KMM - Proste.
1339:  KMM - Jamnik jest równocześnie poziomą żyrafą.
1343:  BFP - Bardzo mi się podobają.
1345:  BFP - Wszystkie sceny, które są przy tym przeskoku do teraźniejszości.
1349:  BFP - Z żyrafą.
1350:  BFP - Z żyrafą, zaraz do tego dojdziemy.
1354:  BFP - To wszystko, znaczy powiedziałbym, że spośród wielu odcinków, które są wierne grze, ten chyba był najbardziej wierny, scena do sceny, nie licząc początku.
1363:  BFP - I Pedro Pascal zagrał w tym odcinku na tysiąc procent.
1371:  BFP - Ale w jakiś sposób jeszcze dla mnie, nie wiem, urealnił albo unaocznił to, co się dzieje, kiedy on się do niej wdzięczy.
1381:  BFP - Ta zmiana dynamiki w relacji między innymi.
1384:  BFP - Przez cały cholerny czas to Ellie była tą, która próbowała zaczepiać Joella, która próbowała obracać rzeczy w żarty, która wychodziła z inicjatywą.
1394:  BFP - Teraz mamy Ellie, która jest przygaszona.
1397:  BFP - Można zakładać, że to jest to, co wydarzyło się w poprzednim odcinku i dokładnie kadr, na którym skończył się odcinek ósmy, kiedy Jolyon przytula i mówi spokojnie.
1407:  BFP - Ale może to też być po prostu suma wszystkich zdarzeń, wszystkich traum z przeszłości.
1413:  GW - Ja bym jeszcze tutaj stawiał to, że ona jest już przekonana, że kiedy dojdą do tego szpitala, no to ich drogi się rozejdą.
1419:  GW - Więc też podejrzewam, że ten strach przed tym, że się rozstaną jest.
1425:  BFP - A ja mam wrażenie, że nie.
1426:  BFP - Ja mam wrażenie, że ona w ogóle o tym nie myśli.
1428:  BFP - Mam wrażenie, że ona jest tak kompletnie emocjonalnie wyłączona.
1432:  BFP - Jakby w ogóle nie wiem, myśli albo o Riley, albo o Sami, albo o wszystkich nich naraz, albo o Davidzie.
1437:  GW - Na pewno ta suma wszystkich tych traum tu się odbija.
1440:  GW - Myślę, że to jest główny mimo wszystko czynnik.
1443:  BFP - Natomiast zobaczcie, że mamy Joella, którego nie mieliśmy od pierwszych piętnastu minut pierwszego odcinka.
1453:  BFP - I zobaczcie, on cały czas podchodzi do Riley i mówi, ej zobacz znalazłem...
1457:  BFP - Nie wiem, to ravioli, które tak lubiłaś, ej zobacz, a tutaj znalazłem coś takiego, ej a może zagram ci na gitarze i będę ci śpiewał, a może tutaj ruszymy na wycieczkę.
1467:  BFP - Cały czas szuka sposobu na to, żeby w jakiś sposób pocieszyć, ale też żeby wzmocnić te relacje, które jest między nimi, a ona jest całkowicie gdzieś poza tym.
1480:  GW - No tutaj tutaj no właśnie to jest to co już mówiliśmy tutaj między sobą zrobiliśmy tego ping ponga konwersacyjnego że no właśnie mamy mamy tą sumę wszystkich traum te przemyślenia oni też wiedzą że się zbliżają do punktu końcowego i też może właśnie nie jest kwestia też może tutaj źle powiedziałem tego strachu przed tym że się rozejdą ale raczej tego że zazwyczaj pod koniec drogi.
1505:  GW - Nie wiem jak wy, ale ja często przy osiągnięciu jakiegoś celu rozmyślam czasami o tym, co mnie do niego dowiodło, więc może to już ta jej wewnętrzna taka retrospekcja tego, co ich spotkało po tej drodze sprawia, że no staje się bardziej apatyczna, bo ile osób zginęło na jej oczach, żeby osiągnąć ten cel, do którego dążą.
1531:  KMM - Mnie tu zabrakło trochę łącznika między odcinkiem poprzednim a tym, co jest o tyle zdumiewające, że reżyser był ten sam, co odkryłem niewysłowionym zdumieniem.
1541:  KMM - I przypominam, że jedna z ostatnich scen odcinka, ten punkt kulminacyjny, to było morderstwo i to w afekcie w wykonaniu Eli.
1550:  KMM - Ja nie wiem, czy by bardzo zaszkodziło, żeby zamiast jednego z tych kolejnych dialogów, które odwołują się do ich wędrówki, które już przerabialiśmy przez ostatnie 7 odcinków co najmniej, no bo pierwszego nie wliczam, żeby zamiast tego porozmawiali chociaż, nie wiem, jednym z...
1567:  KMM - paroma kwestiami to poruszyli.
1568:  KMM - To naprawdę nie jest dużo, żeby zrobić taki relator do poprzedniego odcinka.
1572:  KMM - Nie rozumiem tej decyzji kompletnie.
