Jak OBALIĆ pruską SZKOŁĘ w POLSCE? | Krzysztof M Maj
🔗 https://www.youtube.com/watch?v=atqWePD2GeM
KMM (Krzysztof M. Maj)
GK (Grzegorz Klimarczyk)

0:  KMM - W dzisiejszym odcinku.
112:  GK - wideo, ale też wypowiada się na temat polskiego szkolnictwa.
117:  GK - I właśnie w tym temacie dzisiaj zaprosiłem go.
120:  GK - Influencer i ma swój kanał na YouTubie Krzysztofem Maj.
123:  GK - Witam cię Krzysztofie bardzo serdecznie.
125:  KMM - Witam serdecznie i bardzo dziękuję za zaproszenie.
129:  GK - A ja również bardzo tutaj żywo interesuję się tym, co publikujesz.
134:  GK - Masz bardzo ciekawe przemyślenia.
138:  GK - są wyostrzone, że tak powiem, ale bardzo lubię takie osoby, które mówią to, co uważają i mówią to w sposób taki nie z przekąsem, ale stanowczym i mam nadzieję, że taka będzie nasza dzisiejsza rozmowa.
152:  KMM - Może nie byłyby tak wyostrzone, gdybym w tym nie siedział.
155:  KMM - Myślę, że to na to wpływa, jak widzę kolejne pokolenia studentów, które przychodzą i kolektywnie stanowią potwierdzenie niektórych z tych test, którymi ja się też bardzo inspiruję, ludzi, którzy wypowiadają się na temat edukacji, konieczności i reformy.
170:  KMM - no to tym bardziej wzbiera w człowieku sprzeciw i oburzenie z tytułu tego, że de facto się nic nie zmienia, poza tym przeciąganie bliny.
179:  KMM - Teraz, przepraszam, że już rozgaduję, ale widziałem dyskusję na temat arkuszy maturalnych, że dyskutujemy na temat tego, że o, czy w jedną stronę, czy 100 pytań mniej, czy 100 pytań więcej, a moja odpowiedź jest taka, a może przemyślmy w ogóle, czy to ma sens jako takie, jako założenie, prawda, matura,
194:  KMM - a nie przeciągajmy linę i będziemy w jednym roku wyrzucać z listy lektur Wojtyłę, ponieważ jest lewica, a w drugim roku będziemy wyrzucać z listy lektur Gombrowicza, ponieważ jest prawica.
205:  KMM - To nie ma sensu, tak?
206:  KMM - A tymczasem problemem jest znowu lista lektur, która funkcjonuje jako centralnie sterowana, tylko w krajach postsowieckich, ewentualnie niektórych rozwijających się.
215:  KMM - Natomiast we wszystkich krajach, gdzie są te najlepsze i najbardziej prestiżowe uczelnie, którymi się tak bardzo przejmujemy i z którymi się lubimy porównywać,
222:  KMM - to jakimś cudem listy lektur są robione oddolnie przez nauczycieli, prawda?
226:  KMM - Więc tej oddolności mi strasznie brakuje, a mam wrażenie, że każdy nauczyciel chyba podpisałby się pod tezą, i akademicki, i średni nazwijmy to, czy nawet szkoleniowiec, który prowadzi szkolenia, korepetytor, że jest niesamowicie duży poziom inercji środowiska,
242:  KMM - że sprzeciwiamy się wszystkiemu niby, to nazywa się ładnie kynizmem, że w dyskusjach potrafimy mówić tak, tak, tak, jest wszystko źle, a potem wracamy i robimy swoje, bo jest właśnie ta bezwładność bardzo duża i przekonanie, że w zasadzie cóż może jednostka zrobić.
257:  KMM - No i to powoduje emocje.
259:  GK - Tak, i to bardzo duże.
260:  GK - Bardzo cieszę się, że te słowa wybrzmiały, dlatego że my generalnie dążymy do tego, żeby doszło do zmiany systemu edukacji, ale chcielibyśmy bardzo, żeby to było oddolne.
272:  GK - oddolne zmiany, tak jak i oddolnie kieruję, zarządzam firmą turkusową.
277:  GK - Chcielibyśmy poturkusowić świat i chcielibyśmy, żeby trochę turkusu zawitało również właśnie w naszym szkolnictwie, żeby te zmiany nie szły od góry.
287:  GK - A powiedz mi, jedno już usłyszałem w tej pierwszej powiedzi, że jesteś praktykiem i gdzieś tam boli cię, że nic się tutaj nie zmienia.
297:  GK - A czy to jest twoje takie prawdziwe dlaczego?
300:  GK - Zająłeś się tym tematem
302:  GK - szkolnictwa i właśnie podejmuje się tej tematyki?
306:  KMM - Tak, tak, absolutnie.
308:  KMM - Powiedziałbym nawet, że to wynika z pragmatyzmu, to znaczy jeżeli teraz na przykład mierzę się z tym, żeby zrobić jakiś film o rywalizacji, ponieważ jeżeli rozmawiam ze 150 osobą dosłownie, studencką, która przychodzi do mnie i mówi mi, że jest problem, tak, bo się cały czas porównuję, że czuję się gorsze albo gorsza,
327:  KMM - I ja mówię, a dlaczego w zasadzie?
329:  KMM - I nie umieją mi na to dać odpowiedzi, skąd w ogóle wzięła się ta potrzeba porównania.
334:  KMM - Albo jak przychodzi do mnie znowuż dowolna osoba i mówi, jestem beznadziejny albo beznadziejna.
341:  KMM - Ja jestem przerażony, bo mnie by nawet do głowy nie przyszło, żeby przyjść do nauczyciela-wykładowcy tam o dziś, kiedy uczyłem się i coś takiego powiedzieć, więc czuję...
350:  KMM - że jakaś bariera została przełamana i kropla przeleła czarę, skoro ludzie już otwarcie komunikują, że mają się za nic.
360:  KMM - Więc to mnie bardzo motywuje do tego, żeby zajmować stanowisko i w zasadzie gdybym mógł, to nie dokumentowałbym tak tych filmów, jak staram się je dokumentować, że tam daję źródła, odsyłam i tak dalej, staram się, żeby to mimo tej powiedzmy wartości rozrywkowej, co mnie bardzo zdziwiło szczerze powiedziawszy,
377:  KMM - miało też te merytoryczne, ale najchętniej tym się dzieje wyłącznie z swoimi doświadczeniami.
381:  KMM - Dlatego też publikuję filmy nieregularnie, dlatego też są czasem takimi zrywami publikowane, bo nagle wychodzi jakiś temat, który nakłania mnie do przemyśleń.
390:  KMM - To jest też wyjaśnienie, dlaczego nigdy nie robię scenariuszy do filmów, bo gdyby to była jakaś przemyślana i przygotowana strategia, no to co innego, ale...
399:  KMM - To raczej wynika właśnie cały czas z bieżącej działalności.
401:  KMM - Śmiałem się wiele razy do ludzi na live'ach, że gdybym, nie dajcie bogowie, przestał pracować na uniwersytecie, to w zasadzie od razu bym przeorientował kanał na streamingi z gier i robienie krytyki growej i nie zajmowałbym stanowiska w sprawach edukacji, no bo już nie byłbym częścią tego systemu,
417:  KMM - Więc siłą rzeczy nie triggerowałyby mnie tak różne rzeczy, które spostrzegam.
421:  KMM - Więc zdecydowanie, gdyby nie to, to nie byłoby nawet powodu, żeby orientować tak kanał.
427:  KMM - Zresztą zawsze starałem się, żeby ta flagowa seria, która u mnie jest dla każdego coś przykrego, była nie tylko o edukacji, ale także o kulturze.
434:  KMM - No ale wyszło, że finalnie jest tam więcej wypowiedzi na temat edukacji, właśnie dlatego, że mam taki zawód, a nie inny.
441:  GK - No właśnie, poruszyłeś fajny wątek, dość wrażliwy.
446:  GK - My też na tym kanale to poruszaliśmy.
448:  GK - Naszym celem fundacji Kreatywnie dla przyszłości i tej playlisty jest to, żeby doszło do zmian w Polsce i doszło do zmiany systemu edukacji, ale na taki właśnie oddolny, który chociażby w Finlandii powstał w latach 80.
461:  GK - On tam po 20 latach dopiero zaczął zbierać plony.
467:  GK - i zaczął przynosić jakieś efekty.
469:  GK - Nie musi to być oczywiście fiński, bo to będzie nasz, polski i jakby będzie wynikał z naszych wartości, z naszych przemyśleń.
475:  GK - Jak coś jest oddolne, to nie będzie jeden do jeden.
477:  GK - Tak jak nie ma dwóch turkusowych firm takich samych, tak nie powinno być dwóch systemów edukacji.
482:  GK - Klucz jest taki, żeby był właśnie oddolny.
485:  GK - Natomiast poruszyłeś ważny wątek.
487:  GK - Poruszyłeś jestem beznadziejna, beznadziejne, czyli niskie poczucie wartości.
494:  GK - uważa, że głównie szkoła, czyli przechodzimy do takich wad obecnego modelu, że to on powoduje, że młodzi uczniowie czy też już studenci czują się w jakiś sposób wypaleni i beznadziejni.
509:  KMM - Jeszcze myślę, że synergia szkoły i rodziny, no bo, ale z drugiej strony mówimy, bardzo często też w środowisku nauczycielskim mówię, że tak, że problem tkwi w rodzinie, a ja wtedy mówię, no dobrze, ale ci rodzice też się gdzieś kształcili, tak?
522:  KMM - Gdzieś zobaczyli te wzorce, gdzieś się nauczyli pytać o ocenę dzieciaka, który wraca ze szkoły, gdzieś się nauczyli, że pasek na świadestwie, gdzieś się nauczyli, że musi być 100%, a nie 99,7%, gdzieś się nauczyli również, że musi być to przejście ze szkoły na studia, co jest
538:  KMM - absolutną nieprawdą i od razu mogę powiedzieć, że z perspektywy wykładowcy lepiej jest, żeby było mniej studentów, ale przekonanych, że są we właściwym miejscu, a więcej ludzi, którzy po prostu cieszą się życiem i nie mają poczucia takiego, że są kimś gorszym, bo na przykład zajmują się stolarką okienną.
555:  KMM - Wręcz przeciwnie, jako człowiek, który półtora roku temu przeszedł przez koszmar remontu i znajdowania specjalistów, wiem, że o wiele bardziej cieszę się z dobrego stolarza, niż z przeciętego profesora
568:  KMM - I o wiele bardziej pożyteczny społecznie jest dobry stolarz niż przeciętny profesor.
573:  KMM - Naprawdę jest w środowisku polskim akademickim za dużo przeciętności ogólnie, przeciętnych doktorów, przeciętnych profesorów, przeciętnych adiunktów, no i niestety też przeciętnych nauczycieli, którzy są przez nich kształceni.
588:  KMM - Problem polega oczywiście na tym, że tych ponadprzeciętnych nie ma i zwykle odpowiedź na to jest taka, no tak dlatego, że nie ma pieniędzy.
597:  KMM - Na co ja zazwyczaj odpowiadam następująco, to znaczy jest pewien problem, gdy widzę te same tendencje w szkole na przykład, na poziomie szkoły podstawowej czy liceum dzisiejszego i dokładnie takie same błędy dydaktyczne, na przykład porównywanie agresywne ludzi najgorszych z najlepszymi wśród profesorów, którzy dostają 8 tysięcy na rękę.
620:  KMM - A zatem to nie jest kwestia pieniędzy, niestety, chociaż oczywiście jasne jest, że potrzebujemy nakładów na edukację wyższych, tylko że nakłady na edukację wyższe to jest jakby coś, na co my oddolnie mamy najmniejszy wpływ, niestety.
632:  KMM - Mamy na to wpływ przy urnie, jak głosujemy na kolejne rządy i kolejne partie.
636:  KMM - Natomiast nie mamy możliwości wywierania bezpośredniej presji.
640:  KMM - To jest też rola związków zawodowych, ale to, co możemy robić faktycznie, to to, żeby budować prestiż w trochę inny sposób.
647:  KMM - I
647:  KMM - odpowiadać na realne problemy środowiska nauczycielskiego, którym na przykład jest absolutne przepracowanie.
656:  KMM - Tylko że właśnie, jeżeli nauczyciel na przykład decyduje się na to, że będzie robić 17 kartkówek, dajmy na to w ciągu roku, gdy nie musi,
666:  KMM - no to można odpowiedzieć w bardzo brutalny sposób, przepracowuje się na własne życzenie.
671:  KMM - Jeżeli do tego zmusza go statut i nic nie robi z tym statutem, nie zgłasza tego do Stowarzyszenia Umarłych Statutów, który robi interwencję w tej sprawie, żeby dbać o to, żeby statut szkolny był zgodny z ustawą, prawo oświatowe i oczywiście też w przypadku uczelni prawo o szkolnictwie wyższym,
688:  KMM - to znowu jest sobie sam winien.
690:  KMM - Jeżeli nie skrzykuje się z całą radą pedagogiczną, żeby dać odpór dyrektorowi, który właśnie wywiera tego rodzaju presję, znowu nie do końca jesteśmy w stanie zrzucić to na kolejną ekipę rządzącą, kolejnego ministra i niskie płace.
703:  KMM - Więc tu jest właśnie ten problem, do którego cały czas wracam, inercji środowiska.
707:  KMM - To znaczy musimy zdać sobie sprawę z tego, że ta oddolna zmiana, faktycznie jak pięknie pisała Anna Schulz w swojej książce, zaczyna się przy tablicy i ja również na uczelni będąc zatrudniony mogę powiedzieć, no tak, no ja przepraszam, najmocniej jest USOS, system stworzony, Uniwersytecki System Obsługi Studiów, gdzie mam kolumnę z wystawieniem cyferek.
726:  KMM - No ja nie mogę wystawić oceny opisowej, bo ja nie mam kolumny ocena opisowa.
731:  KMM - No przy czym ja wysyłam oceny opisowe studentom na privie, a cyferki wpisuję takie, jakie wpisuję i się wszyscy z tego śmiejemy, bo musimy.
738:  KMM - Można, można, prawda?
740:  KMM - Czy stwarzam sobie problem?
742:  KMM - Tak, oczywiście, że stwarzam problem.
744:  KMM - Ciężko jest wystawić 83 oceny opisowe, na przykład jak się ma na wykładzie sporo ludzi, a przez to, że zajmuję się grami i fantastyką, to w zasadzie jest to norma.
752:  KMM - Ale równocześnie mam takie poczucie, że robimy dzięki temu coś więcej.
756:  KMM - Miałem też takie doświadczenie na warsztacie niedawno, że...
758:  KMM - No, powiedzmy, że się średnio pracowało, grupa była mało zgrana, było natomiast kilka osób, które odwaliły i to było widać wyraźnie, robotę za całą resztę.
766:  KMM - Ja wprawdzie staram się właśnie pokazywać, że w ramach zarządzenia turkusowego, poziomego, że powinniśmy się wzajemnie kontrolować, daje to tego narzędzia, pracowaliśmy w skramie, kolaborację kontrolowaliśmy na trello itd., itd., ale zawsze jest ten czynnik ludzki, zawsze jest parę osób, które się wyłamią.
780:  KMM - To, co można było zrobić po mojej stronie, to dać temu wyraz w ocenie opisowej, że tak, rozpoznałem problem, dałem rozwiązania, co mogło zrobić następnym razem, jak będą na przykład w grupie, w pracy, w korporacji, żeby wyeliminować problem zwalania na dwóch team leaderów całej roboty.
796:  KMM - Bo oczywiste jest to, że jeżeli ktoś jest na pozycji liderskiej, wyłania się naturalnie i oddolnie, to jest takie ryzyko, że weźmie na siebie więcej pracy, więc trzeba się nauczyć, także jako lider,
805:  KMM - żeby powiedzieć w którymś momencie stop, nie moment, moment, moment, ja już zrobiłem tyle, a tyle, teraz ty zrób więcej.
811:  KMM - Gdzież ja mógłbym przekazać taki feedback w ramach oceny 5.0 albo 4.5?
815:  KMM - To jest fizycznie niemożliwe.
818:  KMM - Więc bardzo często jest tak, że wybierając to rozwiązanie prostsze,
823:  KMM - kastrujemy edukację z tego, co jest jej celem i sensem.
827:  KMM - Nikt, kto zapłaci na przykład 20 tysięcy złotych za kurs szkoleniowy, a takie ceny kursów są normą, jeżeli chodzi o instytucje certyfikujące, nie zadowoli się 14,5% w ramach feedbacku.
844:  KMM - Będzie jednak pytał, no dobrze, ale co konkretnie powinienem poprawić, nad czym popracować, prawda?
849:  KMM - Nie zadowolimy się taką oceną,
851:  KMM - którą się w stu procentach rodzice i nauczyciele zadowalają na poziomie szkolnym i niestety także zadowalają się uniwersytety na poziomie szkolnictwa wyższego, co już jest absolutnie naganne.
862:  GK - Dobra, to jakbym miał podsumować swoją wypowiedź, powiedz mi czy dobrze zrozumiałem, to takie trzy rzeczy wyszczególniłeś, tej pierwszej rzeczy odnośnie obecnego modelu, tego pruskiego, czyli życzyłbyś sobie, teraz jest według ciebie taki bardziej nastawienie na ilość, a nie na jakość i bardzo ci tego brakuje,
880:  GK - W tym momencie brakuje też jeszcze może profilowania, czyli gdzieś popełniliśmy błędy w promocji kierunków właśnie zawodowych.
889:  GK - Ja to też potwierdzam, to co powiedziałeś, dlatego że jestem w Radzie Rodziców i zaproponowaliśmy dla osób w siódmej klasie, żeby ściągnąć tam osoby, które z zawodów takich jak, nie wiem, krawcowa, jak szef, jak prostych naszych zapomnianych zawodów,
909:  GK - żeby przyszedł ktoś na zajęcia i opowiedział.
913:  GK - I niektórzy rodzice powiedzieli, ale po co, dlaczego, przecież to nie jest przyszłość naszych dzieci.
918:  GK - Więc gdzieś to jednak widzę, że w podświadomości tkwi nam bardzo mocno.
924:  GK - Więc tutaj jeszcze chciałbym, żebyś się odniósł, co według ciebie jest przyczyną tego, czy masz jakieś przemyślenia?
930:  GK - Oceny cyfrowe, które mogą zabijać kontra oceny opisowe, które mogą rozwijać, chociaż są trudniejsze, tak jak sam wspomniałeś dla nauczycieli.
941:  GK - No wspomniałeś jeszcze o wynagrodzeniach, tylko według mnie te pieniądze są źle pożytkowane, bo gdybyśmy postawili na jakość, a nie na ilość, to może tych wykładowców byłoby trzeba mniej, bo i studentów byłoby mniej i mielibyśmy budżet do zagospodarowania.
956:  GK - Tak, i mielibyśmy wyższy budżet do zagospodarowania na mniejszą ilość kadry i jednocześnie moglibyśmy również
965:  GK - pokusić się o dużo wyższe wynagrodzenia, które też są potrzebne, żeby ten zawód wiązał się z prestiżem, z pewnym ukoronowaniem takim miłym, przyjemnym.
975:  GK - To jakbyś się mógł odnieść jeszcze do tego kierunkowania.
978:  GK - Dlaczego u nas panuje takie przekonanie, że nauka zawodów prostych, które nie wymagają studiów, to coś złego, obciachowego, niepożądanego?
992:  KMM - Myślę, że nasze doświadczenie polskie różni się i nie tylko polskie, ale w ogóle wszystkich republik postsowieckich, wiąże się bardzo silnie z kolektywizacją przemysłu i rzemiosła przede wszystkim artystycznego, że ten upadek etosu czeladnika czy mistrza cechowego i tak dalej w tych starych zawodach, no właśnie do tego się przyczynił w dużej mierze
1015:  KMM - ten spotworniały komunizm, który u nas był i który w zasadzie nigdy nie zrealizował ideałów komunizmu, natomiast zrealizował wszystkie po kolei jego patologie.
1024:  KMM - I zauważmy, że kraje zachodnie szczycą się tym, że są różnego rodzaju zakłady rzemieślnictwa artystycznego,
1032:  KMM - które koszmarnych pieniędzy wołają za ich produkty i podkreślają swoją tradycję.
1038:  KMM - Na przykład kapelusznikowie w Londynie.
1040:  KMM - Nie wiem, dlaczego mi to teraz przyszło do głowy, ale widziałem ostatnio jakąś rolkę na Instagramie, gdzie pokazywano stary przyrząd do mierzenia obwodu głowy, który jest wykorzystywany przez Lock and Seal Headers w Londynie.
1055:  KMM - Jeżeli byśmy próbowali u nas znaleźć kapeluszników, no to jedyne co znajdziemy to skolektywizowane zakłady w Skoczowie bodajże, jeśli mnie pamięć nie myli.
1064:  KMM - I tu jest pewien problem spuścizny, na który nie mamy za bardzo wpływa.
1069:  KMM - Z drugiej strony mamy historię ludzi, którzy właśnie zajęli się rzemiosłem, na przykład Tomasz Miller, który był tłumaczem przysięgłym.
1077:  KMM - i symultaniczny na konferencjach, założył swoją firmę, w której oferuje usługi krawiectwa marmierowego, następnie założył garbarnię i jest w tej chwili bardzo dobrze prosperującym przedsiębiorcą o określonym już majątku, renomie i tak dalej, i tak dalej.
1092:  KMM - I przypuszczam, że gdyby ktoś taki pojawił się w szkole, to mało który rodzic powiedziałby, że nie chciałby takiej kariery dla swojego dziecka.
1099:  KMM - To jest właśnie kwestia pewnych wyobrażeń, które w nas zindukowała edukacja.
1103:  KMM - Ale nie tylko edukacja, bo także kultura i sztuka i utwory artystyczne i to wszystko, co my traktujemy jako oczywiste i ciężko nam później się z tym w jakiś sposób rozbratać, a charakterystyczną rzeczą jest to, że jeżeli spojrzymy na kierunek rozwoju technologii, nawet na poziomie bardzo mnie bliskim chociażby, to znaczy sztucznej inteligencji, co do której nie spodziewałem się, że zacznie rugować artystów i pisarzy, a zaczyna, myślałem, że to będzie ostatnie ogniwo, okazało się, że jest to pierwsze,
1133:  KMM - Oczywiście możemy snuć czarne scenariusze, ale możemy też zobaczyć jasny scenariusz, który ja bardzo lubię.
1138:  KMM - To znaczy, jeżeli w większym stopniu ludzi, którzy są, no właśnie, przeciętni, będzie wyręczała w pracy sztuczna inteligencja, to będziemy potrzebowali ludzi,
1149:  KMM - ponadprzeciętnych, a zatem świetnej klasy rzemieślników, świetnej klasy specjalistów, a ja głęboko wierzę, że jeżeli ktoś kocha coś robić, to staje się świetnej klasy specjalistą, naprawdę niezależnie od tego, jaka to jest dyscyplina.
1161:  KMM - To może być grafik 3D, ale to może być równocześnie szewc, albo to może być elektryk, to może być również profesor, ponieważ w tym momencie cała polska nauka jest skoncentrowana na tym, żeby mierzyć jakość dydaktyczną i jakość naukową kadry publikacjami.
1177:  KMM - Więc jeżeli publikacje zacznie pisać przeciętne sztuczna inteligencja, to nagle się okaże, że żebyśmy rzeczywiście byli w stanie się w jakiś sposób od niej odróżnić, będziemy potrzebowali naukowców ponadprzeciętnych.
1188:  KMM - To jest dokładnie to, co się stało z przemysłem.
1191:  KMM - W momencie, w którym wprowadzono prace manufakturowe, nagle się okazało, że praca rąk własnych nieprawdopodobnie podrożała, ponieważ zostali wtedy tylko wysokiej klasy rzemieślnicy.
1200:  KMM - A zatem wygląda na to, że będziemy potrzebowali po prostu teraz bardzo zróżnicowanego pod względem zawodów społeczeństwa.
1208:  KMM - Natomiast fakt, że po pierwsze była ta kolektywizacja rzemiosła, po drugie niestety po latach 80. i 90. zaczęły podupadać technika, ponieważ wyłącznie licea ogólnokształcące się zaczęły liczyć, bo nowa matura, bo handke, który wszystkim wmówił, że każdy powinien mieć studia.
1224:  KMM - I nagle się okazuje, że mamy bardzo dysproporcjonalne kwalifikacje ludzi, to znaczy jest duży naddatek humanistów i osób na kierunkach, które były utworzone po to, żeby ładnie wyglądały w prospektach reklamowych, tak?
1238:  KMM - Te słynne europeistyki i zarządzania na uczelniach, ponieważ weszliśmy do Unii Europejskiej.
1244:  KMM - A teraz nagle wychodzą jak grzyby po deszczu innego rodzaju studia,
1249:  KMM - a wciąż zapomina się o tym, że potrzebuje by w tym momencie bardzo pilnie inżynierów i mówię to ja jako humanista, który uwielbia swoją dziedzinę i uważa, że swoją drogą z inżynierami się najlepiej pracuje i uważa, że każdy humanista powinien mieć kwalifikacje techniczne i odwrotnie,
1265:  KMM - co nie zmienia faktu, że i ja widzę, że mamy absolutny niedobór inżynierów na wszelkich możliwych poziomach w kraju, także dlatego, że sporo z tych rzecz inżynierów najlepszych idzie do najlepszych firm, które są za granicą.
1280:  KMM - Więc kto zostaje u nas?
1282:  KMM - Nie zostaje nikt, ponieważ w tym momencie jest tak, że na kierunki inżynieryjne idą praktycznie najlepsi, są one wypełnione, jest mało miejsc, w związku z powyższym nie ma komu zostać w Polsce.
1294:  GK - Tak, fajne tematy poruszyłeś, przeszliśmy tak naprawdę właśnie płynnie między innymi do czata GDP, nie tylko, właśnie czy uważasz, że on już widzisz, że on będzie miał duże przełożenie na zmianę, dla mnie to jest ta właśnie czwarta rewolucja i po przemysłowej będzie to naprawdę umysłowa, więc to będzie duży przewrót, jeszcze nie wszyscy chyba mają
1319:  GK - tego świadomość, natomiast ja bym się zatrzymał i taki gorący apel w tym miejscu, bo bardzo dużo fajnych rzeczy poruszyłeś i może bym apel zaadresował, bo tu mamy też bardzo dużo rodziców na tym kanale, żeby też szukać w dzieciach, jeżeli szkoła tego nie znajduje, bo powinna szkoła odnajdywać pasję,
1340:  GK - nie robi tego, to przynajmniej my nie pocinajmy dzieciom skrzydeł i jeżeli ktoś chce być, nie wiem, świetnym płytkarzem albo cieślą, albo kimkolwiek, to wspierajmy go w tym procesie, bądźmy ze swoimi dziećmi i kochajmy je takimi, jakimi są, nawet jeżeli wybierają zawód nie do końca prestiżowy, bo jak to, co fajnie podkreśliłeś, jak oni będą robili to z pacji, od serducha, to będą ponadprzeciętni i oni znajdą sobie miejsce i
1369:  GK - Nawet dynamicznie zmieniającej się świecie.
1372:  KMM - Ale absolutnie, jest taka piękna anegdota, powtarzana przez doktora Mikołaja Marcelle zresztą bardzo często.
1379:  KMM - Co ma zrobić rodzic, jak usłyszy od dziecka, że opuściło się w matematyce, ponieważ chodzi na lekcje tenisa.
1387:  KMM - Albo skomplikujemy rzecz jeszcze bardziej, żeby było kontrowersyjnie, kształci się na e-sportowca.
1393:  KMM - i chce wygrywać w turnieju CSGO albo StarCrafta.
1397:  KMM - Więc mądry rodzic da kurs jakiś doszkalający ze sportu albo z tego tenisa zimnego.
1405:  KMM - Natomiast ten, który będzie postępował pod łuk schematu, wyśle na korepetycję z matematyki.
1411:  KMM - I teraz zastanówmy się, jak wiele osób wysłałby na korepetycję z matematyki w takiej sytuacji, prawda?
1416:  KMM - I bardzo dobrze by to uargumentowało, że królowa nauk, że konieczne, że przyda się, że nigdy nie wiadomo.
1422:  KMM - Ale zatrzymajmy się przez moment i zastanówmy, czy właśnie to nie jest ten etap, kiedy podcinamy skrzydła.
1428:  KMM - Bo ja pamiętam, jak postępowali moi rodzice ze mną, mającym w sobie nieprawdopodobny upór, żeby się kształcić pianistycznie.
1437:  KMM - Dawali mi przestrzeń i powiedzieli, ok, chcesz, nie ma problemu, tu jest kurs.
1441:  KMM - Wysłali mnie do szkoły, ale w którymś momencie ja sam powiedziałem, wiecie co, to jednak nie jest dla mnie.
1447:  KMM - Tego samego dnia wypisali mnie z prywatnej szkoły, w której się uczyłem fortepianu.
1452:  KMM - Tego samego dnia.
1454:  KMM - I dla mnie to jest modelowy przykład reakcji.
1456:  KMM - To znaczy, jeżeli ktoś chce się spróbować w jakiejś dziedzinie, dajmy mu na to szansę.
1460:  KMM - Bo do tej cholernej nauki matematyki i innych rzeczy, które są typowe, szkoła przymusi tak czy siak.
1466:  KMM - Ale problem polega na tym, że dzisiaj brutalnie powiem, 80% zawodów, z czego 100% zawodów, które dają duże pieniądze, to nie są takie, do których się przygotujemy w szkole.
1477:  KMM - No, niestety.
1479:  KMM - Jeżeli chodzi o naukę programowania i tak dalej, są takie szkoły, które już tego próbują, ale to wciąż wymaga od nas nieprawdopodobnej pracy indywidualnej, bycia na bieżąco, sprawdzania, które akurat języki programowania teraz są chodliwe, które dadzą nam najwięcej.
1492:  KMM - A teraz było też tak, że dużo ludzi mówiło, o, naucz się projektować gry wideo bądź grafikiem 2D.
1498:  KMM - No i w tym momencie wchodzi Midjourney, DALI i większość firm projektujących gry komputerowe
1505:  KMM - ma bardzo prosty wybór.
1507:  KMM - Albo zatrudnić dodatkowego grafika 2D, albo nie i skorzystać z takich algorytmów i pieniądze, które zaoszczędzał, przeznaczyć na grafika 3D.
1515:  KMM - Bo jeszcze nie ma algorytmów do kreowania dynamicznego i proceduralnego grafiki 3D.
1520:  KMM - W związku z powyższym wszystkie rady zawodowe, jakie były dla uczniów rok temu, już są zdezaktualizowane, bo trzeba się kształcić do grafika 3D, bo grafijcy 3D w tej chwili zarabiają najwięcej.
1530:  KMM - za rok prawdopodobnie będzie jeszcze coś innego, więc to wymaga bardzo dynamicznego reagowania i ułożenie systemu szkolnego w taki sposób, właśnie systemowy, żeby do przedmioty, tak dalej, ustalonej, podstawy programowe, jest bez sensu wobec tego, jak dynamicznie się to rozwija, nie?
