Jak nie błądzić w otwartym świecie (krótki poradnik dla designerów) / Krzysztof M. Maj / 18. SFI
🔗 https://www.youtube.com/watch?v=fb9QGVuAtcs

17:  Dzień dobry, witam wszystkich serdecznie.
1285:  I zauważcie, że te trzy elementy będą ze sobą współgrać i co więcej, tu jest jakaś kotwica.
1291:  która sprawia, że będziemy podróżować po tym świecie, to znaczy zarówno story, jak i content może nas oprowadzać po rzeczywistości, na tej zasadzie, której przywołałem tę dziwną czarną skrzynię z tyłu, mianowicie mogę się nią zainteresować, to jest jakiś punkt, który mnie zainteresował, innymi słowy point of interest i do tego przejdziemy za moment.
1311:  Ale teraz przykład tego, w jaki sposób radzi sobie inny tytuł.
1315:  Mianowicie tutaj oczywiście pojawia się mroczna scena z Elderlingu, gdzie mroczna postać w mrocznym świecie walczy z Lordem Ciemności, który jest mroczny i musi sobie poradzić.
1329:  I oczywiście to jest absolutnie narracja, która będzie pasowała do każdego tytułu wydanego przez From Software kiedykolwiek.
1336:  ale nie zmienia to faktu, że gramy w te gry dlatego, że ona jest spodziewana, dlatego, że lubimy setting dark fantasy i dlatego, że jeżeli zobaczymy taki trailer, to my już wiemy, ok, to jesteśmy w domu, tak, jestem fanem tego gatunku, jestem fanem tej estetyki, ja chcę kupić tę grę.
1353:  I jeszcze tutaj jest jeden element, zauważcie, że to nie jest tak, jak wygląda Elden Ring.
1357:  Elden Ring wygląda dobrze,
1359:  Nie bardzo dobrze, dobrze, ale nie tak dobrze.
1362:  Nie zmienia to faktu, że jednak lubimy być znajamiani ze światem w taki sposób, bo w ten oto, na tę modłę, w ten oto sposób jesteśmy w stanie zobaczyć ten świat troszeczkę z innej perspektywy.
1374:  To też jest, moi drodzy, narrative.
1376:  I ten narratif może wyznaczyć nasz roleplay, może wpłynąć na to, jak będziemy chcieli grać i tutaj wchodzi na białym rumaku zjawisko znane jako fashion souls.
1387:  No tak, oczywiście, że możemy wybrać rynsztunek, który będzie najbardziej optymalny w walce z przeciwnymi natury monstrami,
1395:  ale równocześnie fajniej będzie wyjść w takim, który po prostu wygląda ładnie i ten purpurowy płaszcz się będzie za nami snuł wtedy, kiedy będziemy dostawali cięgi od jakiegoś kolejnego potwora i bossa.
1406:  To jest istota roleplayu i jeżeli gra na to pozwala, uważam, że gra będzie nieśmiertelna.
1412:  dlatego że gracze wracają do gier tylko z tego względu, że jest to jedyne medium, które daje nam taki poziom interakcji ze światem i możliwość wyrażenia siebie, co jest kluczowe.
1423:  W przypadku czytania książek, oglądania filmów, czytania komiksów, oglądania animek, tego nie będziemy mieć nigdy.
1429:  No i wreszcie ta innowacja, którą wprowadził Elden Ring i która jest interesująca z perspektywy historii gier FromSoftu.
1436:  Minor spoilers, bo otwarta jest cała mapa wyeksplorowana, ale i tak tego nie widać, więc się nie przejmujmy.
1441:  W każdym razie w Elden Ringu została wprowadzona mapa, coś przed czym FromSoftu broniło się niesamowicie.
1447:  Ba, znajdą się tacy gracze, którzy twierdzą, że to nie jest prawdziwa gra FromSoftu, jeżeli jest w niej mapa, to ułatwia satanie.
1454:  Przecież oczywiste jest to, że częścią doświadczenia gier FromSoftu nie jest to, że bijemy się z bossami, tylko to, że gubimy się w drodze do nich.
1462:  Naturalna sprawa.
1463:  To wpływa na poziom trudności i oczywiście zwiększa naszą przyjemność z grania.
1467:  Wcale nie wpłynie na to, że odkłożymy grę i nie będziemy chcieli w nią grać.
1471:  To był mój przypadek, swoją drogą, bo ja się zawsze gubię w grach wideo, więc mam bajas pewien, z którego się w tej chwili spowiadam.
1476:  Niemniej została wprowadzona taka mapka.
1479:  Czy ona coś pomaga w nawigacji?
1481:  Nie do końca, ale zauważcie, że tworzy kolejną warstwę narracyjną tego świata.
1487:  No to jest mapa, która krzyczy.
1490:  XV, XVI wiek, fantasy, dark fantasy wręcz i pozwala nam zanurzyć się w tę rzeczywistość, dając jakieś absolutne minimum informacji, ale jak się bardzo przyjrzymy i tego absolutnie nie widać, więc musicie mi z tego zaufać, że tak jest, na tej mapce będą takie bardzo ładne ogienki, które prowadzą nas w jakimś bliżej nieokreślonym kierunku.
1509:  To jest sposób FromSoftu na to, żeby pokazać nam
1512:  w tamtym kierunku należy iść.
1514:  Co ciekawe, usiłowałem sprawdzić rzeczywiście, w którym kierunku pokazują te ogieńki, okazuje się, że absolutnie we wszystkich, więc to jest kolejny troll ze strony From Software.
1522:  Niemniej myślę, że fakt, że nawet taka gra, która od samego początku akcentowała to, że w światach From Softu mamy czuć poczucie zagubienia i doznawać tej tęsknoty za rzeczywistością, w której wszystko jest proste,
1538:  poszła w takim kierunku i zrewolucjonizowała swoją formułę, oznacza, że coś z tymi otwartymi światami jest.
1543:  Bo chyba zgodzimy się, że najmniej intuicyjnie dopasowaną grą do otwartego świata jest korytarzowy Souls-like, który musi być korytarzowy, musi być labiryntowy z tego względu, że dozuje nam informacje.
1559:  Zauważcie, że jest inna sytuacja, kiedy macie tutaj jedną informację i później za pięć metrów następną i pamiętacie je, a inna w sytuacji, gdy eksplorujecie przez 40 godzin otwarty świat i dostajecie tak samo rozrzucone informacje, tylko o cztery rzędy wielkości w większym wolumenie.
1574:  Dostajecie ich tysiące, a nie dziesiątki w obrębie jednej lokacji czy jednej instancji.
1580:  To wszystko zmienia i uważam, że to jest jeden z elementów, w których
1585:  Elden Ring nie działa, to znaczy są tutaj dwie filozofie zaprojektowania gry.
