Kiedy BOJKOT ma sens, a kiedy zmienia się w ABSURD?
🔗 https://www.youtube.com/watch?v=95VZBqBvPNQ
KMM (Krzysztof M. Maj)
OR (Oskar Rogowski, Napisy Końcowe)
GW (Grzegorz Wątroba, Okiem Deva)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

20:  BFP - Szanowni, witajcie na, mam nadzieję, jednej z najciekawszych dyskusji w historii tego kanału.
507:  GW - 850 milionów dolarów zarobiła w niecały miesiąc, co i tak jest tylko ułamkiem tego, co faktycznie cała franczyza zarabia, więc kłócenie się w ogóle to jest właśnie to, do czego też będę ja starał się zmierzać, że jeżeli planujecie
530:  GW - cancelować jakąś osobę przez jej środki, przez media, z którymi jest powiązana, to zalecam uwagę
542:  GW - jakby pokazywaniu palcem innym, co mają robić.
545:  GW - Dlatego, bo jeżeli chcecie faktycznie wskazywać, że nie powinni czegoś robić, to warto być tutaj konsekwentnym.
553:  GW - Jeżeli chcecie być konsekwentnym, to jeżeli odrzucacie grę albo pokazujecie, że granie w grę jest dowodem na transfobię, to tak samo czytanie książek, słuchanie muzyki
562:  GW - kupowanie klocków LEGO czy oglądanie filmów jest dokładnie tym samym, a o ile dobrze pamiętam to tak wielu protestów nie było w przypadku właśnie produkcji związanych z franczyzą, więc poza tym dodatkowo tutaj hejt właśnie rozlewa się, to też jest mi bardziej bliskie sercu ze względu na to, że jestem w tej branży, ale
586:  GW - historię deweloperów, na których gracze bądź różne środowiska najeżdżały mówiąc, że są transfobami tylko dlatego, że pracowali przy tej grze, zostali zatrudnieni bądź pracowali akurat w studiu, które pracuje nad takim produktem do tego stopnia, gdzie ludzie sami
607:  GW - już się albo zwalniali, albo wymagają teraz opieki psychologicznej, z czego w studiu na przykład pracują osoby raczej bliższe właśnie grupom LGBTQ+, które mówią, że
625:  GW - Mimo, że pracuję przy tej grze, to na wszelki wypadek, moim zdaniem, jeżeli nie chcecie naprawdę w żaden sposób wspierać JKU Rolling, bo według danego dewelopera, którego akurat historię przytacza jeden artykuł, ona nie zasługuje na to, żeby zarabiała w jakikolwiek sposób na swoich tezach,
647:  GW - ale jednocześnie właśnie mamy dewelopera, który nie popiera tego, pracuje tam, ale dlaczego on akurat ma dostawać baty w internecie i otrzymywać falę hejtu, że pracuje akurat w studiu, które pracuje nad tą grą.
663:  GW - Więc jakby mam wrażenie, że w wielu kwestiach to niezadowolenie społeczne, czy furia, czy właśnie ten hejt jest po prostu skierowany w niewłaściwym kierunku i dodatkowo z niewłaściwą skutecznością, jak już Krzysztof zauważył, ze względu chociażby na skalę środka kultury, do którego się ludzie przyczepiają.
685:  GW - On jest po prostu aktualnie najbardziej nośny, jasne, ale niekoniecznie najbardziej skuteczny.
691:  GW - i dodatkowo ludziom pobocznym tak naprawdę dostaje się i wydaje mi się, że bardzo niezasłużenie.
699:  OR - Oskar.
701:  OR - Mój duży problem polega na tym.
705:  OR - Mam wrażenie, że wiele tego, co się dzieje, wynika z tego, że jest to łatwe.
712:  OR - Zawsze, jak Krzysztof wspomniał o osobach, które faktycznie chodzą na różnego rodzaju
720:  OR - Protesty, kiedy na przykład nasza władza robiła różne bardzo złe rzeczy w stosunku do osób LGBT+, to nie jest takie proste.
731:  OR - Musisz wyjść z domu, musisz narazić się, musisz nastawić karku, może spędzić noc w areszcie.
738:  OR - Kiedy starasz się mówić o tematach, które wiesz, że nie są nośne i nie są w tym momencie najpopularniejszą grą, która wychodzi.
747:  OR - Kiedy
749:  OR - Mowa tu na przykład o pomocy psychiatrycznej, o sytuacji osób w szkołach, o tym jak te wszystkie rzeczy wyglądają, o różnych prawach, o bullyingu, o znęcaniu się, o wszystkich tych rzeczach.
764:  OR - To nie jest proste, bo musisz...
767:  OR - Poświęci na to czas, znaleźć odpowiednie osoby, znaleźć odpowiednie organizacje.
772:  OR - Często wyjść z domu, ale też nadstawić trochę karku, bo często jeżeli robisz to w sposób naprawdę zaangażowany, to nie jesteś zwykle anonimowy.
782:  OR - Więc musisz też trochę jakby siebie wystawić na to wszystko.
786:  OR - I to są osoby, które ja absolutnie szanuję, to za mało powiedziane jest.
793:  OR - sam jakby za każdym razem, kiedy myślałem o pewnych jakby rzeczach, które robiłem, to jakby wiecie, kliknąć, gdzieś wpłacić kasę czy coś takiego, to są najprostsze rzeczy, jakie możemy robić.
804:  OR - Natomiast wszystko, co robią te osoby jest znacznie trudniejsze i mój problem w dużej mierze polega na tym, że wspomnieliście o masie innych sytuacji, w których tego typu rzeczy się dzieją, w których ten ta nagonka, czy ten bojkot, czy inne rzeczy są
820:  OR - znacznie mniejsze, niesłyszalne, niezauważalne, niewidzialne, kiedy ludzie, którzy są faktycznie poświęceni temu, żeby zaistniała wreszcie jakaś normalność i żeby ludzie faktycznie, którzy są najróżniejsi, mieli takie same prawa i byli tak samo traktowani, poświęcają całe życia, często swoje, prywatne też, na walkę o te prawa,
846:  OR - I to jest trochę, mam wrażenie, że w wielu miejscach niestety ten cały bojkot, chociażby gry komputerowej jak w tym miejscu, to jest jak wiecie, osoby, które wychodząc z Maca wrzuciły słomkę do odpowiedniego pojemnika, jakiś tam kubek do innego pojemnika, jedzenie do odpowiedniego, już z głowy, recycling, walka o planetę, zakończone, już done, zrobiliśmy, swoje odwaliliśmy.
873:  OR - I jakby nie ma nic prostszego niż wejść komuś na stream i wyzywać go od transfobów.
880:  OR - Nie ma nic prostszego niż jeszcze anonimowo napisać komentarz.
887:  OR - To cię nic nie kosztuje, w żaden sposób się nie wystawiasz i na dobrą sprawę nie przyczyniasz się w sumie do absolutnie niczego sensownego.
897:  OR - I mówię, to jest mój największy problem z tym, ponieważ ja sam widzę też
903:  OR - będziemy o tym pewnie rozmawiać, bo przed, zanim zaczęliśmy nagrywać, Grzegorz wspomniał o tym, że cała popkultura jest w sumie skażona w jakiś sposób.
914:  OR - I mój problem w tym wszystkim polega na tym, że łatwo możemy sobie wybrać ten temat, bo jest nośny, bo teraz akurat możemy napisać, ale jednocześnie coś, co nam jakkolwiek zaburzyłoby strefę komfortu,
928:  OR - bo akurat kupujemy grę Ubisoftu, choć tam po prostu sprawy o molestowanie są rok w rok jakieś wychodzą i spada na kozła ofiarnego i leci dalej.
938:  OR - Blizzardzie nawet nie wspomnę i inne tego typu rzeczy.
943:  OR - Ale wiecie, ja lubię tą grę i nie jest o niej głośno, więc jak będę w nią grał, to w sumie nikt nie zauważy, to okej, ale tutaj mogę przyłączyć się do tego tłumu, wejść w tą całą narrację i uderzyć razem.
955:  OR - I mnie w tej sprawie to jakby bardzo rusza z tego powodu, że mam wrażenie, że przez to prawdziwy problem jest drugorzędny, bo ważniejsze jest zbaszowanie ludzi, którzy grają i gry, niż faktycznie poruszanie problemu, który tutaj występuje.
971:  KMM - Chciałem podbić jedną rzecz od razu na szybko, bo Oskar mówi kluczową kwestię.
977:  KMM - Ja starałem się dyskutować racjonalnie, wybrałem do tego najgorszą z możliwych platform, to znaczy Twittera, ale postarałem się przedstawić argumenty i nikt mi nie napisał w komentarzach, miałem tam kilkaset komentarzy.
990:  KMM - dlaczego nie bojkotuje platformę HBO Max, która dosłownie należy do Warner Brothers i w której dosłownie jest zakładka Harry Potter, dosłownie.
999:  KMM - Dlaczego nie?
1000:  KMM - To jest najprostsza rzecz, jak można cancelować subskrypcję.
1003:  KMM - No i odpowiedź na to pytanie nie została udzielona ani razu, nikt mi nie udzielił tej odpowiedzi, bardzo z prostego powodu.
1009:  KMM - Mianowicie ludzie wolą mieć platformę HBO Max, bo z niej korzystają.
1012:  KMM - Natomiast bardzo często pojawiało się zdanie, będziesz w gierkę grał.
1017:  KMM - Więc mamy stary polski problem, moi kochani, tutaj, który się dołącza, to znaczy pogarda dla konkretnego medium i traktowanie grania w gierkę jako czegoś gorszego niż czytania książki.
1030:  KMM - W związku z powyższym łatwiej jest niewątpliwie to zbojkotować w taki sposób,
1034:  KMM - I równocześnie łatwiej jest przymknąć oko na harassment, który się rozlał w sieci.
1039:  KMM - Ja przypominam, że Hasan Nabi, lewicowy streamer, który zrobił ostatnio zbiórkę kilkaset tysięcy euro zebranych na Turcję i trzęsienie w ziemi, dostawał pogróżki.
1050:  KMM - Miał problemy równocześnie bardzo duże od wszystkich, którzy powiedzieli, że jest transphobem z oczywistych względów, jeżeli powiedział, że...
1057:  KMM - Zająwszy oczywiście takie racjonalne stanowisko, niech bojkotuje każdy we własnym sumieniu, ale nikomu niczego nie narzuca.
1063:  KMM - I oczywiście komu się oberwało w sieci?
1065:  KMM - No komu się oberwało w sieci?
1066:  KMM - No pewnie, że kobietom się oberwało w sieci.
1068:  KMM - Oberwała Girlfriend Review, której grożono śmiercią na jej streamach i oberwała równocześnie jeszcze jedna streamerka, o tym mówił Asmongold, jak jesteście zainteresowani, to zrobię na ten temat materiał.
1079:  KMM - A dlaczego oberwali?
1079:  KMM - Dlatego, że ha ha ha, aktywiści, w odróżnieniu od prawdziwych aktywistów, którzy walczą o prawa osób trans, zmontowali sobie stronkę.
1086:  KMM - Have they streamed this wizard game?
1089:  KMM - Gdzie sobie mogli wyszukiwać, kto na bieżąco streamuje.
1092:  KMM - I jak myślicie, jaka jest intencja osoby, która zakłada taką stronkę?
1096:  KMM - No oczywiście chodzi o to, żeby każdy zalogował się tam i w racjonalny sposób wyjaśnił, dlaczego akurat teraz wyszła sprawa transphobia JK Rowling, ponieważ opublikowała książkę, w której wykorzystuje swoją drogą anegdotyczne przykłady związane z przestępstwami osób trans i czyni osobę trans negatywnym bohaterem.
1115:  KMM - A może dlatego, że w ciągu ostatnich czterech miesięcy nie zrobiła ani jednego tweeta o Hogwarts Legacy, za to zrobiła milion tweetów, które mogą być kwalifikowane jako transfobiczne.
1124:  KMM - I dlatego zakładamy, że ludzie oczywiście to wyjaśnią, prawda?
1129:  KMM - Za poziomem jednej stronki.
1130:  KMM - Oczywiście, że nie.
1131:  KMM - I zaczął się harassment.
1132:  KMM - I najprostsze wyzwiska, które w sieci się zaczynają wtedy, jak wybierze się nie drogę racjonalnego argumentu, tylko drogę ewangelizacji.
1141:  KMM - I to jest ten wątek, który chciałem podrzucić do dyskusji.
1144:  KMM - Ja nie będę nigdy jako naukowiec, jako człowiek, który argumentuje racjonalnie, przyłączał się do protestu, bo masz protestować tak jak my.
1154:  KMM - Jak nie jesteś z nami, to jesteś przeciwko nam.
1156:  KMM - Gott mit uns.
1157:  KMM - Przepraszam najmocniej, ja mam wstręt do tego rodzaju praktyk religijnych, które wymuszają na mnie ślepe podążanie za tłumem, z widłami najlepiej i dźganie wszystkich wokół.
1167:  KMM - Bo prowadzi to wyłącznie do nienawiści, nie prowadzi to do... Ja nawet się nie dowiedziałem, macie pojęcie, od premierzy tej książki Rowling.
1175:  KMM - Ja nie wiedziałem o tej sprawie.
1177:  KMM - Czyli wszyscy aktywiści, którzy się zaangażowali w to w mediach społecznościowych,
1182:  KMM - zawiedli wszyscy.
1183:  KMM - Bo dowiedziałem się o tym w DM-ie prywatnym od jednej z osób, która mi postanowiła wyjaśnić sprawę.
1189:  KMM - Ja...
1191:  BFP - Podbiję parę rzeczy, które powiedział Oskar, które były bardzo ważne, bo cieszę się, że jesteśmy tu we czwórkę i mamy różne perspektywy, bo ty Krzysztofie wytaczasz działa i jasno nazywasz problem, który został wygenerowany w kontekście tego bojkotu.
1206:  BFP - Ja odniosę się do komentarza Meraksesa20, który napisał Ktoś na polskim YouTube poparł bojkot oprócz Gargamela?
1212:  BFP - Moja odpowiedź brzmi
1216:  BFP - To nie jest istota problemu, o którym rozmawiamy.
1218:  BFP - Tu nie chodzi o to, czy ktoś poparł bojkot, tu chodzi o to, w jaki sposób prowadził ten bojkot.
1224:  BFP - I zaczyna mnie przerażać policja moralna, która w jakiś sposób samoistnie ukształtowała się w twitterosferze, która próbuje
1233:  BFP - naprawdę egzekwować na innych pod groźbą sankcji, które sama wymierzy i wyegzekwuje, sposób podchodzenia do konkretnych dzieł, czy też nawet przyjmowania jakiejś formy bojkotu.
1246:  BFP - I ja przygotowując się do tego naszego dzisiejszego spotkania, przeczytałem kilka ciekawych artykułów, bo właśnie od czego wychodzę?
1254:  BFP - Żebyśmy nie myśleli w sposób binarny, czyli ci bojkotują, ci nie bojkotują.
1258:  BFP - Okej, to tu mamy czterech ludzi, którzy nie bojkotowali.
1261:  BFP - Nie.
1262:  BFP - Mnie trudno jest to bojkotować, bo nie jestem osobą transpłciową.
1266:  BFP - I chciałem zrozumieć perspektywę innych osób.
1268:  BFP - Znaczy po pierwsze poszukałem opinii osób transpłciowych, które są fanami Harry'ego Pottera i które odwróciły się od tego świata naprawdę bojkotując.
1276:  BFP - A zbojkotowały to w taki sposób, że napisały kilka mądrych postów i powiedziały nie będę już czytać Harry'ego Pottera, bo ten świat, ten eskapizm, o którym często też Krzysztof mówi, ten eskapizm, który pomógł mi w czasach mojego kształtowania się jako osoby, nie tylko płciowo,
1291:  BFP - ale też po prostu psychicznie jako osoby przestał być dla mnie bezpieczny, bo mam świadomość tego, kto jest jego autorem czy autorką.
1299:  BFP - Z drugiej strony czytałem wypowiedzi osób, które mówią na Boga, ja jestem osobą transpłciową i ja gram w Hogwarts Legacy, proszę przestańcie mówić za mnie, co ja mam czuć, bo występujecie w moim imieniu osób LGBT, pomimo, że być może nawet nie należycie do tej społeczności, wyrządzacie szkodę innym,
1317:  BFP - Mówiąc, że robicie to dla mnie, nie robicie tego dla mnie.
1319:  BFP - Więc czytałem różne opinie, ale przeczytam Wam tą jedną Zuzanny Tomaszewskiej, która napisała tekst na temat, czy na łamach na temat o tym, dlaczego nie zagra w Hogwarts Legacy.
1331:  BFP - W sensie, ja się z nim nie zgadzam, ja zagram w Hogwarts Legacy.
1335:  BFP - Ale byłem ciekaw jej perspektywy, ponieważ naprawdę fajnie faktograficznie pozbierała różne tweety i różne wypowiedzi J.K.
1342:  BFP - Rowling, tłumacząc naprawdę sensownym ciągiem logicznym, co to znaczy, że nie zamierza grać w grę.
1348:  BFP - Ale wiecie od czego zaczyna swój tekst?
1350:  BFP - To jest lead, to jest pierwszy akapit, który otwiera ten tekst.
1353:  BFP - Przeczytam go verbatim.
1355:  BFP - Od razu napomknę, że nie osądzam tych, którzy decydują się zagrać w dziedzictwo Hogwartu.
1361:  BFP - Gdyż to nie do mnie należy ocenianie ludzkiej moralności i wolnej woli.
1365:  BFP - Każdy z nas ma inną definicję tego, co etyczne, a sama nie chcę nikomu niczego narzucać.
1371:  BFP - Postaram się jedynie wyjaśnić, co skłoniło mnie, cis kobietę, do zrezygnowania z kupna gry, o której przez całe dzieciństwo marzyła dziesięcioletnia ja.
1379:  BFP - Gdyby w taki sposób ludzie na czatach na Twitchu
1383:  BFP - na YouTubie, na Twitterze, na Discordzie byli w stanie formułować swoje zdanie, to żelibyśmy w zupełnie innym świecie.
1390:  BFP - Ale tak nie jest.
1391:  BFP - I też prosiłbym, żebyście wy na czatach oglądający nas teraz
1396:  BFP - Nie mieli poczucia, że my bierzemy czyjąś stronę.
1399:  BFP - Ja na pewno nie mogę wypowiedzieć się za resztę, będę starał się piętnować rzeczy, które są dla mnie niewłaściwe.
1405:  BFP - Dla mnie niewłaściwe są zarówno wypowiedzi bogatej, rozpieszczonej milionerki, która osiągnęła w życiu w zasadzie wszystko i wydaje jej się, że robi coś dobrego dla kobiet, robi coś szkodliwego dla grupy znacznie bardziej społecznie wykluczonej, poszkodowanej, a i z drugiej strony ludzi, którzy wyrządzają autentycznie szkodę innym ludziom,
1424:  BFP - Robiąc im werbalną krzywdę, wchodząc na streamy i robiąc rajdy.
1429:  BFP - Więc warto jest znaleźć gdzieś taką przestrzeń, do której możemy się zgodzić.
1435:  BFP - I ja może zacznę od niej.
1438:  BFP - Jestem zdania, i naprawdę z tego nie zrezygnuję, że w kwestii bojkotu, podobnie jak w kwestii moralności, to jest trochę jak z eutanazją i z aborcją.
1447:  BFP - Ja jestem zdania, że każdy powinien móc podejmować aborcję.
1451:  BFP - decyzję w zgodzie ze swoim systemem moralnym.
1456:  BFP - I jestem przeciwnikiem tego, żeby ingerować w to i żeby narzucać komuś taki, a nie inny system.
1462:  BFP - Ja nie będę streamował gry Atomic Heart.
1465:  BFP - Stopniując to, ja nie kupię gry Atomic Heart.
1468:  BFP - Jeżeli jakiś mój przyjaciel kupi grę Atomic Heart i powie mi, grałem, jest zajebista, nie będę miał mu tego za złe.
1474:  BFP - Jeżeli będzie streamował
1476:  BFP - Chętnie wejdę z nim w dyskusję, ale nigdy nie powiem swojej społeczności bez schematu.
1481:  BFP - Mam prośbę, wejdźcie na jego stream i zmieszajcie go z błotem, bo robi coś, czego ja bym nie zrobił.
1488:  BFP - I z tego miejsca oddaję tobie głos, Grzegorzu.
1491:  GW - No właśnie, to jest istota sprawy, że niech każdy podejmuje decyzję co do tego, czy będzie bojkotował, czy będzie grał w jakąś grę, czy będzie oglądał jakiś film, czytał książkę i korzystał z każdego innego medium we własnym zakresie, ale niech nie wymusza tego innym.
1509:  GW - Dlatego, bo
1511:  GW - Tutaj jest próba zwrócenia uwagi na aspekt inkluzywności, równości w społeczeństwie, niewykluczania pewnych ludzi, ale walcząc to w taki sposób tak naprawdę buduje się
1526:  GW - drugi faszystowski obóz w tym wszystkim.
1528:  GW - I to jest właśnie tak naprawdę tworzenie wręcz takiej niedźwiedzi przysługi społeczności, która chce faktycznie walczyć o swoje prawa.
1541:  GW - Generalnie w każdym innym kontrowersyjnym temacie wymuszanie pewnych decyzji moralnych na innych nie jest dobre.
1549:  GW - niczemu nie służy, zwłaszcza właśnie pokrzykiwanie przez internet.
1553:  GW - I tak jak właśnie tutaj Filip odniósł się do gry Atomic Heart, starałem się prezentować przez ostatnie tygodnie takie strzępki informacji, jakie dostawałem, bez oceniania tego, czy ktoś sobie wybierze tą grę, czy nie.
1568:  GW - Ja osobiście właśnie też nie przyłożę ręki do tego tytułu,
1573:  GW - Ale to jest moja sprawa i cały czas zaznaczam, nic mi do czyjejś decyzji.
1578:  GW - Staram się pokazywać to, po jakiej stronie stoją deweloperzy, skąd płyną finanse dla tego produktu itd.
1586:  GW - Natomiast to sobie, co wybierze tutaj, czy zagrać, czy nie zagrać, czy kupić, czy zagrać w Game Passie, czy...
1593:  GW - cokolwiek, to należy do niego i moja tutaj ocena czyjejś, w tym zakresie, czy moja ocena czyjejś decyzji to jakby nie należy do mnie, więc nie można wymuszać na kimś jakiejś decyzji, zwłaszcza w kwestii tak
