Dlaczego Uciekamy do Innych Światów? | ESKAPIZM
🔗 https://www.youtube.com/watch?v=4x794OViL7I
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
JM (Jaga Moder, Legendystka)
DS (Dominika Skoczeń, Czerw Fantastyczny)

20:  BFP - Fikcja i fantazja.
506:  JM - Ronia, córka zbójnika, pochodziła z plemienia zbójników jednego, no i było też wrogie plemię, które okazało się, że tam znajduje się chłopiec imieniem Birk.
517:  JM - I Birk stał się przyjacielem Roni, wbrew
521:  JM - wbrew temu takiej zasadzie, że jednak te plemiona ze sobą rywalizowały i oni ostatecznie doprowadzili do połączenia się tych dwóch plemion.
530:  JM - Więc to była taka moja historia, w której, wiecie, ja generalnie rozpoznawałam te takie najbardziej wchłaniające mnie historie po tym, że nawet jako dziecko już sama zaczynałam tworzyć własne historie w tym klimacie, albo wręcz przedłużać te historie, które przeczytałam, wiecie, takie fanfiction sobie gdzieś robiłam w zabawach,
552:  JM - No nie, no głównie w zabawach, bo wtedy to jeszcze nic nie zapisywałam.
555:  JM - Ale po tym poznaję, że właśnie to była pierwsza historyjka, która spowodowała, że utonęłam całkowicie i później ona przeniosła się do mojej wyobraźni i ze mną funkcjonowała przez bardzo długi czas.
568:  JM - A drugą taką historią, którą pamiętam, że już nieco później poznałam, była książka, która nazywała się Samowarek mojego dziadka.
575:  JM - To była jakaś taka bardzo przyjemna książka,
578:  BFP - Przepraszam, samowarek mojego dziadka?
580:  JM - Tak, samowarek mojego dziadka.
582:  BFP - Czy to był przepis, czy to była książka?
584:  JM - Nie, to była książka.
586:  JM - To była taka opowieść szkatułkowa.
588:  BFP - Krzysztof, Krzysztof, Krzysztof.
593:  JM - To była taka opowieść szkatułkowa, w której działa się jakby w rzeczywistym świecie.
599:  JM - Jedna warstwa historii, a druga była jakąś taką zmyśloną, było tam, pamiętam to, rozróżnione kolorami.
604:  JM - Ta zmyślona była pisana takim fontem pomarańczowawym, a czarnym taka ta podstawowa, bazowa historia.
613:  JM - Niestety nie pamiętam dokładnie czemu mi się to tak podobało, ale wiem, że to mnie skłoniło do tego, żebym napisała swoją pierwszą
619:  JM - taką próbę pisarską.
621:  JM - Miałam tam 7 lat, pisałam takimi coolfonami.
624:  JM - I czy to, co napisałaś, to była prawie, że kopia, samowarka?
627:  JM - Prawie, że.
628:  JM - Oczywiście, że tak.
629:  JM - I też dwoma kolorami pisałam.
630:  JM - To jest obowiązkowe przy pierwszej książce.
632:  JM - Absolutnie.
633:  JM - Ona była wręcz, wiecie, no niemalże przepisana słowo w słowo.
637:  JM - I tak, i to mnie jakoś tak zainspirowało.
640:  JM - A potem rzeczywiście miałam z Harrym Potterem jakieś tam takie... Ale to myślę, że jak większość millenialsów, także...
647:  JM - Nie ma co się rozwodzić, po prostu Harry Potter ze mną, znaczy ja właściwie dorastałam z Harrym Potterem.
652:  BFP - To ja już oddając głos Krzysztofowi i oczywiście do ciebie to samo pytanie, ale patrzę jeszcze na czaty i oczywiście jest dużo Wiedźmina, jest dużo Harry'ego Pottera, jest dużo Władcy Pierścieni, ale widzę, że pojawił się też Avatar.
669:  BFP - ale nie ten Avatar, który pierwszy przychodzi na myśl, tylko Avatar Legenda Anga, pojawił się Pokemon, pojawił się Dragon Ball, bieganie w wieku 6 lat i robienie kamehamehameh.
680:  BFP - I uwaga, pojawił się ktoś, kto powiedział siódme wtajemniczenie Edmunda Niziurskiego, które dla mnie też było pewną przygodą książkową, ale jednak komiksy znacznie bardziej pobudzały moją wyobraźnię.
691:  BFP - Krzysztof.
694:  KMM - Pierwsze świadome zatopienie w literaturze, prawdopodobnie takie, że rzeczywiście chciałbym wrócić do świata, który był tam wykreowany, było faktycznie dość świadome, to znaczy ja trochę reżyserowałem to moje spotkanie i dlatego pewnie te emocje we mnie buzowały, mianowicie czytałem Margit Sandemo,
712:  KMM - sagę o Czarnoksiężniku, ale z plot twistem, mianowicie w tle cały czas zapętlony był track chyba piętnasty, ale głowy nie dam, z płyty Harry Potter and the Chamber of Secrets Johna Williamsa i nosił on tytuł ten utwór Chamber of Secrets i pamiętam, że przeczytałem całą sagę o Czarnoksiężniku do tego utworu
733:  KMM - I żyłem tym światem absolutnie.
735:  KMM - I to jeżeli chodzi o literaturę, bo wcześniej nie miałem... To były takie drobne jakieś zachwyty literackie typu Mio Mój Mio, Astrid Lindgren, Tu i Uwdzie mnie coś zainteresowało, natomiast nigdy nie było to rzeczywiście takie poczucie bycia w innym świecie.
748:  KMM - A przy tej Sadze o Czarnoksiężniku...
750:  KMM - Kiepska proza sprzedawana w ruchu.
753:  KMM - Tam akurat tego zaznałem.
755:  KMM - Druga rzecz będzie w przestrzeni, no nazwijmy to, serialowej.
760:  KMM - To znaczy przypominam sobie oglądanie Scooby-Doo.
763:  KMM - Nałogowo absolutnie.
765:  KMM - Tego o Tobie nie wiedziałem.
767:  KMM - Tak.
768:  KMM - I obejrzałem każdy odcinek, jaki istniał.
771:  KMM - To był jeden, jedyny moment, kiedy poczułem cokolwiek do jakichkolwiek postaci, które były na ekranie.
777:  KMM - To znaczy, to nie była Velma, tylko to była ta druga Rudowłosa.
780:  KMM - Proszę bardzo, swojej miłości dzieciństwa nie pamiętam.
782:  KMM - No to wszystko faktycznie obejrzałeś.
784:  KMM - Tak to się kończy.
785:  KMM - Ale to i tak bardzo dużo jak na mnie.
788:  KMM - I jeżeli chodzi natomiast o grę wideo, bo muszę podać jakąś, to będzie to Neverwinter Nights 1.
795:  KMM - To była pierwsza gra, przy której byłem do tego stopnia zainwestowany w lore świata, w to jak on wygląda, to jakie tam były zaklęcia, że zacząłem tworzyć swoją własną przygodę w silniku Aurora.
808:  KMM - To był pierwszy i jedyny szczęśliwie raz.
812:  KMM - Wytworzyłem przepiękne miasto.
814:  KMM - Pamiętam, że dbałem nawet o trasy patrolowe strażników, którzy byli uzbrojeni w taki sposób, żeby przetrwać atak Maughrima Corotira, a nie to, co ci nędzni strażnicy w Neverwinter Nights oryginalnym, którzy tego nie przetrwali.
824:  KMM - Spoiler.
825:  KMM - W związku z powyższym wszystko było zrobione genialnie.
827:  KMM - Oczywiście każdy strażnik był równocześnie magiem, co do tego nie ma żadnych wątpliwości.
831:  KMM - Rozpisywałem dialogi.
833:  KMM - I wszystko to trwało jakieś co najmniej 4-5 miesięcy.
837:  KMM - Po czym był crush i straciłem cały projekt.
841:  KMM - To było takie bolesne przebudzenie uświadamiające, że niezależnie od tego, jakbyśmy bardzo starali sobie konstruować tę naszą eskapadę do fikcyjnej rzeczywistości, to prędzej czy później brudna rzeczywistość z tymi jej wstrętnymi, śmierdzącymi łapskami się o nas upomnie.
856:  DS - A propos Kubidu, to kto z was oglądał Wieczorynki?
860:  DS - Wszyscy, oczywiście.
862:  DS - Nie, nie uciekaliście?
863:  DS - Nie były teraz eskapistyczne?
867:  KMM - Nie, ale że które?
869:  KMM - Musisz o konkretnej godzinie zaznać.
871:  KMM - Tak, bo muminki były.
873:  DS - To czekasz na tą godzinę właśnie.
875:  BFP - Smerfy, Kubuś Puchatek, muminki, to owszem.
881:  DS - Ta waluga z Arktosem, który ma po prostu akwarium od rybek na głowie.
885:  DS - Jestem za stara na ta waluga chyba.
887:  JM - Jak to gumisie były na merskie?
889:  JM - Super, fajne.
891:  BFP - A ta baluga była super.
892:  BFP - A może mi się... Przepraszam, gumisie mi się powieprzyły z teletubisiami.
897:  DS - Ale ta baluga to trochę takie w stylu... Martwy Mufasa i ta baluga też miały takiego ojca, który nie żył, niczym się w gwiazdach mu pokazywał i czasem coś tam tylko do niego gadał.
907:  BFP - Ale to w ogóle podsunęliście mi myśl, bo ja tak często mówię, że ja tu jakoś specjalnie w anime nie siedzę i tak dalej, ale prawda jest taka, że ja chińskie bajki to ja oglądałem, zanim w ogóle zacząłem konsumować popkulturę normalnie.
921:  BFP - Ja pamiętam, że wstawałem rano, znaczy w ogóle to są jedyne wspomnienia, kiedy wstawałem rano, później już nigdy się to nie działo i nigdy już nie nastąpi.
931:  BFP - ale wstawałem o jakiejś godzinie siódmej i brałem specjalną wtyczkę i gdzieś tam wtykałem i to był kabel, w ogóle kablówka, dosłownie kablówka i miałem RTL i ProSieben, dwa kanały.
943:  BFP - RTL7, tak.
945:  BFP - A właśnie jeszcze nie, chyba to był zwykły RTL normalnie i ProSieben.
949:  BFP - ProSieben, to było z siódemką, ProSieben.
950:  BFP - Filip jest większym geekiem, on nie miał jakiegoś były RTL7, on miał oryginalny, prawdziwy RTL.
957:  BFP - I tam leciały z rana bajki, żebym nie skłamał.
962:  BFP - Daimos.
964:  BFP - General Daimos.
965:  BFP - Ciubasa, tylko to nie był Ciubasa, jakoś inaczej się to nazywało, ale Ciubasa był tam głównym bohaterem.
971:  BFP - Yataman, to była trzecia bajka.
974:  BFP - I leciały czarodziejki z księżyca, które oglądałem razem z dobrodziejstwem inwentarza, tak jak było w pakiecie.
979:  BFP - Zachwycony, jak się pojawia ten gościu w płaszczu i w cylindrze.
982:  BFP - Ja byłem zachwycony.
985:  BFP - Miałem na myśli inne dobrodziejstwa inwentarza.
989:  BFP - Więc byłem absolutnie zachwycony wtedy anime i totalnie odlatywałem, ale faktycznie tak sobie myślę, zawsze było tak, jak już stwierdziłem, nie miałem sześciu lat, tylko miałem siedem, to stwierdziłem, nie, ja już jestem dorosły.
1005:  BFP - I zawsze było tak, że czekałem na mamę w świetlicy w szkole i zbliżała się 15 i o 15.30 w Polsacie zawsze w poniedziałki leciał Batman serial animowany.
1019:  BFP - Ja nie miałem nawet telefonu, żeby zadzwonić do mamy, ale po prostu trzymałem kciuki, patrzyłem przez górę i mówię mama przyspiesz, bo zaraz przegapię odcinek, a on 25 minut trwał.
1028:  BFP - Ten świat mnie naprawdę wciągnął.
1030:  BFP - Pamiętacie ta piękna czołówka, która nie ma słów, tylko jest muzyka i Batman uderza w rytm.
1035:  BFP - Taka art deco.
1036:  BFP - Tak, art deco tego Brusa Thima, który stworzył tę serię.
1039:  BFP - Ale wiecie dlaczego to dla mnie był taki totalny pierwszy eskapizm?
1043:  BFP - Bo ten świat miał swoje relikty w świecie rzeczywistym, a mianowicie figurki do zabawy.
1049:  BFP - To były te Batmany, które były dokładnie z tego świata, miały te same rysy, miały ten sam asortyment, ten sam ekwipunek i patrzyło się na te zabawki, albo na Jokera, albo na Robina i to było to samo, co widziałeś na ekranie.
1064:  BFP - Więc zabawa nimi w ogóle tworzyła jakiś nowy wymiar eskapizmu, gdzie można było czerpać z tego samego świata
1072:  BFP - z telewizora i przenosić to potem do swojej zabawy, niestety nie w drugą stronę, ale dzisiaj mając internet można tworzyć mody, nic nie stoi na przeszkodzie.
1081:  BFP - Więc chciałbym zapytać was, co wy zaczęliście wynosić z tego, co was tak zaczęło wciągać, w sensie trafiliście do tych światów, mówiliście na razie tylko o kilku, ale trafiliście do tych światów i co poczuliście, co sprawiło, że dzisiaj prowadzimy wszyscy, no
1095:  BFP - Kanały w internecie poświęcamy ogromną część swojej twórczości, swojego czasu, swojej energii na to, żeby opowiadać o tym, co jest dla wielu fikcją, fantazją, która być może jest niestety uważana za coś infantylnego albo niepoważnego, a my wręcz bronimy tego dobrego imienia.
1114:  BFP - Dlaczego?
1114:  BFP - Co to są za wartości?
1116:  BFP - Może Jagat?
1117:  BFP - Albo proszę, Krzysztof.
1118:  KMM - To jest bardzo ad vocem, bo powiedziałeś o tym, że wynosiłeś figurkę ze świata.
1122:  KMM - Ja tak miałem z Lego, to znaczy przez to, że oglądałem swego czasu nałogowo przygody Herkulesa i tam był Gniew Amon i Gniew Amon miał taki pierścień, którym to pierścieniem zmieniał ludzi w jaszczuroludzi i potem Herkules musiał mieczem z gwiezdnej stali odmieniać jaszczuroludzi w prawdziwych, w związku z tym był wrogiem naturalnym Marka Zuckerberga.
1143:  KMM - I ja tak się zachwyciłem gniew Amonem, że stwierdziłem, ja go chcę mieć.
1146:  KMM - On miał taki niesamowity płaszcz czerwony, wystające kły, z których ten płaszcz czerwony zwisał i ja stwierdziłem, dobra, ja to chcę mieć.
1154:  KMM - I nie było wtedy figurek, które miałyby ładne łopoczące płaszcze, więc ja wycinałem z cholernego papieru, którego nie znoszę do wycinania.
1164:  DS - Myślałam, że z zasłony mamy wycinałeś.
1165:  KMM - Nie, nie, tak źle nie było, bo nic nie miała czerwonych.
1168:  KMM - Więc wycinałem z czerwonego papieru taką małą pelerynkę i dorzucałem ludzikowi Lego, z którego robiłem gniew Amona, bo chciałem mieć gniew Amona w swoim domu.
1178:  KMM - Przepraszam, ale ktoś napisał, kilka osób, to był Conan!
1181:  BFP - To był Conan, to nie był He-Man, to był Conan, a ty będziesz He-Man.
1185:  KMM - Conan, tak, Conan, maj wichru moc, oczywiście, że tak, to był Conan, tak.
1189:  BFP - Czy ty powiedziałeś Maju Wichru Moc, jakbyś sobie dodawał animuszu?
1193:  KMM - Nie no, Conan ma wichru moc, Conan ma... Ramię ma jak stal.
1200:  S01 - Widzisz, ja zapamiętam.
1202:  S01 - Ja myślałem, że ty do lustra śpiewajesz Maju Wichru Moc, ale okej.
1207:  BFP - Jeszcze ktoś napisał Tygrysia Maska obok tych bajek, które były.
1210:  BFP - Oczywiście, że była Tygrysia Maska, to było BDS, ale okej.
1214:  BFP - Jaga, Dominika, co wy wynosiliście z tego i co zostało z wami do dzisiaj?
1219:  BFP - Właśnie te wartości wynikające z tego, że można się zanurzyć w innym świecie, w innym medium.
1226:  DS - Która pierwsza?
1227:  DS - Powiedział Jaga, Dominika, to daję ci pierwszeństwo.
1230:  JM - Okej, dobra.
1232:  JM - Ja może...
1234:  JM - we wczesnym takim wieku nie miałam, nie znalazłam jeszcze tej jednej, jedynej eskapistycznej opowieści, która by spowodowała, że coś bym zaczęła wynosić w ogóle z tego utworu na zewnątrz.
1249:  JM - Ale potem...
1251:  JM - Jak miałam jakieś, myślę, 11-12 lat, zagrałam pierwszy raz w Tifa.
1257:  JM - Ja już zresztą na którymś ze streamów opowiadałam o tym, że to jest moja ukochana gra, że w ogóle ja się w to zagrywałam i że to była moja najlepsza przygoda i w ogóle.
1266:  JM - To jest gierka, która wszystkie części, te takie podstawowe trzy przeszłam czwartej, nie uznaję za...
1275:  JM - taką prawomocną, bo była bardzo zła.
1278:  JM - Ale dzięki właśnie tym pierwszym częściom ja się w ogóle nauczyłam mówić po angielsku.
1282:  JM - Pamiętam, że przynosiłam do mojej pani od angielskiego tak ze słuchu spisane, wiecie, po polsku zdania, czyli jakimiś takimi fonetycznymi potworkami.
1292:  JM - I ona mi próbowała pomóc rozwikłać, o co chodzi w danej scence, o co chodzi w dialogu, bo też trochę nie wiedziałam, co zrobić w tej grze przez to, że nie rozumiałam angielskiego.
1301:  JM - Ale słuchajcie, ja nawet po pierwsze, że zaczęłam też tworzyć swoje bardzo podobne w tym klimacie jakieś teksty.
1308:  JM - Miałam takie książki w grubych zeszytach, wiecie, takich w kratkę, gdzie zapisywałam.
1312:  JM - Był napisany rozdział, była ilustracja do każdego rozdziału, był jakiś cytat.
1318:  JM - I też tam główną postacią była taka jakaś szemrana, jakiś taki skrytobójca czy coś w tym stylu, no ale generalnie nikogo chyba tam nawet nie zabił, tylko bardziej właśnie jak złodziej się zachowywał.
1330:  JM - I to przez bardzo długi czas właśnie kontynuowałam, później przerabiałam, jak już byłam nieco starsza, byłam w gimnazjum, to pojawiały się właśnie kolejne wersje, ale już coraz bardziej odchodzące od oryginału, coraz bardziej moje.
1342:  JM - Natomiast mogę Wam pokazać, nie wiem czy będzie widać, ale sobie
1345:  JM - znalazłam teraz przed chwilą, ja nawet rysowałam te postaci Steve'a.
1349:  JM - Ale to jest narysowane przez ciebie?
1352:  JM - No tak, a przez kogo?
1353:  JM - Żartujesz.
1355:  JM - No, zaraz ci pokażę.
1356:  BFP - Ja wiem, że ty umiesz pięknie rysować, ale...
1360:  JM - Ale zaraz ci pokażę, nawet wam pokażę, bo na moim starym... To się okaże, że opowiadanie takimi kulfonami, no nie, to taki piękny obrazek.
1368:  JM - Na moim starym dewiantarcie to jest, nawet Szkaradeusz miałam.
1371:  BFP - Ale to wygląda jak Garet, właśnie jak Garet Stichow.
1373:  JM - No właśnie, no bo to był przerysowany, znaczy przerysowany, po prostu narysowany na podstawie tego, co na płytce widziałam, to narysowałam sobie Gareta.
1383:  JM - Ale tak mocno byłam zakochana w tej grze i w głosie Gareta, nie ukrywam.
1389:  JM - że strasznie mnie to zajarało.
1393:  JM - I myślę, że był to ten moment, który spowodował, że w ogóle zaczęła mi się podobać jakaś kategoria głównych bohaterów.
1401:  JM - W przypadku Thiefa jest to koleś po przejściach, który trafia w jakąś dziwną sytuację, ma jakiś tam swój kodeks i próbuje się w tym wszystkim odnaleźć, jednocześnie nie będąc toksycznym.
1419:  BFP - Brzmi jak Geralt.
1421:  BFP - Jeden do jednego.
1422:  JM - Nie wiem, czy nie jest toksyczny Geralt trochę, ale tak.
1427:  JM - I spodobało mi się właśnie to, że można stworzyć męskiego bohatera, który jednocześnie nie zachowuje się, wiecie, jak te wszystkie takie postaci, co się zawsze śmieją, ludzie z Young Adult, które mają złociste oczy albo
1442:  JM - poruszają się jak kot i mruczą i w ogóle, no nie wiem, dziwne postaci z tego wychodzą.
1447:  DS - Jedno spojrzenie i miękną kolana po prostu.
1450:  JM - Tak, miękną kolana i różne inne rzeczy się dzieją niekiedy, tak jak ostatnio w The Fourth Wing można było zaobserwować.
1458:  JM - W każdym razie to jest to.
1461:  JM - No i oczywiście byłam zachwycona światem, który pojawia się w Tiffie.
1467:  JM - Tym, jak został on poukładany, jaką ma logikę,
1470:  JM - w jaki sposób traktuje się tam tajemnicę, jak ta tajemnica się tak rozprzestrzenia po całej opowieści i jest tak skonstruowana, że naprawdę można w to wsiąknąć, aż się czuje ten mrok, tę ciszę, to skupienie, które musi ten główny bohater w różnych momentach przejawiać.
1492:  JM - to jakie teksty tworzą poszczególne frakcje, bo tam są trzy frakcje, The Keepers, które, nie wiem, tam jakieś takie właśnie mądrości książkowe, archiwa przetrzymują, Hammerites, czyli taki zmilitaryzowany zakon i Pagans, czyli poganie.
1506:  JM - I każdy ma swój język, swoje teksty, swoje wierzenia.
1510:  JM - No ja byłam tym absolutnie zachwycona.
1512:  JM - Bardzo żałuję, że ktoś bardziej utalentowany nie podjął się stworzenia kolejnej części.
1518:  JM - czyli tej czwartej, w związku z czym będziemy czekać jakieś 10 lat na może cokolwiek, ktokolwiek to ruszy.
1526:  BFP - A ja tylko zaznaczę, że przecież Thief w ogóle tak światotwórczo, no to było średniowiecze z elementami steampunku.
