Miłość, grzmocenie i kozy | Recenzja THOR 4 (Bez Spoilerów!)
🔗 https://www.youtube.com/watch?v=IR9d4f2EYUE
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

1:  BFP - Chcemy zacząć.
223:  BFP - Swoją drogą, ciekawe jest to, że Nekrosaur, który ma i w komiksach, i w filmie, został stworzony przez postać, jaką jest Knull, czy też Knuln,
231:  BFP - który jest twórcą albo też bogiem symbiotów.
234:  BFP - On stworzył Venoma, on stworzył wszystkie symbioty w świecie Marvela i tutaj są do tego fajne nawiązania, a przynajmniej w designie pewnych rzeczy, które Necrosword robi.
243:  BFP - Natomiast, tak jak powiedziałeś, początek jest dla mnie znakomity.
247:  BFP - Zarysowanie
248:  BFP - Traumy, bólu i głównego motoru napędowego, motywacji Gora jest świetne.
255:  BFP - Środek jest taki sobie, ponieważ jest tonalnie niespójny zresztą.
259:  BFP - To jest właśnie ten black metalowy gość, który wygląda jakby grał w Dimmu Borgir albo w Behemocie, a w wolnych czasach zabija bogów.
269:  BFP - I zakończenie znowu z nim w naprawdę centralnej roli jest znakomite, ale i tu właśnie Kristen Bale.
275:  BFP - Dużo przed tym filmem słyszeliśmy takich opinii od samego Chrisa Hemsworth, od Taika Waititiego, nawet podobno były robione badania na widzach testowych, no bo jak, żeby inaczej Disney mógłby działać.
286:  BFP - Oczywiście.
286:  BFP - Tak, że Gore jest najlepszym antagonistą w historii filmów Marvela.
291:  BFP - Nie jest.
292:  KMM - Nie jest, a Christian... Absolutnie nie, nie, no to Thanos jest w dalszym ciągu na podium, no nie ma szans.
297:  KMM - Thanos, a nawet powiedziałbym Hela była ciekawą postacią.
300:  KMM - Tak, już z poprzedniego Tora, tak.
302:  BFP - Już nie mówiąc o postaci, którą grał Jeff Goldblum akurat zapomniałem, Master coś tam.
306:  BFP - Aha, tak.
308:  BFP - I teraz jak myślę o tej roli Christiana Bale'a, który jest jednym z moich ulubionych aktorów.
313:  BFP - to jest niebezpieczna granica, po której stąpa w tym filmie, grając Gora, która jest pomiędzy rozpaczą i furią, a autoparodią.
322:  BFP - I ta autoparodia bardzo niebezpiecznie zakrawa o Jokera Heath Ledgera, z którym Christian Bale miał do czynienia w The Dark Knight.
330:  KMM - Jest taka jedna scena w tym filmie, która mnie oburzyła potwornie, jeżeli chodzi o character development i rozwój postaci, mianowicie głównym motorem napędowym, żeby nie zaspoilować, jest utrata ważnej osoby, bliskiej osoby, prawda?
341:  KMM - młodej, nazwijmy to, więc powiedzmy już sobie szczerze dziecka.
345:  KMM - To tak będzie najprościej, tak?
346:  KMM - Krzysztof rzucał okruszki i w końcu dotarł do domku.
349:  KMM - Wypieczony pochenek, tak.
351:  KMM - I jest taka scena, w której jest czereda dzieci i ten nasz bohater, antagonista, zachowuje się tak, jakby zapomniał jaka jest jego motywacja.
358:  KMM - To znaczy, że to nie jest tak, że on cierpi z powodu tej całej sceny otwierającej, z powodu śmierci dziecka i nie, wyżywa się na tych wszystkich dzieciach, którzy są tam zgromadzone, na zasadzie...
372:  KMM - I wypiekę jak Baba Jaga w piecu.
375:  KMM - I ja w tym momencie nie rozumiem, co się dzieje.
376:  KMM - To znaczy, tracę antagonistę, tracę jego motywację, a jest ten slapstickowy humor, który naprawdę jest fajny, ale nie jest właśnie na miejscu tutaj.
383:  BFP - Zgodzę się, że Gor momentami niebezpiecznie przypomina ciebie na streamach.
387:  BFP - To znaczy... Ale będzie jasna!
390:  KMM - To jest tylko wtedy, jak gram z kawenami, którzy rezydują w Skavenblight.
396:  BFP - Ale ostatecznie oceniam tę postać na plus właśnie ze sprawą zakończenia.
399:  BFP - To znaczy ten story arc, ten łuk postaci jest przepięknie rozwiązany, ale też doskonale wpleciony w historii protagonisty.
407:  BFP - Czyli antagonista z protagonistą cudownie łączą się w całość.
411:  BFP - I muszę na plus potraktować wizualia w tym filmie.
416:  KMM - Oj, tak, wizualia są przepiękne.
418:  KMM - Jest scena, którą ty widziałeś, a ja nie widziałem, bo poszedłem do kibla.
421:  KMM - To jest ta scena, w której przybywamy do Mocarnogrodu, Wiecznogrodu, nie wiem, jak go przetłumaczyć.
428:  KMM - Omnigród.
428:  KMM - Omnigród, coś takiego, w którym rezydują wszyscy bogowie.
431:  KMM - I to jest właśnie przykład tego przepięknego światotwórstwa.
434:  KMM - I potem oczywiście, że wchodzi Taika Waititi i wprowadza leitmotiv tego filmu, którym są bardzo sympatyczne, aż wrzeszczące kozy.
442:  KMM - I jakkolwiek w różnych momentach filmu, jak słyszymy...
445:  KMM - To jest to mniej więcej zabawne, bo kozy nie powinny się tak zachowywać, ale właśnie tutaj wchodzi ten problem tonalny.
452:  KMM - Piękna, majestatyczna scena i ja już wiem, oglądając ją, że wyjedzie Taika.
458:  KMM - Ja już wiem, że wyjedzie Taika na pełnym YT Team i będzie i oczywiście, że tak jest.
463:  KMM - I to jest właśnie ten moment, w którym on cały czas stosuje dokładnie ten sam zabieg.
467:  KMM - To znaczy, jest coś bardzo poważnego i my wiemy, że to będzie detonowane, momentalnie.
472:  KMM - I dzieje się to, przysięgam, za każdym razem.
475:  KMM - Nie ma sceny w tym filmie, która by nie była zdetonowana, włącznie właśnie z takimi majestatycznymi, pięknymi, światotwórczymi scenami.
481:  KMM - Byłem przekonany, że jak wjeżdża Zeus, który był w trailera, więc to nie jest spoiler, to on pierdnie.
486:  KMM - Byłem autentycznie przekonany, że będzie rzucał piorunami, będzie piękny wjazd, po czym jak w satyrach Krzysztofa Opalińskiego wejdzie na ambonę i piardnie i wszyscy będą rechotać.
496:  BFP - Ja bym się śmiał.
497:  BFP - Natomiast Russell Crowe to też oddajmy bogowi co boskie.
502:  BFP - I Russell Crowe jako Zeus kradnie.
504:  BFP - Może nie kradnie ten film, ale kradnie show.
507:  BFP - Tam te sceny, które rozgrywają się w Omnipolis, Omnigrodzie, tak to nazywajmy.
513:  BFP - Russell Crowe jest wybitny.
514:  BFP - Znaczy jego timing, jeżeli chodzi o granie komedią, granie humorem.
521:  BFP - Ja wiem, dlaczego ty tak myślałeś, bo to myślałeś, że Taika coś takiego zrobi.
524:  BFP - Tak, absolutnie.
525:  BFP - Russell Crowe świetnie udźwignął tę rolę.
527:  BFP - I ta jego rubaszność, ten jego urok osobisty, ale też takie zdziadzenie, takie dziaderstwo Zeusa sprawia, że ja naprawdę będę chciał go zobaczyć w kolejnych filmach i to się może stać.
540:  BFP - Może być tak, że kiedy Thor powróci, to powróci także Zeus.
543:  BFP - I Panteon Bogu.
544:  BFP - I Panteon Bogu, bo to naprawdę jakby design tego miejsca, design tej lokacji jest wspaniały.
549:  BFP - Wyglądało fenomenalnie.
551:  BFP - Jest jeszcze inny moment wizualny, który zrywa papę z dachu.
555:  BFP - To jest moment... Zrywa papę z Omnigrodu.
558:  BFP - To jest moment, w którym...
560:  BFP - Całość zmienia się w czarno-białe tony.
563:  BFP - Została jej się monochromatyczna.
565:  BFP - Ty miałeś z tym problem, zaraz powiesz o tym.
566:  BFP - No bo to wiadomo, mój problem z czarno-białymi filmami.
569:  BFP - Tak, do dzisiaj nie obejrzałeś The Lighthouse, bo jeszcze nie było akcji restauracja filmu sprzed trzech lat, który pozwoliłaby ci na obejrzenie, nałożenie technik koloru.
577:  BFP - Technik koloru, o tu stał.
579:  BFP - Tak, ale tak, to co się dzieje na pewnej asteroidzie, zabawa perspektwum i wreszcie samo zakończenie i lokacja, to jest też niezwykłe, że mamy, oczywiście mamy pojedynek, to jest takie marvelowe, ale...
589:  BFP - To złamanie schematu jest ta niezwykła cisza.
592:  BFP - Zakończenie jest na niezwykłej ciszy.
594:  BFP - To jest właśnie ta koda emocjonalna, o której powiedzieliśmy.
597:  BFP - Która ratuje ten film.
599:  BFP - I rockowy skok na sam koniec, który jest jak z filmu familijnego, bo a propos tej zabawy, to nami.
605:  BFP - Zauważ, tam był... I to działa na niekorzyść tego filmu, niestety.
609:  BFP - Ten film nie mógł się zdecydować, czy był sitcomem, czy był horrorem, czy był thrillerem, czy był fantastyką z bogami w rogu głównej, czy wreszcie...
618:  BFP - do komedią romantyczną.
620:  KMM - Tak, jest taka jedna scena, że nam obydwu cringometr czy żenadometr wskoczył na najwyższe obroty i spodziewam się, że sporo osób może mieć z nią też problem.
630:  KMM - No tak samo jak tym razem.
631:  KMM - Jak raz, sceny po napisach.
633:  BFP - Znaczy warto czekać jak zawsze, ale... Ale coś jest niestety i to obydwie te sceny robią tą samą brzydką rzecz, którą niedawno zrobił Stranger Things, a wcześniej też parę razy zrobił Marvel, a mianowicie...
648:  BFP - Zapomnij o tym, co widziałeś 15 minut temu.
650:  BFP - Zapomnij o tym, co widziałeś 30 minut temu.
651:  BFP - Tu wszystko jest możliwe.
652:  BFP - Czyli tak się stało, ale tak naprawdę to wiecie, pamiętajcie, że ta franczyza i ci aktorzy, którzy zatrudniliśmy, muszą jeszcze zapracować na swój kontrakt.
662:  BFP - Absolutnie.
663:  BFP - Ale co, czekamy na nowego Thora, prawda?
665:  BFP - Absolutnie czekamy na nowego Thora.
667:  BFP - Zaczynam brzmieć jak ty i to jest przerażające, nawet używam tych samych słów.
670:  BFP - Bardzo dobrze, jeszcze będą z ciebie Krzysztofy.
674:  BFP - Tak, na Thora, ale myślę, że nawet bardziej czekam na Guardians of the Galaxy, którzy byli w tym filmie.
679:  BFP - Byli, pojawiały się na samym początku.
680:  BFP - Oczywiście jeszcze tylko dokładają do tej dysharmonii i kakofonii, która jest tonalnej w filmie, ale zatęskniłem za nimi i chciałbym ich zobaczyć znowu i to bardzo niebawem i wiem, że to się stanie.
695:  BFP - Moja ocena, tobie zostawię ostatni głos, ale moja ocena jest pozytywna, to znaczy byłem przekonany, że dałbym temu filmowi 6,5-7 na 10, ale to zakończenie sprawiło, że daję takie 7,9 na 10.
710:  BFP - To jest naprawdę dobry film i wiesz, zaznaczę,
712:  BFP - Czytałem parę recenzji, a przede wszystkim widziałem zagregowane recenzje i opinie, już widzę twój uśmiech delikatnie się rysujący, i uważam tym razem, musi to wybrzmieć, niech to będzie przy Krzysztofie, uważam, że jest to bardzo niesprawiedliwa ocena, która jest przyznawana w tym momencie na Rotten Tomatoes, 69% pozytywnych ocen, całkowicie się z tym nie zgadzam.
731:  BFP - To jest film, który mało mnie, jakbym miał korzystać ze skali procentowej, 79%.
736:  BFP - Kawał fajnego, marvelowego kina, ale taika Waititi, który czasem za bardzo Waitituje.
741:  KMM - Ja powiem tak, byłem bardzo negatywnie nastawiony po Doctor Strange 2.
747:  KMM - Potem obejrzałem jeszcze raz i dokończyłem WandaVision, które przerywałem niepotrzebnie.
753:  KMM - Jeszcze raz powtórzę, trzeba znać WandaVision, żeby docenić Doctor Strange 2.
757:  KMM - ale tak czy siak, nawet po obejrzeniu Wandavision, stwierdzam, że Doctor Strange 2 jest o wiele niżej względem obecnego Thora Love and Blunder.
765:  KMM - Przepraszam, Love and Thunder.
767:  KMM - Więc zdecydowanie jest tendencja wzrostowa, natomiast wciąż mam wrażenie, że więcej się dowiemy, jak wiedzą Guardiansi, ponieważ film ten ujawnia kolejny element Marvelowego uniwersum, który ma pewien potencjał, nie zdradzając.
780:  KMM - To co jest pierwsze?
782:  KMM - Bujysk czy Grom?
783:  KMM - U mnie zawsze Grom.
787:  BFP - Chyba tak.
