Jak wygląda dojenie znanych marek - gościnnie Krzysztof M. Maj i Bez/SchematuBez/Schematu
🔗 https://www.youtube.com/watch?v=z2luWI23esY
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
RP (Radosław Pisula, Full Frontal Pisula, Napisy Końcowe)
OR (Oskar Rogowski, Napisy Końcowe)

0:  OR - Hej, witajcie na Napisach Końcowych.
305:  RP - I te filmy już nie są tak robione, żeby one były właśnie przypominane po latach, żeby one zyskały status kultowych.
310:  RP - One się mają sprzedawać tu i teraz.
311:  RP - I to najbardziej właśnie widać w tym momencie po filmach Marvela, gdy wcześniej jeszcze mieliśmy takie przeświadczenie, że hej, do tych filmów się będzie fajnie wracało po latach, nie?
319:  RP - I jest tam kilka takich perełek w pierwszych fazach.
321:  RP - Na przykład Starzycy Galaktyki, którzy byli oddzielnym filmem, którzy opowiadali konkretną historię, którzy tam nie było miejsca na wyciskanie z tej marki
329:  RP - jakiś ponadstan, bo to nie była marka, nie?
331:  RP - Strażnicy byli wzięci znikąd, to był jeszcze fajny projekt, który można było rozwinąć.
335:  RP - Teraz wyciskamy z tego ile się da, bo trzeba to zrobić tu i teraz i wiemy, że no właśnie tu jest ten termin ważności.
341:  RP - Nie stracimy jakoś aktora, bo odejdzie, jakiś projekt będzie po prostu już, no nie będzie na topie,
348:  RP - i musimy działać jak najszybciej, nie?
349:  RP - I to jest takie wyciskanie i to widzimy.
352:  RP - Widzimy, jakie bóle przeżywają te marki, nie?
354:  RP - Że w tym momencie są po prostu tak dociskane, żebyśmy z tego jeszcze jakiś grosz wyciągnęli i to jest przerażające, bo... Tutaj się od razu... Do czego jeszcze wrócimy?
363:  RP - Czyli przypadek Wiedźmina i już mamy sequelozę, mamy też prequelozę, nie?
368:  RP - No i wiemy, co się stało ostatnio z Wiedźmieniem Zdrowotem Kree, bo to jest naj...
371:  RP - bardziej przerażający skok na kasę jaki widzieliśmy w ostatnich latach, coś co było zrobione zupełnie bez ładu i składu i wiemy ogólnie jak wygląda marka Wiedźmina, która miała być wielkim tym koniem pociągowym Netflixa, miała przynieść im kupę kasy, no i wiadomo, że przyniosła, bo to dalej jest Wiedźmin, dalej popularna marka, ale widzimy w jaką stronę idzie rozwijanie jej, że mamy te kolejne sezony, gdzie już straciliśmy aktora, ale trzeba je ciągnąć, trzeba coś robić, już lepimy z czegokolwiek, bo ta marka już gdzieś tam działa i jeszcze można ją troszkę podoić, to jest dojenie krowy z kręgosłupem tak naprawdę.
401:  RP - Mamy też ten zapowiedziany projekt Siri, co tam jakaś tam grupa, coś, też coś z tego uklepiemy.
407:  RP - No i bierzemy to największe wydarzenie w historii świata tutaj wiedźmińskiego, które było początkiem wszystkiego i robimy z tego jakiś taki teatrzyk w parku dla dzieci.
415:  RP - Tak jak wykucie pierścieni władzy.
419:  KMM - No bo wiecie, bo cały problem polega na tym, że jeżeli jeszcze doi się tę krowę z kręgosłupem, to jeszcze jest okej, ale oni już doją kozła ofiarnego i tym kozłem ofiarnym jest fantastyka, tak?
429:  KMM - I te światy fantastyczne, co do których ludzie rozpoznali w którymś momencie, że są za tym duże pieniądze.
434:  KMM - Ja pamiętam jeszcze swoją satysfakcję, to sprzed paru lat było, jak czytałem taki strasznie kretyński tekst naukowy, jak i wiele polonistycznych w Polsce, dotyczący tego, że no tak, że ta popkultura to jest w ogóle jakiś margines, że to w ogóle...
448:  KMM - Powiedziałem, no fajny margines i przywołałem, ile zarobił Avatar Jamesa Camerona wtedy.
452:  KMM - No i teraz trochę żałuję tych słów, bo wyszło, że rzeczywiście te światy się zrobiły jakieś mega popularne w ostatnim czasie i te mechanizmy franczyzowe, o których cały czas mówimy, korporacyjne, prawda, że mamy asety w naszym portfolio.
464:  KMM - Tym asetem może być świat, może być artefakt, może być postać, a już fabuła to tam się kompletnie, ta narracja, talent artystyczny, ważne, żebyśmy mieli wszystkie asety, tak?
475:  KMM - To w tej chwili jest tu i teraz i problem polega myślę na tym, że jest dwustronny, to znaczy z jednej strony cierpią autentyczni fani, którzy się cieszyli, podjarani byli strasznie, że te światy wreszcie zyskują swoją reprezentację wizualną, mogą sobie pooglądać, pozwiedzać je.
491:  KMM - i zobaczyć te historie, które kochali teraz na małym ekranie, na srebrnym, na jakimkolwiek by chcieli, ale z drugiej strony mamy jeszcze te cholerne korporacje, które totalnie nie rozumieją tego fenomenu.
502:  KMM - Oni nie wiedzą, dlaczego to działa i zabierają się za to od dupy strony.
506:  KMM - I zauważcie, że jest jeszcze ten problem, że cały czas nie mamy unormowanych tych stosunków prawnych, zwłaszcza jeżeli chodzi o prawa autorskie.
513:  KMM - Kultura fanowska sobie jest, ale jest w szarej strefie praktycznie.
518:  KMM - Jest taki sobie Wiedźmin i jest CD Projekt Red, które sobie tworzy osobny świat w zasadzie.
523:  KMM - I czy to jest adaptacja powieści Andrzeja Sapkowskiego?
526:  KMM - No nie do końca, ponieważ dzieje się dosłownie po nich.
530:  KMM - Jest de facto sequelem, ale z drugiej strony Geralt już nie żyje.
533:  KMM - No więc...
534:  KMM - są problemy, tak, z tym związane i o wiele prościej jest wytworzyć ten jakiś świat, ale potem przychodzi Netflix i mówi nie, to my stworzymy swój własny świat i my go umeblujemy po swojemu i nagle się okazuje, że zamiast żebyśmy mieli jedno uniwersum, mamy trzy i one się ze sobą kompletnie nie zgadzają, więc powiedziałbym, że tutaj nawet nie jest problem z tym, że mamy kolejne sequele, tylko mamy kolejne restarty franchise, rebooty w zasadzie, że tworzy się nowe IP, bo mamy nową fabułę jakąś.
562:  BFP - Twierzyć aktywo, tak jak powiedział Radek przed chwilą, że coś ma swój termin przydatności, chyba, że to zrebootujesz, ale właśnie na potwierdzenie mojej tezy a propos rodowodu krwi i aktywów, jaskier jest aktywem, który ma podciągnąć inny zestaw aktyw, który masz i to jest właśnie rodowód krwi.
579:  KMM - nie ma tam żadnej funkcji, poza tym, że jest faktycznie.
582:  OR - Bo trzeba twarzą ściągnąć.
583:  OR - Ale wiecie co, jeszcze zanim przejdziemy do tego, bo o korporacjach będziemy gadać pewnie długo, bo to się wiąże wszystkich tych marek, które mówiłeś.
591:  OR - Zgadza się Filip z tym, co powiedziałeś, że to jest na górze.
594:  OR - Ale jednak chciałbym na chwilę wrócić do tego, od czego zacząłem, czyli
597:  OR - Jasne, korporacje doją i szukają każdego możliwego miejsca, ale jednak jest też taka potrzeba w widzach.
606:  OR - I ona jest zauważalna.
608:  OR - Zwróćcie uwagę, jak kiedyś śmieliśmy się, że ludzie chodzą na filmy Marvela po scenę po napisach.
613:  OR - że nie jest nawet istotny ten film, który teraz oglądamy, ważne co będzie dalej, co on zapowiada, co później.
621:  OR - Za każdym razem, kiedy znowu właśnie oglądają się filmy Marvela, to często było pytanie, czy ten film jest ważny dla uniwersum, czy pojawiają się w nim ważne postacie dla uniwersum, a czy ten film jest dobrą całością, zamkniętą, z furtkami oczywiście, bo to uniwersum, spoko, to schodziło na drugi plan.
642:  OR - i mam wrażenie, że z serialami często jest podobnie, właśnie The Walking Dead wspomniane.
647:  OR - To też jest takie coś, kiedy korporacja patrzy na to, okej, możemy na tym wydoić kasę, ale dlaczego?
653:  OR - Bo ludzie lubią tą postać, bo my chcemy ją dalej wrzucać i ciągnijmy na to, ale to działa też w drugą stronę, bo jeśli byśmy ją zabili, to sporo ludzi by nam odeszło z tego serialu, nawet jeśli fabularnie byłoby to dla naszego serialu lepsze.
666:  OR - Więc ja chciałbym właśnie zapytać bardziej
669:  OR - Bo jakby ta chęć oglądania dalej zawsze była.
673:  OR - Oglądaliśmy tasiemcowe seriale często, bo się lubiło bohaterów czy coś takiego, ale mam wrażenie, że jest takie coś dzisiaj, mówię, może przez MCU, gdzie naprawdę ciężko jest nam odpuścić i cieszyć się jednym zamkniętym dziełem.
687:  OR - Ja tak tęsknię często, kiedy oglądam film,
690:  OR - I ludzie często mi mówią, wręcz nawet, kurde, w naszej szejbanieszce, że nie obejrzą tego filmu, bo nie mają czasu na inne rzeczy, bo w tym momencie mają tak zapchany grafik, wiecie, tymi ważnymi filmami, które, z których Fear of Missing Out poleci, że nie znają całości, że nie poświęcą, nie wiem, nie obejrzą wszystko wszędzie naraz, bo to jest tylko jeden zamknięty film gdzieś na boku, który jest absolutnie kapitalny.
712:  OR - I mam teraz takie właśnie, takie podejście do tego, że
716:  OR - Gdzieś się coś tej widowni przestawiło w pewnym momencie, że korporacje oczywiście uśmiechają się, bo mogą doić na tym pieniądze, ale gdzieś my jako ta widownia zagalopowaliśmy się odrobinę za daleko z tym, żeby zatrzymać się, stwierdzić to fajne dzieło, dajcie mi kolejne.
733:  OR - Nie, nie, nie.
734:  OR - Kiedy wróci Robert Downey Jr.
736:  OR - jako Iron Man?
737:  OR - O, Hugh Jackman, ściągnijmy go jeszcze raz jako Wolverina, bo co dalej, co dalej, co dalej?
745:  BFP - Znaczy to bym akurat bronił Ryan Reynoldsa, bo Deadpool był fantastyczny jako zamknięte całości i potrafił toczyć bekę z MCU i właśnie z tej całej franczyzy.
756:  OR - Ale teraz jest Deadpool in Wolverine i oczywiście jedynym punktem ściągnięcia widzów, jedynym tak naprawdę,
765:  OR - jest ten Hugh Jackman.
766:  OR - Jakby ja nie mam nic przeciwko, żeby Hugh Jackman gdzieś tam jeszcze się pojawił czy coś, ale ten film na tę chwilę jest reklamowany tylko i wyłącznie tym jednym motywem, żeby zobaczyć co dalej.
776:  OR - No tak samo jak jest znienawidzony przeze mnie Spider-Man No Way Home, który cały jedzie tylko i wyłącznie, tylko i wyłącznie na tym, żeby wstawiać tam te aktywa, o których mówicie, odmrażane.
788:  BFP - Dla mnie Deadpool i Wolverine to jest jak ja i Krzysztof.
791:  BFP - Wiadomo, że ja udźwignę sam bez schematu, ale jak się pojawia Krzysztof, to jest lepiej.
796:  BFP - Więc ja akurat się bardzo cieszę.
798:  RP - Tak, ale wiesz, nie reklamujesz cały czas Krzysztofa.
802:  OR - Ale pytanie, słuchajcie, bez schematu to jest ten kanał, gdzie widzę wszystkie reklamy.
808:  OR - To jest ten kanał, gdzie pojawia się Krzysztof.
810:  OR - Cześć, nie mam tu nic więcej z aferowania.
813:  KMM - Jestem jako Deadpool czy jako Wolverine?
815:  KMM - Nie wiem.
816:  BFP - Będziemy musieli to rozstrzygnąć przez pojedynek.
818:  RP - W następnej fazie będzie bez schematów.
821:  BFP - Będzie Krzysztof, ten z nas, który przeżyje dzięki mocą regeneracyjnym, ten, no i nierozstrzygnięte, bo i Deadpool i Wolverine mają te moce, więc...
832:  KMM - Tak, znaczy ten, kto dostanie na przykład gumową kaczkę do rąk, znaczy, że jest Deadpoolem, a ten, kto będzie miał zajebiste pazury, to jest Wolverine'em.
839:  KMM - W ten sposób będzie uczciwy pojedynek.
841:  OR - To już wiem, który jest który, w takim razie.
842:  OR - Ale wracając do meritum, to właśnie nie wiem, czy też się z tym spotkaliście, bo ja non-stop się z tym spotykam, non-stop spotykam się właśnie z takim...
850:  OR - w naszym gronie, nie w korporacyjnym gdzieś, ale w naszym gronie taką potrzebą właśnie uczestniczenia w projektach, które trwają i trwają i trwają i odskakiwaniu od rzeczy, które mogą dać ci niesamowite wartościowe dzieło, ale krótkie i zamknięte.
866:  KMM - Wiesz co, ja bym na to spojrzał z perspektywy w ogóle zjawiska fanostwa jako takiego.
870:  KMM - Kiedyś Andrzej Sapkowski w rękopisie znalezionym w Smoczej Jaskini zabawnie to opisał, że spytać fana, który jest fanem powieści o trollach, jaki by chciał, żeby 34 tom sagi o trollach był, to fan odpowie o trollach, więcej o trollach.
886:  KMM - Troszeczkę to, że tak samo jak Arthur Conan Doyle też był naciskany, żeby wskrzesić Holmesa i wskrzesił w końcu, bo się wszyscy na niego denerwowali.
894:  KMM - No tylko, że teraz ta różnica jest taka, że mamy z drugiej strony nie artystę, tylko mamy jednak korporację, która patrzy na to w zupełnie inny sposób.
903:  KMM - I jeszcze, żeby było śmieszniej, z jednej strony mówi, że tak, tak, fani mają rację, będziemy robić to, co fani chcą, a z drugiej strony robi absolutnie wszystko to, żeby nie robić tego, co chcą fani.
912:  KMM - Czyli tam, gdzie jest potrzebny fanservice faktycznie...
915:  KMM - z niego absolutnie rezygnują, mówią, że nie, my stawiamy na produkcje artystyczne, a tam, gdzie jest potrzebne podejście artystyczne, żeby zrobić zamknięty film, zamkniętą całość, właśnie pod względem artystycznym, kompozycyjnym nawet, to idą w tę serializację nieznośną, więc wydaje mi się, że tutaj leży kość niezgody, tak, albo to nie jest tak, że też fani nie mają racji w stu procentach,
935:  KMM - bo najwyraźniej z jakiegoś powodu stali się tymi fanami.
937:  KMM - To jest troszeczkę tak syndrom twórcy internetowego, który zaczął robić jakieś filmy i już koniec świata jest zamknięty w tej szkatułce, że on ma robić je do końca życia, prawda?
948:  KMM - Gdy tymczasem jakakolwiek twórczość na tym nie polega, człowiek zawsze się rozwija i zawsze będzie jakoś ewoluował.
955:  KMM - Ludzie z jakichś niewiadomych względów czują się tak bezpiecznie, jak jest coś rozpoznawalnego, bo mamy, mam wrażenie, tak dużą ofertę,
963:  KMM - I jest tak dużo różnych opcji, że okej, to ja chcę już mieć tego Marvela takiego, jak miałem, a jak będę chciał czegoś artystycznego, to sobie przejdę właśnie takiego wszystkiego wszędzie naraz, ale to dopiero potem, jak skończę wszystkie Marvely.
974:  KMM - Czyli nigdy.
975:  KMM - Czyli nigdy.
975:  KMM - I w ten sposób tracimy bardzo.
979:  RP - Tak, ja tutaj jeszcze do tego, co mówił, odniosę się do tego, co mówił Oskar, że tak, mamy tą potrzebę fanów, żeby żyć w tych światach, bo to jest taka ogólna fanowska potrzeba, że jeśli coś lubimy, to chcemy, żeby w pewnym momencie chcemy, żeby tego było więcej, chcemy, żeby to trwało, żeby było fajnie, nie?
994:  RP - A w pewnym momencie zauważamy i to widać tutaj na poziomie, czy to Walking Dead, czy właśnie MCU, że mamy ten moment, gdy fani już zauważają, że
1002:  RP - Może aż tak dużo tego nie chcę, nie potrzebuję tego w takim natężeniu, bo to zaczyna się robić denerwujące i tracę gdzieś tą miłość do produktu, który wcześniej kochałem, bo tego jest po prostu za dużo.
1012:  RP - W MCU było widać to tutaj, nawet w tej ostatniej fazie idealnie, nie?
1016:  RP - Gdy już było, że o, dostaję tą nową produkcję, rozwija mi ten świat, nie?
1019:  RP - Dostaję tych Eternals, dostaję tutaj tą She-Hulk, dostaję te seriale, nie?
1022:  RP - I tu...
1022:  RP - Nagle mózg wybucha, dostaje tego za dużo i gdzieś straciłem to, co kochałem.
1026:  RP - Nie ma już tutaj tych postaci, które lubiłem, tego świata, który się rozwija w taki sposób, który mnie ciekawił i gdzieś to wszystko się rozmywa.
1033:  RP - W ogóle też ciekawym przykładem jest nawiązanie do jakichś starszych produkcji, które kiedyś były tworzone i na przykład mieliśmy Terminatora.
1040:  RP - Mieliśmy Terminatora 1, po paru latach wyszedł Terminator 2, dwa świetne autorskie filmy.
1047:  RP - James Cameron robił to co zawsze robi najlepiej, czyli zarabia kupę kasy, zdobywa kupę kasy, stworzy świetne, świetne fabuły.
1055:  RP - I jaka była przerwa między dwójką Terminatora, a trójką, nie?
1060:  RP - To było ponad dekada, nie?
1063:  RP - I nie było tak, że wiemy, że to inaczej wygląda w latach dziewięćdziesiątych, nie?
1066:  RP - Ale nie było tak, że było czekanie, że o, pojawi się ten nowy Terminator, nie?
1068:  RP - Ale w pewnym momencie było tak, że dostaliśmy ten drugi świetny film, okej, może będzie następny, nie?
1074:  RP - Później przechodzimy do momentu, gdzie sobie twórcy przypomnieli, że ej, mamy te aktywa, mamy tego Terminatora, nie?
1079:  RP - To jest świetny projekt, mamy zabójczego robota, robimy tą trójkę.
1083:  RP - Wyszła ta trójka, wyglądała jak wyglądała,
1086:  RP - Później wyszedł ten Terminator Salvation, gdzie okej, Christian Bale, lubimy Christian Bale'a, to jest Batman, jest ciekawie, jest fajnie.
1095:  RP - Dobra, ciekawy parę lat, to dalej ciągniemy te aktywa, rozwijamy ten świat.
1099:  RP - Terminator Genesis.
1100:  RP - Teraz Schwarzenegger wraca.
1102:  RP - Tak, wraca Schwarzenegger, nie mamy tej aktywa, on chce jeszcze zagrać, chce jeszcze powrócić na chwilę i już...
1107:  RP - Fani, o kurwa, tego już nie chcieliśmy, nie?
1110:  RP - Fajnie było przy etapie Terminatora 2, dało się oglądać Terminatora 3, jeszcze jakaś sympatia, ale teraz już strasznie.
1116:  RP - Terminator Dark Fate, zamyka jakąś całą markę, nikt nie chce w tym momencie nowego Terminatora, nie?
1122:  RP - Ludzie wracają z sentymentem do 1, do 2, nie chcą pamiętać o tym, co było dalej, nie?
1127:  RP - I...
1127:  RP - W tym momencie ja się tak czuję troszkę z MCU, że niezbyt mi obchodzi co będzie dalej z tym światem, bo przez to natężenie i rozbicie tego na małe projekty.
1136:  RP - No kurczę, mówimy o świecie, w którym zaraz będzie spin-off o Agacie, która jest ze spin-offu filmu, czyli One Division, co wyszło ze spin-offu dużego filmu i sprawy z wieżanem.
1151:  RP - Mieliśmy to, tego spin-offem był tak naprawdę Dr. Strange w Multiversem Szaleństwa.
1156:  RP - bo dowiązywało do tych wydarzeń, a tego jeszcze speed-offem będzie ta Agata, nie?
1161:  RP - Która już jest piątą wodą po kisielu i jest nikomu niepotrzebna.
1165:  RP - to na to czeka, kurczę.
1166:  OR - I Agata będzie nowym Andorem, zobaczysz, bo nikt nie czeka.
1171:  KMM - Zauważcie, że sporo też takich ostrzeżeń od fanów jest ignorowane, bo ludzie mówią, okej, za dużo, ludzie mówili, nie chcemy seriali Marvela, bardzo często, wystarczy jeden, dwa, max, nie potrzebujemy tego tyle.
1183:  KMM - Ja czytałem takie opinie, to nie były opinie krytyków włącznie, to były też opinie fanów.
1187:  OR - Ale ja mam do tego takie podejście i tak, tu wrócę do tego, co Filip powiedział, czyli że jest to wina corpo, ale jest to dużo bardziej perfidna wina corpo niż tylko i wyłącznie dojenie pieniędzy i patrzenie na jakie się ma aktywa.
1205:  OR - Tak jak w przypadku gier mobilnych i niedawnego skandalu z Diablo Immortal, gdzie ma się wrażenie, że twórcy zatrudnili wręcz psychologów, którzy szukali wszystkich haków na ludzi z uzależnieniami, na ludzi z problemami właśnie z hazardem itd.
1222:  OR - I ta gra była cała przetkana każdym możliwym dzwonkiem, który mógł ci triggerować twoje problemy z hazardem, z tym wszystkim.
1233:  OR - Mam wrażenie, że
1234:  BFP - Witaj na rynku gier mobilnych.
1238:  OR - Tak, ale nawet na rynku gier mobilnych wydaje mi się, że Diablo Immortal było wyjątkowo perfidne, nawet jak na rynek gier mobilnych.
1246:  OR - Natomiast mam wrażenie, że podobnie dzieje się z tymi produkcjami przez dwa proste mechanizmy.
1253:  OR - Mechanizm pierwszy to jest to, co powiedziałem, Fear of Missing Out.
1255:  OR - To jest ten motyw, w którym...
1258:  OR - Mamy ten MCU i ono się toczy, je już trochę roztoczyliśmy niezłym pomysłem, prawda, aktorami, których lubiliśmy i tak dalej.
1267:  OR - I w tym momencie ludzie dalej będą oglądać, ja powiedziałem, że jak my obejrzeliśmy She-Hulk'i, było tak, że omawialiśmy na początku po odcinku, one powiedzieliśmy, nie, nie, nie, nie będziemy co odcinku o tym gadać.
1279:  OR - I omówiliśmy cały, cały sezon.
1282:  OR - Jest to jeden z najlepiej oglądanych materiałów na naszym kanale w porównaniu do np.
1287:  OR - Andorra, które za cholerę nie podchodzą pod to.
1292:  OR - To jest dużo, dużo popularniejsze i to jest cały czas mam wrażenie takie
1297:  OR - ale słuchaj, chcesz od tego odpaść, nie będziesz wiedział, co się dalej dzieje.
1301:  OR - Jeżeli nie będziesz wiedział, o czym ludzie mówią, MCU cały czas jest tak popularne, nie pójdziesz na nowego Black Panthera, to co nie będziesz wiedział, prawda?
1308:  OR - Przegapisz cały moment, przegapisz, przegapisz i tak dalej.
1311:  OR - To jest pierwszy z tych bodźców,
1313:  OR - A drugi to jest to, co my często nazywamy w przypadku popkultury, kiedy czytamy na przykład komiksy, które już nas irytują, ale tego Batmana czy niektórzy, czy Spidermana i tak dalej, to się dalej czyta.
1323:  OR - Czyli ten syndrom sztokholmski, ale w kwestii popkultury, a nie wiesz, bo ona już się tak porwała w tym momencie.
1330:  OR - I mam wrażenie, że to jest podobna rzecz z tymi produkcjami, gdzie twórcy zdają sobie sprawę, że masa
1338:  OR - widzów ma potrzebę skończenia tego.
1341:  OR - No tak jak czasami wydawane są kolekcje, gdzie pierwszy zeszyt kolekcji mistrzów czy coś tam za 10 złotych, a kolejne już więcej, bo stawiasz ten pierwszy na półce i masz już takie, może postawię drugi, trzeci.
1352:  OR - Jak już postawiłeś pięć, to już głupio, żeby kolekcja była niekompletna.
1356:  OR - i my mieliśmy też masę komentarzy swego czasu o tym, że jestem ciekawy w twórczostku twoim Filip, twórczostku The Walking Dead czy ludzie ci pisali na przykład obejrzałem to do końca, bo niezwykłem przerywać seriali na przykład i są ludzie, którzy nie jest tak, że
1373:  OR - Przerywam, już wiesz, już nie znoszę, już gadam, że to jest najgorsze i tak dalej, ale masz takie poczucie, że trzeba skończyć, że po prostu lubimy to jako, mamy gdzieś w psychologii zakodowane taką potrzebę ukończenia czegoś, żeby to było kompletne, prawda, że obejrzeliśmy 6 sezonów z 10, ale no...
1392:  OR - Oglądamy dalej, bo już jednak zainwestowaliśmy, o to jest ten, jak to się nazywa, racjonalizacja kosztów trochę, to takie usprawiedliwienie, że już tyle zainwestowaliśmy czasu, że musimy inwestować dalej.
1403:  OR - Wydaje mi się, że to są dwie rzeczy, na których korporacje zdają sobie sprawę i bardzo je wykorzystują.
1410:  BFP - No ale jest na to popyt, no kurczę, jakby ludzie to łykają, wiesz...
1416:  BFP - I tak operujemy teraz na serialach i filmach.
1421:  BFP - Ja mogę rzucić teraz znacznie bardziej niż Marvel perfidną korporację, która znacznie bardziej sequelizuje Activision Blizzard, który wypuszcza rok do roku Call of Duty.
1435:  BFP - I tam jest jeszcze mniej treści.
1437:  BFP - Jeszcze mniej.
1438:  BFP - Oni jeszcze mniej zmian wprowadzają.
1440:  BFP - Tam nawet nie ma reżyserów, tak jak w przypadku Marvela.
