Edukacja – wielki reset? | dr Krzysztof Maj | Głos Kongresu Obywatelskiego
🔗 https://www.youtube.com/watch?v=Ra98wNn-dho
KMM (Krzysztof M. Maj)
MS (Miłosz Szymański, Głos Kongresu Obywatelskiego)

0:  MS - Dzień dobry Państwu, nazywam się Miłosz Szymański, a to jest głos Kongresu Obywatelskiego.
375:  KMM - Więc w zasadzie trzeba niewiele, ale prawda jest taka i od tego w zasadzie wyszliśmy w naszej rozmowie, że o edukacji mówią wszyscy, tylko paradoksalnie mówią wszyscy, którzy mają na ten temat pogląd, mimo że nie mają kompletnie ani wiedzy, ani doświadczenia, ani kompetencji w tym wymiarze, a to jest naprawdę temat, w którym nie ma żartów, bo jeżeli nie nauczymy się uczyć na całe życie, to wtedy
396:  KMM - Cały czas będziemy szukali tego przewodnika, który będzie nam mówił, to zrobiłeś dobrze, to zrobiłeś źle, a tymczasem, no niestety w życiu takich przewodników po prostu najczęściej dzisiaj nie ma.
405:  MS - Właśnie jak opowiadał Pan o tym, czego się powinniśmy uczyć, w sensie wyszukiwania informacji o tych dawnych polihistorach, to przypomina mi się zaraz, że przecież chociażby takie rzeczy jak kanon lektur, ale nie szkolnych, tylko kanon lektur, które trzeba było znać, żeby uchodzić do człowieka wykształconego i oczytanego, to jeszcze 100 czy 150 lat temu
428:  MS - To były książki, które dało się policzyć w ogóle.
431:  MS - Ich było powiedzmy setka, może dwie setki.
433:  MS - Dało się je policzyć, dało się je przeczytać w ogóle.
436:  MS - W tej chwili, jeżeli ktoś chciałby przeczytać tylko i wyłącznie powieści, a zresztą nie tylko, bo reporterzy także stawali Nagrodę Nobla, a nawet Bob Dylan, w każdym razie tylko powieści noblistów,
448:  MS - to już się z tego robi cała ciężarówka książek.
451:  MS - Po prostu nie ma tyle czasu, a jeszcze jest filozofia, jeszcze są sprawy współczesne.
455:  MS - Tego jest za dużo.
457:  MS - Więc selekcja.
459:  MS - Jak możemy teraz przejść od szkoły, bo...
465:  MS - Nie jestem pewien w stu procentach, czy jeszcze tak wygląda, bo moja przygoda ze szkołą średnią zakończyła się w 2006 roku, więc może teraz jest trochę lepiej, mam nadzieję.
476:  MS - Natomiast do moich czasów to wyglądało mniej więcej tak, że była lista rzeczy, które trzeba było zakuć, potem zdać, a na koniec zapomnieć.
483:  MS - Tak też wyglądały moje studia.
486:  MS - Wiedząc, że wchodzimy teraz w okres, kiedy trzeba
492:  MS - wyszukiwać, umieć wyszukać i wiedzieć co zapamiętać w ogóle, jak możemy przesterować ten gigantyczny okręt jakim jest edukacja i który jest mało sterowny na myślenie od zakuwania do wyszukiwania i jak w ogóle zrobić to przejście mentalne wewnątrz siebie, że
514:  MS - My nie musimy pamiętać wszystkich wzorów, tylko musimy wiedzieć, jak je znaleźć, albo nie musimy pamiętać wszystkich bohaterów lekcji, tylko wiedzieć, gdzie ich znaleźć.
521:  MS - Przecież w tej chwili mamy tak gigantyczny, taka góra lodowa cała tego jest, tej historii edukacji, bo nasza edukacja od mniej więcej 200 lat wygląda podobnie.
534:  MS - Są rzeczy, które trzeba po prostu wykuć.
537:  MS - Jak zmienić kurs?
539:  KMM - Powiem może z mojego własnego doświadczenia.
541:  KMM - Myślę, że wciąż w Polsce, i dodam, że na szczęście, nie wszyscy mają doktoraty.
547:  KMM - Dodałem złośliwie na szczęście, ponieważ w Polsce jest przeświadczenie do jakiegoś czasu, że każdy powinien być magistrem, co jest przeświadczeniem post-PRL-owskim bardzo szkodliwym, ponieważ dzisiaj potrzebujemy, jeśli już, to pracowników wysoko wykwalifikowanych po szkołach zawodowych, natomiast absolutnie nie potrzebujemy
563:  KMM - multi-instrumentalistów po uniwersytetach i erudytów, po prostu to ci ludzie są bardzo często skrzywdzeni w ten sposób, że dostają dyplomy, certyfikaty, nagrody, a potem na miejscu, na rynku pracy dostają czarną polewkę i nie mają możliwości zatrudnienia się nigdzie i to jest problem przekwalifikowania.
580:  KMM - ponieważ kwalifikujemy troszeczkę w innym wymiarze, ale odszedłem trochę od wątku.
584:  KMM - Mianowicie pisałem doktorat, jak każdy doktorat humanistyczny, w bardzo tradycyjny sposób.
589:  KMM - To znaczy trzeba było przeczytać n książek, n publikacji naukowych, no i w bibliografii do mojego doktoratu jest 670 pozycji zacytowanych.
597:  KMM - Oznamiam niniejszym, że nie przeczytałem żadnej.
600:  KMM - Od początku do końca.
602:  KMM - Dlaczego?
603:  KMM - Dlatego, że po pierwsze to jest całkowicie bez sensu, ponieważ jeżeli się czyta po kolei te wszystkie teksty, no to zapamiętujemy to, co inni mówili, prawda?
611:  KMM - No i teraz co moglibyśmy zrobić?
613:  KMM - Możemy zrobić syntezę podręcznikowo-szkolną i opisać wszystko to, co inni mówili, czyli sparafrazujemy, czyli źle, ponieważ nie będziemy cytować.
620:  KMM - Okej, no to zacząłem cytować.
622:  KMM - I jak zacząłem gromadzić te wszystkie cytaty, to zrozumiałem, że tak naprawdę ja te wszystkie źródła naukowe potrzebuję dlatego właśnie, dla cytatu.
630:  KMM - Następnie cytat opatruję jakimś kontekstem, dodaję swoją notatkę.
633:  KMM - I co mi się w ten sposób zaczyna tworzyć?
635:  KMM - Nie linearna opowieść, jakiej uczy nas szkolnictwo, tylko mapa, mapa myśli, mapa powiązań.
642:  KMM - Oj, czyżbym właśnie opisał internet z hiperłączami, czyżbym właśnie opisał chmury tagów,
647:  KMM - My w ten sposób dzisiaj myślimy.
648:  KMM - I teraz problem polega na tym, że ludzie uważają, że taki styl jest chaotyczny, jest nieuporządkowany, nie ma nic wspólnego z nauką i z edukacją, a tymczasem oczywiście, że ma bardzo dużo wspólnego z nauką i edukacją.
659:  KMM - I naturalnie, że jeżeli ktoś zaczyna dopiero poznawać jakąś dziedzinę, fajnie jest przeczytać jakąś książkę, natomiast potem im więcej wiemy, tym bardziej już będziemy właśnie selekcjonować informacje.
670:  KMM - I na tym cała rzecz polega.
672:  KMM - Jak można zatem zacząć pracować w ten sposób na...
675:  KMM - w szkole na samym początku, no zamiast metod dedukcyjnych wprowadzić indukcyjne.
679:  KMM - Wychodzimy od przykładu, wychodzimy od jakiegoś cytatu, zaczynamy go obudowywać po kolei.
684:  KMM - Bardzo prosta rzecz, do wykorzystania od zaraz.
689:  KMM - Dużo ludzi, myślę, w Polsce by się zgodziło, że nasze korzenie słowiańskie to jest coś, co powinniśmy znać jako obywatele Rzeczpospolitej.
695:  KMM - I jest coś takiego jak obrzęd dziadów.
697:  KMM - W związku z powyższym, żeby poznać obrzęd dziadów, wprowadzamy konieczność lektury poematu romantycznego, który buduje nie dość, że barierę kulturową, to jeszcze barierę językową.
707:  KMM - W związku z powyższym, skoro jest bariera językowa, to wprowadzamy do tego słownik, czyli trzecie źródło.
711:  KMM - Następnie wprowadzamy do tego opracowanie lektury, ponieważ prawda jest taka, że nikt nie czyta dziadów, włącznie z nauczycielami języka, polskimi egzaminatorami, tylko wszyscy czytają opracowanie.
720:  KMM - Zresztą te opracowania też piszą nauczyciele, więc trudno się dziwić, to jest samosprawdzająca się przepowiednia.
725:  KMM - I wprowadzamy tych źródeł bardzo dużo, cały czas w jednym celu.
728:  KMM - Opisu obrzędu dziadów.
730:  KMM - A możemy odpalić Wiedźmina, trzeciego dziki gon, zobaczyć jak wygląda obrzęd dziadów, przeżyć go, zapamiętać, bo to już jest udowodniona sprawa wiele razy, że jeżeli coś przeżyjemy, jeżeli coś zobaczymy, jeżeli dokonamy interakcji, to zapamiętujemy to lepiej i szybciej, z bardzo prostego powodu więcej zmysłów jest zaangażowany, jest to prosty stosunek ilościowy.
752:  KMM - I następnie, jak jakiś uczeń spyta, a w zasadzie to skąd to się wzięło?
756:  KMM - A skoro pytasz, tu jest rozszerzenie tego tematu i przechodzimy sobie do Mickiewicza.
762:  KMM - Nie do całości, tylko do tego fragmentu.
765:  KMM - I teraz możemy przeprowadzić tego rodzaju eksperyment, jedną klasę prowadzić tak, a drugą klasę prowadzić w taki sposób, w jaki się teraz prowadzi, to znaczy krzywdząc młodych ludzi i zniechęcając ich do literatury.
776:  KMM - I wtedy przekonamy się, która metoda jest lepsza.
778:  KMM - Jeszcze dowcip polega na tym, że ja, ponieważ kończyłem polonistykę, wiem dobrze, że ta druga metoda, która jest stosowana dzisiaj w pruskim szkolnictwie, nazywa się historią literatury.
788:  KMM - Różnica między historią literatury uniwersytecką, a tym, co jest w szkole, polega na tym, że historia literatury szkolna jest ograniczona i prymitywna, natomiast historia literatury uniwersytecka jest prowadzona właściwie, tak, dyscyplina naukowa.
800:  KMM - No nie da się w szkole w 45 minut stwierdzić, że o,
803:  KMM - to zrobimy sobie w takim razie badania na temat, no na przykład, chociażby neurobiologicznej, będziemy badać próbki i w ogóle wysyntetyzujemy jakieś nowe, nie wiem, związki chemiczne.
813:  KMM - Nie da się tego zrobić, prawda?
815:  KMM - Więc dyscypliny naukowe i ich miejsce jest na uniwersytecie, tam się ludzie mają tym zainteresować, jak chcą zostać historykami literatury, super.
821:  KMM - Wprawdzie nie potrzebujemy ich 300, czyli tyle, ile kształciła moja polonistyka krakowska, nie potrzebujemy, myślę, 300 historyków literatury w Polsce rokrocznie i to na jednej uczelni,
830:  KMM - Potrzebujemy jakichś trzech, ale wciąż potrzebujemy, prawda?
834:  KMM - Więc jeżeli ktoś rzeczywiście jest predestynowany do tego, super, ale musimy wpierw zobaczyć, czy ktoś ma talent.
840:  KMM - I ta metoda, którą przedstawiłem wcześniej, metoda gry, metoda doświadczenia, sprzyja wyłanianiu talentów.
846:  KMM - A polskie szkolnictwo i edukacja absolutnie nie jest wymierzone w wyłanianie talentów.
850:  KMM - Jeżeli ktoś sobie radzi,
852:  KMM - to jest tym, który otrzymuje najmniej opieki od nauczyciela czy wykładowcy, no bo to jest ten piątkowy tak zwany uczeń, to on sobie poradzi.
858:  KMM - Czyli zmusza się wtedy rodziców do tego, żeby wysłali go do edukacji prywatnej albo wykupili prywatne korepetycje, albo w ogóle zakłada się, że jeżeli ktoś jest bogaty, no to sobie poradzi, bo ma pieniądze.
868:  KMM - I skutek tego jest taki, że w Polsce większość ludzi, którzy osiąga jakieś duże sukcesy edukacyjne i zawodowe, albo ma zaplecze finansowe jakieś zewnętrzne, albo właśnie rodzice inwestują czy to w księgozbiór, czy to w gry, czy to w dodatkowe kursy,
881:  KMM - Natomiast ludzie, którzy rzeczywiście by potrzebowali tego wsparcia i nie mają zaplecza ekonomicznego, zostają w tym samym miejscu, w którym byli w XIX wieku.
889:  KMM - I to jest troszeczkę smutne, zwłaszcza, że zostają również pozbawieni tych kompetencji cyfrowych, które są gigaważne.
895:  KMM - No i może kogoś to zdziwi.
897:  KMM - Ale ja tego rodzaju eksperymenty mam możliwość przeprowadzania i na przykład mogę powiedzieć z absolutnym przerażeniem, że jak robię od sześciu lat egzaminy, gdzie można korzystać z notatek, z laptopa, ze smartfona i z nagrań filmów, to wciąż procent zdawalności kształtuje się na poziomie 60-70.
913:  KMM - Nie 100, a powinien być 100 procentowy poziom zdawalności.
917:  KMM - I to oznacza, że przynajmniej te 30-40% ludzi nie jest w stanie
923:  KMM - odpowiedzieć na pytania, które wymagają kreatywności i wykorzystania wiedzy.
927:  KMM - Czyli nie jest w stanie funkcjonować społeczeństwie internetu, które daje nam całą wiedzę i wymaga od nas tylko tego, żebyśmy odsiali ziarna od plew.
936:  MS - Ja osobiście jestem wzruszony pana pomysłem, żeby wykorzystywać grę komputerową Wiedźmin do nauki języka polskiego.
945:  MS - Ja to, mówiąc wprost, ogromnie bym propsował, natomiast obawiam się, że to nie przejdzie.
952:  KMM - Przepraszam, że się wtrącę od razu dlatego, że w tradycyjnym modelu Wiedźmin 3 zostałby wpisany na listę lektur i następnie rozpisaną by plan wydarzeń i charakterystykę postaci Geralta i oczywiście byłyby motywy i tropy do wypisywania i następnie pytania na maturze, w której minucie gry się pojawia to a to.
969:  KMM - Wymień wszystkie budynki, które są w Welen i tak dalej.
973:  KMM - To nie ma sensu, to jest parodia i niestety, ale w tym momencie wiem, że atakuje 80% polonistów w Polsce, którzy są zmuszeni także do tego przez egzaminatorów, którzy kompletnie oszaleli z Centralnej Komisji Egzaminacyjnej, ale to jest parodia, to jest parodia kultury.
987:  KMM - Ja się nie dziwię naprawdę, że Polacy
989:  KMM - wybierają YouTube'a czy TikToka ponad utwory artystyczne, mimo że jest ich tak strasznie dużo.
995:  KMM - Ale za przecinkiem dodam, gdyby nie ten YouTube i TikTok, bardzo często ludzie by nawet nie znali odpowiedzi na bardzo proste pytanie.
1001:  KMM - Od jakiej anime zacząć oglądanie anime?
1004:  KMM - Albo jakie są najfajniejsze powieści fantasy, które mogę przeczytać?
1008:  KMM - Bo tego się w szkołach nie dowiadujemy, nie dowiadujemy się tego w instytucjach kultury, bibliotekach publicznych, nie dowiadujemy się tego w telewizji publicznej,
1016:  KMM - ani we wszystkich innych tych instytucjach, które my finansujemy z podatków.
1020:  KMM - Więc to jest pewien paradoks, że z jednej strony mówimy wszędzie w szkolnictwie i tak dalej, że internet zły, ale z drugiej strony to on jest wartościowszym źródłem informacji na temat współczesności.
1031:  MS - Ja bym chciał tylko zauważyć, że chyba nic mnie tak nie zniechęciło do czytania książek jak Mickiewicz w liceum, bo podawanie Mickiewicza 14 czy 15-latkom to jest najkrótsza droga do tego, żeby ich nauczyć, że czytanie powieści...
1051:  MS - czytanie książki jako takiej, to jest coś, co się robi w szkole, to jest bolesne, to jest nieprzyjemne i tego się nie powinno robić więcej, bo to jest coś, co jest tylko dla szkoły i człowiek z radością się pozbywa tego brzemienia, jak tylko skończy szkołę.
1067:  MS - Udało mi się w międzyczasie jeszcze trafić na akurat lektury szkolne, które mnie zainteresowały.
1072:  MS - Ze zdziwieniem przyznam, że lalka niesamowicie mnie zapaliła do czytania.
1077:  MS - Natomiast
1078:  MS - Gdyby akurat się okazało, że zobaczył tę dziewięciuset czy tysiąc stronicową cegłę, czyli lalkę i stwierdził, że nawet nie próbuje.
1088:  MS - Całe szczęście założyliśmy się z kolegą, kto przeczyta pierwszy.
1091:  MS - Zarwałem trzy nocki nad lalką i przeczytałem pierwszy po tygodniu.
1093:  MS - Nie, dziesięć dni mi to zajęło.
1094:  MS - W każdym razie, gdyby moje doświadczenie z literaturą to był wyłącznie, czy mojego piętnastoletniego, mnie, doświadczenie z literaturą to byłby wyłącznie Mickiewicz, to jestem pewien, że w tej chwili nie czytałbym książek, po prostu.
1108:  MS - Ja oczywiście dostrzegam piękno tej literatury, dostrzegam wielowarstwowość i te wszystkie wątki, które on próbował tam przemycić, ale to mówię ja lat 36, a nie ja lat 16.
1121:  MS - To jest raz.
1122:  MS - Ale druga rzecz, która mnie tutaj teraz
1125:  MS - Zastanowiła w tym, co Pan mówił.
1126:  MS - Okej, czyli wiemy już, że tak jak mówiłem, góra lodowa jest ogromna, są nauczyciele, kształceni w konkretny sposób, nad nimi jest czapa administracyjna w postaci komisji egzaminacyjnych, ministerstwa, no i ogólnie jeszcze jest w narodzie takie poczucie, że nie można niepoważnych rzeczy robić w szkole.
1146:  MS - Wszyscy to całe szczęście podzielają.
1148:  MS - Ja na przykład byłem niedawno, przysłuchiwałem się rozmowie dwójki rodziców, gdzie jeden rodzic, moi znajomi, jeden rodzic był oburzony, że w ramach lektur są takie niepoważne rzeczy jak Hobbit i Harry Potter.
1164:  MS - Rodzic był zachwycony, bo dziecko to czyta.
1167:  MS - Ja się skłaniam raczej w tę stronę, że lepiej czytać Harry'ego Pottera jak nic.
1172:  MS - Aczkolwiek ja nie czytałem Harry'ego Pottera, więc może to jest dobra literatura.
1175:  MS - Nie mam pojęcia.
1175:  MS - Hobbita czytałem, był świetny.
1177:  MS - Natomiast jest taki wiadukty nawiz, który nad nami wisi.
1183:  MS - I co zrobić, żeby powiedzieć tym ludziom, słuchajcie, to, co wy postulujecie, to jest uczenie ludzi tak samo, jak w XIX wieku świat się zmienił.
1194:  MS - Jak to zmienić?
1196:  KMM - Zanim o tym, to jeszcze dodam, że kryterium przynależności do listy lektur nigdy nie powinno być kryterium wartościującym z tego względu, czyli że coś jest dobre lub złe, że nauka nie znosi wartościowania.
1208:  KMM - Nie ma czegoś takiego w literaturoznawstwie jak wartościowanie, że coś jest wybitne lub nie, mimo że literaturoznawcy tak wiele razy piszą i się mylą, bo od tego jest krytyka literacka.
1216:  KMM - I tak samo krytyka filmowa.
1218:  KMM - Więc my jesteśmy od tego jako literaturoznawcy, żeby na przykład coś rozłożyć na czynniki pierwsze i powiedzieć, jak coś działa.
1224:  KMM - Ja na przykład mogę sformułować łatwą krytykę wobec tego, że w polskim programie jest przeładowanie poezją i teatrem, zwłaszcza, że dramatu się nie powinno czytać, tylko dramatu się doświadcza w teatrze, nie czyta się go na lekcjach.
1237:  KMM - i ludzie nie mają kompetencji do analizy prozy, czyli jednego z najbardziej podstawowych mediów komunikacji współcześnie, skutkiem czego jak chcą na przykład debiutować, to mają bardzo dużo do nadrobienia i o wiele łatwiej jest debiutować w Polsce w poezji.
1248:  KMM - To taka mała tylko korekta tutaj do tego, że to kryterium wartościujące jest problematyczne strasznie.
1254:  KMM - Natomiast jeżeli chodzi o zmianę tego, to ktoś mi bardzo fajnie powiedział ostatnio w komentarzu na YouTubie pod jednym z moich filmów, że
1260:  KMM - że tak, że łatwo jest podać punkt dojścia i łatwo jest zdiagnozować problemy w punkcie wyjścia, natomiast problem jest w rozpisaniu tych wszystkich kamieni milowych po drodze, które musimy osiągnąć.
1271:  KMM - Jest to absolutna prawda, to znaczy jedynym sposobem na to, żeby to zostało zrobione dobrze, jest przećwiczenie i naukowa...
1279:  KMM - naukowa metoda sprawdzająca jakość alternatywy wobec tego, co jest tu i teraz.
1285:  KMM - Bo jeżeli nawet weźmiemy te miary, od których zaczęliśmy dzisiejszą rozmowę, PiS-owe, to okazuje się, że ten ranking PiS-a diagnozuje nam szkołę jako złą, ale równocześnie cały czas słyszymy, że system jest dobry.
1299:  KMM - W związku z powyższym trzeba znaleźć, jako w każdym dystopijnym systemie, wroga systemu i Immanuelem Goldsteinem, większości nauczycieli myślących w ten sposób, są smartfony i internet.
1308:  KMM - Jest jeden zasadniczy problem.
1310:  KMM - W rankingu PISA są także dzieci z Holandii, Norwegii, Niemiec, Francji, Włoch, jak rozumiem tam nie ma dostępu do smartfonów i internetu.
1319:  KMM - Więc jeżeli już odbaliliśmy ten argument, to zastanówmy się, gdzie jest problem.
1323:  KMM - Problem ewidentnie musi tkwić w tym, jak jest zorganizowany system.
1326:  KMM - Pomijamy aspekt internetu i telefonów komórkowych, bo na to nie mamy wpływu.
1329:  KMM - Tego się trzeba nauczyć, ale to jest zupełnie inna sprawa i to na lata, przepraszam, mi pingnął telefon.
1334:  KMM - Więc to, co musimy zrobić bezwzględnie, to...
1338:  KMM - No niestety, poświęcić jakiś rocznik na to, żeby sprawdzić, czy metoda alternatywna działa na szeroką skalę.
1345:  KMM - Ponieważ, że ona działa na skalę małą, to my już wiemy.
1348:  KMM - Ponieważ szkoły demokratyczne w alfdorskiej Montessori i edukacja domowa osiągają sukcesy edukacyjne porównywalne o ile nie wyższe wobec szkół systemowych.
1357:  KMM - Długi czas słyszeliśmy, że edukacja domowa
1359:  KMM - sobie nie poradzi, ponieważ ludzie nie zdadzą matur.
1362:  KMM - Ja byłem bardzo spokojny, ponieważ pamiętałem, że żeby zdać maturę nie trzeba absolutnie nic wiedzieć, zwłaszcza z języka polskiego.
1367:  KMM - Wręcz przeciwnie, im mniej się wie, tym lepiej.
1370:  KMM - Ludzie, którzy czytają zazwyczaj na maturze właśnie mieli problemy, ponieważ nie umieli sobie tych idiotycznych faktów poprzypominać, natomiast ludzie, którzy przeczytali opracowania sobie świetnie radzili.
1378:  KMM - I to zresztą wszyscy przyznają, jak z nimi szczerze porozmawiać.
1382:  KMM - Więc nie był dla mnie zaskoczeniem, że Szkoła w Chmurze i podobne organizacje zajmujące się edukacją domową poradziły sobie na maturze, z czego mamy dowód, że to działa.
1391:  KMM - Że można poza systemem, bez żadnego problemu, z trzema czwartymi praktycznie mniej czasu przeznaczonymi na naukę, przygotować się do egzaminów państwowych.
1401:  KMM - Więc teraz powinniśmy ten eksperyment trochę rozszerzyć, także na szkoły publicznej, przeprowadzić programy pilotażowe, które będą napisane przez osoby mówiące o radykalnej alternatywie wobec oświaty i czerpiące z doświadczeń szkół waldorskich, Montessori, edukacji domowej, demokratycznych i wielu, wielu innych.
1417:  KMM - To jest moim zdaniem właśnie ten program, który powinien być wdrożony tu i teraz, bo jeżeli minister lub ministra obecna w tym momencie zaordynuje zrobienie czegoś, to przyjrzyjmy się jak to wygląda z zadaniami domowymi.
1428:  KMM - Miały zostać zlikwidowane, co w tym miejscu oznacza, miał zostać zniesiony nakaz zadawania zadań domowych.
1435:  KMM - Nawiasem mówiąc nie ma takiego nakazu w prawie oświatowym, ale to zostawmy.
1438:  KMM - W każdym razie miało być powiedziane, że nauczyciele nie mogą ich oceniać i wliczać tej oceny do średniej.
1444:  KMM - I skończyło się na tym, że tylko nauczyciele się zgodzili na to, że to będzie możliwe tylko w podstawówce.
1449:  KMM - Czyli już odpuszczono liceum.
