Jak generować DOBRE pomysły? Seweryn Rudnicki i Krzysztof M. Maj |🚀26
🔗 https://www.youtube.com/watch?v=an6TNZtBUEE
KMM (Krzysztof M. Maj)
SR (Seweryn Rudnicki)

0:  SR - Pomysł to jest nic.
464:  SR - różnymi pytaniami, żeby wyprodukował coś bardziej oryginalnego.
468:  SR - Generalnie robił takie pętle.
470:  SR - Więc póki co, jeśli chodzi o taką empatyczność pomysłów i taką nieszablonowość, no ludzie byli lepsi.
477:  SR - Oczywiście to jest zabawa.
478:  SR - My też staramy się przyjrzeć temu, jak to na błędzie funkcjonuje, ale ja mam poczucie, że to... Wiesz, zresztą pomysł to jest nic.
487:  SR - Pomysł jest takim powiedzeniem, że pomysł wart jest 1 zł plus wart.
491:  SR - Moim zdaniem to jest dobre powiedzenie.
492:  SR - Generalnie pomysł jest bardzo mało warty.
495:  SR - Rozwinięcie tego pomysłu, dopracowanie, połączenie go z innymi pomysłami, przepiwotowanie go ileś razy w trakcie, dopracowanie go i wdrożenie, to jest trudne.
505:  SR - Tam jest wartość.
507:  SR - Pomysły, wiesz, coś zapisanego na karteczce post-itowej, na brainstormie generalnie.
511:  SR - Czasem te karteczki spadają, czasem się gubią.
514:  KMM - To jest jeden złoty.
516:  KMM - Ale wiesz, to jest ciekawe, co mówisz, bo dużo osób się boi o to, zwłaszcza osób z branży kreatywnej, projektowej, designerów także, że sztuczna inteligencja w różnych iteracjach odbierze im pracę.
527:  KMM - Teraz mamy moratorium sześciomiesięczne ogłoszone przez
531:  KMM - większość ludzi zajmujących się sztuczną inteligencją, osobna sprawa, czy rzeczywiście będzie przestrzegana, bo sam Altman już mówił, że wprawdzie niczego nie będą ogłaszać, ale czat GPT-5 jest w produkcji i jest w fazie prototypowania, należałoby powiedzieć.
545:  KMM - No ale właśnie, co by należało ludziom powiedzieć w takiej sytuacji, bo ja zwykle mówię ze swojej perspektywy groznawczej, kiedy zajmujemy się zwykle projektowaniem gier, no to mieliśmy niedobór kadry.
556:  KMM - Więc sztuczna inteligencja jest o tyle idealna, że uzupełnia braki kadrowe i pozwala przekierować ludzi na bardziej wymagające stanowiska, gdzie to będą po prostu tylko narzędzia.
565:  KMM - Ale pozostaje ten strach, że ktoś odbierze nam, ludziom, tę naszą właśnie kreatywność.
570:  KMM - Mówisz empatia i to jest coś, czego nie ma wciąż i prawdopodobnie długo nie będzie mieć sztuczna inteligencja.
575:  KMM - Co jeszcze takiego?
577:  SR - Wiesz co, ja też nie wiem, co się wydarzy oczywiście.
580:  SR - Oczywiście.
582:  SR - Nie do końca jeszcze jestem sceptyczny względem obietnic, które technologia sprawia, które nam daje.
588:  SR - Mnóstwo technologii nie działa tak, jak powinno.
590:  SR - Jak weźmiesz sobie autokorektę, no jakby jakim koszmarem to jest.
595:  SR - Więc jakby obietnica to jedno, rzeczywistość to drugie.
597:  SR - Natomiast też nie jestem jakby humanistyczny w tym sensie.
600:  SR - Nie uważam, że człowiek ma jakąś naturalną i przyrodzoną i zawsze, wiesz, obecną przewagę nad tymi rozwiązaniami.
606:  SR - Myślę, że
607:  SR - Chad i inne rozwiązania OpenAI-owe zmienią jednak to, w jaki sposób generujemy coś, co nazywaliśmy wcześniej jakby twórczymi treściami, jak pracujemy z tymi pomysłami.
617:  SR - Natomiast wiesz, ja dzielę sobie organizacje, które do nas przychodzą, do nas jakby biznesowo przychodzą, żeby pomóc w rozwiązywaniu dobrych pomysłów na dwie grupy zasadniczo.
626:  SR - Jedna grupa mówi
628:  SR - Pomóżcie nam mieć więcej dobrych pomysłów.
630:  SR - Użyjcie swoich technik, narzędzi, metod podejść.
633:  SR - Design Thinking jest jednym z takich podejść.
634:  SR - Jest ich znacznie więcej.
638:  SR - Ale druga grupa mówi, my nie mamy problemu z pomysłami.
641:  SR - Znaczy z ilością pomysłów, w sensie z samym generowaniem.
644:  SR - My mamy raczej nadmiar pomysłów i chcemy się nauczyć z nimi coś zrobić.
651:  SR - Parę miesięcy temu prowadziłem taki warsztat dla IKEA.
655:  SR - IKEA kojarzy nas z kreatywnością, a to akurat było
659:  SR - Bardzo ciekawa firma w ogóle, bo ja nie wiedziałem tego wcześniej, ale IKEA jest franczyzą, czyli jest tak jak żabka.
666:  SR - Jest tylko jeden sklep, którego IKEA jest właścicielem jakby dosłownie i to jest w Holandii, w Delft.
672:  SR - No i oni właśnie tam mają taki innovation center, zamówili u nas taki proces, taki warsztat jak gdyby kreatywny, jak sprawić, żeby dobre pomysły nie umierały przedwcześnie.
681:  SR - To było na otwartym wydarzeniu, tak spokojnie mogę o tym mówić.
684:  SR - No i oni nawet...
687:  SR - Bardzo mocno akcentowali to, ile się dzieje z pomysłami niedobrych rzeczy, po tym jak już teoretycznie powstaną, wiesz, skończył się brainstorm, mamy pomysły gdzieś tam zapisane, mamy zmapowany proces, no ale wiesz, to gdzieś przestaje komuś pasować, jest jakiś strzał z boku, jakiemuś menadżerowi tam to jest nie po linii, nie ma nawet takiego wiarygodnego testu tych pomysłów na rynku.
709:  KMM - Bardzo często się mówi, ja jestem niezdecydowany jak oceniać te zdania, ale go nie lubię.
714:  KMM - To znaczy, że nie ma złych pomysłów, bo jasne, nie ma złych pomysłów, to jest dobra retoryka, ale jednak jest taki moment, na którymś etapie prototypowania, że trzeba zdecydować się, idziemy w to, a odrzucamy te inne, które są potencjalnie interesujące, ale nie możemy ich iterować w nieskończoność.
731:  SR - Dokładnie.
733:  SR - Wiesz, jest dużo takich nieporozumień, gdzieś tam mitów w tej sferze kreatywności.
736:  SR - Jednym z nich jest to właśnie, że nie ma złych pomysłów.
739:  SR - Jedyne, co stosujemy jakby w procesach kreatywnych, co jest dość mocno osadzone w wiedzy o kreatywności, którą mamy po wielu już dekadach badań, to jest to, że kluczem, czy sposobem na dojście do dobrego pomysłu
753:  SR - jest to, żeby mieć wiele różnych pomysłów.
756:  SR - I generalnie większość tych technik pracy nastawionych na generowanie polega na tym, żeby ułatwić ludziom generowanie dużej liczby bardzo różnorodnych pomysłów.
765:  SR - Przez pewien czas tak jakby zawieszamy zwykle ocenę tych pomysłów.
770:  SR - ale ją włączamy później.
772:  SR - Czyli to nie jest taki proces, że akceptujemy, wiecie, dosłownie każde jest takie odpowiedzenie brain fart, nie będę może tłumaczył, ale generalnie przez pewien czas te wszystkie brain farty akceptujemy do pewnego momentu, później jednak oceniamy i staramy się te najlepsze tylko...
787:  SR - wybrać i rozwinąć.
789:  KMM - Uwielbiam, będę używał słowa pierdzi pomysł teraz za każdym razem.
793:  KMM - Bardzo ciekawe, ale wiesz, jest jedna rzecz myślę kluczowa, bo ludzie boją się oceny.
797:  KMM - Ludzie boją się oceny zwłaszcza swoich pomysłów, bo są przyzwyczajeni do bardzo moim zdaniem negatywnego procesu oceniania, który nie jest ocenianą kształtującą, informującą, opisową, nie jest feedbackiem, nawet nie mamy polskiego słowa na feedback sensowny.
812:  KMM - No nie wiem, informacja zwrotna to jest jednak nie to samo, co to sprzężenie zwrotne,
817:  KMM - I czy to przypadkiem nie jest kłopot, który mamy, to znaczy nauczyliśmy ludzi nie oceniać się krytycznie i czekać tylko na informacje z zewnątrz, to znaczy zrobiłeś to dobrze, idź dalej i to nie jest kreatywność.
830:  KMM - Dokładnie.
831:  KMM - Jak uniknąć w takim razie tego?
832:  KMM - Ja byś polecał też uczyć ludzi na wczesnych etapach, żeby właśnie tę kreatywność można było wcześniej w sobie odkryć.
840:  SR - Znaczy ja myślę, że uczenie dzieci kreatywności nie ma żadnego sensu.
843:  SR - Bo są już kreatywne.
846:  SR - Raczej starajmy się ich nie oduczać tego.
848:  SR - Nie psujmy.
851:  SR - pomóżmy im to otrzymać bardzo długo.
854:  SR - To chyba tylko miałbym apel na ten temat.
856:  SR - Natomiast co do tych procedur, oceny pomysłów i w ogóle atmosfery, w których dobre pomysły powstają, jedną z podstawowych rzeczy, którą trzeba mieć, to jest bardzo mocne teraz hasło w menedżerskim środowisku zajmującym się innowacyjnością, to jest tak zwane bezpieczeństwo psychologiczne.
871:  SR - Czyli ludzie muszą się czuć swobodnie, jeśli chodzi o możliwość krytykowania, zadawania pytań, podważania status quo,
880:  SR - na różne sposoby też ekspresji siebie, czy swoich zdolności.
886:  SR - I jeżeli stworzymy warunki, w których to jest możliwe, kiedy ludzie właśnie nie boją się oceny, albo ten strach przed oceną jest przynajmniej jakoś bardzo ograniczony,
894:  SR - to się okazuje, że to bardzo sprzyja powstawaniu i rozwojowi dobrych pomysłów.
898:  SR - Więc generalnie to są te cechy środowiska, które powinniśmy gdzieś tam utrzymywać.
906:  SR - No jasne, że system edukacyjny, co ci będę mówił, bardzo szybko uczy nas.
911:  SR - Generalnie w tej kreatywności wyróżniamy dwa rodzaje zadań.
914:  SR - Jeden to są zadania zamknięte,
916:  SR - Czyli powiedzmy jest jedno dobre rozwiązanie w teście, jest jedno dobre rozwiązanie zadania z matematyki.
922:  SR - Różne algorytmiczne procedury nieraz mają jedno dobre rozwiązanie.
925:  SR - I tym się w kreatywności generalnie nie zajmujemy.
928:  SR - Zajmujemy się problemami otwartymi, co do których nie wiadomo jeszcze jakie jest dobre rozwiązanie.
933:  SR - Jakie nowe funkcjonalności powinien mieć nasz produkt.
938:  SR - pomysł na dobry wpis na social media, pomysł na dobry onboarding.
942:  SR - Mnóstwo różnych rzeczy możemy tutaj zaproponować.
944:  SR - Nie ma jednego dobrego rozwiązania i tym się zajmuje podejście kreatywne.
950:  KMM - Zwłaszcza, że to jest też metoda bardzo często prób i błędów, powtarzalna, iterowalna.
954:  KMM - Kiedyś był taki eksperyment właśnie zrobiony na LinkedInie, którego wywołałeś wcześniej przez Artura Kurasińskiego.
959:  KMM - który stwierdził, że bez żadnych nakładów finansowych będzie starał się przebić barierę 5 milionów wyświetleń danego posta na najbardziej niespołecznościowym medium społecznościowym, jakie zostało kiedykolwiek zaprojektowane.
970:  KMM - I udało mu się.
971:  KMM - Właśnie taką metodą iteracyjną, bardzo konsekwentną, a ponieważ też sprzedaje swój newsletter, no to dla niego było konieczne, żeby dotrzeć do dużej liczby użytkowników.
979:  KMM - I rzeczywiście miało taki feedback, swoją drogą od ludzi, którzy mówili mu, że dostali treść na LinkedInie, której wcześniej nie dostawali.
986:  KMM - Więc ta metoda prób i błędów wydaje mi się też właśnie czymś, do czego powinno się w edukacji dążyć, ale wiesz, pytanie jak to zorganizować w środowisku, bo też uczysz i łączysz te dwa światy ze sobą, możesz komuś podsunąć jakiś pomysł w tym kontekście.
1001:  KMM - W środowisku, które nie sprzyja tej kreatywności.
1004:  KMM - Wspomnę memiczne anegdoty związane z Googlami i innymi dużymi korporacjami, w których jest game room, w których jest przestrzeń taka swobodna, gdzie można się przesiadać ze stołu do stołu, siąść sobie na wygodnym pufie, no a versus na przykład układ katedralny, który jest na większości uniwersytetów, na szczęście u nas na wydziale są sale projektowe, ale to nie jest standard.
1026:  KMM - Standardem są wciąż sale katedralne z ławami i na środku jest ambona, z której ktoś nam peroruje, jak mamy organizować sobie życie.
1035:  KMM - No i jak wtedy?
1036:  KMM - Ciężko jest wtedy iterować pomysły, nie?
1039:  SR - Dokładnie.
1040:  SR - Ja też co do tych pokojów, game roomów i różnych innych creative rooms mam duży dystans.
1046:  SR - Bywa tak w organizacjach, że ludzie tam przychodzą popracować generalnie, bo tam jest w miarę spokojnie i
1052:  SR - Generalnie to jest jakby odwrócenie wykorzystania tej przestrzeni.
1054:  SR - Tak się też zdarza.
1057:  SR - Jasne, że przestrzeń, sposób jej ułożenia będzie nas tutaj popychał w różne strony, czy ułatwiał pewne rzeczy, a inne rzeczy utrudniał.
1065:  SR - Natomiast z mojego punktu widzenia najważniejsza jest tak zwana kultura organizacyjna.
1069:  SR - Czyli różne, zazwyczaj niepisane reguły, które kierują zachowaniem.
1073:  SR - Każda organizacja ma swoją kulturę.
1076:  SR - Tam, gdzie będzie parę osób, tam jakaś kultura regularnie się spotykających, działających w pewnym układzie, tam ta kultura się wytworzy.
1082:  SR - No i są takie kultury, w których trzeba szybko wyczuć jaką opinię ma szef, nie wolno dokonywać pewnej ekspresji różnych rzeczy, które są niepopularne, nie wolno krytykować pomysłów, nie wolno podważać.
1094:  SR - Jak ktoś powie pomysł, no to to jest święto, się nie dotykamy, żeby się ktoś nie obraził itd.
1100:  SR - Ten feedback jest też gdzieś tam zawalowany albo go nie ma, albo czasem jest taki powiedziałbym z buta i taki bardzo krytyczny.
1108:  SR - To są wszystko miejsca, które ograniczają szansę, że powstaną i rozwiną się dobre pomysły.
1116:  SR - Bo jak zgłosisz parę razy pomysł, wydaje się, że to jest fajne i na przykład szef nic z tym nie zrobi, albo nawet dostajesz informację, że lepiej siedzieć cicho, bo komuś tam to nie przeszkadzało, to zrobisz tak jeden, dwa, trzy razy, a później już zmienisz pracę albo będziesz siedział cicho.
1132:  KMM - A powiedz mi, dobry menadżer, który by stosował tego rodzaju techniki, jakimi się cechami powinien kierować, możesz też podać jakiś konkretny przykład.
1140:  KMM - Ja ze swojej strony kiedyś zetknąłem się z menadżerem, który był takim typowym przewodnikiem, który jest obok ciebie i ci pomaga, guide on the side, a nie sage on the stage, nie ten menadżer na scenie.
1151:  KMM - który dowozi milestone'y, dowozi kamienie milowe i wszyscy uważają, że tak, to jest dobry menadżer, ponieważ dowiózł projekt.
1157:  KMM - No tak, to jest też cecha dobrego menadżera, ale jest jeszcze właśnie ten aspekt miękki i to sprzyjanie kreatywności.
1163:  KMM - Co na przykład można byłoby robić wtedy?
1166:  SR - Dobry menadżer wychodzi z sesji kreatywnej.
1169:  SR - Nie jest na niej obecny.
1171:  SR - Jest tak zwanym problem ownerem.
1174:  SR - Czyli mówi, mamy taki problem, chcemy, nie wiem.
1176:  SR - Zastanówmy się, jakie nowe funkcjonalności do produktów wprowadzimy.
1179:  SR - Dlaczego akurat takie?
1180:  SR - Zastanówmy się, jak usprawnimy komunikację między zespołami, żeby osłabić efekty silosów, które mamy w firmie.
1187:  SR - Jak możemy sprawić, żeby ludzie mieli więcej poczucia sensu z pracy w naszej organizacji.
1192:  SR - Efekty silosów, jakbyś wytłumaczył ludziom szybko.
1195:  SR - Generalnie praca mamy zorganizowana w zespoły.
1198:  SR - No i te zespoły mają dobre kontakty ze sobą wewnątrz i wiedza krąży między nimi, natomiast słabo się wymieniają wiedzą między.
1205:  SR - Jeden zespół nie wie, co drugi robi, w związku z tym nie mogą korzystać ze rozwiązań, które opracowują, z różnych skrótów, nie mogą się uczyć od siebie nawzajem.
1212:  SR - Oczywiście też pewien dystans narasta wtedy między zespoły i tak dalej.
1216:  SR - Więc to jest niedobre z punktu widzenia organizacji.
1217:  SR - To jest strata zasobów, które mają.
1219:  KMM - Ten problem miał Apple kiedyś i właśnie jak projektowali tę swoją siedzibę w Cappertino, to idea była taka, że
1225:  KMM - żeby zespoły cały czas migrowały i na przykład były cały czas w tej stołówce pracowniczej, którą mają gigantyczną, żeby wymusić proces wymiany informacji o tym, co robią nawzajem.
1235:  SR - Tam nawzajem się ubikacje były tak ułożone, żeby ludzie się często po drodze do ubikacji spotykali.
1240:  SR - Więc można to intencjonalnie jakoś próbować projektować.
1245:  SR - Generalnie chodzi o to, żeby pół pomysły, ćwierć pomysły, które ludzie mają, zderzały się ze sobą, wchodziły ze sobą w kontakt, w interakcje, ocierały się o siebie, można powiedzieć, żeby powstawały nowe, przekształcone, rozwinięte pomysły.
1262:  SR - Więc to by było jakoś super istotne.
1264:  SR - Wracając do tego menadżera i co powinien robić, czy powinna robić, więc moim zdaniem zachowanie menadżera, czy w zasadzie lidera, może tak wolałbym użyć słowa lidera, polega na tym, że stawia problem, tłumaczy ludziom dlaczego to jest ważny problem, stwarza im warunki do pracy i mówi, jak coś sensownego wypracujecie, to my to wdrożymy.
1288:  SR - I wychodzi generalnie, bo praca w tego typu zespołach to jest w dużej mierze praca taka samoorganizująca się albo praca, która jest facylitowana czy moderowana przez osobę taką jak ja na przykład nieraz.
1300:  SR - Ja nie jestem menadżerem ludzi, z którymi pracuję.
1303:  SR - Ja jestem kimś odpowiedzialnym za stworzenie warunków do ich pracy.
1307:  SR - Ja im dbam o przestrzeń, dbam o proces, dbam o techniki.
1312:  SR - Pomagam im rozwiązać różne problemy, ale nie podejmuję za nich decyzji.
1317:  SR - Nie jestem ich przełożonym, w sensie nie podpisuję wniosków urlopowych, nie mam wpływu na ich karierę.
1323:  SR - I jakby w podejściu Creative Problem Solving bardzo wyraźnie rozróżnia się te role.
1328:  SR - Ja jak prowadzę zespół, to sam nie wymyślam.
1331:  SR - sam nie tworzę contentu tej pracy, tworzę warunki pracy i tego pilnuję.
1337:  SR - Założenie jest takie, że jak stworzymy dobre warunki pracy, dobrze dobierzemy zespół, dobrze przeprowadzimy ich przez proces, to na końcu będą wartościowe efekty.
1344:  SR - I wtedy ta osoba menedżerska może przyjść, popatrzeć, powiedzieć, co myśli, pogratulować, podziękować i zadbać o to, żeby był follow-up, tak zwany, żeby była kontynuacja generalnie tej pracy, żeby dobre rzeczy zostały wdrożone.
1360:  SR - To jest ta funkcja takiego wspierającego lidera, ale organizacje, bo jak myślimy o organizacjach, to organizacje oczywiście muszą robić dwie rzeczy.
1368:  SR - Jest nawet na to pojęcie, mówi się o tak zwanych oburęcznych organizacjach, które z jednej strony muszą oczywiście robić to, co większość organizacji robi, czyli kontrolować, koordynować, pilnować pewnej efektywności działania.
1379:  SR - To nazywamy w badaniach tak zwaną eksploatacją.
1382:  SR - Chodzi o to, żeby wykorzystywać te możliwości, które organizacja ma.
1386:  SR - Ale muszą też robić tak zwaną eksplorację, czyli poszukiwać nowych możliwości, nowych rozwiązań, myśleć bardzo szeroko, otwierać się na nowe rzeczy.
1395:  SR - I teraz większość tradycyjnych organizacji jest dobra w eksploatacji, jest słaba w eksploracji.
1401:  SR - Są takie organizacje, które są bardzo, bardzo dynamiczne, liderzy szybko wszystko zmieniają i tak dalej, są świetne w eksploracji, ale nie potrafią zamienić tego w działające, spiąć to w działalność, w działające systemy.
1414:  SR - Dobre organizacje, dobre w tym sensie tworzenia nowych produktów i tak dalej, innowacyjne organizacje są tak zwane oburęczne.
1419:  SR - No to jest porządny naukowy jakby ewidenc, że to działa najlepiej.
1425:  KMM - A co jeżeli jest kryzys w organizacji i trzeba wkroczyć i właśnie zaproponować chociażby takiej, która preferuje eksploatację nad eksplorację i wkracza cię wtedy i usiłuje cię zaprowadzić nową metodykę.
1439:  KMM - Jak to jest przyjmowane?
