Czy szkoła niszczy dzieci? | Krzysztof Maj
🔗 https://www.youtube.com/watch?v=amsrszmRhQY
KMM (Krzysztof M. Maj)
SP (Szymon Pękala, Szymon Mówi, Wojna Idei)

0:  SP - Hej!
246:  SP - I pierwsza rzecz, o którą właśnie tutaj wspomniałem, że grupą, która właśnie narzeka na ten system edukacji są uczniowie, prawda?
253:  SP - ale że nie mają platformy, żeby to wygłaszać.
254:  SP - Ale czy to nie jest tak, że uczniowie zawsze narzekają na system edukacji i choćby nie wiadomo, znaczy nie wiem, może się mylę, ale czy to nie jest tak, że co by się tam nie działo, to będzie część głośnych uczniów, które będzie mówią, że szkoła jest absolutnie po nic i choćby to działało naprawdę dobrze, to będą mieli takie właśnie zdanie?
269:  SP - W sensie nie jestem pewny, bo tak, z jednej strony można oczywiście powiedzieć, że no oni są, ich to najbardziej dotyka, więc teoretycznie mogą mieć najbardziej
277:  SP - najbardziej bezpośrednią perspektywę w zwracaniu uwagi na pewne patologie, ale z drugiej czy to też nie jest tak, że nie mają zupełnie porównania, że to nie działa dobrze, a gdzieś indziej działa dobrze.
290:  SP - Nie wiedzą tego, ponieważ to jest wszystko, czego doświadczyli.
292:  SP - I w sensie to nie znaczy, że tych patologii tam nie ma.
295:  SP - Ja się oczywiście bardzo, tak jak mówię, zgadzam z wieloma rzeczami, które tutaj padły.
299:  SP - które padają szerzej na twoim kanale, ale też pytanie, czy szukanie tutaj tych, czy szukanie konkretnie wśród uczniów zgłaszania tych uwag jest na pewno dobrym pomysłem, ponieważ na pewno są uczniowie, którzy zwrócą bardzo słuszne uwagi na niektóre rzeczy, ale tak patrząc gremialnie, mam wątpliwości, czy to jest, czy akurat tam bym się, czy nie bardziej bym się udawał właśnie do jakichś profesorów, do jakichś znawców tematu, choćby pana, którego wymieniłeś tutaj przedtem, o którego książce też wielokrotnie u siebie wspominasz.
329:  KMM - Powiem Ci tak, odwrócę trochę ten argument.
332:  KMM - Przyjrzałbym się tym uwagom, jakie one są i jakie są zgłaszane na przestrzeni lat.
337:  KMM - Pamiętam, podam bardzo prosty przykład.
340:  KMM - Jak rozmawialiśmy z kolegami, to było lat temu trochę, w gimnazjum jeszcze, które to gimnazjum wtedy było nowe, a teraz już jest stare, co też wiele mówi o tym, co się u nas dzieje, jak to fluktuuje.
352:  KMM - I mówiliśmy, dlaczego nie ma religioznawstwa, tylko jest religia?
355:  KMM - I to była nasza uwaga gremialna.
358:  KMM - I pamiętam, że dokładnie to samo mówili moi rodzice, którzy jeszcze pamiętali religię nauczaną w kościołach i narzekali na to, że migrowała do szkół i mówili, że spadł poziom bardzo.
368:  KMM - I mówili, że w szkole jest miejsce na religioznawstwo, na uczenie na przykład nas o islamie i innych religiach monoteistycznych, ale także innych postawach, nie wiem, postsekularnych, ateistycznych i tak dalej.
378:  KMM - I teraz jest dokładnie ten sam argument, czyli na przestrzeni powiedzmy 30-40 lat grupa najbardziej zainteresowana, czyli powiedzmy klienci tego systemu, którzy teoretycznie również mają rację.
392:  KMM - Moglibyśmy też powiedzieć, że rodzice są klientami systemu edukacji, ale ja wolę myśleć raczej o uczniach, jako tej grupie najbardziej zainteresowanej.
399:  KMM - Więc przez 40-50 lat dana grupa społeczna cały czas zgłasza ten sam problem.
405:  KMM - To jest oczywiście jeden z wielu.
407:  KMM - I nikt nic z tym nie robi.
410:  KMM - Czyli jest tak, jakbyś dostawał za każdym razem niewłaściwie przygotowany produkt, klienci by zgłaszali, że jest z tym problem, a firma mówiłaby, że wyjebane, nic z tym nie robimy, ponieważ ma monopol.
423:  KMM - I to jest właśnie problem, dlatego mamy praktyki antymonopolistyczne wdrażane w różnych krajach, natomiast nie ma praktyk antymonopolistycznych wdrażanych w systemie edukacji.
431:  KMM - Nie ma rozmowy z uczniami, którzy powinni być potraktowani w tym zakresie podmiotowo.
436:  KMM - Oczywiście nie mówię, że to uczniowie mają rządzić i zarządzać systemem edukacji, bo to jest absurd, natomiast to, co jest na przykład w szkołach demokratycznych wdrażane, to znaczy uczniowie mający głos doradczy, istotny w układaniu programu nauczania, czy
451:  KMM - na przykład podziału godzinowego, który teraz został doprowadzony do absurdu typu 9-10 godzin dziennie, to to jest myślę dobra droga i jasne, że odrzucam czy odcinam te wszystkie uwagi, które się pojawiają, że no a tam nauczyciel mnie niesprawiedliwie potraktował, bo to
468:  KMM - To się zdarzało, będzie się zdarzało za każdym razem.
471:  KMM - Ale wiesz, to co zaobserwowałem też w ramach swojego doświadczenia, samo otwarcie się na rozmowę z uczniem czy ze studentem w moim przypadku i danie możliwości jakiegoś wpływu na to, co będziemy robili, dużo już bardzo zmienia.
487:  KMM - I mam takie poczucie, że wśród środowiska nauczycielskiego nie ma aż takiej potrzeby i chęci do zmiany w tym zakresie, jak jest na przykład chęć i potrzeba do protestowania w zakresie płac, które są w systemie.
501:  KMM - Bardzo głośne medialnie są protesty nauczycielskie.
504:  KMM - Niedziwota.
506:  KMM - jeżeli chodzi o płace za niskie w systemie, natomiast nie przypominam sobie tak głośnych medialnie protestów dotyczących na przykład konieczności zrewidowania, zredukowania czy zlikwidowania podstawy programowej, czyli tego, co krępuje w tym momencie najbardziej edukację.
522:  SP - Tutaj też później się odniosę jeszcze do pewnej rzeczy, która padła tutaj wcześniej, natomiast zwróciłeś bardzo istotną uwagę na to, że te wszelkie protesty zwykle wokół systemu edukacji raczej nie dotykają tej najbardziej fundamentalnej roli tego systemu, czyli hipotetycznej roli.
536:  SP - W ogóle też ja tak na marginesie, to jest też taki temat, który ja tutaj już poruszałem kilkukrotnie, że w ogóle z religią to jest jeszcze osobny temat, ponieważ tutaj mamy osobny czynnik w postaci episkopatu itd., itd.,
546:  SP - I fakt, że w ogóle to jest bardzo dobre pytanie, dlaczego na przykład, nawet z perspektywy czysto katolickiej można zadać takie pytanie, dlaczego katecheza, czyli przygotowanie do wiary, odbywa się na ocenę w ramach systemu, czy to powinno tak być, prawda?
559:  SP - W sensie z perspektywy nawet czysto katolickiej, już pomijając aspekt edukacyjny tego i tak dalej.
564:  SP - Natomiast, tak jak słusznie zwróciłeś uwagę, wszelkie protesty, wszelkie dążenia do fundamentalnych zmian prawie nigdy nie dotyczą samego procesu nauczania i
575:  SP - To, co powiedziałeś wcześniej, też pasowuje się w to, że ludzie, którzy zarządzają tymi zmianami, ich nie dotyczy tak naprawdę, a przynajmniej nie bezpośrednio, skutek tego procesu.
586:  SP - To znaczy, to się odbija negatywnie na życiach uczniów, ludzi, którzy są albo nie są przygotowani później do życia, do rynku pracy, do współczesnego świata itd.,
596:  SP - Natomiast dla rządzących, czy tam dla nauczycieli, no to czy oni wyplują, że tak powiem, ludzi odpowiednio przygotowanych, czy nie, to nie ma zbyt dużego, że tak powiem, przełożenia na to, co się z nimi dzieje.
607:  SP - Natomiast to, ile się komu płaci, prawda, i kto zasiada w Związku Nauczycielstwa Polskiego, a kto nie, no to to ma bardzo duże przełożenie na ich życie, prawda, więc oczywiście...
615:  SP - No ale to jest, mam takie ciche wrażenie, że to jest symptomatyczne właśnie dla zmonopolizowanego i silnie zcentralizowanego systemu.
623:  SP - To znaczy, nie ma żadnej konkurencji i to, czy ten output, że tak się wyraża, tego systemu w postaci uczniów umiejących się dostosować, czy nie, mających zdolności do dostosowania się, czy nie, no to to zależy tak naprawdę tylko
637:  SP - dobrej woli ludzi, którzy kierują ten system, ponieważ nie ma żadnej pętli zwrotnej, która by ich kłuła, jeżeli ten system nie spełnia swoich założeń.
647:  SP - Także tu się zgadzam po prostu.
650:  KMM - Tak, no i jeszcze drugim problemem tego systemu jest to, że to jest system biopolityczny, to znaczy zarządza się tam ludźmi.
655:  KMM - I problem oczywiście polega na tym, że przez to, że się ludźmi zarządza, to można w bardzo łatwy sposób wpływać na to, co ludzie myślą, jakie będą mieli przekonania i tak dalej, i tak dalej.
667:  KMM - Taki cel ma lista lektor, która od lat wygląda tak samo i się nie zmienia.
672:  KMM - I błędem, strasznym błędem jest upolitycznianie listy lektor.
676:  KMM - Ja na przykład jestem bardzo przeciwny mówieniu...
679:  KMM - czy przysłowiowa twórczość Olgi Tokarczyk jest zła, ponieważ jest lewicowa.
682:  KMM - Nie, ja uważam, że jest zła dlatego, że daje zbyt wysoki próg wejścia dla uczniów i daje blokady poznawcze, ale jest wprowadzana na listę lektur właśnie dlatego, że jest gdzieś jakieś odgórne zarządzenie, ktoś stwierdza w oparciu o opinię ekspertów, które nie zawsze są słuszne, nawiasem mówiąc, że tak to musi wyglądać.
703:  KMM - Problem polega na tym, że
705:  KMM - i to znów mogę odwołać się do własnego doświadczenia, najlepsze doświadczenia edukacyjne, jakie miałem, wyglądały w ten sposób, że ja dawałem coś od siebie, na przykład dawałem jakąś listę książek, nie obowiązkowych, co ważne, ale równocześnie stwarzałem jakąś przestrzeń, mówiłem studentom, słuchajcie, co oglądacie na bieżąco, mówcie mi, będziemy na ten temat dyskutować.
725:  KMM - i z wszystkich komentarzy, jakie przeczytałem pod vlogami kiedykolwiek od uczniów i z rozmów też z nauczycielami i z uczniami wychodzi jedno, to znaczy takie rzeczy należą do rzadkości, żeby nauczyciel na początku roku po prostu zadał pytanie, kto się czym interesuje, a to jest kluczowe, ponieważ nauka zawsze polega na tym, że musi być postęp i krytyka wobec tego, co było wcześniej i nie jestem w stanie zrozumieć, dlaczego mamy system, który został skonstruowany i nie tylko niestety
752:  KMM - system edukacji podstawowej, ponadpodstawowej, ale także uniwersyteckiej na przesłance zupełnie przeciwstawnej.
759:  KMM - To znaczy, że mamy coś do przekazania, jakiś status kwotu i teraz i nie będziemy tego rewidować, nie będziemy tego w żaden sposób zmieniać w oparciu o to, co się dokonuje w świecie.
771:  KMM - Pamiętajmy, że w ciągu 20-30 lat dokonała się rewolucja technologiczna, która w żaden sposób nie wpłynęła na to, jak wygląda edukacja, a zmieniła nasze życie w 100%.
782:  KMM - Moim zdaniem takim jednym, jedynym momentem, kiedy zobaczyłem faktyczną rewolucję, a nie tylko rewolucję na papierze, że jedna partia stwierdziła, że o, my wyprowadzamy Gombrowicza, a my wprowadzamy Jana Pawła II, a nie, a teraz wyprowadzamy Jana Pawła II i wprowadzamy Gombrowicza, to są zmiany pozorne, ale zmiana faktyczna jaka się dokonała, to była teraz podczas edukacji zdalnej i wszyscy mówili, że szkoły nie zdały egzaminu,
805:  KMM - z niczymi wyjątkami.
806:  KMM - W związku z powyższym powinniśmy zrezygnować z takich metod hybrydowego nauczania.
810:  KMM - Oczywiście to jest błąd pomylenia następstwa z przyczynowością, ponieważ prawda jest taka, że ten test, który mieliśmy globalny, pokazał właśnie, że szkoła jest niedostosowana do świata scyfryzowanego kompletnie.
822:  KMM - To są obce rzeczywistości.
824:  KMM - Z jednej strony mamy rzeczywistość, w której nie wolno używać telefonów komórkowych na lekcjach, zamiast żeby uczyć dzieciaki jak się nimi posługiwać, właściwie jak je znajdować w aplikacji, jak docierać do informacji, a z drugiej strony mamy świat, który w ogóle nie ma takich barier.
837:  KMM - I nie ma możliwości, żeby te świata się ze sobą skomunikowały, jeżeli nie będzie jakiś jednostek, które będą mówiły, ok, zmienia się rzeczywistość, musimy dostosować do tego system.
849:  SP - Tak, tak ale.
851:  SP - Ale do tego ale wrócimy jeszcze tak jak mówiłem za chwilę.
855:  SP - Natomiast jeszcze chciałbym wrócić do tematu tego, którego tak jak poruszałeś też w wielu swoich materiałach, że środowiska nauczycielskie czy akademickie bardzo często tworzą właśnie takie bańki, które są kompletnie odporne na zmiany w świecie.
869:  SP - I to co powiedziałeś z cyfryzacją jest jak najbardziej słuszne w tym sensie, że
875:  SP - ludzie bardzo często na przykład właśnie w temacie list lektur, prawda, czy programów nauczania uczą się przekazywania takiej, przekazywano coś, co jest postrzegane jako jakieś tam uniwersalne prawdy i tak dalej, i tak dalej, ale one bardzo często odnoszą się do realiów, których po prostu już od dawna nie ma.
892:  SP - I to może być wartość historyczną, prawda, to może być bardzo ciekawe, jeżeli ktoś się tym interesuje, ale czy to uczy dzieci czegoś faktycznego o świecie, w którym żyją?
900:  SP - Niekoniecznie, prawda.
901:  SP - I wydaje mi się, że te bańki akademickie,
904:  SP - i są...
907:  SP - są istotnym elementem tej układanki w tym sensie, że właśnie nie ma tej pętli zwrotnej.
912:  SP - I pytanie, czy uważasz, że to jest, że to wynika z tego, co mówiłem wcześniej, że to jest właśnie organizowane odgórnie i jedyna siła nacisku płynie właśnie z rządu, prawda, czy z ministerstwa, a nie oddolnie?
924:  SP - Czy może są jeszcze w ogóle jakieś inne kwestie w tym?
928:  SP - Bo wiesz tak, zahaczę jeszcze tutaj o taką rzecz, bo patroni kiedy, jak zadawali...
934:  SP - była dyskusja na temat tej naszej rozmowy, która ma być, to zwracali też uwagę na taką rzecz, jak to, jak wygląda sam proces, sam proces rekrutacji nauczycieli, prawda?
944:  SP - I później tego ich wypalenia zawodowego i tego, że oni się w tym systemie de facto muszą podporządkować, bo jak nie, to ich życie będzie po prostu uprzykrzane na każdym możliwym kroku i tak dalej, i tak dalej.
952:  SP - I jak twoim zdaniem to wszystko się składa do tego stanu, gdzie rzeczywiście faktycznie jest tak, że wytwarzają się takie sfery, które są kompletnie odporne na bodźce płynące ze świata i w sposób, w zasadzie, to jest oczywiście takie poetyckie porównanie tutaj niedosłowne, prawda, ale systemy totalitarne to są takie, które są nastawione wyłącznie na zachowanie własnej władzy w danej dziedzinie, prawda?
977:  SP - Podobnie oczywiście nie dosłownie, ale czy nie można dostrzec pewnych tego typu elementów, że system jest nastawiony na to, żeby trwał, a niekoniecznie na to, żeby robił to, co ma robić właśnie.
990:  KMM - Wiesz, drugą cechą systemów totalitarnych jest ulubiona zresztą definicja totalitaryzmu Leza i Gattariego, że to jest instalowanie machiny przemocowej w dyskursie, maszyny wojennej innymi słowy.
1003:  KMM - I ta maszyna wojenna w tym wypadku będzie metaforą tego lęku, który został kiedyś świetnie przez profesora Szachaja zdiagnozowany.
1011:  KMM - Powiedział, że polska nauka jest na krześle elektrycznym.
1014:  KMM - To jest powód, dla którego ja nie uczę w szkole, mimo że mam uprawnienia pedagogiczne.
1018:  KMM - Zrozumiałem bardzo szybko, że nie jest możliwa zmiana od środkowa właśnie z uwagi na różne naciski, ale paradoksalnie to nie jest nacisk ze strony ministerstwa.
1029:  KMM - Ministerstwo ma zbyt dużą siłę bez władu i co więcej, nie przypominam sobie kompetentnego ministra edukacji od profesora Handkego w górę, włącznie z profesorem Handkem.
1039:  KMM - Problem polega na tym, że zwykle bardzo są konkretne plany na to, co należy zmienić w edukacji.
1046:  KMM - Na przykład profesor Kudrycka miał taki pomysł, że robimy stypendia i umiędzynarodowiamy naukę, a teraz minister Czartek ma zupełnie inny pomysł, to znaczy zwracamy się w stronę polityki historycznej.
1058:  KMM - I teraz jedno i drugie jest całkowicie przeciwstawne, ale jedno i drugie powinno być częścią o wiele szerszego korpusu dyscyplin, pomysłów, idei naukowych, którymi powinno być zainteresowane ministerstwo.
1072:  KMM - Ministerstwo nie powinno mieć agendy.
1074:  KMM - Ministerstwo powinno edukacji przynajmniej zajmować się edukacją wszechstronną.
1078:  KMM - Z jakiegoś powodu mówimy liceum ogólnokształcące na przykład.
1081:  KMM - Z jakiegoś powodu edukacja kształci w wielu aspektach.
1084:  KMM - Z jakiegoś powodu uniwersytet ma kształcić we wszystkich dziedzinach.
1088:  KMM - Dlatego też akademie zmieniały nazwy na uniwersytety, bo to się wiązało z dotacją i tak dalej, i tak dalej.
1093:  KMM - Natomiast to, do czego zmierzam, to to, kto jest winny za tym, jeżeli mielibyśmy szukać winnego, jeżeli nie ministerstwo.
1099:  KMM - Bo na pewno nie jestem zdania takiego, że należy obciążać winą
1104:  KMM - Kolejnego niekompetentnego ministra edukacji.
1106:  KMM - Nie.
1106:  KMM - Problem jest taki, że to samo środowisko wewnętrznie reguluje się w ten sposób, że jest odporne na zmiany.
1114:  KMM - Dlaczego?
1115:  KMM - Z tego samego powodu, dla którego student przychodzący na zajęcia na pierwszym roku jest tak przerażony i steroryzowany, że on się boi zadać pytanie.
1123:  KMM - i odbyłem rozmowy z setkami studentów już na ten konkretnie temat, za każdym razem pytając ich o to, dlaczego nie chcą mówić i nigdy nie było tak, że powiedzieli, że nie chcę mi się, nie wiem, wolę sobie pograć w heroesów, no akurat mam ten handicap, że na moich zajęciach mówimy o grach wideo, więc wiem, że to nie jest ten...
1143:  KMM - Ten aspekt, że boją się zabrać głos.
1146:  KMM - Nie, oni się boją zabrać głos, mimo że rozmawiamy o rzeczach, którymi się interesują, ponieważ są święcie przekonani, że wykładowca czy nauczyciel ma ich za plankton i za nikogo.
1158:  KMM - I dokładnie to samo myślą nauczyciele o wykładowcach.
1163:  KMM - Bo myślą sobie, a no tak, wykładowcy z nami nie protestują, oni mają nas za kogoś gorszego, zarabiają więcej, my zarabiamy mniej, tworzy się tarcie.
1171:  KMM - Wykładowcy niższego szczebla pomyślą o wykładowcach wyższego szczebla, o profesorach, profesorowie to samo mówią o dziekanach, dziekani to samo o rektorach, rektorzy to samo o KRASP-ie, a KRASP to samo o ministerstwie, KRASP czyli Konferencja Rektorów Akademickich Szkół Polski.
1186:  KMM - I teraz to krzesło elektryczne, metaforyczne, ta machina wojenna, o której pisał profesor Szachaj, to jest właśnie to, co trzyma społeczeństwo w tym ryzach.
1195:  KMM - To jest ten wewnętrzny strażnik, którego mamy, pan optyczny, że boimy się zmiany, ponieważ co powie kierownik katedry, co powie dyrektor szkoły, co powie nasz szef.
1204:  KMM - I to jest też powód, dla którego bardzo ciężko jest mówić o jakiejkolwiek zmianie i to jest też powód, dla którego nie znajdowałbym jakiegoś łatwego wroga, którego można sobie wyłuskać i powiedzieć, ach tak, to przez te osoby mamy teraz problemy w edukacji, zmienimy ją, będzie lepiej.
1221:  KMM - Nie, nie będzie lepiej, to znaczy nic się nie zmieni w dalszym ciągu.
1223:  KMM - Będziemy mieli zmiany o charakterze pozornym.
1226:  KMM - I znów pamiętam, jak tu były lekcje metodyki, które miałem na uniwersytecie
1231:  KMM - była taka jedna sytuacja, że dowiedziałem się, że dzieci mogą się uczyć notować od czwartego, czwarte klasy w górę.
1239:  KMM - Ja powiedziałem, przepraszam, ale miałem historyka, świetnego swoją drogą, kochaliśmy go, gawędziarz, niesamowity.
1246:  KMM - I on nas nauczył notować w trzeciej klasie szkoły podstawowej.
1249:  KMM - No to może to nie zależy od wieku, tylko to zależy od indywidualnego podejścia nauczyciela.
1253:  KMM - Nie, tu są badania, że od czwartej klasy w górę.
1256:  KMM - I oczywiście nie było żadnej możliwości polemiki, prawda?
1260:  KMM - I ostatnia kwestia, przez to, że właśnie przeszedłem przez studium pedagogiczne i widziałem, jak się uczy nauczycieli, jest taki jeden moment, kiedy masz tę pierwszą lekcję albo pierwsze zajęcie na uczelni i masz pokusę.
1272:  KMM - Ona jest niesamowita.
1274:  KMM - Przecież wezmę notatki z tego przedmiotu i zobaczę, jak byłem uczony.
1278:  KMM - Skopiuję to.
1279:  KMM - Znaczy nie, nie skopiuję.
1280:  KMM - Na początku myślisz, nie no, twórczo to przetworzę, prawda?
1283:  KMM - I to będzie oczywiście kreatywne i co innego.
1285:  KMM - Problem polega na tym, że to wtedy nigdy nie jest twórcze i nigdy nie jest to przetworzenie, nigdy to nie jest ta nauka, ten ideał nauki, który polega na budowaniu na barkach olbrzymów.
1294:  KMM - Jesteśmy tymi karłami na barkach olbrzymów.
1296:  KMM - Niestety nie.
1297:  KMM - Wtedy jesteśmy skarlałym olbrzymem i ten olbrzym nam coraz bardziej karleje.
1302:  KMM - Jak kopiujemy to, co robili nasi antenaci, przodkowie czy mistrzowie, przestają być oni mistrzami w momencie, w którym myślimy o nim jako o autorytecie, który jest niedosiężny
1313:  KMM - Jedyne co my możemy zrobić, to spróbować go nieudolnie skopiować, gdy tymczasem powinniśmy myśleć o nim jako o autorytecie, który odchodzi w niepamięć powoli i teraz jest czas, żeby przyszedł kolejny, żebyśmy my stali się jego mistrzem i myśmy czegoś jego nauczyli.
1328:  KMM - Nie bez powodu w polskim systemie edukacji jest taka przepaść między uczniami a nauczycielami, między studentami a wykładowcami,
1336:  KMM - A w systemach edukacji, które są konkurencyjne na rynku pracy, nazwijmy to, i które budują swój prestiż od lat, nie jest rzeczą niespotykaną profesor idący z doktorantem na obiad, rozmawiający z nim.
1349:  KMM - We Francji na Sorbonie są robione seminaria dyplomowe w domach wykładowców, kilkoma osobami, wśród książek.
1356:  KMM - To podmiotowe traktowanie sprawia, że później ktoś tak wykształcony w takim systemie inaczej myśli o swoich uczniach.
1363:  KMM - Więc to nie jest kwestia łatwego wroga.
1366:  KMM - Mówię przydługą wypowiedź, tylko kwestia tego systemu współzależności.
1372:  SP - Okej.
1374:  SP - Spoko.
1375:  SP - W takim razie takie rzeczy, które padły tutaj, że ministerstwo nie powinno mieć agendy, to można pytać, czy ministerstwo jakiekolwiek może nie mieć agendy w demokracji, gdzie to od tego, czy będzie miało agendę, czy nie, zależy w dużej części, czy ich wybiorą później jeszcze raz, czy nie.
1390:  SP - W sensie to jest jeszcze głębszy problem, tak naprawdę.
1394:  SP - Natomiast...
1396:  SP - Dużo z tych rzeczy to jest wytykanie błędów, jak mogłoby to być lepiej ewentualnie, ale pojawia się oczywiście tutaj zawsze uzasadnione pytanie, co w takim razie można by poprawić w naszym systemie edukacji?
1407:  SP - I mam tutaj dwa takie pytania.
1409:  SP - Po pierwsze, co można by poprawić, gdybyś miała jakiś realny wpływ na to, jak to wygląda, jakiś urzędowy czy jakikolwiek inny, prawda?
1415:  SP - A z drugiej strony, czy i co mogą wprowadzać, jakie zmiany wprowadzać mogliby faktycznie nauczyciele już teraz, którzy są zaangażowani, którzy chcieliby
1424:  SP - żeby ci uczniowie nie byli, że tak powiem, kaleczeni przez ten system, prawda?
1429:  SP - Więc jakie alternatywne do tych wszystkich patologii, na które oczywiście łatwo jest narzekać, rozwiązania można by tutaj zaproponować?
1439:  KMM - dwie rzeczy.
1440:  KMM - Po pierwsze likwidacja myślenia w ogóle i wszystkich jego systemowych reprezentacji o procesie nauczania jako o czymś co jest mierzalne.
1450:  KMM - To jest niemierzalne, to jest niemożliwe do zmierzenia.
1452:  KMM - Nie da się zmierzyć progresu w przyroście wiedzy, moim zdaniem.
1456:  KMM - Co oznacza, że rzeczywiście gdybym mógł sugerować jakiekolwiek zmiany, to byłaby to likwidacja wszystkich egzaminów możliwych, wyjąwszy egzaminy praktyczne i te egzaminy, które są i tak na rynku pracy konieczne.
1469:  KMM - Tak jest z prawem jazdy.
1471:  KMM - W odróżnieniu od szkół amerykańskich u nas
1473:  KMM - prawo jazdy nie jest jakoś, a nie nauka jazdy nie jest włączona w szkolne kurikulum, ale reguluje to rynek.
1480:  KMM - Tak samo jest w wypadku zawodów kluczowych, są patenty żeglarskie, szkoły pielęgniarskie, szkoły medyczne, długie, długie lata były poza uniwersytetami.
1490:  KMM - Moim zdaniem to było bardzo dobre rozwiązanie.
1492:  KMM - Błędem było włączanie szkół medycznych w obręby uniwersytetów i zresztą to jest głos samych profesorów i medyków w tej sprawie.
1500:  KMM - I to zostawiamy oczywiście.
1502:  KMM - Natomiast jest naprawdę szereg dyscyplin i kierunków studiów, które nie wymagają egzaminów.
1508:  KMM - Ale co w takim razie zrobić?
