Pojedynek wielu światów, czyli co wyszło i nie wyszło w nowym "Doctor Strange"?
🔗 https://www.youtube.com/watch?v=hB7-BTWbsg0
GW (Grzegorz Wątroba, Okiem Deva)
MK (Marcin Kończewski, Koń Movie)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

0:  BFP - Witamy w wojnie wielu światów.
226:  KMM - Zresztą zwracam wam uwagę, że Disney nie jest w stanie już zrobić innego filmu i innego serialu niż taki, w którym jest jakiś przedmiot, który wskazuje, że trzeba pójść gdzieś indziej i tam znajdziemy inny przedmiot.
237:  KMM - Tak jest bez przerwy.
238:  KMM - W przypadku Strange'a to były kolejne grimoire'y, które były odnajdywane, a w przypadku Moon Knight'a, swoją drogą, skrabeusz, tu nie wiadomo do czego służył, poza to, żeby... I ciało Aleksandra Wielkiego.
249:  KMM - Tak, i w przypadku doktora Strange'a, do tego dokładnie służy Ameryka, ona nie służy do niczego innego, w żaden sposób nie jest wyjaśnione to, jak ona nabyła te moce.
257:  KMM - Gdyby to było interesujące z perspektywy filmu, to byśmy byli o tym poinformowani.
262:  KMM - Cała relacja, w ogóle osoba Ameryki Chavez jest przerażająca, w tym sensie, że ona nie ma żadnych cech osobowościowych, poza tym, że ma te zdolności, a jej mamy nie mają żadnej cechy charakterologicznej, poza tym, że są lesbijkami.
273:  KMM - I przeraża mnie to, w jakim kierunku idzie Disney, bo Disney idzie właśnie w kierunku takich plastikowych, jednowymiarowych postaci, które krańcowo różnią się od tego, do czego byliśmy przyzwyczajeni dotąd na ekranie.
285:  KMM - Nie jestem w stanie zrozumieć, dlaczego Doktor Strange, który jest wielowymiarową postacią, nagle jest ściśnięty do jednego wymiaru.
291:  KMM - Jeżeli mam ciągnąć dalej tę metaforę, powiedziałbym, że jest bardzo dziwne to, że mamy wiele wymiarów świata, ale bardzo jednowymiarowe postaci nagle.
300:  KMM - Więc to wszystko, czego się dowiedzieliśmy na temat chociażby tego, jak jest kontrolowane multiwersum przez tajną agencję, która się pojawia w Lokim,
308:  KMM - To wszystko, czego dowiedzieliśmy się w What If, to znaczy jakie są nieprzebrane możliwości nadwyrężenia kontinuum czasu przestrzennego i równocześnie odwiedzenia innych wymiarów, jakie mogą być tego konsekwencje także w wymiarze magicznym, o czym przekonał się dr Strange, to wszystko też znika nagle.
324:  KMM - Okazuje się, że to po prostu są...
327:  KMM - To dokładnie tak, jak u Disneya bywa, tak?
329:  KMM - To znaczy, będziemy mieli tego T-fightera, który sobie skacze po skoki podprzestrzenne, sobie robi, w dziwnych miejscach wyskakuje i to jest taki właśnie MacGuffin, który... Pytamy się, jak to działa?
339:  KMM - Ale nie, no popatrz, jak ładnie działa, ale jak to działa?
341:  KMM - Ale spójrz, jak ładnie działa, po prostu się wyskoczyli.
344:  KMM - I tu jest dokładnie tak samo, to znaczy America Chavez robi sobie i pokazuje się gwiazdę i America!
350:  KMM - I przechodzimy do następnego uniwersum, tak?
353:  KMM - I później America Chavez robi sobie i następny.
356:  KMM - Nic nie wiemy na ten temat.
358:  KMM - I to jest fascynujące, ponieważ to jest film o magii.
360:  KMM - To jest jeden i jedyny film Marvela, w którym moglibyśmy zgłębić magiczną naturę multiwersum.
366:  KMM - Zobaczyć jaka jest rola strażników chociażby porządku magicznego, którzy są we wszystkich świątyniach na Ziemi i jak ona się przekłada na stróżowanie u bram multiwersum, skoro już to było powiedziane nam...
380:  KMM - W What If, w Doktorze Strange'u też się dowiadywaliśmy, że było to zasugerowane.
386:  KMM - The Old One mówiła, że tu są różne wymiary i mogą nas atakować byty wielowymiarowe.
392:  KMM - Tak, i w Sancta Sanctorum to wszystko pilnują.
395:  KMM - Tak.
395:  KMM - I dlatego to było takie ważne, dlatego moje bezbrzeżne zdumienie, że to wszystko nie zostało w żaden sposób wyjaśnione i wyeksplorowane, pozostaje bezbrzeżne i pozostaje mi również współczuć wszystkim tym, którzy poszli na Doktora Strange'a, a nie, nie widzieli WandaVision, nie widzieli Lockiego i nie widzieli What If, bo zobaczą wtedy, no właśnie to, McGuffina, fajne efekty, skaczemy sobie po multiwersum, a co to jest multiwersum?
418:  KMM - Nie garb się i nie pytaj.
421:  GW - No to tutaj tylko podciągnę od razu właśnie to, co słusznie Krzysztofie zauważyłeś, że strasznie mnie gniecie to, że Disney chce z jednej strony być bardzo woke, ale z drugiej, zamiast zrobić to dobrze, to...
439:  GW - Amerykę Chavez i jej rodzinę upodmiotowił, przepraszam, uprzedmiotowił zamiast upodmiotowić.
449:  GW - I to jest tragedia tego, że chcą być bardzo woke, a zrobili to bardzo powierzchownie.
455:  GW - A z kolei, jeżeli chodzi o całą konstrukcję, to tak jak już też rozmawialiśmy poza nagraniem, że najbardziej właśnie gniecie mnie to w całej konstrukcji filmu, to już tak z miejsca, iż
469:  GW - Ten film zamiast być tylko osadzonym w kontekście i bronić się samemu jako dzieło, to on od tego kontekstu całego jest uzależniony.
479:  GW - I on jest kompletnie niezrozumiały dla osoby, która nie widziała niczego wcześniej.
483:  GW - A są takie filmy Marvela, które...
486:  GW - bez tego backstory poznawanego w serialach czy filmach jest zrozumiały i sprawny dla widza.
493:  GW - Ten film nie jest, jeżeli się nie śledzi wszystkiego, co jest związane z Marvelem.
499:  GW - Albo przynajmniej nie zna się komiksów i przez to
502:  GW - Tak naprawdę Disney sam sobie podcina nogi, bo sprawia, że jakby ich produkty są niezrozumiałe albo są zrozumiałe tylko dla węższej powiedzmy kliki popcornowej.
515:  GW - I tutaj no...
518:  GW - Naprawdę, dało się tak naprawdę pięcioma do dziesięciu minut materiału jakiejś ekspozycji początkowej wyjaśnić chociażby motywację protagonisty i antagonisty.
528:  BFP - Watcher mógł to powiedzieć jako narrator.
531:  KMM - Właśnie, właśnie, Watcher znikł.
533:  KMM - Nie ma Watchera żadnego.
535:  KMM - Ja też myślałem sobie, no bo naprawdę to nie jest film o Doktorze Strange, to jest film o Americe Chavez i o Wandzie Maximoff.
543:  KMM - Oczywiście, to jest film o tych dwóch postaciach.
546:  KMM - Natomiast ja gdybym miał myśleć, jak to można byłoby zrobić i rzeczywiście pokazać relację nieheteronormatywną na ekranie w taki sposób, jaki to robi Life is Strange 2 i Life is Strange 1,
556:  KMM - to można byłoby zacząć właśnie od tego, jak nagle America Chavez odkrywa u siebie swoje zdolności, ale zaczęto oczywiście od takiej ładnej efekciarskiej sceny.
565:  KMM - Natomiast jeszcze pociągnę to, co Grzegorz powiedział, zauważcie, to nie jest film pod tytułem Avengers Assemble, to jest film pod tytułem Doctor Strange in the Mountain of Madness, czyli tytułowa postać sugeruje widzowi, że idzie sobie na Doktora Strange'a dwa, obejrzał Doktora Strange'a jeden, jest fajnie,
581:  KMM - Teoretycznie oczywiście.
582:  KMM - Natomiast Avengers sugerował samą swoją formułą, że ok, jeżeli chcesz czerpać przyjemność z tego filmu, no to obejrzyj sobie te wszystkie filmy inne.
591:  KMM - I właśnie jeszcze jest jedna kwestia.
592:  KMM - Chyba pierwszy raz w MCU, poprawcie mnie w razie czego, ale chyba pierwszy raz jest tak, że do obejrzenia filmu wymagana jest wiedza z serialu, a nie innego filmu z Marvel Cinematic Universe.
602:  KMM - Tak.
603:  MK - To zdecydowanie.
604:  MK - Wiecie co, mnie coś jeszcze innego gniecie w tym wszystkim, bo z pewnością, no, będziemy mieli troszeczkę też słów ciepłych dla tego filmu, ja z pewnością będę je miał, ale to, co mnie gniecie, to jest w ogóle samo założenie i ten punkt wyjścia, na którym jest on skonstruowany, to znaczy to, co ja spotkałem w internecie, na przykład, opinie, z którymi się tak jakby mierzyłem, to to było...
630:  MK - coś takiego, że ci, którzy tak bardzo hura optymistycznie podchodzą do Multiverse of Madness, to mówią o tym, że jest to film, który tak jakby gonił w piętkę z widzem, to znaczy z tym właśnie takim docelowym widzem, będącym fanem uniwersum, który oczekiwał pełnej plejady cameo.
650:  MK - A mi się wydaje,
651:  MK - że na dobrą sprawę to też jest tylko jakiś odsetek widzów, który tego oczekiwał, a drugi widz oczekuje po prostu zwartej, jakiejś logicznej, konkretnie poprowadzonej, jeżeli już tworzymy uniwersum Marvela, no to poprowadzonej fabuły.
669:  MK - A teraz tak, mamy na przykład No Way Home, w którym mamy ten spel naszego doktora Strange'a, tak?
677:  MK - I teraz...
679:  MK - Wydaje się, że logiczną rzeczą jest to, że jeżeli oni tam mówią o tym, że ten czar spowodował jakąś wyrwę w uniwersum, no to on będzie musiał to naprawić później.
691:  MK - Nie?
691:  MK - A tutaj to jest wzięte kompletnie w nawias
694:  MK - tym łukiem jakimś przerzucony i to jest bardzo słabe.
698:  MK - Druga rzecz to jest właśnie ta America Chavez, która jest, tak jak powiedziałaś tutaj, magafinem i troszeczkę takim Deus Ex Machina, którym pozwala na takie lazy writing trochę naszym twórcom, bo to, co wydaje się tak
713:  MK - budowane dosyć skrupulatnie już od czasu Infinity War, a wcześniej od Ant-Mena dwójki właśnie dotyczące tych wymiarów Quantum, to tutaj moim zdaniem to w ogóle nie wybrzmiewa w Doktorze Strange tym ostatnim.
727:  MK - To znaczy te kwestie to zostają tak jakby zupełnie drugoplanowe, bo okazuje się, że jest osoba, która może przeskakiwać pomiędzy wymiarami i na tym skupimy całą narrację i na tym skupimy w ogóle tak jakby oś przewodnią całego, całego, całego filmu i skupimy się częściowo tak jakby bardziej na tej postaci, która rzeczywiście ona jest urocza, ja uważam, że tam nie będę tutaj tak do końca krytykował, ma sobie tak troszeczkę tego uroku, bo mnie chwyciło to,
755:  MK - Jest fajna kwestia tej samotności jej w tym świecie.
758:  MK - To rzeczywiście we mnie jakoś tam wybrzmiało i to poczułem na tej zasadzie, że ona rzeczywiście jest samotna i niezrozumiana, posiada jako jedyna w ogóle tę moc.
768:  MK - Nie wie, nie potrafi jej kontrolować, tylko zresztą ją kontroluje.
771:  MK - Ok, w porządku, ale nie mogę tego wybaczyć, w jaki sposób jest to poprowadzone, że wszystko to, co było wcześniej, na dobrą sprawę nie jest istotne.
780:  BFP - Marcin, właśnie pod tym chciałem się podpisać, co powiedziałeś, ale też pociągnąć to, co powiedział Krzysztof i też podbił Grzegorz.
788:  BFP - Mianowicie...
790:  BFP - Tak, ten film mi się bardzo podoba, ale nie mogę zrozumieć jednej rzeczy.
793:  BFP - Trochę mam takie wrażenie, że Marvel zaczyna wpadać w pułapkę, którą sam na siebie zostawił.
798:  BFP - Bo z jednej strony jest w stanie alienować tych, którzy sporadycznie, a nawet na Discordzie bez schematu widziałem ludzi, którzy mówią, czy mogę iść na ten film, jeżeli nie widziałem poprzednich rzeczy.
809:  BFP - I teraz rzeczywiście dużo stracą ci, którzy nie widzieli WandaVision.
815:  MK - motywacje jej są w ogóle wtedy dziwaczne, absolutnie dziwaczne.
820:  GW - Bardzo mocno w ogóle mam wrażenie, że tak jak w przypadku Star Wars, Disney po przejęciu tej franczyzy zaczyna się wpieprzać sam na pole minowe, powoli zaczyna się to samo robić z Marvelem.
835:  GW - Jakby...
836:  GW - operując na FOMO, wymusza na ludziach, że jeżeli chcę być częścią klubu, jeżeli chcę się cieszyć w pełni z tego filmu, to kurde, muszę iść nadrobić pozostałe.
846:  BFP - Ale właśnie nie do końca.
847:  BFP - Znaczy do końca myślę, czym polega ta pułapka, bo są dwie siły, które przeciwlegle na siebie oddziałują,
851:  BFP - ale generalnie dają kupę zamiast to, co powinny dać właściwego.
856:  BFP - Czyli z jednej strony dają dwójkę zamiast jedynki.
861:  BFP - Zamiast być accessible, znowu, już zaczynam z angielskimi słowami, zamiast być przystępne dla wszystkich, tak, że na przykład pojawi się taki watcher na dzień dobry i powie, no to takie rzeczy się działy tu w tym uniwersum, a teraz wy szczęśliwi popcorniarze cieszcie się tym, co widzicie, nie musicie nic więcej oglądać.
879:  BFP - To jest jedno, ale drugie,
881:  BFP - to ja was na początku zapytałem o tę kosmologię, bo tak jak powiedział Marcin, ja nie rozumiem, to po co były takie rzeczy jak What If?
889:  BFP - To po co był ten Strange Supreme, który był taki mroczny, a wszyscy byli przekonani, fani, tacy jak ja, że to, co widzimy w pierwszym i drugim i trzecim zwiastunie, to jest właśnie ten Strange z What If, ten taki blady, który gdzieś tam siedzi...
903:  BFP - A niektórzy nawet myśleli, że ten zombie Strange to jest ten sam zombie, który był z What If Zombies, prawda?
910:  BFP - Więc i nagle się okazuje, że to co było budowane w Lockheem, to co było budowane w No Way Home nie zostało wykorzystane, ale pójdźmy nawet dalej.
918:  BFP - Ci, którzy są wielkimi fanami i mówili, to jest ten moment, kiedy będzie wiele cameos, no bo oni już zdradzili, że teraz będzie profesor Xavier, mój Boże, Patrick Stewart wraca, to jeszcze na pewno będzie Tom Cruise jako Iron Man Supreme.
932:  BFP - Superior, przepraszam.
934:  BFP - Superior.
934:  BFP - Dobrze, że mamy prawdziwego Strażnika i Watchera i Marvela.
938:  BFP - To na pewno będzie jeszcze Daniel Radcliffe jako Wolverine.
941:  BFP - Jeszcze będzie Ghost Rider.
943:  BFP - Jeszcze będzie Deadpool.
944:  BFP - Daniel Radcliffe jako Deadpool.
945:  BFP - Ale autentycznie śledziłem te wątki.
948:  MK - Serio?
949:  MK - Tak mocno kibicowano?
950:  BFP - Oczywiście.
951:  BFP - Ja widziałem nawet jak w talk show
954:  BFP - Ale Krasiński się zazdradził.
955:  KMM - Daniel Radcliffe i Wolverine.
958:  KMM - Wprowadźcie mnie.
959:  BFP - Lumos, szarodzieje.
961:  BFP - Krzysztof teraz poleciał do innego wymiaru.
962:  BFP - Teraz wysłaliśmy Krzysztofa.
964:  BFP - Tak, były plotki, że Daniel Radcliffe miałby zagrać nowego Wolverina, ale...
970:  BFP - Ktoś miał dobry staw, zanim to napisał.
972:  KMM - Fantastyczny, fantastyczny wybór.
974:  MK - Chcę poznać jego dillera.
976:  MK - Chciałbym, żebyś film zlooperował teraz Krzysia.
979:  BFP - Na tyle poważne były to plotki, że aktorkę, która grała w filmie niedawno z Ed Cliffem, podpytywano o to, czy ona wie, czy on będzie Wolverine'em.
990:  BFP - I teraz do czego zmierzam?
992:  KMM - Idźmy dalej, Whoopi Goldberg.
994:  KMM - Pytanie relatyw?
995:  KMM - Nie.
996:  KMM - Ale swoją drogą, Whoopi Goldberg by lepiej zagrała Wolverine.
998:  KMM - Ja kochałem Dal na pewno.
1000:  BFP - Chcę tylko powiedzieć, że i jedni, i drudzy nie są do końca zadowoleni.
1003:  BFP - Ani ci, którzy uważali, że to może być tabula razy, mogą pójść, wpierniczać popcorn.
1007:  BFP - Tak jak moja mama.
1009:  BFP - Zabrałem moją mamę na dwa filmy Marvela, bo bawiła się świetnie, ale to był wcześniejszy Marvel.
1013:  BFP - Teraz jakbym ją zabrał, to by było takie...
1015:  BFP - No ale chyba nie wszystko zrozumiałam.
1017:  BFP - I z drugiej strony ci, którzy oczekiwali, że będzie ta kosmologia, ta mitologia nawiązywała do tego, co udawało się zbudować przez No Way Home, przez No What If, przez Lockiego, nie jest to wykorzystane.
1028:  BFP - To po co było to?
1028:  BFP - Właśnie to, co mówisz, Marcin, że to zostało wzięte w nawias.
1031:  BFP - I uważam, że to jest ta pułapka, w którą zaczyna wchodzić powoli Marvel.
1035:  BFP - Z jednej strony chce być bardzo przystępny, a z drugiej strony buduje tak złożone konstrukcje, a potem przekreśla część z tego albo bierze w nawias, że jedni i drudzy nie są zadowoleni.
1044:  MK - Ja zauważyłem, że to był klasyczny właśnie zabieg, tak mi teraz troszeczkę oświeciło po tym, co mówił Krzysiu, porównując to i zestawiając z Star Wars.
1053:  MK - Tutaj to było coś na zasadzie troszeczkę The Last Jedi i później somehow Papa Teen Returns.
1060:  MK - Rozumiecie?
1061:  MK - Że nagle wchodzi to z pewnego rodzaju rozwiązaniem, które po prostu my mamy w swojej talii i możemy wyciągnąć tego asa z rękawa.
1070:  MK - Mamy Amerykę Chavez, walniemy gwiazdą i przejdziemy do innego wymiaru.
1074:  MK - Wcale nie musimy teraz tego tłumaczyć, tak jak to Iron Man z Hulkiem rozkminiali potężnie.
1081:  BFP - Po prostu musisz złapać za rękę Amerykę Chavez i ona cię przeniesie.
1083:  BFP - No.
1084:  GW - To są po prostu takie wytrychy fabularne.
1087:  GW - Co się nam nie klei, to mamy zawsze coś, co nam po prostu jednym klikiem to rozwiąże.
1091:  GW - Tak jak Carol Danvers w drugiej części Infinity War.
1097:  GW - Mamy problem z nadlatującymi statkami, to co z nimi zrobić, jak się wszyscy napieprzają na dole.
1103:  GW - Akurat zdążyła przylecieć po prostu...
1105:  GW - Jednym strzałem wszystko pozłatwiało światolosło.
1108:  MK - Wiecie co, ja tylko jedną rzecz powiem w związku z tym, co powiedzieliście przed chwilką, to znaczy tutaj jest taka jedna rzecz jeszcze z Gwiezdnymi Wojnami, która mnie tak mocno intryguje, to znaczy także tu jest chyba konflikt pomiędzy tym właśnie działem, który jest twórczym i działem, który jest marketingowym.
1132:  MK - I tutaj zaczynam chyba dostrzegać to, że jest potężna jakaś wojna tam.
1139:  MK - Tam były problemy na planie, w ogóle czytaliście o tym?
1142:  MK - Było dużo problemów na planie ze Strangerem.
1146:  MK - Były dokrętki, trzeba było Scott Derrickson, a Sam Raimi musiał robić dokrętki.
1152:  MK - O, jedynie są zadowoleni ci fani, którzy kochają Samara i Miego.
1156:  MK - To ci są zadowoleni po tym filmie.
1157:  KMM - Ale widzicie, to jest osobna kwestia, bo ja od strony wizualnej, czy od strony estetycznej, czy od strony właśnie takiej kinematograficznej
1167:  MK - Super.
1168:  KMM - Natomiast ja skupiłem się też i w swojej recenzji tych wypowiedzi, o których zacząłem, na kwestiach produkcyjnych, bo tutaj obciążam bardzo Disneya.
1175:  KMM - Jest proste wyjaśnienie tego, dlaczego akurat ten film czerpie z seriali, bo akcje Disneya idą w dół i Disney Plus trzeba podbijać i trzeba zmuszać ludzi do tego, żeby oglądali Disney Plus, co dla nas jest szczególnie dowcipne, biorąc pod uwagę, że Disney od kilku lat odmawia uruchomienia tej usługi w Polsce, w związku z powyższym należy piracić seriale Disneya, póki jeszcze można.
1196:  KMM - Nie, bo to jest naprawdę... Nie znoszę, jak korposi robią takie rzeczy wewnętrznie sprzeczne.
1200:  KMM - No i produkcja wchodzi dokładnie tak samo, jak Kathleen Kennedy wchodzi i psuje wszystko w Gwiezdnych Wojna, bo ona kompletnie nie rozumie, na czym polega robienie dobrych filmów i nie daje swobody.
1210:  KMM - Zauważmy, że jesteśmy w czasach, żyjemy w czasach, w których korporacja Disney, która naprawdę ma na swoim koncie świetne produkcje, nie umie zarządzać markami, które są samozarządzalne.
1221:  KMM - Znaczy,
1223:  KMM - Star Wars jest marką, która sama się zarządzała.
1226:  KMM - Wszystkim się wydawało, że nie da się tego spieprzyć.
1229:  KMM - Udało się.
1229:  BFP - Ale nie, no George Lucas bardzo, powiedziałbym, imperatorsko zarządzał tą marką, więc też nie przesadzajmy, że ona się sama zarządzała.
1238:  KMM - Tak, tak, ale akurat w tym przypadku to było dość dobre, ale był ten cały segment, który mnie zarządzał, to znaczy Expanded Universe, to jest sobie po prostu był.
1245:  KMM - Okej.
1246:  KMM - bo on oddany fanom.
1247:  KMM - George Lucas miał taką metaforę, że on jest Bóg Ojciec, jest franczyza, czyli Syn, i fandom, czyli Duch Święty.
1254:  KMM - To są autentyczne słowa, które użył George Lucas, nawiasem mówiąc, więc wszystkim ludziom na punkcie światotwórstwa odjebuje.
1259:  KMM - Zresztą kiedyś pięknie powiedział jeden z badaczy światotwórca, że światotwórcy dzisiaj się zachowują jak papieże, którzy strzegą swoich magisteriów.
1268:  KMM - No ale zostawmy.
1269:  KMM - Problem z Disneyem polega na tym, że właśnie oni odstąpili trochę od takiej roli i oni się zajmują wyłącznie kwestiami takimi, żeby była odpowiednia liczba wątków, które mają być w każdym filmie Disneya, ponieważ mają się podołać wszystkim akcjonariuszom, że ma być to właśnie przystępne, ale równocześnie musi być ekskluzywne, bo dla fanów i to wychodzą z tego takie sprzeczności właśnie, dziwaczne zupełnie.
1290:  KMM - I zauważcie, mamy film o magii.
1293:  KMM - Magia się nie sprzedaje.
1294:  KMM - I się napieprzamy pięściami, tak?
1297:  KMM - Tak, i mamy Kung Fu, bo Kung Fu się lepiej zareprezentuje.
1300:  KMM - Po co ludziom tłumaczyć jakieś arkana magiczne tutaj w Grimoire'y, nawet ta nazwa nie pada nawiasem, mówiąc, gdzie tam.
1308:  KMM - To chodzi o to, żeby on sobie ukręcił z takiego złotego czegoś pejczyk i okładał się jak w jakimś...
1314:  KMM - pokrętnym z Śnieslanesza.
1317:  KMM - I jeszcze do tego wszystkiego mamy ten, scena ataku przecież na klasztor, w którym ja sobie spodziewałem się po tym bardzo wiele.
1325:  KMM - Pamiętajmy Battle of Hogwarts na przykład Potterowskie,
1329:  KMM - Na czym to polega?
1330:  KMM - Babeczka sobie atakuje na pieprza oczywiście jakimiś żółtymi flarami.
1334:  KMM - Oni umieją tylko tarczę rozstawić.
1336:  KMM - Najwybitniejsi magowie na całym świecie mogą tylko się zasłonić tarczą, jak rycerz w Dark Souls.
1341:  KMM - Po czym ona podszeptuje...
1346:  KMM - I ona w którymś momencie wchodzi bez żadnego problemu za jego osłonę psjoniczną jednego z magów i on daje drapaka.
1353:  KMM - I druga scena, która mnie doprowadziła do szału, też świetna szansa na pokazanie pojedynku magicznego i telepatycznego.
1360:  KMM - Pojedynku dwóch wielkich umysłów.
1362:  KMM - Jask Xavier kontra Wanda Maximoff.
1365:  KMM - Obydwa, obydwoje wybitni mentaci, świetni telepaci.
1369:  KMM - Koszmarne pojedynek.
1371:  KMM - Wizualnie świetny, magicznie bezsensowny.
1373:  MK - To, co zrobiono z iluminatami, to jest w ogóle pomstę do nieba.
1376:  GW - Ale jeżeli chodzi o, żeby tylko wybronić, jedna rzecz była dobrze zrobiona, wydaje mi się, pod kątem magicznym i ja żałuję, że tego nie wykorzystano bardziej, bo to było właśnie bliższe realiom komiksowym, gdzie Doctor Strange, jako teraz akurat w MCU nie jest Sorcerer Supreme, ale
1395:  GW - Sorcerer Supreme generalnie ma władzę nad wykorzystaniem mocy wielu bóstw z różnych wymiarów.
1404:  GW - I tam była ta scena, kiedy walczył z tym kakademonem po prostu z mackami w Nowym Jorku i tam w pewnym momencie był jakiś tam lecący samochód i on wezwał jakiegoś takiego potwora, który to po prostu zeżarł, czy tam zepchnął.
1421:  GW - I było ileś takich malutkich momentów, z czego to było raptem, bym policzył na palcach jednej ręki, gdzie właśnie widać było, że on wzywał jakieś faktycznie moce i nie było to stricte kółka, bicze, jakieś inne dziwne BDS-owe rozjazdy, tylko faktycznie widać, że korzystał z jakichś takich okultystycznych mocy.
1446:  GW - Tak samo już pod koniec filmu, kiedy tam wykorzystywał właśnie Darkhold, ale no właśnie to byłoby najfajniejsze, żeby widać było, że on wykorzystuje faktycznie jakieś stwory z innych wymiarów, bo na tym Doctor Strange operował właśnie.
1466:  GW - na kółkach, nie na projectile'ach, tylko na tym, że potrafił z jednej strony otworzyć portal, z którego wyskakiwała macka, a z drugiej strony jakaś popieprzona wersja Cerberusa.
1478:  GW - To było clue jego mocy.
1480:  GW - A tutaj po prostu mamy tylko kółka, tarcze, praktycznie tylko magiczna manifestacja czegoś, co człowiek se mógł sam uszyć, po prostu ubić ze stali i tak dalej, i tak dalej.
1490:  BFP - Z tym się nie zgodzę.
1492:  BFP - Z tym się nie zgodzę.
1493:  BFP - Oczywiście, że komiksowy Strange pokazuje prawdziwą potęgę wyobraźni.
1498:  BFP - To jest niezwykłe.
1500:  BFP - Ale to jest jednak upgrade względem poprzednich części, w których pojawia się Strange.
1506:  GW - Ale nie względem komiksów.
1508:  GW - Nie, nie względem komiksów.
1509:  GW - Ale jest to krok w dobrą stronę.
1510:  GW - Tutaj powinni to pokazywać.
1513:  GW - Cztery, pięć efektów.
1516:  BFP - Może inaczej.
1516:  BFP - W What If...
