Wszystko tylko nie pierścienie władzy - Krzysztof Maj w pojedynku na dygresje! | ZMIANA PERSPEKTYWY
🔗 https://www.youtube.com/watch?v=WEY_lkZy7RM
KMM (Krzysztof M. Maj)
DS (Dominika Skoczeń, Czerw Fantastyczny)

0:  DS - Ale dlaczego gry komputerowe sobie radzą, a film sobie nie radzi?
513:  DS - A jak już podróżują, to nie wiem, to nie jest tak, że mogłeś jako szlachcic na przykład przejść pieszo z miejsca na miejsce sam.
521:  DS - Miałeś jakąś świtę, cały orszak, miałeś koni, miałeś zbrojnych, bo przecież świat był niebezpieczny.
527:  DS - No i to też trzeba sprawdzić, zanim się to zrobi, a jak masz jakieś urban fantasy, to na przykład, nie wiem, możecie sobie przejechać na motocyklach.
533:  DS - Jest bardzo dużo rzeczy, które są po prostu takie same jak we współczesności, nie?
537:  KMM - Jeśli chodzi o logistykę.
538:  KMM - Jeszcze jednego dobrego serialu, zanim zaczniemy cisnąć po opieszczeniach władzy, nie przywołaliśmy, to znaczy Mroczne Materie, który też jest urban fantasy.
545:  DS - Serial?
546:  DS - Czy film?
546:  KMM - Serial.
547:  KMM - Ja lubię film, ponieważ gra tam Nicole Kidman.
549:  KMM - Ja też lubię film.
550:  DS - Główna bohaterka też dobrze grała.
552:  DS - Nie pamiętam jak się ta aktorka nazywała niestety, ale jak na swój wiek to super jej poszło.
556:  KMM - Miała taką dzikość w sobie.
557:  KMM - To nie jest Emily Bobby Brown chyba.
560:  KMM - A nie Dakota jakoś.
561:  KMM - Tak, tak, tak.
561:  KMM - Dakota jakoś.
562:  KMM - To jest to.
564:  KMM - Więc Blue Richards.
569:  KMM - Kto zrobił coś?
570:  KMM - Ja jestem podmieniony.
571:  KMM - Ja nie jestem Krzysztofem.
572:  KMM - Ja nie pamiętam rzeczy.
573:  KMM - To jest niesamowite.
574:  KMM - Jak będę musiał sobie coś przypomnieć, to będę musiał do Ciebie przyjść.
577:  KMM - Nie ma innej opcji.
578:  KMM - W każdym razie, tam było rewelacyjnie zrobione światotwórstwo.
583:  KMM - Przede wszystkim zachwycił mnie ten czerwony sterowiec.
586:  KMM - To są takie drobne rzeczy, na które człowiek zwraca uwagę w pewnym momencie i które budują niesamowicie świat.
592:  KMM - Natomiast serial nie jest zły.
595:  KMM - On nie jest w kategorii wybitny, ale nie jest w kategorii beznadziejny.
599:  KMM - Dlaczego się ze mną nie zgodzisz?
600:  DS - Kurczę, to jest pewien problem.
601:  DS - Przesunę sobie mikrofon, jak już się teleportowałam tu trochę w bok.
604:  DS - To jest pewien problem, bo ja to oglądałam bardzo dawno, wtedy kiedy wyszedł pierwszy sezon, a teraz widziałam zwiastun i widzę, że ta historia się już powoli kończy.
612:  S04 - Są trzy w sumie sezony, jeśli nie pamiętam.
613:  DS - Możliwe.
615:  DS - Więc ja oglądałam pierwszy sezon i autentycznie nie dałam rady go skończyć, mimo że postać Lorda Asriela, czy Asriela?
624:  KMM - Ja go zawsze czytałem Asriel po polsku.
625:  KMM - Ja też.
627:  KMM - I challenge anyone, jeżeli ktoś uważa, że należy go czytać Asriel, o nie.
631:  DS - Postać Lorda Asriela była rewelacyjna, dużo bardziej mi się podobała niż w filmie.
636:  KMM - Bo w filmie grał go Daniel Craig, Daniel Craig jest nielubialny dla mnie, nawet w formie Bonda.
641:  DS - Ja go jakoś tak akceptowałam, bo w ogóle mi się bardzo podobał film, ale bez szału, zupełnie nie...
648:  DS - wyeksploatował potencjały tej postaci, którą ona miała w książce.
652:  DS - Faktycznie w serialu mu poszło znacznie lepiej.
654:  DS - Natomiast nie pamiętam już dlaczego, ale pamiętam, że po pierwsze casting pozostałych postaci mi nie podszedł, bo jednak i Laira i ta i matka... Lady Coulter jest zdecydowanie... Ona miała mieć złe
666:  DS - Te włosy i w ogóle, ja rozumiem, że to nie jest super istotne, bo możemy mieć postać, która wygląda inaczej niż w pierwowzorze i gra tak dobrze, że zapominamy o tym i akceptujemy ją, jakby mamy nowe wyobrażenie z tą postacią, ale ich gra aktorska mnie jakoś nie kupiła i pamiętam, że tam były jakieś straszne rekwizyty.
684:  KMM - Okej.
684:  DS - Znaczy, ja bardzo lubię wątek... I coś w historii mi chyba nie pasowało.
687:  DS - No w każdym razie, tak wysoka była poprzeczka, moim zdaniem, z filmu, że serial się nie wybranie do tego.
692:  KMM - Czułem tak.
692:  KMM - Ja bym też bardzo chciał, żeby była druga część, trzecia część tego filmu, ale to mało kto o tym wie, ale Watykan zablokował.
698:  DS - No właśnie.
699:  KMM - To była awantura i to ostra.
700:  KMM - Co jest nawiasem mówiąc bardzo zabawne, ponieważ robiąc to powiedzieli, tak, Filip Pullman ma rację, krytykując nas we wszystkich aspektach, w których nas krytykował, więc to był strzał w stopę i w kolano równocześnie.
712:  KMM - Natomiast, jeżeli chodzi o serial, on robi się coraz lepszy, to znaczy pierwszy sezon rzeczywiście był taki, to był taki probież, oni starali się sprawdzić, czy to rzeczywiście będzie dobre, ale później wszedł mój ulubiony motyw, to znaczy badań nad tym, czym jest pył, nie, nigdy nie zaakceptuję innego tłumaczenia dust, dust to jest pył.
728:  KMM - Ja też.
729:  KMM - Jak ktoś jakieś inne słowo, inny rzeczownik wymyślili, tłumaczę i nie pamiętam jaki, ale ja go wykluczam, nie jest w moim headcanonie.
737:  KMM - I tam z jednej strony są badania po stronie właśnie światów Famba zrealizowane, a z drugiej strony babeczka, która studiuje w Oxfordzie bodajże i bada molekuły, się tym zajmuje.
746:  KMM - I to jest interesujące, bo właśnie pokazuje ten element urban fantasy, który jest charakterystyczny dla połączenia świata fantastycznego z tym, który nas otacza.
754:  KMM - I zarazem nie jest to mniej fantastyczne i mniej realistyczne równocześnie, więc to jest... strasznie lubię takie wątki, ale faktycznie to są wątki.
763:  KMM - Całość produkcji nie jest na pewno na takim poziomie jak House of the Dragon, bo to jest to... wracam trochę do tego naszego głównego wątku.
769:  KMM - House of the Dragon jest na poziomie fantastycznym, zarówno jeżeli chodzi o kostiumy, kinematografię, samą historię.
776:  KMM - Z jednym wyjątkiem, to znaczy przeskoki czasowe, które wszyscy tłumaczą tym, że to jest ekranizacja kroniki historycznej.
782:  KMM - Wiem, ale prawda jest taka, że ekranizacje, o czym chyba już powinniśmy wiedzieć dawno temu, po chociażby właśnie Grze o Tron, nie muszą trzymać się w stu procentach do tego stopnia litery oryginału z bardzo prostego powodu.
796:  KMM - Nowocześniejsza adaptacja to jest osadzenie historii w świecie.
799:  KMM - I po cholerę pakować się w niekończące się dyskusje na temat tego, o, bo te wydarzenia są nieprzedstawione tak, jak były w książce.
807:  KMM - Po co, skoro można przedstawić inną historię w innym rejonie tego świata?
810:  KMM - I na przykład naświetlić wydarzenia z książki z perspektywy innych postaci, które w nich nie uczestniczyły.
816:  KMM - To jest fajne.
817:  DS - To jest bardzo ciekawy pomysł.
818:  DS - To przy okazji Pierścieni o tym mówiłeś bardzo dużo.
821:  KMM - Stracono tę okazję tam tak fundamentalnie i w stu procentach.
825:  DS - Czyli nie podobały ci się przeskoki czasowe?
827:  KMM - Nie no, przeskoki czasowe mi się w ogóle nie podobały w House of Dragons, znaczy ja się gubiłem jako widz.
832:  KMM - Tam jest za mało odcinków na tę chronologię, którą sobie założyli i zdaję sobie sprawę, że to jest trudne do zekranizacji, ponieważ mamy trzy perspektywy narracyjne.
842:  KMM - Martin w ogóle lubi się bawić w fokalizatorów, czyli tych
845:  KMM - narratora, który pokazuje z perspektywy wewnątrzświatowej wydarzenia, ale tam można było zrobić, wydaje mi się właśnie, albo wybierając jedną z tych perspektyw, albo właśnie rezygnując z przeskoków czasowych, albo wypełniając te luki, które tam są, jakimiś własnymi historiami.
862:  KMM - No przynajmniej, żeby to nie było, nie wiem...
865:  KMM - 40 lat, tylko 4 miesiące.
867:  KMM - To już wystarczy.
868:  KMM - Bo tam były na początku przeskoki małe czasowe, ale potem one się zrobiły tak gigantyczne, że ja już nie rozpoznawałem postaci, które są na ekranie.
876:  DS - Myślałam o tych przeskokach czasowych dużo właśnie przygotowując się powiedzmy do tego dzisiejszego odcinka.
883:  DS - I one mają wady i zalety.
886:  DS - Moim zdaniem mają swoje zalety.
887:  DS - Wady są dość oczywiste, no bo faktycznie jesteśmy przywiązani do tych postaci, które mamy na początku.
893:  DS - Jakoś
895:  DS - kibicujemy właśnie im w tej sytuacji, w której się znajdują, więc potem nam znikają i pojawia się niby ta sama osoba, która jest jakimś innym aktorem, to i się do tego ciężko przyzwyczaić i się czujemy tak trochę jakby oszukani, że zmieniła się cała sytuacja i jest jakby inna historia, nie?
908:  KMM - To jest prawda.
909:  KMM - Ojej, rejera była ojej fantastyczna w tej swojej młodszej wersji, a potem stała się taką jakąś żedliwą raszplą.
916:  DS - No jest troszkę słabsza, to prawda, chociaż ona się moim zdaniem jeszcze broni w przeciwieństwie do Alicent.
922:  KMM - Tak, ale ona nie została wymieniona, właśnie to jest dla niej konsekwencja, także niektórzy aktorzy się zmienili i ja mam to zaakceptować i nagle mam z powrotem zawieszać moją niewiarę, która jest już podwójnie zawieszona, bo po pierwsze konieczność jest zawieszona dlatego, że to jest świat fantasy, a po drugie konieczność muszę zawieszać niewiarę dlatego, że mi się zmienia wygląd postaci.
937:  DS - No dobra, ale masz przynajmniej uzasadnienie, więc jednak starali się ich trochę ucharakteryzować, żeby byli podobni, więc jest znacznie lepiej niż w fantastycznych zwierzętach, nie?
946:  KMM - Nie, nie, nie.
947:  KMM - W fantastycznych zwierzętach zmiana wyglądu Galerna Grindelwaldu to jest skandal.
951:  KMM - Mówmy sobie.
951:  DS - Więc tutaj masz podstawie, żeby tę niewiarę zawiesić.
955:  DS - Natomiast fajne jest to, że dzięki temu oni mogą mieć dużo bardziej dalekosiężną jakąś politykę i swoje plany, prawda?
962:  DS - I to może zostać przedstawione.
964:  DS - No bo, nie wiem, załóżmy Otto, czyli rączka króla, jak ja to mówię, ma tam plan.
971:  KMM - Hand of the King wcale nie brzmi dwuznacznie.
972:  KMM - Nie, nigdy nie brzmiało dwuznacznie.
974:  KMM - Absolutnie nie.
975:  DS - No więc on ma jakiś tam plan, najpierw żeby osadzić tą swoją córkę jako w roli żony monarchy, prawda, i potem żeby jego linia zasiadła na tronie, no i zaczyna to realizować z młodą Alicent, no ale żebyśmy mogli zobaczyć jakby skutki i dalsze etapy tego planu, no to czas musi przeskoczyć, albo musimy mieć sezonów...
992:  DS - W F-naście, więc jakieś plusy są, natomiast faktycznie przez to, że tych postaci jest bardzo dużo i one wszystkie zmieniają.
1002:  DS - Jeden przeskok czasowy moim zdaniem by się spokojnie wybronił, ale zaskoczyło mnie bardzo, kiedy zrobili potem jeszcze drugi przeskok czasowy i ja ci powiem, że ja imion tych dzieci...
1012:  KMM - Już ja też nie.
1013:  KMM - Ja siedziałem z drzewem genealogicznym po raz kolejny, żeby sprawdzić, kto jest kim.
1017:  KMM - Na szczęście, jak omawialiśmy w którymś momencie House of the Dragon na bez schematu, dołączył do nas gość z fanpage'a, ubieram się na czarno, bo jestem z Mrocznej Straży, to cudowna nazwa.
1026:  KMM - I on tak spokojnie, takim solennym, spokojnym tonem tłumaczył, kto jest kim, ma encyklopedyczną wiedzę na ten temat.
1032:  KMM - Więc tak, to jest odbiorca docelowy tego serialu.
1035:  KMM - Ale jak nie ma tych pomocy, światotwórczych, nawiasem mówiąc, pomocy, to jest strasznie ciężko to śledzić.
1041:  DS - ale można by się spierać, bo spierajmy się tak dla przyjemności.
1045:  DS - No bo, okej, masz serial i musisz sięgnąć do materiałów poza serialem, żeby go zrozumieć, no nie przyswoić z łatwością.
1053:  DS - Okej, no i to jest problem.
1054:  DS - Ale z drugiej strony, teraz jest taka maniera w grach.
1057:  DS - Masz gry, które są tak rozbudowane, że nie jesteś w stanie w nie grać bez materiałów spoza tej gry.
1063:  DS - No musisz grać z internetem, musisz grać z jakąś Wikipedią stworzoną do tego i z informacjami stworzonymi przez społeczność.
1071:  KMM - Więc ja się z tym zgadzam, jestem przyzwyczajony do takiego trybu, ale dużo ludzi nie jest.
1076:  KMM - I mam wrażenie, że gra o tron trochę lepiej komunikowała to.
1081:  KMM - Chociażby w bardzo prosty i łopatologiczny sposób mapa, która
1086:  KMM - pokazywała nam kto jest gdzie, gdzie jakie rody rezydują i w bardzo staranny sposób parowano ten wstęp, czołówkę do konkretnego odcinka z tym jaki pokazują nam zamek, bo zamek, później były postaci, które się tam pojawiały, one się przedstawiały, były związane jakby z tym miejscem.
1105:  KMM - A tutaj trochę tego nie ma, to znaczy wszyscy siedzą w King's Landing i się tam kiszą,
1110:  KMM - i zmieniają się co jakiś czas tylko galerie postaci, czasem ktoś gdzieś wybywa i najczęściej jest to Dragonstone i poza tym w zasadzie nic.
1117:  DS - Do Driftmarku jeszcze.
1118:  KMM - Jeszcze Driftmark, ale zauważ, nawet jeżeli to bardzo ciężko było stwierdzić, w którym rzeczywiście jesteśmy miejscu, ponieważ nie pokazywano na mapie tego, gdzie jesteśmy, nie pokazywano nawet podpisu jakiegoś, że tu jest akurat to miejsce, które nas interesuje i miałem trudność w tym, żeby to śledzić i wyobrażam sobie, że jeżeli ja miałem
1137:  KMM - trudnej, żeby to śledzić, jak przeczytałem, nie wiem, chociażby świat lodu i ognia, w całości mam mapy, pracuję zresztą ze studentami też na mapie całego, wszystkich kontynentów, które są w świecie pieśni lodu i ognia, no to mam jakieś rozeznania, a wciąż nie wiedziałem, nie?
1150:  KMM - Więc tu myślę, że to zadbanie o odbiorcę, nazwijmy to, popularnego właśnie, masowego, było zdecydowanie lepsze na poziomie gry o tron.
1160:  KMM - Co nie znaczy, że ja nie lubię takiej opcji, ja uwielbiam sobie śledzić mapy.
1164:  DS - No ja myślę, że to było skierowane, że oni sobie wybrali jako grupę docelową właśnie fanów Gry o Tron, którzy już trochę kojarzą, ale też faktycznie miałam trochę problem.
1172:  DS - Ja zaczęłam oglądać po angielsku na początku, a potem się w połowie trochę złamałam i zaczęłam oglądać po polsku.
1178:  DS - Jakbym nie miała robić potem odcinków na YouTube, myślę, że bym została przy angielskim, jakoś bym sobie poradziła, ale strasznie się zaczęłam gubić.
1185:  DS - Jeszcze właśnie te postacie się zaczęły zmieniać wygląd i to było trochę trudne, więc mogli to na pewno zrobić lepiej.
1191:  DS - Trochę zaczęłam rozpoznawać Driftmark po tym, że mieli ten tron charakterystyczny z tego drewna wyrzuconego niby przez morze i to pomogło jak zaczęli cały czas w tej sali mieć ujęcie.
1205:  KMM - Opowiadanie obrazem jest ważne w serialach.
1207:  KMM - Niektórzy robią to świetnie, niektórzy to robią zdecydowanie gorzej, natomiast na pewno HBO robi to najlepiej.
1212:  DS - Ale i tak sobie naprawdę dobrze radzą z taką ilością wątków i bohaterów.
1216:  KMM - W ogóle ten serial, ja szczerze powiedziawszy nie dawałem mu żadnych szans od samego początku, więc to, że on mnie tak zaskoczył, ja byłem bardzo rozczarowany, jeśli mówimy o tym sezonie Gry o Tron.
1226:  KMM - Ja śledziłem całą Grę o Tron w sposób, no...
1229:  KMM - fanatyczny wręcz, to znaczy oglądałem w momencie emisji odcinek, to była trzecia nad ranem w HBO zawsze, po czym przechodziłem natychmiast na kanał Altshift X i oglądałem stream czterogodzinny z danego odcinka z analizą, po czym jeszcze podczytywałem sobie książkę, więc to była moja cała gra o tron.
1247:  KMM - Jak nadszedł sezon ósmy, to ja kończyłem na poziomie tej piątej, szóstej rano wściekły stream z Altshift X, co zostało zrobione jak bardzo to spał prano,
1257:  KMM - Jeszcze, żeby było śmieszniej, moja kumpela, która robiła na Sorbonie doktorat z memów w grze, grała w to świetne, ona też była wściekła, bo miałam dużo materiału, właściwie pozytywnego, fanowskiego memów, które krążyły, po czym zetknęła się z memami po ósmym sezonie, które były wszystkie nienawistne i prześmiewczy.
1275:  KMM - To ja mam teraz dowód, mówiła mi, jak bardzo tąpnęło zaufanie fanów.
1280:  KMM - do tego serialu, więc ja jak usłyszałem, że jest House of the Dragons, zobaczyłem sobie, okej, może powiedzę coś o Doomów Valyria w prehistorii, będzie fajnie, zanim przejdę do Tańca ze Smokami, okazało się, że oczywiście to o tym nie powiedzieli, więc byłem rozczarowany, ale potem zacząłem widzieć, że rzeczywiście poszli w kierunku tego, co zawsze się sprzedawało świetnie w Grze o Tron, czyli intrygi polityczne,
1298:  KMM - Spokojnie tocząca się narracja, dużo niejasności politycznych i moralnych, zero właśnie tej tolkienowskiej walki świetlanego dobra z mrocznym złem, tylko szarości.
1311:  DS - Szarości i ciosy poniżej pasa.
1314:  KMM - Ale one są niestety też w kinematografii, to znaczy jest za dużo szarości.
1317:  KMM - Jakbyśmy porównali balans tonalny i kolorystyczny House of the Dragon i Gry o Tron, to podejrzewam, że tutaj mielibyśmy wszystko zdesaturowane, smutne, szare i ciemne.
1328:  KMM - Czasami jest aż tak źle, że są tak ciemne odcinki, zwłaszcza te, które reżyserował Sapocznik, że ja nie widziałem nic.
