Spieramy się o filmową DIUNĘ
🔗 https://www.youtube.com/watch?v=sq1zcDmAuFw
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)
MG (Marcin Giełzak, Dwie Lewe Ręce)

16:  BFP - Liza Nalgaib!
165:  KMM - No jedyny słuszny sposób, mianowicie kultowy RTS Dune 2, gdzie Krzysztof uczył się harwesterem zbierać paprykę, którą nazywał wtedy papryką, a tak naprawdę była melanżem, z piasków planety, o której nie wiedział absolutnie wtedy nic.
184:  KMM - I jak zobaczyłem potem, że o tym napisano parę książek i to są znowu książki na podstawie gier, zupełnie jak książki Andrzeja Sapkowskiego, to momentalnie się zainteresowałem.
193:  KMM - I to było ciekawe też doświadczenie, bo dla mnie ta część, którą uważam do dzisiaj za najważniejszą w uniwersum Franka Herberta, to znaczy ekologia, znaczy ekologiczna science fiction, była zaszczepiona u mnie o wiele wcześniej, ponieważ zanim poznałem wszystkie fabuły, to poznałem
211:  KMM - planetę Arrakis, więc wydaje mi się, że przez to też zwracam o wiele baczniejszą uwagę na to, w jaki sposób portretowana jest w kolejnych adaptacjach i Lyncha, i Villneva.
220:  KMM - Villneva jest bezdyskusyjnie lepsza od adaptacji Lyncha, umówmy się.
225:  KMM - Właśnie kultura Fremenów, czy to w jaki sposób integrują się nie tylko kultura Fremenów, a także inne kultury tego uniwersum z poszczególnymi biotopami wszystkich planet w galaktyce Landsradu.
237:  MG - Jawny, dziwniejszy sposób z możliwych.
240:  MG - Mianowicie lata temu w jakiejś księgarni znalazłem ilustrację z Duny, czy inspirowane Duną Alejandro Jodorowskiego albo Chodorowskiego i te obrazy tak silnie wypaliły mi się w pamięci, że po prostu zapamiętałem to jedno słowo.
259:  MG - Duna.
259:  MG - I nie wiedziałem o co chodzi, nie wiedziałem jaka jest fabuła.
263:  MG - Widziałem tylko to, co wynikało
265:  MG - z tych obrazów i one niesamowicie pobudziły moją wyobraźnię, także później zacząłem szukać informacji na temat Dune.
273:  MG - Obejrzałem ten dokument o najwspanialszym filmie, który nigdy nie powstał, czyli o Dunie Chodorowskiego.
280:  MG - Natomiast później o Dunie na lata zapomniałem i wróciłem dopiero przy okazji premiery pierwszego filmu.
290:  BFP - To właśnie jak mówiłeś Krzysztof jeszcze o adaptacji Lyncha, ja sobie teraz przypomniałem, że jedna z pierwszych, poza tym kinestetycznym doznaniem, jakim było sięgnięcie po książki z półki mojego stryja unoszącego się na dryfach, to było jak mój ojciec kiedyś wspomniał, kiedy leciało Every Breath You Take The Police.
316:  BFP - Ja w ogóle nie miałem świadomości The Police, nie wiedziałem kim jest Sting, a mój ojciec spojrzał na mnie zupełnie niesprowokowany i powiedział... Ja pamiętam, byliśmy w Dąbkach pod namiotem, nawet to pamiętam.
328:  BFP - I powiedział, a ty wiesz, że ten gościu grał Fejda Raute?
331:  BFP - A ja, aha, okej, ale... I wtedy zaczął mi opowiadać o Dunie i powiedział, to jest muzyk, on założył taki zespół The Police, The Police jest bardzo dobre i zagrał też Faderautę.
340:  BFP - Ja pamiętam, że puścił mi wtedy Dunę i to nie było to, czego się spodziewałem.
345:  BFP - Jak zobaczyłem gościa, który biega w majtkach,
348:  BFP - z nożem, stwierdziłem nie, nie, jakby wolę solowego Stinga niż Fejderautę.
356:  MG - Panowie, nie da się... Jesteśmy z Łodzi, więc facet, który biega w majtkach z nożem, to nie jest dla nas jakiś niesamowity widok.
364:  BFP - Wiedziałem, że zrobisz dobry PR naszemu miastu.
367:  BFP - Ja nie zliczyłbym ilości sytuacji, w których broniłem dobrego imienia mojego miasta, naszego miasta na tym vlogu i zapraszam swojego przyjaciela, współzałożyciela bez schematu, przychodzisz i pierwsza rzecz, którą robisz, to zaprzepaszczasz cały mój wysiłek, żeby jakkolwiek walczyć o dobre imię.
382:  MG - To były lata dziewięćdziesiąte.
385:  MG - A one się w Łodzi skończyły?
391:  BFP - Na Piszkowskiej tak.
393:  BFP - A propos lat 90-tych i jeszcze wcześniejszych, nawet przed Lynchem i jego Duną 1984 roku.
400:  BFP - Taki mały eksperyment myślowy.
401:  BFP - Czy wy uważacie,
403:  BFP - że Dune'a Hodorowskiego mogłaby być lepszym filmem niż to, co dostaliśmy od Denis Villeneuve'a.
410:  BFP - Jeżeli tak, to dlaczego?
411:  BFP - Marcin, może ty zacznij, skoro to było pierwsze twoje zetknięcie z Dune'ą w ogóle.
416:  MG - Myślę, że byłaby kompletnie innym filmem i to byłoby dla mnie wystarczające, gdybym ja mógł
424:  MG - wybrać sobie swoją wymarzoną ekranizację Duny, to najpewniej chciałbym, żeby w ogóle nie była filmem.
430:  MG - Chciałbym, żeby była serialem, bo myślę, że tylko serial dałby dość przestrzeni na to, żeby wszystkie te wątki należycie wyeksplorować.
439:  MG - I druga sprawa, o ile Denis Villeneuve jest bardzo przywiązany do mistycyzmu Duny i robi ten film na poły jak malarz,
449:  MG - który gra obrazem.
450:  MG - Można by kadry z tego filmu moim zdaniem wystawiać w Galerii Narodowej, a na Paulo jak etnograf, którego fascynuje na przykład kultura Fremenów.
460:  MG - O tyle ja wolałbym, żeby Dune zrobił ktoś o temperamencie Arona Sorkina.
467:  MG - Chciałbym, żeby to był serial o polityce.
471:  MG - I dam jeden bardzo prosty przykład.
473:  MG - Denis Villeneuve zdecydował się wyciąć scenę bankietu, który organizuje książę Leto.
480:  MG - Scenę, która w książce zajmuje 24 strony i przedstawia nam całą złożoną grę polityczną na planecie Arrakis i swoją drogą przedstawia nam też
490:  MG - Księcia Leto Atyrda jako dużo bardziej zręcznego i cynicznego polityka, aniżeli ten cokolwiek naiwny poczciwiec, którego pokazał nam Wilnef.
502:  MG - I widzimy go jak rozmawia z przemytnikami, widzimy jak buduje sojusze, widzimy jak każe ludziom wylewać wodę na ziemię, co jest swego rodzaju bluźnierstwem warakin, ale jednocześnie jest też próbą lojalności.
517:  MG - I tego typu politycznych gier jest tam mnóstwo.
521:  MG - Więc gdybym mógł zrobić diunę moich marzeń, to chciałbym, żeby była ona fundamentalnie o polityce diuny.
527:  MG - Jaka byłaby diuna Chodorowskiego?
530:  MG - Podejrzewam, że mogłaby być równie dobrym, a może nawet lepszym doświadczeniem wizualnym.
536:  MG - Spójrzmy chociażby na stroje.
538:  MG - On tam się zupełnie...
540:  MG - nie hamuje i przedstawia swoje postaci w najbardziej finezyjnych i najbardziej odjechanych kreacjach jakie można sobie wyobrazić.
549:  MG - To samo ze scenografiami, a więc byłaby to Dune'a dużo dziwniejsza i nie wiem czy wyszedłby z tego
556:  MG - pokaz Haute Couture w Nowym Jorku, czy wyszedłby z tego film, tylko jak moja koleżanka zrecenzowała serial Versal.
565:  MG - Jeszcze nie wiem, czy jest to bardzo dobry serial historyczny, czy nieprawdopodobnie droga reklama szamponu do włosów, ale chciałbym po prostu zobaczyć tych diun więcej.
576:  BFP - Marcin, mam prośbę, jeżeli możesz, trochę jeszcze przesunąć sobie mikrofon, bo ja już podgłośnienie ci maksymalnie bardziej nie da, ludzie piszą, że jesteś trochę za cicho, ale tobie już przekazując głos Krzysztofie a propos Dune'y Chodorowskiego, ale też no jednak naszego niespełnionego marzenia, żeby zobaczyć tę Dune'ę Wilneva właśnie w formie serialu, nie pociętej, bo my o tym mówiliśmy, jak pierwszy raz rozmawialiśmy o Dune'ie.
597:  BFP - Ja tylko zaznaczę, tak jak powiedział, setki wymiarów, jak najbardziej był serial Dune'a, bardzo słaby, w 2000 roku trzyodcinkowy, a następnie… Nie był bardzo słaby.
606:  BFP - Chyba zapomniałeś, jak wyglądały tam kostiumy.
610:  BFP - Children of Dune z Jamesem McAvoyem i Susan Sarandon był nieco lepszy.
615:  KMM - To był serial sprzed Gry o Tron i wszystkie seriale fantastyczne sprzed Gry o Tron nie trwały poziomu, niestety, pod względem takim realizacyjnym i produkcyjnym.
624:  MG - Według mnie bronił się jako Guilty Pleasure.
627:  KMM - A to tak.
628:  BFP - A my lubimy Guilty Pleasure.
632:  KMM - Jeżeli chodzi o mnie, to dla Dina Odorowskiego to nie było nigdy coś, o czym bym marzył, chociaż muszę powiedzieć, że ten casting, który tam się pojawiał, to był bajeczny zaiste, ale w moim przekonaniu kino fantasy castingiem nie stoi.
645:  KMM - Widzieliśmy wiele razy przykłady ludzi, którzy przyszli znikąd,
648:  KMM - I zrobili niesamowite kariery, wywołana gra o tron jest tego doskonałym przykładem.
652:  KMM - Dostaliśmy plejadę aktorów, którzy zrobili tam kariery.
655:  KMM - Nikt mi nie powie, że Geoffrey Baratheon chociażby był grany przez jakiegoś kiepskiego aktora.
661:  KMM - No nie, to znaczy był znakomity aktor, szkoda wielka, że się wycofał pod napływem swoją drogą gigantycznej fali hejtu z aktorstwa.
667:  KMM - Natomiast to był taki probierz umiejętności aktorów młodego i średniego pokolenia, ale sukces Gry o Tron leży nie tylko w tej grze aktorskiej, ale przede wszystkim w tym, że potraktowano na poważnie fanbazy.
681:  KMM - I myślę, że Duna Wilneva robi to jedno wybitnie, absolutnie, to znaczy traktuje na poważnie, co po Dunie Lynch'a było osiągnięciem dużym.
690:  KMM - Materiał, który zasługuje na to, żeby być potraktowany na poważnie, na poziomie realistycznym, na poziomie realizmu przedstawienia z bardzo prostego powodu.
698:  KMM - Ktokolwiek przebrnął przez Boga, Imperatora, Duny i dalej, wie, że to jest produkcja, która potrzebuje na ostatniej kolejności udziwnień na poziomie formalnym i estetycznym, bo ona jest wystarczająco dziwaczna, jest chora, jest produktem umysłu, który nie ma absolutnie żadnych ograniczeń, jeżeli chodzi o światotworzenie.
717:  KMM - i wprowadza rozwiązania, które byłoby bardzo ciężko śledzić ludziom wtedy, kiedy jeszcze by utrudnienia formalne musieli jakoś przebrnąć, więc wydaje mi się, że to, co dostaliśmy, że ten kierunek artystyczny, ta dyrekcja artystyczna, na którą zdecydował się Villeneuve, była zdecydowanie słuszna i zgodna z tym nurtem, który bym nazwał na Podorędziu, tak powiedzmy, realizmem fantastycznym, tak, znaczy to był ten
741:  KMM - realizm w Grze o Tron, ten realizm, który mieliśmy we Władcy Pierścieni, zresztą pojawiają się porównania z Władcą Pierścieni, tej dylogii, z którymi ja będę polemizował, ale częściowo, no i wreszcie pojawia się taki trend, żeby jednak iść w taką stronę hiperrealistyczną, nawet jeżeli mamy gry wideo, które są fantasy, więc ponieważ ja zawsze jestem rozerwany, jeżeli chodzi o interpretacje Dune'y, dla mnie z jednej strony na poziomie
765:  KMM - historycznym, jest to fantasy, natomiast na poziomie pewnego formalnego podejścia do tego, w jaki sposób mogą rozwijać się cywilizacje, to jest to bardziej science fiction, czy właśnie ta ecology fiction, czy climate fiction, jakkolwiek to chcemy nazwać, czy eco punk, jest milion różnych opcji, ale na pewno jest jedno na 100%.
789:  KMM - To nie jest ani klasyczne science fiction, ani to nie jest klasyczna fantasy, to jest coś pomiędzy i trzeba było właśnie takiego talentu
795:  KMM - realizacyjnego, żeby już i tak temu amalgamatowi gatunkowemu nadać jakąś spójną wizję.
803:  BFP - To ja zacznę krytycznie, już przechodząc do filmów Denis Villeneuve'a par excellence.
812:  BFP - Jak teraz przygotowywałem esej, bo chwilę przed naszym spotkaniem nagrywałem to, co sobie przygotowałem na temat filozofii Duny,
823:  BFP - to nigdy wcześniej jak podczas wypowiadania pewnych słów na głos nie poczułem
830:  BFP - Ile jest rzeczywiście braków w tej adaptacji i ekranizacji dwuczęściowej Villneva.
836:  BFP - Przykład, terraformacja Dune'y i postać Lieta Kainza i to, żeby zrozumieć dlaczego to jest tak ważne dla Fremenów.
844:  BFP - Ten wątek całkowicie niemalże znika.
846:  BFP - W drugiej części nie liczą sytuacji, w której Stilgar pokazuje zbiornik wodny, pokazuje w jaki sposób odzyskują wodę od zmarłych Fremenów.
854:  BFP - Ale poza kilkoma hasłami, które gdzieś tam już są zakotwiczone w naszej głowie, jak zabierz ich do raju, stwórz raj, fremeni rozumieją raj nie jako dżihad i podbicie z całej znanej galaktyki, tylko właśnie jako uczynienie z arrakis ponownie zielonej planety.
871:  BFP - Trochę to ginie.
873:  BFP - I właśnie takie postaci jak Liet Kains, jak Tufir Hawat i nawet...
878:  BFP - Baron Harkonnen, warto by tu wspomnieć, że Baron Harkonnen, nawiązując do tego, co często lubił pisać Frank Herbert, plany w planach, czy w fintach, finty w fintach, nie chciał po prostu wykasować atrydów i przejąć znowu kontroli nad Arrakis, nad jego Duną,
902:  BFP - On w praktyce chciał stworzyć za Rakis planetę więzienną.
906:  BFP - On chciał mieć swoją Salusę Secundus, bo wiedział, że ta planeta da żołnierzy podobnych do żołnierzy Imperatora ze względu na swoje surowe warunki.
916:  BFP - Chciał mieć kartę przetargową mając kontrolę nad Melanżem, ale w razie czego mieć także młot i sierp w razie problemu.
924:  BFP - w razie oporu imperatora przed jego propozycją koligacji rodzinnej między Feydem Rautą a jego córką Irulaną.
932:  BFP - I nie ma tego.
933:  BFP - Nie ma tego w filmowej Dune'ie.
936:  BFP - Mamy krótki moment, w którym Baron Harkonnen mówi swojemu bratankowi, że posadzę cię na tronie, ale...
946:  BFP - Nic ponadto i więcej, widzimy też jak spłaszczeni zostali Harkonneni, pomijając już ich odruchy, impulsy, których nie są w stanie zahamować, które sprawiają, że nadkontrolują swoją populację.
961:  BFP - To wydaje mi się był jeden ze słabszych momentów całego filmu, to że każdy Harkonnen, czy to będzie Baron, czy to będzie Glosuraban, Bestia, czy to będzie Feydrouta,
970:  BFP - Musi zabijać swoich podwładnych i to często są oficerowie, albo piloci akurat pojazdów, w którym się znajdują.
976:  BFP - Ale ponadto nie zostało to zrównoważone jakimś poczuciem, że to są ludzie, którzy tak jak Baron Harkonnen rzeczywiście w książce mają plany w planach.
986:  BFP - Z tą myślą was zostawiam.
987:  BFP - Chciałbym posłuchać, co wy macie do powiedzenia na ten temat.
991:  KMM - To ja od razu a propos Rabana muszę coś powiedzieć.
994:  KMM - Zauważcie, że Raban był za bardzo Davem Battistą.
997:  KMM - Najgorsza rzecz w tym filmie to jest Raban, który mówi, wujku, to wybijam ich, ale nie wiem.
1003:  KMM - On dyszał wyłącznie i to było straszne, a przecież też nie miało sensu kompletnie jego postać też w związku z tym, co ty mówisz.
1010:  KMM - ponieważ Baron Harkonnen oryginalnie planował rzecz następującą, to znaczy będzie prowokował Rabbana do tego, żeby on jak ostatni kretyn żyłował wszystkich na planecie Arrakis, żeby później, jak się pojawi Feyd Raufa Harkonnen, żeby on został powitany jako wybawiciel, prawie lisan an gaib, tak?
1028:  KMM - Że on tutaj schodzi do was, żeby wybawić was od tego idioty Rabbana.
1032:  KMM - I to zostało kompletnie wycięte, a można było to ogarnąć jednym dialogiem, tylko jest jeden zasadniczy problem.
1038:  KMM - Zauważcie, że Raban nie miał kogo uciskać, ponieważ w Arakin nikogo nie ma.
1043:  KMM - To jest błąd, który jeszcze z pierwszej części, który nas prześladuje do teraz, to znaczy w Arakin byli wyłącznie...
1049:  KMM - i było 17 służących, w tym jeden, który podlewał palmy.
1052:  KMM - To jest wszystko.
1053:  KMM - To nie było tętniące życiem miasto, jedno z nieicznych, do którego się chronili dosłownie wszyscy na północnej chemisferze, więc nie miało żadnego sensu później pokazywanie rabana, który uciska lud.
1064:  KMM - Dlatego ja się tak czepiam kwestii światotwórczych, bo one bardzo często potem mają...
1068:  KMM - wpływ na scenariusz i na to, co się w scenariuszu dzieje.
1071:  KMM - I potem, jeżeli już nie mamy tego wątku Rabana, który może się pokazać w najróżniejszych sytuacjach, wystarczyło dać mu jedną scenę, no to możemy go pokazać tylko w jednej scenie upokorzenia go przez Fejda Raufę, który nawiasem mówiąc, nie wiem, czy też wam przypominał, ale mniej silnie,
1087:  KMM - inżynierów z Prometeusza, co jest zabawne dlatego, że współscenarzystą Dune'y pierwszej i drugiej jest również scenarzysta Prometeusza, co jest równocześnie odpowiedzią na parę moich zastrzeżeń, ale, no, podobieństwo jest bardzo silne.
1100:  KMM - Czy to jest słuszne, czy nie, to o tym jeszcze moglibyśmy powiedzieć, natomiast jest znacząca różnica między tym, jak wygląda Raban chociażby, a tym, w jaki sposób wygląda Wladimir Harkonnen czy właśnie Feydrauffa.
1111:  KMM - Bardzo możliwe, że po prostu chodziło o to, żeby wybić nam następnego antagonistę na plan pierwszy,
1116:  KMM - Ale o tym, jaki jest związek między planetą Hardconenów, czyli Giddy Prime, a tym, w jaki sposób wyglądają i o tej pięknej scenie, to jeszcze pewnie sobie później troszeczkę powiemy.
1125:  KMM - Ale zdecydowanie Dave Bautista, no, najsłabsza część tego filmu.
1129:  MG - Bardzo podobało mi się to, co Krzysztof powiedział na temat tego, jak wiele można było osiągnąć jedną linią dialogową.
1137:  MG - I trzymając się tego diktum, ja jestem Tim Harkonnen, ja kibicowałem Harkonneną w książce i kibicowałem Harkonneną w filmie,
1148:  MG - Dopóki nie zobaczyłem Harkonnenu z filmu, którym niezwykle ciężko jest kibicować, bo tutaj Denis Villeneuve poszedł na swego rodzaju łatwiznę.
1155:  MG - Dobrzy muszą być bardzo dobrzy, a źli muszą być tak źli, że obraz się robi czarno-biały, kiedy się pojawiają na ekranie.
1163:  MG - I gdzie widzę tą jedną kwestię, porozrzucaną w różnych miejscach?
1168:  MG - Jest taka scena w książce, kiedy Baron mówi do Faye Darauty, z faktu, że coś jest konieczne, nie wynika, że musi mnie to cieszyć.
1176:  MG - Nasz ruch przeciwko atrydom do spółki z cesarzem jest konieczny.
1183:  MG - Ale nie cieszy mnie to.
1184:  MG - Nie cieszy mnie ich śmierć, nie cieszy mnie to, co musimy zrobić.
1187:  MG - Robię to, co do mnie należy.
1189:  MG - I wtedy wychodzi z barona Harkonnena raczej polityk niż psychopata.
1193:  MG - I z niego polityk wychodzi w rozlicznych scenach.
1195:  MG - Na przykład, kiedy gryzie się w język, kiedy wie, w jakiej sytuacji stosowne jest pochlebstwo, a w jakiej groźba.
1203:  MG - Nie jest dresiarzem, jak Harkonnenowie w tym filmie, którzy rozumieją tylko tępą przemoc.
1211:  MG - Analogicznie.
1213:  MG - Po pojedynku w Koloseum, Feydrauta nie godzi się na to, czego żąda tłum, czyli żeby uciął głowę pokonanemu przeciwnikowi, odpowiadając, walczył dzielnie i zasłużył na pochówek z godnością.
1230:  MG - Jak by nam to ustawiło Feydraute, gdyby była taka scena?
1234:  MG - Bardziej by to wtedy przypominało, trzymając się tych analogii z Gromotron, Lannisterów.
1242:  MG - Publika nauczyła się cenić Tywina Lannistera i nauczyła się nawet kochać i rozumieć Jamie'ego Lannistera właśnie dlatego, że takich uczłowieczono.
1253:  MG - I nawet Rabban, który robi za rodzinnego głupka, jest jedynym z Harkonnenów, a przynajmniej pierwszym z nich, który tak uparcie twierdzi, że nie wolno lekceważyć Fremenów.
1265:  MG - W książce ten wątek się pojawia wyraźnie.
1267:  MG - To Raban jest tym, który mówi, że nie możemy lekceważyć ani ich liczby, ani ich siły.
1275:  MG - I Raban jest na tyle inteligentny, żeby fałszować raporty, które przedkłada baronowi Harkonnenowi, na co Tufir Hawad dopiero zwraca uwagę, innymi słowy, że
1287:  MG - Domena Harkonnenów jest trochę jak putinowska Rosja, to znaczy wszechobecny lęk sprawia, że wszyscy okłamują swoich przełożonych i te kłamstwa idą całą drogę do barona.
1297:  MG - Trzeba dopiero mentaty, który jest wprowadzony z zewnątrz, żeby on mu powiedział, że te liczby się nie sumują, że Fremenów musi być dużo więcej, a straty Harkonnenów muszą być dużo większe, aniżeli Raban utrzymuje.
1312:  MG - I ostatnia rzecz związana z Rabanem, jak rozumiem wolno nam już spoilować,
1317:  MG - Absolutnie.
1318:  MG - Jest... Absolutnie znaczy nie.
1321:  MG - Bezwzględnie.
1323:  MG - Otóż, jak Rabanne ginie w książce?
1326:  MG - Zostaje zabity przez tłum wściekłych Fremenów.
1329:  MG - Mamy... Mamy lincz.
1332:  MG - To jest dla mojej rodziny i moich przyjaciół.
1354:  MG - jego antagonista w tej scenie, czyli... Garni Halek.
1359:  MG - Czyli Garni Halek, co jest po prostu bardzo słabe.
1362:  MG - Byłoby dużo lepsze, gdyby Fremeni go rozszarpali.
1365:  MG - Dlaczego Fremeni go nie rozszarpali?
1366:  MG - No bo musiał być fanservice, gdzie Garni ma swoją scenę.
1369:  MG - Bo nie było tam Fremenu za bardzo.
1370:  MG - No i druga sprawa, zwróćcie uwagę, Fremeni są przedstawieni w bardzo prosty sposób, jako szlachetni dzikusi.
1380:  MG - To jest Lorenz Zarabi, to jest Jean-Jacques Rousseau, to są szlachetni dzikusi.
1387:  MG - Dlaczego nie miał odwagi Denis Villeneuve, żeby pokazać Fremenów, tu dam jedną scenę, Paul pokonuje w pojedynku Jamisa, przychodzi do Siczy i dowiaduje się, że niniejszym wszedł w posiadanie jego kobiety.
1402:  MG - ponieważ takie są fremeńskie prawa, no i że byłoby z jego strony gestem przyjąć ją do swojego stołu i łoża, ponieważ ktoś się musi zająć dziećmi, które miała z Jamisem, dwójką dzieci, jedną miała z Jamisem, drugiej z mężczyzną, którego Jamis zamordował.
1420:  MG - To pokazuje, jak okrutna była kultura fremenów, ale wracam do tego, co powiedziałem na samym początku.
1427:  MG - Pokaż fremenów
1428:  MG - jako szarych, a nie czarno-białych, pokaż tak Harkonnenów, nie masz tego efektu, dobrzy, źli ci nasi, czy nie nasi, którego, jak się wydaje, Villeneuve szukał i moim zdaniem szkoda, że go szukał.
1443:  KMM - Muszę dwie rzeczy szybko, bo mi to umknie.
1445:  KMM - Po pierwsze, punktuję absolutnie te marvelizacje czy hollywoodyzacje antagonistów.
1452:  KMM - Wydaje mi się, że trzeba było dokładnie tak samo, jak został zrujnowany kompletnie Steve Palpatine i przedstawiony jako głupi naziol, tak samo trzeba było przedstawić Harkonnenów, żeby widz amerykański zrozumiał i nie trzeba było dawać za dużo dialogów, bo jak wiemy, Denis Villeneuve tego nie lubi.
1468:  KMM - Druga rzecz, o wiele ważniejsza, którą też porusza Marcin, zauważcie, nie ma tego wątku z żoną fremeńską z bardzo prostego powodu, to znaczy wszystkie rzeczy, które mogłyby rozgniewać muzułmanów zostały starannie wycięte, poczynając od dżihadu, a skończywszy na wielożeństwie, żeby przypadkiem nie przedstawić wielożeństwa u fremenów, które jak najbardziej jest.
1487:  KMM - Skutkiem czego również mamy zmianę w postaci Chani, to znaczy Chani akceptowała fakt, że Paul ma żonę, ponieważ tak jest, this is the way.
1497:  KMM - Natomiast z perspektywy amerykańskiego puratenina, no nie, no przecież nasza wielka miłość się kończy, bo tutaj trzeba zawrzeć małżeństwo polityczne, skutkiem czego Chani, na którą ludzie złośliwie czasem mówią zżędaja z tego względu, walnęła focha i oddaliła się na czerwiu w stronę zachodzącego słońca.
1516:  KMM - I to jest właśnie ta amerykanizacja kultury fremeńskiej, która przestaje być kulturą fremeńską wtedy, kiedy scenariusz na to pozwala.
1523:  KMM - Ja od razu zaznaczę, że urzeka mnie i bardzo mi się podoba interpretacja Filipa, że Czani prezentuje tę drugą stronę bieguna osobowościowego pola atrydy.
1535:  KMM - absolutnie akceptuje tę interpretację, chociaż zaznaczę, że to absolutnie nie jest interpretacja feministyczna, skoro redukuje silną postać kobiecą jedynie do biegunu osobowości mężczyzny, czyli do jakiejś jungowskiej animy wobec jego animusa.
1546:  KMM - Co nie zmienia faktu, że absolutnie jest to zgodne z taką tradycyjnie, psychoanalitycznie pojętą drogą bohatera, którą bardzo lubi kinofantazy, no i w którą też wpisuje się siłą rzeczy ta Dune'a.
1557:  MG - A to skoro wywołałeś muzułmanów, to tylko powiem jedno zdanie, bo to może być ciekawe dla słuchaczy.
1563:  MG - Jedną z rzeczy, na których wzorował się Frank Herbert, była wojna w Algierii, która jeszcze była absolutnie w żywej pamięci, kiedy pisał Dune'ę, francuska wojna w Algierii.
1574:  MG - I dam wam dwa ciekawe fakty, które są w tym filmie.
1577:  MG - Jeden, który jest, a drugi, który został zmieniony.
1579:  MG - Ten, który jest.
1581:  MG - Jak Harkonnenowie mówią na Fremenów?
1586:  MG - Szczury.
1587:  MG - Szczury.
1588:  MG - Tak Francuzi mówili na Algierczyków.
1590:  MG - Szczur.
1591:  MG - I druga rzecz, kiedy Paul wchodzi na tą skarpę i krzyczy Long live the fighters, w oryginale u Herberta jest Yahya Shuada.
1603:  MG - Okrzyk Ahmed El-Libahasyon Nacional, Armii Wyzwolenia Narodowego Algierskiej.
1609:  MG - Tego nie ma w filmie Wilneva po arabsku.
1611:  MG - Zostało to wstawione w zmyślonym fremeńskim języku.
1615:  MG - Jak rozumiem, ktoś uznał, że okrzyk bojowy algierski może wywołać niewłaściwe konotacje polityczne.
1625:  BFP - Boiler napisał, ciekawe, jak by wyglądał ten film, gdyby kręcił go nieamerykański reżyser.
1629:  BFP - Wiem, co masz na myśli, ale zaznaczę, że Denis Villeneuve jest francuskim Kanadyjczykiem, więc Amerykanin w rozumieniu z USA to nie jest człowiek z USA.
1639:  BFP - Postaram się przejść teraz przez te kilka punktów, które się zebrało.
1642:  BFP - Jak by wyglądał ten film, gdyby go kręcił Francuz z Luizjany?
