Matrix vs Spider-Man, czyli o szacunku do fanów i dobrej i złej nostalgii
🔗 https://www.youtube.com/watch?v=2FvsVRidyhk
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
AK (Artur Kurasiński)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - Dzisiejszy odcinek ulicy Zamkowej będzie sponsorowało słówko nostalgia i fraza fanservice.
164:  BFP - A jak poszedłem do kina na Matrix Resurrections dwa tygodnie później, to miałem przez cały seans poczucie, że ktoś robi ze mnie boomera.
173:  BFP - I nie mogę do końca jakby odnaleźć siebie po tych dwóch filmach, bo z jednej strony czuję się jak dziecko, a z drugiej strony czuję się jak Benjamin Button.
180:  BFP - Powiedzcie mi dlaczego tak jest.
184:  AK - Jak żyć?
185:  AK - No jak żyć?
188:  AK - Filipie, nie wiem.
189:  AK - Powiem Ci, co ja odczułem podczas seansu Spidermana.
196:  AK - Poszedłem na niego w towarzystwie dwóch moich córek i koleżanki starszej koleżanki córki.
205:  AK - Więc byłem w obsadzie dzieciaków, w średnim wieku.
210:  AK - Dzieciaki miał po 12 lat, moja najmłodsza córka miała 6.
213:  AK - One reagowały bardzo dobrze, bo widziały całkiem niedawno, rzuciłem im seanse poprzednich części Spidermana, w związku z tym miałem bardzo świeże nawiązanie.
222:  AK - Ale powiem Ci, że byłem bardzo zdziwiony tym, ponieważ ich reakcje pokrywały się z moimi.
227:  AK - To znaczy, kiedy na ekranie, i tu oczywiście rozumiem, że możemy spowodować, bo to jest... Kiedy na ekranie pojawił się pierwszy ze Spider-Manów, czyli Tobey Maguire,
238:  AK - No to oczywiście dzieciaki zareagowały okrzykami, ale ku mojemu wielkiemu zdziwieniu ja również, prawie że podniosłem się w fotelu, zacząłem bić brawo, ale to również zaczęło być elementem sali.
249:  AK - Nie pamiętam takiego filmu, naprawdę.
251:  AK - Jestem stary i nie pamiętam takich wielu filmów, poza jakimiś wybitnymi takimi naprawdę dziełami sztuki, typu na przykład Aliens, czyli druga część Obcego, gdzie scena, kiedy wchodzi po całej jakby sekwencji złych wydarzeń wchodzi
266:  AK - Signor Weaver w kostiumie tego robota i mówi, odejdź od niej suko i wtedy cała publiczność po prostu wy... To jest katarzyc, takie uczucie, którego nie zapomina się, bo jesteś na tej sali filmowej i czujesz to uniesienie, tą unifikację dusz.
281:  AK - Natomiast to samo czułem właśnie, co się stało, kiedy pojawił się pierwszy Spider-Man albo Spider-Man A-prim, potem pojawił się B-prim, właśnie Tobey Maguire, a na końcu zobaczyliśmy ich trójkę i
295:  AK - I powiem tak, to jest, jak się o tym, podejrzewam, że gdybym zobaczył scenariusz, to bym powiedział, to jest takie oszustwo, to będzie proste takie bardzo granie na emocjach, ale jak zobaczyłem tego wykonanie, realizację, to się wzruszyłem.
309:  AK - Uważam, że majstersztyk, to znaczy tak, ten film w ogóle nie miałby tej nośności, gdyby nie oni, bo ci aktorzy, którzy nieśli ze sobą ten ogromny ładunek nostalgii,
317:  AK - Absolutnie mi ten film, gdyby, taki wiecie, jak ktoś podaje Wam goły przedmiot, a ktoś potem go inny pakuje w ładną oprawę z jakimiś mikołajami, robi stążeczkę, jeszcze perfumuje i to mówi, o, to jest gotowy prezent.
332:  AK - I absolutnie dla mnie to był fanservice, absolutnie czułem, po co jest to zrobione, absolutnie nie zdziwiłem się, a wręcz nawet powiedziałem sobie po końcówce, że okej, robimy rebuta, teraz będziemy się bawili na nowo.
345:  AK - Jestem przeuroczo kupiony tą wizją tego, jak oni zrobili, co zrobili z tym filmem i myślę, że ciężko będzie dorównać jednak konkurencji właśnie w dawaniu tych takich fajnych smaków dla publiczności.
359:  AK - Natomiast powiem, że nadal ten film jest dla mnie mystery, tak powiedzmy, że jest tajemnicą pod kątem, co zaszło, że to się wydarzyło i to ma taką moc.
369:  AK - Ja tego nie rozumiem,
371:  AK - Mam świadomość sił oddziaływania, natomiast nie wiem, co oni zrobili pod kątem tych poszczególnych elementów, po złożeniu w kupę, że to zadziałało.
378:  BFP - Ja oddając głos Grzegorzowi, tylko szybko uzupełnię.
382:  BFP - Ja mam pewną hipotezę, dlaczego to tak wyszło, a dlaczego tak bardzo nie wyszło w Matrixie, o którym też przecież zaraz będziemy rozmawiali.
391:  BFP - Wydaje mi się, że ten fanservice, który jest Spider- No Way Home jest zrobiony z wielkim wyczuciem i z empatią i trochę przemyślany z poziomu fana.
400:  BFP - W sensie jak my byśmy chcieli to zobaczyć w kinie, gdybyśmy tam siedzieli po drugiej stronie jako fani Spider-Mana, którymi jesteśmy.
407:  BFP - I mówię tu o takim poziomie zniuansowania, że możemy mieć Willema Dafoe, który jest zamknięty w klatce i mówi You know I can help.
416:  BFP - I'm something of a scientist myself.
419:  BFP - Co jest oczywiście nawiązaniem do mema.
420:  BFP - I takich rzeczy jest bardzo dużo.
422:  BFP - One nie są nachalne, a jednocześnie są tak ciekawie ukryte easter eggi, że Jon Favreau
428:  BFP - który siedzi w apartamencie obok cioci May i obok Petera Parkera z Mattem Mardokiem, czyli nikim innym jak Daredevilem, który łapie cegłę w locie, to jest odniesienie, uwaga, do sceny z 2003 roku z pierwszego Daredevila z Benem Affleckiem,
445:  BFP - gdzie Jon Favreau grał Fogiego Wilsona i siedział dokładnie w tym samym miejscu, w tym samym apartamencie.
457:  BFP - To jest poziom wyczucia zniuansowania easter eggów, że oni sobie sami wewnątrz teamu produkcyjno-reżyserskiego
465:  BFP - Robili pewne psikusy, bawili się tym, więc ja tylko mogę domyślać się co się stało jak się pojawił jeszcze Andrew Garfield, który powinien dostać Oscara za wszystkie swoje negowanie i próby zbicia tropów mówiąc nie, to jest Photoshop, Photoshop i Tobie Maguire.
479:  BFP - To jakby takie piękne wyczucie, bo robili to ludzie, którzy kochają tę markę Mendo niewielki szacunek i uwaga, a uważam, że Lana Łaczowski nie kocha już Matrixa.
489:  BFP - Uważam, że ona nie kocha i nie czuje Matrixa.
491:  BFP - Ona kocha ludzi, z którymi pracuje.
494:  AK - Zepchnąłeś autobus pełen dzieci z przepaść teraz.
497:  BFP - Ona kocha aktorów, z którymi pracowała przy Sense8.
501:  BFP - Ona kocha Keanu Reevesa i Kerri-Ann Moss, ale ona już nie kocha Matrixa, a z pewnością go nie rozumie.
507:  BFP - To jakby nie mam wątpliwości, że ona już nie rozumie tego, co stworzyła kiedyś ze swoją siostrą.
513:  KMM - Ja mogę powiedzieć tyle.
514:  KMM - To znaczy Spider-Man No Way Home był filmem w Marvel Cinematic Universe en par z Avengers Endgame.
525:  KMM - Nie sądziłem, że jest to możliwe.
527:  KMM - Rozwinął koncepcję z jednej strony tego, co było w Into the Spider-Verse, w tej świetnej animacji absolutnie i połączył to jeszcze z tym, w czym Marvel się w tym momencie specjalizuje, to znaczy w
541:  KMM - czwartej fazie mamy temat multiwersum i to zostało zrobione w sposób perfekcyjny i z mojej perspektywy jest to przykład świetnego zarządzania marką, która jest już kultowa, ale z drugiej strony bardzo skomplikowana i ja miałem wbrew pozorom więcej analogii z Wiedźminem w podniesieniu do Spidermana, to znaczy myślałem sobie, no przecież dokładnie tak samo mamy
564:  KMM - W przypadku Wiedźmina, że jest trzech właścicieli praw do marki.
568:  KMM - Andrzej Sapkowski, Netflix i CD Projekt Red.
571:  KMM - I nic z tego nie wychodzi dobrego.
572:  KMM - A tutaj zostało pokazane piękne rozwiązanie narracyjne.
576:  KMM - Natomiast w odniesieniu do Matrixa chciałbym, żeby wszelkie prawa do marki Matrixa zostały odebrane Lani Łaczowski, zostały odebrane Warnerowi i przekazane w ręce kogoś kompetentnego.
588:  AK - Ja powiem tyle na początek.
590:  AK - Świetnie się bawiłem przez 20 minut tego filmu, ponieważ naprawdę chciałem wierzyć, że Lana Łaczowski zagra na nosie nam wszystkim, to znaczy zrobi fanfika, zrobi artystowskie kino, kręcone jakąś dziwną kamerą za 5 złotych.
607:  AK - i ona będzie kazała temu wybrańcowi nosić te gumowe kaczuszki na głowie do końca filmu i my zostaniemy w takiej opowieści, gdzie to faktycznie jest uniwersum, w którym on kiedyś stworzył grę komputerową i po prostu oszalał i mu się to wydaje.
621:  AK - I wiecie co?
622:  AK - Kurwa, i to by mi się podobało.
624:  AK - A potem wjechała ta...
626:  AK - Wjechała Jefferson Airplane, wjechał, wiecie, biały króliczek i takie łopatologiczne najebywanie.
633:  S03 - Teraz będzie bardzo dokładnie i dogłębnie ci damy trochę filozofii.
638:  S03 - Jeb, jeb, jesteś w symulacji.
641:  S03 - Knajpa się nazywa Simulate.
642:  S03 - O Boże.
643:  S03 - Boże, Simulacja i Latte, Jezu, myśl człowieku, bo zginiesz zaraz.
648:  BFP - Jak ja bym zobaczył kafejkę Simulatę, to nawet bez Morpheusza, nawet bez brania czerwonej czy niebieskiej pigułki pomyślałbym, czy ja kurwa nie żyję w Matrixie.
657:  AK - No właśnie, więc to było do pewnego momentu fajne.
660:  AK - Ja się dziwiłem fajnej grze Keanu Reevesa, bo myślałem, że on faktycznie będzie takim...
665:  AK - totalnie rozwalonym psychicznie, bo pomyślmy sobie, to jest właśnie taki trochę Nolanowski Batman, któremu daliśmy wątek rodziców, którzy zginęli na jego oczach.
676:  AK - Jest idiotą, w sensie jest kretynem, który musi jednocześnie przyjmować kilka masek, dosłownie i przenośni, przy okazji zwalcza zło, przy okazji jest multimilitarny i tak dalej.
685:  AK - Facet jest rozwalony, facet jest po prostu gdzieś tam wewnętrznie jest zwichrowany.
690:  AK - i myślałem, że tym tropem pójdziemy, jeśli chodzi o Thomasa Andersona, ale nie, Thomas Andersona okazuje się, że jest jednak faktycznie wybrańcem, który został przywrócony do życia i wiecie co, i w pewnym momencie jak zacząłem czuć, że to faktycznie pójdzie taką najbardziej banalną, idiotyczną stronę, w której bałem się, że pójdzie widząc trailer, to stwierdziłem dobra, odprężam się i będę chłonął ten syf, żeby jak bazyliszek oddać go potem na końcu
716:  AK - I wiecie co, i po prostu poziom spierdolenia tego filmu mnie przeraził, bo jak pamiętam jak dziś, jak wychodziłem z kina, już nawet o tym napisałem w mojej recenzji, ja Matrixa poznałem w 1999 roku przez płytę CD, którą dostałem jako dodatek.
732:  AK - ponieważ zapłaciłem za wersję piracką Mrocznego Widma.
736:  AK - I kolega mi dał na sadzie, wiecie, taki klasyczny akademik, wchodzę, taka scena jak w Matrixie jest, on kupuje jakieś materiały, ci goście do niego przychodzą na początku, tylko bez kobiet, ja przechodzę sam i mówię do chłopaka, hej, masz coś fajnego, obejrzałbym.
749:  AK - On mówi, dałem parę filmów, wjechało, o, Mroczny Widm, mówię, super, daj.
753:  AK - Zapłaciłem, mówię, wiesz co, jest taki fajny filmik, ty jesteś fanem takich seriali, czy tam jakiś science fiction główien, to masz obejrzeć.
759:  AK - Dał mi za darmo.
760:  AK - Ja wszedłem do domu, Mroczne Widmo, Jar Jar Binks i te inne pierdoły jakoś mnie nie... Ale jak zobaczyłem Matrixa, słuchajcie, ja zajechałem tą płytę, ja byłem multi mega fanem, ultra bojem, zacząłem wszystkim powierać wokół.
773:  AK - Jak wszedł film do kin, to ja po prostu wyciągałem ludzi za habety, mówię, musisz to zobaczyć.
777:  AK - I pamiętam jak dziś, końcówka filmu i Thomas Anderson w Keanu Reeves rozmawia przez słuchawkę telefonu, mówi o tym, że system, że...
787:  AK - rozumiem, to jest taki statement, ta ulica, taki ten bit wchodzący rate against the machine i kurczę i on po prostu jest
794:  AK - i leci w tą przestrzeń.
796:  AK - I na końcu wersji Lanny Łaczowski mamy jakąś popierdółkę, jakąś wersję pop-soulową, nie wiem, jak na to nazwać.
805:  AK - Potem wygrzebałem sobie, obejrzałem sobie teledysk z tą kobietą, która zrobiła tę wersję.
810:  AK - No kurczę, jest to tak spieprzone na takich ilościach pól, że jest niewiarygodne.
815:  AK - Może jest tak, że oni mieli jakiś zakład na planie filmowym, że oni zrobią tyle w top i będzie to tak bardzo spieprzone,
824:  AK - A pomimo tego, że ktoś jeszcze im zapłaci za zrobienie kolejnych części.
826:  BFP - Ja mam pewną teorię.
828:  BFP - Dawaj.
828:  BFP - Ale dajmy Grzegorzowi wreszcie głos, bo Grzegorz to już naładował naboi.
833:  GW - O czym my rozmawiamy?
834:  GW - Właśnie o tej nostalgii, tej tęsknocie za tym, co już było, tak?
839:  GW - I u niektórych to właśnie wzbudza jakieś takie pozytywne ciepełko w środku, gdyż łączy się z takimi niewinnymi lepszymi czasami.
848:  GW - z okresu właśnie takiej beztroskości, no zresztą już Artur sam wspominałeś, że z samego tego pierwszego Matrixa za kawałeczek młodszych czasów poznałeś i tutaj u innych z kolei właśnie ta nostalgia przywodzi trochę żal i gorycz, bo zaczynamy porównywać stan obecny z pozornie lepszym stanem niegdysiejszym, co wychodzi w naszych oczach zazwyczaj na właśnie tą
873:  GW - jakby niekorzyść teraźniejszości, co niekoniecznie musi się pokrywać ze stanem praktycznym, ale tutaj akurat w przypadku czwartego Matrixa nie sposób się nie zgodzić.
882:  GW - Na tym Solidarna Polska zbudowała swój program.
884:  GW - Tak, no i o tak.
887:  GW - No i tutaj Matrix jak i Spider-Man żerują właśnie na tym zjawisku, tylko że właśnie no każdy w inny sposób i również z innym efektem, no i powiedzmy no Spider-Mana będę jednak głównie tutaj chwalił, myślę, że wy tak samo,
900:  GW - Matrixa będziemy głównie łajać, ale chcę troszkę balansu znowu wprowadzić na starcie, więc troszeczkę popastwić się nad Spidermanem i trochę pochwalić Matrixa.
911:  GW - Więc tak, jeżeli chodzi o Spidermana, no to tutaj uczepię się tego,
918:  GW - No jaki jest w ogóle baseline, jeżeli chodzi o tego typu filmy?
920:  GW - No to jest superhero movie w MCU, czyli ma te same problemy, co każdy film w MCU, czyli w zasadzie średnio zaprojektowaną fabułę, bo umówmy się, że to nie są epopeje, które mają wzbudzać u nas nie wiadomo jakie emocje ze względu na warstwę, powiedzmy, historii.
938:  GW - bohaterowie mają więcej szczęścia niż rozumów, wiadomo, zasady rządzące światem są naginane w zależności od potrzeb twórców w danym momencie, ale Matrix tutaj bije Spidermana naprawdę na głowę i o cztery długości wyprzedza.
952:  GW - I jako osobne dzieło, no niestety, Spiderman słabo by się bronił i bez wiedzy o poprzednich filmach
959:  GW - Wiele rzeczy nie miałoby sensu, więc właśnie tutaj jest to, że to jest dobre wykorzystanie fanservice'u, ale jakby to odrzeć z tego setupu, no to ten film nie byłby zrozumiały dla większości ludzi.
973:  BFP - Faktem jest, że to jest jeden wielki payoff.
976:  GW - Tak, tak, no właśnie.
977:  GW - I tak samo idąc w drugą stronę, chciałbym powiedzieć nieco dobrych rzeczy o Matrixie 4.
984:  BFP - To by było na tyle.
987:  GW - Ale początkowe właśnie zarysy i tropy fabularne, te 20 minut, jak Artur wspominał, właśnie nadawały mi taką nadzieję na coś bardzo dobrego, oryginalnego, taki element, ten meta,
1000:  GW - Mieliśmy dobry komentarz społeczny gdzieś tam w tle, nie że jakiś super wybitny, no ale ten analitek miał ten swój rant i tutaj ciężko się nie zgodzić z tym stwierdzeniem, tylko że to już jest takie bardzo popularne stwierdzenie do tego właśnie czym się ludzie kierują i jak łatwiej ich kontrolować.
1016:  GW - No i efekty specjalne były spoko, Kiano był drewniany jak zwykle, nasz Pinokio dawał radę, no ale to pasowało do jego roli.
1024:  GW - Parę żartów było sensownych, ale tragicznie w złym miejscu, więc tutaj to byłoby tyle z pozytywów.
1032:  GW - No i wracając do Spidermana i tutaj, żeby jakby popchnąć to trochę dalej w warstwie fabularnej, czyli mamy ten sam schemat właśnie.
1040:  GW - Bohater ma jakiś problem, tak, musi coś utracić, później przez siłę przyjaźni, introspekcję, zbudowanie postaci na nowo, dokonać przemiany i przezwyciężyć zło.
1050:  GW - No i mamy cały czas ten sam schemat, okej, ale dokonałbym tutaj, wydaje mi się, aktu...
1056:  GW - Jakby złej woli gdybym nie zaznaczył, że przez swoją naiwność i głupotę bohater wywołał kataklizm na niespotykaną skalę i w zasadzie jak dla mnie nie Eternals, które tą kosmiczną sagę w zasadzie nie rozpędziły w żaden sposób i podejrzewam, że dopiero zrobi to Thor i Guardians of the Galaxy.
1077:  GW - Natomiast właśnie Spider-Man w połączeniu z tym, co się działo w serialu Loki faktycznie dają to nowe rozdanie w MCU, na które czekaliśmy i mam nadzieję, że ostatecznie kiedyś dadzą nam War on Infinite... Infinite Earths?
1093:  GW - Jak to było?
1094:  GW - Coś takiego.
1095:  GW - W każdym razie chcę w końcu zobaczyć, chcę w końcu zobaczyć Punishera, dymającego na latającej kosmicznej kozie i odstrzeliwującego te mroczne elfy w innych multiwersach, bo jest taki ark fabularny, absolutnie jest przewspaniały i chcę go zobaczyć po prostu w wersji filmowej.
1116:  GW - No i właśnie, najbardziej znamienite to jest to, co już kiedyś też gadaliśmy tak bardziej pozakulisowo, bohater w końcu tutaj zmienia się faktycznie w Spider-Mana, przychodzi ten rytuał przejścia w dorosłość, słyszy te najważniejsze słowa dla postaci, które się przewieją niezależnie od arku fabularnego, czyli z wielką mocą idzie wielka odpowiedzialność.
1135:  GW - I jednocześnie przeżywał tracę bliskiej osoby.
1138:  GW - Wydaje mi się, że mnie to chyba nawet bardziej bolało niż Petera Parkera, bo ja zawsze byłem team Aunt May, także... No ale cóż, coś musiało się stać, żeby właśnie chłopiec stał się w końcu mężczyzną.
1149:  GW - No i kurczę, w Matrixie niestety wszystko, co można było zrobić źle, zostało zrobione źle po tych 20 minutach, bo...
1160:  GW - Sama idea tego, że się bohater po prostu zżył, znaczy wmówiono mu, że jest twórcą gry, który by zżył się ze swoim dziełem, to było naprawdę interesujące i wątki growe i gamedevowe ja zawsze bardzo doceniam, ale tutaj
1177:  GW - Zaczęło to być właśnie takim pławieniem się we własnej nostalgii i doszło to do takiego przesteru, przepakowania, przesycenia tym samozachwytem, bo co chwila dostawaliśmy przecież scenki z oryginału.
1190:  GW - Przepraszam, ci przerwam.
1191:  BFP - Pławienie się we własnych manierach.
1194:  BFP - Nostalgii to było dobrze, bo to jeszcze może być ścieżka Force Awakens, tak?
1197:  BFP - Czyli masz jeden do jednego tworzenie pierwszego Matrixa, ale Lana Łaczowski mówiła, nie, nie, nie, tu nie ma miejsca na reboot, nie będzie żadnego rebootu, który uderzy w te same bity.
1205:  BFP - Ja to zrobię tak, żeby wam nie smakowało.
1207:  GW - No właśnie, jak dla mnie, ja już to napisałem też u siebie na wallu, ale to już wspominałem parę razy,
1214:  GW - Jak dla mnie, nazywając to obsesowo, to jest taka artystyczna masturbacja po prostu tym, co zostało stworzone wcześniej.
1222:  GW - Co gorsza, właśnie ta fabuła nie ma ani ładu, ani składu, nie trzyma tempa.
1227:  GW - Tam, gdzie mamy takie narośnięcie, napięcie do takiego sensownego poziomu, dostajemy nagle czerstwy żart, jakby mi ktoś wyciągnął po prostu ten, no...
1238:  GW - Z gniazdka jakiś zasilacz po prostu nagle padło wszystko, co było budowane przez na przykład 15 minut, tam gdzieś bliżej właśnie finału i tej sceny kulminacyjnej, a właśnie w ogóle scena kulminacyjna, ten creme de la creme finał, który absolutnie nie ma sensu.
1256:  GW - Ludzie ratujcie.
1257:  BFP - Ja po prostu... Madrix to jest taki szytszoł, że jakby go spuścić ściekami, to by rozpierdolił mury jerychońskie, naprawdę.
1266:  BFP - Podmywając fundamenty.
1268:  BFP - Jeszcze przeleciał do Chin.
1270:  AK - Oczyszczalnie ścieków Czajka i Kaśka by po prostu rozwalił od razu.
1273:  AK - Czaskowski nie musiał by nic robić.
1276:  AK - Pozdrawiam pana prezydenta.
1278:  KMM - Ale zacznijmy w ogóle od tego, że... I to chyba wychodzi w naszej rozmowie, bo rozmawiamy już spory kawałek czasu i zauważcie, że nie padła jedna rzecz.
1287:  KMM - O czym jest ten film?
1289:  KMM - Ja nie wiem, o czym jest ten film.
1290:  KMM - Ja nie umiem zrekonstruować fabuły.
1293:  KMM - Jak wiadomo, w tym się specjalizuje polska szkoła, żeby rozpisywać fabularnie, więc przypuszczam, że takie zadanie maturalne zostałyby rozwiązane przez 0% ludzi.
1300:  KMM - A ja mam odpowiedź.
1302:  KMM - Nikt nie jest w stanie stwierdzić, o czym to jest.
1304:  KMM - To jest...
1306:  KMM - Ta fabuła się nie składa.
1307:  KMM - Zwykle jest tak, i to jest dziwne, ponieważ Hollywood postępuje według tego schematu bardzo często, że mamy te...
1317:  KMM - piramidy Freitaga, tak, że jest ekspozycja, ona zmierza do jakiegoś punktu kulminacyjnego, gdzie był tu punkt kulminacyjny, potem jest spadek napięcia.
1325:  KMM - Tutaj, po pierwsze, nie wiem, gdzie jest punkt kulminacyjny, bo jej było kilka, po drugie, spadku napięcia nie ma, ponieważ na końcu jest żenujący żart prowadzącego, którego kompletnie nie rozumiem,
1336:  KMM - W międzyczasie są jakieś zupełnie dziwne, incydentalne epizody, perypetie, które do niczego nie prowadzą.
1343:  KMM - Wprowadzane są postaci tylko po to, żeby je ośmieszyć.
1345:  KMM - Wprowadzenie Merrowinga jest skandalem.
1348:  KMM - Wprowadzenie Morpheusza, który wychodzi z kibla, bo heee, jest skandalem.
1353:  KMM - Jest durnym dowcipem i do niczego nie prowadzi.
1356:  KMM - Wprowadzenie agenta Smitha, który nie jest agentem Smithem, bo nie wygląda jak agent Smith, ponieważ szczęście...
1362:  KMM - aktor grający, agenta Smitha, Hugo Weaving, przypomniałem sobie jakimś cudem nazwisko, powiedział, że nie będzie w tym grał.
1369:  KMM - I w związku z powyższym on wygląda inaczej.
1373:  KMM - I wszystko, co jest wprowadzone w tym filmie, nie służy temu, żeby pchać fabułę naprzód, więc ja nawet, gdybym chciał oceniać Matrixa w oderwaniu od całej franczyzy, to nie mogę, bo ten film niczego nie opowiada.
1384:  KMM - Postaci, które spotykam, nie mają swojej historii, nie popychają fabuły naprzód.
1389:  KMM - Keanu Reeves nie jest nawet Keanu Reevesem, jest jakąś dziwną mutacją Johna Wicka z Johnem Silverhandem.
1395:  KMM - I jeżeli w przypadku Johna Wicka to jest akurat dobre, w przypadku Johnego Silverhanda troszeczkę mniej.
1399:  KMM - I jest amalgamatem wszystkich postaci, które grał.
1402:  KMM - Czyli nawet nie gra Neo.
1404:  KMM - Okej, mogę przyjąć założenie takie, że w tym swoim świecie programistycznym on jest po prostu Keanu Reevesem, a w Neo się przekształca wtedy, kiedy mu golą glace.
1414:  KMM - Okej, może tak jest, ale w dalszym ciągu ja nie widziałem w nim Neo, znaczy Keanu Reeves nie grał, Keanu Reeves grał siebie.
1421:  KMM - Byłem święcie przekonany, że za moment jeszcze przyjdzie pies i ktoś tego psa ustrzeli i w tym momencie on zmieni się z powrotem w Johna Weeka i pójdzie w Killing Spree.
1429:  KMM - To jest typowy przykład filmu, który stara się być kampowy, czyli intencjonalnie kiczowaty, ale nie umie tego dobrze zrobić.
1437:  KMM - Żeby zrobić dobry kamp, trzeba być Terrym Pratchettem.
1440:  KMM - Lana Łaczowski nie jest Terrym Pratchettem.
1442:  KMM - Nie jest w stanie zrobić dobrego kampu.
1444:  KMM - Nie jest w stanie śmiać się z własnej franczyzy.
1446:  KMM - Nie robi parodii Matrixa.
1448:  KMM - Nie robi satyry Matrixa.
1449:  KMM - Robi autoparodię i ośmiesza sama siebie.
1452:  KMM - I to jest bolesne w tym wszystkim.
1454:  KMM - Bo jedyna ciągłość, która jest...
1457:  KMM - między tą klasyczną trylogią, a czwartym Matrixem, to jest słowo Matrix w tytule.
1463:  KMM - To jest marka, IP.
1465:  KMM - Dlatego zacząłem od tego, odbierzmy prawa do marki Warnerowi, nie pamiętam, Ilanie Łaczowski, ponieważ ewidentnie nie wiedzą, co z tą marką zrobić.
1476:  KMM - Jest to najgorsza kontynuacja i najgorszy reboot, jaki widziałem w całym swoim życiu.
1483:  BFP - Odpowiadając na twoje pytanie, czy wasze pytanie, po co, jaka intencja, dlaczego, które zadawałem sobie przez ostatnie dwa tygodnie, to ja bym powiedział, podtytuł tego filmu nie powinien być Resurrections, tylko Matrix Rewizja.
1502:  BFP - I moim zdaniem intencją Lany Łaczowskiej było
1507:  BFP - budując na wszystkich tych akcentach i bitach, które pojawiły się w poprzednich częściach.
1512:  BFP - I to w tak toporny sposób nam przypominany, że trzeba po prostu wrzucać fragmenty scen, żebyśmy przypadkiem nie zapomnieli, że linijka do linijki możemy przełożyć i zobaczyć, że to się wszystko pokrywa paralelnie.
1523:  BFP - Było
1525:  BFP - W jakiś sposób zmienić wymowę nawet albo zmienić akcenty z tego co było w przeszłości na to co ona widzi teraz.
1535:  BFP - Słuchałem wywiadu z nią, ona mówiła, że miały miejsce wydarzenia w jej życiu, które sprawiły, że chciała wrócić do tego uniwersum i jej głównym przekazem jest
1542:  BFP - Amor vincit omnia, miłość zwycięży wszystko.
