PRZEtłumacze #117 - Twórca światów: Krzysztof M. Maj o narracji i języku
🔗 https://www.youtube.com/watch?v=GHjPYClqMBk
KW (Kacper Wawrzak, Diuna Language Services)
KMM (Krzysztof M. Maj)

2:  KW - Podcast napędza Biuro Tłumaczeń DUNA.
274:  KMM - To może być władca pierścieni dla świata śródziemia, a ściśle mówiąc ardy, czyli planety, na której się to wszystko rozgrywa.
282:  KMM - Ale to może być równie dobrze gra Battle for Middle-Earth 2, ale może to być równie dobrze film Petera Jacksona, a z trzeciej strony może być to inna mapa, wykreślona przez samego Tolkiena w tej rzeczywistości.
292:  KMM - Okno dostępowe, ale jedno jedyne i na tym się różni ten świat sztuczny wyobrażony od naszego.
298:  KMM - Tam mamy bardzo ograniczoną liczbę komponentów, które możemy wykorzystać i objętość w danym medium, w którym możemy sobie pozwolić na to, żeby ten świat przedstawić.
307:  KMM - I myślę sobie, że to jest dobra analogia do tego, jakimi ograniczonymi zasobami dysponujemy w naszej rzeczywistości.
312:  KMM - Ograniczonymi zasobami finansowymi, czy poznawczymi, czy kreatywnymi.
316:  KMM - Więc im lepiej zaprojektujemy tę przestrzeń wokół nas w miarę naszych możliwości,
321:  KMM - tym lepiej będzie dla naszego wszystkiego właśnie, bo bardzo często się mówi, że rozwiązaniem problemów z kreatywnością jest to, żeby odwrócić telefon do góry nogami.
329:  KMM - Nikt nie myśli o tym, że rozwiązaniem tych samych problemów z kreatywnością może być to, żeby zaaranżować przestrzeń fizyczną wokół nas lepiej, albo nawet tę przestrzeń cyfrową i dbać o to, żeby witała nas na komputerze albo na ekranie telefonu jakaś sympatyczna tapeta przedstawiająca inną rzeczywistość.
343:  KMM - To są takie
344:  KMM - drobne i błahe rzeczy, a jednak kluczowe.
347:  KMM - I trzeci jeszcze przykład mam, skoro już było o mieszkaniu, o telefonie, to teraz jeszcze będę mieć przestrzeń pracy ze studentami.
353:  KMM - Jak otwieramy sobie Trello, Miro albo inne aplikacje, gdzie nadzorujemy projekty, w ten sposób pracujemy na seminariach licencjackich i dyplomowych, że wszyscy mamy wgląd w to, nad czym pracujemy, wyznaczamy sobie kamienie milowe, ale też zbieramy różnego rodzaju materiały, które są dla wszystkich dostępne.
369:  KMM - I studenci sami to zaczęli robić, zaczęli wrzucać gify, zaczęli wrzucać jakieś wygenerowane w AI grafiki, które miały nam uprzyjemnić nasze miejsce pracy.
377:  KMM - I rozumieją to, co jest najsmutniejsze, nie szkoły i nie uniwersytety, tylko rozumieją to korporacje, te o których tak bardzo chętnie często mówimy krytycznie, które tworzą game roomy.
388:  KMM - które coraz częściej, oczywiście mówię o tych bardziej nowoczesnych, dbają o to, żeby ta przestrzeń wokół wyglądała.
393:  KMM - Takim świętym graalem jest sieć Baccapertino Apple'a, która nie dość, że wygląda, to ma stymulować do pracy.
399:  KMM - Tam jest też przepływ tych idei zachowany, bo mieli problem, że zespoły się ze sobą nie komunikowały, więc stworzyli dużą stołówkę, ale oprócz tego znieśli ściany, tak żeby ludzie mogli ze sobą łatwo się komunikować i długie, długie korytarze zaprowadzili, gdzie siłą rzeczy musiały się wtedy zespoły ze sobą
418:  KMM - Więc troszeczkę tak, mówię chyba tak, każdy młotek, że wszędzie wokół mnie są gwoździe, ale faktycznie uważam, że światotwórstwo to nie jest tylko coś, co dotyczy światów, których nie ma, tylko to jest bardzo interdyscyplinarna gałąź humanistycznej refleksji nad tym, jak kreować i tworzyć otaczającą nas rzeczywistość także wtedy, kiedy właśnie nie istnieje.
441:  KW - Czyli jak by się było lepiej spotkać?
444:  KW - Tak jak teraz się spotykamy, żeby porozmawiać nieco o światotworzeniu, o języku w roli, we współpracy ze światotworzeniem, czy też w służbie światotworzenia, bo o tym spróbujemy porozmawiać za chwilę, czy też spotkać się na przykład w bibliotece wydziałowej, Wydziału Humanistycznego.
463:  KW - Jakiś czas temu rozmawiałem z doktor Jowitą Gują również o światach
468:  KW - nieistniejących, czy też właśnie kłóciliśmy się może o to, czy one istnieją naprawdę.
474:  KW - W każdym razie o wirtualnej rzeczywistości i o tej rozszerzonej.
477:  KW - Czy wy tam na Wydziale Humanistycznym lubicie takie klimaty, nierealne, wirtualne?
485:  KMM - W katedrze, w której pracuję, jest taka jednostka stowarzyszona, czyli właśnie laboratorium EduVR Lab, czyli laboratorium badań nad wirtualną i rozszerzoną także rzeczywistością, gdzie faktycznie jest i sporo headsetów VR-owych i jeszcze więcej specjalistów zajmujących się tym zagadnieniem.
502:  KMM - Co zabawne z mojej perspektywy, ja niestety nie jestem w stanie używać VR-u z uwagi na moją chorobę lokomocyjną, co jest niesamowicie satyryczne, wziąwszy pod uwagę to, czym się zajmuję.
512:  KMM - Ale staram się w jakiś sposób uzupełniać te badania o refleksję taką, że nie musimy mieć tego bardzo zaawansowanego sprzętu, żeby doznać imersji, czyli zanurzenia w inną rzeczywistość.
524:  KMM - To zanurzenie możemy osiągnąć także wtedy, jeżeli nakryjemy głowę kołdrą, włączymy sobie latarkę i będziemy czytać książkę i nałożymy sobie jakieś słuchaweczki jeszcze i puścimy sobie muzykę tematycznie z tą książką związaną.
538:  KMM - Bo całość doświadczeń tych multisensorycznych, wielobocowych, które oferuje wirtualna rzeczywistość, a przez ekstencję myślę, że też każde światy cyfrowe i gry komputerowe, sprowadza się po prostu do tego, że to medium jest wielokanałowe.
552:  KMM - W teorii narracji mówimy o czymś takim, o multimodalności, bo są różne tryby narracji, czyli narrative modes i tym trybem narracji może być ilustracja, dźwięk.
562:  KMM - Muzyka wcześniej skomponowana, oczywiście stąd różnica względem dźwięku, tekst, który w naszej kulturze króluje oczywiście, ale może być to równie dobrze interakcja w grze wideo, więc jest dużo różnych strumieni komunikacji, które możemy wykorzystać.
576:  KMM - No i ja zwykłem mawiać, że gra wideo jest medium doskonałym.
579:  KMM - To jest moment, w którym zwykle ludzie się zaczynają oburzać i denerwować, a ja wtedy dodaję, że nie mówię o tego w znaczeniu wartościującym, tylko jest doskonałym medium, ponieważ mieści w sobie wszystkie media.
589:  KMM - Gra wideo jest jedynym medium, w którym jesteśmy w stanie przeczytać książkę, obejrzeć film, obejrzeć serial i zagrać w inną grę.
595:  KMM - Natomiast żadne inne medium czegoś takiego nam nie oferuje, dlatego jest dla mnie przedziwne to, że gry nie są częściej analizowane właśnie jako jeden z już przejawów istniejących rzeczywistości cyfrowych i sztucznych.
606:  KMM - Oczywiście u nas na Wydziale Groznawstwo się rozwija bardzo pomyślnie właśnie z tego względu, że mamy już doświadczenie w badaniu tego rodzaju przestrzeni cyfrowych.
614:  KMM - Natomiast absolutnie nie jest to reguła.
616:  KMM - Groznawstwo jako dyscyplina nie zaistniało wciąż w rejestrze dyscyplin naukowych w Polsce.
620:  KMM - Walczy o to profesor Tomasz Majakowski, profesor Michał Kłosiński, odpowiednio z Uniwersytetu Jagiellońskiego i z Uniwersytetu Śląskiego, razem z całą rzeszą groznawczyń i groznawców, którzy również apelują o to, żeby dyscyplina została uznana, bo po prostu gry już stały się takim...
638:  KMM - obszernym elementem naszej kultury, że sprowadzanie ich tylko do takiego bezmyślnego klikadła, w którym zbieramy ananasy, to już nie jest przejaw niewiedzy, tylko to jest przejaw rażącej niekompetencji i braku erudycji.
651:  KMM - Więc jeżeli ktoś chce się mienić kulturoznawcą, a jego pojęcie na temat gier ogranicza się do sapera, to ma problem taki sam, jak kulturoznawca, który nie znałby nazwiska Szekspira.
661:  KMM - Co być może wydaje się kontrowersyjne, ale może dopóty, dopóki nie uświadomimy sobie, że gry wideo są z nami już od pół wieku.
668:  KMM - Nawet ponad.
669:  KMM - Pamiętam, że w numerze tekstów drugich poświęconym grom wideo był właśnie artykuł Macieja Maryla na temat tego, że mamy za sobą już pół wieku badań nad grami wideo.
679:  KMM - Nie, to nie był artykuł Macieja Maryla, to był artykuł Staszka Krawczyka.
682:  KMM - Przepraszam, Maciej Maryl robił wstęp do tego numeru.
684:  KMM - W każdym razie, dlatego cały czas robię ten piwot i zwrot w kierunku gier wideo, bo wydaje mi się, że one nie powinny być rozpatrywane w oderwaniu od rzeczywistości wirtualnych czy cyfrowych.
694:  KMM - Z tego prostego względu, że gry wideo nie są po prostu grami już, to nie jest skakanka i szachy.
699:  KMM - Tam nie ma tylko tego aspektu ludycznego, rozrywkowego, tylko to są już wirtualne światy.
705:  KMM - I w zasadzie gry wideo są w tej chwili probierzem tego, jak będzie funkcjonować, bo będzie, wirtualna rzeczywistość i rozszerzona rzeczywistość na rynku masowym za x lat.
714:  KMM - Ciekawym w tym kontekście eksperymentem jest Apple Vision Pro.
717:  KMM - Czyli w zasadzie możemy powiedzieć, że jeden z pierwszych takich konsumenckich produktów kierowanych do odbiorcy mainstreamowego, a nie tylko do graczy, bo nie oszukujmy się, że to gracze najczęściej kupowali headsety VR-owe.
728:  KMM - I to nie jest
731:  KMM - Urządzenie, które tworzy świat wyobrażony pierwotnie i prymarnie, ono tworzy nam na przykład przestrzeń wyciszenia podczas pracy.
739:  KMM - Albo jesteśmy powiedzmy w samolocie i potrzebujemy obejrzeć sobie jakiś film, a nie chcemy, żeby ktoś nam patrzył przez rękę.
744:  KMM - Nakładamy gogle i jesteśmy w sali kinowej.
747:  KMM - To są przypadki użytkowania, które były przywoływane przez recenzentów częściej niż granie, ale to także dlatego, że akurat macOS nie jest przesadnie użyteczny.
756:  KMM - dobrze dostosowane do odpalania gier wideo, zwłaszcza tych najnowszych i najbardziej wymagających, co się oczywiście może zmienić.
763:  KMM - W każdym razie myślę, że raczej w pierwszej kolejności, przez wzgląd na nasz sentyment do świata fizycznego, który zamieszkujemy, będziemy rozszerzać tę rzeczywistość, więc augmented reality już jest, może nie na taką skalę jeszcze, bo nie wszyscy używają tych elementów augmented reality, na przykład w Google Maps, też nie wszędzie w Polsce działają,
782:  KMM - ale na pewno na większą skalę będzie się to pojawiało w przyszłości, bo tak jest po prostu łatwiej.
787:  KMM - Łatwiej jest nałożyć na rzeczywistość dodatkową teksturę, która będzie wyjaśniała nam, co zrobić, jak zmierzyć jakiś przedmiot, gdzie pójść, niźli, tworzyć jakiś świat od nowa, bo wtedy, no właśnie, po pierwsze, będziemy wymagali od designerów i projektantów bardzo wiele nakładów i środków, gry wideo są nieprawdopodobnie drogim środkiem,
807:  KMM - W tym momencie też są najdroższym obszarem działalności artystycznej na świecie i najbardziej kosztownym i równocześnie najbardziej rentownym i największe przychody generującym.
816:  KMM - Ale równocześnie wymagamy sporo od graczy czy od użytkowników.
821:  KMM - To już Samuel Taylor Coilidge mówił w XIX wieku, że musimy zawiesić naszą niewiarę jak wkraczamy do świata wyobraźni i magii.
829:  KMM - Nie możemy być tymi zimnymi racjonalistami, którzy mówią...
832:  KMM - Że to nie istnieje, więc to nie ma znaczenia.
834:  KMM - Też dlatego ironicznie zwykle przedstawiam się jako człowiek od światów, których nie ma.
838:  KMM - Bo też staram się dekonstruować ten stereotyp, który się pojawia od bardzo, bardzo, bardzo dawna.
845:  KW - Przecież to jest tak samo, zupełnie tak samo jak z religią.
849:  KW - No a gdyby tak, chcieć stworzyć ten świat, czyli podjąć się tego trudnego bardzo zadania, tak jak wspomniałeś, nie poszerzamy rzeczywistości, która już jest jakoś nam znana, nie próbujemy pisać tej historii nieco dalej, przekraczać troszkę granic, tylko chcemy stworzyć coś zupełnie od nowa.
869:  KW - Spytam cię zaraz o to, jak zacząć, ale na pewno dopytam też o to, czy język ma w tym swoją rolę.
877:  KW - Tylko tutaj mała dygresja.
878:  KW - Zwróciłem uwagę na to, jak oczywiście posługujesz się językiem, ale jak traktujesz
885:  KW - to narzędzie tytułowania swoich materiałów na YouTubie, czy też jakby bawisz się słowem, lubisz zabawę językiem w tytułach twoich filmów, chociażby tytuł podcastu, dla każdego coś przykrego, czy wynotowałem sobie jeszcze takie podtytuły materiałów, niech będzie podpalony, czy kanion lektur.
909:  KW - To są takie małe dzieła sztuki.
912:  KW - Opowiedz trochę o tym, jak traktujesz język polski.
915:  KMM - Ja to uwielbiam, nie ukrywam, ale jesteś pierwszą osobą, która to zauważyła.
919:  KMM - Czasem w komentarzach ludzie reagowali mniejszym lub większym śmiechem na różne moje gierki słowne, ale to wszystko bierze się z dwóch przyczyn.
929:  KMM - Po pierwsze, zawsze literatura była mi bliska i jeżeli miałbym wymienić dwa media, bez których nie mógłbym żyć, to oprócz gier byłyby to absolutnie powieści, to powieści fantasy głównie, więc w powieściach fantasy
942:  KMM - Od samego początku słowotwórstwo i światłotwórstwo żyły ze sobą w zgodzie.
948:  KMM - Kiedyś utworzyłem nawet taki termin naukowy, który nawet się przyjął u językoznawców, więc dlatego ze spokojem mogę go przywoływać w takim kontekście profesjonalnym, mianowicie allonimia.
958:  KMM - Allonim, czyli stworzenie słowa nazywającego inną rzecz w innym świecie, czyli allotopii.
963:  KMM - Słowo allotopia brzmi też trudno, ale było wykorzystane przez Andrzeja Sapkowskiego na nazwanie świata Wiedźmina, więc też się czuję spokojniejszy przywołując taki termin w audycji i w podcaście.
974:  KMM - Natomiast allonimia jest o tyle sympatyczna, że kojarzy się nam z
977:  KMM - synonimem, z antonimem, z innymi nimami, toponimami, które kojarzymy z językoznawstwa.
983:  KMM - W związku z powyższym liczyłem na to, że się przyjmie i faktycznie jedna z językoznawczyń, która pisała o tradycjach onomastycznych i nazywaniu miejsc w literaturze fantasy, podjęła to w doktoracie, więc ucieszyłem się strasznie.
995:  KMM - A ważne jest to z bardzo prostego powodu, to znaczy jak stworzymy taki allonim, powiedzmy, że jest to miecz świetlny, to bierzemy miecz i bierzemy światło i tworzymy z tego nowy artefakt, ale to jest metoda tolkienowska, opisana ściśle przez niego w eseju Drzewo i Liść, polecam zwłaszcza w przekładzie Joanny Kokot, znawczyni nawiasem mówiąc Sherlocka Holmesa w Polsce, z książki Niedokończone Opowieści, to jest to wznowienie w ramach tej wielkiej serii tolkienowskiej,
1023:  KMM - Zysku i spółki.
1025:  KMM - I tamże Tolkien opisuje, a to stary esej, w którym definiuje w ogóle pojęcie fantasy jako takie, że jeżeli weźmiemy zieleń i weźmiemy słońce, to nie tylko stworzymy zielone słońce, ale stworzymy także świat, w którym istnienie zielonego słońca będzie się dopraszało uzasadnienie.
1043:  KMM - I to jest ważny punkt, w którym słowotwórstwo zmienia się w światotwórstwo, bo nagle się okazuje, że musimy zacząć się zastanawiać, no dobrze, co by było gdyby, pierwsze i najważniejsze pytanie światotwórcze, zaistniało faktycznie zielone słońce.
1055:  KMM - Jakie to będzie miało konsekwencje?
1057:  KMM - Więc to mnie zawsze fascynowało z jednej strony, a z drugiej strony przez moją edukację polonistyczną, ostatecznie na polonistyce na UJ-cie spędziłem 10 lat,
1065:  KMM - Czyli jedną trzecią swojego życia.
1067:  KMM - To straszne pod wieloma względami, ale z drugiej strony trudno, żebym nie nasiąkł różnymi idiosyngrazjami polonistycznymi, spośród których jedną na pewno byłaby umiłowanie dla języka i różnych rzeczy, które z językiem można robić.
1080:  KMM - Przypomina mi się tu sketch Stevena Freya o języku, który uwielbiam, tak nawiasem mówiąc, a propos gierek słownych.
1086:  KMM - I oprócz tego wszystkie powieści satyryczne, które też ceniłem,
1090:  KMM - które zazwyczaj operowały humorem językowym.
1094:  KMM - Douglas Adam z Autostowem przez Galaktykę, cały Terry Pratchett i Świat Dysku, Trzech Panów w Łódce nicząc psa.
1100:  KMM - Myśli nieuczesane Stanisława Jerzego Leca z naszego podwórka, które są bardzo często przeze mnie przerabiane w tytułach kolejnych Q&A, które mam z widzami.
1110:  KMM - Czasem ktoś zauważy, czasem nie.
1111:  KMM - Czasem mi się zdarza bardzo mocno przetworzyć jakąś myśl nieuczesaną, a czasem wrzucam bez żadnych obróbek.
1118:  KMM - I tak samo uwielbiałem polską twórczość satyryczną.
1121:  KMM - W ogóle uważam, że polskie metrum nadaje się zwłaszcza do utworów satyrycznych z uwagi na ten bardzo charakterystyczny ośmiosgłoskowiec, który mamy dopracowany w języku polskim, który jest zgodny z naszym naturalnym akcentem na drugą sylabę od końca, który jest w polszczyźnie.
1139:  KMM - Więc te wszystkie tam...
1141:  KMM - Zmrok wieczorny, babcia siwa przy kominku głową kiwa.
1144:  KMM - Wszystkie te ośmiu zgłoskowce bardzo ładnie nam korelują z melodią języka i tym, w jaki sposób się porozumiewamy.
1152:  KMM - I sam swego czasu pisywałem takie utworki razem z kumplami w liceum, bawiliśmy się tym.
1159:  KMM - I chyba to zostało mi w tych tytułach filmu rzeczywiście, że lubię przykuć uwagę kogoś, kto patrzy troszeczkę głębiej i wnikliwiej.
1168:  KMM - bo też będzie dobrym partnerem do dyskusji w komentarzach, bo też nie oszukujmy się, że pomysł na założenie kanału na YouTubie, gdzie będziemy mówili trochę o kulturze, krytycznie o edukacji i czasem będziemy rozmawiali ze sobą co miesiąc na temat literatury, to nie brzmi jak pomysł na biznes.
1186:  KMM - A tymczasem przez to, że to się rozwijało bardzo naturalnie i autentycznie,
1191:  KMM - To mam wrażenie, że zupełnie nieoczekiwanie w coś takiego się rozwinęło.
1195:  KMM - Ja się tego w ogóle nie spodziewałem, jak robiłem pierwszy odcinek tej serii.
1200:  KMM - To było tuż przed wybuchem pandemii i w zasadzie robiłem to wyłącznie dlatego, że miałem już gotowy sprzęt, ponieważ potrzebowałem go do komunikacji ze studentami, miałem kupioną kamerkę.
1211:  KMM - internetową i mikrofon i stąd to się wszystko wzięło.
1214:  KMM - Ale to zamiłowanie do gierek językowych myślę, że jest czymś, co bardzo wyróżnia polszczyznę i daje nam niesamowite możliwości słowotwórcze i strasznie żałuję, że tłumacze nie bawią się tym, tak jak to on dziś bywało.
1226:  KMM - w różnego rodzaju tekstach, które do dzisiaj są kultowe.
1230:  KMM - Przecież też wspomnę o świetnych przykładach, no Asterix i Obelix, Zemsta, Kleopatra, znaczy Boże, i Kleopatra jest bardzo dobrym tego przykładem, jak żyją z nami różnego rodzaju dowcipne uwagi, frazesy, szmoncesy i grepsy, które były tam wplatane przez tłumaczy, a
1247:  KMM - które trzymają się naszego mózgu głównie z uwagi na to, że zawsze zapamiętujemy to, co nas rozbawi albo poruszy o wiele lepiej niż jeżeli coś jest po prostu wyłożone zimno jakąś mniej lub bardziej wyrafinowaną polszczyzną.
1262:  KW - Oj tak, no a gdybyś miał zaprojektować swój własny świat i określić w jakiej będzie osadzone kulturze, czy też tę kulturę stworzyć od zera, to projektowałbyś po polsku, czy nie wiem, jakoś tak bardziej światowo?
1279:  KMM - To jest bardzo szeroka kwestia i myślę, że to dużo zależy od zapotrzebowania, od preferencji odbiorczych i od tego, na jaki rynek to kierujemy.
1287:  KMM - Zasadniczo w obrębie przemysłu projektującego gry wideo, no niestety w tym momencie utrzymuje się przekonanie, że należy wszystko pisać w języku angielskim.
1297:  KMM - Więc jeżeli ktoś by chciał pójść do game devu tak zwanego, czyli do studiów projektujących gry wideo i pisać fabuły,
1303:  KMM - bo dobrze się z tym czuję, a niekoniecznie chciał pisywać opowiadania czy powieści, to mam bardzo złe informacje.
1309:  KMM - Po pierwsze, trzeba pisać opowiadania.
1310:  KMM - Powieści nie.
1311:  KMM - Najgorsze, co można zrobić, to zabrać się za kształtowanie swojego warsztatu literackiego od 300-stronicowej albo 600-stronicowej powieści, bo albo człowiek utknie w międzyczasie, albo rozwinie się w międzyczasie literacko tak, że nie będzie się mu podobało pod koniec to, co napisał na początku.
1326:  KMM - Więc o wiele lepiej zacząć od opowiadania,
1328:  KMM - i skalować swoje umiejętności od nawet czegoś, co się nazywa short fiction po polsku, mówimy o tym shorty, uwielbiam to tłumaczenie, więc shorty to są półstronicowe opowiadania.
1340:  KMM - O, i to jest dopiero kunszt, rozwinąć akcję, wprowadzić jakąś tajemnicę i intrygę i rozstrzygnąć na poziomie półstrony.
1348:  KMM - I zanim ktoś wrzaśnie, że to jest niemożliwe, polecam utwór Mikołaj Był, Nila Gaimana, z jednego z jego zbiorów opowiadań.
1356:  KMM - Da się to zrobić absolutnie,
1358:  KMM - I też pamiętam inne jego opowiadanie, ale nie pamiętam tytułu, więc to słuchacze może dotrą do tego, kartkując i wertując zbiory opowieści Daniela Gaimana, Rzeczy ulotne czy Dym i lustra.
1370:  KMM - Mianowicie jak napisał właśnie na połowie strony odwróconą historię rajskiego nadawania imion zwierzętom.
1379:  KMM - Mianowicie w tym wariancie imiona były odbierane.
1382:  KMM - Niesamowicie wstrząsające opowiadanie jednak na połowie strony zgromadzone.
1387:  KMM - Więc myślę, że bez problemu można od takich drobiazgów fabularnych zacząć i potem przejść do tego, co na przykład w gamedevie jest bardzo popularne, czyli questów, fabuł, które już muszą mieć jakiś cel.
1399:  KMM - To może być bardzo prosty cel, oddanie komuś czegoś, ale to może być też cel złożony jak pokonanie Mrocznego Lorda.
1405:  KMM - Ale to tak od strony fabułotwórczej.
1407:  KMM - Natomiast przechodząc do sedna sprawy, czyli do światotwórstwa i języka,
1411:  KMM - No to skoro używa się tego języka angielskiego nieszczęsnego do pisania fabuł, no niestety tak samo jest w przypadku tworzenia światów.
1419:  KMM - I tu jest moja duża boleść, bo widzę sporą różnicę między tym, jak pracują polscy pisarze,
1426:  KMM - No z takiej strony słowotwórczej mistrzem absolutnie oprócz Andrzeja Sapkowskiego jest chociażby albo Marcin Przybyłek, albo Marcin Podlewski.
1436:  KMM - Marcin Podlewski stworzył trzy takie frakcje postludzkie funkcjonujące w wypalonej galaktyce w cyklu Głębia.
1443:  KMM - I do dzisiaj pamiętam, jak mówią tam stripsowie.
1446:  KMM - Stripsowie, czyli ludzie augmentowani, ulepszeni o cybernetyczne kończyny, którzy prawie zatracili człowieczeństwo i wypowiadają się takimi komunikatami i frazami, które możemy znać z oprogramowaniem.
1456:  KMM - typu potwierdzenie jest konieczne.
1459:  KMM - Taka drobna rzecz maluje od razu całą tę rasę czy frakcję.
1464:  KMM - To jest nieziemsko trudne i bardzo często blokuje światotwórców, zwłaszcza, że pamiętają oni staruszka Tolkiena i jego technikę światotwórczą, która
1474:  KMM - brzmiała niebagatelnie, to znaczy zostań filologiem klasycznym i filologiem zajmującym się językami starożytnymi, zatrudnij się na Oxfordzie, zrób profesurę i ewentualnie potem, jak już stworzysz sztuczny język i to nie tylko jeden, ale całą rodzinę sztucznych języków elfich, może ewentualnie zabierz się za opisywanie historii hobbitów, które chcą wrzucić pierścień do wulkanu.
1497:  KMM - Ciężka sprawa, żeby coś takiego powtórzyć i nikomu to się nie udało, jak dotąd.
1501:  KMM - Nikomu się nie udało powtórzyć sukcesu stworzenia ksenojęzyków, czyli języków sztucznych w rodzinie językowej i pokazania co więcej ich nie tylko w perspektywie synchronicznej, czyli tu i teraz, jak funkcjonuje język gramatycznie, ale i historycznej, czyli diachronicznej.
1516:  KMM - A Tolkienowi się to udało.
1518:  KMM - To jest nieprawdopodobne, absolutnie.
1519:  KMM - Co więcej, uważam, że głównie z tego względu na przykład kuenią się da mówić.
