Cyberpunk: Edgerunners DOWIOZŁO! | Dyskusja ze spoilerami
🔗 https://www.youtube.com/watch?v=Yz8qP7bMYiU
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

1:  BFP - Dobra.
885:  BFP - Nani Nani dla kontrastu pisze, że ja powiem szczerze, nie jestem graczem i dla mnie ta pozycja jest średnia za wysoki próg wejścia.
893:  BFP - Nie tak jak w Arkane.
894:  BFP - Zgadzam się z tym, że jest dość wysoki próg wejścia.
897:  BFP - I Juliusz napisał, że to jest serial w większości o cyberpsychozie i tłumaczenie pozostałych rzeczy byłoby robieniem z widza idioty.
906:  BFP - I teraz ja zgadzam się, że to jest serial o cyberpsychozie i
910:  BFP - trochę przewrotnie nazwałem swoją recenzję Trainspotting w Night City.
914:  BFP - Ja tu widzę echa trzech klasycznych filmów.
917:  BFP - Po pierwsze Wielki Gatsby, ponieważ główny bohater, David Martinez, jest chłopakiem z wielkimi ambicjami, który zaczyna z nizin społecznych i ponad wszystko ma obsesję stania się kimś więcej kosztem swojego człowieczeństwa i kosztem swojej niewinności.
933:  BFP - To jest Wielki Gatsby.
934:  BFP - I łączy to też love story.
936:  BFP - Ale to nie wszystko.
937:  BFP - Ja tam widzę echa Requiem dla snu i Trainspotting.
941:  BFP - Requiem dla snu, które było o uzależnieniu i o tym, jak jesteśmy niewolnikami swoich własnych impulsów, jak stajemy się tymi niewolnikami.
948:  BFP - Ale również Trainspotting, bo tam był taki klimat wesołej paczki kumpli, którzy po prostu zaczynają ćpać heroinę.
954:  BFP - I tutaj też mamy wesołą paczkę kumpli, którzy zaczynają sobie robić skoki jako cyberpunkowcy i edgerunnerzy.
962:  BFP - Jest David, jest Main, jest Lucy, jest Dorio, jest Becca.
967:  BFP - Kiwi.
968:  BFP - Tak, jest Falco, ale każdy z nich w jakimś stopniu, niektórzy szybciej, niektórzy wolniej, najszybciej Main, a później David, zbliżają się do cyberpsychozy, bo przeciążają swoje organizmy, ale nie mogą się powstrzymać.
981:  BFP - Są od tego uzależnieni.
983:  BFP - Mają motywację, ponieważ David chciał spełnić marzenie swojej matki.
987:  BFP - Powiedziała, chciałabym, żebyś był kiedyś na szczycie budynku Arasaka.
993:  BFP - to jest przepiękna scena jak on stoi jak jej mu się już miesza oczywiście ktoś Tomasz Jabłoński napisał na czatach ze śmiechem Filip pewnie płakał na zakończeniu bo jak już mu się miesza teraźniejszość z przeszłością ty lubisz używać tego pięknego słowa kiedyś go użyłeś w naszej recenzji handmaid powidoki jak ma powidoki swojej przeszłości i swojej relacji z matką po prostu nie można się jej popłakać przy tym
1020:  KMM - Ja niestety nie wytrzymałem nas tuż po tej scenie, to znaczy jak się pojawił Księżyc Wielki, który wypełniał całe kadry i oni spadali na tle tego księżyca, no to było przepiękne.
1031:  KMM - Nie dość, że kompozycja klamrowa, to jeszcze odesłanie do marzeń, którymi wszyscy żyją w Night City i też przypomniało mi to jedno z zakończeń gry, nie będę spoilował tym, którzy nie zagrali, ale ta nadzieja na ucieczkę z Night City jest
1046:  KMM - ważna, ale równocześnie jest sprzężona w przeintrygujący sposób z poczuciem, że w zasadzie tego miasta nigdy się nie da opuścić, bo ono jest zbyt nęci, jest zbyt interesujące, zbyt utopijne w tym sensie, że właśnie cały czas obiecuje doskonałość, której nigdy nie osiągamy.
1063:  KMM - Tak.
1064:  BFP - To jest jak Nowy Jork, wiesz, tak jak Sinatra śpiewał New York, if you can make it there, you can make it anywhere.
1071:  BFP - I każdy żyje tym marzeniem, że będzie kimś albo będzie nikim.
1076:  BFP - Jest ten podział na tych, którzy są nikim i to było marzenie matki Davida, żeby on stał się kimś i masz różne drogi, które prowadzą do tego, kim możesz się stać.
1087:  BFP - Ale to jest dokładnie to samo, co w przypadku głównego bohatera Cyberpunk 2077.
1093:  BFP - Jak się kończyło Cyberpunk?
1094:  BFP - Przepraszam za spoiler dla wszystkich.
1095:  BFP - Nie, nie rób tego, nie spoiluj.
1098:  KMM - Żebyś mógł nie zagrać, ale powiedzmy tak, że niezależnie od tego, jak się kończy, to nasz bohater ma finał taki, jak w większości narracji cyberpunkowych, co jest do przewidzenia.
1110:  KMM - Zauważcie, każda gra cyberpunkowa się kończy w taki sam sposób.
1112:  KMM - Jeżeli weźmiemy Deus Ex Human Revolution czy Mark Undivided, to samo tam będziemy mieli.
1116:  KMM - To jest zawsze gra czy narracja o marzeniach i upadku ikaryjskim.
1122:  KMM - Idziemy cały czas, cały czas zmierzamy, dlaczego ten trailer do Deus Ex Human Revolution był taki genialny i stąd też track Michaela McCona, nazywa się Icarus, bo o to chodzi w cyberpunku.
1133:  KMM - To jest taki największy, najbardziej rozpoznawalny i najbardziej symboliczny trop cyberpunkowy, czyli Lottie Cara.
1140:  BFP - Jeszcze Juliusz uzupełnił na czacie głosem V bohatera Cyberpunk 2077.
1144:  BFP - This is a city of dreams and I'm a big dreamer.
1149:  BFP - I też sobie wypisałem taki cytat wspaniały.
1154:  BFP - Właściwie to jest tak dobry cytat, że chciałem oryginalnie nazwać naszą rozmowę, zatytułować ją dokładnie tak.
1159:  BFP - I może na anglojęzycznym YouTubie, gdybyśmy byli jeszcze większym kanałem, to by przeszło.
1163:  BFP - Ale jesteśmy na polskojęzycznym, więc by raczej nie przeszło i nikt by nie kliknął.
1167:  BFP - To są słowa, które wypowiada Ripper Dog, który opiekuje się, dosłownie opiekuje się, użyłem tego intencjonalnie, Davidem.
1174:  BFP - On mówi, jak już wychodzi David i on już wie, że David nie przeżyje.
1178:  BFP - On już wie, że on spadnie z klifu.
1181:  BFP - Mówi, another turn for the next dreamer.
1184:  BFP - Kolejny zakręt dla kolejnego marzyciela.
1187:  KMM - W ogóle postać ReaperDocka jest absolutnie genialna i znowu jest to coś, czego bardzo zabrakło w grze, która na początku obiecywała nam taką intymną relację z ReaperDockiem i duży akcent na wszczepki.
1200:  KMM - One tutaj nazywają się inaczej, co jest ukłonem w stronę Williama Gibsona, co należy docenić, to znaczy bohaterowie cały czas mówią o tym Chrome.
1207:  KMM - tak jak w powieści Wypalić Chrom Gibsona.
1211:  KMM - Nie mogłem się przekonać wprawdzie tylko do mówienia o augmentacjach, o aktualizacjach, może jest to kwestia przyjętego tłumaczenia, ale dość mnie to drażniło.
1220:  KMM - Słuchałem po japońsku oczywiście w dubbingu, ale napisy były polskie i te aktualizacje cały czas mnie biły po oczach.
1226:  KMM - Niemniej Reaper Dog jest taką postacią, która jest niesłychanie znacząca w tym kontekście, bo on już widział ten wzlot i upadek wielu
1236:  KMM - takich herosów jak nasz główny bohater, David, który nawiasem mówiąc jest jedną z naprawdę lepszych postaci wiodących, jakie widziałem od dawna, także przez wzgląd na to, że jest fantastycznie na początku zarysowana jego relacja z matką.
1250:  KMM - To jest tak wzruszający, tak poruszający odcinek.
1252:  KMM - Ja nie pamiętam, żebym kiedykolwiek czuł takie emocje, jeżeli chodzi o budowanie relacji między postaciami, jak w pierwszym odcinku.
1259:  BFP - I to też jest niezwykłe, że jak pierwszy raz poznajesz Davida, to myślisz, co to za fiut?
1263:  BFP - Co za nieznośny dzieciak.
1265:  KMM - To jest antybohater w gruncie rzeczy przez dłużą część czasu.
1268:  BFP - W ciągu 20 minut jesteś w stanie sprawić, żebyśmy zaczęli z nim empatyzować, bo traci wszystko.
1273:  BFP - Traci matkę.
1275:  BFP - I to jest tak kuriozalny, przerażający sposób w tym turbokapitalizmie.
1279:  BFP - Tak.
1280:  BFP - Przychodzi, no nie przeżyła, bo po prostu nie miała wyższego pakietu, żebyśmy mogli ją jeszcze ratować.
1285:  KMM - Ale tak bywa, jedziesz autostradą Night City, jest strzelanina, więc po prostu to dzień jak co dzień.
1291:  KMM - To jest zwykły wtorek w Night City.
1293:  KMM - I potem nagle zaczynają opadać naszemu bohaterowi kolejne łuski z oczu.
1298:  KMM - Aha!
1299:  KMM - Czyli to nie jest tak, że trauma team po nią przyjechała, bo nie mamy pakietu medycznego.
1303:  KMM - Aha, czyli nie mogę mieć pogrzebu, bo nie mam pieniędzy.
1307:  KMM - Aha, czyli operacja się nie udała dlatego, że byliśmy w nędznym szpitalu.
1311:  KMM - Aha.
1312:  KMM - I wtedy zaczyna rozumieć, w jakim był w sterylnych warunkach.
1316:  KMM - Dla niego wcześniej problemem było to, że ma bullying w szkole, w akademii, ale nie zdawał sobie sprawy z tego, że jego matka zainwestowała absolutnie wszystko, żeby on się w Akademii Arasaki znalazł.
1326:  BFP - Traci mieszkanie, zostaje wpierdy od jakiegoś syna Gneseka lokalnego, ale rzucę szybko okiem na czaty, ponieważ pojawiło się kilka ciekawych przemyśleń i dodatkowo cytatów.
1340:  BFP - Jeden z fajniejszych cytatów, który się pojawił, to jest to, co zresztą mówił
1349:  BFP - Nie mogę tego teraz znaleźć.
1350:  BFP - To zacytuję to, co jeszcze powiedział Łukasz, że to jest heroiczny nihilizm, że cyberpunk jest mi bliski, bo odnajduje tam pewien system filozoficzny i to jest heroiczny nihilizm.
1361:  BFP - I to jest absolutnie to, co już mówiłem, cytując V, to jest taka filozofia guns blazing, że jeżeli już miałbyś odejść, to przynajmniej...
1372:  BFP - z wybuchami w tle i tak, żeby cię zapamiętali.
1375:  KMM - To jest tak z tym memem, że mały chłopczyk przeciera taką czerwoną smugę ze ściany i tatuś go klepie po głowie i mówiła, tak, babcia zawsze chciała odejść z hukiem.
1386:  KMM - I jeszcze widzę dad grammar, cytuję z kolei Jackiego.
1389:  BFP - O właśnie o to mi chodziło.
1392:  BFP - Cieszę się, że to znalazłeś.
1394:  KMM - Ale muszę to powiedzieć.
1395:  KMM - Jacki
1396:  KMM - Właśnie, gdyby ta relacja V z Jackiem w Cyberpunku, to jest na samym początku, więc nie martwcie się, to nie jest spoiler, była zbudowana tak, jak w Edgerunners jest zbudowana relacja między Mainem a Davidem... To byś grał dalej.
1408:  KMM - To bym grał dalej, tak.
1410:  KMM - Dokładnie tak.
1410:  KMM - To jest nieprawdopodobna taka ojcowska relacja.
1414:  KMM - Mane jest dla tych z was, którzy jeszcze nie widzieli jakimś cudem tym największym osiłkiem, powiedzmy, z tej paczki Edżu Annerów, do której trafia w którymś momencie David.
1423:  KMM - I on jest dla niego taką figurą ojca, bardzo typową, ale równocześnie przyjacielem, najlepszym kumplem.
1430:  KMM - Z tym się rodzi taka szorstka przyjaźni.
1432:  KMM - Bardzo szybko przechodzą od tego, że zazdroszczą sobie wzajemnie w szczępu,
1436:  KMM - i aktualizacji do tego, że rozmawiają sobie o tym, jaką kobietę najlepiej wyrywać.
1442:  BFP - To jest jeden do jednego jak my, jak sobie zazdrościmy sprzętu do vlogowania.
1449:  BFP - W ogóle Krzysztof teraz zrobił nowe zakupy i będzie się tym popisywał.
1452:  BFP - Możesz się popisać nowym sprzętem, który kupiłeś?
1455:  KMM - Nie mogę teraz tego zrobić, ponieważ pedał streamingowy działa tylko wtedy, kiedy mam udostępnienie wirtualnej kamery.
1461:  BFP - Krzysztof musi mieć warunki, także zostawmy to na razie z boku.
1465:  BFP - Podoba mi się jeszcze bardzo to, o czym wspomniał Parmediano Redziano.
1470:  BFP - Mianowicie, że podczas oglądania miałem flashbacki z Akiry.
1474:  BFP - Akira, historia chłopaka, który dostaje potężną moc, której nie jest w stanie udźwignąć i nie wie do końca jak to wykorzystać.
1483:  BFP - I to jest dokładnie to, ale nie tylko Akira.
1486:  BFP - Także Ghost in the Shell.
1487:  KMM - Właśnie miałem to powiedzieć, że tam są kadry, które są wzięte jeden do jeden.
1491:  KMM - W każdym anime cyberpunkowym wypada...
1495:  KMM - przynajmniej nawiązać wizualnie do Ghosta, więc tutaj też się to udało parę razy.
1501:  KMM - Lucy, myślę, jest takim najbardziej wyrazistym nawiązaniem do postaci Major, a Lucy jest swoją drogą jedną też z lepiej napisanych w ogóle postaci, jakie widziałem.
1512:  KMM - Pan Am z Cyberpunka przy niej, kurczy się i więdnie.
1515:  KMM - Lucy jest absolutnie rewelacyjna.
1517:  KMM - Zresztą sam fakt, że ja pamiętam, a pamiętam postaci typu właśnie Maine, Lucy, typu Faraday, typu David, to jest cud.
