Recenzja 2. sezonu "Love, Death + Robots" – triumf czy niewypał? Analiza odcinek po odcinku
🔗 https://www.youtube.com/watch?v=mQlqJRe0Kms
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

0:  BFP - Love, Death and Robots, czyli Miłość, Śmierć i Roboty, drugi sezon.
118:  BFP - Czyli duży kciuk w górę.
120:  BFP - U mnie jest spory kciuk w dół.
123:  BFP - Bo Krzysztof, dla mnie... Wiesz, pamiętasz moją recenzję poprzedniego sezonu i zastrzeżenia, które miałem.
132:  BFP - Dla mnie drugi sezon na naszych oczach odziera markę Love, Death & Robot z Magii.
139:  BFP - Tylko problem polega na tym, że ja zaczynam wątpić, czy ta magia w ogóle była w tej serii.
143:  BFP - Naprawdę.
145:  BFP - Dlatego, że po pierwsze ta seria w żaden sposób nie dojrzewa, nie woluuje, nie zaskakuje mnie niczym nowym.
153:  BFP - Wiele osób, czy poczytałem różne opinie,
156:  BFP - ale generalnie negatywne o drugim sezonie.
160:  BFP - I wiele osób twierdzi, że ten sezon nie jest tak dobry jak poprzedni.
163:  BFP - A ja twierdzę, ten sezon nie jest lepszy niż poprzedni i to wystarczy.
168:  BFP - Ja nawet nie wiem, czy ten pierwszy sezon był taki dobry.
171:  BFP - I żebym tylko wyciągnął swoje działa, bo ja chciałbym zrobić tak, że sobie teraz wyciągniemy działa, strzelimy do siebie parę razy, ale uciekniemy na swoje pozycje, tam się wykrwawimy trochę, trochę się podreperujemy, przejdziemy przez recenzję każdego odcinka i potem spotkamy się na koniec i wiadomo, że wygram.
188:  BFP - Rozumiem.
189:  BFP - Taka jest strategia.
190:  BFP - Więc chciałem tylko powiedzieć, że wydaje mi się, że awansem nadaliśmy Love, Death & Robot status dzieła kultowego, chociaż w ogóle na to nie zasłużyło.
204:  BFP - bardzo szybko, bo był taki szoker.
206:  BFP - Ta seria się pojawiła, była NFSW, NSFW, dobrze mówię, czyli Not Suitable For Work, czyli takie edgy, krwawe, pełne nagości, pełne seksu, którego raczej nie powinno się odtwarzać w biurze, jak pracujesz stacjonarnie, a nie zdalnie i puszczać w pracy, ponieważ fajna była ta formuła krótkich, zamkniętych historii, antologii w stylu Black Mirror, tylko takiej wersji mini i light,
234:  BFP - I to, że za każdym razem widzimy jakieś takie remiksy klisz i znanych cultural tropes ze światów i historii science fiction.
244:  BFP - I to było fajne.
245:  BFP - W pierwszej styczności to było naprawdę fajne.
250:  BFP - Ja krytykowałem to, że brakowało jakiegoś spoiwę, jakiegoś klucza.
253:  BFP - Były odcinki, które miały i Love, i Death, i Robots, i były odcinki, które nie miały ani tego, ani tego, ani tego.
259:  BFP - No, jeszcze Death czasami ratowało te odcinki, co dla mnie było takie dziwne.
263:  BFP - Jakby Black Mirror od początku miało fajne założenia jako antologię.
265:  BFP - Pokażmy, jak technologia może zmienić nasze życie w krzywym zwierciadle.
274:  BFP - Zróbmy coś, co pobudzi nas do myślenia o tym, czy naprawdę zmierzamy w dobrym kierunku, ale w taki stylowy sposób, często tongue in cheek, nie przesadzając powagą.
286:  BFP - I tym razem w drugim sezonie po pierwsze seria straciła pazur,
291:  BFP - bo nie ma już tyle przemocy, nie ma tyle krwi, nie ma tyle nagości.
295:  BFP - Ja nie mówię, że byłem jej fanem, ale skoro była, no to nie pogardzę, tak?
298:  BFP - A tym razem jakby stępiony został ten pazur i te kły.
303:  BFP - tym bardziej odczuwalny jest ten brak jakiegoś klucza, jakiegoś spoiwa.
307:  BFP - Są odcinki, które są w ogóle w cały świat.
310:  BFP - Są odcinki, które przypominają po prostu jakiś horror bez głębszej fabuły, w którym nie ma ani śmierci, ani miłości, ani robotów.
316:  BFP - Tak jakby nie było jakiegokolwiek kreatywnego nadzoru nad tą serią, tylko tworzy się taki show studiów animacji, które chcą zaimponować dużym wytwórniom filmowym.
326:  BFP - A nam się to wciska jako produkt, który można opakować jako serię i serial, który jest cool, bo ma fajną czołówkę i fajny tytuł.
334:  BFP - i dlatego mówię, że retroaktywnie, czy retrospektywnie zaczynam czuć, że pierwszy sezon też nie miał w sobie magii i tylko my stworzyliśmy tę magię wokół tego, jak jakiś obiekt kultu, że oglądałem te 8 odcinków
352:  BFP - I przez to, że statystycznie miałem mniejszą szansę trafić na więcej dobrych odcinków niż w poprzednim sezonie, to zmagałem się z taką myślą, ta seria nigdy nie miała nic do powiedzenia.
365:  BFP - Nigdy nie miała żadnego przesłania, nigdy nie było żadnego subtextu, nigdy nie było żadnego ciekawego przekazu.
371:  BFP - Nigdy nie zostawiałam jej z czymś do myślenia.
374:  BFP - I o ile pierwszy zon jeszcze jakoś grał w otwarte karty, ale miał też taki odcinek jak Zima Blue, który był fantastyczny, nawet Three Robots dawało gdzieś tam do namysłu, okej, to co my po sobie zostawimy jako cywilizacja?
387:  BFP - Tak tutaj naprawdę nie miałem poczucia, że ktokolwiek chciałby, żebym w ogóle wysilił swoje szare komórki.
394:  BFP - Wszystko wpadało mi jednym uchem i wypadało drugim, nie licząc jednego odcinka, o którym będziemy mówili, który uważam za arcydzieło.
401:  BFP - Ale nie ma nic wspólnego z Love, Death & Robots.
405:  BFP - Więc powiedziałbym, że ta seria nie dojrzewa i niczym nowym nie zaskakuje, zaczyna się rozłazić.
413:  BFP - I nie tylko ja mam wrażenie, że jest słaby ten sezon, mam wrażenie, że tak odbił światło, że inaczej patrzę teraz na pierwszy i uważam, że pierwszy też nie był niczym niezwykłym.
424:  KMM - Masz syndrom ósmego sezonu gry o tron, który zepsuł dla Ciebie siódmy.
429:  BFP - No, sezon ósmy wszystko mi zepsuł, niestety, ale nie, to nie jest taki poziom, to nie jest poziom, gdzie wiesz, to nie jest raging, to nie jest tak, że furii dostaję, ale rzeczywiście będę miał zastrzeżenie do poszczególnych odcinków.
444:  BFP - To co?
446:  KMM - Szybko odbiję jedną rzecz.
447:  KMM - Wiesz, jak ja odbierałem ten serial od samego początku, czy tę antologię?
453:  KMM - Serial.
454:  KMM - To, że to jest nazwana antologia, to jest czysty snobizm.
457:  KMM - Serial.
459:  KMM - Odbierałem ten serial jako wprowadzenie do animacji dla osób, które animacji nie oglądają i myślę, że w tym jest ten status kultowości i że troszeczkę przestaje się być targetem w momencie, w którym
473:  KMM - człowiek rzeczywiście oczekuje czegoś bardzo dużo i w momencie, w którym szukasz czegoś, czym cię mogą zaskoczyć.
480:  KMM - Natomiast gdybym sobie wyobraził kogoś, kto uważa, że anime to chińskie bajki i kto z definicji nie ogląda animacji,
488:  KMM - i posadził go przed tym pierwszym i drugim serialem, to myślę, że on popatrzy na to synergicznie i że będzie właśnie w tym widział różne style artystyczne, różne settingi, a może w dalszej kolejności opowieści.
500:  KMM - Więc tak, żeby dopowiedzieć też ten mój sposób patrzenia, uśmiechnąłem się, jak powiedziałeś o Not Suitable for Work, bo trzy z tych odcinków z pierwszego sezonu pokazywałem na wykładach.
512:  KMM - Możesz siedzieć, jakbyś pokazał więcej.
515:  KMM - Tak, zapewne gdy minister Czarnek był na nich, to już bym dawno siedział.
518:  KMM - Natomiast fakt faktem jest, że pokazywałem je dlatego właśnie, żeby zrobić wprowadzenie do tego, co możemy dzisiaj zrobić w animacji i jak możemy opowiadać tę historię.
528:  BFP - Wiesz co, bardzo mi się podoba ta twoja argumentacja, bo to jest podbicie tego, co powiedziałeś, że ty podchodzisz niezwykle hedonistycznie do tej serii.
536:  BFP - Nacieszę swoje oko i będzie fajnie.
538:  BFP - I faktycznie to, a ja też staram się tak podchodzić, a mimo to widzę pewne luki, ale widzę olbrzymią niedoskonałość Twojej argumentacji.
548:  BFP - Bo jeżeli tak rzeczywiście jest, to czemu trafiają się tak wybitne odcinki jak Zima Blue i Drowned Giant, o którym będziemy mówili?
554:  BFP - Bo jeżeli tak jest, Krzysztof, to czy naprawdę nie można połączyć jednego i drugiego?
559:  BFP - to czemu się zdarza, że na serię trafiają dwa czy jeden odcinek, który zapamięta, że... I teraz jak ja ci powiem pierwszy sezon, to ty pomyślisz Zima Blue.
568:  BFP - Albo Beyond the Aquila Rift, czy coś takiego, który... Beyond the Aquila Rift to jest mój drugi... No dobra, ale chodzi o to, że wybijają się pewne nad inne.
575:  BFP - Czemu?
576:  BFP - Bo są nierówne poziomowo.
579:  BFP - Więc tylko dlatego, że podchodzisz do tego hedonistycznie, nie znaczy, że nie powinieneś wymagać od tej serii więcej.
584:  KMM - Dobra, możemy skończyć.
585:  KMM - Ja już wygrałem.
587:  KMM - Ale wiesz, to jest ten moment, w którym widzisz, wzbijamy się na poziom krytyczny.
591:  KMM - Ja to lubię, to znaczy uważam, że jeżeli dzieło popkultury
594:  KMM - które może być odbierane hedonistycznie, a może być odbierane bardzo poważnie, zmusza do tego, żeby dyskutować na ten temat, to jest to dobra sztuka.
602:  KMM - Dobra sztuka to jest taka, o której mówisz.
603:  KMM - Okej, okej.
605:  KMM - No dobra, to zacznijmy.
606:  BFP - A może być campem, nie?
607:  BFP - Może być kiczem.
609:  BFP - Zobaczymy, co będzie.
611:  BFP - Bo ten pierwszy odcinek, Automated Customer Service, to ciekawa jest Twoja reakcja, bo on był dla mnie fantastyczny.
619:  KMM - Wiesz co ja pomyślałem, jak zobaczyłem ten odcinek?
621:  KMM - Okej, pierwszy odcinek jest boomer friendly, to znaczy wszyscy wiemy, że Black Mirror się spodobał wszystkim, bo technofobia, ojej, technologia nas zje i roboty będą nami władać i w ogóle transformersy i terminatory.
636:  KMM - I ja to potraktowałem jako takie otwarcie satyryczne.
639:  KMM - Żeby nie było, bardzo rozpoznawalne, ponieważ to jest na podstawie opowiadania Scalciego, czyli tego samego, który dowiózł nam absolutnie zajebisty jogurt z pierwszej części.
648:  KMM - Cudowne.
649:  KMM - I historie alternatywne, które dla mnie są po prostu, mogłyby się znaleźć w podręczniku do nauczania teorii literatury z zakresu historii kontrfaktycznych, jak to robić.
658:  KMM - To jest rewelacyjna wizualizacja, przy tym dość zabawna, chociaż cringy miejscami.
663:  KMM - Natomiast otwarcie, wydaje mi się, całego sezonu tym, to był taki ryzykowny gest, dlatego właśnie stąd ta moja reakcja.
671:  BFP - A wiesz, dlaczego mi się bardzo podoba?
672:  BFP - Bo to jest dla mnie esencja Love, Death & Robots.
674:  BFP - Jest love,
677:  BFP - Między zwierzątkiem i jest Death, bo ginie rybka.
681:  BFP - Faktycznie.
682:  BFP - Bardzo ci przepraszam.
684:  BFP - I więc jest takie wytonowane i jest robot, jest Wall-E ze złego uniwersum, Wall-E Pixara ze złego uniwersum, który zmienia się w mordercę, co jest banalnym konceptem, ale po prostu działa.
696:  BFP - Jest masa świetnych gagów, naprawdę zabawnych sytuacji.
699:  BFP - Ja byłem zachwycony w ogóle tą postacią babci, tą postacią pieska, tą postacią robota i postacią dziadka, który jeszcze dołącza.
706:  BFP - Z giwerą.
707:  BFP - Tak, w najbardziej dramatycznym momencie, kiedy już puszcza oko, już wiadomo, że uratuje tę babcię, dostaje prosto w twarz kilka tysięcy woltów i zostaje zneutralizowany natychmiastowo.
718:  BFP - To jest Rumba de Rambo.
719:  BFP - Tak, dla mnie to było...
722:  BFP - To jest naprawdę, jakby dla mnie wszystkie, jak już mówimy o tym podejściu hedonistycznym, to dla mnie wszystkie odcinki Love, Death & Robots mogłyby być w takim klimacie.
731:  BFP - Naprawdę.
732:  BFP - Wszystkie mogłyby być w takim klimacie, ale powiedziałbym, jest tu fajny subtext, który zresztą jest bardzo w stylu Wally'ego Pixara, którym to jest inspirowane.
740:  BFP - Ja jestem fanatykiem Pixara.
742:  BFP - Początek sam, prawda?
743:  BFP - On był jak rewizyta na planie Wally'ego.
746:  BFP - Też miałem to skojarzenie.
747:  BFP - Zaskoczę cię.
748:  BFP - Tak, estetycznie tak, ale chodzi mi bardziej o przekaz.
751:  BFP - Otóż w Wally'im był świetny świat przedstawiony, w którym ludzkość przestała przypominać ludzi w takim sensie, że tak się rozleniwili, poruszają się na specjalnych wózkach, wszystko jest dla nich i za nich robione.
764:  BFP - Zapomnieli, co to znaczy być człowiekiem, czuć, odczuwać emocje, cieszyć się życiem.
769:  BFP - I tutaj jest bardzo podobny przekaz.
771:  BFP - Bohaterka na koniec ma do wyboru zresetować wszystko albo być, że tak powiem, on the run.
777:  BFP - Życie, które wiodło było tak komfortowe, tak wygodne i tak nudne, że ten dreszczyk emocji jest rzadkim dobrem na tym rynku usług, który jest dostępny dla ludzi i stwierdza, będę on the run, niech mnie ścigają, przynajmniej moje życie będzie ciekawe.
790:  BFP - No i stary, to jest ukryty, bardzo subtelny, wcale nie zmuszający do myślenia, ale taki ciekawy, puszczający oko do widza przekaz i mi się bardzo podoba.
799:  BFP - Dla mnie to jest odcinek 7 na 10.
801:  BFP - Tak mogło wyglądać Love, Death & Robots i właśnie podoba mi się to, że jest to spoiwo.
804:  BFP - Jest Love, jest Death i jest Robots zreinterpretowane w jakiś sposób przez jakiś studio.
810:  KMM - Ja mam problem zawsze z fantastyką, która jest humorystyczna, w tym sensie, że dla mnie robił to dobrze Terry Pratchett, Neil Gaiman, Douglas Adams, potem długo, długo nic, ale znowu, bierze się z tego, że ja lubię jednak odcinki humorystyczne jako pewien comic relief, który mi się pojawia gdzieś w połowie, myślę, że perfekcyjny... Tak jak jogurt.
832:  BFP - Jogurt, dokładnie.
833:  KMM - To było perfekcyjne, znaczy otwarcie miałem mocne, Sony ma przewagę, nie pamiętam, Sony's Edge,
838:  KMM - I było absolutnie nieprawdopodobne, bo właśnie pojawiło się tam to wszystko, co powiedziałeś, że było wyróżnikiem tej serii, to znaczy, że nie dostajemy animacji, która jest dla dzieci chińskiej bajeczki, tylko dostajemy porządną 18+, animację, gdzie jest gore, gdzie jest krew, gdzie jest gwałt, gdzie są poważne tematy, gdzie jest po prostu... No to jest właśnie taki heavy metal, to był właśnie Nuts for World, dla mnie to był manifest tej serii.
863:  BFP - Ten odcinek to był manifest tej serii, powiedział, tego się możesz spodziewać, ale już kolejny odcinek to były trzy roboty, które kompletnie robiły flip, jeżeli chodzi o... Dlatego mnie zaskoczył właśnie początek, początek tej antologii, ale nie uważam, że... Ale widzisz, a ja uważam, że to była dobra decyzja, bo gdyby zrobili dokładnie to, co zrobili z poprzednim sezonem, to to już by było naprawdę... I tak uważam, że ten sezon jest repetytywny, biorąc pod uwagę pierwszy, ale byłby jeszcze bardziej, gdyby jeszcze zaczęli od czegoś takiego, jak Sony serii.
890:  KMM - Tak, to nasz racja.
892:  BFP - U mnie 7 na 10.
892:  BFP - Twoja ocena, jeżeli miałbyś liczbowo?
895:  KMM - Nie lubię strasznie liczbowo.
897:  KMM - No to nie, to nie będę cię męczył.
898:  KMM - Ale spróbujemy, spróbujemy.
901:  KMM - Myślę, że bliżej szóstki.
903:  BFP - 30 minut później.
904:  KMM - 30 minut.
905:  KMM - Myślę, że bliżej szóstki.
906:  KMM - Okej.
908:  BFP - Ice.
909:  KMM - O, tutaj mam duże O. No to ty zacznij.
911:  BFP - Wiesz dlaczego?
912:  BFP - Zacznij.
912:  KMM - Wiesz dlaczego mam tutaj duże O?
914:  KMM - Bo to zrobili twórcy Zimy Blue.
917:  KMM - I ja to zobaczyłem po pierwszych trzech sekundach.
921:  KMM - To jest też powód, dla którego na tym odcinku się w ogóle nie skupiałem w recenzji.
925:  KMM - Kreska jest świetna.
927:  KMM - Oni mają rozpoznawalny styl artystyczny, chcę tego więcej.
931:  KMM - Natomiast to jest ten jeden przypadek, w którym ja nie znajduję usprawiedliwienia dla pustoty fabularnej,
938:  KMM - ponieważ nie dostaje żadnego świata, który był, coś znaczył.
942:  KMM - To znaczy, literalnie dostaje takie miasto cyberpunkowe jak wszędzie, z tektury, oczywiście aluzyjka, a później dostaje
953:  KMM - interesujący koncept z wielorybami.
956:  KMM - I ten interesujący koncept z wielorybami, ponad to, że widzę, że to jest ładny spektakl, nie pasuje mi do tego, bo ja pamiętam moment Zimy Blue, w którym dostaliśmy spektakl na sam koniec i ten spektakl był znaczący, on był doniosły, miał, to był performance w zasadzie.
972:  KMM - Myślę o tej ostatniej scenie na basenie.
975:  KMM - A tutaj ta ostatnia scena, ona nic nie znaczyła ponad to, że ten wieloryb jest ładny i jeszcze do tego wszystkiego ja nie umiałem znaleźć motywacji dla funkcjonowania tych dziwnych zawodów, które się odbywają w tym świecie.
988:  KMM - Dlaczego?
988:  KMM - Po co?
989:  BFP - Ok, rozumiem o co.
991:  KMM - Im bardziej schodziłem, bo ja zawsze tak zaczynam oceniać, że patrzę na estetykę i na świat, a potem ewentualnie schodzę na niższe poziomy, na poziom postaci, ich motywacji, poziom fabularny jest u mnie najniżej.
1000:  KMM - I na poziomie postaci również nic nie dostałem, poza relacją dwójki braci, która była dziwna.
1007:  KMM - I krótko mówiąc, nie rozumiem o co chodzi w tym odcinku.
1010:  KMM - To mówię całkowicie szczerze, interpretacyjnie się poddaję.
1012:  BFP - I jestem bliski tego, co powiedziałeś, to znaczy dla mnie nic z niczego nie wynika w tym odcinku.
1018:  BFP - Ani fabularnie, ani światotwórcze.
1020:  BFP - I podam Ci przykład, ten światotwórczy, który jest Ci najbliższy.
1024:  BFP - Mamy moded humans.
1027:  BFP - Mamy ludzi, którzy są zmodowani i jeden z braci nie jest zmodowany, dlatego czuje się całe życie gorszy.
1033:  BFP - I chce coś udowodnić przed sobą i przed swoim bratem.
1036:  BFP - To jest punkt wyjścia fabularny.
1039:  BFP - Mam tylko taki problem.
1040:  BFP - Mamy zmodowanych ludzi na jakiejś kolonii.
1042:  BFP - Dlaczego to zmodowanie, dlaczego ta ich półboskość objawia się w tym, że są po prostu świetnymi akrobatami?
1049:  BFP - Żyjemy w świecie, czy oni żyją w świecie, w którym technologia jest bardzo zaawansowana, masa rzeczy zautomatyzowanych i zamiast na przykład pokazać, że dysponują potężną mocą obliczeniową, albo nie wiem, komunikują się z maszynami z wykorzystaniem interfejsów, które znajdują się w ich głowach, albo są w stanie empatyzować, czytać w myślach, są telepatami, nie.
1071:  BFP - Oni po prostu są świetnymi koszykarzami i biegaczami.
1075:  BFP - Nie rozumiem, dlaczego w taki sposób objawia się to zmodowanie.
1079:  BFP - Czemu akurat ze wszystkich rzeczy, które mogą pozwolić, że będziesz półboską istotą, wybierasz, i wszyscy wybierają, niezwykłą zręczność?
1089:  BFP - Jeszcze raz, oni nie żyją w buszu, czy nie żyją na sawanie, gdzie muszą polować na mamuty.
1096:  BFP - Oni nawet nie polują na te wieloryby.
1098:  BFP - Oni się z nimi bawią.
1099:  BFP - To jest ich rozrywka.
1101:  KMM - Więc nie rozumiem tych modów.
1102:  KMM - Co więcej, ten odcinek, dlatego oceniam go źle pod kątem światotwórczym.
1106:  KMM - To jest najniżej w ogóle oceniany przeze mnie odcinek tej części.
1109:  BFP - O, panie kochany, to zobaczysz, co ja jeszcze zrobię.
1112:  KMM - Wiesz dlaczego?
1113:  KMM - Dlatego, że ten moment, w którym wyskakuje rzeczony wieloryb, czy czymkolwiek on jest, bo to może być jakiś ksenowieloryb spod lodu, on został zapowiedziany dwukrotnie i to sprawdzałem.
1124:  KMM - Mianowicie dwa razy przypadkowi przechodnie mówią, że o,
1128:  KMM - Na dalekiej ziemi coś się rozgrywa, że o, to tu nie jest ziemia, to my jesteśmy w kolonii.
1134:  KMM - Nikt nie musiał tego powiedzieć.
1135:  KMM - Ja mogłem się dowiedzieć, że tutaj się dzieje coś dziwnego, precyzyjnie w tym momencie.
1141:  KMM - Niepotrzebna była ta prospekcja kompletnie, mówiąc szumnym językiem narracyjnym, i ujawniająca mi coś, co powinno być właśnie takim eye-openerem, że nagle się dowiaduję,
1152:  KMM - I wtedy to miałoby jakiś sens dla mnie.
1155:  KMM - I też propsuje absolutnie to, co mówisz odnośnie do kwestii augmentacji.
1160:  KMM - Przydają się one na wiele innych sposobów.
1162:  KMM - Brakowało mi też tam jakiegoś dramatyzmu.
1166:  BFP - Właśnie to chciałem powiedzieć, bo ty się skupiłeś na tym worldbuildingu.
1170:  BFP - Ja chciałem jeszcze powiedzieć o tej warstwie fabularnej, która dla mnie zawsze będzie stała wyżej niż dla ciebie światotwórstwo, dlatego tak dobrze nam się rozmawia.
1178:  BFP - Przekaz tego odcinka jest mniej więcej następujący.
1182:  BFP - Brat próbował zaimponować, tak jak go rozumiem, ale wiedział, że i tak będzie gorszy.
1189:  BFP - Był bliski śmierci, ale jego drugi brat się podłożył.
1193:  BFP - żeby mógł go uratować, to jest jedna interpretacja, a druga faktycznie skręcił sobie nogę, ale i tak dzięki swoim modom był chwilę później już zdolny w pełni do swoich akrobacji, a mimo to wyciągnął znowu rękę do swojego brata, czując z nim więź, bo dał radę w trudnym momencie.
1211:  BFP - I to jest przekaz, który mi się bardzo nie podoba.
1212:  BFP - Wiesz dlaczego?
1213:  BFP - Pokażę Ci mały fix, który mógłby zmienić ten odcinek tak, żebyś zapamiętał zakończenie.
1219:  BFP - Pomyśl o tym, że akcent nie jest położony na relacji między braćmi,
1223:  BFP - Pomyśl o tym, że on już się nie odwraca do swojego brata, tylko biegnie do tych ludzi, a jego brat zostaje z takim poczuciem, ja zawsze będę gorszy.
1231:  BFP - Tu nie ma upside, tu nie ma brighter side.
1233:  BFP - To nie jest tak, że no ja nie potrafię skakać wysoko, ani biegać szybko, ale za to jestem bardzo kumaty.
1239:  BFP - Nie.
1240:  BFP - Jesteś gorszy.
1242:  BFP - Deal with it.
1243:  BFP - Zawsze będziesz gorszy niż nadludzie, wśród których żyjesz.
1247:  BFP - I cud sprawił, że przeżyłeś, a twój brat cię nie potrzebuje.
1251:  BFP - Jesteś po prostu gorszy.
1253:  BFP - To jest mocna wymowa.
1255:  BFP - Mama głębiej wtedy.
1256:  BFP - Ale tak się niestety nie stało i to zostało bardzo szybko rozładowane, żałuję.
1260:  BFP - Pop Squad, o którym naprawdę dużo mówiliśmy w śmiesznych słowach na Messengerze, jak ty oglądałeś, potem ja oglądałem, no była radocha.
1268:  BFP - Tym razem ja zacznę, bo ty na pewno sporo będziesz miał do powiedzenia, bo tu światotwórcze jest rzeczywiście o czym mówić.
1276:  BFP - Przepraszam, jeszcze dam ocenę tym OA i powiedziałbym 5 na 10.
1279:  BFP - To był naprawdę słaby odcinek.
1281:  BFP - Niestety, chociaż wizualnie najlepiej się brani.
1284:  BFP - Wizualnie jest zachwycający, bo to rzeczywiście jest kawał doskonałej animacji.
1289:  KMM - Ja jestem koło czwórki z tego względu, że Zima Blue i nie wybaczam pewnych rzeczy.
1295:  KMM - Estetycznie kreska super i tak dalej, ale mógłbym to dostać w formie concept artu.
1300:  KMM - Uważam, że ten odcinek się redukuje do concept artu.
1303:  BFP - Pop Squad.
1304:  BFP - Zacznę od tego, co nie do końca mi się podobało.
1306:  BFP - To jest to, że to jest inspirowane Blade Runnerem, ale tak w opór.
1311:  BFP - To znaczy, to jest aż męczące momentami, jak bardzo to jest Blade Runnerowe.
1315:  BFP - To, że facet jest łowcą dzieci,
1318:  BFP - I ludzi, którzy reprodukują się jakoś, breeders było to słowo.
1324:  BFP - Jakby to ładnie przetłumaczyć, żeby nie mówić ruchacze.
1327:  BFP - Rozmnażacze.
1328:  BFP - Już spaliłeś.
1329:  BFP - Rozmnażacze, coś takiego.
1335:  BFP - Jesteśmy w świecie, w którym... Rozpłodnicy.
1337:  BFP - Rozpłodnicy.
1338:  BFP - Ooo, ale zobacz, że wszystko na R. Wszystkie trzy wersje na R. Ale przyszliśmy od ruchacza do rozpłodników, więc pełne spektrum.
1348:  BFP - Dlatego mamy tytuły naukowe, żeby takie rzeczy robić.
1353:  BFP - Wiem, że na pewno będzie ktoś, kto powie, o Jezu, ten Malinowski znowu bluźni, znowu jest nieprzyjemny, znowu się wynosi nad innych gości, a ma tylko jednego gościa, się wynosi nad niego.
1363:  BFP - Przepraszam bardzo.
1364:  BFP - Dokonaliśmy ewolucji na wizji.
1367:  BFP - Ruchacz?
1368:  BFP - Nie.
1369:  BFP - Rozmnażacz bądź rozpładniacz.
1371:  BFP - Także bardzo prosiłbym o tym pamiętać, kiedy będziecie nas oceniali surowo w komentarzach.
1375:  BFP - To jest dyskusja naukowa.
1378:  BFP - Blade Runner w opór tylko poluje na rozpładniaczy, przyjęło się, i na dzieciaki.
1387:  BFP - I pierwsza rzecz, która naprawdę mi nie leży, to jest to, że Blade Runnerzy jak polowali na syntetyki, to mieli je po prostu zatrzymać, a w ostateczności użyć przemocy.
1396:  BFP - A tutaj masz takie, no nawet nie pozostawia niczego do domysłu.
1401:  BFP - Łapie dzieciaka, czy łapie dzieciaki, co robi?
1403:  BFP - Ma je zabić ze swojej broni służbowej.
1406:  BFP - No jest to bardzo tanie.
1407:  BFP - Jak już budujesz ciekawy świat, to nie wiem, zrób na przykład jakieś getta.
1414:  BFP - Że on, nie wiem, zbiera jakieś numery seryjne, przekazuje specjalnym służbom i te dzieciaki trafiają do specjalnego getta.
1421:  BFP - Albo, nie wiem, przerabia się je na galaretę, cokolwiek.
1425:  BFP - No ale takie prymitywne, wiesz, no sięgam po broni, zabijam dzieciaki, nie było dla mnie przekonujące.
1431:  BFP - Natomiast świat jest zachwycający, animacja jest zachwycająca, jest świetny protagonista.
1440:  BFP - Naprawdę bardzo mi się podoba jego ciężar emocjonalny i to jaką przemianę przechodzi.
1445:  BFP - Bardzo podoba mi się kilka pozostałych postaci.
1449:  BFP - Jego partnerka, bardzo podoba mi się postać, do której trafia pod koniec, czyli matka z dzieckiem.
