WIEDŹMIN sezon 2. Recenzja bez litości i analiza bez filtra
🔗 https://www.youtube.com/watch?v=KoZgOqNtxfY
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
AK (Artur Kurasiński)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - No więc, Wiesiek Wiesiek, co z Ciebie wyrośnie?
372:  GW - Tutaj puryści będą na pewno gdzieś się tam pałować w komentarzach.
376:  GW - Także, no i humor miejscami był w porządku.
379:  GW - No, to tyle.
381:  GW - Filipie, teraz ty.
383:  GW - Ech...
386:  KMM - Powiem w ten sposób.
387:  KMM - Zacznijmy może od kwestii związanej z adaptacją, bo to jest najczęściej poruszana kwestia.
392:  KMM - Wiedźmin nie jest adaptacją prozy Andrzeja Sapkowskiego i może niech to wybrzmi dobrze, bo Wiedźmin w najlepszym przypadku jest fabułą osadzoną w świecie, wykreowanym przez Andrzeja Sapkowskiego.
405:  KMM - Natomiast narracja o tym, że to jest ekranizacja książek Andrzeja Sapkowskiego jest wyłącznym pomysłem Loren Hissrich od samego początku.
414:  KMM - Potem okazało się, że Geralt, który nie wygląda jak Geralt, Ciri, która nie wygląda jak Ciri, Yen, która nie wygląda jak Yen i Triss, która nie wygląda jak Triss, to znaczy nie wyglądają tak jak zostały sportretowane przez CD Projekt Red, dzięki czemu w ogóle Andrzej Sapkowski stał się rozpoznawalny na świecie, and you may fight me on that.
432:  KMM - to okazało się nagle, nagle, że to jest problem, więc Lorem i History stwierdzili, że szybko, szybko, szybko, musimy zmienić tak, że teraz Ciri będzie wyglądał zupełnie inaczej.
441:  KMM - Rzeczywiście, jak się przyjrzymy temu, jak wygląda Ciri w pierwszym sezonie, jak wygląda w drugim, ja przypominam, że dzieli je, nie wiem, miesiąc, dwa może czasu ekranowego,
448:  KMM - no to zmienia się zupełnie.
449:  KMM - Nagle się zmienia w wojowniczą Ciri, nie wygląda jak Ciri księżniczka i nosi się dokładnie tak samo, jak się nosiła Ciri w grach.
455:  KMM - Dokładnie tak samo było zresztą z Geraltem wcześniej.
457:  KMM - Nie chcę wnikać w kwestie prawne, ale mam wrażenie, że ta inspiracja książkami jest coraz mniejsza, inspiracja grami jest coraz większa i oczywiście wszyscy wiemy, z jakiego to jest powodu.
469:  KMM - To znaczy, to jest z tego względu, że większość amerykańskich odbiorców Wiedźmina zna Wiedźmina z gier, a nie zna ich z książek.
477:  KMM - Nie może znać z książek,
478:  KMM - ponieważ tłumaczenia przez oficynę GoLunch Prozy Andrzeja Sapkowskiego i jej dystrybucja na skalę masową zaczęły się dopiero po sukcesach CD Projektu Red.
486:  KMM - Oczywiście puryści stwierdzą, tak, tak, było, Krzysztof, mylisz się, były tłumaczenia Prozy Andrzeja Sapkowskiego, tak, były, fanowskie, były w mniejszych oficynach, ale GoLunch i jego gigantyczna dystrybucja zaczęła się dopiero po sukcesie.
498:  KMM - Wiedźmina growego.
500:  KMM - I tu jest naczelny problem, więc skoro nie jest to adaptacja, jest pytanie, co to jest.
503:  KMM - No więc moim zdaniem jest to wizja ułańskiej fantazji Lauren Hissrich, która stwierdziła, że ma pewien pomysł na Wiedźmina i zrobi dokładnie to samo, co udało się swego czasu świetnie panom D.B.
514:  KMM - Wife, jak to było?
515:  KMM - David Benioff i D.B.
517:  KMM - D.B.
517:  KMM - D.B.
517:  KMM - coś?
517:  KMM - Nie pamiętam nawet.
518:  KMM - Oni są już tak nieistotni w Hollywoodzie, że nawet nie pamiętam jak się nazywają, ponieważ po tym jak siódmy i ósmy sezon Gry o Tron wyszedł, czyli ten, w którym obydwaj panowie mogli pokazać ten swój pazur scenopisarski, no odeszli w zapomnienie, bo się okazało, że bez talentu Giorgio Ararmaltina ten serial po prostu nie działa i dokładnie tak samo jest tutaj.
539:  KMM - Ilekroć Loren Hissrich spuszcza wodze fantazji, spuszcza swoje psy gończe, nagle się okazuje, że ten serial przestaje się zszywać, świat przestaje mieć jakikolwiek sens i tu leży cały problem.
552:  KMM - Jeżeli chcemy osadzić historię w świecie, nie ma problemu, możemy sobie fabułę zmieniać dowoli.
558:  KMM - Wszystko możemy zmieniać dowoli, ale są pewne świętości.
561:  KMM - Wygląd bohaterów, wygląd lokacji, estetyka świata i prawa moralne, filozoficzne i fizyczne rządzące tym światem.
570:  KMM - I to wszystko jest niestety naruszane w tym sezonie i pojawiają się gigantyczne problemy różnego elementu.
577:  KMM - Jeżeli miałbym powiedzieć to, co mi się podobało w tym sezonie...
580:  KMM - Wow.
580:  KMM - Eee...
607:  GW - Warto teraz pochwal, żeby zrobić taki shit sandwich trochę, wiesz?
612:  BFP - To było jak sceny z Quicksilverem w filmach X-Men, tak?
616:  BFP - Wbiega Krzysztof cały na biało, biega dookoła nas, robi bardzo dużo różnych rzeczy, a my wracamy dopiero do normalnego biegu czasu i próbujemy pozbierać myśli, co się właśnie wydarzyło.
626:  BFP - Znaczy ja nie do końca bym się zgodził z tym, że ten świat pruje się w szwach, kiedy zabiera się za niego producentka Lauren Hirsch, czy jakoś tak.
635:  BFP - Fistech, umówmy się, to jest Loren Fistech, bo się go naćpała.
638:  BFP - Powiedziałbym, że im bardziej ona się za niego zabiera, im bardziej się odrywa od materiału źródłowego, tym bardziej staje się on generyczny, to na pewno.
645:  BFP - Tym mniej specyficzny, tym bardziej generyczny.
647:  BFP - Tym bardziej jest to takie typowe, podręcznikowe fantazy, które jest już przetarte.
652:  BFP - Ale...
653:  BFP - Zacznę może bez schematu.
656:  BFP - Ja użyję tego cytatu z ciebie Krzysztof, że powstała już najlepsza adaptacja Wiedźmina i nie jest to serial Netflixa.
664:  BFP - Ja uważam, że powstała taka adaptacja i to nie jest serial Netflixa, ale to też jest serial.
668:  BFP - I dla mnie najlepszą adaptacją Wiedźmina, jaką do tej pory oglądałem, to jest Mandalorian.
674:  BFP - Ja rozumiem, że to może być prowokacyjne, ale ja tak zawsze marzyłem, że może wyglądać adaptacja Wiedźmina.
680:  BFP - Mamy samotnego samuraja, który idzie od miasteczka do miasteczka, rozwiązuje sprawy i problemy tych miasteczek, uczy się o tym, kto jest potworem, kto jest człowiekiem, kto ma tak naprawdę moralność, a kto jej nie ma.
693:  BFP - Musi mierzyć się z dyskryminacją na każdym kroku, jego samego jako mutanta.
700:  BFP - ludzi, którym pomaga, ludzi, którzy go wykorzystują i gdzieś w którymś punkcie serialu pojawia się taka postać jak Ciri, którą się opiekuje, podobnie jak Mandalorian opiekował się Baby Jodą.
710:  BFP - I dopiero z czasem widzimy większy story arc, ale generalnie to, co nie jest lepsze niż w poprzednim sezonie i wydaje mi się, że wciąż dla mnie będzie takim inherentnym problemem tej produkcji, to jest to, że za mało jest Geralta w Wiedźminie.
725:  BFP - że te wszystkie pozostałe wątki, wszystkie pozostałe postaci, niby jest teraz lżej, bo wątek Ciri jest połączony z wątkiem Geralta, ale pojawiają się jakieś inne postaci, pojawia się ten Rience, Mag, pojawia się jeszcze kilka innych postaci pobocznych, które czasem zajmują trochę tego czasu ekranowego i dla mnie właśnie jest za mało tego Geralta w Geralcie, a to on jest najmocniejszą stroną.
750:  BFP - I gra Henry'ego Cavilla jest naprawdę bardzo dobra.
754:  BFP - On rozumie tę postać, a on ewidentnie ma serce w tej postaci.
757:  BFP - Nie do końca zgadzam się z tym, Grzegorz, co powiedziałeś, że gra aktorska wszystkich jest bez zarzutu.
763:  BFP - Nie, ja uważam, że gra aktorska Henry'ego Cavilla jest bez zarzutu i gościa, który gra Dijkstra, a reszta odnoszę trochę takie wrażenie...
772:  BFP - A okej.
772:  BFP - No to co ja definiuję jako okej, to mam takie wrażenie, że większość obsady nie traktuje tego wszystkiego na poważnie.
777:  BFP - To znaczy na poważnie nie chodzi mi o to, że trzeba mieć marsowe miny i grać z wielką powagą i patosem.
783:  BFP - Mam na myśli rozumieć ten świat przedstawiony Sapkowskiego i z gier CD Projektu, który jest bardzo uroczy.
789:  BFP - Tam wszystko jest właśnie wyraziste, specyficzne.
791:  BFP - Postaci, poboczne postaci mają świetne teksty w grach CD Projektu Red.
796:  BFP - Rzucają to z osobowością, a tu...
798:  BFP - Miałem problem już nawet od Nivellena, który jest w pierwszym odcinku, że to było tak jakby gościu grał w teatrze dla dzieci.
804:  BFP - I większość postaci, które widziałem, ten Rience chociażby, czy Triss, nie przekonują mnie.
810:  BFP - Dla mnie brakuje tam autentyzmu, autentyczności, serca w tym wszystkim.
815:  BFP - Więc ponownie,
816:  BFP - Brakuje mi więcej Geralta w serialu pt.
819:  BFP - Wiedźmin i dla mnie Mandalorian robi to tak, jak chciałbym, żeby robił to Geralt.
823:  BFP - Więcej niepowiązanych ze sobą historii, które łączy jeden główny bohater i w końcu postać, którą musi się opiekować, która gdzieś pod koniec tego sezonu jest prawdziwe wow, bo to wszystko zaczyna się łączyć.
834:  BFP - Marvel What If też coś takiego trochę zrobił.
836:  BFP - I druga rzecz, że jest wciąż, mimo że teraz widzimy Oxenfurt, mimo że...
842:  BFP - scenografia naprawdę się poprawiła, naprawdę mam wrażenie, że to są lokacje, które widziałem też w grach, kostiumografia się poprawiła, jest lepiej CGI, to wciąż mam wrażenie takiej generyczności, wciąż mam takie wrażenie, że z tego świata da się wyciągnąć znacznie więcej, da się pobawić paletą kolorów, da się pobawić lokacjami, da się pobawić...
861:  BFP - wyrazistością postaci, które się pojawiają, a nawet większą ilością ras, czy stworów, które się pojawiają.
867:  BFP - Tutaj są takie stwory, na zasadzie jak byśmy oglądali animowane Ghostbusters.
871:  BFP - Raz na jakiś czas wpierdzieli nam z innego świata, z innej rzeczywistości potwór, chwilę z nim powalczymy, ale marzy mi się taki jeden odcinek, gdzie on naprawdę...
879:  BFP - W całości poluje na Leszego, że nie wiem, prowadzi wywiad środowiskowy, rozmawia z tamtejszymi, tamtejsi w ogóle składają hołdy religijne Leszemu, bo traktują go jak Boga, kojarzycie, to było w grze.
890:  BFP - Są dwie walczące frakcje w tej wsi, jedni chcą składać swoje dzieci w ofierze tam Leszemu, inni...
896:  BFP - inni chcą dokonać jakiejś secesji i Wiedźmin musi tu pogodzić zarówno konflikt, który się rodzi w wiosce, a z drugiej strony ściga tego Leszego, a potem się okazuje, że ten Leszy jest biedny, dyskryminowany i tak naprawdę chciałby mieć tylko socjał dobry.
908:  BFP - I tego typu rzeczy.
909:  BFP - I brakuje mi bardzo takich rzeczy, bo to wszystko jest rozdrabniane na wiele wątków, które ściągnięto z wielu różnych tomów, upchnięto w tym jednym sezonie i przeładowano mnie i próbowano wzbudzić we mnie emocje, na które ten serial sobie nie zasłużył.
924:  BFP - To jest moja opinia, która jest i tak całkiem dobra
928:  AK - No, ja bym tu się zgodził do tej pory z wami wszystkimi.
933:  AK - Nie czuję, żebym musiał jakoś nawet sztucznie się wzbudzać i mówić, nie, nie, to nieprawda, protestuję.
940:  AK - Co gorsze, ja uważam, że nie ma nawet co liczyć na poprawę, ponieważ pani showrunnerka będzie zapewne zespywana teraz kolejnymi metrykami z Netflixa, że bambilion ludzi obejrzało bambilion godzin Wiedźmina.
956:  AK - Oni wzajemnie się będą klepali po plecach, bo będzie dla nich to oznaczało sukces.
961:  AK - Moim zdaniem ona po prostu będzie pływała w banieszce pod tytułem, że wybrała dobrą drogę.
966:  AK - Nie wiem, czy widzieliście zwiastun, myślę, że widzieliście Origin Blood, który dla mnie to jest gra komputerowa, taka najgorsza z lat 90.,
974:  AK - To już jest właściwie cosplay, taki bieda cosplay zrobiony przez, przepraszam, biednych polskich żaków, którzy po prostu chcą pojechać na Pyrkon i naprawdę za 5-12 dowiadują się, że muszą kupić sobie spiczaste uszy, więc bierzą chyżo do Castoramy i tam kupują jakieś zatyczki, malują to i to są spicze.
993:  AK - To jest dla mnie dramat.
994:  AK - Znaczy, wiecie, można robić fajne kino gatunkowe, ale na Boga jedynego.
1001:  AK - to pachnie mi, ja z uporem maniaka wracam do The Waste of Time, ponieważ jest to karygodny, zły serial z ogromnym budżetem, który właśnie dokładnie powtarza tą drogę, którą szedł Wiedźmin.
1012:  AK - Ludzie, którzy nie rozumieją tego gatunku, zabierają się za jego produkcję i mają pojęcie, jak złożyć CGI do kupy, może trochę jak zbudować właśnie postać i pchnąć ją przez dwie czy trzy sceny, ale to nie ma
1024:  AK - Tam nie ma w ogóle niczego i jeżeli ktoś mówi, o co wam chodzi, przecież w tym serialu w drugim sezonie Szabkowskiego nie ma, no i to jest dobrze i oni sobie pojechali i was dupa boli i piecze, dlatego że ktoś zrobił coś zupełnie innego.
1037:  AK - Nie boli mnie dupa i piecze, że ktoś zrobił innego, bo to jest bardzo podstawowe prawo każdego reżysera.
1043:  AK - To się nazywa adaptacja, ale jeżeli ta adaptacja jest robiona na motywach czegoś i każdy z nas, kto obejrzał nawet kawałek
1052:  AK - nawet filmu Marka Brodskiego czy serialu i wie, jak to może być źle zrobione i mamy my jako Polacy możliwość odbicia tego złotego smoka i wiemy, jak gówniane może być CJ robione naprawdę za Januszowe pieniądze, to żądamy jakości.
1068:  AK - I nie ma tej jakości w tym filmie ani pod kątem castingu.
1071:  AK - Ja naprawdę ani za Chiny Ludowe nie wierzę w przemianę tej małej, biednej Ciri.
1077:  AK - w potem Falkę, czyli w morderczynie.
1080:  AK - Dziewczyna, która będzie miała za towarzyszy i druhów morderców i bandytów.
1085:  AK - Ja nie wierzę, że ta dziewczynka się na to zdobędzie.
1087:  AK - Oni ją szpeco, dadzą jakąś pewnie jej rysę, bliznę.
1090:  AK - Ona pewnie będzie miała krótsze włosy, będzie miała pewnie jakiś... Ale ona po prostu nie pasuje mi do tej postaci.
1096:  AK - Chciałbym się mylić.
1097:  AK - Natomiast ja w ogóle na chwilę obecną jej nie kupuję.
1099:  AK - Tak samo jak nie kupuję przemian Yennefer, która dla mnie jest
1103:  AK - po prostu postaciu, która jest wzięta z jakiegoś plastikowego pastiszu, takiej odmiany seksu w wielkim mieście, która chodzi i mówi fuck, fuck, fuck, straciłam zdolności magiczne, fuck, fuck.
1117:  AK - Kurde, w ogóle absolutnie anim nie pasuje jako, nie pociąga mnie jako aktorka, która ma jakąś tajemnicę, absolutnie nie pasuje mi na kogoś, kto ma grać
1126:  AK - Jakby nie było starą pod kątem wieku osobę, która ma jakąś mądrość, bo tak przecież to wyglądało w książkach, te iluzje narzucane na większość tych magiczek były po to, dlatego że one były starymi raszplami, które przez wieki gdzieś tam zdobywały te moce po to, żeby mogły właśnie posiąść
1145:  AK - czy być tymi głosami doradczymi w tej całej kapitule.
1150:  AK - I to mnie drażni, bo można zrobić film, który się nazywa bla, bla, bla, fentezy, coś tam, wziąć na to hajs od Netflixa i niech to sobie leci, tak?
1159:  AK - Ale jeżeli jesteśmy skonfrontowani nawet z tą wilczą zmorą, czy tamtym serialem fantasy, który został, mówię o serialu animowanym.
1168:  AK - Kurde, wiecie to?
1169:  AK - To mi się bardziej podobało.
1170:  AK - Serio.
1171:  AK - Znaczy, ja jestem fanem Castlevanii.
1173:  AK - Jak zobaczyłem, to powiedziałem, hi-fi, kupuję to.
1175:  AK - Absolutnie kupuję tą narrację.
1177:  AK - Ale to, co zobaczyłem w Wiedźminie z sezonu drugi, poraziło mnie, bo ja myślałem, że oni naprawdę poszli, bo biczowali się po plecach.
1183:  AK - Nie było to czysto PR-owe, tylko takie pochukiwanie, że wezmą pod uwagę głosy.
1188:  AK - tylko naprawdę przemyślał tą strukturę tego drugiego sezonu.
1191:  AK - Ja wiem, że dla większości osób mają to w nosie, czy tam będzie fajny Wiedźmin, czy nie, ale jak ja widzę tego Hanrego Cavilla na close-upach, na zbliżenia, że te jego pieprzone soczewki nie reagują na światło, kurde, to ja się zastanawiam, po kiego wuja w ogóle oni wzięli te pieniądze za CGI, bo to jest po prostu niewiarygodne.
1208:  AK - Jeżeli mamy Wiedźmina, który jest napakowany eliksirami, jest zmutowany i ja widzę go, jak on stoi w knajpie, jak on stoi na powietrzu, jak on stoi u siebie w Wiedźmińskim,
1218:  AK - siedlisku i ma to samo dokładnie wyraz oczu, to ja sobie myślę, okej, to w książce mówili o kocich oczach, a tu to są jakieś po prostu soczewki.
1226:  AK - I to jest ten uncanny valley, który po prostu kompletnie do mnie nie trafia.
1230:  AK - Dlatego myślę sobie, że może ktoś przetłumaczy ten nasz wywiad, Pani Lauren
1235:  AK - Schmidt Hiswitch i ona po prostu, nie wiem, kiedyś na tą jedną czy drugą butlą zrobioną z Andrzejem Sapkowskim, bo tam podobno jakieś odchodzą ekscesy alkoholowe przy każdym ich spotkaniu, może wpadnie na genialny pomysł, żeby jednak, kurde, nie eksperymentować, bo ty kobieto nie jesteś pisarką, ty nie masz do tego żadnego powołania, ty jesteś osobą, która dostała dwa czy trzy seriale Netflixa,
1258:  AK - Nie uważam też, żeby Umbra Academy było najlepsze na świecie, nie udało ci się może tego do końca spieprzyć, ale ewidentnie masz rękę do kładzenia fantasy i uważam, że po prostu jest tak, że za chwilę to może dojść do tragedii, więc już nie chcę jej rostować, bo nie lubię mówić o osobach, których nie ma z nami, natomiast wietrzem tutaj, że to się może zmienić
1279:  AK - To jak się zmieniła gra o tron.
1280:  AK - Kochaliśmy grę o tron, byliśmy fanami, każdy chciał zobaczyć, co się stanie w ostatnim odcinku.
1285:  AK - Ja na myśl tego, że ten ostatni sezon był taki, jaki był, mam ciary.
1288:  AK - Ja nawet nie chcę widzieć go ponownie.
1290:  AK - Mam po prostu odruch wymiotny, że kiedykolwiek ktoś by mnie miał zmusić do tego, żebym miał zblindować go.
1295:  AK - Nie chcę, żeby to stało się z Wiedźminem.
1297:  KMM - Nikt nie mówi o grze o tron, zauważcie.
1299:  KMM - I to jest taki wielki znak ostrzegawczy, który powinien być przed każdym showrunnerem w tej chwili.
1305:  KMM - Nie bądź tak jak dwójka kretynów, bo skończysz bez pieniędzy, skończysz w pomrokach niepamięci i nikt nie będzie nawet robił memów na twój temat.
1315:  KMM - To jest niesamowite.
1316:  KMM - Moja przyjaciółka robiła doktorat z memów z gry o tron i tam można jak na wykresie pokazać, we Francji oczywiście, bo gdzież by w Polsce coś takiego było,
1324:  KMM - I na wykresie można byłoby pokazać, jak popularność gry o tron jakby zsynchronizowała się z liczbą memów.
1332:  KMM - I w którymś momencie one zaczęły gasnąć i był taki pik, kiedy te memy były satyryczne i komiczne.
1338:  KMM - Ale do dwóch rzeczy, które Artur powiedział, muszę się odwołać.
1340:  KMM - To znaczy pierwsza kwestia Uncanny Valley.
1342:  KMM - W stu procentach się zgadzam też, bo to jest ten problem, który mam oglądając, cierpiąc potwornie przy tym, koło czasu.
1349:  KMM - To znaczy ten set wygląda tak, jakby został wyprodukowany w momencie, trzy, cztery dni przed rozpoczęciem zdjęć.
1357:  KMM - Wszystko jest lśniące, stroje są piękne, wyszyte przedwczoraj ledwie.
1361:  KMM - Nie ma grudki błota na człowieku, który podróżował siedem miesięcy.
1366:  KMM - Nawet w którymś momencie wkraczają do miasta.
1368:  KMM - Miasto jest tak czyste, gdyby jakiekolwiek miasto europejskie było tak czyste, to my nie potrzebowalibyśmy żadnego postępu technologicznego, bo to miasto wygląda tak, jakby rumba tam jeździła przez cały czas po ulicach.
1379:  KMM - To jest niesamowite absolutnie i to samo mam w Wiedźminie.
1382:  KMM - Wchodzę do wiedźmińskiego siedliszcza, zrujnowane kermorem, które wygląda jak ruiny oświeceniowego pałacyku w łazienkach.
1389:  KMM - To jest takie specjalnie zrobione, żeby wyglądało jak ruiny.
1392:  KMM - I tam każdy element w ten sposób właśnie wzbudzał mi ten efekt uncanny volume na poziomie detali w przypadku oczu, ale także na innych poziomach.
1400:  KMM - I tutaj wracam kołem czasu do gry o tron.
1405:  KMM - Mianowicie problem z grą o tron zaczął się wtedy precyzyjnie, kiedy ten świat w którymś momencie...
1412:  KMM - przestał być realistyczny, przestał być wiarygodny, skracał się dystans między różnymi partiami świata.
1417:  KMM - Dokładnie to samo, nawiasem mówiąc, dzieje się w Wiedźminie, przez co Geralt bez przerwy podróżuje przez portale, mimo że za każdym razem, jak jest komukolwiek otwierany portal, czy Geraltowi, czy komukolwiek w jego otoczeniu, Geralt zawsze wykorzystuje okazję, żeby i w książkach, i w grach powiedzieć, że nienawidzi portali.
1432:  KMM - Tutaj wszelako z tych portali korzysta bez przerwy jak z metra, żeby się przenosić z jednej części świata na drugą, ponieważ showrunnerka tak chce.
1439:  KMM - I ten efekt uncanny valley dotyczy przestrzeni, nie tylko detali i charakterologii.
1447:  KMM - I mój ból wynika z tego, że ja znam, pamiętam czasy, w których oglądałem seriale fantasy klasy BC i D jak dupa i to był czas, w którym mi to wystarczało w zupełności.
1458:  KMM - Tylko, że przyszła gra o tron do szóstego sezonu.
1461:  KMM - Ja pomyślałem, no wreszcie.
1463:  KMM - Wreszcie wszyscy, którzy mają te swoje seriale sci-fiowe i są zadowoleni, Expanse na przykład, powiedzmy sobie szczerze, czy ludzie, którzy mają, no nie wiem, nawet Gwiezdne Wojny, w których był ten efekt used universe, że widać było, że właśnie to nie są propy wyjęte z rekwizytorni, tylko faktycznie rzeczy, które się starzeją w tym świecie.
1482:  KMM - Świat ma nie tylko przestrzeń, ma też czas.
1485:  KMM - Ja muszę ten czas widzieć.
1486:  KMM - I nagle dostaję Wiedźmina, nagle dostaję Koło Czasu i nagle dostaję Dolinę Niesamowitości.
