Czy Cyberpunk 2077 to cyberprank? Krzysztof Maj wyjaśnia, co poszło nie tak
🔗 https://www.youtube.com/watch?v=AwEdSEVnkzY
MH (Mirosław Haładyj, Głos24)
KMM (Krzysztof M. Maj)

0:  KMM - Muzyka Muzyka
266:  KMM - Nie wyobrażam sobie, żeby rodzice dawali limity na czytanie książki.
270:  KMM - A tymczasem wciąż sfera grier komputerowych cieszy się takimi specjalnymi antyprzywilejami.
276:  KMM - Tak samo jest bardzo skomplikowany system przyznawania książek.
280:  KMM - ograniczeń wiekowych grom wideo.
282:  KMM - Zdarza mi się na przykład ostatnio, komentowałem, nie ukrywam złośliwie, ale myślę, że celnie, sytuację, w której wydawnictwo Znaku publikowało książkę z brutalnym gwałtem i nie było tam na okładce znacznika od osiemnastego roku życia, a gra wideo, w której byłby brutalny gwałt, o ile w ogóle byłaby dopuszczona na jakąkolwiek platformę dystrybucyjną, bo były takie przypadki i raczej z tego rezygnowano, to miałaby na pewno taki znacznik.
308:  KMM - Czyli ostrzegamy w obszarze jednego medium rodziców i dzieci właśnie przed tym, że to może być nieodpowiednie, że to nie jest już ta rozrywka taka bezmyślna, z jaką chcielibyśmy kojarzyć gry wideo.
321:  KMM - A cały paradoks polega na tym, że to po pierwsze nie jest bezmyślna rozrywka, bo właśnie zależy od tego, w co gramy.
327:  KMM - Po drugie to, co pan redaktor już częściowo nawiązał, średni wiek gracza kształtuje się w tym momencie między 26, 28, 34, coś takiego.
337:  KMM - I to jest największy segment graczy na świecie.
340:  KMM - Kiedyś, jeszcze 10 lat temu, kiedy te tezy zaczęły się kształtować, średni wiek gracza był znacznie niższy.
345:  KMM - I w tym momencie troszeczkę absurdalnie wygląda dyskusja na temat właśnie ograniczeń wiekowych, czy tego, że ktoś mi tręży życie na to i traci czas, gdy miliarderzy i milionerzy, w rodzaju Ilona Muska chociażby, całkowicie otwarcie na przykład promują Cyberpunka 2077 na swoim Twitterze i nie mają z tym najmniejszych problemów, bo to jest już część naszej kultury.
366:  KMM - Wydaje mi się, że jesteśmy właśnie w takim obszarze przejściowym i stąd ten dyskurs się utrzymuje, ale mam wrażenie, że jego źródła sięga troszeczkę głębiej, to znaczy w ogóle naszej technofobii i obaw związanych z tym, w jaki sposób przekształca nas świat cyfrowy, czy czytanie np.
381:  KMM - książek to jest to samo, co czytanie książek normalnych, czy to szkodzi wzrokowi itd., itd.,
387:  KMM - Z drugiej strony ja lubię odpowiadać też ironicznie, że nie wyobrażam sobie w sprzedaży krzesła specjalnego do czytania książek, a tymczasem mamy specjalne krzesła, które podpierają kręgosłup dla graczy, prawda?
400:  KMM - Więc jednak ktoś zwinięty w pałąk na łóżku i czytający książkę przy lampce małej nocnej niszczącej wzrok jest w o wiele mniejszym stopniu zadbany,
410:  KMM - niż ten, kto siedzi przed komputerem na właściwie wyprofilowanym krześle przy stole itd.
415:  KMM - Oczywiście śmieję się i mówię to półironicznie, ale zmierzam do tego, że środowisko graczy, czy w ogóle środowisko projektantów gier, projektantów technologii, znakomicie zdaje sobie sprawę z wszystkich problemów, które wiążą się z nowymi technologiami i stara się im przeciwdziałać.
431:  KMM - Natomiast środowisko, nazwijmy to krytyczno-literackie, środowiska kulturalne, które cieszą się tym, że zajmują się starymi mediami, które mają już pewną estymę społeczną, mam wrażenie, nie często przyznają się do tego, jak duże mają przywileje i jak np.
450:  KMM - uprzywilejowaną pozycję ma
452:  KMM - literatura.
453:  KMM - Gdy chociażby na festiwalu Konrada, nie pamiętam w którym roku, chyba 2013-2014, mieliśmy hasło literatura medium doskonałe.
462:  KMM - A ja zawsze lubię z nim polemizować na takiej zasadzie, że mówię, przecież to w grze wideo jesteśmy w stanie obejrzeć film, przeczytać komiks i przeczytać książkę.
470:  KMM - Niewymyślone jeszcze takiej książki, w której można obejrzeć film i zagrać w nią w grę wideo.
476:  S00 - No fakt.
477:  S00 - Też warto zaznaczyć, że to, o czym Pan mówił, czyli...
481:  S00 - rozrywka płynąca z gier takich jak właśnie elektroniczne szachy czy no dużo by wymieniać tych przykładów uległa zmianie no gry niesamowicie się rozwinęły teraz mówiąc o grze to mówimy nie tylko o grafice ale mówimy o fabule co jest chyba prawda dostępne teoretycznie zarezerwowane dla literatury dla filmu mówimy o
508:  S00 - Nie tylko dokonanych tych graficznych, wizualnych, ale też artystycznych.
513:  S00 - No i tu właśnie kultura jest synonimem sztuki.
516:  S00 - Do tej zaliczamy wspomnianą literaturę, muzykę, malarstwo, film.
522:  S00 - Gry komputerowe też stały się rodzajem sztuki, nowym.
527:  S00 - No i właśnie, możemy mówić o nowości tutaj, że to jest nowy gatunek sztuki, XXI-wieczny, XX-wieczny.
535:  KMM - Tak, na pewno Panteon Mus wymaga uzupełnienia i to pilnego, ale wie pan, to jest, myślę, szerszy znowu problem, bo pamiętam jak zdziwiłem się, że Katedra Komparatystyki na Uniwersytecie Jagiellońskim, czyli zajmująca się ściśle porównywaniem ze sobą różnych mediów, różnych dziedzin sztuki,
553:  KMM - starannie pomijała muzykę popularną, gry komputerowe, nowe media, internet i w zasadzie była tylko i wyłącznie opera, literatura, malarstwo.
561:  KMM - I to pokazuje, jakie mamy podejście do tych, powiedzmy, i teatr oczywiście, wysokich rejestrów sztuki.
566:  KMM - A prawda jest taka, że gry wideo, tak samo jak teatr, zaliczają się do sztuk performatywnych, to znaczy tych, w których wykonywane są jakieś działania mające wymiar artystyczny, wytwarzające albo jakiś świat, albo jakąś właśnie fabułę,
578:  KMM - Albo po prostu wrażenie chociażby, czy doświadczenie, które nas w jakikolwiek sposób odmienia.
585:  KMM - Nie wyobrażam sobie chociażby tego, dlaczego mamy problem z tym, że uznać gry wideo za dziedzinę sztuki, skoro one wywołują takie emocje.
594:  KMM - A przecież rolą sztuki od zawsze było wywoływanie silnych wrażeń, więc jeżeli gry są penalizowane, bo bywają za to, że wywołują jakiekolwiek silne emocje i bardzo często myli się to z tym, że one prowokują jakieś zachowania przemocowe,
608:  KMM - to nie zastanawiamy się nad tym, że zaraz, zaraz, jeżeli rzeczywiście gry wywołują w nas emocje, jeżeli rzeczywiście ciężko jest się nam oderwać od ekranu, jeżeli rzeczywiście jest tak, że gry sprawiają, że mamy z nich realne wspomnienia, to być może są to rzeczywiście najdoskonalszą dziedziną sztuki, jaką się nam na razie udało wytworzyć, bo oczywiście to jest proces.
629:  KMM - Natomiast ja nie mam zasadniczo żadnych wątpliwości co do tego, że gry wideo są dziedziną sztuki.
634:  KMM - Lubię mawiać, że są jedną z donioślejszych współcześnie pod właśnie względem tym, jaką mają grupę docelową i grupę odbiorczą.
642:  KMM - O wiele więcej dziś ludzi gra w gry wideo niż chodzi do opery czy na spektakle teatralne.
648:  KMM - I oczywiście to by się dało zmienić, powtarzam od początku pandemii, że dziwię się dlaczego polskie teatry nie mogą wzorem Metropolitan Opera robić transmisji i przenieść się właśnie do świata cyfrowego, ale opór jest dość duży i trudno się dziwić, bo teatr dostanie dotacje od Ministerstwa Kultury, a studio projektujące gry wideo nie.
667:  KMM - Więc to studio produkujące gry wideo musi się dostosować i rzeczywiście od czasu pandemii przez okrągły rok, bo już są dane na ten temat, jest stabilny wzrost na poziomie 30% na rynku w ogóle producentów i projektantów gier wideo i trudno się dziwić.
683:  KMM - To też pokazuje, gdzie ludzie poszli w pierwszej kolejności.
686:  KMM - Streaming i gry wideo.
688:  KMM - To są takie w zasadzie dwie gałęzie sztuki i książki wciąż, które sprzyjają tym naszym czasom izolacji, otwierają nam
696:  KMM - nam perspektywy i okno na świat.
699:  S00 - Warto też dodać w tym momencie, że kiedyś teatr był nazywany rozrywką dla ludu,
705:  S00 - U samych swoich początków przecież też był tanią, ludyczną rozrywką, która miała tylko zabawiać gawieć z tych niższych warstw społecznych itd.
717:  KMM - Naturalnie, a Gutenberg był przecież ścigany przez rozmaite sądy od inkwizycyjnych po świeckie za wynalezienie szatańskiej czcionki ruchomej.
726:  KMM - Więc to zawsze tak jest, że jak się pojawia nowe mediumy, to są kontrowersje.
731:  KMM - Pamiętam, jak do Polski wchodziło anime w latach 90., które zresztą namiętnie oglądam i słyszałem wtedy, że anime wywołuje epilepsję, co jest oczywiście bzdurą, ponieważ dzisiaj wiemy, że to chodzi o efekty stroboskowe, które mogą być absolutnie wszędzie i że są na przykład znowu gry wideo.
748:  KMM - Za każdym razem, jak włączamy grę wideo, gdzie są efekty stroboskopowe, pojawia się ostrzeżenie na samym początku, że coś takiego może wystąpić.
755:  KMM - Netflix też to niedawno wprowadził.
757:  KMM - Ale właśnie ta narracja, że nie, nie możesz oglądać anime, bo tam jest przemoc i to wywołuje padaczkę, to zapamiętałem właśnie z lat 90.
765:  S00 - Po tym wstępie przejdźmy do bohatera naszego spotkania, Cyberpunku 2077.
771:  S00 - Pozwoli Pan teraz na moje przydługie wprowadzenie.
775:  S00 - Gra, która powstawała 8 lat, według raportu CD Projekt, do września 2020 roku kosztowała studio 522,7 miliona złotych.
787:  S00 - Tyle wydano na jej produkcję i reklamę, a to dane tylko do września.
793:  S00 - Dla porównania najdroższy film w polskiej kinematografii, Quo Vadis z 2001 roku,
799:  S00 - kosztował 76 milionów złotych.
802:  S00 - Te rachunki pokazują też to, o czym mówiliśmy wcześniej na temat kultury i miejsca zajmowanego w niej przez gry komputerowe.
810:  S00 - Myślę, że dobitnie to ilustrują.
813:  S00 - Tak na marginesie to porównanie jest też smutne, bo pokazuje, że przez 20 lat nasz kraj nie był w stanie wyprodukować filmu droższego,
823:  S00 - no i przede wszystkim lepszego niż Quo Vadis, a przecież mamy też specjalne instytucje powołane do tego, żeby wspierać rozwój sztuki filmowej, a tutaj okazuje się, że w prywatnych rękach firma radzi sobie chyba dużo lepiej.
840:  S00 - I co jeszcze chciałem powiedzieć, właśnie wracając do gry, obietnice studia były ogromne, redzi podgrzewali sukcesywnie narrację, oczekiwania fanów były chyba jeszcze większe, w skrócie ułamiwiając świat cyberpunka miał być rewolucyjny, przełomowy.
860:  S00 - Miała być zupełnie nowa jakość, jeżeli chodzi o otwartość świata, o interakcje w nim zachodzące.
868:  S00 - Apetyty rozbudził zresztą dodatkowo Wiedźmin 3, którego tutaj mam nieprzypadkowo koszulkę.
876:  S00 - On też został stworzony właśnie przez Polskie Studio w 2015 roku.
880:  S00 - Gdy został zaprezentowany, no to
883:  S00 - rzeczywiście prezentował się fenomenalnie.
886:  S00 - Cyberpunka w przedsprzedaży kupiło miliony graczy.
892:  S00 - I choć producentom koszty produkcji zwróciły się i to z nawiązką, bo gra już w styczniu zarobiła 609 milionów złotych, to nie było się bez perturbacji.
904:  S00 - Spadły kursy akcji CD Projektu, ale chyba największym uszczerbkiem to ten poniesiony na reputacji.
911:  S00 - Ogólnie rzecz biorąc wiemy już, że twórcy
916:  S00 - Eufemistycznie mówiąc, nie wywiązali się ze swoich obietnic, nie wszystkie zostały spełnione.
921:  S00 - Pani Krzysztofie, jak już wspomniałem, naukowo zajmuje się Pan światotwórstwem.
927:  S00 - Czy ambicje studia CD Projekt Red nie stały się przyczyną
933:  S00 - jego artystycznej porażki.
935:  S00 - Innymi słowy, czy ta chęć wykreowania świata gry na takim poziomie, jak zakładali, była realna?
942:  S00 - Dodajmy, że wizualnie świat cyberpunka jest naprawdę udany i bez dwóch zdań piękny.
949:  S00 - No ale właśnie, coś poszło nie tak.
952:  S00 - I czy te ambicje nie zgubiły twórców?
955:  KMM - Może nawet zacznę od tego, że ta studio CD Projekt Red nawet pobrało w którymś momencie grant z Narodowego Centrum Badań i Rozwoju z programu Gaming, w którym sam kiedyś uczestniczyłem razem z doktorem Piotrem Kubińskim.
969:  KMM - I rzeczony grant był, cytuję, na zaprojektowanie mechaniki i algorytmów wspomagających kreację żywego świata.
976:  KMM - Nie od strony wizualnej, tylko od strony właśnie algorytmów, które będą zarządzać na przykład...
982:  KMM - tak zwanymi daily routines, czyli codziennymi zwyczajami przechodniów, które miałyby symulować żyjące miasto.
989:  KMM - NCBIR zażądał z tego, co widziałem w odniesieniach prasowych, nie znam rozwoju tej sytuacji, ale zażądał raportu na ten temat.
997:  KMM - Konsekwencją zdania tego raportu jest zwrot 10% przychodów za rok rozliczeniowy, więc sprawa jest poważna, jeżeli chodzi rzeczywiście o to,
1006:  KMM - o czym się mówi o nie tylko niespełnieniu pewnych wysokich oczekiwań fanów, ale spadku reputacyjnym, który wiąże się z bardzo poważną kwestią.
1016:  KMM - To znaczy wiele studiów, dla tych słuchających, którzy się nie orientują, EA, Activision czy Ubisoft, największych studiów na świecie, bardzo często jest oskarżanych przez graczy i słusznie, i krytyków, i recenzentów o to, że wypuszcza półprodukt.
1033:  KMM - i następnie obiecuje długoletnie wsparcie dla danego produktu, korzystając z faktu, że gra wideo jako medium interaktywne może być rozwijana, uzupełniana itd.
1043:  KMM - Problem polega na tym, że jest furtka w tym postępowaniu, to znaczy wypuszczamy połowę gry,
1048:  KMM - a następną połowę doszlifowujemy przez kolejne lata.
1051:  KMM - I CD Projekt Red w swoich kampaniach marketingowych, i to był moim zdaniem pewien błąd, nie koncentrował się wyłącznie na nowej grze, na cyberpunku, tylko koncentrował się na samym studiu, mówiąc, we leave greed to others, zostawiamy chciwość innym, u nas nie będzie tego rodzaju praktyk, u nas nie będzie mikrotransakcji, u nas nie będzie półproduktu.
1072:  KMM - I problem polega na tym, że jakkolwiek nad cyberpunkiem pracowało morze utalentowanych artystów, część z nich to są moi znajomi, dla których pracę mam ogromny podziw i pamiętajmy, że to nie są tylko i wyłącznie artyści projektujący grafiki.
1087:  KMM - Gra video jest medium audiowizualnym, ale to właśnie oznacza też muzykę tutaj genialnego absolutnie Marcina Przybyłowicza.
1093:  KMM - który zresztą wsławił się zakomponowaniem fantastycznej ścieżki do Wiedźmina Dzikiego Ogonu razem z zespołem Percival, który zresztą zyskał renomę właśnie głównie za sprawą tej gry, nie oszukujmy się, tak samo jak Andrzej Sapkowski.
1107:  S00 - Była nagroda dla muzyki z Wiedźmina Trójki i przyznawana przez jakąś amerykańską
1114:  S00 - akademię, ale nie oscarową, tylko rzeczywiście to było duże wyróżnienie, ponieważ zdobycie przez takie medium tak prestiżowej nagrody było wtedy wydarzeniem.
1123:  S00 - Przepraszam, że wchodzę w dygresję.
1125:  KMM - Nie ma problemu, absolutnie.
1127:  KMM - Oprócz tego, tam Pan redaktor wspomniał, pisarze, bardzo utalentowani pisarze,
1132:  KMM - m.in.
1133:  KMM - Lead Narrative Designer, czyli główny projektant narracji, jak to się nazywa w branży, tzn.
1138:  KMM - Marcin Blachaj, cały jego zespół, zespół z kolei twórców questów, czyli takich mikrofabuł, które składają się na większą fabułę gry wideo.
1147:  KMM - I wreszcie zespół twórców samego świata, włącznie z Mike'iem Pondsmithem, który jest odpowiedzialny za system wcześniejszej gry RPG, klasycznej, tzw.
1156:  KMM - tabletop, czyli tradycyjnej, stołowej, Cyberpunk 2020.
1161:  KMM - I ten zespół wydawałoby się, nawet się nie wydawało, wszyscy byli absolutnie pewni, że po sukcesie Wiedźmina III ten zespół, taki zespół, tak utalentowanych ludzi będzie w stanie stworzyć arcydzieło.
1173:  KMM - Bo też posługując się właśnie tego rodzaju waloryzującymi określeniami, Wiedźmin 3 jest niewątpliwie w skali bezwzględnej arcydziełem w historii gier wideo.
1182:  KMM - Jest wymieniany
1185:  KMM - z wszystkimi tego rodzaju słynnymi tytułami, jak na przykład Red Dead Redemption, studia Rockstar, które ma 30 razy więcej pracowników niż CD Projekt Red.
1193:  KMM - Więc to był gigantyczny sukces i wszyscy spodziewali się, że ten czas dłużący się oczekiwania na Cyberpunka przełoży się też na jeszcze wyższą jakość.
1203:  KMM - Natomiast problem polega na tym, i tutaj to chciałem zaznaczyć, że gra wideo jako medium jest w wyjątkowy sposób narażona na to,
1212:  KMM - na co sztuka jest narażona od wszechwieczy, a mianowicie na problem związany z pieniędzmi i z mecenatem.
1218:  KMM - Tam pan powiedział, ile kosztowała gra wideo i to daje pewne wyobrażenie, ale pamiętajmy, że za 7 milionów dolarów sprzedaje się na aukcji ktoś jeszcze krzesło posmarowane masłem, więc sztuka ma problem z wyceną samej siebie we wszystkich jej dziedzinach.
1232:  KMM - I w wypadku akurat gry komputerowej musimy pamiętać, że ta kapitalizacja gigantyczna przekłada się na konieczność zatrudnienia na przykład kilkusetosobowego zespołu.
1244:  KMM - I koszty związane z wyprodukowaniem gry wideo dlatego zawsze będą wielokrotnie wyższe niż koszty
1249:  KMM - chociażby nakręcenia filmu, bo prawda jest taka, że do gry wideo potrzebujemy praktycznie wszystko to, co mamy w wypadku filmu, ponieważ musimy jeździć na plany, nagranie dźwięku w plenerze to jest co innego niż nagranie dźwięku w pokoju itd.
1263:  KMM - A oprócz tego potrzebujemy ludzi od wykreowania świata i zamodelowania go w silniku od samego początku do samego końca.
1272:  KMM - Dlatego też gra wideo w tej skali zawsze będzie droższa niż nawet najdroższy film,
1279:  KMM - I w wypadku CD Projektu Red problem, myślę, wyraził się w tym, że decyzje w którymś momencie zaczęli podejmować nie scenarzyści, nie artyści, a księgowi i akcjonariusze.
1289:  KMM - I były naciski i do tego przyznało się wielu deweloperów pracujących nad cyberpunkiem ze strony akcjonariuszy i zarządu studia.
1298:  KMM - Później zarząd też się do tego przyznał i wziął na siebie całą winę, za co duży szacunek, że przynajmniej potrafili to przyznać.
1304:  KMM - że rzeczywiście takie naciski wywierali.
1306:  KMM - No nieprzypadkowo akurat gra została wypuszczana przez świętami, czyli najbardziej gorącym okresem na rynku amerykańskim.
1313:  KMM - Bardzo ważnym dla polskiej firmy, która zyskała renomę międzynarodową.
1318:  KMM - Drugi problem wiązał się z tym, że duża część z tej kwoty, nie chcę być złośliwy, ale nie wiem czy nie jedna trzecia, została przeznaczona na marketing.
1327:  KMM - bardzo, bardzo rozległy marketing do tego stopnia, że nawet polski patriotyzm w którymś momencie się poddał w bronieniu wywalenia kilku milionów dolarów na reklamę na Times Square.
1339:  KMM - To było po prostu niepotrzebne i ten poziom oczekiwań jeszcze bardziej wywindowało, ponieważ gra dotarła do ludzi, którzy albo nie byli w ogóle związani z rynkiem gier,
1350:  KMM - albo nie interesowali się nimi aż tak bardzo, bo po prostu okazjonalnie grywali, ale jednak wszyscy te gry kupili i stąd ten gigantyczny wzrost sprzedaży.
1359:  KMM - Natomiast statystyka, która mówi bardzo dużo o tej grze, to czas i liczba graczy, która aktualnie gra w grę na Steamie.
1367:  KMM - I w tym momencie w Cyberpunk 2077 gra mniej graczy niż w gry wydane przed dziesięcioma laty, na przykład.
1375:  KMM - I co więcej, w tym Wiedźmina.
1377:  KMM - Tak.
1379:  KMM - Natomiast jakbym miał przejść od strony światotwórczej do analizy, to nie chcę przedłużać, ale to jest dłuższy problem, bo od strony światotwórczej musimy sobie zdać sprawę w ogóle z tego, że sztuka wytwarzania światów to jest bardzo nowe zjawisko i nowa dziedzina.
1395:  KMM - Moja książka na ten temat jest drugą książką na świecie, światotwórstwo w fantastyce, pierwszą napisał Mark J. P. Wolff, Building Imaginary Worlds, i nie jest to sztuka na tyle też rozpoznana nawet wśród projektantów gier wideo, którzy po prostu są świetnymi praktykami, ale nie teoretyzują na ten temat.
1410:  KMM - Natomiast na tyle, na ile ja mogę powiedzieć, oceniając tę grę właśnie z perspektywy tego, jak został zaprojektowany świat, jest to po prostu wioska potyomkinowska, ale przepiękna.
1418:  KMM - Absolutnie przepiękna, prześliczna, ale z błędami takimi, które sprawiają, że właśnie ten świat trwa w takim półśnie, jest półżywy, nie jest żywy.
1427:  KMM - Nie mam takiego poczucia, jak miałem w innych grach tego typu, w Wiedźminie, czy w Skyrimie, czy w dużych grach RPG z tak zwanym otwartym światem.
1435:  KMM - Nie miałem właśnie poczucia tej otwartości.
1438:  KMM - Bo jeżeli zaglądam do jakiegoś miejsca i okazuje się, że ono jest niewykończone, to po co w ogóle dawano mi możliwość otwarcia drzwi?
1446:  KMM - Jeśli podchodzę do sklepu, gdzie jest wielki neon z napisem 24x7 otwarte, a na interfejsie gra mnie informuje, że sklep jest zamknięty, to to wywołuje dysonans poznawczy.
1456:  KMM - Nagle się okazuje, że ten świat nie pozwala mi na robienie tego, co chcę.
1460:  KMM - Jeżeli idę za jakimś przechodniem i okazuje się, że ono chodzi w pętli,
1463:  KMM - po jednym chodniku, to to wszystko burzy te iluzje.
1466:  KMM - To jest tak, jakby aktor nagle na scenie w teatrze zaczął opowiadać o sobie, że w zasadzie jest aktorem i mu słabo płacą.
1473:  KMM - Też będziemy wyrwani wtedy z tego zanurzenia właśnie w ten świat i tu jest główny problem.
1479:  KMM - Skala świata ewidentnie przerosła projektantów, którym nie dano wystarczająco dużo czasu na to, żeby zaadresować takie właśnie drobne szczególiki, bo to one decydują o tym, że świat żyje.
1491:  KMM - Rzeczy, na które nie zwracamy uwagi, które są dla nas oczywiste, które sprawiają, że rzeczywistość, która nas otacza, postrzegamy jako rzeczywistą, bo jest zbyt skomplikowana dla nas, żebyśmy ją opisali naraz.
1502:  KMM - I to właśnie takie najdrobniejsze szczegóły, nie rozmach, nie skala, nie piękno i nie przepych decydują o tym, że świat żyje, tylko właśnie drobiazgi i tych bardzo zabrakło.
1512:  S00 - Panie Krzysztofie, ale po tym, co widzieliśmy, czy możemy stwierdzić, że Redzi umieją w cyberpunku, mam tutaj oczywiście na myśli gatunek, czy jego nazwijmy to wyznaczniki zostały w grze zachowane?
1528:  KMM - Znaczy zasadniczo setting czy świat cyberpunkowy o tej stylistyce, tej estetyce, tej filozofii w gruncie rzeczy zakłada istnienie jakiejś futurystycznej społeczności, futurystycznego miasta, futurystycznego świata, w którym kapitalizm doszedł do takiego poziomu, że korporacje przejęły faktyczną władzę, a to z kolei spowodowało gigantyczne rozwarstwienie społeczne.
1552:  KMM - problemy o charakterze klasowym, także problemy związane z płciowością, seksualnością, transgresywnością, z tego względu, że mamy taki rozwój technologii, że w ogóle płeć biologiczna przestaje mieć jakiekolwiek znaczenie, możemy modelować swoje ciało, ale oczywiście mogą to robić tylko ci, których na to stać.
1568:  KMM - I to powoduje całe spektrum problemów politycznych, ekonomicznych, społecznych i klasowych.
1573:  KMM - I wreszcie jeszcze to wszystko jest zanurzone w takiej estetyce, którą się nazywa retrofuturystyczną, z uwagi na to, że są pewne elementy estetyczne z lat 70., 80. czy 60. i one są przeniesione niejako do świata przyszłości.
1586:  KMM - Więc od strony estetycznej tak, absolutnie to się udało.
1589:  KMM - To znaczy zarówno ten kolaże muzyczny, jak i same wizualia świata bardzo dobrze oddają stylistykę retrofuturystyczną.
1596:  KMM - Ale od strony politycznej, ekonomicznej jest już problem.
1599:  KMM - To znaczy te tarcia klasowe nie mogły wyjść w sytuacji, w której Gravideo w zasadzie projektuje tylko i wyłącznie jeden model awansu klasowego.
1608:  KMM - Wszystkie te ścieżki rozwoju, które są na początku, a jest ścieżka życia pracownika korporacji, nomada, takiego wędrowca powiedzmy, który jest na obrzeżach Night City i wreszcie street kida, dziecka z ulicy, dosłownie.
1625:  KMM - One wszystkie zmierzają i tak do jednego punktu, w którymś momencie gry, na samym początku i potem modelują nam postać według jednego schematu.
1634:  KMM - Czyli założenie takie, które ja miałem chociażby rozpocząwszy rozgrywkę w cyberpunku, że świetnie, zacznę grać pracownikiem korporacji, spróbuję rozmontować ten system od środka, albo wręcz przeciwnie, będę grał zgodnie z ich regułami gry i zobaczę jak świat na to zareaguje.
1648:  KMM - to się właśnie nie udało.
