LOKI oczarował. Recenzja serialu i rozkmina nad przyszłością filmowego Marvela (z Krzysztofem Majem)
🔗 https://www.youtube.com/watch?v=TzMwu9poJVM
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

0:  BFP - Loki.
768:  BFP - Widzisz jakieś smartfony, które są prymitywne, ale superpotężne, wielką bibliotekę.
773:  BFP - wystrój tych biur, w których oni pracują, wystrój stołówki, to jak wygląda poczekalnia, gdzie on musi się udać na samym początku, czy nawet jakiś wykrywacz, przez który musi przejść, żeby sprawdzić, czy nie jest przypadkiem robotem.
787:  BFP - Wszystko jest takie, przepraszam, że znowu używam anglicyzmu, ale często się używa w świecie anglosaskim tego słowa offbeat, takie trochę indie, offbeatowe takie
799:  BFP - nietypowe, że jakby ktoś z wielką wyobraźnią stworzył coś, uciekając od klisz, uciekając od utartych schematów, robiąc to, ale w taki ciekawy, wyrazisty sposób, z taką wymową artystyczną, więc ten retrofuturyzm naprawdę robi robotę i nawet ta postać takiego zegara, który się pojawia, który opowiada historię, która jest tak bardzo w falloutowym stylu i tej prowadzenia narracji filmików propagandowych, reklamowych, no...
829:  BFP - Wypada tutaj znakomicie i od razu przyznam, że jak czytałem recenzję, bo ja zawsze czekam, aż uzbiera się komplet odcinków, żebym mógł obejrzeć cały sezon, to jak śledziłem bez spoilerów recenzję, to widziałem po pierwsze sporo nawiązań do Doktora Who, a po drugie...
853:  BFP - Sporo uwag, że szkoda, że ten serial ma takie odcinki, chociaż tych odcinków jest tylko sześć, które gdzieś tam odchodzą od głównej linii popularnej.
860:  BFP - Ja nie miałem wrażenia przez moment, żeby tak było.
863:  BFP - Zawsze wracaliśmy gdzieś tam do tych biur w Time Variance Authority i zawsze miałem takie wrażenie, że gdzieś tam to jest serce serialu.
871:  BFP - Tam najwięcej dialogów, najwięcej...
874:  BFP - scen, które posuwają fabułę do przodu ma miejsce i cieszę się, że tak było, bo robi ono wielkie wrażenie i dorzucę jeszcze, że w momencie, w którym pojawia się w ostatnim odcinku ta Cytadela na Krońcu Czasu, bodajże Cytadela na Krońcu Czasu, tak mi się wydaje.
891:  KMM - At the end of time, chyba Cytadel rzeczywiście, tak.
895:  BFP - To jest wizualnie jedna z najbardziej fascynujących rzeczy, jakie widziałem.
899:  BFP - Oczywiście ja sprawdzałem też, co ciekawe, zeszyty, czy w internecie, bo ich nie mam fizycznie, ale zeszyty Thora i fantastycznej czwórki i Avengersów, tam gdzie pojawia się postać, he who remains, czyli ten, który pozostaje i to jak wygląda ta jego cytadela, w sferę spoilerów jeszcze będziemy wchodzili,
919:  BFP - to to zostało odwzorowane bardzo wiernie względem tego, jaka wizja była w tych latach siedemdziesiątych czy osiemdziesiątych jeszcze tego miejsca, ale kiedy już je widzisz z wykorzystaniem całego tego CGI, kiedy stawiasz artyście, bo nie wiem kto to, to musiał być jakiś artysta, który to stworzył, jakąś wizję tego, jakiś concept art i mówisz mu, pokaż mi jak będzie wyglądać miejsce, które znajduje się na skraju linii czasu.
948:  BFP - I to, co zobaczyłem, jest wspaniałe.
951:  BFP - Jest absolutnie wspaniałe.
952:  BFP - Także production design tego serialu, wizja, pewna plastyczność tego, jak ukazać pewne rzeczy z tym biurem TVA, które najwięcej czasu ekranowego zajmuje i Cytadeli na krańcu czasu, która zajmuje najwięcej czasu na samym końcu.
967:  BFP - Tyle meta rzeczy tutaj powiedziałem w tym jednym zdaniu.
970:  BFP - Na samym końcu serialu, czyli w ostatnim odcinku, zrobiła na mnie fenomenalne wrażenie.
975:  BFP - To jest jedna z najlepszych rzeczy, jakie dostałem od MCU.
978:  KMM - Ja jeszcze wrzucę a propos tego jeden wątek, to znaczy ten vibe, który się tam pojawia, ta atmosfera, ta estetyka i stylistyka cały czas mi też przywodziła na myśl sosrealizm, bardzo umiejętnie zresztą zakamuflowany.
994:  S00 - Może brutalizm też nawet.
996:  KMM - Też, właśnie brutalizm w architekturze, socrealizm w tych plakatach, które się pojawiają propagandowe i wracam do tego i też do tej animacji, o której wspomniałeś i tym minutniku, jako sobie na własny użytek tłumaczyłem, tym hologramie, który towarzyszy cały czas i nie wiadomo do końca, jaka jest jego rola, jeszcze nie przeszliśmy do spoilerów, ale powiedzmy, że jest to rodzaj AI, która zarządza całą tą agencją.
1019:  KMM - To wszystko to opowiada ten świat w o wiele lepszy sposób, niż by robiła to jakaś ekspozycja dialogowa.
1026:  KMM - Nie znoszę seriali, które robią ekspozycję w najbardziej prymitywny sposób, to znaczy w dialogach.
1031:  KMM - Albo jeszcze gorszy przypadek, narrator z offu.
1034:  KMM - Jedyny wyjątek, kiedy narrator z offu jest dobry, to wtedy, kiedy jest to Galadriela we Władcy Pierścieni.
1040:  KMM - bo to jest jednak Galadriela i Blanche.
1042:  KMM - No więc jej mogę słuchać bardzo długo.
1044:  KMM - Natomiast tutaj ten świat opowiada o sam historię.
1047:  KMM - Te plakaty mi mówiły, jak ta agencja wpływa propagandowo zarówno na poszczególnych agentów, jak i ludzi, którym tłumaczy, że musi ich zabrać z linii czasowej, ponieważ stwarzają zagrożenie.
1059:  KMM - Ten świat tłumaczył mi, że został zamrożony właśnie w jakichś retrofuturystycznych latach osiemdziesiątych, co jest przefantastycznym pomysłem,
1068:  KMM - ponieważ wyobrażamy sobie, że mogłoby być to ultrafuturystyczne, nie?
1071:  BFP - Czy piękne?
1071:  BFP - Ich technologia nawet mówiła ci dużo fabularnie.
1074:  BFP - Przecież oni używali tych kijów, które prune, czyli wysyłało gdzieś, ale widziałeś, że coś się dzieje.
1081:  S00 - Dezintegratory.
1082:  BFP - Tak, dezintegratory.
1084:  BFP - Sama ta terminologia obudowująca tę technologię była fascynująca.
1091:  BFP - Stworzone pewne słowa, które pozornie do siebie nie pasują.
1097:  BFP - To wszystko, czy nawet to, co powiedziałeś, te odnogi.
1100:  BFP - To, że wizualnie wystarczy pokazać, jak wyglądają odnogi od tej głównej gałęzi.
1106:  BFP - Oczywiście.
1107:  BFP - Odnogi, które pokazują powstawanie kolejnych, alternatywnych rzeczywistości.
1111:  BFP - Sam ten świat doskonale opowiada o świecie.
1115:  BFP - To jest clue.
1116:  BFP - O jego logice, o spójności wewnętrznej i tak.
1121:  KMM - Absolutnie się z tym zgadzam i jeszcze dodajmy, że to słowotwórstwo, które tam jest i właśnie światotwórstwo idzie w parze.
1130:  KMM - Oczywiście ono jest wzięte w dużej mierze z komiksów, natomiast trzeba pamiętać, że bardzo dużo ludzi, którzy obejrzą ten serial z komiksami nie będzie miało raczej do czynienia albo nie miało do czynienia, więc to
1140:  KMM - z ich perspektywy jest kwestia drugorzędna, więc absolutnie to jest coś, co cenię najwyżej i jeszcze dorzucę, skoro mówimy o tych kwestiach związanych z designem, że serial ten bardzo dobrze tłumaczy właśnie przez te wizualne pomoce, na czym polega w zasadzie rozwidlenie czasowe, bo wspomnieliśmy o predestination i o tym, że ciężko jest śledzić w ogóle nam paradoksy czasowe, a tutaj ten prosty wizerunek czy odwzorowanie, reprezentacja linii czasu, od której odchodzą sobie rozgałęzienia, to wystarcza w zupełności.
1170:  KMM - I tłumaczy w gruncie rzeczy dość trudną rzecz, którą jest punkt dywergencji w teorii kontrfaktyczności, gdzie się od divergo łacińskiego rozdziela dosłownie linia czasu.
1179:  KMM - Jedna sobie biegnie w teraźniejszości, a inna właśnie biegnie sobie w innym miejscu.
1184:  KMM - Jest taki moment w serialu, gdzie widzimy jak to wszystko się zaczyna rozgałęziać i my rozumiemy, że to jest ten moment, w którym się zaczyna rozwidlać linia czasowa.
1192:  KMM - Nikt nam nie musi tego powiedzieć.
1195:  BFP - To ma swoją nazwę, Nexus Event, tak?
1197:  BFP - Czy punkt Nexus i wystarczy, że raz nam się to wytłumaczy, potem nie trzeba mówić dwoma zdaniami czy trzema zdaniami, o tym wystarczy, że się powie Nexus Point.
1207:  BFP - Ale wiesz co, ja dorzucę, tak jak lubisz, ja przerzucę na twoją stronę ogródka takiego dobrego steka jeszcze a propos tego Sacred Engine i Snowpiercera, a nie wiesz co tu się zbliża.
1217:  BFP - Przypomnij sobie ten, to jest bodajże trzeci odcinek albo czwarty, nie chciałbym skłamać, ale ten, w którym są na planecie, którą czeka zagłada.
1225:  BFP - W ogóle pomijam ten moment, gdzie się pojawiają w Pompejach i tam też nadchodzi zagłada, który jest w ogóle wyborny.
1231:  BFP - Ale ten moment, gdzie są na planecie, którą czeka zagłada, bo rozpada się księżyc.
1236:  BFP - Zauważ, jak wygląda to miejsce, do którego oni idą, tak a propos pewnej spójności światotwórstwa, pewnej oryginalności tego, że się nie idzie na łatwiznę.
1244:  BFP - Oni idą, widać tam takie potężne rozwarstwienie społeczne i właśnie kastę, powiedzmy, najbogatszych arystokratów i jakichś tam biednych, którzy czekają w kolejce na to, czy znajdzie się w ogóle dla nich miejsce na tą szalupę ratunkową, czy tą arkę.
1257:  BFP - Tak, na pewno się lamentis łany, jeśli mnie pamięć nie myli.
1260:  BFP - I czy to ci nie przyniosło piercera?
1262:  BFP - To jak oni wchodzą, jak jest taka po prostu...
1266:  BFP - wiesz, ten przepych, siadają, tam impreza trwa i tak dalej, i przychodzą ludzie, którzy są służbą bezpieczeństwa tam na miejscu.
1273:  BFP - No ja miałem od razu skojarzenie ze Snowpiercerem.
1276:  KMM - Tak, tak, absolutnie, absolutnie się z tym zgadzam, jest to przecudownie zrobione i jeszcze, no właśnie, kolejny to jest pretekst do tego, żeby pokazać nam świat, którego w Marvel Cinematic Universe siłą rzeczy nam się nie pokazuje, to z bardzo prostego powodu.
1291:  KMM - MCU, wyjąwszy właśnie te wątki asgardiańskie czy Guardians of the Galaxy, jest raczej ziemiocentryczne.
1299:  KMM - Większość akcji się rozgrywa albo na Ziemi, albo z perspektywy ziemian.
1303:  KMM - Bardzo często też mamy bohatera, który jest człowiekiem i obserwuje kogoś na zewnątrz, albo wręcz ulubiony bohater MCU to w końcu jest Iron Man, który nie ma półboskich mocy, prawda?
1314:  KMM - Więc z tej perspektywy jest to bardzo interesujące, bo pokazuje nam z zupełnie innej strony ten świat i pokazuje go właśnie w swoim bogactwie i różnorodności.
1322:  KMM - Przepiękna scena, o której mówisz, bardzo taka swoją drogą nostalgiczna i to jak Loki się tam zachowuje też jest bardzo sympatomatyczne.
1329:  BFP - Tak, przepiękne są dialogi w ogóle w tym serialu i to, że rzeczywiście udaje się w przeciwieństwie np.
1335:  BFP - do Falcon and the Winter Soldier, która jak powiedziałem jest serialem, który mi się bardzo podoba, udaje się naprawdę posuwać naprzód fabułę przez dialogi.
1344:  BFP - Jakby akcja jest wtórna w tym serialu, a niezwykłe ile udaje się załatwić dialogami, rozmową między dwiema czy trzema postaciami.
1352:  BFP - No i chciałem się chwilę pochylić nad aktorami i nad postaciami, które są wprowadzone, bo
1359:  BFP - Zacznę może jednak od tytułowego bohatera, czyli Lokiego.
1365:  BFP - To, co robi Tom Hiddleston.
1367:  BFP - No powiedz, powiedz.
1368:  BFP - Miałem tylko powiedzieć kontrowersyjny wybór.
1373:  BFP - Dlaczego kontrowersyjny wybór?
1374:  KMM - No przecież zaadresujmy słonia w pokoju.
1378:  KMM - Połowa fandomu grzmi i krytyków, że przecież to jest skandal, że Loki to nie jest tylko i wyłącznie Tom Hiddleston, gdy tymczasem to jest jedno z najlepszych moim zdaniem założeń tego całego serialu.
1389:  KMM - To znaczy bardzo dużo ludzi ma pretensje do tego, że się pojawia żeńska wersja Lokiego i zabawne jest to, że nie do interpretacji.
1395:  S00 - Naprawdę?
1395:  KMM - Naprawdę.
1396:  KMM - I zabawne jest to, że nie dointerpretowują tego, że po pierwsze jest to jeden z jego wariantów, a po drugie, że ta postać ma absolutnie fundamentalne znaczenie dla wewnętrznej przemiany Lockiego.
1406:  KMM - Tak!
1406:  BFP - Czyli jeżeli jest coś, co mogło poruszyć Lockiego,
1410:  BFP - w takiej postaci, jakiej go dostajemy w serialu, to jest właśnie żeńska odmiana Lokiego.
1416:  BFP - Tak, on sam, jego anima, anima jego animusa.
1420:  BFP - Chciałem się zatrzymać, bo tak, Tom Hiddleston jest, to co powiem jest mocne, ale długo nad tym myślałem.
1428:  BFP - Długo nad tym myślałem i wydaje mi się, że Tom Hiddleston jest być może największym talentem aktorskim, jakim dysponuje w tym momencie Marvel Studios, obok innego brytyjskiego aktora, jakim jest Benedict Cumberbatch.
1441:  BFP - I uważam, z całym szacunkiem do wszystkich pozostałych innych aktorów, w tym Chrisa Hemswortha, który pojawił się razem z Tomem Hiddlestonem przecież w jednym i pierwszym filmie, który zaczął historię Thora w 2011 roku, krytycy nie mieli wątpliwości, że Tom Hiddleston go przyćmiewa swoim talentem.
1461:  BFP - Dostał ciekawszą postać oczywiście, ale po prostu go przyćmiewa nawet jeżeli ma mniej czasu ekranowego.
1467:  BFP - Teraz, 10 lat później, Tom Hiddleston po prostu błyszczy, mogąc rozwinąć skrzydła grając postać, która dostaje znacznie większy wachlarz emocjonalny i znacznie większą głębię psychologiczną dzięki temu serialowi.
1484:  BFP - I to co robi Tom Hiddleston jest
1487:  BFP - No naprawdę, zrobiło na mnie wrażenie Elizabeth Olsen, która grała Wanda.
1493:  BFP - I ona również dostała postać, która nagle została ciekawie pogłębiona, poszerzona, jeżeli chodzi o spektrum emocjonalne.
1500:  BFP - To robiło wrażenie w WandaVision.
1503:  BFP - Ale Tom Hiddleston to Tom Hiddleston.
1505:  BFP - Tyle mogę powiedzieć.
1506:  BFP - To jest maestria.
1507:  BFP - Jego gra aktorska jest maestrią.
1509:  BFP - I to nie byłaby maestria, gdyby nie dostał tak dobrego scenariusza.
1513:  BFP - Uważam, że Wanda nie dostaje tak dobrego scenariusza, jaki dostaje postać Lokiego i Tom Hiddleston.
1521:  BFP - Bo przypomnijmy, że widzimy taką wersję Lokiego, której zresetowano
1530:  BFP - ogromną część jego łuku postaci, budowaną przez ostatnie 10 lat.
1535:  BFP - Czyli tego, który był w Avengersach i nagle używa kamienia, ląduje gdzie indziej i dzięki temu nie przeżył wszystkiego, co przeżył w Thorze 2, w Thorze Ragnarok, potem w Infinity War, czyli jeszcze kilku produkcjach, gdzie rzeczywiście ta postać troszeczkę się zmienia, przede wszystkim w relacji z jego bratem.
1554:  BFP - No i co się dzieje?
1556:  BFP - Mamy Lokiego, który zachowuje te swoje najbardziej specyficzne cechy charakteru.
1563:  BFP - Pewną taką psotność, bo to jest Bóg psot, nie zapominajmy.
1567:  BFP - Jego przekorność, jego niezwykłą charyzmę, ale też taką złośliwość.
1573:  BFP - ale bardzo szybko udaje się przyspieszyć jego ewolucję.
1576:  BFP - Właśnie dzięki temu pierwszemu odcinkowi i skonfrontowanie go z wizją przyszłości, która się wydarzyła, ale także z doskonałym Mobiusem, którego gra Owen Wilson.
1586:  BFP - Wybitnym.
