Czy zadania domowe znikną ze szkoły? | Krzysztof M. Maj
🔗 https://www.youtube.com/watch?v=iEc46kOIsAg
KMM (Krzysztof M. Maj)
SP (Szymon Pękala, Szymon Mówi, Wojna Idei)

0:  SP - Hej, dziś ponownie rozmawiamy z Krzysztofem Majem na temat edukacji w Polsce.
237:  KMM - I zadania domowe ewoluowały w tym kierunku, w którym ewoluowały.
241:  KMM - Co więcej, również wbrew prawu oświatowemu z tego względu, że w nim, i to było moje odkrycie, że przed dwóch lat i właśnie dzięki Stowarzyszeniu Marłych Statutów jest jak byk,
253:  KMM - że zadanie domowe ma owocować feedbackiem, oceną opisową, czymś, komentarzem krótko mówiąc, co zrobiłeś źle, co zrobiłeś dobrze, jak nad tym pracować.
262:  KMM - Pedagogika nazywa to metodą zielonego długopisu.
265:  KMM - To zrobiłeś okej, to zrobiłeś okej, to zrobiłeś okej, a tutaj można było popracować nad tym, nad tym można było popracować.
269:  KMM - Wiesz, to jest, mogą być to dwa zdania, nikt nie każe nauczycielowi pisać strony A4, ale wiesz.
274:  KMM - W momencie, w którym masz tego typu ocenę, automatycznie redukuje się liczba zadań, bo żaden nauczyciel nie będzie mieć czasu na to.
280:  KMM - Więc jeśli mamy mniej czasu, idziemy w jakość.
285:  KMM - To jest podstawowa rzecz, do której służy chociażby technologia.
288:  KMM - Technologia służy do tego, żeby oszczędzać nam czas i żebyśmy mogli bardziej efektywnie wykorzystywać różne rzeczy, bo ludzki umysł do tego dąży.
296:  KMM - Wszyscy do tego dążymy, żeby mieć mniej roboty i efektywniej pracować.
300:  KMM - Więc istnieje wtedy, tak ustawodawca myślał w latach 90. jeszcze, że istnieje szansa, że nauczyciele będą zadawać zadania mądrze i lepiej, że będą właśnie one projektami, później będzie jakaś informacja zwrotna dla ucznia i dla rodzica, nad czym należy popracować.
315:  KMM - No ale wiesz, w sytuacji, w której mamy do czynienia z inflacją ocen cyfrowych, gdzie zadania domowe to jest po prostu kolejna kolumna w dzienniku,
324:  KMM - No to nie spełnia to po prostu swojej funkcji.
326:  KMM - Poza tym, że uczy ludzi jednej rzeczy.
329:  KMM - Żeby mieć dobrze zadanie domowe zrobione, muszę odpisać, dać go repetytorowi, ściągnąć z internetu, no bo w przeciwnym wypadku dostanę złą ocenę.
339:  KMM - A tymczasem nie jest kształtowane podejście, żeby zrobić dobre zadanie domowe, muszę być na bieżąco z geografii, być na bieżąco z historii i jeszcze z matematyki, żeby dowieźć odpowiednio ten projekt, który będzie zrobiony, co nawiasem mówiąc także uczy nas samodzielności, organizacji czasu, pracy i jeszcze do tego wszystkiego przygotowuję do pracy później na rynku, gdzie w większości firm w ten sposób będziemy działać.
362:  KMM - I niestety bardzo dużo ludzi, też z którymi rozmawiam przez wzgląd na moją pracę na uczelni, mówi, no Krzysztof, główny nasz problem nie polega na tym, że człowiek czegoś nie wie.
372:  KMM - Nasz problem polega na tym, że jeżeli nie dostanie on pat, pat po główce, ślicznie Piotrusiu zrobiłeś, albo nie dostanie nagany, to nie będzie wiedział, co ma zrobić.
380:  KMM - I to jest właśnie też efekt tego, że każde zadanie, które jest w ten sposób zadawane, generuje nam taki prosty algorytm.
386:  KMM - Okej, muszę poczekać, aż ktoś mi je sprawdzi.
390:  KMM - Czyli wiesz, znowu jest to niesamodzielne.
392:  KMM - Więc przeciwko takim zadaniom domowym się opowiadam.
395:  KMM - Moja obawa jest taka, że ministerstwo nie myśli w ten sposób, mówiąc zlikwidujmy zadania domowe.
401:  SP - Ja tak skomentuję nieco, ponieważ to, co mówiłeś o nauczycielach, którzy raczej są przeciwni znoszeniu prac domowych, to ja tak docytuję, bo niedawno się pojawiły takie informacje, Rzecznik Praw Obywatela cytował, że większość nauczycieli, znaczy 68%, popiera ograniczenie prac domowych, ale tylko 8% ich całkowitą likwidację i też chcieliby, żeby najpierw zaszły
426:  SP - zmiany w programie nauczania, prawda, ograniczenie go, a dopiero potem jakikolwiek ten, no bo ta dynamika, którą ty opisałeś na początku, że nie zdążyliśmy czegoś zrobić na lekcji, więc musicie zrobić sobie to samodzielnie, no to ja myślę, ja się tutaj całkowicie zgadzam, że to jest jakaś patologiczna dynamika, która nie idzie za tym żadne głębsze zrozumienie, tylko właśnie na przykład to przepisywanie z podręcznika czy coś takiego.
447:  SP - Natomiast też ja też tak bym dopytał, bo kiedy mówimy, że jesteśmy przeciwko zadaniom domowym, które marnotrawią czas i pieniądze, no to podejrzewam, że absolutnie wszyscy się pod tym podpiszą, nie?
457:  SP - Natomiast jakbyśmy wchodzili w szczegóły, no to już myślę, że mogą tu się zacząć pojawiać pewne pytania, bo na przykład taką rzeczą, która często się pojawia jako uwaga do tego typu pytania, co na przykład z lekturami?
469:  SP - albo z uczeniem się wierszyków, bo to jest taka rzecz, która powraca po prostu w tym temacie, nie?
475:  SP - I nie wiem, Krzysztofie, jak byś ty w ogóle odpowiedział na takie?
477:  S00 - Moja działeczka to, więc ja z radością odpowiadam.
480:  KMM - Sprawdziłem ostatnio na potrzeby odcinka, który robiłem o lekturach szkolnych, gdzie faktycznie jest tak, że są te lektury zadawane i sprawdziłem w dwóch źródłach, tzn.
488:  KMM - po pierwsze w oficjalnych komunikatach prasowych i w reportażach dotyczących konkretnie tego, jak nauczyciele radzą sobie,
495:  KMM - z tym problemem za granicą.
497:  KMM - No i jeszcze przeczesałem Reddita i zobaczyłem, jak ludzie sami mówią o tym, jak się dzieje w Holandii, we Francji, itd., itd.
502:  KMM - Więc smutna prawda jest taka, że lektury wedle tego, przynajmniej co mi się udało stwierdzić, są na 1000% zadawane na podstawie list układanych przez ministerstwo, więc upolitycznionych,
513:  KMM - W takich krajach jak Polska, Białoruś, Rosja i Węgry.
516:  KMM - Natomiast w pozostałych krajach świata, wliczając to Stany Zjednoczone, po prostu takie zjawisko jest nieznane.
522:  KMM - Idea jest taka, najczęściej, znowu, jeżeli ktoś chce więcej, to odsyłam do tego materiału, bo staram się to dokumentować, że nauczyciele co roku starają się albo z uczniami, albo z rodzicami, albo sami w swoim kręgu stwierdzić, okej, jakie są teraz najważniejsze książki, którymi można byłoby zainteresować ludzi,
542:  KMM - Czytaniem, komunikacją, bo to ma kształcić język polski.
546:  KMM - Ja kończyłem kurs historii literatury, nie jest mi obcy kategoria kanonu i tego, że co trzeba znać, jeżeli się jest historykiem literatury.
554:  KMM - Ale my nie kształcimy historyków literatury.
556:  KMM - Może 5% tych uczniów będzie historykami literatury, więc wiesz...
561:  KMM - Jakiś korpus tekstów jest, no.
563:  KMM - Jakiś korpus tekstów jest na pewno ważny.
565:  KMM - W Wielkiej Brytanii nikt nie będzie mówił, że nie należy czytać Szekspira, no bo to jest skarb narodowej literatury.
571:  KMM - Tak samo we Włoszech nikt sobie nie wyobraża lekcji literatury bez Dante Alighieriego.
577:  KMM - No i u nas, przypuszczam, nikt by sobie nie wyobrażał... No i właśnie, zadajmy sobie pytanie, bez jakiego jednego pisarza nie wyobrażamy sobie Polaka jako obywatela?
587:  KMM - I ta lektura zostaje, natomiast cała reszta jest dobierana indywidualnie i w zależności, wiesz, od tego, czego chcemy uczyć na bieżąco.
594:  KMM - I wtedy przestajesz też ograniczać nauczycieli tym, że jest jakaś lista tematów do poruszenia.
600:  KMM - Ola Korczak, która jest zresztą też nauczycielką roku, z tego, co pamiętam, była nagradzana jako warszawska polonistka,
607:  KMM - Miała taki świetny tekst, w OKO.press, tam się rzadko zdarzały świetne teksty, w każdym razie miała świetny tekst na temat tego, że lista lektur powinna być listą problemów do poruszania, ale nie tematów, wiesz, bo jak będzie to lista tematów, to temat zawsze możesz łatwo upolitycznić, a jeżeli to będzie jakiś problem, to wtedy możesz zrobić to lepiej.
625:  KMM - No i wiesz, przechodząc do tego, o co zadałeś pytanie, bo musiałem zrobić ten dopisek,
630:  KMM - Jeżeli w ten sposób poruszasz te aspekty, no to wtedy nie musisz nic zadawać ludziom z tego względu, że jeśli z nimi ustalisz, czym oni się interesują i na podstawie czego chcą jakiś problem przeanalizować, to będą chętniej sami do tego sięgać, bo tu chodzi o wykształcenie nawyku sięgnięcia po książkę, sięgnięcia do filmu, obejrzenia serialu i krytycznego spojrzenia na to, a nie tylko wiesz, biernego przyswajania jak TikToka.
655:  SP - Jasne.
657:  SP - Ale wiesz, ja nie jestem nauczycielem, ale jednak trochę pesymistycznie widziałbym założenie, że nawet te dwadzieścia parę osób, prawda, uda się organicznie zainteresować tym tematem, nawet jeżeli coś zostanie wspólnie ustalone, prawda?
672:  SP - To znaczy mam trochę sceptycyzm co do tego, czy ci ludzie faktycznie, w sensie być może chętniej niż teraz, to okej, jasne, prawda, ale nadal obawiam się, że...
683:  SP - potrzebne, nie wiem czy potrzebne, ale nie widzę za bardzo innej opcji niż jakaś forma założenia, że ci ludzie zrobią przy swoim dane dzieło, czy to nieważne, czy to będzie książka, czy coś innego w czasie wolnym i będzie to w jakiś sposób egzekwowana znajomość tego dzieła.
701:  SP - W sensie nie bardzo widzę jak jest, w sensie nawet jeżeli będziemy to bardziej po ludzku robić tak jak przedstawiłeś, to nadal wydaje mi się, że będzie, że wiele osób
713:  SP - nie zrobi tego, że tak się wyrażę, własnej, nieprzymuszonej woli.
716:  KMM - To prawda.
717:  KMM - Przy czym w tym momencie rynek już zweryfikował tę wątpliwość w tym sensie, że mamy dostępne opracowania lektur, na podstawie których jesteś w stanie zdać lepiej maturę niż jak przeczytasz książkę i ludzie to robią.
727:  KMM - Więc my się wszyscy oszukujemy, że tak naprawdę te listy lektur są przyswajane.
732:  KMM - Ja jestem w stanie postawić duże pieniądze na to, że czytają te lektury faktycznie ludzie, którzy by i tak je czytali.
738:  KMM - Natomiast opracowania czyta cała reszta, czyli ta, która i tak nie czyta.
741:  S00 - Więc...
743:  KMM - To jest możliwe oczywiście, natomiast patrzę na to, jakie są opracowania na rynku, jak wyglądają pytania maturalne, jak wyglądają pytania egzaminacyjne.
751:  KMM - To nie są pytania problemowe, które wymagają kreatywnego myślenia, tylko to są właśnie pytania z treści, żeby sprawdzić, czy ktoś przeczytał te testy z czytania ze zrozumieniem, klasyka niestety gatunku od lat 90. w górę.
763:  KMM - No cały czas wirują wokół tego fantazmatu, że ludzie nie rozumieją przyswajanego tekstu, a nie, że źle zadajemy pytania.
771:  KMM - To, że ludzie źle rozumieją przyswajany tekst jest skutkiem takiego nauczania właśnie niestety bardzo często.
777:  KMM - I wiesz, mogę cały czas powtarzać, że
781:  KMM - Kształcenie kompetencji językowych i komunikacyjnych jest ważniejsze niż znajomość tekstu, ponieważ znajomość tekstu i jego treści nie jest cnotą samą w sobie.
789:  KMM - Rozumienie tego tekstu, natomiast wyciąganie wniosków krytycznych jest.
794:  KMM - Zresztą dobrze wiesz, sam robisz wideoeseje na YouTubie, które są problemowe, które poruszają problemy, wyciągasz je z kultury współczesnej.
803:  KMM - To jest rzecz, do której niezdolny jest bardzo często człowiek, którego nauczono interpretowania tylko tekstu pisanego,
810:  KMM - I jest przyzwyczajony do tego, że jak patrzy na obrazki zmieniające się, no to jedyne, co umie zrobić potem, to streścić.
816:  KMM - Dlaczego?
817:  KMM - No ponieważ uczymy planu wydarzeń.
818:  KMM - A czemu uczymy pisać plany wydarzeń?
820:  KMM - Ponieważ zależy nam na tym, żeby uczniowie zapamiętywali treść.
823:  KMM - Ale wiesz, już spojrzenie chociażby na to, jak jest prowadzona narracja, no to jest coś innego, tak?
829:  KMM - I to zupełnie inaczej ci też kształtuje myślenie o kulturze i literaturze.
833:  KMM - Więc ja jestem jednak gorącym zwolennikiem tego, żeby...
837:  KMM - wyciągać maksimum treści i zawartości merytorycznej, nawet z najbardziej płochej narracji, z najbardziej pogardzanego medium, ponieważ interpretacja, jej sztuka polega na tym, że jesteśmy zawsze w stanie coś interesującego wyciągnąć.
850:  KMM - Więc jeżeli ludzie się czymś interesują i na przykład było głośne to, że się dzieciaki ustawiały w długich kolejkach na targach książki po rodzinę Monet, świetnie, bierzemy to na warsztat i przyglądamy się, co jesteśmy w stanie z tego wyciągnąć, co jest już w programie,
864:  KMM - pisane w minimach programowych ustawionych przez ministerstwo.
867:  KMM - I w ten sposób właśnie masz to podejście problemowe i no i możesz realizować edukację literaturoznawczą czy językoznawczą w taki sposób, jaki jest realizowany jednak w wysoko rozwiniętych krajach świata, no bo zgodzimy się, że jednak wolimy w stronę zachodnią iść niż w stronę wschodnią.
883:  KMM - Dla mnie ten zamordyzm polityczny, który się wiąże z listą elektryczną jest wyjątkowo obrzydliwy i żenuje mnie to, że jak wiesz w
890:  KMM - zaczynają rządzić liberałowie, to wchodzi więcej Gombrowicza na listę elektor, albo Olgi Tokarczuk, a jak przestają rządzić liberałowie, to wchodzi więcej Jana Pawła II, który pomijając to, że był ważną postacią dla wielu środowisk i dla rozwoju cywilizacji, to mimo wszystko nie był dobrym pisarzem, to mogę jako literaturoznawca autorytatywnie powiedzieć.
909:  KMM - Natomiast to niestety jest wpisywane na tę listę, dlatego że porusza wtedy tematy, które są ważne i istotne dla jakiegoś środowiska politycznego, które rządzi, więc to jest, wiesz,
919:  KMM - Robienie sobie wilczego dołu, w który sami później nieustannie wpadamy.
923:  KMM - I jasne, że może się wydawać radykalne powiedzenie, tak, znieśmy listę lektur.
927:  KMM - Ja nie mówię, żebyśmy znieśli znowu listę lektur, tak samo jak nie mówię o likwidacji radykalnej zadań domowych, tylko mówię o tym, że trzeba zrobić to sensownie i rozsądnie, tak jak to już zostało przetestowane.
937:  KMM - A jeśli zostało przetestowane za granicą, to wcale to nie jest dostateczny argument.
942:  KMM - Metoda naukowa mówi, okej, zróbmy taki eksperyment w Polsce.
945:  KMM - I wiesz, eksperymenty z wycofywaniem zadań domowych, o czym jeszcze powiemy, są już w Polsce przeprowadzane i nikt nie umarł.
952:  KMM - Tak samo jak były eksperymenty z edukacją domową i jak okazało się, że ludzie w edukacji domowej zdali maturę, nikt nie umarł.
957:  KMM - Proponuję, żeby również zrobić tego rodzaju eksperymenty, żeby właśnie uczyć myślenia problemowego o literaturze i kulturze w miejsce, wiesz, takiego recytowania cały czas tematów maturalnych.
968:  KMM - Ale właśnie to, to jest ta rzecz, którą może zrobić ministerstwo.
971:  KMM - To zatem ministerstwo może zmienić to, w jaki sposób są komunikowane minima programowe, na przykład w postaci listy problemów egzaminacyjnych, które pojawiały się na maturze z polskiego.
981:  KMM - Nie listy tematów, nie listy lektur, listy problemów.
984:  KMM - Na przykład musisz umieć rozróżnić narratora pierwszoosobowego od narratora trzecioosobowego.
989:  KMM - Jak to zrobisz, gdzie się tego nauczysz, czy nauczysz się tego grając w Stalnej Parabu, czy nauczysz się tego czytając Jamesa Joyce'a, jest obojętne.
996:  KMM - Ważne, żeby człowiek rozumiał problem i umiał taki utwór napisać, albo w gamedevie będąc zatrudnionym, poradził sobie z poprowadzeniem takiej narracji.
1005:  SP - Trochę oddryfowaliśmy od tego, ale okej, to też jest bardzo ciekawy temat.
1011:  SP - Ja jestem też generalnie zwolennikiem takiego podejścia, że można pozwolić poeksperymentować w pewnych tego typu dziedzinach i potem naturalnie się odławiają te lepsze i gorsze pomysły.
1022:  SP - Natomiast w temacie lektur i zadawania lektur i potem rozliczania z tych lektur, ja to tak poruszałem bardziej w temacie tego, że to jest pewien praktyczny przypadek, jak podchodzić na przykład do takich pomysłów, jak nie ocenia się rzeczy zadawanych do domu, ale jeśli do domu zadajemy zapoznanie się z jakimś dziełem,
1041:  SP - to jak możemy ocenić, czy dana osoba zapoznała się z danym dziełem.
1046:  SP - Natomiast być może zanim przejdziemy jeszcze do tego, gdzie takie rozwiązania działają już, to ja chciałbym odrobinę jeszcze podrążyć, ponieważ też tam zwrócono mi nawet uwagę ostatnio na takie tematy w temacie zadań domowych, jak to, że pewne kwestie
1064:  SP - których uczymy się w szkole, trzeba przyswoić poprzez wypracowanie w nich praktyki.
1069:  SP - I ja nie znam innego sposobu.
1071:  SP - Na przykład niektóre zadania z matematyki przyswajamy w taki sposób, że trzeba ich zrobić kilkadziesiąt.
1079:  SP - I po prostu nawet gdy poznasz zasadę na lekcji, to musisz to przećwiczyć później i też ciężko sobie wyobrażać,
1087:  SP - gdzie można to robić inaczej niż w domu, w takim wymiarze, który jest potrzebny do przyswojenia tego.
1093:  SP - Podobnie jest z czasownikami nieregularnymi na przykład, które trzeba po prostu zapamiętać.
1100:  SP - Podobnie jest w ogóle nawet z nauką pisania w bardzo wczesnych klasach.
1104:  SP - Jest to raczej coś, co...
1107:  SP - Ciężko mi sobie wyobrazić na ten moment realizowanie tego w całości na lekcji i nie wierzę, że jeżeli tylko wytłumaczymy dzieciom, że to jest ważne, to one same z nieprzymuszonego przyjemności zajmą się tym w czasie wolnym.
1127:  SP - I czy w takim ujęciu to są na przykład, że te rzeczy, no to okej, te rzeczy muszą zostać w takim razie, jeżeli nie mamy lepszego pomysłu, czy może jest jakiś alternatywny, twoim zdaniem, pomysł?
1137:  KMM - No wiesz, ja myślę, że dobrym miejscem do tego, żeby się uczyć jest instytucja, na którą ułożymy ciężkie pieniądze, żeby się ludzi tam uczyło.
1144:  KMM - Problem Polski polega na tym, że my tę instytucję, czyli szkołę zaprojektowaliśmy jak uniwersytet, że masz wykłady i masz laborki.
1150:  KMM - Laborki są w domu.
1151:  KMM - Tak.
1151:  KMM - a wykłady są w szkole.
1153:  KMM - I wiesz, w tej sytuacji jest rzeczywiście problem, o którym mówisz, bardzo wyraźny.
1156:  KMM - To znaczy, jeżeli nie ćwiczymy na lekcji bezpośrednio, zwłaszcza to widać na matematyce, no to są problemy.
1162:  KMM - Ja specjalnie korzystałem z tej książki Nowa Szkoła Anny Schult właśnie dlatego, że ona jest matematyczką i nie zadaje zadań domowych.
1169:  KMM - I ona ma taką metodę, którą opisuję w tej książce,
1171:  KMM - A mianowicie ma takie duże stoły, wiesz, przy których siedzi sobie, nie wiem, 6 osób, 8 osób, więc od razu już widzę praca grupowa i przerażone oczy.
1180:  KMM - No tak, bo praca grupowa jest źle realizowana w polskich szkołach, znaczy jest realizowana przez jedną osobę, która jest tym debilem, który robi za wszystkich.
1186:  KMM - A tymczasem tutaj jest metoda taka, że jest właśnie jakieś zadanie do wyćwiczenia i ludzie ćwiczą zadania, rozwiązują je i teraz równocześnie interweniuje nauczyciel jako mentor, ale równocześnie uczniowie uczą siebie nawzajem.
1199:  KMM - Oczywiście to jest w liceum.
1201:  KMM - Natomiast w podstawówce, na etapach wczesnych, najlepszą metodą pedagogiczną, znowu co do tego zgodni chyba wszyscy pedagogowie, których znam, od Marii Montessori w górę, jest zabawa.
1213:  KMM - Znaczy, to jest najskuteczniejsza metoda nauki, jaką wymyśliliśmy kiedykolwiek.
1217:  KMM - Ja pamiętam chociażby, że mieliśmy zeszyty ze szlaczkami do robienia.
1221:  KMM - Ludzie to smarowali z radością, bez żadnego problemu, albo jak były prace techniczne i ćwiczenia pisma kaligraficznego, myśmy to robili na zajęciach.
1229:  KMM - Nikt nam nie zadawał pisma technicznego do domu, po prostu było zblokowane 45 minut i 45 minut z przerwą pomiędzy, to były nasze ulubione zajęcia, ponieważ właśnie ludzie lubią bardzo często te prace manualne i można to fajnie wyćwiczyć.
1243:  KMM - Jeżeli chodzi o czytanie,
1245:  KMM - Czytanie na głos na lekcji.
1247:  KMM - A już parę osób mi napisało zresztą w komentarzach, jak o tym mówiłem, że to jest straszne i przerażające.
1252:  KMM - A co jeżeli ktoś się na przykład jąka?
1254:  KMM - No ale jeżeli uczymy się języka angielskiego, to nie oceniamy, czy ktoś się jąka, tylko oceniamy, jak czyta, czy czyta poprawnie, akcentuje i tak dalej, i tak dalej.
1265:  KMM - Więc to też jest dobre, żebyśmy robili to częściej na lekcjach języka polskiego, ponieważ to o to chodzi, żeby go wyćwiczyć.
1272:  KMM - Więc myślę, że przesunięcie tych wszystkich zadań, które są teraz przerzucane na korepetytorów i rodziców i na sztuczną inteligencję teraz jeszcze w większym stopniu do szkoły jest tylko dobrym pomysłem, bo wiesz, możemy ten cały aparat teoretyczny maksymalnie przenieść w sieć,
1291:  KMM - dawać ludziom podcasty krótkie do posłuchania, dawać ludziom dużo materiałów, na których mogą pracować od najwcześniejszych lat.
1299:  KMM - I ja też jestem bardzo sceptyczny wobec tezy, że na przykład 6-7-latek nie byłby tym zainteresowany, ponieważ ja byłem tym 6-7-latkiem, który sięgał na półkę i czytał Atlas z dinożarłami, bo go to interesowało i wiedział o tych dinożarłach absolutnie wszystko.
1313:  KMM - Więc myślę, że jeżeli to się odpowiednio zgadza,
1316:  KMM - zgamifikuje i zrobi się z tego zabawę, to na wszystkich przedmiotach jesteśmy w stanie to zrobić, nawet na matematyce, która brzmi groźnie, a twoją drogą to jest ciekawe, że akurat matematykę poruszyłeś, bo świeżo dzisiaj czytałem statystykę, że 90% ludzi boi się matematyki, nawet jestem w stanie szybko sprawdzić, jakie to było źródło, bo jeśli mnie pamięć nie myli, to było
1336:  KMM - Na stronie nie dla chaosu w szkole.
1338:  KMM - I ta liczba ludzi, którzy się boją matematyki, tak, co czwarty uczeń tak boi się porażki z matematyki, że nawet nie próbuje rozwiązać zadania.
1346:  KMM - To jest ogólnopolskie badanie postrzegania matematyki na edukacja.rp.pl.
1350:  KMM - Przeraziło mnie to absolutnie, bo wiesz, bo to znowu pokazuje, że mamy kolejne dane mówiące o tym, że aktualny system nie działa.
1357:  KMM - Tak.
1358:  KMM - I myślę, że przynajmniej powinniśmy zrobić jakiś forum z pedagogami, którzy się tym zajmują, z neurodydaktykami zwłaszcza, którzy będą wiedzieli, jak działa mózg dziecka, które ma z jednej strony XIX-wieczny dryl w szkole, a z drugiej strony XXI-wieczne algorytmy,
1378:  KMM - retencyjne, które przykuwają uwagę, których nie umieją kontrolować i które pasożytują na wszystkich mechanizmach hazardowych, od FOMO poczynając, a skończywszy na zwykłej ludzkiej ciekawości tego, co będzie w następnym TikToku.
1391:  KMM - I że jeszcze domknę to, myślę, że to, co robią też edukatorzy,
1396:  KMM - tłumaczący w 30 sekundowych Tik Tokach jak rozwiązać zadanie domowe fajnie i inteligentnie, to też jest dobre rozwiązanie i też pokazuje jak można to efektywnie i szybko zrobić, zwłaszcza na dużą skalę, bo nauczyciele często się boją tych rozwiązań, że one są kiepsko skalowalne na 30 osób.
1410:  KMM - Na przykład Anna Szulc, dlatego to mnie było interesujące jako rozmówczyni, pracuje z klasą 40 osobową w ten sposób, więc
1418:  KMM - Przy dobrej organizacji, nawet powiedziałbym przy wybitnej organizacji, da się to zrobić, ale wiesz, nauczyciele też muszą mieć wsparcie od ministerstwa i od centrów szkolenia i doskonalenia umiejętności pedagogicznych, żeby po prostu znali te metody, bo bardzo często znają tylko wykład.
1433:  SP - Wiesz co, ta uwaga, żeby maksymalnie ten czas przenosić do szkoły, nie?
1439:  SP - W sensie, ja myślę, że to jest bardzo ciekawa perspektywa.
1442:  SP - Przyznam, że nie wiem, czy to by dało się mimo wszystko zrobić w całości.
1448:  SP - Mówię, jestem otwarty na to, ale trzeba by to dobrze przeliczyć.
