THE LAST OF US odc. 4 | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=uodZ_r5yHTQ
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)
TN (Tomasz Nowakowski, Ubieram Się na Czarno)
KMM (Krzysztof M. Maj)

10:  BFP - Mili, witajcie na naszym wieczornym omówieniu i analizie live odcinka The Last of Us.
202:  TN - Odnośnie tej przemocy, to ja chciałbym powiedzieć, że ja mam wrażenie, że to jest świadomy wybór twórców tego, że jest brak tej przemocy, ponieważ była scena, w której Joel podcina gardło nożem i akurat to właśnie nie zostało pokazane, więc wydaje mi się, że to po prostu zostało świadomie przez twórców w ten sposób nie pokazane.
222:  TN - Nie wiadomo, czy podeszło mu gardło, może wbił mu w serduszko.
224:  TN - Tak, dokładnie, nie wiadomo.
226:  TN - Jeżeli chodzi o moje jakieś wrażenie, no to ja uważam, że takie odcinki, które mają 45 minut na HBO powinny być nielegalne i zdecydowanie jestem fanem tych dłuższych.
238:  TN - No i ten odcinek był właśnie takim odwróceniem tego poprzedniego odcinka, pomimo tego, że właśnie był krótszy, to również byliśmy tutaj skupieni na relacji Joella z Ellie, ale również ten trzeci odcinek odbił się echem w tym odcinku, ponieważ widzieliśmy sceny
256:  TN - w których te zapasy, które zdobyli w domu Franka i Billa, oni zużywają.
264:  TN - Widzieliśmy kawę czy chociażby ravioli, które konsumują w trakcie podróży.
270:  TN - No i moim zdaniem ten odcinek był najsłabszy z tych wszystkich czterech odcinków, aczkolwiek nadal jest to bardzo dobry odcinek.
279:  S04 - Mhm.
280:  BFP - Ja szybko już oddając głos Krzysztofowi, żeby nie było niedomówień.
283:  BFP - Adrian zapytał, czy będzie w piątek omówienie, bo piątek odcinek ma być przyspieszony.
286:  BFP - Nie, omówienie będziemy robili tradycyjnie w poniedziałek wieczorem.
290:  BFP - Recenzja ukaże się wcześniej, czyli w sobotę, ale omówienie będzie w poniedziałek.
293:  BFP - Krzysztof, Twoje impresje po odcinku czwartym.
295:  KMM - Teraz dopiero będzie bez schematu, bo ja się muszę z wszystkim nie zgodzić, co teraz, co teraz zrobimy.
301:  KMM - Za mało było wszystkiego dla mnie w tym odcinku, przede wszystkim za mało czasu, to od razu powiem, że w momencie, w którym się pojawiły napisy, ja miałem tak, nie, nie, nie, nie, nie wolno.
312:  KMM - Byłem wściekły absolutnie, to się niż rzadko zdarza.
315:  KMM - Druga rzecz, która mnie bardzo zdenerwowała, to fakt, że...
318:  KMM - odcinku, który był przestojem.
319:  KMM - Zaakceptowałem fakt, że to jest taki moment refleksyjny.
323:  KMM - Dostałem następny odcinek refleksyjny.
326:  KMM - Jasne, było tutaj wiele więcej humoru i ten humor jest jego najpiękniejszą częścią i o tym będę sporo mówił, ale za dużo było jednak tej refleksyjności.
334:  KMM - Jasne, mieliśmy jedną scenę, nazwijmy ją wspaniałomyślnie batalistyczną,
339:  KMM - Ale co zresztą Filip też punktował w recenzji, no zdecydowanie mniej tego jest w zestawieniu z grą i jak dla mnie, znowu dla widza, który cały czas ocenia tempo akcji, to był właśnie ten moment, kiedy powinniśmy mieć naparzankę, tak?
351:  KMM - Mieliśmy wcześniej okrutne sceny walki z zainfekowanymi.
355:  KMM - Ja chciałem takie same okrutne sceny walki teraz z ludźmi, żebym zobaczył rzeczywiście ten dramat świata.
360:  KMM - No to przepraszam, że złośliwie mówiąc, wystarczy teraz do dowolnej gorszej dzielnicy w stadach pojechać, żeby oberwać kulku od dwóch złoli i powymieniać się ogniem przez chwileczkę.
370:  KMM - Nie trzeba do tego postapokalipsy i zębiaków.
374:  KMM - Wystarczy w Stanach, Jezus, tak, wystarczy w Stanach chodzić do szkoły.
377:  KMM - Tutaj jak zawsze powinienem zrobić długo dygresji na temat tego, że ludzie mówią o dostępie do droni palnej.
382:  KMM - Ja wtedy mówię, tak, zsumujcie to teraz w realiach polskich z polską szkołą, która ma swoje problemy niezależnie.
387:  BFP - Ale będzie nieba.
388:  KMM - I jeżeli chodzi o Stany, to no spodziewam się, że byłoby troszeczkę brutalnie jednak w tej konkretnej sytuacji i wedle recenzji Filipa tak faktycznie w grze jest, w związku z powyższym ja nie kupuję tej sceny, która tam była na początku.
401:  KMM - I nie mam najmniejszego problemu również z tym, dlaczego nie natrafili na zombiaki z deszczu pod rynne, tak?
406:  KMM - Powinno to było być.
407:  KMM - I myślę, żeby było, gdyby nie fakt, że zdecydowano się na wulgarny, obrzydliwy, odrażający bardziej niż pocałunek z zombiakiem cliffhanger na koniec.
415:  KMM - Nie znoszę cliffhangerów!
417:  KMM - To jest stary zabieg, Artur Conan Doyle to zrobił raz w życiu i wystarczy.
422:  TN - Ale na szczęście może właśnie warto powiedzieć o tym, że ten najbliższy odcinek będzie już w sobotę w Polsce i że ten cliffhanger się już dosyć szybko wyjaśnił.
429:  BFP - Krzysztof nie lubiłby Lost, to na pewno.
432:  KMM - Jezu, nie, ja odpadłem od Lostu.
434:  KMM - Właśnie, jeszcze jedna rzecz, to był najbardziej Walking Deadowy odcinek The Last of Us.
438:  KMM - Ale nie było zębiaków.
440:  BFP - Ja się zgodzę, że to jest najsłabszy z dotychczasowych odcinków The Last of Us dla mnie.
446:  BFP - To jest jeden z dwóch odcinków, w którym daję ocenę 8 na 10, ale zaznaczam 8 na 10 to jest wciąż topowa.
453:  BFP - To jest jakościowa telewizja nadal.
456:  BFP - Ale, ale
460:  BFP - Znając kolejny odcinek i może Tomek się do tego przechyli, powiedziałbym ten odcinek byłby lepszy, gdyby był połączony w jeden z kolejnym.
469:  TN - Tak, tak, przychylę się do tego.
471:  TN - Ale myślę, że wszyscy zrozumieją to, jak zobaczę po prostu ten piąty odcinek.
475:  BFP - Tak, ale stanowi z nim integralną całość.
477:  BFP - Już w komentarzach widziałem bardzo wiele pytań ludzi.
480:  BFP - Kurczę, ja nie do końca rozumiem, czemu ta Kathleen ściga tego sama i Hendrzego.
485:  BFP - Ja nie do końca rozumiem.
486:  GW - Bo domyślam się, że będzie rozumiem ten bezpośredni taki payoff tego wszystkiego, co zostało teraz ustawiane.
492:  BFP - Oczywiście.
493:  BFP - Dlaczego trzęsie się ziemia, tak?
495:  BFP - Kurczę, gdyby oni zrobili
498:  BFP - z tym odcinkiem to, co zrobiono z pierwszym i gdyby łącznie było osiem odcinków, a nie dziewięć i połączyli ten czwarty z piątym, byłoby lepiej.
508:  BFP - I Krzysztof nie miałby Cliffhanger'a, tylko miałby cudowne, potężne zakończenie.
512:  KMM - Tak, moi drodzy, trzeba całą telewizję robić tak, żeby Krzysztof był zadowolony, wtedy będzie wszystko w porządku.
518:  BFP - Ale tylko dla Krzysztofa.
519:  BFP - Tak.
520:  BFP - I zauważcie, że dokładnie to zrobili właśnie w przypadku pierwszego odcinka, który był rozbity na dwa, połączyli w jeden i była to dobra decyzja.
528:  BFP - I uważam, że powinni podobnie byli postąpić z tym czwartym i piątym, ale jeszcze jedna tylko rzecz doprecyzuję.
534:  BFP - Mnie nie przeszkadza to, że
536:  BFP - Joel i Ellie walczą tylko z trzema ludzkimi przeciwnikami.
540:  BFP - To jest dla mnie super.
540:  BFP - To jest właśnie waga tego.
542:  BFP - Ktoś powiedział, o w grze przecież on zabija tam 111 łącznie łowców.
547:  BFP - Dosłownie, to jest wyliczone.
549:  BFP - 111 w grze można zabić łowców.
551:  BFP - Ale ten gościu tutaj w serialu ma 50 plus lat i nie słyszy na jedno ucho.
556:  BFP - I nie potrafi wejść na 35. piętro.
558:  BFP - I ma problem z tym, żeby wejść na 30. któreś piętro.
561:  BFP - Więc mi się to podoba, ale jedynie chciałbym więcej krwi.
565:  BFP - Chciałbym więcej krwi.
565:  BFP - Chciałbym zobaczyć, jak on się mocuje z tym gościem.
568:  BFP - W grze było tak, że po prostu on rzucał gościa na jakąś rozbitą szybę, rozcinał mu arterię.
574:  BFP - Była scena, w której układał gościa cegłą, bo widział, że chciał się dobrać do Ellie.
581:  BFP - Była przemoc wobec Ellie.
582:  BFP - To było potężne.
583:  BFP - To wyzwalało najbardziej pierwotne instynkty
585:  BFP - które są niezwykle ważne w tej historii, bo to jest także historia o pierwotnej miłości, czy pierwotnym odruchu miłości.
592:  BFP - I tego mi trochę brakuje.
594:  BFP - Chyba, że ktoś w zasadzie jeszcze chce coś dorzucić, to przechodzę do scen i przechodzenia scena po scenie.
599:  KMM - Ja jeszcze dorzucę to,
600:  KMM - Boże, same wątki, jakbyśmy patrzyli na całość narracyjnie, to zauważcie, że są bardzo rozproszone jak na razie, nie?
606:  KMM - To znaczy, mam wrażenie, że jeden rzeczywiście wątek, który spaja całość, to jest oczywiście wątek Joana, ale nawet on jest rozbity na wiele podsekcji, podczęści, więc cały czas się powstrzymuje jeszcze przed oceną całości, ale muszę jedno zaznaczyć, że na przestrzeni tych czterech odcinków
622:  KMM - Lady Mormont gra coraz lepiej i coraz bardziej jest lubialną postacią, ale ciekawy zabieg, zauważcie, to znaczy co odcinek, to inna jej emocja.
632:  KMM - Więc ci złośliwi ludzie, którzy mówili, że to jest aktorka jednej emocji, w zasadzie trochę mają racji, bo to jest aktorka jednej emocji na jeden odcinek, ale mam nadzieję, że zobaczymy w którymś momencie paletę pełną jej barw.
643:  GW - Teraz już chyba mamy trochę jednak się nie zgadzam.
647:  BFP - Zdecydowanie tak.
649:  BFP - Przekorność, humor,
651:  KMM - Tego humoru najbardziej brakowało wcześniej, tak powiem wam szczerze.
655:  BFP - Ten odcinek moim zdaniem stoi na relacji Joela i Eli i wszystko, co się wydarza.
660:  BFP - Ja nawet chciałbym mieć mniej tego ruchu oporu, a więcej Joela i Eli i tego kina drogi,
669:  GW - I mi się wydaje tutaj w ogóle, że ten odcinek jest o takim, trochę o różnych formach utraty niewinności pewnej, albo, czyli w sumie według tej piosenki, która jest w pewnym momencie puszczona Hank'a Williamsa, która opowiada o tym właśnie, że...
684:  GW - To jest właśnie, zauważcie, że mamy właśnie w pierwszej scenie to, jak ona ćwiczy z tą bronią i jeszcze się wydaje, że ona jest właśnie taka w miarę oddzielona od tej przemocy i później jej doświadcza.
698:  GW - Tak samo mamy tą postać Caitlyn, która wygląda jak taka bardzo urocza soccer mom, która nagle okazuje się dosłownie założycielką
710:  GW - kolejnego po Fedrze ruchu faszystowskiego i dokonuje egzekucji.
715:  GW - Ile jest takich właśnie przełamań tutaj w tym odcinku.
719:  GW - Także wydaje mi się, że to jest też główna taka oś, pomijając jakby naszą tutaj parę protagonistów.
729:  BFP - Na pewno jest tak, że...
733:  BFP - Będę bronił Belly Ramsey, oczywiście już od początku to robię i pamiętam, że największy przełom dla mnie to był przy tym odcinku, kiedy zobaczyłem, jak ona jeszcze wyciąga tą swoją charakterystyczną książkę, którą można znać z gry No Pun Intended, zjecz narzucać swoje hasełka.
748:  BFP - Volume 2.
749:  BFP - Tak.
750:  BFP - Zacząłem...
751:  BFP - mieć głębokie przekonanie, że Bella Ramsey nie mówiła prawdy nie oglądając gry.
756:  BFP - Ona na pewno oglądała to, bo ona używa tego samego... Obejrzyjcie sobie moją recenzję... Bella Ramsey przyznała się, że oglądała gameplay.
763:  BFP - Dokładnie.
763:  BFP - Nie grała, ale tak.
764:  BFP - Polecam wam, w mojej recenzji zestawiłem obok siebie sceny.
768:  BFP - Scenę z autem, do której zaraz przejdziemy, ale przede wszystkim pokazuje z gry całą scenę, jak oni jadą samochodem i ona ogląda gejowskie pisemko.
777:  BFP - Jej frazowanie i po prostu to, jak ona wyrzuca tą gazetkę, so long, to jest dokładnie... To jest 1 do 1, tak.
784:  BFP - To jest 1 do 1, to jest aż nieprawdopodobne.
788:  KMM - Natomiast rzeczywiście dla mnie... Ja też jestem jak Bella, też oglądałem tylko gameplay.
794:  BFP - Ale kurde, może Krzysztof to się zmieni, może to się zmieni.
797:  BFP - Ale nie, bo ty nie lubisz zombie, jak są w grze, więc to się nie zmieni.
801:  KMM - Właśnie, bo ja lubię zombie, ale nie wtedy, kiedy chcą mnie zaatakować, a ja nie mam miotacza płomieni.
805:  KMM - A, swoją drogą, minus 2 punkty za brak miotacza płomieni.
811:  KMM - Ja naprawdę jestem po stronie Billa.
813:  KMM - Potrzebujemy tutaj więcej Fortec i potrzebujemy więcej tower defensa.
817:  KMM - Naprawdę.
819:  KMM - Skończyłem.
820:  BFP - Krzysztof, jakby ty byś robił serial, to byśmy mieli wszystkie achievementy, a fabuła by się nie posunęła naprzód.
825:  BFP - Wszystkie najbardziej dzikie achievementy, platyny i diamenty, jakie można, na zasadzie zabij zombie puszczając samochód na resorakach, który wypluwa z siebie napalm, to byśmy mieli odhaczone.
839:  GW - To tak jak w Zombie Worldzie, że zombie kill of the week, po prostu Krzysztof byłby mistrzem.
845:  BFP - Kansas City miało trochę tower defense, bo jednak było jakoś tam obstawione.
849:  BFP - Jakub napisał, nikt nie tłumaczy różnicy w potworach.
852:  BFP - Nie do końca to rozumiem, ale wydawało mi się, że już w odcinku drugim, jeżeli chodzi o zainfekowanych, nawet wyraźnie zostało powiedziane, że są kickery.
859:  KMM - Mówili o trzech stadiach infekcji, tak.
860:  KMM - Tak, dokładnie.
861:  BFP - A Ern Czy napisał jeszcze, Joel jest w serialu bardziej ucywilizowany, uczuciowy i na rozdrożu, a nie ugruntowany przez doświadczenie i straty.
869:  BFP - W grze to bardzo mocno wybrzmiewa wszędzie, ale nadal to i tak git.
873:  BFP - I to jest to, co powiedział Grzegorz na początku.
877:  BFP - Dlatego, że nie mamy wielu scen akcji, wielu potyczek, to postawiono na rozwój tych postaci, więc naprawdę możemy ich chłonąć więcej i tych przerzucania się zdaniami między nimi.
889:  BFP - Dlatego dla mnie jest taki piękny payoff na końcu tego odcinka, kiedy wreszcie Joel pęka i zaczyna się śmiać z jednego z tych tekstów, co jest najlepszą sceną w tym odcinku.
896:  BFP - Natomiast, no tak, rzeczywiście humor taki... My słyniemy z Sucharów, a może przede wszystkim ja słynę z Sucharów, więc nie ukrywam, że się bardzo cieszyłem, kiedy ona wyciągnęła tą swoją książeczkę.
909:  KMM - Ja zdecydowanie stawiam najwyższą cenę tym sucharom, ja jestem koneserem sucharów.
914:  KMM - Wczoraj na lewie powiedziałem they aspire for aspire i zapadła bardzo długa cisza po tym, więc z perspektywy tego żartu uważam, że tu jest zdecydowanie na poziomie, tak.
926:  TN - Ja troszeczkę współczuję tłumaczom tego odcinka i mam też wielki szacunek, bo te suchary były wręcz nieprzetłumaczalne i oni musieli to jeszcze raz stworzyć.
936:  BFP - Te suchary zachowały swoją suchość dzięki dobremu tłumaczeniu.
939:  KMM - Tak, taką kruchość dobrego sucharka herbatnika.
942:  BFP - Tak, o, tak.
945:  BFP - Tak, tak.
946:  BFP - Lembasiarze zadbali o to, żeby suchary pozostały suche.
950:  BFP - Kurczę, nie daje mi spokoju ten kadr.
953:  BFP - Jest piękny.
954:  BFP - Tak, jest w nim coś powalająco pięknego.
957:  BFP - I pamiętam, że jak analizowałem zwiastun i pojawił się ten kadr,
962:  BFP - To był taki moment, kiedy czułem wartość dodaną serialu.
965:  BFP - Jednak w grze, która owszem ma cutscenki, ale te cutscenki zawsze są z uwzględnieniem głównych bohaterów i zawsze na ich poziomie dosłownie, jeżeli chodzi o umiejscowienie kamery.
978:  BFP - I to jest pierwszy moment, kiedy możemy zobaczyć poza concept artami świat The Last of Us z innej perspektywy niż z perspektywy bohaterów, co robi wrażenie duże.
989:  BFP - Ktoś coś chciał powiedzieć, czy to jakieś takie dziwne... Ja się duszę.
994:  GW - Zastanawiałem, czy się Krzysztof śmieje, czy się zakrztusił.
997:  GW - Krzysztof kisi się bez powodu.
999:  KMM - Nie zdążyłem się wyciszyć.
1002:  GW - Dobra, to pozwólmy na chwilę odratowania się Krzysztofa.
1006:  GW - W tym czasie ja się pozachwycam tylko tym, że znowu tutaj ludzie od CGI odwalili dobrą robotę, oddali bardzo ładnie kolorystykę.
1014:  GW - W ogóle patrząc zwłaszcza na tą zrewitalizowaną część The Last of Us, to co prawda...
1022:  GW - Nie mamy dokładnie tej samej kolorystyki, bo jednak w grze jest to wszystko bardziej wystylizowane i bardziej nasycone barwami, to tutaj dalej z jednej strony mamy tą konsekwencję powiedzmy tego świata, gdzie natura odzyskuje siłę, ale jednocześnie
1040:  GW - Jednocześnie mamy jednak dużo tam szarości i chłodu w tym gradingu po to też, żeby oddać jednak mimo wszystko ponury klimat tego, jak tutaj natura z powrotem przejmuje stary.
1052:  BFP - Tak, i ja zaznaczę zabawną rzecz, że jak ja oglądałem to z Tomkiem, to bardzo dużo z tego CGI jeszcze nie było.
1059:  BFP - A najzabawniejsze, najzabawniejsze momenty to były te, i Krzysztof, ty byś nie wyrobił,
1065:  BFP - To były te momenty, w których widzieliśmy, jak oni jadą samochodem i wychodzą na przykład z auta i było widać autostradę, na której jeżdżą inne auta.
1072:  BFP - I to było po prostu odjechane.
1074:  KMM - Nie, nie, nie.
1075:  KMM - Ja miał od razu powidoki z polskiego kina.
1078:  KMM - Pamiętacie, że gladiator i tam ktoś w trampkach wybiega albo ma zegarek na ręce, tego typu rzeczy.
1084:  TN - A ja miałem takie samo wrażenie, że z tymi bizonami, że te bizony też wytną, ale jednak je zostawili i okazuje się, że tutaj też ta natura odżywa nie tylko w postaci tej zielonej natury, ale są również zwierzęta, które sobie po prostu stadnie żyją, tak jak te bizony, które tutaj
1103:  TN - pokazali.
1103:  TN - No i to też daje do myślenia na temat tego, dlaczego oni nie czerpią z tego pożywienia, tak?
1110:  TN - Czy oni nie wiedzą, że te bizony tutaj żyją?
1112:  TN - Czy to jest jakoś w jakiś sposób zagospodarowane?
1114:  GW - Być może czerpią, tylko sobie reglamentują jakoś.
1119:  BFP - Ja nie oczekujcie, że coś tutaj dodam.
1121:  BFP - Mnie wystarczyło, że widziałem ravioli, także to jest
1126:  GW - O, i ta reakcja Ellie na kawę, jak ona wstaje następnego dnia i... Mi tylko brakowało, żeby Joel tutaj skomentował, it's an acquired taste, bo to było często powtarzany tekst w grze, ale tego nam oszczędzili, bo już i tak było dostatecznie dużo referencji do tutaj spełnienia, powiedzmy, przez twórców.
1147:  KMM - Tak, widzę, że... Dobrze, a w roli diabełka kolonijnego Krzysztof teraz, pozdrowienia dla wszystkich pamiętających, Edmunda Niziurskiego,
1154:  KMM - Mianowicie, czy na pewno płynęło aż tyle lat, żeby dżungla tak zazieleniła się wszędzie?
1159:  KMM - Tak.
1160:  KMM - Okej.
1161:  BFP - Tak.
1162:  BFP - O tym mówiono jeszcze w dokumencie Grounded, który możecie obejrzeć na YouTubie, który opowiada o procesie produkcji The Last of Us przez Naughty Dog, jeden z moich ulubionych dokumentów growych, jakie powstały.
1174:  BFP - I oni na samym początku, kiedy prezentują swoje koncept arty, bo to naprawdę przenosi nas przez cały proces developmentu gry.
1180:  BFP - I na samym początku, kiedy koncept artyści tworzą te koncepty, mówią o tym, że szeroko było konsultowane z naukowcami, jak miałby zostać przedstawiony ten świat, począwszy od Cordy Cepsu, przez właśnie wchodzenie natury.
1192:  BFP - I to jest ten element wyróżniający stylistykę wizualną tej gry.
1196:  BFP - Że oni nie prezentują postapokalipsy, która jest zmurszałym, smutnym światem, w którym już nie ma żadnej... Bydgoszczy?
1205:  BFP - Wręcz przeciwnie.
1206:  BFP - Zostaw Bydgoszcz w spokoju.
1207:  BFP - Tam jest bardzo fajny muzeum brudu i mydła.
1211:  BFP - Jak szybko natura odzyskuje, i faktycznie tak jest, jak szybko natura odzyskałaby to, co jej.
1220:  BFP - I jedna rzecz, nie spoilujcie sobie The Last of Us Part II na tym etapie, ale polecam wam, zobaczcie jak wygląda Seattle w The Last of Us Part II i w jaki sposób...
1231:  BFP - dosłownie przez wyrwę w ziemi powstała rzeka.
1235:  BFP - Rzeka płynie przez Seattle, także jest to naprawdę świetne rozwinięcie artystyczne i stylistyczne tego, co daje ten taki wizerunek świata, w którym jednak roślinność jest bardziej obecna niż w postapokalipsie, który znam z innych.
1253:  TN - Ale ogólnie bardzo fajnie, że któryś raz już się konsultują, już przy budowaniu tej gry widać, że się konsultowali z naukowcami, tak samo też przy tworzeniu tego serialu też z epidemiologami, więc fajnie, że rzeczywiście opiera się na tym science, na tej nauce.
1275:  GW - Ale żeby generalnie las i łąki szybko porosły, to dużo czasu nie trzeba, bo o ile dobrze pamiętam na wsi u mojej babci wystarczyło tylko, że brakło raptem krów przez rok, żeby mieć trawę po szyję, po półtora metra.
1294:  GW - półtora metrowe byliny po prostu i porośnięty cały las, bo w momencie kiedy natura zostanie pozostawiona sama sobie no to potrafi niesamowicie bujnie obrosnąć, więc tym bardziej tutaj jeżeli coś aż tak bardzo porośnie to mnie to nie dziwi przez te dwadzieścia parę lat.
1312:  BFP - Tak, dokładnie tak i robi to robotę zdecydowanie.
1319:  KMM - Bardzo was uważnie słuchałem, mimo że jestem zepsuty przez Grzegorza, uważnie was słuchałem, przyjąłem argumentację do wiadomości, oceniam to wysokość pod względem światotwórczym.
1331:  BFP - Jest to coś, co na pewno wyróżnia, ja bardzo, ale to naprawdę nie cierpię mówić o gatunku czy stylistyce post-apo, bo to jest właśnie takie skoncentrowanie się nie na gatunku od strony narracyjnej, tylko takiej czysto światotwórczej, a dla mnie no jednak historia to jest historia.
1350:  BFP - Ale jednak patrząc już nawet na te jakieś normy czy standardy tego gatunku postapo, to kiedy myślimy postapo, to myślimy o zniszczonych budowlach, ale myślimy o jakiejś pustyni najczęściej albo bombie atomowej, która wyrżnęła całą florę i faunę.
1365:  BFP - Więc The Last of Us już w 2013 bardzo się wyróżnia na tym tle.
1371:  BFP - Zauważcie, że ta scena dyskusji w aucie wnosi jeden bardzo ciekawy kawałek informacji, a mianowicie dlaczego Tommy w pierwszym odcinku miał taką a nie inną naklejkę na aucie.
1386:  BFP - To było bodajże operacja pusty na burze?
1388:  GW - Podejrzewam, że oboje byli weteranami wojny, a tu się okazuje, że tylko Tommy jest.
1395:  GW - Tylko Tommy, dokładnie tak.
1397:  BFP - Fajnie, bo tego nie było zupełnie w grze, ale fajnie Joel nakreśla charakter relacji między nim a bratem.
1406:  BFP - Tommy chciał być zawsze bohaterem i Tommy zawsze chciał podążać i faktycznie podążał.
1411:  BFP - Podążał zarówno za dowództwem i oficerami w wojsku, potem podążał za Joelem i ten go sprowadził na złą drogę, bo dzisiaj w tym odcinku dowiadujemy się, że...
1423:  BFP - Kiedy Joel ma na myśli, byłem po dwóch stronach, to rzeczywiście znaczy, że był bandytą.
1428:  BFP - To znaczy, że robił to, co robią ludzie im w tym odcinku.
1432:  BFP - I razem z Tess, a jak mnie mam, Tommy za nimi po prostu podążał.
1436:  BFP - Potem dołączył do świetlików.
1438:  BFP - No i w końcu odłączył się nawet od świetlików i jak rozumiem, Joel myśli, że Tommy potrzebuje jakiegoś wsparcia, bo sam sobie nie da rady, skoro zawsze podążał za innymi.
1447:  GW - No i widzisz, tutaj też jest właśnie pokazana ta rola, że Tommy jest tym joinerem, właśnie tą osobą, która podąża za jakąś grupą, natomiast Joel jest właśnie, no, protektorem, tak, obrońcą, który też ma, jak opowiada o Tommy, to Daria opowiada jak o swoim młodszym braciszku, którego zawsze musi chronić i to też wychodzi... Protekcjonowanie trochę.
1466:  GW - Tak, tak, i to wychodzi też w odniesieniu nawet do pierwszego odcinka, gdzie, no, też ma znowu takie...
1473:  GW - To była ta scena, kiedy Tommy właśnie mówił, że jest w areszcie i znowu musi opiekować się swoim młodszym bratem.
1483:  GW - Później tak samo bronił Tess, bronił swoją córkę, który w obu przypadkach mu się nie udało i teraz znowu ma kogoś innego do obrony.
1493:  BFP - To też jest ciekawe, co powiedziałeś, bo pokazuje, że
1497:  BFP - No jest ktoś, o kogo może się troszczyć Joel i może on podświadomie zawsze będzie szukał kogoś, o kogo mógłby się troszczyć.
1503:  GW - I właśnie podejrzewam, że to jest to, że tak jak Bill powiedział do Franka, że you are my purpose, on potrzebuje właśnie, żeby mieć ten cel w życiu, no to potrzebuje kogoś do obrony.
1516:  TN - No właśnie w tym trzecim odcinku zobaczyliśmy, że Joel znowu ma ten cel i chce odnaleźć tego swojego brata.
1523:  TN - Tutaj z tej sceny dowiedzieliśmy się również, że Joel był z tez dosyć długo, bo oni od samego początku pandemii się poznali, więc to też daje nam na temat ich relacji troszeczkę więcej informacji.
1541:  KMM - Dziękuję, że ktoś na czatach to pisze, że to sformułowanie testu rodzina pokazuje jakim błędem był brak przedstawienia bliżej historii testu i jej reakcji.
1548:  KMM - Ja już nie pamiętałem nawet o jej istnieniu, dopiero wy mi o tym przypomnieliście teraz.
1553:  KMM - To właśnie pokazuje jakim jest paradoksem ta sytuacja.
