🔴 Odpalamy live'a i Krzysztofa jednocześnie || Q&A Bez/Schematu #1
🔗 https://www.youtube.com/watch?v=4VFsqqQ8tk4
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

1:  KMM - Chyba trzeba dwa razy dać też na YouTubie.
156:  KMM - Jest jedno, las to jest takie dobre słowiańskie słowo, las i pies.
161:  BFP - I to, co chciałbym powiedzieć z tego miejsca wszystkim osobom, które wracają z tym argumentem, czy z tym zarzutem, czy z tą pretensją,
169:  BFP - My nie zajmujemy się analizą polskiej muzyki folkowej, czy analizą kroków tanecznych grubiesiadnych, ani disco polo.
179:  BFP - Zajmujemy się analizą popkultury, która w 90% produkowana jest przez świat anglosaski.
185:  BFP - Tak się po prostu przyjęło.
187:  KMM - I powiedziałbym, że czasem dobrze, że jest produkowana przez świat anglosaski, bo ja bym pomyślał sobie o tym, co na przykład mieliby do zaoferowania niektórzy polscy przedstawiciele kultury, to drżałbym.
199:  BFP - Ja tu będę bronił polskiego kina i polskiej popkultury, ale nie raz i nie dwa jeszcze dzisiaj będziemy się ze sobą różnili.
205:  BFP - Słuchajcie, naprawdę fantastycznie Was widzieć.
208:  BFP - Naprawdę.
208:  BFP - Czytamy wszystko to, co się dzieje na czacie.
210:  BFP - Staramy się za tym nadążać, bo jest 178 osób.
213:  BFP - Obiecaliśmy Wam dzisiaj dwie rzeczy.
215:  BFP - Odpowiedzi na Wasze pytania
218:  BFP - i kilka fajnych announcements, znowu ten angielski, które będziemy mieli.
222:  BFP - Mam nadzieję, że będą dość intrygujące, interesujące.
224:  KMM - Krzysztof, odpalaj pytania.
226:  KMM - Tak jest.
227:  KMM - Formuła jest taka, kochani, że na samym początku będziemy odczytywać te pytania, które zostały zadane, ale nie drżyjcie.
234:  KMM - Jeżeli będziecie mieli jakieś, które się wam nasuną, będziemy także je adresować spokojnie
239:  KMM - I wedle tego, co się będzie pojawiało na czatach w tym momencie, a na razie pozwólcie, że będziemy czynić honory wszystkim tym, które wyselekcjonowaliśmy do naszego inauguracyjnego live'a.
248:  KMM - A zatem Q&A.
250:  BFP - Przepraszam, bo gry są sztuką napisały, czy te okulary nie są na poważne filmy i na poważne sprawy.
256:  BFP - I faktycznie to są te, które trzymam na poważne sytuacje, także...
262:  KMM - No to co, moi drodzy, pierwsze pytanie.
264:  KMM - Zabawię się w lektora w takim razie.
266:  KMM - Kamil zadał nam pytanie na karcie społeczności, na którą powinniście zaglądać częściej.
272:  KMM - Jakie są top trzy rzeczy, które zgodnie lubicie i top trzy rzeczy, którymi zgodnie gardzicie lub których nie lubicie?
281:  BFP - To jest bardzo proste.
282:  BFP - Ja zacznę może trzy swoje za Krzysztofa, a potem trzy swoje za Krzysztofa, a potem trzy Krzysztof za mnie.
291:  BFP - Co lubimy?
292:  BFP - To jest absolutnie steki, tatary i whisky.
295:  BFP - Tak, tak właśnie jest.
298:  BFP - Nie lubimy czytać komentarza pod naszymi filmami, dlaczego używacie tylu anglicyzmów i angielskich słów.
306:  BFP - Nie lubimy buty i braku dystansu do siebie.
310:  BFP - Oraz Olgi Tokarczuk.
313:  BFP - Albo nie, ja powiem to za ciebie, ja powiem to za ciebie.
315:  S00 - Ale to czekaj, musimy się zsynchronizować.
317:  BFP - Nie możesz wypikać, nie możesz wypikać.
318:  S00 - Tak.
320:  KMM - Snobizmu Olgi Tokarczuk.
322:  KMM - Tak, tak właśnie.
324:  KMM - Et consortes, żeby nie było, tak, że to tylko jedna taka osoba, ale jest ich sporo niestety w polskiej kulturze, tak, będzie tego.
331:  BFP - A ty chcesz jakieś trzy rzeczy jeszcze od siebie dorzucić w tym i w tym koszyku za nas?
336:  KMM - Jeżeli chodzi o jedzenie, to zaadresowałeś praktycznie wszystko, ale myślę, że możemy spokojnie też wymienić gry wideo.
342:  KMM - Tylko takie, w których gramy, cieszymy się światem, a nie ścigamy się.
348:  KMM - Ontidona.
349:  KMM - To jest zajebista absolutnie rzecz.
350:  KMM - Ostatnio oglądaliśmy na YouTubie bardzo dużo tego.
352:  KMM - Jak nie znacie Ontidona...
355:  KMM - Idźcie oglądać Cioteczkę Donę, absolutnie, coś wspaniałego.
359:  KMM - I co jeszcze będzie?
361:  KMM - Myślę, że takie dobre, ale naprawdę dobre kino fantastyczne, które potrafi sprawić, że człowiek zmiata szczękę z podłogi.
371:  KMM - Będziemy robili zaraz odcinek o takim.
373:  KMM - O tak, będzie, będzie.
375:  KMM - Ale to jeszcze nawiążemy do tego.
376:  KMM - Jakub pyta, czy burgery, panowie.
378:  KMM - No oczywiście, że burgery też, ale powiedzmy, że to się wlicza w steki.
381:  KMM - Tylko bez cebuli.
383:  KMM - Tak, stek to jest w zasadzie taki goły burger, prawda?
388:  KMM - On jest pozbawiony po prostu tej otoczki.
390:  KMM - Ale tak, zdecydowanie bez cebuli, jak ja zjem burgera z cebulą, to się dzieją źle, złe rzeczy, bardzo złe rzeczy.
397:  KMM - Brzydkie słowo na live pisze Erin.
400:  BFP - Odpowiadam też, że będzie zapis, jak najbardziej będzie zapis.
404:  KMM - To jest rzecz, której w ogóle nie rozumiem, nie?
406:  KMM - Na swoją drogą, prawda?
408:  KMM - Na polskim YouTubie.
409:  KMM - To znaczy, że jakoś zapisy nie są specjalnie lubiane live'ów i to jest coś, czego ja kompletnie nie rozumiem.
414:  KMM - Tak powinno być przecież.
416:  KMM - Jest zapis, można później się do tego odwołać i nie mamy się czego wstydzić.
420:  KMM - Jesteśmy za open access, nauki zasobów.
422:  KMM - Dokładnie.
424:  KMM - Dokładnie, moi drodzy.
425:  KMM - Krzysztof, jedziemy z drugim pytaniem.
426:  KMM - Jedziemy z drugim od razu, żeby się czaty nie niecierpliwiły.
429:  KMM - Stek jest duszą burgera.
430:  KMM - Piękne, Matt Peterson.
431:  KMM - Podoba mi się.
432:  KMM - Prawda?
433:  KMM - Dusza, nie?
434:  KMM - Urojony pyta.
435:  KMM - Ha!
436:  KMM - Teraz idziemy na wysokie eszelony, moi drodzy.
440:  KMM - Teorii, kultury.
442:  KMM - Czy jest wam bliska jakaś idea filozoficzna?
444:  KMM - A jak tak, to jaka?
447:  KMM - Filip, zaczynasz.
449:  KMM - No dobra.
452:  BFP - Zwykłem mówić...
455:  BFP - mając ku temu tylko okazję, jednym tchem racjonalizm, humanizm, ateizm.
465:  BFP - Racjonalizm jest
468:  BFP - nurtem filozoficznym i zakłada, że poznanie świata jest możliwe, a nasz rozum jest jednym z najpotężniejszych narzędzi, jakimi dysponujemy.
476:  BFP - Humanizm zakłada, że najwyższą wartością, jaką cenić może człowiek, to jest życie ludzkie, a więc i drugi człowiek.
483:  BFP - I ateizm zakłada, że nie ma bogów poza nami.
486:  BFP - Ale dzisiaj dorzuciłbym jeszcze czwartą rzecz i czwarte słowo, czyli progresywizm.
492:  BFP - Po niedawnych odcinkach, jakie robiliśmy, odezwało się na bez schematu sporo osób, które uważały, że jesteśmy konserwatywni.
501:  BFP - Może po naszej krytyce Wiedźmina i pomyślało, że podpisalibyśmy się pod krytyką inkluzywności, pod krytyką otwartości i inkluzywności społeczności LGBT oraz wszelkiego rodzaju mniejszości etnicznych i narodowych.
520:  BFP - Nie, nie podpisalibyśmy.
521:  BFP - W sensie my wspieramy tę ideę i to nie dlatego, że jesteśmy liberalni, a dlatego, że jesteśmy progresywni.
526:  BFP - To znaczy uważamy, że świat się kręci i nie da się go zatrzymać, ani tym bardziej nie można go obracać w drugą stronę.
532:  BFP - A konserwatyzm dokładnie to oznacza.
534:  BFP - Chce zachować i zakonserwować coś,
536:  BFP - co cały czas postępuje.
538:  BFP - Więc staramy się, tak jak staramy się być lepszymi vlogerami, tak jak staramy się być lepszymi naukowcami, publicystami, konsumentami kultury, tak samo staramy się być lepszymi ludźmi.
548:  BFP - Przepraszam, że ja mówię w tym momencie za Krzysztofa.
550:  KMM - Ja się mogę pod tym podpisać absolutnie.
552:  KMM - Oddaję ci głos.
554:  KMM - To znaczy dorzuciłbym, że w Polsce progresywizm, czyli liberalizm kojarzy się z czymś, co jest modne, tak?
560:  KMM - To znaczy ludzie mają z tym problem z tego względu, że bardzo dużo firm, korporacji się podpisuje pod tego rodzaju ideami, a równocześnie jak na przykład Disney nie ma problemu z tym, że kręci na terenach, w których są obozy koncentracyjne i dziękuję solennie i wlewnie ludziom,
578:  KMM - chińskim władzom za to, że to umożliwiają.
581:  KMM - I to jest bullshit, którego ludzie nie kupują, więc myślę, że tutaj bym to uzupełnił, że trochę też rozumiem osoby, które mogą mieć problem z takimi ideami, ale tylko w takich przypadkach, jeżeli mają z nimi problem właśnie na takim tle marketingowym.
594:  KMM - W każdym innym przypadku nie jestem w stanie się zgodzić.
596:  KMM - Ja dorzucę do tego, co Filip powiedział jedną rzecz.
599:  KMM - To znaczy ja zawsze się podpisywałem pod dwoma ideami, to znaczy racjonalizmem i sceptycyzmem.
605:  KMM - racjonalizmem dlatego, że poszedłem w taką stronę, jaką poszedłem, naukową, a sceptycyzmem również z tego względu, ale także dlatego, że lubię krytykę, lubię spieranie się ze światem, mocowanie się z nim, niezgadzanie się właśnie na to, co się w świecie dzieje i myślę sobie, że dlatego się też zainteresowałem swego czasu kanałem bez schematu, podobała mi się ta formuła.
628:  KMM - Ja lubię myślenie poza pudełkiem.
629:  KMM - Nie lubię, jak ktoś mi oferuje gotowe rozwiązanie, ja mówię ci tak, tak.
633:  KMM - Tak, to jest wspaniałe, oczywiście, że to chcę.
635:  KMM - A ponieważ wyłapałem na czatach pytanie o Lafroiga, dodam, że jedno z moich ulubionych whisky i w ogóle wasze zdrowie.
642:  BFP - Wasze zdrowie.
643:  BFP - I też pamiętajcie, bo my się tak dobrze przygotowaliśmy do tego streama, że Krzysztof przygotował różne sceny, tak?
650:  BFP - Więc macie tą scenę, kiedy jest pytanie, jest nas dwójka, scenę, kiedy jesteśmy po prostu we dwójkę bez pytań, scena, w której jestem sam ja, jest sam Krzysztof, więc tak to jest zrobione.
660:  BFP - No cóż... Wszystko za sprawą Krzysztofa.
663:  KMM - Jak mawia Jim Stephanie Sterling, thank God for me.
669:  KMM - Lecimy dalej, moi kochani.
671:  KMM - Mateusz Herman, w ogóle jeszcze raz serdecznie Wam dziękujemy naprawdę za te pytania, bo jak widzicie, są też nieszablonowe mocno.
678:  KMM - Od jakiego tytułu w kategoriach książka, film, serial i gra...
684:  KMM - Polecacie pokazywanie fantastyki, aby kogoś zachęcić do niej.
687:  KMM - Chodzi mi o coś lekkiego.
689:  KMM - To sobie pozwolę zacząć, dobra?
691:  KMM - Bo to jest taka moja ulubiona rzecz, do której lubię zaczynać.
695:  KMM - To znaczy książka, zawsze polecam tę, od której ja sam zacząłem.
698:  KMM - Był to Gwiezdny pył Nila Gaimana.
700:  KMM - Książka, przy której się poryczałem.
702:  KMM - Przepiękna.
703:  KMM - Baśń fantazy.
704:  KMM - Dziś umiem ją nazwać, a wtedy dla mnie to było po prostu coś...
708:  KMM - Potem przyszedł Potter, co ciekawe u mnie, to Gaiman był znacznie wcześniej.
712:  KMM - Dzisiaj bym się wahał, czy polecić pierwszej kolejności Gwiezdny pył Gaimana, czy właśnie, jeśli ktoś nie czytał pierwszy tom Harry'ego Pottera, myślę, że też spoko można, jest to na pewno lekka literatura.
722:  KMM - Jeżeli chodzi o film fantastyczny, myślę, że tutaj nikogo nie zaskoczę specjalnie, że jeżeli ktoś chce zobaczyć dobrą fantastykę w rozumieniu fantasy, no to nie ma innego wyboru niż Władca Pierścieni, bo innych filmów fantasy, no to za bardzo to nie ma.
737:  KMM - A jeżeli chodzi o science fiction, no to jeżeli chcemy rzeczywiście zobaczyć, jak to się dzisiaj robi, myślę, że Duna.
745:  KMM - Nie mówię tego dlatego, że robiliśmy na bez schematu materiały o Dunie, że ostatnio był zresztą na bez schematu materiał o Dunie.
752:  KMM - Zobaczcie sobie dziesięć najlepszych scen z Duny, nawiasem mówiąc, jak nie widzieliście.
756:  KMM - A dlatego, że ten film mówi wizualnie to, co science fiction zwykle mówi za pośrednictwem tekstu.
762:  KMM - Jeżeli chodzi o serial...
764:  KMM - I o wkręcenie się w seriale, tutaj jest trudniejszy problem, no bo musielibyśmy sobie zadać pytanie, czy będziemy dalej polecać Grę o Tron?
772:  KMM - Raczej nie.
773:  KMM - I znowu mogę polecić, jeżeli nie znacie bateriału do bezschematu, właśnie o Grze o Tron, z którego pochodzi kultowy tekst Brand the Broken, przetłumaczony na Braniec Połamaniec, jak również wiele innych wyjaśnień dotyczących tego, dlaczego sezon 7 i 8 są nieporozumieniem.
788:  KMM - Więc postaram się pomyśleć o czymś, co jest fantastyką, a jest zarazem serialem o wiele łatwiejszym w konsumpcji i wymienię Arkane.
797:  KMM - Jest to animacja i mamy dwie pieczenie na jednym ogniu.
799:  KMM - Poznajemy nowoczesną fantastykę, postindustrialną, post-Tolkienowską, przekonujemy się do animacji i jeszcze wchodzimy do rewelacyjnego steampunkowego świata.
809:  KMM - Natomiast jeżeli chodzi o wkręcenie się w gry, ja zwykle polecam rozpoczęcie od strategii, dlatego że w strategię się najłatwiej wkręcić, one wymagają najmniej umiejętności w zasadzie różnych i ja osobiście lubiłem czasy rzymskie i bardzo mi się podobała gra Pretorians, ale jeżeli ktoś niekoniecznie chciałby akurat czasy rzymskie, to myślę, że można spróbować pograć sobie w na przykład niedawno wydanego Riftbreakera.
836:  KMM - bardzo przystępna, sympatyczna gra.
837:  KMM - Dobre też na sam początek są hack and slashe, takie jak Diablo, bo nie oszukujmy się, w Diablo 3 odpalamy barbarzyńcę, wciskamy przycisk myszy, przypisujemy do niego wir i robimy wiru, wiru, wiru i potwory giną.
851:  KMM - Można się przepięknie wkręcić w ten sposób też w fantastykę.
855:  KMM - To tyle ode mnie.
856:  KMM - Filip, teraz ty.
858:  BFP - Znaczy no, ja pokażę ci, jak to robi prawdziwy doktor.
862:  BFP - Po pierwsze...
865:  BFP - Dokonałbym klasyfikacji na tych, którzy są starsi i na tych, którzy są młodsi, bo i jedni i drudzy będą szukali czegoś innego, co przyciągnie ich fantastyce czy science fiction.
876:  BFP - Druga rzecz, którą bym zrobił, to że jeżeli ktoś nie wkręcił się jeszcze w fantasy albo science fiction, to jest wielkie prawdopodobieństwo, że nie gra w gry wideo.
884:  BFP - Więc to bym raczej skreślił.
887:  BFP - I druga rzecz, to pewnie nie zaczynałbym od medium, jakim jest książka, a chyba nawet nie zaczynałbym od medium, jakim jest komiks, bo jest to specyficzne medium, co sprawia, że zostaje serial i film.
899:  BFP - I w związku z tym, jeżeli mówiłbym o dzieciach, to puściłbym produkcję z zeszłego roku, jaką jest Sweet Tooth, Łasuch na Netflixie, który jest świetnym fantazją.
910:  BFP - Doskonale, naprawdę doskonale oceniany serial.
914:  BFP - I
915:  BFP - i zaskakująco poruszający, mądry, świetnie zrealizowany, który może zjednoczyć dzieci i rodziców do tego, żeby siedzieli razem na kanapie i oglądali to.
926:  BFP - Jeżeli chodzi o osoby, które są starsze i oczekują czegoś więcej, czy jakiejś głębi, czy jakiegoś przekazu, a science fiction, czy fantastyka jest tylko gatunkowym nośnikiem tych wartości, tego przekazu, no to powiedziałbym tak, gra o tron.
939:  BFP - Ja mam tą przyjemność, moja mama, która jest też fanką bez schematu, ogląda większość rzeczy, które polecamy z Krzysztofem i moja mama wkręciła się, nie wie czym jest fantazy.
949:  BFP - ale wkręciła się w grę o tron.
951:  BFP - Moja mama nie wie, czym jest science fiction, ale poszła na Dune'a i była zachwycona.
955:  BFP - Więc powiedziałbym grę o tron Dune'a dla osób starszych, znaczy starszych, osób, które nie są dziećmi, a w przypadku dzieci powiedziałbym zacznijcie od Sweet Tooth.
965:  KMM - Ja szybko wtrącę, że mamy trybut albo donajta, w zależności od tego, na jaką nomenklaturę się zgodzimy, od wariatmena, który mówi rzecz następującą.
977:  KMM - Krzysztof, jak na lewaka jesteś spoko, ten drugi też.
980:  KMM - Już jesteśmy jak we lesie, jesteśmy ten pierwszy i ten drugi, to dobrze wróży.
984:  KMM - A ja sobie powiem, że ja się cieszę, tak?
986:  KMM - Jeżeli są takie reakcje, to dobrze, bo mam wrażenie, że nasze zabetonowanie na tej scenie politycznej, na której jesteśmy, niczemu nie służy.
993:  KMM - Trochę mi się przypomina zawsze, Filip, będziesz pamiętał, o czym ja mówię, na pewno, bo zwykle tak jest, że ja nie pamiętam i ty mi potem przypominasz.
999:  KMM - Jest taki film o pierwszej wojnie światowej, że po dwóch stronach ludzie się przez cały czas, jak to pierwsza wojna światowa, ostrzeliwują, ale w którymś momencie ktoś stwierdza, nie, pieprzyć to, stawia choinkę.
1011:  KMM - Może.
1012:  KMM - To jest na pewno bożonarodzeniowy film tam, że on stawiają choinkę i zaczną śpiewać wspólnie kolędy w dwóch różnych językach.
1017:  BFP - To jest w ogóle historia prawdziwa.
1019:  BFP - To jest płaca, która miała miejsce w Francji i rzeczywiście obchodzili wspólnie Boże Narodzenie, dzielili się płatkiem, a potem musieli wracać do okopów.
1030:  BFP - Myślę, że w kilku filmach się pojawił ten wątek.
1033:  BFP - Ale na pewno nie w 1917.
1035:  KMM - Na pewno nie, ale to swoją drogą, jak nie widzieliście 1917, sama Mendesa.
1039:  KMM - To jest naprawdę, to jest film, z którego, Jezus, nie, ja wyszedłem z niego, myśmy nie rozmawiali chyba o 1917, ale ja wyszedłem z tego filmu ze sprasowanym mózgiem i szczęką na podłodze, nie wiedziałem jak się pozbierać.
1053:  KMM - Jedyne medium, które na mnie w ten sposób potrafiło zwykle oddziaływać, to właśnie coś, co było osadzone w świecie fantastycznym albo, nie wiem, Bioshock Infinite zostawił mnie z takim opadem szczęki też narracyjnie, ale 917 jest niesamowite absolutnie.
1066:  BFP - Jeżeli nie widzieliście, koniecznie obejrzyjcie recenzję bez schematu, 1917 to jest recenzja, w którą włożyłem dużo serca, bo byłem tak zachwycony tym filmem, a był to mój ulubiony film 2019.
1078:  KMM - Nie.
1078:  BFP - Co tam?
1079:  BFP - Jeden z trzech moich ulubionych filmów 2020 roku.
1083:  KMM - Zobaczycie, będzie tak, że Filip teraz zacznie zapominać, ponieważ ta choroba się rozprzestrzenia.
1087:  KMM - To jest infekcja.
1088:  KMM - To jest infekcja, moi drodzy.
1090:  BFP - Będziemy, przepraszam, powiem tylko Vivienne, będziemy mówili o tym, jak się poznaliśmy.
1094:  BFP - To jest... Będziemy.
1096:  KMM - Będziemy.
1096:  KMM - Jeszcze Stachu pisze, że 1917 piękny i wzruszający film z ukrytymi cięciami.
1100:  KMM - To już jest świetny materiał, jak nie widzieliście na kanale Na Gałęzi Marcina Łukańskiego właśnie o tych ukrytych cięciach.
1106:  KMM - Uwielbiam go absolutnie.
1108:  KMM - Materiał.
1108:  KMM - Marcina też w sumie.
1110:  KMM - Dobra, lecimy dalej z pytaniami, moi drodzy.
1114:  KMM - Teraz będzie, teraz będzie dopiero.
1116:  KMM - Kamil pyta, co sobie najbardziej cenimy w życiu?
1120:  KMM - Krzysztof.
1124:  KMM - Krytykę.
1126:  KMM - Krytykę, która jest niekonstruktywna, nie znoszę tego słowa.
1129:  KMM - Niekonstruktywna, tylko taka, która jest dotkliwa i która zmusza do myślenia, która zmusza do refleksji.
1137:  KMM - I od razu mówię, że to nie jest tak, że cenię sobie tylko moją krytykę innych, ale cenię sobie innych krytykę siebie.
1143:  KMM - Jeżeli ktoś umie dać mi feedback...
1146:  KMM - sprzężenie zwrotne albo właśnie jakiś rodzaj opinii, komentarza do tego, co ja robię, ja to uwielbiam, bo to jest jedyny sposób na wytrącenie się z naturalnego u mnie stanu, którym jest patologiczny narcyzm.
1161:  KMM - I tylko dzięki krytyce jestem w stanie pomyśleć o tym, że może być lepiej.
1165:  KMM - Od razu wyjaśnię na przykładzie moim ulubionym z literatury utopijnej.
1169:  KMM - Jest takie jak książka Nowa Atlantyda Francisa Bacona.
1172:  KMM - Macie utopię, wyspę, idealność, wszystko jest pięknie z tym światem.
1175:  KMM - Jest jeden problem i na to wskazuje Francis Bacon.
1178:  KMM - To jest genialne.
1179:  KMM - Mówi, oni muszą cały czas wysyłać emisariuszy na zewnątrz, bo co będzie, jeżeli na zewnątrz zrobią postęp i w stosunku do świata zewnętrznego utopia przestanie już być dobra.
1189:  KMM - Więc oni muszą cały czas, mimo że są najlepszym z możliwych miejsc na ziemi, muszą cały czas wysyłać tych emisariuszy, żeby się przekonywać, jak jest na zewnątrz.
1196:  KMM - Przy okazji, oddając głos Filipowi, podziękuję za trybut od Krzysztofa.
1202:  KMM - Kiedyś się nauczę czytać twój nick.
1205:  KMM - Donate kojarzy mi się tylko z donut, więc macie na pączki.
1207:  KMM - Dziękujemy.
1208:  KMM - Lubimy pączki, nie?
1209:  BFP - Ja chciałem powiedzieć, dziękując ci za tego Donate'a, to jest bardzo ciekawy i dość rzadki przykład tego,
1216:  BFP - czynu niezwykle szlachetnego, który ma bardzo negatywny i zły skutek.
1221:  BFP - Mianowicie dając nam na pączki musi się liczyć z tym, że my naprawdę wykorzystamy to na pączki i że to naprawdę nam nie pomoże, biorąc pod uwagę, że wyglądamy jak muminki w złym ustawieniu kamery.
1232:  BFP - Ale bardzo dziękujemy.
1235:  BFP - Co sobie najbardziej cenicie w życiu?
1238:  BFP - Mogę śmiało powiedzieć na jednym oddechu dwie rzeczy.
1241:  BFP - Spokój ducha i poczucie sensu.
1246:  BFP - przeszedłem coś, co można by nazwać wypaleniem zawodowym, zajmowałem się taką tematyką jak crowdfunding, pisałem o tym doktorat, napisałem o tym dwie książki, całkowicie straciłem do tego zapał, całkowicie straciłem do tego miłość i prowadzenie biznesu, prowadzenie firmy jest dość wyczerpujące, ale był taki moment, w którym naprawdę pracując z kimś, pracując z psychologiem, stojąc przed kilkoma
1275:  BFP - priorytetami w moim życiu, dostałem pytanie, to który wybrałbyś na pierwszym miejscu, gdyby się okazało, że masz wybrać go za pozostałe?
1282:  BFP - I powiedziałem, spokój ducha.
1284:  BFP - I to było bardzo ważne.
1285:  BFP - A jeżeli chodzi o poczucie sensu, cztery lata prowadzę bez schematu.
1290:  BFP - Były naprawdę cięższe momenty.
1294:  BFP - były cięższe momenty.
1295:  BFP - Były momenty, kiedy przez trzy lata miałem mniej wyświetleń na filmach, w które wkładałem całe swoje serce, eseje przede wszystkim, niż kiedy zaczynałem.
1305:  BFP - I poczucie sensu było jedyną rzeczą, która sprawia, że tutaj dzisiaj siedzę i fakt, że robię to teraz z Krzysztofem i z Wami, że Wy jesteście po drugiej stronie i jest 275 osób, które nas oglądają, sprawia, że to poczucie sensu naprawdę
1321:  BFP - można skalować i jest większe niż było rok temu, jest większe niż było dzień temu i sprawia, że chce się robić to, co się robi.
1328:  BFP - Także uważam, że jest to najważniejsza motywacja, która sprawia, że chce mi się robić rzeczy w życiu.
1334:  KMM - I dodajmy, że to jest takie połączenie motywacji wewnętrznej i zewnętrznej, czyli najlepsza rzecz, jaka może być i też mogę ze swojego doświadczenia powiedzieć, że to jest potężne i to naprawdę może wyciągnąć człowieka z dużego dołka.
1348:  KMM - No, a się poważnie zrobiło przy tym pytaniu.
1350:  KMM - Ale to dobrze, to dobrze, to dobrze.
1352:  KMM - Lecimy dalej.
1353:  KMM - Gry są sztuką.
1354:  KMM - W ogóle polecamy kanał.
1357:  KMM - W jaki sposób kształtowaliście z Krzysztofem umiejętność płynnego, konkretnego mówienia?
1363:  KMM - Ile was nie słucham?
1364:  KMM - Czekaj, bo się nie wyświetla ten... O, dlaczego?
1366:  KMM - Czekaj, czekaj.
1367:  KMM - Już sprawdzam, już sprawdzam.
1370:  KMM - Panie majster, napraw panu.
1372:  KMM - To się może zdarzać czasem.
1373:  KMM - Nie wiem, dlaczego się tak zdarza, ale już to ogarniam.
1377:  KMM - Jest.
1378:  KMM - Nie ma.
1380:  KMM - Już powinno być.
1381:  KMM - Soruwa.
1382:  KMM - W jaki sposób kształtowaliście z Krzysztofem umiejętność płynnego, konkretnego mówienia?
1386:  KMM - Ile was nie słucham, to podziwiam za tak konkretne wypowiedzi na żywo.
1391:  KMM - Nie orbitujecie wokół tematu, nie macie nigdy problemu, żeby się wysłowić, nie przeciągacie zdanie samogłoskami.
1396:  KMM - Krzysztof wiem poniekąd, że szlifował to na wykładach i tutaj doświadczenie robi swoje, ale still szanujemy za użycie anglicyzmu.
1401:  KMM - Chciałbym więcej się o tym dowiedzieć, szczególnie od Filipa z Bez Schematu.
1406:  BFP - to jeżeli pozwolisz zacznę, bo ja mam naprawdę fajną anegdotę.
1410:  BFP - Lecisz.
1411:  BFP - Zacznę od tego, że mimo, że też prowadziłem zajęcia, mam jakieś doświadczenie jako trener, trener w sensie prowadzący warsztaty, prowadzący szkolenia, sporo prelekcji.
1425:  BFP - Jak odpalałem bez schematu 4 lata temu i włącza się ten przycisk record,
