THE LAST OF US odc. 8 | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=-qnVegfHyeM
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)

14:  BFP - Mili, witajcie na naszym cotygodniowym omówieniu.
389:  BFP - Scott Shepard tutaj pięknie się popisał, ale właśnie ten kontekst, którego nie mamy w grze kompletnie, to jest kim on jest w społeczności, jaką rolę odgrywa i od samego początku widzimy go jako niezwykle
401:  BFP - opiekuńczego, zatroskanego człowieka.
404:  BFP - Lidera, przywódcę, który myśli o dobru swojego statka, owieczek.
409:  BFP - Zaznaczmy, że jest samozwańczym kaznodzieją.
413:  BFP - Jak też będziemy widzieli, mówi I came from teacher to preacher.
418:  BFP - Na co Eli mówi, to dlatego, że się rymowało.
420:  BFP - On mówi, możesz tak powiedzieć, ale odnalazłem Boga po apokalipsie.
425:  GW - No i później tak tłumaczy, że tak naprawdę nie znalazł Boga, tylko pewnego rodzaju okazję.
432:  GW - Dlatego, bo on po prostu był naturalnym liderem, czyli kimś, kto budził respekt i pewnego rodzaju zaufanie, tylko że właśnie mając tą dwoistość swojej natury, że z jednej strony był tym
448:  GW - takim właśnie, ha, swoją drogą nazwisko Shepard, pasterzem tutaj swojej społeczności i wydawałoby się był takim dobrym ojcem, to z drugiej strony widać było, że ten mrok co chwila się wylewał i on faktycznie w wielu momentach widać, że się hamował, ale bo wiedział, że to czemuś służy, był bardzo wyrachowany w tym wszystkim.
471:  KMM - Krzysztof?
472:  KMM - Ja chciałem pochwalić Filipa za metaforę ewangeliczną z owieczkami, ponieważ bardzo pasuje do baraniny, którą się zajadali w tym odcinku i też z dużego drogu na czatach mi uświadomili, że narzekałem i utyskiwałem.
484:  GW - Sarnina, sarnina.
486:  KMM - Owieczki, owieczki.
488:  KMM - Kochani, owieczki.
490:  KMM - Co macie z owieczek?
492:  KMM - W każdym razie uświadomiono mi, że gdzieś w którymś momencie, nie pamiętam czy to była ostatnia dyskusja, czy dwie ostatnie dyskusje, że narzekałem, że nie ma kanibali.
503:  KMM - No i proszę bardzo, mamy.
505:  KMM - Faktycznie zapomniałem o tym, że sam na to narzekałem.
508:  KMM - Krzysztof dostał odcięte ucho na pocieszenie.
513:  BFP - Jest rzeczywiście, bo cały ten odcinek jednak zbudowany jest na Davidzie i Ellie i ja powiedziałem w swojej recenzji, że David jest naprawdę strachem ucieleśnionym.
523:  BFP - To nie jest lęk.
523:  BFP - Lęk jest wtedy, kiedy nie zawsze jesteś w stanie wskazać źródło tej emocji, którą masz.
530:  BFP - Boisz się, że stracisz kogoś, ale nie wiesz jak.
533:  BFP - Boisz się, że coś cię spotka, ale nie wiesz co.
537:  BFP - cały czas odczuwasz pewien ciężar na swoim umyśle, na swojej klatce piersiowej, to jest lęk, ale strach może zostać nazwany i może zostać skazany palcem, a tutaj strach ma imię i nazwisko i nie byłoby może to aż tak
553:  BFP - i tak efektywne, gdybyśmy nie widzieli drugiej strony tego strachu.
558:  BFP - A druga strona tego strachu to jest lider, który rzeczywiście opiekuje się innym i ciężko jest uniknąć analogii z niejaką Kathleen z Kansas City, która również nadużywała swojej pozycji posłuchu i której również ludzie mówili nie wiem czy wątpię czy nie, ale zaufam ci.
577:  BFP - I wykorzystywali to do realizowania swoich egoistycznych pobudek, ale mimo to David wydaje mi się ciekawszym, złolem w dużym cudzysłowie, a ponad wszystko wydaje się być rzeczywiście bardziej zainteresowany kondycją swojej społeczności, na czele której stoi, niż Kathleen.
596:  BFP - Bo Kathleen to mówi, a potem się tym zajmie, a olej.
598:  BFP - Nie, najważniejsze jest zemsta.
599:  BFP - Nie macie takiego wrażenia, że jednak...
602:  BFP - Widać jakieś objawy dobra w postaci Davida, jaką jest właśnie to zatroskanie sytuacją swojej społeczności.
611:  KMM - Albo, wiesz, albo mania władzy, bo to jest jeszcze taka opcja, że on się właśnie bardzo dobrze czuje w roli takiego
618:  KMM - kapłana, powiernika, słowa o kordycepsie, w którymś momencie ma taki odpał, że zaczyna widzieć w kordycepsie rozwiązanie dla cywilizacji, że on troszczy się o swoje wszystkie pędy, o swoją fragmentację plechy, czy w tym przypadku fragmentację klechy.
638:  KMM - I on w tym widzi obraz dla nowej cywilizacji.
642:  KMM - Ja nie ufam takim ludziom, powiem wam szczerze.
645:  KMM - To znaczy nie ufam w altruistyczne emocje w takiej rzeczywistości.
648:  KMM - Raczej jestem w stanie być bardziej skłonny w to, żeby uwierzyć, że odbiła mu egomania i stwierdził, że on teraz będzie najlepszym przodownikiem stada i równocześnie kaznodziej.
661:  KMM - Gdyby może nie ten element kaznodziejski w tym wszystkim, nie ta szalona ideologia za tym stojąca, to może bym w to uwierzył.
667:  KMM - Ale jasne, ktoś może powiedzieć, że na pewno skuteczniej walczył o przetrwanie swojego statka, niż Lee Kathleen.
673:  KMM - No co do tego nie ma najmniejszych wątpliwości, biorąc pod uwagę, że ta kobieta w którymś momencie doprowadziła do tego.
677:  KMM - Oni wszyscy udali się w miejsce, gdzie prawdopodobnie było wejście do tunelów i zostali później zjedzeni przez zombiaki, ponieważ zapomnieli o tym, że należy wsiąść na samochody.
687:  KMM - i ewentualnie mieć na tych samochodach miotacze ognia i zaczęli strzelać ze swoich pukawek śmiesznych do monstrów, które zaczęły stamtąd wyłazić, więc ona poległa na całej linii, więc myślę, że to jest trochę nieuczciwa konkurencja, bo to jest troszeczkę tak, aby porównywać jakiegoś skutecznego ministra albo premiera z kimś z rządu polskiego, chociażby.
705:  BFP - Martyna P. napisała, to jest ciekawe, co ty powiedziałeś o tym braku zaufania tej postaci.
710:  BFP - Martyna P. napisała, i już od pierwszej sceny, jak czytał Biblię i mówił tej dziewczynce, że Bóg otrze łzy, to czułam niepokój.
717:  BFP - Coś na zasadzie tylko jej nie dotyka.
719:  BFP - I zauważcie, że te mroczne tony są od samego początku, że on jest często w towarzystwie nastolatek, dzieci, dziewczynek.
731:  GW - Tam on był w ramach jednej grupy, jakbym się tutaj tego nie doczytywał.
735:  GW - Tutaj ja rozumiem, że włączają się nam w dzisiejszych czasach zwłaszcza takie motywy, że jeżeli ktoś jest związany z Kościołem, to wiadomo, że może mieć pewne konotacje, ale tutaj bardziej ten
750:  GW - Cały klimat to budowało mi w pierwszych scenach cytat raczej, do którego się odnosił, czyli właśnie z Apokalipsy Świętego Jana, bo tam ujrzałem niebo nowe i ziemię nową, czyli właśnie zbudowanie jakby, to jest w ogóle fragment o zbudowaniu cywilizacji na nowo, czyli jest taki dość znamienny jakby w kontekście.
772:  GW - To też buduje taki klimat właśnie tego, że
776:  GW - on ma takie podejście, że on wystartuje tutaj z tą grupą i na nowo zaludni ziemię troszkę jakby, co potem wychodzi pod koniec z bardzo makabrycznym finałem, więc tutaj jakby mimo pewnych spokojnych słów i sposobu w jakim to przekazuje, czuć było, że to było wszystko podszyte
801:  GW - jakimś mrokiem, tylko właśnie jeszcze wtedy nie do końca było wiadomo w którą stronę to pójdzie może.
808:  GW - No znaczy ci co grali to wiedzieli, że tutaj zbyt zbyt wiele zbyt wiele nie odchyli się, że tak powiem to od gry dlatego, bo to jest zbyt dobry motyw, zbyt mroczny, zbyt ciekawy.
823:  GW - Zresztą znamienne był ten napis when in need we provide, tak?
827:  GW - Więc
829:  GW - Bardzo też mroczna wersja starego wiejskiego powiedzenia, że nic się nie może zmarnować.
835:  BFP - Wiktoria powiedziała ciekawą rzecz, która z perspektywy odcinka jest oczywiście profetyczna.
841:  BFP - David ma tendencję do odbierania dziecięcej niewinności, co niestety uczynił Ellie.
845:  BFP - Co na pewno odcisnęło na niej piętno.
848:  BFP - I Ernczy jeszcze pisze, że ten odcinek uderzył we mnie nie tylko emocjami, ale przedstawieniem Davida wobec Joela.
854:  BFP - Nikt nie jest dobry i zły, ale David posuwa się do zła w ostateczności dla innych, a Joel zabija z gniewu.
862:  BFP - To jest interesujące.
863:  BFP - Myślę, że będziemy jeszcze o tym mówili więcej niebawem.
866:  BFP - Ja dokonałem takiej banalnej dystynkcji w swojej recenzji.
869:  BFP - Człowieczeństwa, barbarzyństwo.
872:  BFP - Ten odcinek każe nam zastanawiać się nad tym znacznie bardziej niż ten rozdział w grze, kto jest tym złym tak naprawdę.
879:  BFP - I ten Joel, który zmienia się w Kratosa, będziemy oczywiście omawiali te sceny, on zabija ludzi i nie musi tego robić, ale to robi.
891:  BFP - Ale taka ciekawostka dla wszystkich, którzy nie grali w grę.
898:  BFP - Eli w grze poluje z łukiem na sarny.
901:  BFP - Właściwie my to robimy.
902:  BFP - Jeżeli nie jesteśmy umiejętni, to to może potrwać kilkadziesiąt dobrych minut.
908:  KMM - Krzysztof, w tej twojej możliwości granie na padzie.
911:  KMM - Tak.
912:  KMM - Których nie istnieją.
913:  KMM - A to nie jest ta słynna memiczna scena, gdzie strzała przeszywa króliczka czy zajączka?
919:  KMM - Tak!
920:  KMM - Tak!
922:  BFP - Od tego się zaczyna, że widzimy strzałę, która uderza
926:  BFP - Bo chyba, tak mi się wydaje, tak się zagłupowałem.
929:  KMM - Jest taki piękny mem, że jest dwóch streamerów, którzy ogrywają tę grę i jeden mem to jest jak streamerka ogrywa na takie, jak króliczka przeszywa strzała, a później streamer jest tam na takie...
942:  BFP - Straszne.
944:  BFP - Krzysztof, jesteś Davidem tego spotkania.
946:  BFP - Tylko od razu grasz otwarte karty.
948:  KMM - Ale wszystko w porządku, póki nie będę Davidem z Prometeusza i późniejszych odsłon tego tałataństwa, to wtedy jestem w stanie się spogodzić.
959:  BFP - żałuję, że James nie miał więcej do zrobienia w tym odcinku, a James to jest właśnie ta postać stojąca po prawicy Davida, czyli Troy Baker.
970:  GW - Znaczy zrobił wydaje mi się, że wystarczająco dlatego, bo on jest tutaj takim wyznacznikiem tego bezpośredniego poplecznika właśnie Davida, który tak po pierwsze pokazuje te nastroje społeczności, że ma wątpliwości, czy robią dobrze.
986:  GW - On wie,
987:  GW - czego większości ludzie nie wiedzą, że oni nie jedzą sarniny, bo właśnie to jest to, że tutaj mamy ten cały motyw uczłowieczenia tej grupy w stosunku do gry, gdzie mamy po prostu mową do odstrzelenia, a tutaj mamy to, że ludzie się boją, mają imiona i mają imiona, mają historię, mają swoje żale.
1008:  GW - W końcu jakby widzimy też konsekwencje działań naszych bohaterów w innej społeczności,
1012:  GW - No bo tutaj jest cały ten motyw, że ta dziewczynka, która patrzy na samym początku serialu... To jest córka Aleka, którego zabił Joel.
1020:  GW - I to jest koleś, który wbił szpadel właśnie w Joella i zginął później z jego ręki.
1027:  GW - No i tutaj Troy Baker gra postać, która trochę widzi też w Ellie konkurencję, dlatego, bo David zaczyna w niej zauważać swoje cechy, które chciałby po prostu mieć
1044:  GW - partnerzy w zbrodni jakby, czy w drugim liderze grupy, których najprawdopodobniej właśnie James nie ma.
1051:  GW - Dlatego też już tutaj cały czas podchodzi agresywnie do Ellie i chce jak najszybciej się pozbyć.
1060:  GW - I ma parę takich momentów, w których po prostu wtedy, kiedy mają wybór, to James chciałby ją odstrzelić, a David mówi nie.
1069:  GW - Później to są dosłownie trzy momenty.
1071:  GW - Tak.
1073:  GW - Jeszcze jest taka bardzo naciągana, ale niech będzie symbolika, że mamy trzy momenty, w których James jakby chce wykonać działanie przeciw temu, co mu mówi David.
1086:  GW - Czyli przy pierwszym spotkaniu, potem kiedy mają na łóżce, gdy ten opowiada historię, no i wtedy, kiedy odstrzeliwuje konia i mają dosłownie znowu na łóżce i David znów mówi nie.
1097:  KMM - Tak.
1098:  KMM - Ja dobrze wiem, że James, czyli ten przydupa z Davida, jest grany przez Troya Bakera, który z jakiegoś niewytłumaczalnego powodu jest fanem zarówno czatów jak i was, ale ja nie wiem kim on jest.
1111:  BFP - Troj Baker jest aktorem?
1112:  BFP - On jest głosem Joela z gry.
1114:  KMM - A, to wiele wyjaśnia.
1117:  BFP - Był w grze Joelem, tak?
1118:  BFP - I mieliśmy już trójkę aktorów, którzy są z gry.
1123:  BFP - Mieliśmy Perry'ego, znaczy Perry to była postać, która pojawiała się w czwartym, piątym odcinku, to był z kolei przydupa z Kathleen.
1130:  KMM - Bo wiecie, to jest o tyle zabawne, że pamiętam, moja pamięć jest selektywna, ale w szczególny sposób zapamiętuję takie rzeczy, to jest niesamowite.
1138:  KMM - Jak dużo ludzi mówiło, dlaczego Troy Baker nie gra Joela?
1140:  KMM - No więc chciałbym uprzejmie powiedzieć, że to byłoby katastrofalne
1143:  KMM - sytuacja, gdyby Troy Baker grał Joella, ponieważ wygląda jak smutna wydra, więc absolutnie się nie nadaję do tego, żeby grać Joella.
1151:  KMM - Nie byłbym w stanie uwierzyć w to, że on jest w stanie zrobić absolutnie cokolwiek.
1155:  BFP - Niech pierwszy ci kamieniem, kto kiedyś nie wyglądał jak smutna wydra.
1157:  GW - Akwarium głosowym jest świetnym, ale no tak, nie pasował na Joella.
1161:  BFP - Szymon Rogowski napisał a propos naszej symboliki biblijnej, że nim klikasz za klika trzy razy się mnie wyprzesz.
1170:  BFP - Natomiast zauważcie, że te sceny, o których powiedział przed chwilą Grzegorz, w których David powstrzymuje Jamesa przed dokonaniem zemsty, mają sens perspektywy tego, kim jest i jak traktuje wiarę, bo to jest nic innego jak miłosierdzie.
1188:  BFP - David za każdym razem wykorzystuje pretekst miłosierdzia.
1192:  BFP - My musimy być lepsi od nich.
1194:  BFP - To nie ona zabiła.
1195:  BFP - Ona jest tylko nastolatką.
1196:  BFP - Dajmy jej szansę.
1199:  BFP - I tego nie było w grze.
1201:  BFP - Tutaj to jeszcze silniej kamufluje intencje Davida.
1204:  GW - To było w grze akurat.
1205:  GW - Ta rozmowa tutaj przeglądała.
1206:  GW - Tak, tak, tak.
1206:  BFP - Ja mówię tylko o tym, że nie było tego wątku religijnego w grze.
1210:  BFP - Kompletnie.
1211:  BFP - Nie było.
1211:  GW - Nie było, nie, nie, nie.
1212:  KMM - A jeżeli chodzi o... To duża strata, bo ten wątek religijny jest tu super.
1215:  KMM - Znaczy to jest logiczne.
1217:  KMM - Jak zobaczymy sobie na mój ulubiony przykład post-upowy, to znaczy Frostpunk, który tutaj pasuje, ponieważ śnieg.
1223:  KMM - to tam są dwie ścieżki podane jako najskuteczniejsze, prawda?
1226:  KMM - To znaczy pierwsza ścieżka to jest totalitaryzm i urządzenie ludziom dystopii i propagandy, a druga skuteczna, ponuro skuteczna ścieżka to jest propaganda religijna.
1235:  KMM - I ona wcale nie musi być religijna w sensie religia katolicka, dlatego tak pasuje, że u Amerykanów to rezonuje, bo wystarczy taki typowy teleewangelista, który może równie dobrze sprzedawać proszki do prania, ale ma dokładnie taką samą retorykę, albo może być mówcą motywacyjnym jak Jordan Peterson,
1250:  KMM - Wszystko jedno, będzie takim samym Kaznodzieją, nie?
1253:  KMM - W związku z powyższym to bardzo pasuje do tej tkanki społecznej, która jest w Stanach, ale jak powiedział bardzo mądrze Łukasz Juszczyk, którego serdecznie pozdrawiam z Eleven Beatów, jest zawsze trzecia droga, ta najtrudniejsza, to znaczy nie popadnięcie w jeden z tych dwóch totalitaryzmów, albo jeden, albo drugi.
1268:  KMM - To jest najtrudniejsze i mało kto się pokusi, żeby to wybrać.
1271:  KMM - Na razie chyba nie widzieliśmy w serialu
1274:  KMM - żadnej społeczności, której by się udało to zrobić w 100%, może pomijając tę komunę, ale ja jej też nie ufam, to znaczy myślę sobie, że tam się może coś dziwnego stać, ale to może w drugim sezonie.
1287:  BFP - Tak, ja też czytałem taki komentarz, który był interesujący, w sensie nie zgadzam się z nim całkowicie, ale był interesujący, bo stanowił pewne wyzwanie intelektualne.
1298:  BFP - że Jackson spośród wszystkich społeczności, które do tej pory widzieliśmy, które może być postrzegane jako kibuc albo komuna, jest... Oni sami się określają tak.
1309:  BFP - Tak.
1309:  BFP - Jest jako jedyne przedstawione jako moralnie krystaliczne.
1314:  BFP - A wszystkie pozostałe... Ja też tak uważam.
1317:  BFP - Oni sami mówią.
1317:  BFP - Ja też tak uważam.
1318:  BFP - Oni mówią, że zabijają ludzi, że wieszają ich, żeby odstraszać innych, więc to uważam, że to jest pewna przesada i...
1326:  KMM - Pomijając ta redystrybucja dóbr, nie podoba się wszystkim ewidentnie.
1330:  KMM - To też jest jakaś forma ograniczenia, która tam funkcjonuje.
1332:  GW - Z czego też się tam nabijali w końcu, bo Joel tak patrzył krzywo na Tomiego i ten nie chciał nawet przyznać, że żyją w komunie.
1340:  KMM - A tutaj właśnie, bo tutaj jeszcze... Nie no, to teksańczyk wolałby sobie jądra odgryźć, byleby nie żyć w komunie.
1346:  GW - Nie żyć w komunie, no dokładnie.
1349:  GW - No a tutaj właśnie widzimy po prostu jeszcze to, bo szukałem tego słowa kuźwa.
1355:  GW - dogmatyzm pewien, czyli niekoniecznie religijność związana z jakąś konkretną religią, tylko to podążanie takie ślepe, niepodważalne w kierunku danego celu, które charakteryzuje i religię, i faszyzm, i nazizm skrajny itd., itd. ?
1373:  GW - dogmatyzm tutaj właśnie trzyma też trochę tych ludzi raz, że pod butem, ale z racji tego, że David prowadzi tą całą narrację, no to właśnie to jest ich sposób na przeżycie.
1385:  BFP - Ja zapomniałem już, znaczy zapomniałem, musiałem przypomnieć sobie, jakie to uczucie, kiedy spada na ciebie młot fabularnie w tym odcinku, kiedy widzisz Davida i myślisz, nie, nie, a może on jest tym dobrym, może on jest faktycznie tym, który pomoże Eri, który da leki, żeby mogła pomóc Joelowi i spada na ciebie ten młot w tym znakomitym dialogu, w którym on mówi, szczęście?
1409:  BFP - Nie, nie ma czegoś takiego jak szczęścia.
1412:  BFP - Jest los.
1413:  BFP - Wszystko dzieje się, nie bez przyczyny.
1416:  BFP - Wszystko dzieje się, bo miało się stać.
1418:  BFP - Widzisz, kilka tygodni temu wysłałem czwórkę swoich ludzi na Uniwersytet Wschodniego Colorado i wróciła tylko trójka.
1427:  BFP - I nie uwierzysz, powiedziano mi, że zabił Aleka rąbnięty gość, który był z córką.
1436:  BFP - I od razu wiesz, okej.
1439:  BFP - Eli jesteś w kłopotach.
1440:  BFP - I to przejście na Jamesa, który celuje w nią bronią.
1444:  BFP - W grze zrobiło to na mnie jeszcze większe wrażenie.
1446:  BFP - Zaznaczę.
1447:  BFP - Ale ponownie, cały ten kontekst, który dostajemy, czyli kilka scen więcej z Davidem i jeszcze ukazanie go nie tylko w scenach z Eli, ale także w scenach ze swoją społecznością, scenach z Jamesem, tym mocniejszy to jest.
1461:  BFP - Na zasadzie przecież on ma każdy możliwy powód do tego, żeby odebrać jej życie w tym miejscu.
1468:  BFP - I w tym momencie, jeżeli rzeczywiście mówi prawdę.
1473:  KMM - Ja widziałem w tym też dobry przykład remediacji mechanik growych, których wielokrotnie to przywoływaliśmy w drugiej części bodajże, ludzie krzyczą do siebie nawzajem, przeciwnicy nasi, prawda, i wywołują się po imieniu, jak do nich strzelamy i tak dalej, i tak dalej.
1490:  KMM - Pierwszy mieliśmy taki przypadek już w pierwszych odcinkach, prawda, kiedy Joel i Ellie dojechali do tego pierwszego dużego miasta, oczywiście nie pamiętam jakie to było miasto,
1499:  KMM - I wtedy też widzieliśmy, że akty przemocy, które myśmy odbierali jako dobre, przez społeczność jako takie nie były odbierane.
1505:  KMM - I tutaj widzimy te reperkusje i konsekwencje moralne.
1508:  KMM - Trudno jest pokazać w serialu konsekwencje wyborów moralnych, które się dokonują w grze i myślę, że to jest bardzo udany i mocny moment.
1516:  KMM - Dla mnie niewątpliwie on najmocniej rezonował w całym serialu i dobrze, że to pokazali.
1521:  KMM - Nawet jeżeli, tutaj odrobinę się przyczepię, trochę ten efekt psuje ten tani prowidencjalizm tego quasi-pastora, tak?
1528:  KMM - Że o, że tak, że opatrzność, tak, karma wraca, wszystko jednak se to nazwiemy, ale że tak, że jest jakaś mistyczna siła, która kreuje tymi naszymi ścieżkami, a tymczasem po prostu to we live in society, jakby powiedział Joker w wybitnym kinie i w wybitnym filmie.
1544:  KMM - spisanym wybitną ręką wybitnego Zacka Snydera.
1546:  KMM - W każdym razie fakt, że żyjemy w społeczeństwie świadczy, że do kogokolwiek strzelimy, prędzej czy później może się okazać, że rzeczywiście napatoczymy się na kogoś, kto miał z nim styczność, na kogoś, czy jego ten człowiek był rodziną, więc wiecie, włączenie tutaj tego wątku opatrznościowego trochę, trochę, trochę nieznacznie psuje ten efekt, ale nie mniej jednak dobrze, że zostało to pokazane, bo równocześnie
1571:  KMM - No dzięki temu ten serial nie operuje taką bardzo prostą paletą barw, że Ellie i Joel dobrze, zawsze wspaniali, a reszta zła.
1579:  KMM - Zresztą w momencie, w którym Joel wreszcie dostaje ten zastrzyk porządny, jak Max Payne w drugiej części z antybiotyków i nagle się podrywa do walki bez żadnego problemu, to było bardzo growe nawiasem mówiąc, to on też robi rzeczy, które są moralnie naganne w zasadzie, biorąc pod uwagę to, jak się rozprawia ze swoimi jeńcami.
1598:  BFP - No jest...
1600:  BFP - zachowuje się bardziej przerażająco niż największy zły do samego końca w tym odcinku.
1605:  BFP - Piotr napisał, i to rzadki moment, kiedy to nie ja i Grzegorz cytujemy Neila Dragmana i Craiga Mazina z podcastu po odcinku, tylko Piotr to robi za nas.
1617:  BFP - Dragman i Mazin w podcaście podkreślali, że chcieli w tym odcinku, żeby David był postrzegany jako mistrz manipulacji i według mnie jest to pokazane mega dobrze i subtelnie.
1625:  BFP - Faktycznie.
