POBITY, POŁAMANY, PONIŻONY. Roast 3. Sezonu Wiedźmina
🔗 https://www.youtube.com/watch?v=MxmMzmDBX6I
KMM (Krzysztof M. Maj)
DS (Dominika Skoczeń, Czerw Fantastyczny)
JM (Jaga Moder, Legendystka)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)

14:  BFP - Wiecie, ja nie jestem fanem rantów ani roastów na YouTubie, to jest zmora YouTube'a.
689:  GW - Niestety ja tutaj z tego wszystkiego najbardziej obawiam się tego, iż ze względu na po prostu warunki fizyczne będzie ciężko Liamowi Hemsworthowi, dlatego bo jeszcze patrząc na Cavilla on był w stanie uciągnąć cały serial na swoich barach, a Liam mimo wszystko jest troszeczkę chudszy, więc tutaj będzie miał dość duży problem z tym, żeby uciągnąć pozostałe sezony Hemsworthowi.
715:  GW - na po prostu, no cóż, swojej grze aktorskiej i swojej fizyczności.
720:  GW - Więc stawiam, że jakby się za to zabrali, i tak im to nie wyjdzie, i tak ktoś będzie z tego niezadowolony.
729:  GW - Lepiej, żeby po prostu poszli śladem tego, jak musiało wyglądać cały system oceny po prostu tych pierwszych draftów scenariusza.
738:  GW - Kij, zostaw, tak idźmy dalej.
740:  BFP - Pozostałe sezony musiałeś użyć liczby mnogiej.
744:  GW - No bo tam już zapowiedzieli czwarty, piąty, nie?
746:  BFP - Nie wiem, czy piąty.
747:  JM - Na siedem chyba jest rozpisane.
748:  BFP - Dwa słodki Zeusie.
749:  BFP - Wydaje mi się, że nie mieli lepszego pretekstu niż teraz do anulowania serialu, biorąc pod uwagę strajk scenarzystów.
757:  BFP - Także...
759:  KMM - W każdym razie.
760:  KMM - Co my zrobimy bez tego wspaniałego scenarzysty z Wiedźmina trzeciego sezonu?
766:  KMM - Sprawdzaliśmy specjalnie na live'ie wiedźmińskim, któż to jest ten Giorgio D'Ambrosio, czy jak on się tam nazywał?
773:  KMM - Otóż miała za sobą aż trzy produkcje, więc ja myślę, że wczesna wersja, tak chat GPT 1.0 mniej więcej, by Giorgio D'Ambrosio był w stanie zastąpić bez problemu na tym stanowisku, więc tym się akurat nie przejmuję kompletnie.
785:  KMM - A jeśli Lauren chce strajkować w FISTECH, to niech ona strajkuje do końca swojej kariery najlepiej.
790:  KMM - Bardzo... Ja sam jej ufunduję stypendium, żeby strajkowała, wszystko jedno.
795:  KMM - Natomiast ja chciałbym się odnieść do dwóch rzeczy.
796:  KMM - Po pierwsze, jeżeli chodzi o zmianę aktora, to musi to być uzasadnione światotwórczo wtedy, kiedy nagle mam wrzeczonego Grindelwalda, który wygląda jak Grindelwald, a później wygląda jak amerykański księgowy.
806:  KMM - No więc wtedy, jeżeli na przykład byście zamienili sobie Krzysztofa na brada Peeta, przypuszczalnie trzeba byłoby troszeczkę uzasadnić ten wybór.
813:  KMM - Gdybyście zamienili Krzysztofa na kogoś, kto wygląda zupełnie jak Krzysztof, albo podobnie do Krzysztofa, albo tajemnica jest ucharakteryzowana na Krzysztofa, wtedy prawdopodobnie nie trzeba byłoby tego robić, więc wybory są dwa, albo kastujemy takie postaci, które wyglądają mniej więcej podobnie do siebie i takich aktorów, a jeżeli kastujemy kogoś, kto inaczej wygląda, ma inną posturę, inaczej się zachowuje, to robimy charakteryzację, ale Hollywood zapomniał o tym, czym jest charakteryzacja.
838:  KMM - I ostatnia kwestia jest taka, że nie wiem dlaczego Henryk Avi, teraz się wszystkim narażę, jest namaszczony na jakiegoś papieża gamingu i papieża filmoznawstwa i papieża kinematografii.
848:  KMM - To jest przeciętny aktor, który jedyne co był w stanie zrobić, to zresztą Filip powiedział w swojej recenzji bardzo słusznie, jest główny, a się bicza nie ukręci, robił co mógł, wyjadać, że jest fanem gier, natomiast z Geraltem z książek ma absolutnie nic wspólnego.
864:  KMM - Znaczy, Geralt książkowy nigdy nie mówił...
868:  KMM - Nie zachowywał się jak tępy barbarzyńca.
870:  KMM - Ja mam na ten temat, znaczy na poczet tego dowód.
873:  KMM - To jest wypowiedź, moi drodzy, Geralta.
875:  KMM - Nie usłyszycie tego rodzaju wypowiedzi w serialu.
878:  KMM - Dlaczego Lydia musiała umrzeć w Vilgefortz?
880:  KMM - Dlaczego rozkazałeś jej umrzeć?
882:  KMM - Miała odwrócić od ciebie uwagę, prawda?
884:  KMM - Miała dać ci czas na uodpornienie się na Dwimeryt, na wysłanie telepatycznego sygnału do Rinsta.
888:  KMM - Teraz ludzie, którzy oglądali serial, mówią, jaki telepatyczny sygnał, o co chodzi?
892:  KMM - No to jest ta fabuła, której nie ma, nawiasem mówiąc, w serialu, który jest na podstawie książek.
896:  KMM - Dlaczego wiemy, że jest na podstawie książek?
897:  KMM - Ponieważ Tomasz Bagiński i Loren Fistek zrobili z tego całą kampanię marketingową.
901:  KMM - Biedna Lidia, artystka ze skrzydzoną twarzą.
904:  KMM - Wszyscy wiedzieli, że jest osobą bez znaczenia.
907:  KMM - Wszyscy oprócz niej.
908:  KMM - Milcz, mówi Vilgefort.
909:  KMM - Zamordowałeś Lidię, czarowniku.
911:  KMM - Wykorzystałeś ją, a teraz chcesz ją wykorzystać?
913:  KMM - Teraz chcesz wykorzystać jeszcze Ciri?
915:  KMM - Z moją pomocą?
916:  KMM - Nie, nie.
917:  KMM - Nie wejdziesz do Tolerana.
920:  KMM - Gdzie to, jak ma się do kreacji Henry'ego Cavilla?
924:  KMM - Nijak to się ma do kreacji Henry'ego Cavilla.
926:  KMM - Geralt nie jest tępym barbarzyńcą, Geralt jest inteligentny.
930:  KMM - Vilgefort zresztą wprost w którymś momencie to przyznaje, gdy powiada, że to nie jest przypadek, już nie pamiętam, w którym momencie to jest czasu pogardy,
938:  KMM - że akurat czarodziejki wszystkie się podkochują w Geralcie.
942:  KMM - No nieprzypadkowo, być może nie chodzi tylko i wyłącznie o to, że ma na sobie górę mięśni.
946:  KMM - A jak patrzę na Henry'ego Cavilla i słucham jego gry aktorskiej, to widzę górę mięśni.
951:  KMM - Jak patrzę na to pożegnanie heroiczne, które zafundował Netflix mu, to widzę jedynie barbarzyńcę z górą mięśni, który siecze ludzi.
959:  KMM - Nawiasem mówiąc, ludzi, nie potworów.
961:  KMM - Co jest w ogóle jakimś absolutnym fenomenem, bo Geralt był zmutowanym owszem, ale zabójcą potworów, który jeżeli podnosił rzeczywiście miecz na ludzi, to robił to z bardzo dobrego powodu, widzę zakończenie.
974:  BFP - Niepotworem impulsu, raczej niepotworem impulsu bez przyczyny, bo ktoś kogoś nie przepuścił, czy tam myta nie zapłacił.
980:  BFP - Ja się bardzo cieszę.
981:  DS - Naleczkę zabrał dziewczynce.
982:  BFP - A no właśnie, naleczkę zabrał.
983:  GW - A tutaj jeszcze w ogóle pewnie budżetu już na efekty specjalne zabrakło, dlatego też nie było tyle potworów.
989:  GW - Już zapomnieli o praktycznych w ogóle efektach, więc kij tam.
992:  BFP - Podziękować Ci, Krzysztof, że kiedy już sięgasz po jakiś cytat ze mnie, to naprawdę sięgasz po moje perły mądrości na zasadzie...
1001:  BFP - Z górna bicza nie ukręcisz, dziękuję, że się zdecydowałeś szczególnie dać przypis, że to ode mnie.
1006:  BFP - Chciałem tylko zaznaczyć, że całkowicie to przekręciłeś, ponieważ powiedziałem, że Henry Cavill właśnie nie wiem jak, ale udało mu się ukręcić bicza z gówna.
1014:  KMM - Ale dziękuję, dziękuję, że wziąłeś to i... Bo wiesz, nawet jak ja cytuję, to ja cytuję po to, żeby się nie zgodzić.
1021:  KMM - To jest najwyższy wyraz uznania.
1024:  KMM - Ale zgadzałem się w stu procentach natomiast z cytatem, który przywołałem z Sapka.
1029:  KMM - To znaczy, wiecie, pamiętajmy o tym, że my nie rozmawiamy na temat różnic między powieścią a serialem dlatego, że nie rozumiemy, jak działają adaptacje.
1038:  KMM - My rozmawiamy na temat różnic między powieścią a serialem dlatego, że wszyscy producenci Showrunnerka mówią cały czas, że to jest ich głównym celem.
1046:  KMM - Tomasz Bagiński miał na tyle czelności w sobie, żeby powiedzieć, że ale wiecie, ale spokojnie, spokojnie...
1052:  KMM - W czwartym sezonie Wiedźwina już będzie na podstawie książek.
1055:  KMM - To on jest mniej więcej tak jak mąż, który tłucze żonę i mówi, że ale w przyszłym miesiącu już nie będę.
1062:  KMM - No to jest kompromitacja kompletna, więc my musimy wskazywać na to, że te portrety, które są postaci, nawet jeżeli lubimy Henry'ego Cavilla, no nie są do końca zgodne z pierwowzorem.
1073:  KMM - I tak, ludzie na czatach piszą słusznie, że nie miał wyjścia, bo dostał taki scenariusz.
1077:  KMM - No ale nic nie poradzimy, no musimy oceniać też aktora w zestawieniu z tym scenariuszem, więc szczerze powiedziawszy dla mnie, jak Liam Hemsworth zastąpi Keedle'ego Cavill'a, to możemy nawet nie odnieść wrażenia, że to jest inna postać, choć na pewno odniesiemy wrażenie, że może być grana z mniejszym zaangażowaniem albo werwą i tak dalej, i tak dalej.
1096:  DS - Jeśli tylko będzie dobrze chrząkał, to wszystko będzie dobrze.
1099:  KMM - Tak, musi chrząkać i musi mówić fuck, ale zauważcie, że to też się zmieniło, bo w pierwszym sezonie Geralt był bliższy książkowemu Geraltowi, bo brano więcej kwestii jego z opowiadań, opowiadania też łatwiej się ekranizuje.
1111:  KMM - Geralt wygłaszał właśnie tego rodzaju, no powiedzmy nie monologi, ale krótkie monologi, tak, ten słynny w mniejszym źle.
1119:  KMM - Więc dało się to zrobić i Henry Cavill był w stanie to uciągnąć, natomiast później odebrano mu praktycznie wszystko z całego jego aktorskiego amplua, pomijając to, że jest dobrze zbudowany i jak każdy mięśniak jest w stanie zagrać dobrze scenę akcji.
1134:  BFP - Podejmując główną myśl z tego, co wyłożyłeś i w zasadzie trochę podejmując to, co
1143:  BFP - wydaje mi się wychodziło na wierzch w waszych wypowiedziach.
1147:  BFP - Dla mnie jednym z głównych problemów tego sezonu jest tylko utwierdzenie mnie w przekonaniu, które budowało się przez pierwszy i drugi sezon.
1156:  BFP - Geralt nie jest upodmiotowiony w tym serialu.
1160:  BFP - Geralt jest, nie sądziłem, że użyję tego słowa, jest simpem.
1164:  BFP - On jest podporządkowany innym postaciom, ale przede wszystkim jest podporządkowany Ciri i jest podporządkowany Yennefer.
1169:  BFP - I zaznaczę, znacznie bardziej simpem niż Ken w Barbie.
1173:  BFP - I naprawdę nie miałem takiego poczucia, że on ma siłę sprawczą, która nie dotyczyłaby jakkolwiek podążania śladem Ciri, bądź wspólnego konowania, bądź podążania za planem Yennefer.
1188:  BFP - Ja książki pamiętam jak przez mgłę, chociaż to myślę w najbliższym czasie się zmieni, bo tak mi wkurwił ten serial, że zamierzam wrócić.
1195:  JM - Oto pozwól, że ci powiem, że jeśli chcesz, żeby jeszcze raz się zapoznać z książkami, to bardzo ci polecam Słuchowisko Fonopolis.
1203:  BFP - Tak, wszyscy to mówią, wszyscy to mówią, wszyscy to mówią, wiem.
1207:  BFP - Mam je już odłożone, chociaż zamierzam także sięgnąć po wersję papierową.
1210:  JM - Jest genialny.
1212:  JM - Tak, to przy nim się zarywa noce, a nie przy tym serialu.
1215:  JM - No tak, ale kurczę, no
1217:  BFP - Może w szczególności w opowiadaniach.
1219:  BFP - Wiedźmin był wiedźminem.
1221:  BFP - A ja tutaj mam takie wrażenie, że on przez cały czas był ochroniarzem.
1226:  BFP - To jest ochroniarz.
1227:  BFP - Albo pan do towarzystwa.
1229:  BFP - Eskorta.
1230:  BFP - I to naprawdę miałem takie poczucie.
1233:  BFP - I to boli mnie bardziej niż zmiana aktora, czy sposób w jaki ta zmiana zostanie przeprowadzona.
1239:  BFP - To jest to, że
1241:  BFP - No właśnie, jak twórcy myślą, że to jest twardy facet, to znaczy, że musi dużo mruczeć i mówić fuck.
1248:  BFP - Jak twórcy mówią, że jest heroiczny, to nie, że ma na przykład stanąć przed jakimś dylematem moralnym i podjąć decyzję, która idzie wbrew decyzji wszystkich innych, którzy zostaliby postawieni na jego miejscu, pomimo, że nie są mutantami.
1261:  BFP - Nie, dla nich heroiczny to znaczy, że po raz kolejny wyciągnie miecz i będzie siekał.
1265:  BFP - I to wydaje mi się największym grzechem twórców, że mogą powiedzieć, żegnamy się w sposób godny z tą postacią czy tym wykonaniem i powiedzieć, no ale teraz pojawi się nowy, który będzie na nowo ciekawie interpretował tę postać, ale nikt ciekawie do tej pory w tym serialu nie zinterpretował tej postaci za sprawą scenarzystów, bo za każdym razem Wiedźmin nie istnieje tak długo, jak nie ma wątków Ciri czy Yennefer.
1289:  BFP - Jaga, tobie oddaję głos.
1290:  BFP - Również chcę wiedzieć, czy się zgadzacie z tym, czy nie, ale wydaje mi się, że to jest znacznie większy grzech niż to, w jaki sposób oni żegnają się z Kawilem.
1297:  BFP - Czyli suma wszystkich scen, których nigdy nie było.
1302:  BFP - Tak bym powiedział.
1304:  JM - Ja mam takie poczucie, że właśnie gdzieś pojawił się wcześniej w naszej rozmowie wątek o tym, że adaptacja rządzi się swoimi prawami, że trzeba tam trochę pozmieniać.
1314:  JM - Ja słuchając niedawno słuchowiska doszłam do wniosku, że całkiem sporo jednak wątków z książek się w serialu znalazło, tylko mocno przerobionych, ale to, co najbardziej zwróciło moją uwagę, to to, że
1329:  JM - Jakby największym chyba grzechem twórców serialu jest to, że oni pozmieniali wszystkie postacie.
1334:  JM - Oni nie rozumieją postaci Sapkowskiego.
1336:  JM - Dla nich jeśli pojawia się jenefer, która ma misję pod tytułem, że chciałaby być matką, to automatycznie w serialu zamienia się w płaczliwą, bardzo taką emocjonalną osobę.
1349:  JM - W tym ostatnim odcinku trzeciego sezonu chyba z trzy razy płakała.
1353:  JM - Przy każdej możliwej okazji.
1355:  JM - Jeśli Ciri ma być postacią, która...
1359:  JM - która ma przerodzić się z takiej, wiecie, królewny wojowniczkę, to znaczy, że musi lądować jak taka, wiecie, wiewiórka, co to się tak śmieją wszyscy, że superbohaterowie tak lądują jak wiewiórki z jedną ręką do góry, a drugą na ziemi.
1374:  JM - Więc tak samo Geralt, jeżeli jest twardym facetem, no to musi, prawda, mało mówić, musi machać mieczem, musi milczeć, patrzeć spod byka na wszystkich i jakby...
1384:  JM - Te postaci są kompletnie jednowymiarowe, podczas gdy u Sapkowskiego nic nie było tak oczywiste i oni z jakiegoś powodu, twórcy serialu, postanowili zrezygnować z całego takiego, wiecie, komplikującego postać zestawu cech.
1400:  JM - Nie ma tego, jest prosto, jest strawnie, zjadliwie dla ludzi, którzy chcą to oglądać, jednocześnie patrząc sobie na drugi ekran na TikToka.
1410:  JM - Także mnie to bardzo, bardzo boli, zwłaszcza jak słucham sobie teraz akurat czasu pogardy, bo już dotarłam do tego momentu.
1418:  JM - No to tak, to widać.
1420:  JM - I tam aktorzy interpretują te postaci świetnie.
1424:  JM - Ja w ogóle strasznie polecam wszystkim, którzy dzisiaj słuchają naszego live'a, żeby sięgnęli po to słuchowisko.
1430:  JM - Niestety dwóch ostatnich tomów nie ma.
1433:  JM - z jakiegoś powodu, nie wiem, nie dotarłam do informacji dlaczego ich nie ma, ale i tak i tak warto poświęcić czas na te wszystkie inne części i będzie się o wiele lepiej miało poczuć takiego fajnie spędzonego czasu niż na oglądaniu tego serialu.
