Wszystkie warstwy "Squid Game" – recenzja i analiza
🔗 https://www.youtube.com/watch?v=z18DRhSJYzQ
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - Zebrałem super team.
666:  GW - się nazywał ten autor, żebym teraz źle nie powiedział, Ko Shuntakami, napisał powieść swego czasu, która się nazywała Battle Royale, później została zaadaptowana na świetną mangę, natomiast później te filmy były, powiedzmy, takie średnie, mi się nie szczególnie podobały, ale tam też właśnie każda postać, która miała bardziej kluczowe znaczenie dla fabuły, mimo że ich było dużo, tutaj też mamy
693:  GW - prawie 500 graczy, którzy uczestniczą jakby w tych makabrycznych rozrywkach, tam mieliśmy 50 uczniów, to mimo tego, że jest tam duża ilość, powiedzmy, rozgrywających, to postacie w miarę istotne dla fabuły, nawet takie w miarę poboczne, jednak mają
715:  GW - rozpisany cały profil psychologiczny, to jaki mają background, co kieruje ich decyzjami, jakie, powiedzmy, schematy zachowań wzięte z domu, ze swojego wychowania, z poprzednich historii wpłynęły na to, jak się zachowują w sytuacjach, których normalnie człowiek jednak nie doświadcza, tak, no bo mamy czasami takie, przynajmniej ja miałem swego czasu takie podejście, że widzimy jakąś, widzę jakąś scenę w filmie i co za idiotan, no przecież to
746:  GW - czemu on nie uciekł tym wyjściem, czy tamtym, czy nie podjął takiej, a takiej decyzji.
751:  GW - Często nie mamy okazji sprawdzić się w trudnych sytuacjach życiowych i tutaj właśnie zazwyczaj do głosu dochodzą nasze schematy, które wyrobiły się zazwyczaj w dzieciństwie.
764:  GW - No i właśnie tutaj to przedstawienie tego profilu psychologicznego jest istotną cechą
772:  GW - właśnie na pewno japońskiego, południokoreańskiego kina, czy nawet filmów akcji z Hongkongu też, gdzie mamy jednak to, że nawet ten szwarc charakter ma przedstawione pewne motywacje i to jest zdecydowanie coś, co przebija jako wartość również Squid Game.
795:  GW - Tutaj tylko jeszcze to jedno interludium, bo troszeczkę mnie za mocno, wydaje mi się, Bartku, sprzedałeś, że ja co prawda jestem pasjonatem, ale nieszczególnie się znam.
805:  GW - To tak jak ja ze wszystkim.
809:  GW - Okej, dobra.
810:  GW - W każdym razie tutaj jeszcze tylko pragnę odmienić, że reżyser jakby i twórca,
817:  GW - dużo bardzo tych interesujących i wartościowych filmów zazwyczaj, jeżeli chodzi o kino koreańskie właśnie czy japońskie, jest tworzone na zasadzie takiej, że reżyser jest jednocześnie scenarzystą, więc można się pokusić tutaj o takie pojęcie jakby kina autorskiego, w którym jakby tą najważniejszą część produkcji kontroluje jedna osoba.
840:  GW - I tak jest też w przypadku Squid Game, gdzie właśnie Wang Dong-hyuk się, o ile dobrze kojarzę, twórca się nazywa, no to
851:  GW - Wystartował tak naprawdę mocno, jeżeli chodzi o karierę filmową, filmem The Crucible, gdzie to też wymagało odwagi, żeby podjąć temat.
864:  GW - I tak jak tutaj odważnie podejmuje najważniejsze problemy społeczne południowej Korei, też patrząc z perspektywy historii,
871:  GW - tak samo tam podejmował też trudny temat, bo tu chodziło o molestowanie, molestowanie seksualne uczniów szkoły dla głuchoniemy Guanzhu Inua, które było, które miało miejsce naprawdę i film
889:  GW - wzbudził taki obóz społeczny, że wrócono do rozprawy, zaostrzono karę, zmieniono prawo.
895:  GW - Tak że autor tego serialu po pierwsze miał, kolokwialnie mówiąc, z jaja mu podjąć ciężki temat i jednocześnie sprawił przez swoją twórczość, że rzeczywistość wokół niego no stała się w jakiś sposób lepsza.
911:  GW - Więc tutaj też jeszcze trzeba nadmienić to, że mamy do czynienia też z, no, odważnym autorem.
918:  BFP - Tak, no ja się cieszę, zbudowaliście mi schodki, żebym wreszcie mógł zrobić niezły wsad do kosza, jak Bugs Bunny w Space Jam.
927:  BFP - I zacznę od tego, że rzeczywiście twórca Squid Game pracował nad tym serialem od 2008 roku.
936:  BFP - Polecam, w sieci są takie charakterystyczne kadry nawiązujące do jednego z japońskich filmów, ty na pewno Grzegorz go widziałeś, na pewno znasz, ale ja sobie nie przypomnę nazwy w tym momencie.
946:  BFP - Natomiast są kadry, które wprost nawiązują, a właśnie nie wiem, czy to nie było jakieś Gods Game, czy coś takiego, coś z Gods w tytule.
955:  BFP - Coś z bogami w tytule.
956:  BFP - To jest do sprawdzenia, jak ja teraz będę mówił, to można ewentualnie sprawdzić.
959:  BFP - I rzeczywiście kadr do kadru były niemalże takie same ujęcia, jak w przypadku serialu Squid Game.
965:  BFP - Natomiast przekonuje mnie to, co mówi autor, że on zaczął pracować nad Squid Game od 2008 roku, on nawet jeszcze nie widział tamtego filmu, mógł
973:  BFP - zrobić zabiegi, które jeżeli chodzi o ujęcia, prace kamery były wzorowaniem na tym japońskim filmie, natomiast jeżeli chodzi o założenia fabularne to było to zupełnie świeże z jego podejścia i tak jak faktycznie to widzimy na ekranie.
988:  BFP - Natomiast
992:  BFP - Grzegorz wspomniał o tym, jak bardzo pierwszy odcinek pokazuje, czym się różnią produkcje zachodnie od wschodnich.
999:  BFP - Ja nie mogę na to nie zwrócić uwagi.
1001:  BFP - Polecam taką książkę, Geografia myślenia.
1004:  BFP - która zajmuje się między innymi tym, co to znaczy konfucjanizm, w jaki sposób Japończycy, Koreańczycy czy Chińczycy patrzą bardziej kolektywnie i całościowo holistycznie na pewne rzeczy, ale jedna z najbardziej charakterystycznych rzeczy jest taka, że kiedy porównało się, w jaki sposób prowadzi się zajęcia z historii na uczelniach zachodnich, a na uczelniach wschodnich, to wyszło na to, że my na Zachodzie mamy bardzo faktograficzne podejście.
1029:  BFP - My musimy rozumieć sekwencję zdarzeń
1031:  BFP - i wynikanie na zasadzie przyczyna-skutek.
1036:  BFP - A ludzie wschodu znacznie bardziej interesują się kontekstem, na zasadzie zrozumień, czemu ten władca podjął taką decyzję, jakie były jego relacje z resztą rodziny, bo wiadomo, że komórka społeczna jako rodzina, czy rodzina jako komórka społeczna w kontekście całości jest niezwykle ważna w filozofii i kulturze wschodu.
1055:  BFP - I zobaczcie, co się dzieje w tym pierwszym odcinku.
1057:  BFP - Mamy w scenariopisarstwie coś, co się nazywa inciting incident, czyli to wydarzenie, które inicjuje resztę zdarzeń.
1066:  BFP - Squid Game w największym uproszczeniu jest historią grupy ludzi, chociaż ma jednego charakterystycznego protagonistę, ale jest historią grupy bohaterów, którzy uczestniczą w grze, w której mogą wygrać wielkie pieniądze albo stracić życie.
1078:  BFP - A gra charakteryzuje się tym,
1081:  BFP - że jest oparta na zabawach znanych z koreańskiego folkloru, z koreańskiej kultury, które bawią się dzieci na ulicy, w domach, na długo przed wymyśleniem komputera internetu i Fortnite'a i Battle Royale.
1096:  BFP - I to, co łączy wszystkie te postaci, to to, że znalazły się w trudnej sytuacji życiowej finansowo.
1101:  BFP - To jest wszystko to, co można powiedzieć o Squid Game.
1104:  BFP - Jeżeli chodzi o założenie, czy też koncept fabularny, który jest dość oryginalny.
1108:  BFP - Więc inciting incident, który pojawia się w serialu, to jest ten moment, w którym główny bohater zaczyna prowadzić zabawę z kimś, kto zaprasza go do tej gry, daje mu wizytówkę, mówi zadzwoń pod ten numer, pojaw się w tym miejscu, zaczniesz rozgrywkę.
1121:  BFP - Zazwyczaj seriale zachodniej produkcji, czy też filmy zachodniej produkcji mają stosunkowo szybko wprowadzony inciting incident.
1130:  BFP - Czyli często zanim w ogóle poznamy bohatera, mamy inciting incident, a bohatera poznajemy przez retrospekcję.
1137:  BFP - A w ogóle w tym serialu nie mamy żadnych retrospekcji poza jedną krótką z fabryki, a wszystkie pozostałe są gdzieś tam tylko w dialogach między postaciami, ale nie mamy jako takich retrospekcji w ogóle.
1149:  BFP - A tutaj mamy dobry 45 minut materiału, w którym poznajemy głównego bohatera.
1155:  BFP - Czyli to, co powiedziałeś Krzysztof o znakomity zresztą film Upadek z Michaelem Douglasem.
1161:  BFP - Poznajemy jego sytuację życiową, dowiadujemy się o jego relacjach rodzinnych, jego matce, jego córce, o jego byłej żonie, o jego...
1169:  BFP - nawykach, o jego nałogach, o jego problemach, o jego przyjaciołach.
1174:  BFP - Widzimy cały ten kontekst człowieka, który się stacza i dopiero wtedy, dopiero wtedy pojawia się inciting incident.
1180:  BFP - Czyli nie mamy tego opowiedzionego przez retrospekcję.
1182:  BFP - Najpierw poznaliśmy ten kontekst, zrozumieliśmy dlaczego, weszliśmy w buty bohatera i zaczęliśmy empatyzować z nim, zanim pochyliliśmy fabułę naprzód.
1191:  BFP - I to była taka pierwsza rzecz, która mnie zachwyciła w pierwszym odcinku.
1195:  KMM - Od razu muszę zrobić follow-up do tego, co się dzieje w drugim w tym kontekście, bo tytuł drugiego odcinka brzmi Hell.
1203:  KMM - To jest piękne, bo wydaje mi nam się, że to, co się dzieje rzeczywiście na samym początku, to znaczy zarysowana scena, w której te wyobrażenia o dziecięcych grach w słonecznym anturażu są konfrontowane z brutalną jadką,
1221:  KMM - ze snajperami, którzy strzelają do ludzi, rozwalały im mózgi i wszyscy uciekały jak zombie z tego miejsca, w którym się rozpoczyna pierwsza gra, nużając się w posoce krwi.
1233:  KMM - I wszyscy myślą tak, no przecież każdy by się wycofał z takiej gry.
1236:  KMM - Jeszcze się okazuje, że tam jest cała demokratyczna procedura.
1239:  KMM - że możemy zagłosować.
1240:  KMM - Tak, oczywiście, jak większość ludzi zdecyduje, że idziemy stąd, to stąd pójdziemy.
1246:  KMM - Ja sobie cały czas myślałem, no tak, no teraz 90% ludzi zagłosuje, że zostaję.
1251:  KMM - No i oczywiście serial zrobił mnie w bambuko, bo to się okazało, że ludzie zagłosowali, przegłosowali, że stamtąd uciekają.
1258:  KMM - I wtedy ja natychmiast sobie pomyślałem,
1260:  KMM - Bo ja niestety wychodzę bardzo często z takiej perspektywy widza popcornowego, z czego sobie zdaję sprawę i bardzo mnie to zainteresowało, chciałem więcej tych kontrastów kolorystycznych, chciałem się dowiedzieć przede wszystkim, co się tam w tym dziwnym kompleksie dzieje.
1277:  KMM - Ale przesłanie jest inne.
1278:  KMM - Przesłanie jest takie, że ludzie z bardzo prostego powodu się godzili na tę rozgrywkę w którymś momencie, bo to, co było na zewnątrz, nie było lepsze.
1286:  KMM - Mieli taką samą jadkę.
1288:  KMM - Mieli takie same szanse na wygranie, o ile nie niższe, w tej grze społecznej, która się nazywa kapitalizm i w której wszyscy przegrali, praktycznie ci uczestnicy, którzy zostali wylosowani właśnie przy tym inciting incident, jak powiedziałeś.
1300:  KMM - bo okazuje się, że właśnie organizatorzy rozgrywek podchodzili do każdego, każdemu dawali szansę wygrać, każdemu dawali perspektywę wygrania i w którymś momencie oni się zorientowali, jak już wrócili stamtąd, że w sumie tamte reguły gry są czytelniejsze.
1314:  KMM - I to jest moment, w którym ja zacząłem szanować ten serial niesamowicie, bo to jest dokładnie to, co robią najlepsze dystopie.
1322:  KMM - Najlepsza dystopia mówi, że ten świat potworny, w którym jesteśmy,
1326:  KMM - na pozór jest idealny.
1328:  KMM - Wszystko jest wspaniale.
1331:  KMM - Ulubiony kadr mój z The Good Place, dystopijny tego serialu, everything is fine, na zielonym tle.
1340:  KMM - Bo są czytelne reguły gry, sterylny świat, w którym
1344:  KMM - Jesteśmy owszem zamknięci, ale on nie jest jakąś pustynią nuklearną, na której atakują nas zombiaki.
1349:  KMM - Tą pustynią nuklearną, na której nas atakują zombiaki we Squid Game jest świat współczesnego kapitalizmu.
1356:  KMM - Przeżuwa ludzi, wypluwa ich, zostawia na marginesie, z pogardą i bez jakiegokolwiek poszanowania właśnie dla czytelnych reguł.
1365:  KMM - No to był ten moment, w którym ja zacząłem tę serię oglądać i równocześnie usiłować znaleźć kompulsywnie szczękę, która już mi wielokrotnie spadła na ziemię.
1375:  BFP - Tak, ja właśnie patrzę w notatki, bo chciałem od razu podjąć po Tobie ten wątek.
1378:  BFP - Chciałem tylko zaznaczyć, że bardzo mi się podoba
1381:  BFP - z jaką gracją jebnąłeś spoiler, jak gruba Bertha pocisk po prostu w brytyjską flotę i nie było żadnego ostrzeżenia z naszej strony, ale w porządku, to spokojnie.
1395:  BFP - Serial ma 9 odcinków, więc na szczęście tylko zeszliśmy w ten drugi i rzeczywiście też chciałem, bo myślałem, że będziesz mówił o piekle, jak o tym, co się dzieje
1404:  BFP - w tym świecie zamkniętym w tym magicznym okręgu, że tak powiem, czyli tam, gdzie się odbywa gra, ale rzeczywiście piekło jest wszystko to, co się dzieje także poza grą.
1414:  BFP - A mało tego, piekło to jest to, co ja nazywam metagrą, czyli gra, która odbywa się między grami, między poszczególnymi rozgrywkami.
1420:  BFP - O tym będziemy mówili na pewno więcej już w sferze spoilerów, Krzysztof.
1424:  BFP - Ale chciałem faktycznie podjąć ten wątek, o którym zacząłeś mówić, dotyczący metafory kapitalizmu.
1429:  BFP - Tak, to jest wszystkie rozgrywki, które widzimy w tym serialu, a będziemy o nich jeszcze mówili, bo to jest naprawdę jeden z najmocniejszych punktów tego serialu, jeżeli chodzi o samo ustrukturyzowanie fabuły, że za każdym razem
1443:  BFP - czekamy z wypiekami na twarz, żeby zobaczyć co będzie kolejną grą, bo cały czas udaje się przebić nasze oczekiwania, cały czas udaje się wprowadzić na wyższy albo na inny przynajmniej poziom ten serial, wprowadzając kolejne gry, które nie tylko fajnie się obserwuje, ale pokazują jak zmienia się dynamika w grupie, pokazuje czy przeżyją konkretne postaci czy też nie, naprawdę posuwa tę fabułę naprzód i każda kolejna rozgrywka to tak naprawdę jest motor napędowy fabuły.
1468:  BFP - Ale jednocześnie każda z tych rozgrywek jest tak naprawdę ilustracją dzikiego kapitalizmu, czy takiego hiperkapitalizmu, bo tak, każdy z bohaterów, a ja mam na myśli nie tylko bohaterów, mam na myśli także postaci, czyli ponad 500, nie, około 500 graczy, chyba tam 456 graczy łącznie.
1486:  456.
1486:  BFP - Tak, 456 graczy, których widzimy w tym serialu, to wszyscy są ludzie, którzy przegrali z systemem kapitalistycznym.
1495:  BFP - Można się spierać, i to dlatego trwają od lat dyskusje ideologiczne między prawicą a lewicą, czy to są ludzie, którzy przegrali na własne życzenie, na zasadzie, no przecież nikt mu nie przykładał igły do żyły, to sam sobie wstrzyknął heroinę, czy może są to ludzie, którzy przegrali po prostu, bo z góry mieli trudniej.
1516:  BFP - I mamy zarówno takich bohaterów, którzy możemy uznać mieli trudniej, jak jedna z głównych kobiecych bohaterek, która uciekła z Korei Północnej.
1524:  BFP - A z drugiej strony mamy bankiera, inwestora i analityka giełdowego, który defraudował olbrzymie pieniądze.
1531:  BFP - A z trzeciej mafiozów.
1532:  BFP - A z trzeciej mafiozów.
1534:  BFP - Ale każdy z nich, tak jak Tao, tak jak Yin Yang, ma w sobie trochę czerni, ma w sobie trochę bieli.
1544:  BFP - Ale to, co ich łączy bez wątpienia, to jest to, że przegrali systemem kapitalistycznym.
1548:  BFP - Jako jednostki przegrali systemem kapitalistycznym.
1550:  BFP - I to, co mi się podobało, że kiedy już przystępują do tej gry,
1555:  BFP - to ta gra, każda rozgrywka jest skonstruowana jak kapitalizm w założeniu neoliberała.
1561:  BFP - To znaczy każdy ma równe szanse.
1564:  BFP - Każdy kto konstruował tę grę, nie będziemy mówili w szczegółach kto to jest, zresztą tak naprawdę serial pozostawia to troszeczkę w takiej mgiełce niepewności kto stworzył tę grę,
1574:  BFP - Zakładał, to musi być maksymalnie egalitarne.
1576:  BFP - Każdy ma równe szanse.
1579:  BFP - Każdy ma takie same szanse, żeby wygrać.
1583:  BFP - I taki w założeniu jest kapitalizm według neoliberałów.
1586:  BFP - Jest tylko jedno ale, że w tej grze, podobnie w kapitalizmie, naprawdę kluczowe jest szczęście.
1592:  BFP - że podjąłeś jakąś decyzję, wybrałeś, że chcesz dołączyć do tej drużyny albo wybrałeś taki, a nie inny symbol, parasol zamiast trójkąta i masz przerąbane.
1601:  BFP - Masz przerąbane przez jedną decyzję, bo podobnie jak w kapitalizmie okazuje się, że jedna decyzja
1607:  BFP - i mówię o czymś, na co ty masz wpływ, ale nie masz świadomości, jakie konsekwencje będzie miała twoja decyzja.
1611:  GW - Albo inaczej, czasami punkt startu po prostu.
1615:  GW - Tak, tak.
1616:  GW - To nie jest zawsze tak, że decydujesz o swoim punkcie startu.
1619:  GW - Tu jest problem.
1620:  GW - Tu jest cały caveat tego systemu.
1621:  GW - Zostawiam ci to do rozwinięcia, bo to... To znaczy, powiedzmy,
1628:  GW - Tutaj cały czas jest to rozważanie, na ile powinniśmy wyrównywać szanse.
1636:  GW - Tak, tutaj nie chcę za bardzo i zbyt mocno wyjeżdżać z Jordanem Petersonem, który mówi cały czas, krytykuje wyrównanie
1645:  GW - wyrównanie efektu końcowego jakby tego, gdzie chcemy się znaleźć, tylko bardziej jest za wyrównywaniem tego punktu startowego, no ale no tak jest.
