Shōgun | Omówienie odc. 1-3
🔗 https://www.youtube.com/watch?v=4St49k3ZVBE
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
ML (Michał Lipiński, Ponarzekajmy o Filmach)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

41:  BFP - Dobry wieczór.
760:  BFP - Bo John Blackthorne, czyli Anglik, który jest w zasadzie protagonistą serii, tak tej remake'owanej, jak i oryginalnej, posługuje się językiem portugalskim cały czas i w zasadzie jeżeli ktokolwiek go tłumaczy, tak jak Mariko,
776:  BFP - to używa języka portugalskiego i to też Portugalczycy zdominowali Japonię.
780:  BFP - To zaznaczmy, to jest dość interesujące, że na razie mamy ten wątek gdzieś w tle, ale on będzie myślę katalizatorem zdarzeń, które nastąpią.
789:  BFP - Naprawdę jest tak, że Portugalczycy i Hiszpanie w tamtym czasie podzielili się potencjalnymi koloniami i plan na Japonię Portugalczyków
799:  BFP - I to nie jest wymysł autora.
801:  BFP - Plan był taki, że będą konwertować na katolicyzm przede wszystkim rękoma Towarzystwa Jezusowego, czyli jezuitów.
809:  BFP - Ale przede wszystkim warlordów, czyli tych, którzy są, dajmy o tych, którzy są przywódcami, przekonwertują na katolicyzm w taki sposób, żeby po prostu… A potem stworzą sobie Lenno tak naprawdę na wschodzie.
821:  GW - Tutaj, żeby jeszcze było śmieszniej, to sama postać Blackthorna jest wzorowana na postaci historycznej, o ile dobrze pamiętam, Williama Adamsa, to był właśnie Anglik, który przybył do Japonii.
832:  GW - Miał właśnie dwójkę dzieci w Anglii, ożenił się ostatecznie z Japonką i jego działania tam pozwoliły uwolnić właśnie rozgrywków.
843:  GW - To jest akurat z historii.
845:  GW - I właśnie jego działania tam pomogły jego ekipie, która się tam... William Adams się nazywał, tak.
853:  GW - Tak, William Adams.
857:  GW - Dużo rzeczy w ogóle z kontekstu historycznego tam jest właśnie brane, także to jest
861:  BFP - Przeczytam szybko tylko kilka komentarzy, bo dzisiaj czatownicy są jeszcze bardziej aktywni niż zazwyczaj, a sporo osób ma tutaj ciekawą wiedzę.
869:  BFP - Patryk27 mówi, książka Szogun została wydana w 1985 roku.
873:  BFP - Polecam audiobooka.
874:  BFP - Audioteka ma wersję z głosem Andrzeja Hausnera.
876:  BFP - Natalia mówi, że Hiroyuki Sanada, czyli ten, który gra Lorda Toranage, wspominał, że zatrudniono nawet ludzi, którzy uczyli aktorów prawidłowych gestów i poruszania się, aby było jak najbardziej zgodne z historią Japonii.
891:  BFP - I jeszcze widziałem komentarz Neil B. Ford Zod, który jest uroczy.
896:  BFP - 20 lat temu mój ojciec pokazał mi serial z Chamberlainem, teraz ja pokazałem mu nową wersję, więc ponownie przeżywamy tę historię.
904:  BFP - Jeszcze Czejnesku napisał, że generalnie cała historia Shoguna to historia powstania pierwszego Shogunatu Tokugawy, tu Toronagi.
912:  BFP - Imiona zostały pozamieniane.
913:  BFP - To prawda.
914:  BFP - Polecam wszystkim, ja to wrzucałem na czacie.
917:  BFP - Ten taki przewodniczek, który przygotowało FX, czyli stacja, która stworzyła tę serię, bo on się ukazuje na Disney+, na platformie, ale FX tak naprawdę stoi za tym serialem.
927:  BFP - Oni zrobili naprawdę bardzo fajną stronę internetową, na której możecie poczytać sobie właśnie o Sengoku Jidai, czyli tym okresie Sengoku i będziecie mieli dosłownie podane konkretne imiona,
939:  BFP - Na przykład Kurodu Nobuhisa, który jest w szogunie, to jest Odu, Nobunaga i tak dalej, i tak dalej.
946:  BFP - W zasadzie każda postać ma swój historyczny odpowiednik.
949:  BFP - Także odsyłam Was do tego, gorąco polecam.
951:  BFP - Krzysztof, chcesz coś powiedzieć, zanim mam do głosu Michałowi?
954:  KMM - Ja tylko chciałem powiedzieć ad vocem, że największy spoiler był przy filmie Mela Gibsona Pasja, bo wszyscy znali z góry fabułę.
961:  KMM - Natomiast jeżeli chodzi o serial, to jeszcze jedną rzecz wrzucę, bo dużo ludzi dopytuje właśnie, gdzie to można obejrzeć, czy warto i tak dalej.
970:  KMM - Marketing tego serialu jest żaden, przepraszam.
972:  KMM - Znaczy, ja wiem, strona jest bardzo ładnie przygotowana, ale ja się dowiedziałem zupełnie przez przypadek jeszcze z twojego streama, jak robiłem przed zapadnięciem na chorobę, czyli to prawdopodobnie było jakiś tydzień temu, i ludzie reklamowali, to tam widziałem, czy nie, no parę tygodni temu, i ludzie reklamowali ten serial i mówili, że właśnie jest bardzo dobry i że warto zobaczyć, więc ja się dowiedziałem o tym pocztą pantoflową, nie wiem jak wy, ale mam też wrażenie, że popularność niska platformy Disney+, akurat w Polsce temu nie służy, gdyby to było na Netflixie,
999:  KMM - to podejrzewam, że serial by zyskał niesamowity rozgłos.
1003:  BFP - Sporo osób mówi, że to jest nieprawda, to co mówisz, w takim sensie, że Łukasz na przykład mówi, że w kinie była reklama, Mikołaj mówi, że to nieprawda.
1010:  BFP - Moje doświadczenia z Szogunem są takie, że jednak sporo słyszałem o tym serialu, wyświetlało mi się sporo reklam, banerów, gdzieś tam chodził za mną ten serial, więc ja nie mogę powiedzieć, że tak jest.
1023:  BFP - Natomiast w momencie, w którym faktycznie wystartowała emisja tego serialu, niekoniecznie przed, ale w momencie jak wystartowała emisja.
1030:  BFP - Michale, oddaję Ci głos, możesz też ad vocem wypowiedzieć się, bo Ty siedzisz w serialach nawet bardziej niż my, więc nie wiem, czy potwierdzasz to, że była słaba promocja?
1041:  ML - Znaczy, wiecie, my żyjemy w swoich bańkach, więc ja w mojej bańce miałem dużo Szoguna naokoło, bo non stop ktoś mnie pytał, czy by jeszcze cenzował, a tu, a koniec się obejrzył, a ten, o niedługo Szogun, więc no ja już od dawna jakby śledziłem, ale to, wiecie, no to jest bańka tego, że mi ludzie to piszą w komentarzach, więc nie wiem, czy jakbym znajomych zapytał, czy słyszeli, nie, takich zwykłych...
1062:  ML - także nie wiem, czy dali ciała, czy nie, ale myślę, że teraz tą pocztą pantoflową zasłużenie się rozniesie, więc tak czy siak, może nie przy trzecim odcinku, może przy dziesiątym, ale myślę, że to, wiecie, będzie boom na Szoguna, bo jest dobry.
1075:  BFP - No pierwsza rzecz, która mnie poraziła, jak zacząłem oglądać ten serial, to jest rzadko bardzo używam tych zwrotów i jak już ich używam, to używam ich strategicznie, bo są nadużywane, wyświechtane, aż powycierane, ale ten serial jest bardzo
1092:  BFP - Politycznie niepoprawny.
1094:  BFP - W najlepszym sensie tych słów.
1097:  BFP - Chodzi mi o fantastyczne dialogi między Johnem Blackthornem a ojcem Rodriguezem, jezuitą zresztą, którzy non-stop na tle seksualnym sobie cisną po sobie.
1108:  GW - Brakuje tylko po prostu jakichś tekstów o dymaniu matek.
1111:  GW - Tak, tak.
1112:  GW - Ale nie, nie.
1113:  GW - To są.
1114:  GW - Było blisko.
1114:  GW - Kilka razy.
1115:  GW - A może faktycznie.
1116:  BFP - Było blisko.
1117:  BFP - Na granicy, są, cały czas są na granicy po jechaniu po własnych matkach.
1121:  BFP - Jest ultra brutalny.
1123:  BFP - Przypomnę, w drugim odcinku bodajże, tak, to jest drugi odcinek, scenę skrytobójstwa.
1130:  BFP - Kiedy jedna ze służek na dworze Toranagi zaczyna po prostu mordować, bo chce zabić Ainjina, czyli obcego Blackthorna.
1142:  BFP - No to...
1143:  BFP - To nie jest tak, że, jak widzę w niektórych serialach, ale wiecie, nie może być tak, że zabija kobiety na przykład.
1148:  BFP - Nie, tam kobieta wyżyna po prostu inne bogoducha w inne kobiety, tylko dlatego, że stoją na jej drodze.
1153:  BFP - Więc, no już nie wspominam o sławetnej scenie, która straumatyzowała Rysława dwa razy.
1158:  BFP - Straumatyzowała go za młodu i straumatyzowała go teraz.
1161:  BFP - I myślę, że Krzysztofa też, bo nie lubi takich rzeczy, a mnie nawet straumatyzowało, chociaż lubię go...
1168:  BFP - To jest w pierwszym odcinku scena człowieka, który zostaje ugotowany na śmierć.
1174:  GW - Jakby to były pająki, to co innego.
1180:  GW - Trzeba sobie wziąć na poprawkę to, iż serial bardzo mocno tonuje rzeczy, które są pokazane w książce.
1191:  GW - Książka jest jeszcze bardziej brutalna.
1194:  GW - rzeczy, jakie są wyczyniane z przetrzymywanymi marynarzami, to tutaj jest wersja light w serialu.
1205:  GW - Dodatkowo wydaje mi się, że to wręcz do absurdu tam jest popychana kwestia chociażby honorowego samobójstwa, gdyż
1218:  GW - W momencie, kiedy właśnie jest próba zabicia Andzina, która zabójczym przez przypadek o mało Toranagi tam nie kropnie, to w tym momencie Toranaga nakazuje wszystkim swoim ochroniarzom popełnić samobójstwo.
1237:  GW - To jest interesujące.
1238:  ML - No ciekawe, ale z drugiej strony jakieś tam inne jest, jeszcze z dzieckiem małym, więc... I tego w książce jest więcej.
1247:  GW - Bo trzeba wziąć pod uwagę, że tam były zasady, że jeżeli samuraj popełnia samobójstwo, to zawiódł, to cała jego rodzina, w sensie żona i dziecko też idzie w kitę.
1258:  BFP - To jest ciekawe, bo Conlan, jeden z autorów książki, chyba profesor, ja tutaj pokazuję wam bardzo fajny artykuł, który znalazłem w BBC w dziale Culture, mówi, że przemoc jako kara albo przestroga miała być spektakularna i miała być przerażająca, żeby zapewnić przestrzeganie prawa.
1282:  BFP - I sepuku między innymi miało taką funkcję, a jest nawet mowa o...
1286:  BFP - O tym, że Hideyoshi, który w serialu jest tym zmarłym warlordem, który podzielił między pięciu regentów, Taiko on miał chyba?
1297:  BFP - Tak, Taiko, dokładnie.
1298:  BFP - To on, żeby zapewnić sobie bezpieczeństwo, kazał wymordować 39 osób w swojej własnej rodzinie.
1305:  BFP - I swojego bratanka, którego wypędził i tak kazał mu popełnić sepuku, żeby nie było przypadkiem zagrożenia z jego strony do sukcesji.
1317:  GW - Niektórzy kupują ubezpieczenie na życie, a inni mordują rodzinę.
1322:  BFP - Dlatego to też tak szokowało Europejczyków, kiedy mieli zetknięcie z tą kulturą.
1327:  BFP - Zresztą ja gorąco wam polecam i myślę, że podbijecie to, polecam film Milczenie Martina Scorsese, który dzieje się w bardzo podobnym okresie.
1338:  BFP - Próbuję sobie przypomnieć
1340:  BFP - w którym czasie dzieje się Silence Martina Scorsese, gdzie oglądamy perspektywę jezuitów.
1345:  BFP - Wydaje mi się, że kilka lat wcześniej, bo widzimy jezuitów, którzy trafiają i tak naprawdę prześladowania chrześcijan.
1354:  BFP - No nie, XVII wiek, czyli trochę później nawet niż serial dzieje się akcja.
1363:  BFP - 70 lat po anime.
1365:  BFP - 70 lat po nim, okej.
1366:  BFP - No więc tam również jest ukazana nieprawdopodobna brutalność i to, jak wykorzystują Japończycy przemoc do tego, żeby, nie dla przyjemności, tylko do tego, żeby wysłać jakiś sygnał.
1377:  BFP - I wydaje mi się, że ten serial dobrze to oddaje.
1379:  BFP - Kiedy mówię o tej niepoprawności, to mam na myśli rzeczywiście powrót do klimatu z gry o tron, czyli tego, jak obcesowa jest brutalność,
1388:  BFP - Jeszcze nie mieliśmy jakiejś specjalnej nagości, może poza samym Blackthornem, jak obcesowe są wulgarne dialogi, ale dzięki temu, wiecie, ja czuję, że wciąga się tę atmosferę tych czasów i dla mnie to zostaje sprzedane znacznie lepiej niż pan Chamberlain, który jest takim niezwykle miłym dżentelmenem w tym oryginalnym...
1411:  GW - I to jest właśnie to, że pod kątem ostrości mamy... Książka to jest taki naprawdę sos ostro-ostry.
1422:  GW - Ten stary serial to jest bardzo... Tak naprawdę złagodził wszystko do oporu.
1427:  GW - A tutaj mamy taki sos mieszany w tym wszystkim, dlatego, bo... Tysiąca wysp.
1432:  GW - Tysiąca wysp to jest majonez z ketchupem, więc generalnie tam nie ma krzty ostrości.
1439:  GW - Natomiast tutaj mamy to, że...
1443:  GW - Mamy na pewno bardziej naturalistyczne podejście, mamy większy realizm, mamy lepsze stroje, mamy wszystko jakby wyniesione do tego wizualnego poziomu naprawdę bardzo wysoko.
1452:  GW - Wciąż pewne rzeczy się łagodzi względem książki, ale z drugiej strony była krytyka swego czasu i też chyba do niej się odnosi chociażby jedna z konsultantek właśnie serialu, która jest córką Clavella, czyli Michaela Clavella.
1470:  GW - że książka była często opisywana może nie do końca na prawidłowych podaniach historycznych, ale też to była perspektywa, po prostu interpretacja twórcy tamtego czasu.
1485:  GW - Natomiast tu zbalansowano może trochę o pewne podania historyczne, to jest jedno, a drugie właśnie dopasowano to mimo wszystko do
1497:  GW - widza, który ma aktualną wrażliwość, w której jednak mieliśmy tą grę o tron, wyrzynanie się, mieczowanie na ileś sposobów i tak dalej, którzy już zniosą pewne obrazy, ale jednocześnie nie poszli w dokładną interpretację książki, która byłaby jeszcze bardziej brutalna.
1514:  GW - Także wydaje mi się, że to nie jest dokładne odwzorowanie i bardzo dobrze, że to nie jest dokładne odwzorowanie książki, bo mogłaby być zbyt groteskowa po prostu w odbiorze i ten balans tutaj jest, wydaje mi się, idealny.
1528:  ML - Mogliby wyalienować trochę publiczność.
1532:  BFP - Mi się podoba, że można było pójść na ustępstwa, można było to zdisneyować.
1539:  BFP - Nomen omen.
1541:  ML - Strzelili w dobrą konwencję.
1543:  BFP - Pociągnij to, bo a propos walorów, produkcji.
1547:  ML - Ja się bardzo cieszę, bo nie wiedziałem tego, co Grzegorz mówił o książce, że było tam jeszcze więcej, ale rozumiem koncept, czyli zachowujemy konwencję realistyczną, będzie śmierć, to będzie śmierć, jak trzeba zabić dziecko w osepuku, to ten.
1558:  ML - ale nie idziemy w stronę czegoś, co w telewizji mogłoby być właśnie naprawdę alienujące widza, bo jakby tam co chwilę, nie wiem, ktoś się gotował żywcem, to część osób no będą były odpadła, albo myśląc w tych marketingowych kategoriach większego biznesu, że chcesz dotrzeć do jak największej liczby osób, musisz gdzieś to wybalansować.
1576:  ML - Także jak dla mnie, no jeśli sedno jest zachowane z tą konwencją, że to nie jest jakieś tam pieszczotliwie, prawda, głupkowate, no to
1582:  ML - Ja jestem na tak.
1584:  ML - A że wersja light, to tylko powiem, Grzegorz, że jedyna wersja light w tym pierwszym odcinku to była zrobiona z tego chłopa, który się ugotował, bo mu się tłuszcz wygotował.
1593:  ML - I tu koniec sucharów.
1599:  BFP - No tak, parę kilo można tak zrzucić.
1601:  BFP - Wytłumaczcie mi scenę, którą ja, może ona była dla mnie tak szokująca, chociaż subtelna jednak, że ją nie do końca zrozumiałem.
1608:  BFP - W pierwszym odcinku widzimy, jak Mariko, jedna z głównych bohaterek, uspokaja kobietę.
1615:  BFP - Nie wiem, czy to jest któraś z nich, nie wiem, czy to jest Fuji, czy to jest Ochiwa, na pewno nie.
1620:  BFP - Wiem, że jest jedna z kobiet, która musi oddać swoje dziecko, swoje niemowlę, które zostanie z tego, co zrozumiałem, zabite.
1627:  ML - Tak.
1628:  ML - Z ojcem, no.
1629:  BFP - Wytłumaczcie mi to, bo ja nie zrozumiałem, czy to jest kwestia dyshonoru i infamii?
1636:  GW - No, że cała linia ma leżeć, tak?
1638:  GW - W sensie, cała linia ma być wykoszona, więc potomek też idzie do ścięcia.
1644:  ML - No, bo chłop nie ogarniał właśnie gry o tron, wychylił się za szybko z zatora nagi i...
1649:  ML - To właśnie tego?
1650:  ML - Bardzo fajnej sekwencji, no tak, tak.
1652:  ML - Bo on tam jest.
1653:  ML - Powiedział, że zofuje siebie, w takim razie honorowo, razem ze swoją… przedłużeniem linii jakby, żeby wykasować linię całą, tak?
