Czy podział na literaturę wysoką i masową ma sens? - dyskusja z @KrzysztofMMaj
🔗 https://www.youtube.com/watch?v=9sO7jV7tUyA
KMM (Krzysztof M. Maj)
TLM (Tadeusz Lemiesz-Wrocławski)

0:  TLM - Jeszcze puszczam tutaj na Facebooka.
842:  KMM - Po pierwsze zacznę od tego, od czego zaczyna każdy miłośnik dekonstrukcji Jacques'a Derrida, to znaczy zaczyna sobie zadawać pytanie o to, co stoi jako przyczyna pewnego podziału.
853:  KMM - I starając się odpowiedzieć na pytanie zadane na początku tego streamu, zajrzałem sobie do Google Ngram,
859:  KMM - który pozwala na badanie frekwencyjności pewnych fraz używanych w piśmiennictwie.
864:  KMM - Konkretnie mówimy o piśmiennicy od 1800 roku do 2009.
869:  KMM - I w tym spektrum hasło high literature czy high culture pojawia się magicznie w tym samym roku.
875:  KMM - tzn.
875:  KMM - w 1960 i w tych okolicach.
877:  KMM - Wcześniej ta fraza po prostu nie była używana, ponieważ po prostu nikomu nie była potrzebna.
883:  KMM - Fraza ta zaczęła być używana, o czym pisze zresztą Roland Barthes w przyjemności tekstu, wtedy, kiedy zaczęliśmy mieć potrzebę wyróżniania petit-bourgeoisie, czyli drobnomieszczaństwa, krótko mówiąc, które miało oczywiście klasowe i arystokratyczne aspiracje, ale drobnomieszczaństwem pozostawało.
902:  KMM - Wcześniej dostęp do sztuki, do opery, do literatury, malarstwa, tutaj pięknie przedstawione jako taka rdzenna część kultury, był zarezerwowany nie tylko dla klas najwyższych, wbrew wszelkim pozorom, to znaczy wystarczy zobaczyć na strukturę żekspirowskiego we Globe, żeby wiedzieć, że tam gmin miał dokładnie taki sam przystęp do teatru, jaki
924:  KMM - klasy wyższe.
925:  KMM - Zresztą zostało to zachowane we współczesnych operach, osobliwie nie tych w Polsce.
929:  KMM - Na przykład do Metropolitan Opera w Nowym Jorku można pójść mając w kieszeni 5 dolarów, ale można też mając w kieszeni 500 dolarów.
937:  KMM - W Polsce kłócić się będę, jako że do opery chodziłem pół życia, wbrew pozorom.
943:  KMM - Jest zdecydowanie ciężej natrafić na tego rodzaju okazje, oczywiście chyba, że mówimy o wejściówkach, których zwykle jest 15.
950:  KMM - Więc ten aspekt finansowy, na którego absolutnie nie chciałbym zatrzymywać zbyt długo jest ściśle związany właśnie z realiami historycznymi, w których zaczęliśmy w ogóle wprowadzać ten podział.
961:  KMM - Podział mianowicie zawsze nie tylko ma charakter taksonomiczny, czy jakiś
966:  KMM - byśmy mu przypisywali.
968:  KMM - Podział ma z perspektywy pragmatystycznej charakter użytecznościowy, to znaczy on komuś do czegoś służy i najczęściej do jakichś celów.
976:  KMM - Faktycznie w większości swoich wypowiedzi podkreślam, że jest on wykorzystywany do celów politycznych, ale zwracam uwagę na to, że mówię o poletku polskim, gdzie to w Polsce rzeczywiście jest tak,
986:  KMM - że przez bardzo specyficzną pozycję literatury i kultury wysokiej w dobie PRL-u wytworzył się taki etos inteligenckości.
996:  KMM - Ten etos inteligenckości jest interesującym powtórzeniem tego, co się działo w latach 60.
1001:  KMM - XX wieku w Europie i było nazywane właśnie petite bourgeoisie i innymi oczywiście tego rodzaju określeniami.
1008:  KMM - Myślę, że pewnym zabawnym rysem jest to, że akurat pokazywałeś Marksa tutaj, ponieważ Marks zdecydowanie by obstawał właśnie za czytaniem klasowym tego podziału i pokazywaniem różnych problemów, które się z tym wiążą.
1022:  KMM - Dodatkowo też musimy wziąć pod uwagę to, że ten znowu pragmatystyczny, użytecznościowy charakter podziału pokazuje, że nie jest on trwały i nie jest on bynajmniej zafiksowany na takich pozycjach.
1036:  KMM - tak jak, nie wiem, elektrony walencyjne, prawda?
1038:  KMM - Tylko nie, nie.
1039:  KMM - Ten podział wygląda, jest całkowicie płynny.
1042:  KMM - Henryk Sienkiewicz był uznawany za pisarza masowego, kiepskiego, tworzącego pulpową literaturę w czasach, w których go krytykowano i zachowały się artykuły na ten temat obficie zresztą
1052:  KMM - komentowane przez głównie polonistów z Uniwersytetu Śląskiego.
1056:  KMM - Natomiast dzisiaj taka teza prawdopodobnie przyprawiłaby polonistów w większości przypadków o osłupienie i prawdopodobnie również większość uczniów, którzy się stykają z Sienkiewiczem jako właśnie kimś, kto już jest wynoszony na ołtarze.
1068:  KMM - Żeby przywołać kolejny argument z tej materii, przecież Ferdydurka Witolda Gombrowicza również jest satyrą wymierzoną w
1077:  KMM - czołobitność klasową i poddaństwo nasze wobec pewnego ideału literatury, który, no właśnie, dlaczego powstaje?
1085:  KMM - Dlatego, że komuś jest to do czegoś potrzebne.
1088:  KMM - I tutaj pojawia się tutaj ten właśnie problem związany z tym, że pewne grupy zawłaszczają określenia, które powstały na początku po to, żeby wyrazić zachwyt pięknem, ponadczasowością, uniwersalnością.
1100:  KMM - Jeśli faktycznie
1101:  KMM - to co mówisz o literaturze wysokiej, wysokoartystycznej, byłoby w mocy i byłoby taktycznie w obiegu kulturowym, to wówczas Władca Pierścieni Tolkiena by był uznawany za dzieło ponadczasowe, uniwersalne i część literatury pięknej.
1116:  KMM - Tymczasem nie jest.
1116:  KMM - Bardzo specyficzne narracje fantastyczne przechodzą do tego kanonu, nazwijmy to.
1122:  KMM - I co charakterystyczne, jeżeli prześledzimy sobie jakie, byłby to na przykład Lewis Carroll, Alicja w Krainie Czarów,
1129:  KMM - Jonathan Carroll i Kraj Niechichów, następnie Bruno Schultz i sklepy cynamonowe, przemiana Franza Hawki, to są wszystko przyjawy fantastyki.
1140:  KMM - I żeby było jeszcze śmieszniej, w niektórych przypadkach światotwórczej.
1142:  KMM - Natomiast o, i jeszcze dorzućmy do tego 100 lat samotności Gabriela Garcia Marqueza.
1148:  KMM - Za każdym razem jakimś cudem w momencie, w którym te utwory awansują do klasy literatury wysokiej, zatracają swoje cechy różnicujące.
1157:  KMM - Przestajemy o nich mówić jako o fantastyce, przestajemy podkreślać ich gatunkowość, jak to się niestety przyjęło mawiać i mówimy o nich w ogólnikowych stwierdzeniach.
1168:  KMM - Nawet sam Bruno Schulz tego nie uniknął, własną twórczość nazywając mityzacją rzeczywistości, a nie fantastyką.
1174:  KMM - Mówiąc o niej jako o fantastyce, co już mógł w swoich czasach.
1177:  KMM - I to pokazuje właśnie, że ten podział jest całkowicie warunkowy i pojawia się wtedy, kiedy go potrzebujemy i jak powie Pierre Bourdieu w dystynkcji, pojawia się w bardzo określonych okolicznościach, to znaczy...
1189:  KMM - Zwykle jest tak, że tych kategorii literatura wysoka, literatura popularna, masowa, kultura wysoka, kultura popularna, masowa używają ludzie, którzy reprezentują albo obóz krytyczno-literacki, albo teoretyczny, albo naukowy, albo filozoficzny powiązany z tą pierwszą, tą, która piastuje wyższą pozycję w społeczeństwie.
1210:  KMM - Nie znam fanów fantastyki, którzy by używali określenia literatura masowa dezaprobatywnie w stosunku do tego, co lubią.
1218:  KMM - Za to znam bardzo wielu piewców literatury wysokiej, nazwijmy ją tak, którzy mówią w ten sposób o fantastyce i al rovecio znam bardzo wielu fanów fantastyki, którzy powiedzą z pogardą i wzgardliwym wydęciem ust o mainstreamie.
1234:  KMM - który ich tłamsi, który właśnie robi złe rzeczy.
1237:  KMM - I to się pojawia u mnie w tym moim geście obronnym, fanowskim, tylko zwracam właśnie uwagę, że jest to gest obronny.
1244:  KMM - To, że on jest zaczepno obronny, wynika z mojej osobowości.
1247:  KMM - Natomiast mówiąc z perspektywy fana fantastyki, który nie miał w bibliotekach do niej dostępu, musiał ją kupować, który nie mógł chodzić do teatru na spektakle fantastyczne, bo po prostu ich nie było, który nie mógł chodzić do kina na polskie filmy o tematyce fantastycznej, bo ich po prostu nie było,
1264:  KMM - i który nie mógł chodzić do opery i widzieć tego rodzaju wystawień fantastycznych, bo ich po prostu nie było.
1271:  KMM - Ja czułem, że moja część kultury jest w żaden sposób niereprezentowana, czy niereprezentowalna nawet w głównym obiegu i stąd się brało to poczucie wykluczenia.
1282:  KMM - I dlatego też w momencie, w którym dużo ludzi zaczyna wskazywać na ten problem, powinniśmy pamiętać, że nie zaistniałby on, gdyby się w pierwszej kolejności nie poczuli wykluczeni.
1295:  TLM - Dziękuję bardzo.
1297:  TLM - No cóż, w takim razie, tutaj było parę momentów, gdzie korciło, żeby wskoczyć, ale na to będzie pora.
1307:  TLM - Więc tak, teraz przejdziemy do sekcji cross-examination, czyli w tej sekcji można się odnieść do opening statement, można się odnieść do innych argumentów tutaj rozmówcy, natomiast ja mam tutaj kilka pytań przygotowanych i
1324:  TLM - Postaram się zadawać je w taki sposób, żeby jak najprościej na nie było odpowiedzieć i szybko tutaj wyjaśnić.
1331:  TLM - Więc tak, tutaj może zacznę od tych, które przygotowałem, a potem przejdę do tych, które mogły wyniknąć tutaj z otwarcia.
1339:  TLM - Natomiast pierwsza taka niejasność, którą zauważyłem oglądając Twoje filmiki, która wydawała mi się momentami dosyć sprzeczna wewnętrznie, nie jestem pewien co tak naprawdę uważasz na ten temat, więc chcę tutaj to rozjaśnić, mianowicie
1355:  TLM - w jaki sposób aktualność społeczna czy polityczna, załóżmy zajmowanie się dzieła kultury, danymi palącymi tematami we współczesnym dyskursie, w jaki sposób to jest powiązane z jakąś wartością danego dzieła i w jaki sposób to jest powiązane z tym, jak bardzo powinniśmy dane dzieło promować, na przykład dla, no załóżmy dla dzieci w tym kanonie lektur szkolnych.
1383:  KMM - Mnie niepokoi słowo promowanie zawsze, to znaczy zastanawiam się dlaczego mamy potrzebę promowania jakiegoś typu literatury, podczas gdy powinniśmy uczyć i interpretować.
1394:  KMM - I tutaj moja polemika będzie podążała właśnie w tym kierunku.
1398:  KMM - Nie podoba mi się, że nagrody literackie funkcjonują na zasadzie promocji, a nie nagrody dla wysiłku twórczego.
1405:  KMM - I nie podoba mi się również, że pieniądze podatników, które wszyscy podkreślam, łożymy na Ministerstwo Kultury, przekierowywane są tylko na opłacanie określonego segmentu kultury, osobliwie takiego, który pewnym ludziom wydaje się wartościowy.
1418:  KMM - Problem polega na tym, że kryteria
1420:  KMM - zgodnie z którymi ustalamy tę wartościowość, no cóż, są do zaobserwowania w momencie, w którym na przykład jest się wewnątrz środowiska literaturoznawczego.
1428:  KMM - Byłem w nim przez 10 lat i widziałem, jak wyglądają kryteria, jak wygląda ustalanie kryteriów.
1433:  KMM - Obserwowałem rosnącą sławę Doroty Masłowskiej i nie mam wrażenia takiego, żeby te kryteria były całkowicie obiektywne i wysoko artystyczne, tak jakbyśmy tego chcieli.
1444:  KMM - Bo jeżeli byśmy przyjęli taką miarę, jaką przyjmujesz do chociażby
1449:  KMM - wojny i pokoju lwatą stoja, to w świetle tego wojna polsko-ruska albo dowolna inna powieść Doroty Masłowskiej z Pawiem Królowej na czele, to jest szmira.
1458:  KMM - Po prostu.
1459:  KMM - To znaczy w ten sposób za czasów dwudziestolecia międzywojennego Bojżeleński albo Karol Irzykowski określiłby dowolną powieść współczesną reprezentującą nurty mainstreamowe, bo nie tylko Doretę Masłowską, oberwałoby się też Januszowi Głowackiemu.
1475:  TLM - Przepraszam strasznie, że ci przerwę, ale chciałbym może jeszcze raz powtórzyć o co mi chodzi w tym pytaniu.
1484:  TLM - Chodzi mi o to, czy aktualność polityczna danego dzieła, bo przepraszam, ale zauważyłem, że po prostu odbiegasz trochę, chyba że zmierzałeś do meritum, jeśli tak, to przepraszam.
1496:  KMM - Możesz doprecyzować oczywiście.
1497:  TLM - No dobrze, więc...
1499:  TLM - To, co zauważyłem w tych filmikach, co wydawało mi się sprzeczne, to to, że w jednych mówisz, że powinniśmy dawać dzieciom literaturę czy teksty kultury, które są w jakiś sposób aktualne, które są w jakiś sposób na czasie, gdyż właśnie pozwolą tym dzieciom być w bliższej styczności z problemami, z którymi boryka się świat w obecnej chwili.
1523:  TLM - Natomiast w innym filmiku, już zapominam którym, mówisz, wydajesz się mówić coś kompletnie przeciwnego, gdzie mówisz, że to ta literatura wysoka rzekomo jest tak zafiksowana na tych aktualnych problemach politycznych, nie wiem, uchodźców, czy gender, czy cokolwiek innego, które to problemy polityczne przestaną być problemami politycznymi za dwie, trzy, cztery dekady i wtedy ta literatura się zdezaktualizuje.
1550:  KMM - Dlatego...
1551:  KMM - Już wiem, na czym polega problem.
1552:  KMM - To znaczy, problem polega może na tym, że powinniśmy sobie zdefiniować na początku, dlaczego nieśmiało zachęcałem.
1557:  KMM - Jak rozumiemy te wszystkie kategorie.
1560:  KMM - Bo tego nie zrobiliśmy.
1561:  KMM - I to jest być może problem.
1562:  KMM - To znaczy, Olga Tokarczuk to nie jest literatura wysoka.
1565:  TLM - Dobrze, mogę się zgodzić jak najbardziej.
1568:  KMM - Więc na tym polega problem.
1569:  KMM - To znaczy, jeżeli będziemy patrzeć na tego rodzaju powieści, które są współczesne i które są po prostu osadzone w świecie rzeczywistym, a z automatu literaturę wysoką, to ujawniamy stereotyp, który stoi w podstawie tego rozróżnienia.
1584:  KMM - znaczy stereotyp mówi, literaturą wysoką jest wszystko to, co nie jest fantastyką, albo nie jest kryminałem, albo nie jest thrillerem, prawda?
1591:  TLM - Jak mnie bardziej, przepraszam, tutaj uprościłem, w każdym razie zgadzam się w pełni, dlatego może spytam, czy moglibyśmy się zgodzić na to, że ta literatura nie fikcyjna, będziemy ją określać jako literaturę piękną, ta współczesna, albo beletrystyką po prostu, zaś te klasyczne dzieła, które stanowią jakiś ten właśnie
1612:  TLM - substrat kulturowy, z którego się czerpie, czy to do kanonu, czy jako uznawany za jakieś arcydzieła, to będziemy nazywać wyłącznie tą literaturą czy sztuką wysoką.
1621:  TLM - I wtedy myślę, że tutaj unikniemy niejasności, jeśli tak będziemy się tym posługiwać.
1627:  KMM - Tak, ale wtedy też między nami nie ma polemiki, ponieważ ja nie uważam, żeby literatura, która jest historyczna, która jest klanonem i klasyką była do wyrzucenia.
1636:  KMM - Ja po prostu uważam, że ona jest nieosiągalna dla młodego odbiorcy i uważam to jako człowiek, który wykładał literaturoznawstwo i dalej wykłada, który odbył studia literaturoznawcze i widział z jakimi problemami borykali się studenci kierunków polonistycznych, usiłujący podejść do XVI, XVII, XVIII, XIX wiecznej polszczyzny.
1655:  KMM - I uważam, że przedatowana literatura w tym sensie nie nadaje się do szkół.
1661:  KMM - Natomiast nie uważam, że należałoby ją wykluczyć całkowicie z kultury.
1665:  KMM - Problem naczelny polega na tym, że jeżeli chcemy
1669:  KMM - uczyć faktycznie literatury i sztuki dawnej, klasycznej, to wówczas po prostu trzeba to zrobić inną metodą.
1676:  KMM - I tak przypominam, że nikt w szkole nie uczy miłości do kanonu klasycznego, literatury, uczy się nienawiści do tych książek, w większości przypadków, dlatego że przykładana jest do nich jedna sztanca interpretacyjna, która została najczęściej ukonstytuowana w czasach strukturalnych badań literackich, więc to jest jeden typ interpretacyjny,
1698:  KMM - które znają nasi nauczyciele i oni przekazują to w formie takiego wzorca do zapamiętania do matury.
1706:  KMM - Więc nie uczą tego w inny sposób niż wykładowy i wyobrażam sobie lekcje historii literatury polskiej robione w formie wykładowej, w której tak samo byśmy się dowiadywali, dlaczego dziady są wybitne, jak dowiadujemy się, że ważna była i wybitna przysięga Kościuszki na rynku, tylko że nie czytamy jej treści.
1724:  KMM - I osobiście uważam, że nie byłoby żadnych różnic na maturach z tą różnicą, że moglibyśmy wtedy tę przestrzeń, którą mamy na lekcjach, które powinny służyć właśnie zapoznaniu ze współczesną kulturą poświęcić takim utworom, które albo się podobają, albo niosą ze sobą wartość współczesną w postaci komentarza, ale nie jako jedyną samą w sobie, bo nie uważam, że należy czytać
1747:  KMM - reportaż z aneksji Krymu na przykład, dlatego tylko, że on ma wartość jako dzieło współczesne, bo musi mieć jeszcze jakąś wartość literacką.
1756:  KMM - I zwykle złośliwie dodaję, że fantastyka jest jednym z tych nielicznych nurtów literackich, który zawsze będzie mieć tę wartość dodaną z tego względu, że wytwarza fantastyczny, fikcyjny świat.
1767:  KMM - I obok tego może być komentarz polityczny, obok tego może być wartość literacka, ale zawsze ta wartość dodana w postaci światotwórstwa zostanie.
