The Game Changer | Krzysztof Maj | TEDxAGHUniversity
🔗 https://www.youtube.com/watch?v=CyI7-C4gPYg

14:  Dzień dobry Państwu.
261:  U mnie akurat tą fazą następującą po rozgrywce jest bardzo często refleksja nad tym, w co zagrałem, co tam się wydarzyło.
269:  W jaki sposób mogę o tym opowiedzieć także tym ludziom, którzy uważają, że gry wideo powodują zawał i choroby serca.
276:  Oczywiście automatycznie i zawsze.
277:  No i naturalnie prowadzą do morderstw.
280:  I wreszcie mamy kolejne fazy tego cyklu.
283:  W moim przypadku było akurat tak, że w 2020 roku jak rozgorzała pandemia stwierdziłem, że muszę swoim studentom zapewnić maksymalną jakość wykładu, więc kupiłem mikrofon, kupiłem światła, kupiłem kamerę i stwierdziłem w sumie YouTube.
296:  No i nagle się okazało, że im więcej robię rzeczy na vlogu na YouTubie, czy streamuję z gier wideo, tym więcej mam przemyśleń dla moich studentów, tym chętniej gram w gry wideo, więc tym chętniej je badam i w ten sposób koło się zamyka, a ja ani cały czas nie odpoczywam, ani też cały czas nie pracuję, bo jest nieprawdą to, że ten, kto zajmuje się tym, co kocha, nie przepracuje ani jednej godziny.
318:  Wręcz przeciwnie, będzie pracował całe życie.
320:  Ale być może właśnie ta praca będzie zupełnie inna niż te cios, do których jesteśmy zmuszani.
326:  zazwyczaj.
328:  No i wreszcie, jak gry wideo zmieniły moje życie, jak pasje stały się czymś, co zaczęło mnie skłaniać do tego, żeby dokonywać refleksji nad kulturą, która nas otacza.
338:  No bo wiecie dobrze Państwo, jak wygląda obraz gracza, to znaczy rzadziej kojarzymy gracza z tą grupą wiekową, która gra w gry wideo, najczęściej to znaczy 24 do 32, to jest wedle statystyk największa grupa.
352:  tylko częściej właśnie z takimi bachorami, które sobie siedzą i pykają w gierki, prawda?
356:  Ale równocześnie zapominamy o tym, że gry wideo po pierwsze już mają jakieś 20-30 lat, przynajmniej te wysoko rozwinięte, i stają się po prostu jednym z rodzajów mediów.
366:  I jakoś nie mają państwo takiej grupy odbiorczej, wdrukowanej, gdy mówimy na przykład o pójściu na Festival of Camera, bo oczywiście kino niezależne jest lepsze od Marvela w multiplexie,
378:  Nie mówimy tak, jeżeli ktoś czyta książkę, przypominam, że jest na fanpage'u na Facebooku takie hasełko, nie czytasz, nie idę z tobą do łóżka.
387:  Ja czekam wreszcie na fanpage, nie grasz, nie idę z tobą do łóżka, to byłoby znacznie bardziej optymistyczne i wreszcie...
394:  Muzeum.
395:  Chciałbym kiedykolwiek usłyszeć ktokolwiek, kto powie komukolwiek, o, jak idziesz do muzeum, to tracisz czas, to jest niepotrzebne, po co ci to, zrób coś lepiej, pożytecznego, wyrzuć śmieci, przygotuj obiad, pójdź do cioci Agatki, tak?
411:  I gdybym pokazał Państwu tego rodzaju zwroty, którymi bardzo często się wymieniamy w rodzinach, że znowu grasz w tę grę wideo, dlaczego marnujesz swój czas?
421:  No to ja, proszę Państwa, zmarnowałem na to.
425:  Nie widzę na slajdzie, bo nie mam okularów, ponad 6 tysięcy godzin, to jest okrągły rok z mojego życia.
430:  Czyli gdyby odjąć ty od tylu lat, ile mam, miałbym 31.
433:  W takim razie oznacza to wszystko, że to jest jakieś katastrofalne marnotrawstwo czasu, a Państwo rozmawiają z życiowym utracjuszem i przegrywają.
441:  W imię Boga.
444:  Gdy tymczasem, jak zobaczymy sobie na tę samą wartość 10 godzin czytania i nawet i 20 tysięcy godzin straconego życia, to najczęstsza reakcja będzie oczywiście skrobanie się po pobródku.
455:  No tak, tak, czytanie rozwija wyobraźnię i tak dalej, i tak dalej, i tak dalej.
459:  Ja mówię państwu, wygłosić cykl wykładów na temat tego, jakie gry wideo mają pozytywy, ale dostałem tylko 27 minut, w związku z powyższym muszę się ograniczać do takich sztikwortów.
468:  A zatem potraktujmy gry wideo jako po prostu medium.
472:  Ale problem polega na tym, że gry wideo to nie jest tylko i wyłącznie medium.
476:  Bo można sobie zadać pytanie następujące, powiedziałem odzyskawszy równowagę na tym czerwonym polu.
482:  Mianowicie, jak to jest, że do gier wideo wracamy?
486:  Jak to jest właśnie, że można utopić 6 tysięcy godzin i się nie zorientować?
491:  gdy tymczasem, jeżeli pójdziemy do muzeum, to wiemy, każda minuta, która upływa, zwłaszcza jeżeli przewodnik mówi bardzo interesująco.
501:  Moja teza jest taka, że gry wideo nie są grami wideo.
503:  Dziękuję, do widzenia.
505:  Gry wideo mianowicie są światami.
507:  To znaczy, jeżeli zagramy w grę wideo, skończymy fabułę, to mają Państwo coś, co się nazywa endgame dosłownie, czyli koniec rozgrywki.
515:  I ten koniec rozgrywki najczęściej jest momentem, w którym zaczyna się przyjemność.
519:  I to jest pewien paradoks.
521:  Czyli przyjemność z gry zaczyna się wtedy, kiedy wykonamy już wszystkie obowiązki, wlewelujemy tę naszą postać, będziemy tym popapranym magusem, który będzie strzelać kulami ognia i armagedonem.
531:  I wreszcie będziemy mogli zająć się tym, co jest sednem rozgrywki, czyli role play, a więc wcielanie się w rolę, a także, pun intended, lore play, a więc granie w wiedzę o tym świecie, zadamawianie się w tym świecie.
546:  traktowanie tego jako po prostu miejsce, które zwiedzamy i z którego możemy mieć jakieś wspomnienia.
551:  I pomyślcie sobie państwo spekulacje teoretyczne, a ja odpowiem nie do końca, bo oto mamy początek gry Genshin Impact, w którą zacząłem grać dzięki moim studentom.
561:  I pierwsza rzecz, jaka nam się ukazuje na samym początku,
564:  to jest brama prowadząca nas do innej rzeczywistości, do innego świata.
569:  I oczywiście nie jest to jeden z przykładów, no bo mógłbym jeszcze wymienić szereg innych, mógłbym wymienić na przykład Bioshock'a i Infinity pozostałe.
578:  A prawda jest taka, że ten świat, do którego zdążamy właśnie, to jest rzeczywistość, którą mogą państwo współtworzyć.
586:  To się różni znacząco od doświadczenia, jakie mamy w każdym innym medium.
591:  Książka się kiedyś kończy, możemy ją tylko przeczytać drugi raz.
595:  Film się kiedyś skończy, możemy go obejrzeć drugi raz i tak dalej, i tak dalej.
599:  Natomiast gra wideo, którą państwo teraz widzą, to znaczy Unfinished Swarm, w której zatapiamy się w świat płócien matki naszego bohatera, jest jednolicie biała.
609:  I ten akt rozsiewania wszędzie kropel atramentu, zaczerniania świata jest najpiękniejszą metaforą takiego oddolnego światotworzenia, jakie mi się udało znaleźć.
619:  Bo przecież w tym momencie, jak my wytwarzamy tę rzeczywistość czarno na białym, to za każdym razem będzie to inaczej, każdy gracz zrobi to inaczej, każdy gracz przejdzie inną ścieżkę w tej grze wideo i oczywiście nie muszę Państwa przekonywać, że jeśli dzieje się to w tak prostej przestrzeni, w o wiele bardziej skomplikowanych będziemy mieli do czynienia ze wzrostem wykładniczym tej czynności.
641:  To jest też bardzo dobry test na to, żeby się przekonać, jak działa perspektywa narracyjna.
646:  Narrator zawsze pokazuje nam tylko część świata, a to my jesteśmy w grze wideonarratorem i to my decydujemy o tym, jaka część świata zostanie nam ukazana.
656:  jeżeli byśmy zaczernili cały ten świat, to byłby przykład interpretacji paranoidalnej.
661:  Ale oczywiście nikt tego nie robi, ponieważ sednem tego doświadczenia jest jednak eksplorowanie wędrówka i dotarcie dalej.
668:  Jest taki piękny moment w grze, gdy możemy się odwrócić i widzimy ten szlak, który pozostawiliśmy po sobie w tym świecie.
675:  Ale oczywiście, jeżeli właśnie zrobimy to, co Państwu obiecałem przed chwilą, to znaczy zajmiemy się jakimś bardziej zaawansowanym przykładem, to przecież możemy się przenieść w realia starożytnej Grecji, w Assassin's Creed Odyssey i zobaczyć starożytną Grecję taką, jaka ona była.
687:  Ja tutaj ze względów estetycznych Państwu to
690:  Zrobiłem na czarno-biało, żeby nie było, że gry wideo kolorowe i dla dzieci, tylko żeby było ładnie estetycznie i minimalistycznie.
697:  Natomiast prawda jest taka, że w tej grze wideo dostajemy bardziej autentyczny obraz starożytnej Grecji niż w podręcznikach szkolnych, gdzie te wszystkie kolumny są białe i Akropol jest biały, gdy tymczasem w oryginale on tętnił barwami i przenosił nas faktycznie do zupełnie innej rzeczywistości.
713:  Ja kiedyś miałem takie doświadczenie, jak pojechałem na konferencję do Stambułu, że szukałem kompulsywnie pałacu bazyleusów bizantyjskich.
721:  Zapomniałem oczywiście o tym, że został on zniszczony przez Turków, ale ja w swojej grze w Assassin's Creed Revelation go zwiedziłem.
727:  W związku z powyższym moje doświadczenie zwiedzania Stambułu z gry wideo było o wiele lepsze niż doświadczenie zwiedzania Stambułu za 4 tysiące all inclusive.
735:  Zwłaszcza, że mogłem na przykład się wyspindać na szczyt Aisofii i podziwiać sobie to wszystko z lotu ptaka, gdy tymczasem w samym Stambule przywitały mnie rusztowania, bo oczywiście mój słynny pech, Stambuł musiał być wtedy praktycznie w połowie remontowany, włącznie z jego głównym zabytkiem, po który wszyscy jadą do Stambułu, żeby go właśnie zobaczyć, koniec tej kombatanckiej opowiastki dla Państwa.
758:  Idąc jeszcze dalej, możemy sobie przywołać przykład, chyba mój ukochany, Bioshock Infinite, gry, w której przenosimy się do stanu Kolumbia w alternatywnej rzeczywistości XX wieku, gdzie stan Kolumbia dokonał secesji doskonałej, takiej, jaka by się marzyła Donaldowi Trumpowi.
774:  To znaczy, po prostu oderwał się od ziemi całkowicie i wzniósł się w przestworza, gdzie stworzono idealną teokratyczną dyktaturę.
783:  I fakt sam, że ta gra jest first-person shooterem, czyli to, co Państwo znają jako piu, piu,
787:  piu, piu, piu, strzelanka, nie?
789:  W ogóle w żaden sposób nie zszywa się z tym obrazem świata, który otrzymujemy i z bardzo poważną narracją na temat konsekwencji zamknięcia jakiejś społeczności autorytarnej i konsekwencji zarazem budowania społeczeństwa na uprzedzeniach rasowych, które w tym świecie urastają do takiej podstawy światotwórczej.
809:  Jest taki przejmujący moment tej gry
811:  Tuż po tym, co Państwo w tej chwili oglądają, jak nasza postać ma uderzyć piłeczką w małżeństwo mieszane, dwurasowe, na polecenie konferansjera.
820:  I możemy tego nie zrobić albo to zrobić.
822:  To jest właśnie ten przykład agencyjności, sprawczości, którą dają nam gry wideo, a której nie daje literatura.
829:  Jak wydawnictwo Znak Pozdrowienia publikuje np.
832:  książkę o brutalnym gwałcie,
833:  Możemy to jako czytelnik przeczytać lub tego nie przeczytać.
836:  W grze wideo moglibyśmy temu zapobiec.
839:  W grze wideo moglibyśmy podjąć decyzje o charakterze etycznym, na co stare, nieinteraktywne media nam nie pozwalają.
846:  I ja żyję, badam gry wideo, gram w gry wideo właśnie dla takich momentów, dla chwil powrotów do innej rzeczywistości albo podróżowania do innej rzeczywistości, jeśli nie znam jej tak dobrze jak świata Mass Effecta, do którego niedawno wróciłem,
864:  Robię to tylko i wyłącznie po to, żeby w obrębie tej rzeczywistości coś przeżyć, zyskać jakieś doświadczenie formujące, cenne, które zmieni mnie w jakiś sposób.
872:  I następnie nawiązać nić porozumienia z wszystkimi innymi, którzy w dokładnie ten sam sposób uczestniczą w tym medium i tak samo jak ja przez wszystkie lata szkoły słyszą,
884:  że marnują czas, słyszą, że to jest głupota, słyszą, że to odmóżdża, słyszą, że będą mordercami później.
893:  Gdy tymczasem równocześnie słyszą, że przecież czytanie książek, chodzenie do teatru czy do muzeum i tak dalej, oczywiście tego nie wywoła.
903:  Ja zwykle złośliwie wtedy powtarzam, że gry wideo jak dotąd nie miały takiego deftolu jak cierpienia młodego Wertera, po którym mieliśmy falę kilkudziesięciu samobójstw.
911:  Wyobraźcie sobie Państwo teraz falę kilkudziesięciu samobójstw,
914:  wydaniu gry wideo, co by się działo w mediach, które dbają o to, żeby na każdej okładce gry wideo był znacznik 18+, a na książce wydawnictwa Znak Pozdrowienia o Brutalnych Gwałtach tego znacznika 18+, jakoś nie ma i nikomu to nie przeszkadza.
929:  I ten moment powrotu do gry wideo też był dla mnie bardzo interesujący i stwierdziłem, że się podzielę z nim z państwem właśnie z tego względu, że ja wtedy poczułem się tak, jakbym wracał do jakiegoś miejsca fizycznego, które odwiedziłem w rzeczywistości.
943:  Bo dla naszego mózgu nie ma różnicy, prawda jest taka i to potwierdzają badania kognitywistów, między wspomnieniem, które zostało utrwalone w wyniku interakcji z materią cyfrową i wspomnieniem, które zostało utrwalone w wyniku interakcji z materią fizyczną.
957:  I to można oczywiście wykorzystywać, jak się te gry wideo projektuje.
961:  Jednym z najpiękniejszych cytatów, jakie kiedykolwiek usłyszałem, opisujących właśnie ten fenomen, paradoksalnie usłyszałem w knie IMAX.
970:  To było tuż przed tym, jak wydałem drugą książkę, której tytuł został tak życzliwie przywołany przed chwilą.
975:  I usłyszałem nagle, że po pierwsze nie miał już tego głosu Krystyny Czubówny, która nam tłumaczy, że te okulary są bardzo delikatne jak na taki sprzęt i kmiocie uważaj z nimi, jak będziesz tutaj na widowni.
987:  To zamiast tego dostałem coś, co przypominało zwiastun filmu i nawet pamiętam, że do swojego przyjaciela powiedziałem, słuchaj, idziemy na to, to jest dobre, a potem się okazało, że to była reklama.
996:  była reklama IMAX-u.
997:  I w tej reklamie IMAX-u usłyszeliśmy, że na naszej planecie jest nieskończenie wielu światów i po cóż mielibyśmy żyć w jednym, skoro możemy się zanurzyć, imersja, w nieprzebranej ich różnorodności i żyć wieloma życiami, tak jak żyło się kiedyś w tych początkowych grach wideo platformowych, kiedy pamiętam, że w latach 90. mówiono, że gry wideo uczą złych przyzwyczajeń, ponieważ tam są trzy życia,
1023:  Później dziecko wyskoczy oknem, bo też będzie myślało, że ma trzy życia, nie?
1027:  Tak samo też mówiono, że anime wywołuje padaczkę.
1030:  Lata 90. były dziwnymi czasami dla fanów popkultury, fantastyki i gier komputerowych.
1036:  I chciałbym, żeby to moje krótkie przemówienie było takimi słowami otuchy dla wszystkich tych, którzy w szkołach, na studiach tradycyjnego autorementu, nie takich fajnych, jakie mamy na AGH-u,
1046:  czyli tych na UJ, żartowałem oczywiście, jak i we wszystkich innych miejscach, gdy słyszą, że ich pasje to jest coś złego, to żeby spojrzeli na tego wariata, który mówił o tych różnych dziwnych światach i zajmuje się rzeczami, których nie ma, że jednak można na tym zbudować pracę.
1063:  Nie tylko i wyłącznie karierę, którą się tak wszyscy podniecają przeliczając złotówki, ale przede wszystkim życie, które jest wypełnione pasją, a nie tylko i wyłącznie robieniem roboty, bo tak trzeba i ktoś komuś kazał.
1077:  To powiedziawszy dzielę się z Państwem graczowym GG Well Played, czyli Good Game Well Played.
1084:  Dziękuję Państwu najserdeczniej.
1085:  Bardzo mi było miło tutaj przemawiać.
