Cyberpunk 2077: jest jak jest VS jak mogło być || Dyskusja Bez/Schematu
🔗 https://www.youtube.com/watch?v=XbH9VgGem-A
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)
MG (Marcin Giełzak)

0:  BFP - Znaczy panowie, no powiedzieć, że o Cyberpunk 2077 jest teraz głośno, to nie powiedzieć nic.
376:  MG - Chociaż przyznaję, że jak czytałem przed premierą gry, że jednym z
382:  MG - nieprzyjaciół, z którymi się będziemy tam musieli zmagać, jest pogoda.
386:  MG - I będzie jak w Blade Runner 2049, będziemy mieli nagle śnieżyce albo kwaśny deszcz i trzeba będzie się nauczyć radzić z tym.
396:  MG - Jeżeli słyszałem o tym, że będą hipertargetowane reklamy, nagracza, w taki sposób, żebyśmy weszli do tego, a nie do innego sklepu, to myślałem sobie, to będzie uczta.
405:  MG - I tego po prostu w finalnej grze nie ma, więc
409:  MG - Tak szybko się połapałem w tym, że to, co nam dano, to jest naprawdę dobra wersja beta.
414:  BFP - A to ciekawe, bo fu...
417:  BFP - Mocne słowa, szczególnie jak na graczy na PlayStation 4.
422:  BFP - Ale to, co powiedziałeś, bo tak przeleciałeś po tym i powiedziałeś, no przecież nie spodziewałem się jakiegoś złożonego, imersyjnego świata i poważnej fabuły.
432:  BFP - Momen, ale to nie jest przypadkiem to, co właśnie nam obiecano?
436:  BFP - Czy to nie jest coś, co przez 8 lat nam obiecywano?
438:  BFP - Ja myślę, że ten wątek podejmie Krzysztof lepiej, bo o tym sporo mówił.
442:  BFP - Zresztą tym się zajmujesz, tak?
443:  BFP - Światami przedstawionymi.
446:  MG - Też się zajmuję światami przedstawionymi, czasem muszę coś sprzedać.
451:  KMM - Właśnie to jest ciekawe, bo zastanówmy się, co sprzedaje Blizzard w World of Warcraft od lat.
458:  KMM - Ma lepsze dodatki fabularne, ma dobre dodatki fabularne, ma dobre rozszerzenia, ma świetne mechaniki, czasem gorsze mechaniki, czasem mu się zdarza wyzerować pół świata i wściec fanów, a gracze grają.
471:  KMM - Bo świat jest zaprojektowany tak i ma taką głębię,
475:  KMM - że cały czas jest coś w nim do odkrycia, więc myślę, że tutaj jest właśnie ta pełna korelacja między tym potencjałem sprzedażowym, a dobrze zaprojektowanym światem i nie rozumiało tego EA przy Anthem, czy Bioware przy Anthem, który upadł w zasadzie przez tę grę i mam wrażenie niestety, że nie zrozumiało tego CD Projekt Red, co jest fenomenem, biorąc pod uwagę, że i tutaj jestem dlatego dla nich bezwzględny, oni dostali gotowca, to znaczy oni dostali świat zaprojektowany
501:  KMM - świetnie, m.in.
502:  KMM - przez Mike'a Pondsmitha w postaci Cyberpunka 2020, dostali genialne postaci, dostali Rock, dostali Adama Smashera, dostali Johnny'ego Silverhanda.
511:  KMM - Jedyna postać, jaką mieli napisać, to był V. Poczekaj, zanim przejdziemy do postaci... I to jest najgorsza postać w grze.
517:  BFP - Zanim przejdziemy do postaci i zanim przejdziemy jeszcze do świata.
520:  KMM - Więc jeśli chodzi o... Twoje pierwsze wrażenie.
523:  KMM - Więc moje pierwsze wrażenia, bo tak, to było ad vocem krótkie, ale pierwsze wrażenie było bardzo pozytywne.
529:  KMM - Pierwsze 20 godzin mojej rozgrywki to było jedno wielkie wow, robienie screenshotów, wysłanie jej narzeczonej, mówienie, popatrz, jestem w niesamowitym świecie, wysłałem ci pocztówki z tego świata, dosłownie wysłałem pocztówki z cyfrowego świata.
545:  KMM - Dodam, że zaczynałem jako korpos, ponieważ stwierdziłem, że podejdę do cyberpunka subwersywnie i zobaczę, jak to jest być po stronie tych złych.
554:  KMM - w tym świecie i co gra mi zaproponuje.
557:  KMM - Czy gra pozwoli mi zdradzić korporację, czy gra pozwoli mi uwikłać się w wojnę korporacji taką, która jest sednem cyberpunka, niestety czytamy o nich głównie w e-bookach.
568:  KMM - Czy może będzie tak, że wręcz przeciwnie, uda mi się być lepszym Saburo Arasako i zreformować jedną z korporacji.
576:  KMM - no to się okazało, że po mniej więcej 10 minutach zostałem z tej korporacji wykopany, ponieważ cyberpunk we wszystkich trzech otwarciach dąży do tego, żeby wyzerować nasze linie życia i doprowadzić do głównej linii fabularnej.
588:  KMM - Więc muszę powiedzieć otwarcie, że u mnie ten napis cyberpunk pojawiający się po 12 godzinach gry, to było takie uczucie zadowolenia.
598:  KMM - No tak, to przebili Assassin's Creed'a, dwójkę, którego pamiętam właśnie po tym, że sekwencja pościgu, która mi się wydawała częścią gry, to był tak naprawdę prolog i pojawił się napis wtedy Assassin's Creed 2.
608:  KMM - Dla mnie to był duży pozytyw.
610:  KMM - Natomiast później niestety, jak zorientowałem się, że
615:  KMM - gra składa się też z otwartego świata, to w tym momencie moje wrażenia zaczęły z poziomu 90 na 100 schodzić na 60 na 100 i 40 na 100 powoliutku i to się niestety coraz bardziej pogarszało, ale od razu dopowiem, że to otwarcie, które jest monumentalne, wyreżyserowane tak właśnie, żeby
635:  KMM - wzbudzać zachwyt, ma jednak równocześnie wadę, którą też dostrzegam teraz po chwili, to znaczy wadę w ekspozycji.
640:  KMM - Rzeczywiście gra próbuje za dużo nam przedstawić naraz i robi taki infodump, czyli coś, czego uczy się na wszystkich warsztatach creative writingu, żeby nie robić.
649:  BFP - I tu jest ten problem, wydaje mi się.
651:  BFP - Znaczy ja uważam, że właśnie źle była wyreżyserowana ta gra na początku.
654:  BFP - Ja dopiero co robiłem recenzję innej polskiej gry cyberpunkowej, jaką był Observer,
660:  BFP - W wersji System Redux i tam ten huk był od razu.
663:  BFP - Trafiam do kamienicy, doszło do morderstwa, zdaje się, że to może być mój syn, który jest martwy, ale nie mam dowodów, można się jak najszybciej dowiedzieć.
672:  BFP - Bam!
673:  BFP - Oczywiście, że to jest zupełnie innego typu gra.
675:  BFP - To jest...
677:  BFP - przestrzeń, w której mogę się poruszać tak jak chcę, ale bardzo, bardzo, bardzo, bardzo ograniczona.
682:  BFP - Są tam jakieś side questy, powiedzmy, czy sprawy dodatkowe, ale jakby to, co sprawia, że ja rozumiem, o co chodzi w tej grze, po co tam jestem, pojawia się bardzo szybko.
692:  BFP - W cyberpunku nie.
693:  BFP - Jest jakby tu masz miasto, tu będziesz robił rzeczy, tu będą postaci, tu masz różne umiejętności.
699:  BFP - Rób, co chcesz.
700:  BFP - Miej powód, żeby chcieć to robić.
703:  BFP - To był mój problem.
704:  MG - Ale powiem wam, że jest na samym początku pewien big reveal, który naprawdę pomaga zarządzać oczekiwaniami.
711:  MG - To znaczy to, o czym wspomniał Krzysztof.
714:  MG - Jak ja zobaczyłem, że w kreacji postaci większą rolę odgrywa to, jakie genitalia będzie miała postać niż jej historia.
724:  MG - Że wszystkie te opcje, które obiecywano związane z tym, że na przykład będziemy zapytani, jak ona trafiła do Night City.
730:  MG - albo jakie było kluczowe wydarzenie z jej dzieciństwa, że one wyparowały, że tego nie ma.
735:  MG - A później po naprawdę krótkim prologu, po którym jest całkiem nieźle zrobiony montaż, mamy wyzerowanie historii naszej postaci, czyli okazuje się, że wszyscy musimy znaleźć się w tym samym punkcie, bez względu na to, czy byliśmy street kid, nomad czy corpo.
753:  MG - Zdałem sobie sprawę, że
755:  MG - Albo to jest japońska szkoła robienia RPGów, czyli RPGi z dużym wpływem kalwinizmu, mamy tysiąc wyborów, ale wszystko zawsze się skończy tak samo.
765:  MG - Albo to w ogóle nie jest RPG, to jest shooter za statystykami.
769:  MG - No i okazało się, że to jest to drugie.
771:  MG - I właśnie do tego... Skoro shooter, to ja się cieszyłem strzelaniem.
775:  KMM - Znaczy wiecie, od razu dopowiem, bo to jest wprawdzie informacja, którą od razu robię disclaimer, przeczytałem w Line Reddicie i na wykopie, ale podobno miała być początkowo w cyberpunku trzy historie trzech postaci.
788:  KMM - Mieliśmy się wcielać albo w Johnego Silverhanda, albo w Saburo Arasaka, albo i tutaj jest trzecia postać z uniwersum wyparowała mnie, ale właśnie jakiegoś street kida.
796:  KMM - I wydaje mi się, że
798:  KMM - ten sam pomysł, żeby dwie postacie zmerge'ować w jedną, a te wszystkie linie fabularne zbiec do jednej, właśnie bierze się z tego, że zmieniła się koncepcja narracyjna w trakcie.
808:  KMM - I być może z tym się też wiążą te problemy, o których mówicie, to znaczy, że w grze nie ma motywacji, czyli tego podstawowego czynnika, który powinien sprawiać, że znam odpowiedź na to, co ja robię w tym świecie.
818:  KMM - Bo prawda jest taka, że my mamy tutaj odpowiedź na pytanie, gdzie jesteśmy.
822:  KMM - I ta odpowiedź jest realizowana fantastycznie.
827:  KMM - I mój problem bierze się z tego, że jest taki fajny tekst klas trupitowski, w którym one pokazują, co to jest, co sprawia, że my świat odczuwamy jako świat.
837:  KMM - I ona mówi, że tam są trzy rzeczy.
839:  KMM - znaczy one mówią.
840:  KMM - Po pierwsze, że jest mytos, jakieś legendarium, właśnie historia, która sprawia, że wiemy skąd przyszliśmy, co się dzieje w tym świecie, że on ma jakąś swoją historię.
847:  KMM - George Lucas dbał o to, żeby była ta formuła used universe, żebyśmy wiedzieli, że te wszystkie pojazdy są naznaczone zębem czasu itd.
854:  KMM - Po drugie jest przestrzeń, topos, no to nie trzeba wyjaśniać, a po trzecie jest etos i to jest ta najważniejsza część, która sprawia, że jest filozofia, są motywacje, wybory moralne,
865:  KMM - Także nie ma wyborów moralnych, nawiasem mówiąc, albo jest im bardzo niewiele.
869:  KMM - I tych dwóch komponentów tu nie ma.
872:  KMM - I to sprawia, że owszem, możemy się rozejrzeć i w tym sensie mówiłem też po świecie i być zachwyconym, i w tym sensie mówiłem, że gra robi wrażenie na mnie, ponieważ moment, w którym wzbijałem się śmigłowcem z najwyższych wieżowców Night City i okrężnym lotem
891:  KMM - płynęliśmy przez ten ciemny przestwór rozjażony neonami, to ja wiedziałem, co ta gra mi mówi.
897:  KMM - Ta gra mówi mi, zachwycaj się mną.
899:  KMM - To miasto mi to mówi.
900:  KMM - Ja to robiłem, bo przyznam też, że moje podejście jest takie, że ja zawsze cenię sobie to, jak jest świat wykreowany, dopiero potem się zaczynamy zastanawiać w zasadzie, kim w tym świecie jestem.
910:  KMM - I być może dlatego moje oczekiwania na początku zostały zaspokojone, ale tylko na początku.
915:  BFP - Powiedzieliście bardzo ważną rzecz, którą ja w zasadzie chciałem powiedzieć, więc może ją tylko uzupełnię.
921:  BFP - Dla mnie największy problem, jaki jest cyberpunkiem, czyli sprowadzając już do szczegółu, co to znaczy, że nie spełniła do końca oczekiwań, to jest to, że on jest dla mnie w rozedrganiu między dwoma gatunkami gier, czyli tak de facto dwiema obietnicami, które składa się graczowi.
938:  BFP - Z jednej strony spektrum jest złożone, głębokie, ciekawe RPG,
943:  BFP - które może reprezentować na przykład Fallout New Vegas, Divinity Original Sin czy niedawno Wasteland 3.
949:  BFP - I z drugiej strony tak zwany Immersive Sim, którym może być Hitman, Deus Ex, Mankind Divided albo Dishonored.
958:  BFP - I z Deus Exa bardzo dużo czerpie ta gra.
960:  BFP - Szczególnie jeżeli chodzi o czystą taką mechanikę gameplayową, jeżeli chodzi o hakowanie, skradanie się, systemy walki, a nawet rozwój postaci i wszczepy.
971:  BFP - To jest żywcem wzięty z Deus Exa.
973:  BFP - Tylko problem z tym rozedrganiem polega na tym, że żadnej z tych rzeczy nie robi dobrze.
978:  BFP - Po pierwsze, jeżeli chodzi o RPG,
980:  BFP - To dla mnie razi płytkość wyborów w tej grze.
982:  BFP - Jak bardzo to wszystko jest powierzchowne.
984:  BFP - Co z tego, że ja mogłem sobie wybrać inne genitalia, jeżeli to nie ma wpływu na rozgrywkę żadnego.
990:  BFP - I trafiłem kilka razy na takie irytujące sytuacje.
994:  BFP - Jest świetny quest w tej grze, List Jonasza, prawda?
997:  BFP - Który jest naprawdę dobrze napisany fabularnie.
999:  BFP - Jest głęboki, pełen odniesień, symboliki.
1001:  BFP - Jest naprawdę ciekawy, ma wielki potencjał.
1004:  BFP - Ale ja nie mogłem zmienić wyboru bohatera tego questu.
1008:  BFP - Ja nie mogłem nic zrobić.
1010:  BFP - Jakby, cokolwiek bym nie powiedział, ten quest kończył się tak samo, zawsze tak samo.
1014:  BFP - Ja pamiętam, że Wiedźmi nie trzeba było więcej opcji.
1018:  BFP - Inny quest, który dzisiaj skończyłem, właśnie Stróże Bezprawia bodajże, także kończy się dokładnie tak samo.
1025:  BFP - Mówię do detektywa Rivera, nie, nie rób tego, a on mówi, no, zrobię po swojemu.
1031:  BFP - I jakby ta iluzja wyboru jest dla mnie dość irytująca, podobnie jak iluzja miasta.
1036:  BFP - Nie widziałem bardziej żywego miasta i bardziej żywego świata od czasu dwa lata temu Red Dead Redemption 2, gdzie wszystko naprawdę dynamicznie reagowało na każdą moją decyzję, na wszystko co robiłem.
1046:  BFP - A tutaj skrypt mieszkańców zawsze działa w jeden sposób, kiedy otworzę ogień, kiedy to jakby to jest...
1053:  BFP - Stary design, to jest już przestarzały design, jakby troszeczkę nie z tych czasów.
1058:  BFP - Wioska podjankinowska.
1060:  BFP - Ta imersja, która powinna być charakterystyczna dla nowoczesnego RPG, co jest świetnie widoczne właśnie w Wasteland 3, albo w Divinity Original Sin.
1070:  BFP - Ta głębia wyborów i możliwości kształtowania swojej własnej przygody, bo jakby nie patrzeć, to jest gra fabularna.
1076:  BFP - I kiedy myślę o Wasteland 3 i myślę, że ja tam mogłem niszczyć całe frakcje,
1080:  BFP - Ja mogłem się zgadać z jakimś gościem i powiedzieć, słuchaj, zniszczmy całą tą frakcję.
1085:  BFP - Nie wiem, zrzućmy na nich bombę atomową.
1087:  BFP - Albo zagrajmy na moje, albo zbudujmy nietypowe sojusze.
1092:  BFP - I naprawdę tak było.
1093:  BFP - Ja wracałem na miejsce i była zniszczona lokacja.
1096:  BFP - Albo wybiłem całą frakcję.
1098:  BFP - A tutaj nie ma takiej możliwości, a przecież jest 7, czy 8, czy 9 gangów.
1102:  BFP - Więc dla mnie w tym aspekcie RPG-owym jest skala.
1107:  BFP - Jest bardzo duża szerokość, ale nie ma...
1110:  BFP - głębi.
1112:  BFP - I tu naprawdę nie mówię nawet o pewnych motywach, które są podejmowane.
1116:  BFP - Mam na myśli przede wszystkim
1120:  BFP - To, że brakuje mi jakiegoś splotu zdarzeń, czy sekwencji zdarzeń, które uruchamiałbym jak domino dzięki decyzjom, które podejmuję, czy nawet to, jak ukształtowałem swoją postać, żeby miało to wpływ na rozgrywkę.
1130:  BFP - A z drugiej strony, kiedy mówię o immersive simie, jak mówię o porównaniu do Deus Exa, którego się nie uniknie, to te wszystkie mechaniki rozgrywki, które ja bym nazwał wielorakim podejściem do jednego problemu, daniem różnych możliwości rozwiązania jednego problemu,
1145:  BFP - To również jest strasznie płytkie.
1147:  BFP - Przykładowo, i to są takie rzeczy, na które natrafiałem raz na jakiś czas.
1153:  BFP - Niby mam do dyspozycji walkę, hakowanie i skradanie się, ale za każdym razem faworyzowana jest walka.
1160:  BFP - Bo hakowanie jest dość prymitywne, a skradania się nie można rozwijać.
1165:  BFP - W Deus Ex mogłem zdobywać nawet specjalne punkty i perki za to, że byłem jak duch.
1171:  BFP - Dostawałem najwięcej punktów doświadczenia za to, że unikałem kompletnie walki.
1174:  BFP - I dopiero ledwie dzisiaj miałem taką sytuację, w której wszedłem w lokację, która miała poziom trudności bardzo wysoki.
1183:  BFP - I udało mi się przekraść pomiędzy wszystkich przeciwników i naprawdę byłem gotów sobie sam bić brawo, dopóki nie dotarłem do punktu, w którym okazało się, że muszę zabić bossa.
1193:  BFP - I ten boss, nie w rozumieniu gry, tylko boss jako szef tej szajki był nie do pokonania.
1199:  BFP - I musiałem spierdalać z tamtej lokacji, bo gra nie dała mi możliwości podstępnego zabicia go.
1204:  BFP - Albo inny przykład jeszcze z dzisiaj.
1206:  BFP - Trafiłem do szpitala dla chorych umysłowo i miałem stamtąd uratować jakąś kobietę.
1215:  BFP - I pomyślałem, wow, jak ja do tego podejdę w stylu Deus Exa albo w stylu Hitmana.
1219:  BFP - I wkradłem się do jakiejś przebieralni i znalazłem uniform, jeden z tych uniformów, które można założyć na całe ciało.
1228:  BFP - I założyłem ten uniform i pomyślałem, teraz będę wyglądał dokładnie tak jak obsługa szpitala.
1232:  BFP - Okazało się, że nie, to nie miało żadnego znaczenia.
1234:  BFP - Nie mogłem się wtopić w obsługę szpitala, bo to był po prostu jakiś uniform, który nie odgrywa żadnej funkcji użytecznej.
1240:  BFP - Czyli za każdym razem miałem takie wrażenie, chciałbym hakować, ale nie mogę na przykład zablokować drzwi, żeby nie wydostali się stamtąd przeciwnicy.
1247:  BFP - Nie mogę przejąć kontroli na moment nad potężnym przeciwnikiem, nie tylko machiną, ale przeciwnikiem.
1253:  BFP - Nie mogę nosić sam drona, ani wieżyczek, drona tak jak było w Spider-Manie, żeby na przykład zrobić rekonesans.
1260:  BFP - A kiedy się skradam, nie mogę na przykład przemykać super szybko, nie mogę włączyć jakiejś niewidzialności, bo za każdym razem gra wymusza na mnie, żebym nawiązał walkę i marzyło mi się, żebym w pewnym momencie miał takie opcje jak mam w New Vegas czy Wasteland 3, mam się dostać do jakiegoś klubu, mam coś zinfiltrować, coś wykraść, ja wiem jak tam wejdę, zagadam gościa.
1281:  BFP - Użyję perswazji i tak jak w Deus Exie będę w stanie zintegrować się z jego oczekiwaniami i nagadać mu to, czego on oczekuje, żeby dostać się do środka.
1291:  BFP - Ale nie było takiej możliwości.
1292:  BFP - Kilka razy w toku fabuły, ale nie w samych questach, więc ja naprawdę wolałbym, żeby ta gra była mniej rozległa.
1299:  BFP - ale miała więcej jakościowego contentu, który będzie bardziej immersyjny, a niestety chciano wrzucić zbyt wiele w tę grę i przez to wiele z takich zadań pobocznych, które ja chciałbym wykonać na swój sposób, ma jedno bądź dwa rozwiązania, kiedy Deus Ex czy Hitman ma ich 20.
1315:  BFP - I to boli.
1318:  KMM - Przypominam sobie, krótki ad vocem, przypominam sobie bardzo specyficzny typ walki z bossem w Deus Exie, którego bardzo im brakowało w cyberpunku.
1331:  KMM - To nie jest ta walka, w której wyciągaliśmy najlepsze giwery i obrzucaliśmy granatami.
1335:  KMM - To nawet nie jest ta walka, w której podchodziliśmy od tyłu i zabijaliśmy nożem.
1339:  KMM - Tylko z nim rozmawialiśmy.
1341:  KMM - Tylko rozmawialiśmy, był specjalny wszczep, który badał puls serca, tętno itd., rozmówcy i ten wszczep mogliśmy rozwijać w taki sposób, żeby panować retorycznie nad konwersacją.
1353:  KMM - Ja pamiętam swoje emocje wtedy i były niesamowite.
1357:  KMM - A cyberpunk ma jedną odpowiedź, zabij go.
1360:  KMM - Zawsze.
1361:  KMM - Ewentualnie oszczędź.
1364:  MG - Jest gorzej, jest gorzej.
1366:  MG - Powiedziałeś Filip, życie to boli, mój ból jest większy niż twój.
1371:  MG - Jest scena, w której możesz w sposób zbędny kogoś zabić, z czystej mściwości i nienawiści, co będzie miało rzekomo wpływ na swoją relację z jedną z kluczowych postaci, czyli nie spodoba jej się ten...
1389:  MG - Ten obraz ciebie, jako osoby, która jest w stanie zabić kogoś w taki sposób,
1394:  MG - I dosłownie w następnej scenie masz możliwość wybrania jednej z dwóch opcji dialogowych na pytanie dlaczego zabiłeś, zabiłaś tego człowieka.
1404:  MG - Obydwie sprowadzają się do czegoś w rodzaju, nie wiem Andrzej, nie wiem.
1409:  MG - I nic ci się nie stanie.
1410:  MG - Po prostu ta postać przyjmie to do wiadomości i następnym razem zadzwoni do ciebie jakby nigdy nic i możesz kontynuować rozgrywkę.
1417:  MG - To nie miało żadnego znaczenia.
1421:  MG - się podejmuje w cyberpunku aż do samego końca gry, bo w ostatniej misji wybory zaczynają mieć znaczenie, po prostu stają na niczym.
1430:  MG - Natomiast czy widzę światło w tunelu?
1432:  MG - Widzę.
1433:  MG - Widzę je w DLC i widzę je w modowaniu przez graczy, bo taka możliwość podobna jest przez CD Projekt Red stworzona.
1442:  MG - My już mamy ciasto, mamy wkład, to znaczy to jest ogromny, niezwykły świat.
1448:  MG - Każdy lokal, do którego można wejść na drinka, ma swój charakter, swoją osobowość, ma barmana, z którym można wdać się w rozmowę i to nie jest ten sam barman w każdym lokalu.
1459:  MG - Każdy Ripper Dog, do którego idziemy, czyli ci... Wszczepowcy.
1467:  MG - Nie lekarze na pewno, ci rzeźnicy technologiczni, którzy pomagają nam udoskonalać swoje ciało.
