Debata online: Średnia ważona — czy na jej podstawie można i należy ustalać oceny klasyfikacyjne?
🔗 https://www.youtube.com/watch?v=X-YBvc93g2s
GO (Gabriela Olszowska)
AKJ (Agnieszka Krokos-Janczyło)
KMM (Krzysztof M. Maj)
DS (Daniel Sjargi, Stowarzyszenie Umarłych Statutów)
JS (Jolanta Skrzypczyńska)

202:  S03 - Bardzo proszę.
1497:  GO - Kiedy czyta się przepisy, to czytamy zgodnie z brzmieniem języka, jest to wykładnia językowa.
1505:  GO - Czytamy również ze względu na praktykę
1509:  GO - prawniczą i uwaga, trzecia wykładnia, to nie są jedyne, to jest wykładnia celowościowa i pod nią rozumiemy, co mówi na ten temat nauka.
1522:  GO - I mamy artykuł 44b, który tutaj Daniel nam przywołał, który mówi jak się ocenia i w tymże artykule 44b ustawy o systemie oświaty mamy definicję prawną, definicję legalną, na czym polega ocenianie, czym to ocenianie jest.
1542:  GO - Jest to rozpoznawanie.
1545:  GO - Proszę Państwa, rozpoznawanie, nie rozpoznanie, rozpoznawanie.
1549:  GO - Od razu wpisany jest proces,
1553:  GO - I proszę Państwa, czego, tego, jakie umiejętności i do tego skomponowana porcja wiedzy, umiejętności i wiedza zawsze w połączeniu, to jest ta nowoczesna definicja treści nauczania, rzutowane są te treści i te umiejętności w powiązaniu na pewien wzór i ten wzór to są wymagania edukacyjne albo wymagania edukacyjne.
1580:  GO - Proszę Państwa, jeżeli my mamy mierzyć proces, próbować, bo posługujemy się przybliżeniami, to żadna średnia ważona nam nie pomoże.
1593:  GO - Ba, nasz guru, bo powinniśmy mieć pewne autorytety i myślę tutaj o profesorze Niemierce, specjaliście z diagnostyki edukacyjnej, mówi, że średnie ważone są działaniem manipulacyjnym niegodziwym.
1610:  Dziękuję.
1611:  GO - Wow, aż tak ostro.
1613:  GO - Tu było zaakcentowane to, że nauczyciel ma autonomię.
1617:  GO - Kłania się więc artykuł 12 ustawy Karta Nauczyciela, który mówi o owej rzecz autonomii, gdzie jest powiedziane, nauczyciel może stosować metody dowolne pod warunkiem, że dopuszcza te metody współczesna wiedza pedagogiczna.
1636:  GO - Więc w powiązaniu diagnostyka edukacyjna
1640:  GO - I ten artykuł 12 nakazuje nam trzymać rękę na pulsie.
1647:  GO - My mamy oddawać proces uczenia, mamy oszacować, czy dziecko uczeń zrobił postęp, czy tego postępu nie zrobił.
1657:  GO - Jeżeli będziemy korzystać ze średniej ważonej, to niektóre prace są bardziej ważne, inne mniej.
1665:  GO - Proszę zobaczyć, to będzie krótko, ale w statucie mogą być usankcjonowane i jak się okazuje stanowisko nadzorcze niektórych organów jest bardzo surowe, ale proszę Państwa, oprócz usankcjonowania w statucie, my mamy średnią ważoną, nie wiem czy Państwo sobie zdają z tego sprawę, w osobistych praktykach nauczycieli.
1691:  GO - Słyszymy taką oto narrację, załóżmy, między rodzicem a nauczycielem.
1696:  GO - To jest z testu, to jest z kartkówki, ta ocena jest ze sprawdzianu, a to nic, to była praca w grupie, to był plakat.
1707:  GO - Nawet oczywiście, ja teraz przerysowałam, Państwo sobie zdają sprawę, nie musi być tak ostro, na potrzeby oczywiście naszego spotkania to oddałam.
1716:  GO - Mamy więc średnie ważone
1720:  GO - bardziej ważne, mniej ważne, oficjalne i nieoficjalne.
1724:  GO - Ja zwracam uwagę także na praktyki nieoficjalne.
1729:  GO - Co jeszcze by tu dodać takiego ważnego?
1733:  GO - Średnia ważona
1735:  GO - nie pokazuje tego, że wzięta jest z biznesu, z oceny dorosłego pracownika i jego przydatności.
1745:  GO - Dziecko 15, 17, 8-letnie nie jest dojrzałym pracownikiem.
1752:  GO - Ono przyszło się uczyć i my mamy rozpoznawać.
1756:  GO - To rozpoznanie nigdy nie jest...
1759:  GO - pełne, ono nigdy nie jest doskonałe, ono nigdy nie jest takie, że powiemy, o na pewno ono to u mnie to dziecko.
1768:  GO - My cały czas musimy mieć świadomość, że posługujemy się przybliżeniami.
1774:  GO - I o tym mówi nauka, neurodydaktyka, czy kognitywistyka i koniec, kropka.
1781:  GO - Oddaję głos Państwu.
1785:  DS - Bardzo proszę o zabranie głosu przez Panią Jolantę z przedszkolą.
1792:  JS - Nasza średnia ważona, która jest zapisana w statucie, tak naprawdę funkcjonuje od chyba 12 lat.
1801:  JS - Przeszła różne ewaluacje i zmiany.
1807:  JS - Dlaczego w ogóle ona weszła?
1808:  JS - Kiedy ja skończyłam studia, w ogóle nie mówiło się o żadnej średniej ważonej i kiedy stawiamy pierwsze oceny, tylko podkreślano, że nie może to być średnia ocena.
1818:  JS - Więc jakby namdyłam się, że nie patrzę w ogóle na oceny w taki sposób, która ważniejsza, która nieważniejsza, bo jak się wypisze na tablicy tak bez tego komentarza, co jest ze średniej, co jest sprawione z pracy klasowej, tak naprawdę te oceny są dla laika zbiorem cyfr, tak, z której wystawiamy oceny i ktoś ma czwórki, piątki, trzy plus i dostaje trójkę.
1844:  JS - Średnia ważona ma podobne trochę też takie znaczenie, niestety nie bardzo mi się do końca to podoba, ale tak jak mówiłam przeszliśmy taką dość długą drogę w jej zmianie.
1857:  JS - Ona ciągle funkcjonuje, ale już mi się wydaje, że jest trochę udyskonałona, bo był taki czas, kiedy w szkole każdy nauczyciel miał swoje wagi, zostało to ujednolicone w całej szkole.
1869:  JS - I właściwie, jak to obserwuję u nauczycieli, to są dwie grupy.
1874:  JS - Jedna, która się zapiera przy tej średniej ważonej i dałaby się pokroić za to, że jedna setna, jednej setnej brakuje do wyższej oceny, po prostu ten nauczyciel tego nie postawi.
1888:  JS - A są nauczyciele, którzy stosują średnią ważoną jako pomocniczą, czyli
1893:  JS - zakładaliśmy jakby ustalając tą skalę ocen, to może nie ustalaliśmy, ale uwagi, że są uczniowie, którzy potrzebują też czasami takich konkretów, bo też się dużo mówiło, że oceny nauczycieli są nieobiektywne, że właściwie nie wiemy dlaczego zostały postawione takie, a nie inne z innych ocen.
1915:  JS - Dlatego wydawało nam się w jakimś tam okresie tego naszego ustalania tej średniej ważonej,
1922:  JS - że to troszeczkę tak jakby uporządkuje sprawę i po prostu uczeń będzie wiedział, nauczyciel będzie wiedział, rodzic będzie widział jak to wygląda.
1934:  JS - jak z tej średniej ewentualnie wychodzi ta ocena śródroczna czy ocena końcowo-roczna.
1940:  JS - Natomiast co mnie zawsze bolało jako nauczyciela, że właśnie ta, ale widzę piątki, czwórki, trójki, jakaś jedynka z pracy klasowej tak obniża uczniowi ocenę, że dostaje trójkę.
1954:  JS - a jakby nie jestem przyzwyczajona, że z dobrych ocen wystawiam ocenę niższą, niż ona wychodzi z tych częściej występujących w semestrze.
1964:  JS - Dlatego też poczyniliśmy kolejne kroki, jeszcze jako DREK poczyniłam kroki właśnie, żeby od tego odejść, żeby przejść może do szkoły bez ocen, może przejść do tej szkoły, do oceny
1981:  JS - tej opisowej, jaka też jest dopuszczalna przez prawo, prawda?
1987:  JS - I są szkoły, które to stosują.
1990:  JS - No i ten proces się właściwie w tamtym roku rozpoczął, bo zamówiłam szkolenia dla nauczycieli, bo tutaj, żeby wejść w inny sposób odmieniania, czasami trzeba dużo energii poświęcić, żeby nauczycieli nie były przekonani, bo niektórzy są bardzo przekonani.
2007:  JS - i nie trzeba bardzo żołnierzy na nich tracić, jak również rodziców.
2011:  JS - Ponieważ rodzice są przyzwyczajeni do ocen i czasami im akurat ta średnia ważona bardzo pomaga i oni też to akceptują.
2019:  JS - Co nie znaczy, że wszyscy nauczyciele ją stosują, ponieważ mamy taki zapis, który pozwala
2028:  JS - zastosować nie tylko średnio wrażoną, ale uwzględnić właśnie to, o czym mówiła pani Dobrysia, czyli ten postęp ucznia i przygody jego wiedzy.
2041:  JS - Dziękuję.
2047:  DS - Bardzo proszę w takim razie o zabranie głosu przed panem Krzysztofem Majakiem.
2051:  KMM - To ja może zacznę od przekazania prośby widzów, żeby był widok na cztery osoby w sposób stały, bo podobno wtedy lepiej widać dźwięk, a to powiedziawszy przejdę teraz do meritum sprawy, to znaczy absolutnie chciałem przede wszystkim podkreślić, że to unicono, które mamy w sprawie średniej ważone jest całkowicie nieprzypadkowe, bo po pierwsze nie jest ona przewidywana w aktach, co zresztą Stowarzyszenie Umarłych Statutów niezmiennie podkreśla, a po drugie problem też polega na tym,
2078:  KMM - że ona wbrew wszelkim pozorom nie rozwiązuje problemu, który ma rozwiązać.
2084:  KMM - Problem naczelny jest taki, że chcemy, jak domniemuję, ukryć przed różnymi innymi organami nadzorczymi na przykład to, że chociażby jest, jak to się wiele razy mówiło, nepotyzm albo subiektywizm, że mamy być tak obiektywnie i pięknie.
2100:  KMM - Więc wszystkich, którzy na przykład się troskali o to,
2102:  KMM - że na uczelnie będą ludzie przyjmowani i będzie nepotyzm, ponieważ egzaminy wstępne i tak dalej i ocena jednostkowa i w żaden sposób nie jest algorytmizowana, spieszę donieść, że nepotyzm jest dalej, tylko jest ukryty.
2117:  KMM - I trudniej się do tej informacji dokopać, po prostu jak mamy te nieszczęsne cyfry.
2122:  KMM - A problem jeszcze z wagą średniej jest taki, tutaj tę swoją perspektywę akademicką pozwolę sobie przekazać, bo
2127:  KMM - Nie zamierzam konkurować ani o starsze, ani o praktykę z paniami kuratorkami absolutnie, ani nauczycielami, którzy się zajmują tym aktywnie na co dzień.
2136:  KMM - Natomiast ja widzę problem, który jest u ludzi nieznacznie starszych od licealistów, a mianowicie taki, że podczas egzaminu dyplomowego, wyobraźcie sobie Państwo, tam gdzie nie ma niestety możliwości ingerencji, czy stowarzyszenia umarłych statutów, czy kuratoriów, mamy średnią ważoną.
2152:  KMM - To znaczy waga oceny ze studiów uśrednionej jest wyższa, 60%.
2158:  KMM - Ponad wagę egzaminu dyplomowego.
2160:  KMM - Czyli magistrowie i licencjusze, których wypuszczamy jako uniwersytety, dostają bardzo czytelny komunikat.
2167:  KMM - Nieważne nad czym pracujecie, nieważne jest wasz projekt naukowy, nieważne jest ukoronowanie waszej pracy.
2172:  KMM - To co się liczy to to, czy wam się przez przypadek kiedyś powinna noga.
2176:  KMM - Miałem osobiście sytuację w paru komisjach takie, że siedzieliśmy jako profesor, drugi profesor, doktor, jeden doktor i mówiliśmy, tę pracę należy wyróżnić, ona jest wybitna i nie mogliśmy jak na średniowiecznym uniwersytecie rozpisać dyplomu magna cum laude.
2191:  KMM - Nie mogliśmy dać wyróżnienia, ponieważ trzeba było uklęknąć przed algorytmem.
2195:  KMM - Ta moja anegdota jest mi potrzebna do bardzo prostego argumentu, to znaczy średnia ważona, czy jakakolwiek inna średnia sprawia, że nauczyciele, którzy są kiepscy, którzy są gorsi, dostają zły wzorzec.
2207:  KMM - nauczyciele, którzy są przeciętni, nie są motywowani, żeby pracować nad swoimi stylami oceniania, a nauczyciele, którzy są wybitni, są krępowani przez algorytm, który narzuca im procedurę postępowania.
2219:  KMM - Więc mamy trzy grupy nauczycieli, którzy są poszkodowani.
2222:  KMM - Mamy czwartą grupę, czyli uczniów, którzy są poszkodowani wobec tego, że dostają na przykład informację, że...
2229:  KMM - tej jest lepsza i wyższa od wagi oceny innej.
2233:  KMM - I wreszcie mamy poszkodowanych nauczycieli, którzy mają zafałszowany obraz pracy ich po pociech i progenitury.
2239:  KMM - I na sam koniec jeszcze dodam wiadomość, którą przeczytałem ledwo dzisiaj, mianowicie konferencja Episkopatu Polski mówi o średniej ocen, posługując się właśnie argumentem na rzecz tego, że religia jest ważna.
2251:  KMM - W związku z powyższym to wpisywanie chociażby szóstek, które było nagminne, co sprawiało?
2256:  KMM - Tak naprawdę, czy sprawiało, że ludzie myśleli o katechezie, że to jest ważny przedmiot, czy też, że to jest ten przedmiot, z którego można łatwo sobie podwyższyć średnią ocenę.
2264:  KMM - Więc wreszcie mamy i ten aspekt, jest sporo takich przedmiotów szkolnych, które są traktowane przez to instrumentalnie, jako narzędzia do podwyższenia sobie osiągów.
2273:  KMM - W związku z powyższym informacja o naszych, obiektywna pono, postępach naukowych jest zaforszowana w dwójnasób.
2283:  DS - Dziękuję serdecznie.
2284:  DS - Bardzo proszę o zabranie głosu przez panią Agnieszkę Krokosieńczuk.
2289:  AKJ - Witam jeszcze raz państwa serdecznie.
2292:  AKJ - Wydaje mi się, że już jako ostatni mówca w tej debacie, muszę pokusić się o pewne podsumowanie.
2301:  AKJ - Pewnie wszyscy, tak jak tu siedzimy i przedmówcy, wszyscy po trosze mają rację.
2306:  AKJ - Natomiast generalnie, jeśli chodzi o prawo oświatowe, to musimy zdawać sobie sprawę,
2314:  AKJ - natomiast tam nigdzie nie jest napisane, jak powinno to wyglądać.
2317:  AKJ - To po pierwsze.
2318:  AKJ - Po drugie, ocenianie zawsze wiąże się z takim ryzykiem, stresem, bo który z nas lubi być oceniany?
2328:  AKJ - Ja już tak jak tutaj miałam przyjemność rozmowy z panem Danielem, rozmawialiśmy o tak zwanej wartości dodanej przy każdej ocenie, czyli wypracowanie oceny przez ucznia, czyli ten efekt końcowy, jaki uczeń otrzymuje, wiąże się z informacją.
2345:  AKJ - Zazwyczaj jest to informacja w postaci cyfry.
2348:  AKJ - I proszę Państwa, jeśli chodzi o średnią ważoną, ona normuje pewne rzeczy w szkole.
2353:  AKJ - Bo oczywiście mowa tutaj o nauczycielach takich czy innych, natomiast musimy pamiętać też o tym, że z każdego przedmiotu nauczyciel jest jednak specjalistą.
2363:  AKJ - Średnie ważone, jakie zostały wprowadzone w szkole, w której byłam dyrektorem, pojawiły się w momencie, kiedy to tak naprawdę rodzice przeszli i zwrócili uwagę na jedną rzecz.
2374:  AKJ - Dlaczego przy pewnej średniej, kiedy jeden uczeń z klasówek, z kratków, z odpowiedzi dostaje oceny dobre, przykładowo dobre, ma czwórkę i ten uczeń, który ma za jakieś referaty, które bardzo często rodzice robią, które nie są oceniane sprawiedliwie w ten sposób, że to ktoś wykonał, że to nie jest tak ważne jednak jak sprawy, bo to jest wiedza, że powinniśmy oceniać wiedzę.
2404:  AKJ - I proszę Państwa, wszystkie oceny, jakie są w dzienniku, że tak powiem, mają swoją wartość.
2410:  AKJ - Niezależnie od tego, czy... Może inaczej.
2415:  AKJ - To nie jest tak, że tam nie jest wartość dodana ucznia.
2417:  AKJ - Każdy nauczyciel, oceniając, bierze pod uwagę, jaki postęp wykonał uczeń.
2422:  AKJ - Natomiast, proszę Państwa, musimy sobie zdawać, tak mi się wydaje, sprawę z tego, że nie zawsze będzie to piątka.
2430:  AKJ - Nie ma tak.
2430:  AKJ - Nie ma tak, że zawsze jest piątka,
2433:  AKJ - A oczekiwania są takie, żeby te oceny były jak najlepsze.
2436:  AKJ - Pewnie, że tak.
2437:  AKJ - Tylko nauka jest pewnym procesem.
2441:  AKJ - Więc jeżeli w tym procesie zdarzy się gorsza ocena, o której tutaj już słyszałam, że gdzieś tam jest, no to ona po prostu się zdarzyła.
2449:  AKJ - Natomiast ja uważam, że średnia ważona, jeśli chodzi o takie przede wszystkim trzy aspekty, sprawiedliwość, motywacja i przygotowanie do egzaminu, bo to jest jakaś taka wymierna na koniec,
2464:  AKJ - Średnia ważona przyczynia się do tego, że jakby te trzy aspekty są oceniane w sposób dobry, sprawiedliwy i motywujący.
2474:  AKJ - I proszę Państwa, pracując z dziećmi, z młodzieżą, wiem, że naprawdę potrafią świetnie planować ocen ze sprawdzianów, z kartkówek, z odpowiedzi.
2484:  AKJ - Co jeszcze warto, wydaje mi się, podkreślić?
2487:  AKJ - Właśnie szczególnie te rzeczy,
2490:  AKJ - To jest praca samodzielna ucznia tak na 100%, bo jeżeli przechodzi na sprawdzian czy do odpowiedzi, czy pisze kartkówkę, to wiemy na 100%, że to jest to, czego się nauczył.
2501:  AKJ - Ale bardzo bym chciała podkreślić jedną rzecz tutaj.
2504:  AKJ - Proszę Państwa, trójka jednego ucznia, a trójka jednego ucznia nie jest ta sama trójka, bo jeden uczeń przeskoczył z jedynki na trójkę,
2514:  AKJ - a kolejny może potrzebuje jakiegoś czasu do uczyć się, miał gorszy okres.
2520:  AKJ - Więc nauczyciel na pewno bierze to pod uwagę.
2522:  AKJ - Dziękuję bardzo.
2525:  DS - Dziękuję serdecznie za te wypowiedzi.
2527:  DS - Uczestnicy będą mogli się teraz zgłaszać do tego, żeby zabierać głos.
2530:  DS - Natomiast w pierwszej kolejności o stosunkowanie się do tych głosów bardzo proszę Panią dr Gabriela Olszowską, która zabierała wcześniej głos jako pierwsza.
2539:  GO - Proszę Państwa, bardzo serdecznie dziękuję i bardzo się cieszę, że słyszę głosy, które pokazują zalety, ewentualne zalety średniej ważonej.
2556:  GO - Padł argument sprawiedliwości i ja się pozwolę do tego argumentu odnieść, jest on mi szczególnie bliski.
2564:  GO - Mianowicie my nie wiemy, co to jest sprawiedliwość.
2568:  GO - Nie wiedział tego Arystoteles, a etyka chrześcijańska, która przyjęła za nim pewne definicje, ustaliła mniej więcej dwa nurty.
2580:  GO - Jeden nurt, wszyscy równi wobec i słuchać tu było to odniesienie.
2586:  GO - Uprzejmie informuję, że jest artykuł 44c, punkt 1, który mówi, że nauczyciel ma dostosować do potrzeb i możliwości edukacyjnych, psychofizycznych danego ucznia.
2601:  GO - Ocenianie jednym, czyli do potrzeb i możliwości, to jest jeden typ sprawiedliwości, a drugi typ sprawiedliwości, wszyscy równi.
2609:  GO - Wszyscy równi wobec jest to ocenianie zewnątrzszkolne, które pojawia się od 44 powyżej literki Q, czyli organizacja egzaminów, artykuł 44 ustawy o systemie oświatowym.
2623:  GO - My mamy wprost wpisane, nakazane od 25 lat dostosować do potrzeb i możliwości psychofizycznych oraz edukacyjnych dla tego ucznia.
2639:  GO - I my nie nauczyliśmy przez 25 lat, ani to pokolenie, ani poprzednie pokolenie,
2647:  GO - że istnieje inny typ sprawiedliwości i że trójka Marysi, a trójka Pawełka może być zupełnie czym innym.
2658:  GO - Bo to jest ocenianie wewnątrzszkolne.
2662:  GO - Ja się tak chciałam tylko odnieść do tego 44c punkt 1, bo punkt 2 mówi o specjalnych potrzebach edukacji.
2672:  GO - To jest bardzo ciekawe.
2674:  GO - Chciałam się odnieść również do średniej ważonej, która została wzięta z biznesu proszę Państwa i jeszcze raz podkreślam miała służyć i służy w różnego typu korporacjach do oceny przydatności pracownika.
2691:  GO - Tam są badane jego cechy, a nie to w jaki sposób uczył się, w jakimś odcinku czasu, u nas to jest 10 miesięcy.
2702:  GO - Bo przypominam, że ocena klasyfikacyjna to jest wzięcie pod uwagę wszystkich
2708:  GO - stopni, w zależności oczywiście jak one zostały tam wyrażone, ten sposób oceniania jest w statucie napisane, od mniej więcej 2 września, w tym roku będzie bodajże od 5 września, aż do ostatnich dni czerwca, gdzie są prowadzone zajęcia.
2727:  GO - I tak ma być rzutowane.
2731:  GO - Co bierze się pod uwagę, że my nie wiemy, czy to jest jeden, czy to dwa, za co to dwa, z czego?
2737:  GO - Proszę Państwa, my nie mamy brać pod uwagę form, bo tak jest powiedziane w artykule 44, od A do Q, form sprawdzania wiedzy, tylko wymagania edukacyjne.
2749:  GO - My powinniśmy się wreszcie przestawić z form sprawdzania wiedzy, testu, nie wiem czego tam, kartkówki, na wymagania edukacyjne i myśleć wymaganiami edukacyjnymi.
2767:  DS - Dziękuję serdecznie za tę wypowiedź.
2770:  DS - Zapraszam do odpowiedzi na to panią Joannę Sprzyczyńską.
2779:  JS - Szanowni Państwo, tak jak nasłucham koleżanki Agnieszki, to my mamy jakby podobne spojrzenie i podobne zastosowanie tej
2789:  JS - średniej ważonej nie wiem czy nie można jej stosować znaczy przepisy prawa nie zakazują nie zakazują nie mówią więc jeżeli stosujemy w naszych szkołach i ona się sprawdza i oczywiście nie we wszystkich przypadkach ponieważ są takie momenty kiedy niesprawiedliwym się wydaje że właśnie zabraknie tamtej małej ułamka do tej oceny wyższej bo na ogół chodzi o oceny wyższe tak jak tutaj
2819:  JS - wspomniała Pani Agnieszka, że wszyscy by chcieli mieć jak najlepsze oceny i wydaje mi się, że to jednak pomaga.
2828:  JS - Może dlatego, że trochę z tą średnią mam do czynienia i
2834:  JS - Nie stosuję jej wprost, ponieważ uwzględniam możliwości ucznia i jego predyspozycje przy wystawianiu oceny końcowej czy śródrocznej.
2846:  JS - Natomiast jako ta pomocnicza wydaje mi się, że ona jest całkiem sensowna, bo też tak się może zdarzyć, że jeżeli przygotowuje się do egzaminu człowiek
2857:  JS - i zdaje później maturę i miał piątkę, a dostaje małą ilość punktów procent na maturze, a może być dopuszczający czy dostateczny i dostaje bardzo dobrą, bardzo dużą ilość punktów na maturze.
2874:  JS - Więc ocena chyba nigdy do końca, tak mi się wydaje, nie będzie pokazywała tego, jakie są możliwości, znaczy możliwości wyczniania
2884:  JS - bo to się też zmienia, prawda, że ucząc się na przykład mojego przedmiotu chemii do matury, bo będzie zdawał na medycynę i czasami szkołę nie przywiązuje wagi dużej, uczy się dużo,
2900:  JS - więc na sprawdzianach to nie wychodzi, ale przygotowuje się pod maturę i na maturze ma ten wynik bardzo wysoki.
2907:  JS - Może być też odwrotna oczywiście sytuacja.
2910:  JS - Ja zawsze sobie porównywałam te oceny uzyskane przez uczniów, stawiane trochę z użyciem się równoważonej, z tymi ocenami, które na maturze uzyskiwali.
2921:  JS - One były
