Matura: Krytyczna analiza | Co w zamian? (@KrzysztofMMaj)
🔗 https://www.youtube.com/watch?v=SYSQgtHDJzo
RM (Rafał Masny)
KMM (Krzysztof M. Maj)

0:  RM - Dzień dobry, witam.
673:  KMM - I gdybyś go spytał, czy jest w stanie omówić dziady na lekcjach, powiedziałby ci, że nie, że ma za mało czasu.
680:  KMM - Więc to jest chyba jedna z najważniejszych rzeczy, o których należałoby pomyśleć, jeżeli rzeczywiście wybieramy jakiś utwór, który jest zabytkiem piśmiennista polskiego.
690:  KMM - To zanalizujmy go porządnie.
692:  KMM - Na maturze teraz było pytanie, nad którym się wyżywałem, dotyczące tego, że dziady część trzecia jest profetyczna.
698:  KMM - Nie, nie jest.
699:  KMM - Jeden wątek taki jest związany z księdzem Piotrem.
702:  KMM - Ja miałem dziady przez cztery miesiące na studiach analizowane i profesorowie mówili, że mają za mało czasu, nawiasem mówiąc.
710:  KMM - My nie mamy szans nawet, żeby pokazać ludziom faktycznie i przekonać nieprzekonanych, że to jest ważne dla etosu Polaka, dla świadomości historycznej i żeby też nakreślić sytuację geopolityczną z tamtego okresu tak, żebyśmy my byli w ogóle w stanie to porównać z tym, co mamy w tej chwili.
726:  KMM - Bo dzisiaj zupełnie inaczej problematyzujemy narodowość, czy patriotyzm, czy polskość.
732:  KMM - Dla mnie osobiście elementem tego etosu polskiego na przykład może być też spokojnie twórczość Andrzeja Sapkowskiego z bardzo prostego powodu.
740:  KMM - Jeżeli się nie czytało wcześniej Sienkiewicza, to się połowy żartów nie zrozumie.
744:  KMM - Więc wiesz, to jest też taki element, którego nie jesteś w stanie wyrwać z naszego korpusu historycznego i z naszego etnosu, czyli tego, co czyni nas etnicznie Polakami, bo Sapkowski wzrastał w tych realiach.
758:  KMM - Ale na przykład taki Jacek Dukaj bardziej będzie nawiązywał do fantastyki zachodniej.
762:  KMM - niż do Stanisława Lema chociażby.
764:  KMM - To też jest ciekawe.
765:  KMM - A z tego Stanisława Lema też co czytamy?
768:  KMM - Czytamy bajki robotów, które są zabawowe, retro już bardzo, ludzie nie rezonują z tym za bardzo, a równocześnie Star Wars Industries egranizuje Niezwyciężonego, czyli powieść, która jest bliżej do Starship Troopers niż do jakichś satyr, który mieliśmy kiedyś w historii.
785:  RM - Czyli na przykład...
786:  RM - To w sumie byłaby ciekawa, ciekawy sposób, żeby wychodzić od dzieła, które ludziom może być bliskie i które faktycznie może ich zainteresować, a potem iść głębiej źródłami i na przykład, hej zobacz, teraz rozumiesz więcej, dzięki temu, że przeczytałeś Sienkiewicza, rozumiesz Sapkowskiego.
802:  KMM - Wiesz, ale tak działa YouTube, to znaczy ludzie biorą coś, co jest znane i potem mówią, ale popatrz, tu jest ta jedna rzecz, której nie kojarzysz, prawda, wideoeseje na YouTube są konstruowane w ten sposób i to jest mądre,
813:  KMM - bo musisz dać wpierw ludziom komunikat w języku, który nie stwarza bariery językowej i kulturowej, po to, żeby potem zapoznać na przykład z zabytkami języka, które będą stawiały barierę językową lub z zabytkami kultury, które będą stawiały barierę kulturową.
827:  KMM - Bo prawda jest taka, że dzisiaj, jeżeli weźmiesz człowieka, który goły i wesoły siada sobie do dziadów, to on ma barierę językową plus barierę kulturową.
835:  KMM - Więc to jest nielogiczne z perspektywy teorii komunikacji, w jaki sposób jesteś w stanie przekazać człowiekowi cokolwiek, jeżeli on nic nie rozumie.
842:  KMM - I wtedy pojawia się opracowanie.
844:  KMM - No więc w międzywojniu było tak, co mnie bardzo kiedyś zdziwiło, ja na to natrafiłem randomowo w Bibliotece Jagiellońskiej, jak robiłem research na studiach, natrafiłem na świadectwo, które było wciśnięte do jednej z książek, gimnazjum w Jarosławiu.
857:  KMM - randomowo, i był tam podział na historia literatury i język polski.
861:  KMM - Potem, jak robiłem materiał na temat lektur, udało mi się dotrzeć do podobnego świadectwa z innego miejsca i to już utrwaliłem sobie, żeby mieć na zawsze ten przykład, no bo to pokazuje, że ludzie myśleli w czasach, które jednak bardzo tradycyjnie podchodziły, o wiele bardziej tradycyjnie do historii literatury niż dzisiaj, bo była o wiele ważniejsza tradycja romantyczna w dwudziestoleciu i ustosunkowanie się do niej pozytywistyczna,
883:  KMM - I nagle się okazuje, że masz rozdział.
885:  KMM - Ludzie doszli wtedy do wniosku, że tak, to jest ważne, bo ludzie muszą wiedzieć, że istniał Kochanowski.
891:  KMM - Nikt ci nie powie, że przeciętny Polak nie powinien wiedzieć, że istniał w naszej historii ktoś taki jak Kochanowski, bo to jest trochę tak, jak każdy powinien wiedzieć, że istniał Tadeusz Kościuszko, albo że była bitwa pod Grunwaldem.
901:  KMM - Więc jesteśmy wszyscy zgodni co do tego, że musi być korpus informacji historycznych, które każdy przyswaja.
906:  KMM - Inna rzecz, że różni historycy potrafią to lepiej zrobić, że nie wpruwasz dat na przykład, tylko masz raczej historiozofię, opowieść, osobna kwestia.
914:  KMM - Natomiast my, zauważ, nie czytamy tekstu przysięgi, który Kościuszko miał na rynku, nie przeglądamy dokumentów historycznych, nie robimy tej pracy archiwistycznej.
922:  KMM - I mam wrażenie, że jakkolwiek jeszcze w XIX wieku nasz język był bliższy tamtemu, który był używany, no powiedzmy jeszcze w XVIII, to dzisiaj przepaść między tymi sposobami komunikacji, jakie mamy tu i teraz, a językiem XIX wieku, który miał do dyspozycji tylko jedno medium w postaci literatury, jest strasznie duża.
941:  RM - To czego wtedy uczysz się na polskim?
944:  RM - Czy w polskim to jest taka bardzo praktyczna lekcja?
950:  KMM - Powiedzmy, że zakładasz firmę swoją budowlaną.
954:  KMM - Ty nie potrzebujesz skillu w postaci interpretacji tekstu archiwalnego,
958:  KMM - ale bardzo potrzebujesz wiedzieć, w jaki sposób skonstruować przekaz reklamowy, w jaki sposób pozyskać klientów, jak rozmawiać z klientem, jeżeli będziesz chciał, otóż to, jeżeli będziesz chciał, żeby na przykład zrobić fuzję z jakąś większą firmą, musisz sprzedać im pitch i ja nawet nie mam polskiego słowa, żeby dać odpowiednik temu i musisz opowiedzieć o tym, powiedzmy, o tym, czym jest twoja firma w krótkim, syntetycznym stylu i nagle się okazuje, że ty rozkładasz ręce, mówisz, ale ja nie umiem.
986:  KMM - Ile ja razy mam styczność z ludźmi, którzy mówią, że nie potrafią przemawiać publicznie albo nie umieją skonstruować dłuższej wypowiedzi.
992:  KMM - Co to znaczy, że nie umieją skonstruować dłuższej wypowiedzi?
994:  KMM - Jeżeli ktoś by powiedział, że ja nie umiem liczyć, to byśmy się uśmiechnęli.
997:  RM - Ja nie znam angielskiego.
999:  KMM - No nie możesz.
1000:  KMM - To jest podstawowy skill, jaki mamy.
1002:  KMM - Możesz mieć niesamowity talent w tym i przemawiać bez żadnego problemu, bez scenariusza, ale musisz umieć mówić.
1008:  KMM - I te podstawowe umiejętności, czytanie, pisanie, mówienie, trenujemy na tych mediach, które są nam najbliższe.
1015:  KMM - I do tego jeszcze Ci dochodzi jeden element, który ja pożyczam od doktora Aleksandry Korczak, która jest w ogóle teoretyczką kanonów lektur i się tym zajmuje, też jest świetną nauczycielką.
1024:  KMM - w Warszawie, pozdrowienia dla Aleksandry, jeżeli słucha, i ona mówi o problemach.
1028:  KMM - Są problemy, o których ludzie chcą dyskutować.
1031:  KMM - Problem migracji, problem narodowości, problem wykluczenia, problem dyskryminacji, jakikolwiek inny byśmy chcieli wziąć.
1038:  KMM - I wtedy ten problem musisz przeanalizować na przykładzie, który zachęci do dyskusji na temat czegoś, o czym nie wszyscy mogą chcieć podyskutować.
1046:  RM - Myślę w ogóle, że debaty w szkołach już stopniowo zaczynają wchodzić, ale to, co też bardzo mi się podoba w debatach, to jest to, że na początku nie obierasz, to chyba w tej oksfordzkiej wersji, nie obierasz jakby konkretnego stanowiska, które ci się podoba, tylko je dostajesz i na przykład musisz bronić czegoś, w co nie wierzysz i to jest świetne.
1066:  RM - Uważam, że to byłoby świetne ćwiczenie dla ludzi, żeby właśnie
1070:  RM - Postarać się wyjść z własnych poglądów i na przykład zesolidaryzować czy zempatyzować z kimś, z tym cudzysłowie Niemcem, który może mieć inny motywację.
1080:  KMM - Oczywiście.
1080:  KMM - To jest zresztą ćwiczenie, które można robić spokojnie na maturach.
1083:  KMM - To znaczy piszesz wpierw pozytywną interpretację jakiegoś utworu, a potem negatywną.
1089:  KMM - Większość ludzi by się na tym wyłożyła, ponieważ myślenie według schematu nie przygotowuje cię kompletnie do tego.
1094:  KMM - Ty wiesz w jaki sposób masz interpretować cierpienia młodego Wertera, ale tylko ludzie myślący poza pudełkiem chcieliby to strollować i napisać interpretację na przekór i oni dostaną zero punktów.
1106:  RM - Tak, że on na przykład, powiedzmy, jest w jednostronnej relacji... Nie no, toksyczny typ, nie?
1114:  KMM - I robisz analizę.
1116:  RM - To było ciekawe.
1117:  RM - Ja miałem w ogóle w gimnazjum lekturę nieobowiązkową, ale taką, do której nas przekonała polonistka i to był alchemik.
1127:  RM - jak się czyta chyba w tym wieku alchemika, to to jest chyba jakaś niewiarygodnie intelektualna przygoda.
1132:  KMM - To jest ta Yuval Noah Harari, tylko że w wieku nam 13 lat.
1136:  RM - Dokładnie, dokładnie.
1138:  RM - I potem jak wszedłem do internetu, to poczułem się trochę oszukany, że to jest tak wyśmiany po prostu pisarz.
1145:  RM - I bo kiedy bardzo się na czymś skupisz, to cały wszechświat pomaga ci w tym.
1150:  RM - Ale to faktycznie...
1152:  RM - Tam zabrakło być może takiej analizy krytycznej, że ktoś by powiedział, hej, ale patrzcie, te zdania są puste, one bardzo brzmią kunsztownie, ale one nie prowadzą cię do żadnej refleksji.
1162:  RM - Więc tak mnie oszukano z alchemikiem, ale wspomnieliśmy o maturze i o debacie w kontekście matury, więc...
1170:  RM - Jak mogłaby wyglądać matura i właśnie, czy matura, czy egzamin na studia?
1174:  RM - Zacznijmy może od tego, co ma większy sens, bo w sumie na przykład w CV nigdy nie piszemy matury, tylko piszemy, skończyliśmy to i to liceum, poszliśmy na te i te studia.
1184:  RM - Więc pytanie, czy matura w ogóle ma sens, czy po prostu kończymy liceum i dodajemy egzamin na studia, czy i egzamin na studia i matura...
1192:  KMM - Wiesz co, to jest złożony problem, muszę tu dłużej trochę powiedzieć, bo tak, po pierwsze, ludzie niepotrzebnie uczą się na oceny, bo finalnie decyduje wyłącznie wynik na maturze, o czym im się w sumie przez większą część edukacji nie mówi i potem są oszukani, bo i tak liczy się ten procent, a potem czują się podwójnie oszukani, bo się okazuje, że ten procent przestaje się liczyć w momencie, w którym się rekrutowali na studia i potem już nikt się tym nie przejmuje.
1214:  KMM - A potem zyskują dyplom ze studiów i pracują niesamowicie, żeby mieć 5-0 na dyplomie, po czym nikt, nikt
1221:  KMM - w żadnej pracy nie pyta o średnią ocenę ze studiów.
1225:  KMM - Ba, jak ja się rekrutowałem na stanowisko adiunkta, pracownika naukowo-dydaktycznego na uniwersytet, to nikt mnie nie spytał o średnią ocenę ze studiów, tak?
1233:  KMM - Więc jeżeli w tym zawodzie nie jest ona potrzebna, w żadnym nie jest.
1236:  KMM - Więc my się tym za bardzo przejmujemy, to jest pierwsza kwestia.
1238:  KMM - Druga kwestia jest taka,
1240:  KMM - że jest za dużo egzaminów.
1241:  KMM - I o tym też mówi bardzo dużo pedagogów, że niespecjalnie mądre jest robienie egzaminu ósmoklasisty i jeszcze matury, a potem jeszcze możemy dorzucać następne egzaminy i sporo uczniów by powiedziało, nie, my nie chcemy kolejnego.
1254:  KMM - Więc ja mam tutaj takie rozwiązanie, które było i funkcjonowało, a wiem to dzięki mojej mamie, która z tego skorzystała.
1260:  KMM - Po pierwsze, na maturze z języka polskiego było coś takiego jak temat wolny, możesz pisać o czym chcesz.
1266:  KMM - I zanim ktoś wrzaśnie, że to jest niemożliwe, to w ten sposób też się człowiek może rekrutować na Oxford.
1271:  KMM - Więc tak długo jak długo nie skrytykujemy Uniwersytetu Oksfordzkiego, nie bardzo możemy krytykować to też rozwiązanie.
1276:  KMM - I ono jest dobre w tej sytuacji, bo ktoś w komentarzu swoją drogą napisał ostatnio, kto też taką maturę pisał.
1283:  KMM - Ale wiesz Krzysztof, to pytanie było trudniejsze, bo ty musiałeś się bardziej wykazać wiedzą, a słabsi ludzie brali sobie opracowanie lektury.
1291:  KMM - Dzisiaj jest na odwrót.
1292:  KMM - I teraz sytuacja jest taka, że jeżeli bierzesz tę maturę, ja się cały czas koncentruję na języku polskim, bo to jest mój obszar specjalizacji, to znaczy literaturoznawstwo, i rekrutujesz się na studia,
1303:  KMM - to powoduje to następującą rzecz.
1305:  KMM - Większość ludzi będzie miała 190-180%.
1307:  KMM - To jest inflacja.
1310:  KMM - Masz inflację wysokich wyników, wskutek której bardzo dużo ludzi dostaje się na studia, takie, na których może sobie nie poradzić.
1318:  KMM - Czyli sporo ludzi pójdzie chociażby na studia profesjonalne, polonistyczne, literaturoznawcze, filologiczne, po czym po roku zrezygnuje, poczuje się oszukany znowu i zacznie błądzić w poszukiwaniu innych studiów.
1330:  KMM - Więc ten wynik jest niemiarodajny, to jest pierwsza kwestia.
1332:  KMM - On nie może być miarodajny, ponieważ on wyłącznie sprawdza znajomość opracowań i pamięciówkę i myślenie podług schematów, ale w ogóle nie kształci tych umiejętności, które są krytyczne na studiach humanistycznych, więc wyszukiwanie źródeł, analizowanie ich, właśnie to, co powiedziałeś, debaty, polemiki, tego nie ma.
1348:  KMM - A to jest coś, z czego będziesz rozliczany od pierwszego roku w górę na takich studiach.
1353:  KMM - I ja jeszcze w latach 2007-2008, jak zaczynałem studia, razem z kolegami i koleżankami, którzy byli po olimpiadzie, miałem niebotyczną przewagę nad ludźmi z mojego roku, mimo że olimpiada to nie jest coś niesamowitego, żeby było śmieszniej, tylko ta olimpiada w tym kształcie, w którym była już wtedy, ona funkcjonowała tak jak matura z lat 70-tych.
1373:  KMM - Bo tam też miałeś temat, który możesz sobie swobodnie pisać, masz 4 godziny, nikt ci nie mówi, czy możesz wnosić kanapkę, czy możesz wnosić wodę, nie ma tej, wiesz, przenoszenia jakimiś pancernymi ciężarkami, ciężarówkami tematów pod, wiesz, strażą, tylko one są ogłoszone wcześniej, normalnie, tak?
1392:  KMM - A egzamin na studia funkcjonował wtedy znowu w latach 70. jako ścieżka odwoławcza nieformalna, czyli no trudno, powinęła ci się noga na maturze, ale możesz iść na egzamin na studia i tam fachowiec, ekspert przepyta cię i możesz się dostać.
1410:  KMM - I to jest rozwiązanie, które jest dobre, czyli dajesz ludziom opcję, a nie zmuszasz.
1414:  KMM - Musisz napisać maturę, żeby iść na studia.
1416:  KMM - Możesz napisać maturę, jak nie chcesz iść na studia.
1419:  KMM - Chcesz mieć egzamin kończący, twoją edukację, potrzeba ci tego do pracy, piszesz egzamin wstępny.
1424:  KMM - Chcesz iść na studia, piszesz egzamin lub odpowiadasz na egzaminie wstępnym.
1428:  KMM - I zanim znowu ktoś mi powie, że egzaminy wstępne to jest błąd, to rozmowy kwalifikacyjne w pracy.
1434:  KMM - Wyobraźmy sobie absurdalną sytuację, gdzie do pracy przyjmują cię na podstawie wyniku na świadectwie ze szkoły.
1440:  KMM - No to nie o to chodzi.
