MOBBING TO SMUTNY STANDARD? *Krzysztof M.Maj*
🔗 https://www.youtube.com/watch?v=ZYhuh4pJjvA
KMM (Krzysztof M. Maj)
MM (Mateusz Macierakowski, BEZ ŻARTÓW)

4:  MM - Bez żartów.
109:  KMM - w 50 sekund, w 5 minut, to znaczy, że musisz go przemyśleć i że trzeba zastanowić się nad tym, co się mówi.
115:  KMM - Dokładnie to samo jest z kulturą wysoką.
117:  KMM - Jeżeli rekomenduje się cokolwiek komuś mówiąc, o to jest wybitne, jeżeli tego nie przeczytasz, to znaczy, że jesteś głupi.
125:  KMM - to ktoś to przeczyta?
125:  KMM - Oczywiście, że nie, prawda?
126:  KMM - To jest używanie tego charakterystycznego języka, to jest też błąd bardzo często, który popełniają politycy, chociaż oni akurat celują do pewnej bańki przekonywania przekonanych, a tymczasem trzeba przekonać nieprzekonanego.
139:  KMM - Jeżeli ja rekomenduję jakąś grę wideo, to nie mówię, co w grę.
143:  KMM - porozmawiajmy za 20 lat, jak ktoś nadrobi wszystkie te gry, które ja znam, tylko staram się pomyśleć, OK, to jest ktoś, kto ceni filmy.
151:  KMM - Być może polecę w takim razie grę studia Quantic Dream, które słynie z tego, że robi gry filmowe.
157:  KMM - I faktycznie w ten sposób może się okazać, że przeciągniesz kogoś na swoją stronę, bo jasne, że wszystkim zależy na tym, żeby ukłuć język, za pośrednictwem którego będziemy w stanie wyrazić skomplikowane treści.
168:  KMM - Jeżeli coś nas zachwyca, mamy wkrętkę, zaczynamy czytać więcej na ten temat.
173:  KMM - I nagle się okazuje, że chociażby miałem wczoraj taką przesympatyczną rozmowę o bardzo starej grze, bodajże Xenoblade, ale mogę teraz mylić tytuł, i w którymś momencie zeszliśmy na Martina Heideggera.
186:  KMM - Ja nie wiedziałem nawet, kiedy zeszliśmy, bo osoba, która mi opowiadała o tej grze, miała taką niesamowitą wkrętkę w to i zaczęła tak dużo czytać eseów na ten temat, tak dużo słuchać filmów, że opowiadała, aż dotarła właśnie do kontekstu filozoficznego.
199:  KMM - Oczywiście można byłoby wydać wargi i powiedzieć, że to jedynie ktoś.
202:  KMM - kto przeczytał Martina Heideggera, może myśleć o zagraniu w ten tytuł.
207:  MM - I to już jest lekki snobizm, prawda, bo założenie, bo zanim przedstawimy sytuację, to już nadymamy się i po prostu chyba to wynika po części z tego, że to wynika z tego, że pewnie
224:  MM - chcemy już jakby apriorycznie pokazać, że to jest lepsze od czegoś innego.
230:  MM - Waloryzujemy tak z założenia.
231:  MM - Tak o to chodzi.
232:  KMM - I dzielisz ludzi.
235:  KMM - Jeden z moich ulubionych filozofów, Jacques Derrida, powiedział, że nazywany nie jest pierwszą przemocą.
240:  KMM - Więc jeżeli nazywasz i mówisz, że ten jest idiotą, bo nie zna, a ten jest erudytą i krajanem, bo zna,
247:  KMM - Aha, krajanem.
249:  KMM - To już w tym momencie rozstawiłeś piąki na szachownicy i pokazujesz sytuację, która jest rozstrzygnięta.
256:  KMM - Nie potrzebujesz dialogu.
257:  KMM - Inny mój ulubiony filozof, Bernard Waldenfels, mówi, że dialog to nie powinien być
263:  KMM - monolog podwojony, monolog dwóch osób, a bardzo często dochodzi do takiej sytuacji.
268:  KMM - No i my to nazywamy chociażby dzisiaj językiem popularnym filter bubble, bańka informacyjna.
274:  KMM - Są dwie bańki informacyjne, które się ze sobą nie komunikują.
277:  KMM - Jak ma skomunikować się ktoś, kto
279:  KMM - uważa, że fajnie, że wreszcie przestał bezmyślnie scrollować TikToka i zobaczy sobie jakiś dobry serial.
286:  KMM - Powiedzmy teraz wychodzi Better Call Saul i dużo ludzi go chwali.
289:  KMM - Jest dumny z siebie, bo to nie jest serial tak przystępny jak Riverdale.
294:  KMM - I jest zadowolony, że to obejrzał, po czym słucha kogoś, kto czyta literatury i on mówi, że jeżeli ogląda ktoś seriale, to znaczy, że traci czas i nie wie, co robić ze swoim życiem.
305:  KMM - W tym momencie cały ten entuzjazm, cała ta radość z tego, że coś się poznało ambitniejszego właśnie,
313:  MM - Ja w tym podcaście rozmawiałem też między innymi z wykładowcą akademickim, też z Krakowa, z Janem Rokitą i nawiązaliśmy tutaj do tego, że młodzież nie czyta literatury pięknej, literatury takiej bardzo znanej i Jan Rokita ubolewał nad faktem, że
330:  MM - Młodzi ludzie nie rozumieją kodu kulturowego, który jest przekazywany za pomocą metafor, które przedstawia studentom jako wykładowca i ubolewą nad faktem, że nikt nie czyta Czarodziejskiej Góry Thomasa Manna.
346:  MM - Tak, i jestem ciekaw właśnie, czy to jest wina studentów, wina młodych ludzi, że nie czytają tych klasyków, czy wina wykładowców, którzy trochę nie potrafią zachęcić, jak pan na to patrzy?
362:  KMM - W oświeceniu ludzie sarkali, że się nie czyta starożytnych.
365:  KMM - To się nie zmienia kompletnie.
367:  KMM - Zawsze ktoś sarkał, że ktoś nie czytał czegoś, co on czytał, a co było dawno.
371:  KMM - Tylko, że jest jedna rzecz, która się zmieniła diametralnie w naszej rzeczywistości, to znaczy nigdy nie było tak bogatej produkcji kulturowej.
378:  KMM - W ogóle.
378:  KMM - Nigdy.
379:  KMM - W historii cywilizacji.
380:  KMM - Nigdy nie było takiej oferty medialnej.
382:  KMM - Więc dzisiaj prawda jest taka, że ten wzorzec klasycznego erudyty musi upaść, bo nikt nie jest w stanie być erudytą w tak wielu obszarach.
392:  KMM - A prawda jest taka, że kod kulturowy, którym się posługują młodsze pokolenia, oczywiście, że jest.
398:  KMM - I to on jest nierozpoznawalny bardzo często przez starsze pokolenia.
402:  KMM - Tym kodem kulturowym, najprościej rzecz ujmując, są chociażby memy.
406:  KMM - Albo fakt, że ludzie, którzy się spotykają ze sobą, raczej rozmawiają o ostatnim serialu, który jest na streamingu i wokół tego się toczy dyskusja.
415:  KMM - I nikogo to nie dziwi.
417:  KMM - No, w Polsce to niestety dziwi, bo to jest charakterystyczna cecha dwóch krajów Europy, to znaczy Polski i Francji.
423:  KMM - I w Polsce i we Francji jest taki wzorzec erudyty i w jednym i w drugim przypadku jest klasistowskie wykluczenie stosowane względem wszystkich tych, którzy do tego wzorca nie dostają.
435:  KMM - We Francji może dojść do takiej sytuacji chociażby, że jeżeli nie będzie się używało zwrotów składniowych, które są znane z literatury,
445:  KMM - to od razu będzie wiadomo, że ten człowiek nie jest tym właśnie wykształconym, wysoko wykształconym, przypominającym wzorce arystokratyczne obywatelem republiki, więc on na pewno nie będzie dyplomatą, bo on już będzie wykluczony na poziomie języka.
460:  KMM - I my jesteśmy zafascynowani tym kodem kulturowym, to jest ten element, na którym polska kultura i francuska są do siebie bardzo zbliżone.
467:  KMM - Ale to są wyspy, to znaczy wzorzec kultury amerykańskiej czy anglosaskiej jest zupełnie inny.
471:  KMM - I dla mnie szokiem było, jak jeździłem na konferencję, wyszedłszy z właśnie takiego klasycznego wykształcenia na Uniwersytecie Jagiellońskim i byłem czy w Stanach, czy nie wiem, w Wielkiej Brytanii, w Niemczech, w skandynawskich krajach
487:  KMM - Jak ja tam usiłowałem mówić o tym, że jest w Polsce taki problem, że właśnie mamy kulturę wysoką i fantastykę i popkulturę, to oni mówili mi, co?
495:  KMM - Jakie high culture?
496:  KMM - Nie ma czegoś takiego jak high culture.
497:  KMM - Nawet nie znali tego pojęcia.
499:  KMM - Ono nie jest tak rozpowszechnione, jak jest w naszej rzeczywistości.
502:  KMM - Tam to jest raczej domena bardzo takich
505:  KMM - klasycznych prac akademickich z zakresu estetyki, gdzie ludzie rozważają pojęcie kultury wysokiej tam, gdzie ono powstało, to znaczy w szkole frankfurckiej i rozważają również pisma, które są od oświecenia w górę, na temat tak zwanego toposu ad usum delfini, czyli dla pożytku księcia, arystokratycznie bardzo.
522:  KMM - Chodzi o to w dużym skrócie, że w XVIII wieku, w dobie racjonalizmu,
528:  KMM - doszło do upowszechnienia przekonania, że jeżeli jest jakaś rozrywka, jest jakaś zabawa, to ona ma być pożyteczna.
535:  KMM - I nawet w polskiej literaturze doby oświecenia, jeżeli się mówi o zabawce, to jest znaczenie zajęcia jakiegoś, to wyrażenie i związanie zabawy z...
546:  KMM - aktywnością intelektualną, czy przynoszącą pożytek społeczeństwu, państwu, republice, wszystko jedno, ono się wtedy narodziło.
553:  KMM - I do dzisiaj to mamy.
554:  KMM - To znaczy mamy takiego wewnętrznego strażnika, jak to często nazywam, który mówi nam, o, marnujesz czas oglądając to, dlaczego binge'ujesz serię, a mówisz sobie przeczytać książkę.
563:  KMM - To jest to samo.
564:  KMM - To jest content, który jest podany w różny sposób.
567:  KMM - Jasne, że potrzeba różnych kompetencji do tego, ale mylne jest przekonanie, że potrzeba większych kompetencji do analizy literatury.
575:  KMM - Z wszystkich mediów, które znam, najwyższej ilościowo kompetencji potrzeba do analizy dobrej gry wideo.
583:  KMM - Podkreślę, dobrej gry wideo.
585:  KMM - która będzie złożona, skomplikowana i będzie miała wiele komponentów.
588:  KMM - Literatura nie jest w stanie mieć tak wiele komponentów jak wybitna gra wideo.
594:  KMM - Mówiąc wybitna gra wideo, myślę Red Dead Redemption, Death Stranding, Wiedźmin 3, tego typu tytuły.
600:  MM - Klasyki mocne.
601:  KMM - Mocne klasyki, właśnie.
603:  KMM - To jest charakterystyczne, że używamy tego słowa.
605:  MM - A propos klasyków, tak, właśnie.
608:  MM - Bo Pan między innymi zajmuje się właśnie popularyzowaniem gier, ale zastanawiam się, teraz mi się zrodziło pytanie, czy jest możliwe, żeby gry zastąpiły w kontekście edukacji całkowicie książki w polskim systemie?
621:  KMM - Nie, w polskim styczniu jest to niemożliwe.
623:  KMM - To jest niemożliwe ze względów ekonomicznych i hardware'owych na razie.
626:  KMM - To jest bardzo prosta sprawa.
627:  MM - Pan się przygląda temu zjawisku bardzo z bliska, no bo zajmuje się, jest w tej katedrze na uniwersytecie, tutaj na Akademii Górniczo-Hutniczej, więc...
637:  MM - Może Pan to jakby rozdzielić na czynniki pierwsze?
640:  MM - Dlaczego nie może mu tego zrobić?
641:  KMM - To jest prosta sprawa.
642:  KMM - Infrastruktura akademicka nawet nie jest w stanie nadążać za rozwojem technologii, bo priorytetyzowane są, i trudno się dziwić zresztą, na uczelni technicznej babania empiryczne.
653:  KMM - Jeżeli jest wybór kupić maszynę wytrzymałościową do zrywania próbek albo kupić specjalistyczny mikroskop, względnie doposażyć pracownię komputerową, żeby mogli sobie popykać w gierki,
665:  KMM - Przy takim nastawieniu nigdy nie doposażymy tej pracowni komputerowej, mimo że, co powtarzałem z niewysłowioną ironią, był taki czas, że CD Projekt Red miał wyższą kapitalizację na giełdzie niż KGHM Polska mieć.
678:  KMM - A jednak to współpraca z KGHM Polska Miedź była priorytetyzowana przez wiele uczelni technicznych i przez wiele wydziałów, a nie współpraca z CD Projektem RET.
687:  KMM - I to pokazuje problem, który mamy.
689:  KMM - To znaczy, póki uważamy, że pykanie w gierki to jest pykanie w gierki właśnie, a nie istotna część naszej kultury, która jest jedynym przejawem nauk humanistycznych, który pozwala na połączenie nauk technicznych i humanistycznych i odejście od tego durnego podziału na ścisłowców, którzy nie umieją czytać i humanistów, którzy nie umieją liczyć.
708:  KMM - a tymczasem w GameDevie jest to potrzebne, to znaczy potrzebujemy programistów, którzy umieją napisać quest.
714:  KMM - To nie jest tak, że człowiek pójdzie do GameDevu i o, bo ja umiem kodować, to ja teraz będę zadał 15 tysięcy, będę tylko kodował.
721:  KMM - No nie, jeżeli jest mały zespół, to tak, będziesz częściowo kodował, a jak zespół pracujący nad questami nie będzie miał czasu, to ty będziesz im pomagał pisać questy.
729:  KMM - Tak to działa.
731:  KMM - I co więcej, nawet jeżeli nie będzie ktoś pisał tych questów, to kodując różne zdarzenia w silniku chociażby, musi zdawać sobie sprawę z tego, jak się pisze questy, albo jak się pisze fabułę, albo jak się pisze coś, co nie jest ani questem, ani fabułą, bo jest pewnym doświadczeniem narracyjnym, które trzeba zaprojektować dla użytkownika, żeby czuł się w tym świecie tak, jak w świecie rzeczywistym.
752:  KMM - Jeżeli tego ktoś nie rozumie, nie będzie skutecznym programistą w gamedevie.
756:  KMM - i dlatego też ludzie rozpaczliwie jeżdżą na Digital Dragons, rozmawiają, udostępniają się na YouTubie, bo nie ma tej wiedzy powszechnie dostępnej.
764:  KMM - Bardzo ciężko jest też zaprojektować taki kurs czy program studiów bez współpracy z branżą i z biznesem.
770:  KMM - Powiedziałbym nawet, że jest to niemożliwe.
773:  KMM - Idealne studia wyglądałyby w ten sposób, że powiedzmy 50-60% zajęć jest prowadzonych przez praktyków,
779:  KMM - którzy jeszcze w dodatku, i to jest problem, mają czas, żeby zainwestować go w takie dokształcanie, a zwykle jak pracują w gamedevie, absolutnie tego czasu nie mają.
790:  KMM - I powiedzmy 40% historia, teoria, gier komputerowych, ale także praktyki designu, UX i UI design, czyli projektowanie doświadczeń użytkownika i projektowanie interfejsów, a interfejsy potrafią być koszmarnie spaprane w grach,
804:  KMM - Następnie wszystkie elementy związane z czymś, co się fachowo nazywa poetyką gier wideo czy światotwórstwem, a zatem w jaki sposób wywołać zanurzenie, czyli imersję użytkownika.
815:  KMM - Jak?
816:  KMM - Jak to zrobić?
817:  KMM - Jakie elementy interfejsu są zbyteczne, a jakie są bezwzględnie konieczne?
820:  KMM - Jakie są gatunki gier wideo?
822:  KMM - Jak łączyć te gatunki ze sobą?
824:  KMM - To jest robota, którą robią ludzie z TV-gry w Polsce.
828:  KMM - To nie jest robota, którą robią naukowcy.
830:  KMM - To jest robota odwalona w dużej mierze przez fanów, przez krytyków, przez portale gamingowe, ale nie jest to uświadomione niestety w pełni na uczelniach, więc to młode pokolenie groznawców, które teraz wzrasta, ma dość trudne zadanie przed sobą, to łączenia tych dwóch elementów ze sobą.
846:  MM - Ale to wszystko póki co jest w takiej mikroskali, można powiedzieć, prawda?
849:  MM - To jest mikroskala i poziom uniwersytecki.
851:  MM - Ale ten proces będzie się rozszerzał.
854:  MM - Bez pana perspektywy, no bo pan studiował na Uniwersytecie Jagiellońskim, jak pan ma na Facebooku fanpage'u, niestety, ale chodzi o to, czy to się zmienia z roku na rok coraz bardziej, że ten świat gamingu w kontekście akademickim, w kontekście edukacji jest coraz bardziej popularny.
872:  MM - Czy to się zmienia, czy stoimy w jakimś miejscu i w zamkniętej bańce?
875:  KMM - Ja się śmieję trochę, że Spider's Web co roku puszcza ten sam news, to znaczy, że This World of Mine jest na liście lektur.
880:  KMM - Dzięki Przemysłowowi Czarnkowi.
882:  KMM - Tak, nie, nie jest na liście lektur, jest na liście lektur nadobowiązkowych.
886:  KMM - I uzupełniających.
886:  KMM - Uzupełniających, których nikt nie wybiera, bo jeżeli ktoś wybierze cokolwiek z listy lektur uzupełniających, to wybierze książkę.
893:  MM - I wiedziałem o tej sprawie dlatego, że... W ogóle ta gra została zostawiona z Tadeuszem Borowskim, z wierszem.
900:  KMM - Dlatego mówię, że to nie jest zdumiewające, że akurat Wisła of Mind gra o powstaniach, wojnie i cierpieniu cywili.
907:  KMM - Nieznane rzeczy w historii literatury polskiej.
910:  KMM - W ogóle się o tym nie mówi w szkołach.
912:  KMM - Nigdy się nie mówiło o drugiej wojnie.
913:  KMM - Nie.
914:  KMM - Absolutnie.
915:  KMM - Więc to jest zabawne, że akurat trafił na listę lektor, ale z drugiej strony kibicuje Eleven Beatom, no bo to jest po pierwsze bardzo dobry tytuł, który pokazuje, że właśnie w grach wideo, gdzie nie ma celebracji przemocy, wręcz przeciwnie, są etyczne rozważania nad ich konsekwencjami, nad tym, co się stanie, jeżeli ludność cywilna będzie głównym bohaterem gry, a nie komandos kolejny, który wykonuje rozkazy, prawda?
940:  KMM - To oczywiście nie jest jedyny taki przypadek,
943:  KMM - Przypominam sobie grę, to jest chyba nadużycie, ponieważ nie pamiętam tytułu jak zawsze, ale być może sobie przypomnę za moment, w której można było uzyskać pozytywne zakończenie tylko wtedy, kiedy się przestało w nią grać na początku, to była właśnie gra wojenna.
956:  KMM - Bardzo znany przykład, na pewno ktoś w komentarzach napisze.
960:  KMM - Dajcie znać, bo tutaj mogę uzupełnić.
962:  KMM - W każdym razie, moja pamięć.
965:  KMM - W każdym razie to jest jedna jedyna rzecz, która w ogóle z obszaru growego pojawiła się w szkole, a tak naprawdę się nie pojawiła.
972:  KMM - No i właśnie, jeżeli na uczelniach jest problem z tym, żeby uzyskać informacje na ten temat, nie ma podręczników do tego,
981:  KMM - Nie ma infrastruktury wystarczającej, to co dopiero w polskiej szkole, gdzie z ledwością odpala się Excela, gdzie nie ma Wi-Fi praktycznie, gdzie uczniowie się odbierają telefony komórkowe na lekcje.
992:  KMM - To jest śmieszny skansen w zestawieniu z tym, co my mamy.
998:  KMM - I to jest śmieszny skansen w zestawieniu z tym, co jest nawet w szkolnictwie publicznym w Stanach Zjednoczonych, gdzie wiadomo, że szkolnictwo prywatne w Stanach Zjednoczonych jest na wyższym poziomie jeszcze bardziej niż szkolnictwo publiczne, a i tak w publicznym koledżu, jeżeli ktoś chce grać w zespole, może grać w zespole, jeżeli ktoś chce grać na wiolonczeli, może grać na wiolonczeli, jeżeli ktoś chce być w teatrze, możesz być w teatrze, jeżeli ktoś chce nagrywać sobie podcasty, będzie mieć infrastrukturę do tego.
1021:  KMM - To jest szkoła powszechna, tak?
1023:  KMM - To jest wykształcenie ogólne.
1025:  KMM - U nas jest wykształcenie selektywne.
1027:  KMM - które właśnie kształtuje się w tym modelu XVIII-XIX wiecznej erudycji, która tak szczerze jest trochę śmieszna.
1035:  KMM - To znaczy z perspektywy tego, co jest faktycznie wymagane na przykład na studiach filologicznych, to można zapomnieć o całej tej edukacji, która jest wcześniej.
1043:  KMM - Do tego stopnia, że jak podchodziłem do olimpiady z języka polskiego, w maturze miałem 20% i nie udało się,
1050:  MM - Ale olimpiadę pewnie pan bardzo dobrze znał.
1051:  KMM - Oczywiście, tak, tak, tak.
1052:  KMM - Ja zawsze powtarzam ludziom, którzy się martwią z tą maturą, że mnie doktorat z literaturoznawstwa jakby nie przeszkadzał w tym, żeby mieć 20% z matury z polskiego.
1059:  KMM - Więc olimpiada mnie uratowała, ale tam było z 200 lektur w ogóle do uzupełnienia, na takiej zasadzie, że to jest zupełna podstawa i baza do tego, żeby mówić o tych wszystkich zjawiskach na poziomie filologicznym.
1073:  KMM - I właśnie jeżeli chodzi o klasyczną erudycję.
1075:  KMM - I jeden z argumentów był taki, że teraz listy lektur to są w ogóle nie takie, jak były kiedyś.
1080:  KMM - Więc to jest spirala, która się nigdy nie kończy.
1083:  KMM - Zawsze możemy być bardziej wykształceni klasycznie i zawsze możemy być większymi erudytami, ale to nie jest ideał, za którym warto gnać w dzisiejszej rzeczywistości.
1092:  KMM - W dzisiejszej rzeczywistości priorytetyzowane jest o wiele bardziej takie otrzaskanie kulturowe.
1097:  KMM - Znowu wrócę do game devu.
1099:  KMM - idziemy do naszej wymarzonej pracy, jest spotkanie, piczujemy projekt nowej gry.
1103:  KMM - Ludzie mówią, dobra, to robimy cyberpunka post-apo i będziemy mieli tutaj podróż bohatera, taką monomicie jak Marvelu.
1111:  KMM - I teraz mogę wymienić każdego pracownika wydziału, który kończyłem po logistyki, który by nie wiedział, o czym on mówił.
1120:  KMM - W ogóle.
1121:  KMM - On po prostu by nie wiedział, co ma zrobić.
1123:  MM - Bo jest mocno skupiony tylko na tej wersji kulturowej, takiej literaturowej, osiemnastowiecznej.
1128:  KMM - Tak, jest wykluczony z tego, co jest współcześnie.
1131:  KMM - Więc ja upatrywałbym w tym szkodę, jeżeli by właśnie ludziom odbierać wiedzę na temat tego, co się dzieje współcześnie.
1138:  KMM - Zwłaszcza, że ta współczesność, zauważmy się, zaczyna coraz bardziej rozdymać.
1141:  KMM - No bo co, to jest XX wiek, XXI wiek, po 45, po 89, po 60.
1146:  KMM - Czyli co, Tarantino i kino Tarantina to jest współczesność?
1151:  KMM - Dla mnie już nie.
1152:  KMM - A co dopiero dla ludzi, którzy mają dzisiaj 12 lat, nie?
1154:  KMM - To już dla nich będzie historyczne kino.
1157:  KMM - Postmodernizm, który reprezentuje Tarantino, już będzie w kinie, już będzie dla nich historyczny.
1162:  KMM - Współczesny będzie powiedzmy to, co robi sobie Denis Villeneuve, a to i tak będzie uznane przez wielu koneserów kina za właśnie kino wybitne, które będzie zupełnie czym innym od powiedzmy kolejnego filmu ze stajni Marvela.
1176:  KMM - I nawiasem mówiąc również, jeżeli będziemy rozpatrywać z kolei Marvela, to możemy pokazać, te filmy są wybitne, a te są gorsze.
1183:  KMM - Więc zawsze można to zrobić w obrębie jakiegoś pola, ale kluczowe jest to, żeby ludziom dać narzędzia do tego, żeby oni to analizowali.
1191:  KMM - Bo jeżeli nie będziemy na przykład uczyć współczesnej kultury na przykładach takich, które są nam bliskie, to wtedy gwarantujemy sobie to, że ludzie będą ślizgali się po powierzchni i nie będą właśnie wnikali w głąb, nie będą chcieli czytać ambitnie.
1206:  KMM - I zauważmy, że to się robi wtedy samo sprawdzająca się przepowiednia.
1209:  KMM - Jeżeli nie nauczymy ludzi czytać mądrze współczesnej kultury, to nie będą jej czytali mądrze.
1214:  KMM - Ale przez to, że nie będą jej czytali mądrze, to będą udowadniali to, że ona jest bezwartościowa w zestawieniu z XIX wieczną, która miała miliard interpretatorów, filozofów, którzy o tym pisali itd.
1223:  KMM - itd.
1224:  MM - A czy to nie wynika troszeczkę też z tego, że w dyskursie takim publicznym mocno są brane pod uwagę słowa
1233:  MM - tzw.
1233:  MM - autorytetów kulturowych, czyli m.in.
1237:  MM - o których Pan wspominał w swoich filmikach youtubowych.
1240:  MM - Mam na myśli panią Olgę Tokarczuk.
1243:  MM - Poruszyłem temat kultury wyższej, kultury niższej, nawiązałem do snobizmu.
1248:  MM - Pan nazywa panią Olgę Tokarczuk snobistką.
1252:  KMM - Snobistką, tak.
1254:  MM - Ale to jest nie pana inicjatywa.
1256:  KMM - Nie moje, to jest jednego z widzów, którym niezmiennie dziękuję za tę inicjatywę terminologiczną.
1262:  MM - Tak, ale po prostu, czy trochę to nie jest tak, że właśnie odgórne te jednostki uznane za opinię publiczną, za autorytety, one wyznaczają trochę taki trend myślenia wyższego, kulturowo wyższego i dzięki temu też się przyczepiamy łatwiej do kogoś, kto na przykład otrzymał Nobla, bo przecież ostatnia wypowiedź pani Tokarczuk moim zdaniem była słaba, nie wiem, czy pan też tak uważał w swoim filmiku,
1288:  MM - Czy może to też trochę z tego wynika?
1290:  MM - Czy nie do końca powinniśmy iść tym tropem?
1292:  KMM - Powiem tak, w ogóle bardzo się cieszę, że polityka zrobiła na ten temat dość duży tekst, w którym powiedzieli coś, czego ja nie powiedziałem, bo ja staram się unikać tematów politycznych z uwagi na to, że jestem wykładowcą i mój student nie ma podchodzić do mnie, a to jest ten prawak albo a to jest ten lewak.
1309:  MM - Nie, bo nie ma tego... Być wolnym od po prostu orientacji politycznej.
1312:  KMM - I to jest zresztą coś, za co bardzo cenię moją uczelnię, że tutaj to jest ten temat no go zone, tutaj nie wkraczamy, bo jest nauka, nauka jest obiektywna, a w każdym razie ma być obiektywna, mamy się starać być obiektywni w miarę możliwości.
1324:  KMM - Niemniej, polityka bardzo dobrze zdiagnozowała jeden problem, to znaczy to jest problem konfliktu tradycyjnego liberalizmu transformacyjnego, czyli mówiąc takimi kodami politycznymi PO, Unia Wolności i tak dalej,
1340:  KMM - którzy właśnie mają taki bardzo dziwny abalgamat idei, że z jednej strony po stronie kościoła, z drugiej strony liberalnie, z trzeciej lewicowo, a tak naprawdę po prostu jesteśmy wszyscy bardzo bogaci po transformacji i możemy sobie pozwolić na to, żeby bywać w różnych miejscach.
1356:  KMM - Lubimy bywać, lubimy bale, lubimy spotkania, lubimy koktajle i lubimy rzeczy, na które młodych ludzi nie stać.
1364:  KMM - I to jest pierwsza rzecz i konflikt z młodą lewicą, która
1369:  KMM - mówi, nie, no naszym problemem jest to, że ludzie nie mają mieszkań i może od tego zacznijmy, a potem zastanawiajmy się, czy to mieszkanie będziemy mogli umeblować sobie biblioteką klasyków z książkami 60 złotych sztuka, podczas gdy subskrypcja Netflixa to jest 60 złotych właśnie całego Netflixa, na przykład.
1389:  KMM - To jest język młodej lewicy.
1392:  KMM - który wchodzi w jaskrawy kątnik z tym językiem tego lewicowego establishmentu, który się czasem słusznie, a złośliwie nazywa kawiorową lewicą, albo się nazywa lipkami, itd., itd.
1403:  KMM - I teraz dlaczego o tym mówię?
1404:  KMM - Dlatego, że bardzo często w opowieści o pisarstwie Tokarczuk mówi się, że jest lewicowe.
1409:  KMM - I ludzie węszą bullshit w tym wszystkim.
1414:  KMM - Z jednej strony mówimy, że wartości feministyczne są w porządku, ale z drugiej strony mówimy coś takiego.
1421:  KMM - Jest tutaj gdzieś problem.
1422:  KMM - Z jednej strony jest nagroda Nobla,
1425:  KMM - to dlaczego ta nagroda nie jest wykorzystana, żeby sfinansować na przykład cykl podcastów albo streamów?
1432:  KMM - Jak czytać takie trudne powieści, jak pisze nasza snoblistka?
1436:  MM - Tak, księgi jakubowe nie należą do najłatwiejszych rzeczy.
1438:  KMM - Oczywiście.
1439:  KMM - Czy to jest problem, żeby zrobić coś takiego?
1441:  KMM - Ba, jeszcze jest jedna kwestia, którą też ludzi może odstręczać.
1445:  KMM - Mnie odstręczała.
1447:  KMM - Ja jako bywalec konwentów jestem przyzwyczajony do tego, że z moim ulubionym pisarzem idę na piwo i pizzę i rozmawiam z nim o jego powieściach.
1454:  KMM - Tutaj mamy sytuację taką, że jest pani pisarka, jest wykwalifikowany redaktor, który z nią rozmawia i jest publika, która może co najwyżej bić brawo.
1466:  MM - Mocno zrobiona ekskatedra perorowania eksambony kościelnej.
1469:  KMM - Tak i to jest zupełnie co innego.
