Jak rozpoznać KOSMITĘ? 👽 – Krzysztof M. Maj i Piotr Kosek @Astrofaza  | pop!cast naukowy 🚀7
191:  KMM - A może to być Jurassic Park, ale może być to też, ja miałem taką sytuację, album z dinozaurami albo jakiś album dotyczący przestrzeni kosmicznej.
199:  KMM - Ja przeglądałem to, oglądałem planety i byłem zachwycony.
202:  KMM - No i co się dzieje potem?
205:  KMM - Złośliwi powiedzieliby, że potem przychodzi szkoła i ludzie się przestają interesować kosmosem.
209:  KMM - Jaka jest twoja diagnoza?
210:  PK - Dlaczego się przestają interesować?
212:  PK - No po części, tak jak powiedziałeś, napisałeś, tak jak powiedziałeś przed chwilą, na pewno, nie?
218:  PK - Idziesz do szkoły, tam są pewne wymagania, jest pewien system, w który się wtłacza ludzi, jesteśmy różni, no ale wiesz, ciężko...
227:  PK - Nie będziemy chyba rozmawiać o bolączkach systemu edukacyjnego, chociaż może, ale generalnie każdy gdzieś tam to czuje podskórnie, że ten system nie jest w stanie każdego z osobna wypielęgnować i pielęgnować tych jego zainteresowań.
241:  PK - Jest tak skonstruowany, że po prostu w formę wchodzą dzieciaki, więc też nie mają czasu, dużo zajęć dodatkowych, tego, tamtego, oczekiwania rodziców, często ktoś ponad możliwości.
251:  PK - Więc gdzieś to się naturalnie zatraca, bo ja nie wierzę w to, że jako dzieci mamy tę zdolność i możliwość bycia naukowcami, każde dziecko jest naukowcem tak naprawdę, próbuje odkrywać świat, wszystko jest nowe i tak dalej.
266:  PK - Owszem, pewne rzeczy powszednieją, pewne rzeczy stają się wyjaśnione, do pewnych wniosków dochodzimy, ale cały czas jest coś nowego, przecież świat jest ogromnym miejscem.
276:  PK - Więc to nie jest tak, że tę zdolność zatracamy, bo można sobie to przypomnieć.
280:  PK - Można wrócić do tego, można znowu z ciekawością poznawać świat.
286:  PK - Co zresztą może dzięki kanałom takim jak nasze też się trochę dzieje.
289:  KMM - A jak ty wróciłeś do tego?
291:  PK - Ja nigdy nie przestałem.
294:  PK - To jest jedna rzecz.
295:  PK - Mnie to zawsze jakoś interesowało.
297:  PK - Na szczęście miałem jakieś tam wsparcie ze strony rodziny, bo zawsze jakaś książka wleciała na ten temat, a to coś innego.
306:  PK - Może faktycznie w takim okresie studiów i tych pierwszych prac gdzieś tam to trochę przygasło, ale najwyraźniej nie na tyle, żeby zupełnie zostało ugaszone.
318:  PK - To jest bardzo indywidualne.
321:  PK - Duży zlepek różnych wydarzeń, tego jak wygląda twoje życie sprawia, że albo totalnie gdzieś tam odrzucisz to, czym się interesowałeś jako dziecko,
331:  PK - Albo to ewoluuje w jakimś innym kierunku i na przykład to już cię nie jara tak bardzo jak coś innego i to jest akurat dobre rozwiązanie.
338:  PK - Albo no niestety wpadasz w te tryby
341:  PK - I one sprawiają, że nie masz na nic czasu, nie masz na nic ochoty.
345:  PK - Przychodzisz po pracy, której nie lubisz, do domu.
349:  PK - I tak się życie toczy.
351:  KMM - No to właśnie, jak znaleźć ten impuls?
353:  KMM - Kiedy byś rozpoznał u siebie taki moment, kiedy stwierdziłeś, że tak będę robić teraz film na YouTubie o kosmosie i będę pokazywać to ludziom?
362:  KMM - I jak to wyglądało?
364:  KMM - Jaka była historia tego?
366:  PK - Chcę rozpoznać impuls.
368:  PK - To nie jest takie proste, bo jak już wpadniemy w te tryby, o których tutaj mówimy, to masz bardzo zawężone pole widzenia i nie dostrzegasz pewnych rzeczy.
378:  PK - Jest takie powiedzenie, że codziennie masz kilka możliwości, dzięki którym możesz zmienić totalnie swoje życie.
385:  PK - Ale to też do końca nie jest prawda, no bo oszem, one może są, ale nie zawsze jesteś w stanie z nich skorzystać.
390:  PK - Nawet nie dlatego, że ich nie widzisz, ale bo twoje życie wygląda w ten czy inny sposób i nie byłbyś w stanie wykorzystać tych szans czy tych możliwości.
399:  PK - Natomiast
401:  PK - U mnie akurat się złożyły pewne rzeczy fajnie.
404:  PK - Ja wtedy pracowałem w Gdańsku u znajomego, więc miałem dość sporo wolności, jeżeli chodzi o godziny pracy, bo robiłem mu jakieś tam zdjęcia do sklepu, jakieś takie tego typu różne rzeczy, praca kreatywna, więc nie było problemu z tym, że ja na przykład w nocy mogłem sobie tę pracę zrobić albo kiedy indziej, więc wpadłem na taki pomysł, hej, może by zrobić kanał o kosmosie, bo to jest coś, co umiem, coś, na czym się znam,
431:  PK - Potrafię używać aparatu, jakoś tam montować w podstawowym zakresie, więc wszystkie umiejętności są.
439:  PK - Takie szukanie czegoś.
440:  PK - Ja w internecie dużo rzeczy robiłem.
442:  PK - Robiliśmy i telewizję internetową, jak jeszcze nie było czegoś takiego jak kanały na YouTubie w dzisiejszej formie.
447:  PK - Chodziliśmy, robiliśmy śmieszne jakieś relacje z różnych wydarzeń, które w Płocku się działy i to się ludziom podobało, ale wtedy nikt jeszcze nie myślał o tym w taki sposób, więc nie pociągnęliśmy tego dalej.
458:  PK - Gdzieś tam jakiś blog był, fotografie, te sprawy, więc to cały czas gdzieś tam buzowało.
464:  PK - Ja mam wrażenie, że jeżeli gdzieś nawet, to nie jest jakieś coś, czym się zajmujesz na co dzień i to jest duża część twojego życia, ale gdzieś coś buzuje, to masz wtedy większą szansę, że to w pewnym momencie tą pokrywkę wysadzi i wykipi jakiś projekt, który być może stanie się projektem twojego życia.
481:  KMM - Kiedy zrozumiałeś, że to jest projekt twojego życia i zdarzyło się coś właśnie absolutnie niesamowitego?
485:  KMM - Czy pamiętasz, który to był materiał, który rzeczywiście stał się pierwszym viralem, zastał niesamowicie i zrozumiałeś, że dzieje się coś fajnego?
493:  PK - U nas to tak chyba nie było, żeby jakoś było coś wirusowo, czy żeby był taki moment przełomowy.
499:  PK - To była jakaś taka praca, najpierw u podstaw, zresztą cały czas gdzieś tam jest i
505:  PK - ewoluowanie tego projektu.
506:  KMM - Jesteś bardzo skromny, bo materiały na poziomie dwóch milionów wyświetleń są.
509:  PK - Ale to nie jest tak, że nagle się budzę na drugi dzień i mam materiał, który ma dwa miliony wyświetleń.
514:  PK - Może bardzo dobrze, że tak nie było, bo łatwo się zachłysnąć, zwłaszcza na początku drogi, jak masz jakiś sukces i nie do końca wiesz, czy na ten sukces zapracowałeś.
524:  PK - Zwłaszcza, że mamy algorytm, który wtedy jeszcze chyba nie był aż tak tego algorytmu.
528:  PK - Wtedy trochę innymi prawami się wszystko rządziło.
530:  PK - Ale dzisiaj tak naprawdę to niedużo od ciebie zależy niestety.
534:  PK - Po części.
536:  PK - 40%, a reszta no to jesteś na łasce lub nie łasce jakiś tam AI, które rządzą powiedzmy tą platformą, jeśli chodzi o YouTube.
543:  PK - Natomiast tutaj to była ewolucja, wiesz, coraz więcej, coraz więcej tego, więcej ludzi przychodziło, interesowało się, więc
551:  PK - U mnie to było stricte finansowe.
553:  PK - Ja widziałem, że po prostu na przykład to jest moment, kiedy kanał zarabia już tyle, że mogę na przykład zrezygnować z pracy, czy zrezygnować z czegoś tam, a zrobić coś tam, kupić sprzęt, nie wiem i tak dalej.
564:  PK - Potem kolejne etapy, zatrudnić ludzi.
566:  PK - Dzisiaj mamy całkiem sporą ekipę.
570:  PK - I to było takie ewolucyjne, że tak powiem, podejście do tego.
573:  PK - Natomiast był jeden taki moment, kiedy był ryzyk fizyk, bo ja musiałem zdecydować, albo dalej pracuję z kolegą, albo zajmuję się kanałem.
583:  PK - No i wtedy jeszcze kanał na siebie jakoś specjalnie nie zarabiał, więc to było takie zaryzykowanie, wróciłem wtedy do Płocka.
590:  PK - miasta mojego rodzinnego i robiłem tylko to.
594:  PK - Ale no na szczęście ten jakiś doza szczęścia, która też jakby nie patrzeć, odgrywa dużą rolę, zadziałało tutaj i udało się to pchnąć.
604:  PK - A potem to już jest praca, praca, praca, praca, godziny, godziny, godziny, godziny.
608:  PK - Tego się nie widzi.
608:  PK - Ludzie przychodzą, widzą film.
611:  PK - Bardzo nam się podoba, jak ostatnio zrobiliśmy takie pospolite ruszenie w firmie.
615:  PK - Teraz mamy już tam no nie wiem, 7 osób w sumie pracuje, z czego
620:  PK - pięć na stałe.
622:  PK - I chcieliśmy zrobić odcinek o, zdaje się, Jamesie Webbie, chyba jak te zdjęcia były i tak dalej.
627:  PK - Mówimy tego samego dnia, jak była konferencja i tak dalej, albo to było coś innego, no ale generalnie coś w tym stylu.
633:  PK - No to dobra, dwie osoby, które są redaktorami
636:  PK - Ty piszesz połowę, ty piszesz połowę, ja piszę jeszcze jakieś tam części, łączę to.
641:  PK - W międzyczasie montażysta, wstępny montaż już robił jakieś tam animacji, te zdjęcia obrabiał, drugi też coś tam.
648:  PK - I dzięki temu udało nam się wyprodukować ten odcinek tego samego dnia.
651:  PK - I widzisz później komentarz, bo zwróciliśmy zdjęcie też właśnie na kartę społeczności tej naszej pracy.
658:  PK - Tyle osób, żeby jakiś tam odcineczek zrobić o czymś tam, nie?
662:  PK - Ja się nawet nie złoszczę, bo ja wiem, że ta osoba po prostu nie kuma specyfiki pracy.
667:  PK - To tak jak nam się też czasem zdarza, że tam patrzymy i mówimy serio?
671:  PK - Ale nie jesteś w tym zawodzie, nie wiesz jak to wygląda, nie wiesz ile rzeczy jest dookoła, których trzeba zrobić i ile to czasu wymaga tak naprawdę, żeby coś takiego przygotować.
679:  KMM - No i właśnie, powiedziałeś już dużo o tym, ale kanał popularnonaukowy jeszcze ma tę odpowiedzialność, że musi przedstawiać wiedzę zgodnie z stanem faktycznym w nauce.
689:  KMM - Jak to robicie?
690:  KMM - Kurzgesagt ma cały oddział ludzi, którzy robią research za nich, ale i tak dokładnie jest to, jak mówisz, sporo osób powie sobie animacje, kreskówki o nauce i nikt nie zauważa tego, tej gigantycznej pracy, która tam jest.
703:  KMM - Jak to u was się rozwinęło?
705:  PK - Wiesz co, większość treści nie jest aż taka skomplikowana.
709:  PK - My nie uczymy teorii względności, jak rozwiązywać równania wynikające z teorii względności, więc mamy o tyle prościej, że to są raczej fakty, które masz na stronach, powiedzmy NASA, Europejskiej Agencji Kosmicznej,
722:  PK - Także są u źródła i tak naprawdę tamci inżynierowie, naukowcy zrobili już robotę.
726:  PK - Sprawdzamy najczęściej, wiesz, po prostu w kilku źródłach jakieś tam dane, liczby, nie?
731:  PK - No bo tutaj wiadomo, to jest taka czasami jedna redakcja powtarza z drugiej, trzeciej, czwartej i jest jakiś błąd.
737:  PK - Ale też się nie da przed tym ustrzec.
738:  PK - No jakby przy takiej ilości treści to są jakieś tam drobne potknięcia, pomyłki.
742:  PK - Staramy się to gdzieś prostować w kolejnych treściach czy gdzieś tam w jakimś poście.
747:  PK - Natomiast to są najczęściej jakieś takie rzeczy, które nie mają znaczenia.
750:  PK - Suma summarum.
751:  PK - Nie mają znaczenia dla ogółu, bo ostatecznie osoba, która ogląda te nasze treści, wychodzi z jakąś tam wiedzą, z jakimś tam pojęciem na temat kosmosu, nowych technologii i wiesz, na którymś tam etapie i tak to się sprostuje.
766:  PK - Więc wychodzę z takiego założenia, że nie ma co nagle, okej, zamykamy kanał, bo powiedziałem lat zamiast lat świetlnych, czy coś takiego.
773:  PK - goście, że to jest jakby, no, zdarza się, to jest taki wypadek przy pracy, nie?
778:  PK - Natomiast jeżeli są cięższe treści, no to oczywiście zawsze konsultowałem z jakimś doktorem, naukowcem, który w danym temacie się wyznaje i sprawdzał, czy tam czegoś nie ma.
789:  PK - O dziwo najczęściej nic nie było, więc udawało się całkiem nieźle ten research zrobić.
793:  PK - Ale to też jest, wiesz, wynik takich, powiedzmy, lat tego, że ja się tym interesuję, nie?
796:  PK - No bo, okej, ja nie mam studiów kierunkowych w tym kierunku, ale na czym polegają studia?
803:  PK - Siedzisz, czytasz, oglądasz, czytasz, słuchasz, oglądasz, czytasz, słuchasz.
807:  PK - No i ja robię to samo kilkanaście lat.
808:  KMM - Absolutnie.
809:  PK - Więc wiesz, po prostu dlatego nie uczę jak rozwiązywać zadania, bo sam tego nie umiem.
813:  PK - Ale jeżeli chodzi o teoretyczne podejście do tego, no to wiesz, odebrałem swój wykład, nie?
819:  KMM - Studia to jest moment, kiedy w życiu możemy pogłębiać nasze zainteresowania przede wszystkim.
824:  KMM - Dlatego ja zawsze strasznie walczę z takim przekonaniem, na jakie studia mam iść, żeby wylądować w tej pracy.
830:  KMM - Na jakiekolwiek, ale niezależnie od tego pracujemy nad tym, żeby wylądować w tej pracy.
835:  KMM - No ale właśnie, powiedz mi jedną rzecz, bo niewątpliwe jest to, że materiały, które robisz, cieszą się popularnością, tematy, które podejmujesz, cieszą się popularnością, więc jesteś dobrą osobą do spytania o to, jakie są właśnie najbardziej interesujące zagadnienia, które mógłbyś wymienić, powiedzmy trzy, teraz rozgrywające się w tym zakresie, który cię interesuje, astronautyka, astrofizyka, badania kosmosu.
858:  PK - Przez chwilę zdecydowanie James Webb, jak wystartował, to było...
862:  PK - Wiadomo, teraz trochę to już klapnęło, no bo jakby są kolejne zdjęcia i wiesz, ludzie, już ten news poszedł, nie?
868:  PK - To są już jakieś tam, dopóki nie będzie odkryć jakiś, że web nam pokaże, że gwiazdy powstawały w ten sposób albo galaktyki tworzyły się w taki, a w taki sposób i totalnie to podważa to, co do tej pory myśleliśmy na ten temat, to myślę, że to gdzieś tam już sobie będzie tak w świadomości opinii społecznej szorować na jakimś tam poziomie zainteresowania.
891:  PK - na pewno niewątpliwie cały czas cieszą się zainteresowaniem tematy dotyczące takich astrofizycznych jakichś pojęć czy pytań, które mamy tak naprawdę, skąd się wziął wszechświat.
903:  PK - skąd się my wzięliśmy, prawda, co jest za granicami wszechświata.
906:  PK - To chyba jest zresztą najpopularniejszy odcinek u nas i muszę zrobić go na nowo, bo w ogóle to był taki, to jest właśnie domena YouTube'a.
914:  PK - Zrobiliśmy na szybko, chyba jeszcze sam, nie wiem, czy wtedy już był Kamil chyba, zrobiliśmy na szybko odcinek, w sumie mówię, interesujący temat, coś tam przeczytałem, doczytałem nowego na ten temat, to mówię, zrobimy taki odcinek.
924:  PK - Zrobiliśmy i nagle bach,
927:  PK - A można było go przygotować lepiej, więc zrobimy go teraz w nowej serii jeszcze lepiej i jeszcze bardziej będzie wypchany ciekawostkami na ten temat i takimi różnymi podejściami, no bo są różne podejścia do tego, co może być za granicami i czy te granice w ogóle są.
941:  PK - Ale to są takie właśnie tajemnice, bym powiedział, nie?
943:  PK - Pytania, które wwiercają się w głowę i kurczę, pozwalają ci się zastanowić i też stawiają coś większego nad tobą, nie?
952:  PK - Zauważyłem, że to do ludzi trafia najlepiej.
955:  KMM - A która z tych tajemnic dla Ciebie zawsze była najbardziej interesująca?
959:  PK - To ciężko jest jakoś uszeregować i wybrać.
963:  PK - No bo właściwie cały wszechświat to jest taka tajemnica, która jest niesamowicie interesująca.
970:  PK - Chociaż tak, no czarne dziury na pewno to jest coś, co... No oczywiście.
973:  PK - I czarne dziury miały swój okres świetności na kanale Astrofazy, bo teraz jak wrzucamy coś na czarnych dziurach, to jest taki normalny temat, ale kiedyś czarne dziury jak się pojawiały, zwłaszcza po tym naszym odcinku o czarnych dziurach z serii Super Seria,
987:  PK - No to tak, to ludzie byli zafascynowani tym.
990:  PK - Ale jakby już większość rzeczy, które wiemy na temat tych zjawisk, tych obiektów powiedzieliśmy, więc takie wtórne by było.
998:  PK - Nie ma za bardzo już nowych odkryć.
1001:  PK - Tam pojawiają się jakieś drobne tematy, typu taka forma czarnych dziur, taki rodzaj został potwierdzony.
1007:  PK - Natomiast to nie jest coś, co rewolucjonizuje nasze pojęcie na ten temat.
1013:  PK - No ale właśnie jakieś granice poznania tak naprawdę.
1017:  PK - Czyli co jest na granicy wszechświata, jak powstał wszechświat.
1020:  PK - Takie bardzo powiedziałbym podstawowe pytania.
1025:  PK - A jednak one są najciekawsze.
1028:  KMM - Kiedyś powiedziałeś w którymś z materiałów, że nie lubisz nieskończoności.
1032:  KMM - To się z tym jakoś wiąże?
1033:  KMM - To znaczy ten bezkres wszechświata napawa niepokojem bardziej?
1037:  KMM - Czy właśnie widzisz tam te tajemnice, które też interesuje twoich widzów?
1040:  PK - Kurde, już powiem ci, że nie pamiętam, dlaczego powiedziałem, że nie lubię nieskończoności.
1044:  PK - Może, że naukowcy nie lubią nieskończoności.
1046:  KMM - Tak, że astrofizycy nie lubią nieskończoności.
1048:  KMM - Tak, ale ja nie jestem astrofizykiem.
1050:  KMM - To jest dobry wybieg.
1052:  KMM - Ale jak jest z tą nieskończonością?
1053:  PK - Astrofizycy nie lubią nieskończoności w liczeniu po prostu, bo to nie ma sensu.
1057:  PK - Jakby liczysz coś i wychodzi ci nieskończoność, znaczy, że czegoś nie wiemy, jakby coś jest jeszcze tutaj niepoznane.
1064:  PK - Tak jest z kwantową grawitacją.
1065:  PK - No nie ma teorii spójnej kwantowej grawitacji, są jakieś tam próby
1069:  PK - wyjaśnienia tego, jak grawitacja na poziomie kwantowym może działać.
1073:  PK - No ale właśnie o to chodzi, że jakby używając Einsteinowskiej teorii względności dochodzimy do muru w postaci nieskończoności i wiemy, że to nie jest tak, że faktycznie, nie wiem, energia będzie nieskończona, tylko czegoś nie wiemy, czy że gęstość będzie nieskończona, tylko że czegoś nie wiemy po prostu jeszcze i dlatego fizycy, astrofizycy i chyba wszyscy fizycy nie lubią nieskończoności, matematycy lubią nieskończoności, oni się pławią z nich.
1098:  PK - Natomiast ja może nie tyle nie lubię nieskończoności, bo mnie interesują no w końcu właśnie koniec wszechświata.
1106:  PK - Może się okazać, że wcale nie ma czegoś takiego jak koniec czasoprzestrzeni.
1111:  KMM - Są i takie podejścia do tego tematu.
1114:  KMM - Zaliczyłbyś się do ludzi, którzy są optymistycznie nastawieni do ekspansji człowieka w przestrzeń kosmiczną?
1121:  KMM - Podpytuję, bo ten temat powraca też w kontekście pranów różnych gigantów biznesowych, jeżeli chodzi o kolonizację.
1129:  KMM - Czy też jesteś bardziej po stronie Stanisława Lema, który raczej by wolał, żebyśmy zostali w tej naszej łupince?
1135:  PK - Wiesz co, zdecydowanie jestem zwolennikiem.
1138:  PK - Dla mnie to jest absolutne must have, że tak powiem.
1141:  PK - To nie jest coś, co powinniśmy rozpatrywać, czy powinniśmy, czy nie powinniśmy.
1146:  PK - Musimy to zrobić.
1148:  PK - Jeżeli chcemy przetrwać jako ludzkość, a jakby nasz gatunek cechuje się tym, że staramy się przedłużyć ten gatunek w ten czy inny sposób,
1157:  PK - to prędzej czy później Ziemia spotka jakiś dziwny kosmiczny los i nasza egzystencja by się zakończyła, gdyby pójść tokiem myślenia mistrza Lema.
1166:  PK - Dlatego jestem w tym przypadku, jakkolwiek na przykład jeżeli chodzi o kosmitów i jego podejście do obcych, to ja jestem wielkim zwolennikiem tego, że obce formy życia mogą być tak obce, że dla nas niezrozumiałe, ile pokazywał je z tej strony.
1178:  PK - Nie wiem, ocean będący obcą formą życia, czy obcy, którzy totalnie nie chcą kontaktu z nami, bo po co?
1185:  PK - Tak jak, nie wiem, nie nawiązujesz kontaktu z mrówkami za bardzo.
1189:  PK - Może niektóre osoby fascynują, ale większość ludzi mija mrowisko i nie za bardzo się tym interesuje.
1194:  PK - Więc on pokazywał to inne podejście.
1197:  PK - Kosmici, którzy z dziwnego powodu przylatują i nagle chcą nam pomagać, oddać swoją technologię i w ogóle kumbaja razem wszyscy.
1207:  PK - A jeżeli chodzi o ekspansję, dla mnie to jest po prostu coś, co jest najważniejsze dla tematu przetrwania naszego gatunku.
1215:  PK - Jeżeli chcemy dalej się rozwijać, to potrzebujemy nowych terytoriów chociażby, bo planeta też ma
1221:  PK - pewien wolumen możliwości dla utrzymania populacji ludzi, dla pozyskiwania minerałów, materiałów, dla ciągłego rozwoju itd.
1232:  PK - przykład planety ze Star Wars Coruscant, która była totalnie cała miastem.
1237:  PK - No wiadomo, jest to trochę wizja może nawet przesadzona, ale chociaż kto wie, może na jakimś etapie rozwoju cywilizacji byłoby i to możliwe.
1244:  PK - Natomiast to pokazuje, że nie da się w nieskończoność po prostu być na tym jednym globie i bez tego nie mamy co myśleć o tym, że ludzkość będzie się rozwijała dalej, że będzie istniała dalej.
1256:  PK - Bo możemy powiedzieć, okej,
1258:  PK - zostawmy to, nie róbmy tego, nie ma sensu, zajmijmy się innymi rzeczami, po czym przylatuje sobie jakaś wraża kometa i mówi, ha, ha, ha, teraz inni.
1268:  KMM - No właśnie, a wspomniałeś też o tych lemowskich wizjach obcych, którzy mogą być niebiałkowymi formami życia.
1276:  KMM - Jaka jest twoja hipoteza dotycząca tego?
1278:  KMM - Bo jest wiele hipotez, to są też hipotezy popularnonaukowe i naukowe, które się na ten temat pojawiają.
1285:  KMM - Która jest Ci najbliższa, jeżeli chodzi o istnienie obcych gatunków?
1290:  PK - Powiem tak, znajdujemy meteoryty, które mają w sobie aminokwasy.
1296:  PK - na przykład, różnego rodzaju.
1298:  PK - Więc wydaje mi się, że to może być dość powszechna tak naprawdę budowa.
1302:  PK - Pewnie jest premiowana, podejrzewam, w jakiś sposób.
1306:  PK - Węgiel jest dość praktycznym pierwiastkiem, który lubi przyłączać inne.
1310:  PK - Można na jego bazie tworzyć różne jakieś substancje bardziej złożone.
1315:  PK - Więc nie zdziwiłbym się, gdyby były dość podobne te organizmy.
1319:  PK - Może nie pod kątem właśnie
1322:  PK - budowy jako per se, że będą wyglądały tak jak my, chociaż też widziałem całkiem ciekawy program popularnonaukowy, który mówi, że nawet antropomorficzne jakieś budowy organizmów są też premiowane w pewien sposób.
1338:  PK - Wszystko zależy od warunków na planetach itd., ale też wbrew pozorom nie są aż tak różne.
1343:  PK - Te, które nadają się do życia, mają takiego, jakie my znamy, mają dość podobne warunki i muszą mieć dość podobne warunki.
1349:  PK - Jakaś woda w stanie płynnym, jakieś temperatury w pewnym zakresie sensownym, bo wiemy, że ekstremofile przeżyją przy kominie hydrotermalnym czy gdzieś tam w bardzo zakwaszonych jeziorach, ale to są raczej małe stworzenia, takie, które nie są zbyt skomplikowane.
1367:  PK - Więc jeżeli szukamy tych bardziej skomplikowanych, to znowu nam się zawęża i zawęża i zawęża ta opcja.
1375:  PK - Więc tak jak mówię, u Lema mnie to urzekło, że on od takiej innej strony podchodzi, bo być może mogą istnieć takie formy życia, ale większość raczej będzie chyba dość podobna, jeżeli chodzi o budowę, o ile w ogóle są.
1388:  KMM - To im przypomina swoją drogą, jak niektórzy pisarze science fiction myśleli sobie o jakimś Trzech Świecie, który będzie w ogóle alternatywny wobec naszego, czy równoległy.
1399:  KMM - I oczywiście jest też hipoteza wieloświata.
1402:  KMM - Jak z kolei na to byś się zapatrywał?
1404:  KMM - I co mówi na ten temat współczesna astrofizyka, to, czym ty się interesujesz?
1409:  PK - Wiesz co, to też jest taki temat trochę na wiarę bardziej, no bo okej, matematycznie może ci coś wychodzić, no ale wiesz, że matematycznie różne rzeczy mogą wychodzić, to wcale nie oznacza, że tak jest.
1422:  PK - Są pewne hipotezy, które zakładają jakieś inne wymiary, są pewne interpretacje mechaniki kwantowej, które mówią o tym, że każdy wybór cząstki wręcz tworzy kolejną rzeczywistość, jeżeli ona ma daną ścieżką czy daną ścieżką podążać.
1437:  PK - Ale są też takie, które mówią, że tak wcale nie jest.
1439:  PK - Mhm.
1441:  PK - No i teraz wiesz.
1442:  PK - I tu matematyka się zgadza i tu matematyka się zgadza.
1445:  PK - Na tym etapie każdy może sobie po prostu przyjąć na wiarę to, co mu tam najbardziej pasuje.
1450:  PK - Jeżeli takie książki science fiction lubił, to niech sobie to przyjmie i to tak naprawdę nic nie zmienia.
1455:  PK - Poza tym, że mogą się spektakularnie pokłócić na przykład.
1459:  PK - Ale to kompletnie nic nie zmienia, a ludzie, którzy gdzieś tam to liczą, potrzebują nowych rozwiązań tak naprawdę, żeby pójść z tym dalej.
1467:  PK - Dopiero wtedy może faktycznie zobaczymy, że coś naprawdę w tym jest
1470:  PK - Czy jest to tylko taka hipoteza, która fajnie nadaje się na popularnonaukowy film na YouTube?
1477:  KMM - Właśnie nawiązuję tak do tej fantastyki naukowej, czy raczej fikcji naukowej, jak to się powinno tłumaczyć.
1482:  KMM - Nieprzypadkowo, bo science fiction w zasadzie jest jednym z takich
