Czy jesteśmy gotowi na PRZYSZŁOŚĆ? Monika Borycka i Krzysztof M. Maj | 51
🔗 https://www.youtube.com/watch?v=Tk0-NApCncU
MB (Monika Borycka)
KMM (Krzysztof M. Maj)

0:  MB - Staliśmy się takimi trochę badaczami przyszłości ze względu na to, że staramy się ją oswoić.
709:  MB - Nim pojawił się kontrtrend, to jednak musiały jakieś konkretne czynniki na to wpłynąć.
714:  MB - Dzisiaj widzimy, że czasami mamy obok siebie dwa wykluczające się trendy.
718:  MB - To wcale nie znaczy, że one nie istnieją.
720:  KMM - Masz przykład taki dwu wykraczających się trenutek?
722:  MB - Tak, na przykład nasze bardzo ogromne zanurzenie w świecie cyfrowym, zmierzanie do połączenia świata cyfrowego ze światem fizycznym, realnym, czyli taki trochę świat figitalowy, łączący dwie te rzeczywistości, czy też niektórzy mówią o tym świat lustrzany,
742:  MB - Świat syntetyczny, czyli to, że my coraz bardziej to wnikamy, cyfryzujemy coraz więcej aspektów naszej rzeczywistości, a z drugiej strony widzimy coraz silniejszy trend związany z odcięciem się od tej cyfrowości.
756:  MB - Coraz więcej osób, które uważają, że nie chcą być w tym do końca zanurzone.
762:  MB - że taki trochę antytech, że chcą jednak mieć komórkę sprzed 20 lat, żeby nie mieć na niej dostępu do internetu.
774:  MB - Nawet ostatnio powstają nowe takie komórki, nowe telefony, w których właśnie odcina się tą możliwość bycia ciągle online i stają się one bardzo modnymi gadżetami.
786:  MB - Jedna z marek modowych nawet ostatnio weszła w taką współpracę z firmą technologiczną.
791:  MB - Więc wszelkie detoksy cyfrowe, poszukiwanie jakiegoś ukojenia w naturze.
798:  MB - Więc widzimy, że po prostu te dwa trendy są bardzo silne, nakładają się na siebie i właściwie funkcjonują obok siebie.
806:  MB - I takich przykładów jest bardzo dużo.
811:  MB - Widzimy też, że trajektoria tych trendów staje się coraz bardziej niepewna, bo trendy rozwijają się w czasie i one potrafią się zmieniać, potrafią ewoluować, też pod wpływem różnych czynników, przyspieszają, zwalniają, rozgałęziają się na inne zjawiska i widzimy też, że mamy takie przyspieszenie też właśnie w
835:  MB - w tej ewolucji, że rzeczywiście to przyspieszenie powoduje też taką rosnącą niepewność co do tego, w którą stronę ten dany trend będzie się rozwijał.
847:  MB - My nie mamy dzisiaj takiej pewności, myślę jak jeszcze 10, 12, 15 lat temu, w którym widzimy
855:  MB - że dane trendy zmierzają w bardzo prostej trajektorii gdzieś.
859:  MB - Jednak ta niepewność narasta do tego stopnia, że widziałam już na przykład mapy trendów różne, że powołam się tutaj na Richarda Watsona, jednego z angielskich futurystów, który też co kilka lat wypuszcza takie różne mapy trendów.
876:  MB - No i on jesienią zeszłego roku tą mapę nazwał mapą niepewności.
882:  MB - Więc widzimy rzeczywiście, że funkcjonujemy w takim świecie, w którym tej niepewności jest dosyć dużo, także w świecie trendów.
890:  KMM - A zgodziłabyś się z tezą, że w ciągu ostatnich, nie wiem, tak 50 lat w naszej cywilizacji zdarzyło się więcej rzeczy niż w ciągu ostatnich 100-200?
899:  KMM - Pytam trochę prowokacyjnie, bo obydwoje nauczamy, w związku z powyższym dobrze wiemy, że w edukacji niestety cały czas jesteśmy zamrożeni w tych technikach raczej XIX-wiecznych i...
911:  KMM - Zwłaszcza w odniesieniu do świata cyfrowego często przewija się taka dyskusja, że musimy się właśnie nauczyć tego, żeby od niego odchodzić itd.
918:  KMM - Nie bierzemy pod uwagę faktu chociażby, że są już pokolenia, które zostały skonfrontowane z koniecznością życia w dwóch światach.
925:  KMM - To znaczy jeden to jest świat stuprocentowo cyfrowy, a później przenoszą się jak wehikułem czasu do świata XIX-wiecznego w szkołach czy na uczelniach.
933:  KMM - I w jaki sposób mają wtedy funkcjonować?
934:  KMM - Czy to też może wpływać na taką dynamikę trendów?
936:  KMM - Czy to może wpływać chociażby na to, że
938:  KMM - że chociażby te trendy do detoksu technologicznego, czy do wybierania niecyfrowego świata mogą się pojawiać wśród młodych pokoleń, czy wręcz przeciwnie.
946:  KMM - Bo mam wrażenie, że dominuje taka narracja o tym, że staczamy się ku przepaści, że wszyscy będą siedzieć w smartfonach i przed ekranami, a tymczasem mnie się też właśnie zdarza, ale to już jako laikowi obserwować tendencje przeciwstawne.
959:  KMM - Jak ty to widzisz?
960:  KMM - Zwłaszcza na tym skrzyżowaniu cyfrowości i edukacji.
964:  MB - Wiesz co, na pewno odwołując się do tego, co na wstępie powiedziałeś, tak, przyspieszenie jest ogromne.
970:  MB - Mamy też do czynienia z taką dużą konwergencją chociażby technologii i tym, że ten cykl technologiczny dzisiaj jest już hipercyklem, czyli znowu mamy bardzo duże przyspieszenie.
984:  MB - Zresztą na to są teorie naukowe, jak wykładniczo ten postęp obserwujemy.
991:  MB - Więc tak, na pewno dzieje się coraz więcej, szczególnie w obszarze tej technologii i tutaj nie ma co tego ukrywać.
1000:  MB - Natomiast to, o czym mówisz w tej drugiej części twoich rozważań, to jest kwestia adaptacji trendu.
1006:  MB - No bo trendy istnieją, tak?
1008:  MB - My je opisujemy, my je identyfikujemy, my robimy tak zwany trend scouting, tak?
1016:  MB - Gdzieś udaje nam się wychwycić, tak?
1018:  MB - Nie wiem, początki, pierwsze sygnały, że coś może wokół tego tematu się dziać, więc my też jako analitycy nigdy nie określamy na starcie, czy trend jest dobry czy zły, tak?
1031:  MB - Po prostu zdajemy relacje, to się dzieje, tak?
1033:  MB - Obserwujemy taką zmianę.
1037:  MB - To dalsze etapy mówią nam o tym, tak?
1040:  MB - Dalsze etapy pracy z tymi trendami mówią nam o tym, czy tutaj widzimy jakieś zagrożenia, wezwania i tak dalej, tak?
1046:  MB - My raczej na starcie nie identyfikujemy po prostu tą zmianę.
1050:  MB - A czym innym jest właśnie ta adaptacja, o której mówisz, tak?
1052:  MB - Która może w wielu środowiskach się po prostu rozjeżdżać.
1055:  S01 - Mhm.
1056:  MB - I to, że jedziemy na dwóch, albo trzech, albo nawet pięciu prędkościach jest kwestią bardzo oczywistą.
1062:  MB - No bo mamy dzisiaj sprzęty takie jak Apple Vision Pro, które zabierają nas w kosmos i mamy uczelnię, w której nadal mamy tablicę z kredą.
1070:  MB - Więc oczywiście, że adaptacja tych trendów w wielu środowiskach, branżach, krajach postępuje bardzo różnie.
1079:  MB - Zresztą to William Gibson powiedział kiedyś, że przyszłość już tu jest, tylko ona jest nierówno rozdystrybuowana, tak?
1085:  MB - I jak pojedziesz do Dubaju...
1088:  MB - do muzeum przyszłości, to zobaczysz kompletnie inny etap tej przyszłości.
1096:  MB - Stąd też my często jako obserwatorzy trendów do różnych takich ciekawych miejsc się wybieramy, żeby dostrzec tą adaptację już powiedzmy kilka lat, kilkanaście lat do przodu.
1112:  MB - Natomiast jeśli jakieś możliwości są, to jest kwestia
1116:  MB - decyzji, organizacji, systemu, czy te możliwości zostaną wykorzystane.
1122:  MB - To jest też kwestia naszej decyzji, bo często też w mojej pracy spotykam się z taką...
1132:  MB - Z taką emocją, o której też powiedziałeś, czyli że ta przyszłość nas obezwładnia.
1136:  MB - Ten świat po prostu zmierza już donikąd i jakby nic na końcu nas nie czeka.
1141:  MB - A my staramy się też w swojej pracy, na studiach, też studentom przekazywać taką filozofię, że my po to tą przyszłość badamy, żeby mieć wpływ na nią.
1157:  MB - I jeśli widzimy, że któreś zjawiska zmierzają do miejsca, w którym my nie chcemy się znaleźć, no to należałoby zbudować narzędzia, które pomogą nam ograniczyć pewne trendy, jako zdefiniujemy już później jako negatywne, na przykład dla naszej organizacji, kraju itd.
1174:  KMM - To a propos tego od razu i tych problemów z adaptacją i panowania nad trendami, chyba najlepszym przykładem czegoś, co się rozwija bardzo szybko i mogło być nazwane tym hipertrendem, tak?
1186:  KMM - Tak to nazywasz?
1188:  MB - Byciem w tym hipercyklu.
1189:  KMM - Hipercyklu trendu, przepraszam.
1191:  KMM - Więc zastanawiam się nad modelami językowymi dużymi oczywiście i nad sztuczną inteligencją tak zwaną i nad naszym pędem ku ogólnej sztucznej inteligencji, który cały czas jest omawiany przez różnych futurologów.
1203:  KMM - Niektórzy ostrzegają, inni
1204:  KMM - Mówią, że w zasadzie nie wiemy, do czego to doprowadzi.
1207:  KMM - Ale ja już nawet jako technoentuzjasta muszę się przyznać do tego, że mnie obezwładnia szybkość tego postępu.
1214:  KMM - To znaczy nawet przy wysiłku edukacyjnym ja już nie jestem w stanie docierać do wszystkich źródeł na ten temat i powoli właśnie czuć to obezwładnienie, o którym mówisz.
1225:  MB - No na pewno jesteśmy na górce tak zwanego hype'u.
1227:  MB - Hype'u, czyli takiego momentu, w którym jest bardzo dużo szumu wokół jakiegoś zjawiska, trendu i tak dalej.
1233:  MB - To też pokazuje kontekst ewolucji tych trendów, o których opowiadałam, czyli tego, że my będąc w branży, ja pochodzę z branży też technologicznej, technologiczno-medialnej,
1245:  MB - O sztucznej inteligencji to nie było tajemnicą, że trwają te prace, że to się dzieje.
1252:  KMM - Na samym agieku mieliśmy badania nad sieciami neuronowymi.
1256:  MB - Natomiast moment, w którym został zdemokratyzowany ten dostęp,
1263:  MB - I ten moment takiego odcięcia, jeśli chodzi o tą generatywno-sztuczną inteligencję, która trafiła od razu pod strzechy, bez tego może etapu mielenia się w biznesie, bez etapu mielenia się na uczelniach w świecie akademickim.
1284:  MB - To był moment, który spowodował wybuch takiego ogromnego zainteresowania, właśnie hype'u.
1288:  MB - I rzeczywiście na tym momencie, że tak brzydko się kolokwialnie wyrażę, jedzie też biznes, no bo po prostu jemu się spieszy, żeby to zainteresowanie jak najszybciej skomercjalizować, skonsumować.
1301:  MB - I dlatego te napędzające się po sobie informacje, których my już nie ogarniamy.
1306:  MB - To jest też ta kwestia niepewności, bo jak sobie wejdziemy na, spędzimy miły wieczór na YouTubie z filozofami technologii, futurystami i osobami, które zajmują się przyszłością sztucznej inteligencji i obejrzymy tych wideo z 20 albo z 30, to dalej nie dowiemy się, czy jesteśmy na dobrej trajektorii do superinteligencji.
1328:  MB - Ponieważ zdania są tak podzielone.
1330:  MB - I myślę, że to też nas zaskoczy.
1333:  MB - Że będzie trochę jak z erą mobile.
1336:  MB - Cały czas powtarzaliśmy, nadchodzi era mobile, nadchodzi era mobile, nadchodzi era mobile.
1342:  MB - A jak się w końcu w niej znaleźliśmy, to już nikt o tym nie opowiadał, bo po prostu w niej byliśmy.
1348:  MB - Więc to jest na pewno taki też moment...
1353:  MB - z perspektywy obserwatora trendów bardzo ciekawy, bo dużo też wokół tego tych zmian nowych się pojawia, ponieważ pojawienie się takiego, rozwijanie się tak dużej technologii powoduje, że w wielu aspektach życia społecznego, czy też politycznego, ekonomicznego pojawia się po prostu bardzo dużo innowacji i zmian, które
1377:  MB - które powodują, że rodzą się nowe trendy.
1380:  MB - Więc my też z uwagą obserwujemy, w jaki sposób też ta narracja o sztucznej inteligencji postępuje, bo też warto powiedzieć, że dużo to też jest kwestia narracji.
1395:  MB - I zresztą świetna książka Marcina Napiórkowskiego o narracjach o przyszłości.
1401:  MB - W jaki sposób my sobie opowiadamy tą przyszłość?
1405:  MB - Czy opowiadamy sobie ją bardziej dystopijnie, czy bardziej utopijnie?
1409:  MB - W której narracji, jeśli chodzi o sztuczną inteligencję teraz jesteśmy?
1417:  MB - To też wszystko składa się na ten cały ekosystem myślenia o przyszłości.
1423:  KMM - Ja też mam wrażenie, i znowu też Cię pytam jako ekspertkę, że dominuje jednak mimo wszystko taka technofobiczna orientacja w Polsce.
1433:  KMM - Nie wiem, czy to jest dobry sąd z mojej strony.
1434:  MB - Wiesz co, nie do końca, bo widziałam kilka badań, które pokazują, między innymi jedne nawet miałam okazję komentować dla jednego z dużych banków, w których zbadano nastawienie Polaków do chociażby sztucznej inteligencji i ono właśnie nie było technopesymistyczne.
1450:  KMM - No to jest ciekawe.
1451:  MB - Ono właśnie było nawet optymistyczne, bym powiedziała, albo takie neutralne.
1456:  MB - Więc to też jest oczywiście kwestia badań.
1459:  MB - Pewnie różne... I grup zawodowych.
1461:  MB - Tak, pewnie różne te badania też funkcjonują, ale zdarzyło mi się w ostatnim roku zobaczyć ich kilka, które aż tak mocno nie były, że tak powiem, nastawione negatywnie.
1473:  MB - Myślę, że wielu ludzi dostrzega i też edukacja tutaj, taka edukacja, powiedziałabym,
1479:  MB - no właśnie nie głównego nurtu, tylko taka edukacja, taka edukacja dla siebie, taki micro learning, tak?
1487:  MB - Nie wiem, edukacja od ekspertów, z podcastów, wiesz, z materiałów, z raportów, z tego, czym się otaczamy, to myślę, że ludzie zdali sobie już trochę sprawę z tego, że to zjawisko z nami zostanie i że trzeba się na nie jakoś przygotować, tak?
1504:  MB - I że tutaj...
1507:  MB - eliminuje się ten element strachu, bo też trzeba pamiętać, że ja też lubię zajmować się trendami, bo uważam, że wiedza chroni.
1515:  MB - Jak coś zmapujemy, coś poznamy, wgłębimy się w coś bardziej, zaczniemy to trochę może bardziej rozumieć, to się staje mniej straszne.
1525:  MB - Ostatnio koleżanka mi wysłała takiego TikToka czy coś na Instagramie, gdzie kobieta mota w chuście kota zamiast dziecka.
1541:  MB - I w pierwszej chwili, kiedy to oglądasz, masz bardzo taką reakcję, co tu się właśnie dzieje?
1548:  MB - O co tu chodzi?
1549:  MB - Dlaczego?
1550:  MB - Ale kiedy zaczniesz się wgłębiać w różne dane, kiedy zaczniesz czytać różne badania, kiedy robisz fokusy wśród osób, które mówią o tym, że żyją w międzygatunkowej rodzinie, to zaczyna to być mniej dla ciebie dziwne,
1571:  MB - Zaczynasz dostrzegać pewnego rodzaju paterny w tym zjawisku, że mamy problem z dzietnością, że mamy za chwilę kompletnie inna demografia itd.
1584:  MB - I zaczynasz dostrzegać, że tutaj być może właśnie kiełkuje jakiś trend związany z tą jedną małą rzeczą, którą gdzieś zobaczyłeś i która wzbudziła w tobie takie wielkie, wiesz, o co chodzi.
1598:  MB - Więc myślę, że też jeszcze wracając do tej sztucznej inteligencji, to jest tak, że za każdym razem, kiedy dostajemy kolejny nowy model, kolejne nowe ogłoszenie, kolejny news, nie wiem, wczoraj w okularach mety wdrożony asystent AI i za każdym razem może to powodować taki, ale co tu się dzieje?
1621:  MB - Ale jak zaczniemy w to wchodzić w głębiej, no to zaczynamy rozumieć, że zostaniemy już w tym, że to rzeczywiście będzie część naszej pracy, naszego życia.
1632:  MB - Ja jestem zdania, że po prostu lepiej to zrozumieć niż nie.
1637:  KMM - A wokół sztucznej inteligencji czy kształtują się jakieś trendy, które uważasz za szczególnie pozytywne i które być może właśnie znikają z tej naszej dyskusji publicznej na ten temat?
1647:  KMM - Też pytam dlatego i stąd moje poprzednie pytanie o technofobię, że chociażby w środowisku grafików,
1652:  KMM - była bardzo szybka ewolucja stanowisk, od początkowego zachwytu, a skończywszy na obecnym status quo, którym jest nienawiść posuwająca się nawet do tego, że jeżeli ktoś opublikuje grafikę AI-owo w mediach społecznościowych, to znajdzie się paru grafików, którzy krzyczą w komentarzach, że odbieracie nam pracę, mimo że to jest paradoks, wcześniej nie dostawali zleceń na te grafiki w mediach społecznościowych, bo one były brane ze stoka.
1678:  KMM - Ale już mamy tego wroga, nie?
1680:  KMM - I ja się tylko o to właśnie bałem w tym kontekście, ale skoro mówisz, że właśnie jest ten obszar technoentuzjastyczny czy optymistyczny, to ciekawy byłbym jak to się właśnie w obszarze AI kształtuje.
1691:  MB - Wiesz co, myślę, że mamy masę użyć, czy też use case'ów, czy scenariuszy, w których sztuczna inteligencja będzie dawała wielkie możliwości.
1704:  MB - Wspomnę chociażby medycynę, biotechnologię.
1707:  MB - To są rzeczy, których nie możemy odmówić temu, że tutaj będą działy się dobre rzeczy.
1714:  MB - jeśli będziemy w stanie wynajdywać nowe leki znacznie szybciej, znacznie skuteczniej, jeśli będziemy mogli posługiwać się różnego rodzaju narzędziami AI do diagnozowania chorób i tak dalej.
1727:  MB - Tego jest cała masa.
1728:  MB - Drugi obszar, który widzę, to to jest też kwestia zupełnie od drugiej strony, czyli
1735:  MB - takiego ostrożnego, wyważonego optymizmu w kontekście AI.
1740:  MB - Ten pierwszy moment takiego zachłyśnięcia, polaryzacji tych stanowisk powoli już mija, przynajmniej w
1747:  MB - w tym, co my obserwujemy i zaczynamy właśnie taką ciężką pracę z jednej strony z adaptacją tego trendu na różnych poziomach, z drugiej strony z kwestiami bardzo szczegółowego przyglądania się rozwojowi sztucznej inteligencji.
1764:  MB - Nawet regulacje, o których mówimy.
1766:  MB - Byłam ostatnio w Stanach na konferencji South by Southwest i tam Europa była pokazywana jako wzór
1773:  MB - Tego, że jest to miejsce na świecie, gdzie sztuczna inteligencja próbuje się regulować, tak?
1780:  MB - Chociażby AI-aktem.
