Oto jak YouTube GNIJE i DOBIJA TWÓRCÓW
🔗 https://www.youtube.com/watch?v=9fyeOwIhQ8g
LC (Leszek Cibor, Przeciętny Człowiek)
KMM (Krzysztof M. Maj)
OR (Oskar Rogowski, Napisy Końcowe)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

18:  BFP - Kiedy ktoś czyta tytuł Oto jak YouTube gnije i dobija twórców...
585:  LC - To jest pytanie, które ja sobie muszę jako twórca zadać.
588:  LC - Czy ja chcę się zająć politykowaniem?
590:  LC - Czy ja chcę się zająć tym?
591:  LC - Czy ja się chcę zająć tego typu tematami?
595:  LC - Czy to jest moje?
595:  LC - Ta mikropresja platformy,
601:  LC - sprawia, że ja ewoluuje, no właśnie w co?
604:  LC - Czy jestem tworem platformy, czy jednak twórcą sam siebie?
610:  LC - To jest trochę egzystencjalne pytanie w tym kontekście, ale to zabija po prostu twórcę.
616:  LC - Chcesz materiał z dobroci serca zrobić, coś skrytykować albo coś pochwalić.
622:  BFP - Albo pochwalić, to jest rzadsze.
624:  LC - Albo coś pochwalić, chcesz coś fajnego zrobić od serca i kurde film ora o ziemię wyświetleniami.
633:  LC - Myślisz sobie, no dobra, to zrobię drugi, trzeci, czwarty, no ale tak i znowu, tak nie można żyć.
639:  LC - Platforma jednak premiuje inne rzeczy i zachęca cię do ewolucji w inną stronę.
646:  LC - I jeszcze jeden problem jest taki, że YouTube ma stuprocentową penetrację w Polsce i nie będzie miał większej dla polskiej widowni, więc my też mamy pewne ograniczenia tematyczne.
657:  LC - Wszelkie np.
658:  LC - wydawnictwa, które zlecają, w moim przypadku akurat,
662:  LC - Wydawnictwa, które zlecają badania rynku związanego np.
666:  LC - z rozwojem osobistym czy z psychologią, mówią od lat, że jest w okolicy 300 tysięcy dorosłych Polaków tu i teraz, w danym momencie, którzy są gotowi do np.
678:  LC - zakupu książki tematycznej czy po prostu konsumpcji danego tematu.
685:  LC - Ja tego np.
687:  LC - nie przeskoczę w języku polskim.
690:  LC - Natomiast znowu zagrożenia wady.
694:  LC - Jest to platforma międzynarodowa, więc można próbować robić swoje treści po angielsku, czy w innych językach, po hiszpańsku.
701:  LC - To jeszcze zaraz do tego przejdziemy.
703:  LC - No ale to jest jakby zupełnie rozszerzenie.
705:  LC - Natomiast moja największa po prostu obawa jest to, że ta mikroewolucja, ta mikropresja,
711:  LC - YouTube'a, przez te wszystkie algorytmy, patrzenia na te wyświetlenia i tak dalej, zabija twórcę w twórcy, zabija tą taką radość, chęć takiego trochę beztroskiego tworzenia i wprowadza dużo takiego corpo trochę stresu, takiej sztuczności dostosowywania się.
730:  LC - Stajesz się produktem aplikacji, no nie?
732:  LC - Trochę.
733:  BFP - Tworzenia w zgodzie ze sobą, bym zaznaczył.
737:  BFP - Oddaję to pytanie teraz Oskarowi i
742:  BFP - czerpcie z czasu, ile tylko macie potrzebę.
744:  BFP - Od razu zaznaczę, bo te nasze wypowiedzi będą długie, więc nie krępujcie się.
750:  BFP - Przeczytam tylko już oddając głos Oskarowi jeden z komentarzy.
753:  BFP - Grimhawk napisał, patrząc w jaką stronę zmierza YouTube, warto by się zastanowić nad zmianą platformy.
759:  BFP - Problem tkwi w tym, że za bardzo nie ma gdzie iść XD.
763:  BFP - No cóż, jak powiedział Napoleon pod Austerlitz Tusche.
765:  BFP - Oskarze, jaki jest twój
768:  BFP - Największy lęk, jeżeli chodzi o to, czym się zajmujesz na YouTubie, a zaznaczmy, ty nie prowadzisz jednego kanału, ty prowadzisz dwa kanały.
775:  BFP - To jest ważne dla ciebie, żeby mieć komfort tworzenia, ale także zarabiania na YouTubie, podobnie jak w moim przypadku.
784:  OR - Sprawdziłem aż z ciekawości i mój pierwszy materiał ma już ponad 9 lat na YouTubie.
789:  OR - Czyli jednak dziadek.
790:  OR - Więc jednak tak.
793:  OR - Natomiast jeśli chodzi o YouTube'a, to dwie rzeczy, o których chcę powiedzieć.
797:  OR - Pierwsza to to, że korporacje nie uczą się na błędach i YouTube podąża teraz drogą, którą podążały streamingi.
808:  OR - Generalnie, szybka dygresja, nie wiem czy wiecie, ale model streamingowy nie działa.
812:  OR - Generalnie firmy tracą hajs na streamingach i teraz w Stanach jest agresywne przechodzenie na streamingi z reklamami.
819:  OR - rosną cały czas ceny tych subskrypcji streamingowych bez reklam, a ta z reklamami trzyma się cały czas na jednym miejscu, ponieważ streamerzy szybko odkryli, że reklamy ostatecznie dają im więcej, ponieważ w momencie, w którym jest abonament, to tak naprawdę najlepszy widz to taki, który by zapłacił abonament i w sumie nic nie oglądał.
839:  OR - Natomiast w momencie, w którym jednak widzowie oglądają, to reklamy dają im znacznie, znacznie więcej hajsu.
845:  OR - Dlaczego o tym mówię?
847:  OR - No dlatego, że YouTube stworzył YouTube Premium.
849:  OR - Bardzo fajną usługę, bardzo fajną sprawę.
851:  OR - Na to się patrzy tak, że mamy wykupiony ten YouTube Premium, oglądamy, wspieramy twórców w ten sposób, a sami nie mamy reklam.
858:  OR - Bajka.
859:  OR - Tylko, że...
861:  OR - Właśnie walka z adblockiem, o której wspomniałeś na początku, to jest jeden ze sposobów, w którym YouTube bardzo agresywnie, i to widać, stara się spychać ludzi w YouTube Premium.
872:  OR - Tak bardzo mocno, w taki sposób, żeby tutaj nie było żadnych innych opcji.
877:  OR - Można się trochę kłócić oczywiście w kwestii adblocka, czy to jest fair, czy to nie jest fair, wobec twórcy, którego oglądamy, skoro jakby chcemy go wspierać i dlatego YouTube Premium jest fajną opcją, ale
890:  OR - Powiedzmy, gdybyśmy nie byli w wielkim korporacyjnym świecie, to ja bym mówił, że pewnie, super, jasne, chcemy, żeby tak było, to wszystko jest uczciwie, ale wiem, jak działają korporacje i ten trend, który ja widzę, ja się obawiam, że będzie wyglądał tak.
904:  OR - Najpierw będziemy robić wszystko, żeby oglądanie bez premium było tak bardzo upierdliwe i tak bardzo nieznośne, jakie jest tylko możliwe.
911:  OR - No teraz popatrzcie, co się dzieje z reklamami.
914:  OR - Już w tym momencie jakby wpływ twórcy na to, co może robić z reklamami w swoich materiałach non stop spada.
920:  OR - Natomiast wyłączenie adblocka, znaczy wyłączenie monetyzacji
924:  OR - Wiecie, każdy z nas moglibyśmy mieć jakieś powiedzmy alternatywne sposoby, nie wiem, patronite tego typu rzeczy, albo mamy, albo nie i tego typu rzeczy, tylko problem polega na tym, że jeżeli wyłączycie monetyzację na jakimkolwiek materiale, to YouTube go wam w sekundę zakopie, bo on jest do niczego YouTubowi niepotrzebny na tym etapie, skoro oni na nim nie zarabiają, więc to nie jest nawet kwestia tego, czy my chcemy na tym zarabiać, tylko czy w ogóle chcemy, żeby nasz materiał był jakkolwiek zauważalny, więc
948:  OR - jakby wyłączanie monetyzacji to jest generalnie, równie dobrze byś kanał zamknąć, jeżeli chciałbyś wyłączyć, bo tego nikt nie zobaczy później.
957:  OR - Ja się boję, że teraz będzie właśnie to takie kup premium, to w sumie nie jest drogie, a wiesz, a wyjdzie ci lepiej, a to nie premium będzie prawie nieoglądalne.
969:  OR - I to, co widzimy właśnie w streamingach, które są o krok dalej, jak oni doszli do tego punktu i już zebrali wystarczająco dużo ludzi, to potem nagle się okazało, że reklamy jednak są całkiem dobre, ale teraz mamy dwa sposoby.
980:  OR - Możemy wtedy podbić premium dla tych ludzi, którzy się już przyzwyczaili do oglądania bez reklam
985:  OR - chcecie dalej oglądać w tym komforciku, no to cena rośnie, rośnie, rośnie, rośnie, a tych, których tych wrócimy z powrotem do punktu tego, żebyście oglądali ci z reklamami, którzy chcecie oglądać, no ale już będzie w takim, nie wiem, co dwie minuty reklama, czy cokolwiek, albo reklama, nie wiem jak długa, nie do pominięcia.
1002:  OR - To jest jakby jedna rzecz, której się boję w modelu biznesowym YouTube'a, bo on już zaczyna mnie wkurwiać, jeśli chodzi na przykład o live'y, gdzie ja mam duży problem z blokowaniem reklam na live'ach swoich.
1014:  OR - co mnie absolutnie cholernie denerwuje.
1017:  OR - Ja na przykład mam ten motyw, że wyłączam reklamę na live i tam jest ten timer na przykład.
1023:  OR - W ogóle dlaczego nie mam guzika... Widzę, że mam reklamę na live.
1027:  OR - Dlaczego nie mam guzika wyłącz do odwołania na przykład?
1031:  OR - Dlaczego nie mam takiego guzika w momencie, w którym zauważam, że ktoś mi mówi, ej, masz reklamy na live.
1038:  OR - Gdzie jest mój guzik?
1040:  OR - W tym momencie zauważyłem je, nie chcę mieć teraz reklam na moim live.
1044:  OR - Nie mam.
1045:  OR - Mogę zatrzymać je na 10 minut.
1046:  OR - Ale mało tego, ten timer 10-minutowy nawet się nie odświeża dobrze.
1051:  OR - To jest w ogóle najlepsze.
1052:  OR - To jest jeszcze celowo tak, wydaje mi się, spieprzone, że patrzę na ten timer, widzę, że jest 9 minut,
1059:  OR - Ktoś mówi, ale reklama jest.
1060:  OR - Klikam i faktycznie w tym momencie się odświeża dopiero jak kliknąłem.
1064:  OR - Więc już są wchodzą mechanizmy, które utrudniają życie.
1067:  OR - A druga sprawa, to jest to, o czym pewnie będziemy w dużej części gadać, czyli jakie treści są premiowane.
1074:  OR - Jak bardzo negatywne emocje są dużo bardziej premiowane niż pozytywne.
1079:  OR - Jeżeli ja zrobię materiał o... Przykładowo, ostatnio był film Marvels.
1086:  OR - Bardzo przeciętny film Marvela, naprawdę przeciętny.
1090:  OR - Ja uznałem, że to nie jest najgorszy film, jaki widziałem w życiu i dokładnie tak nazwaliśmy ten materiał.
1095:  OR - Wiedziałem, że gdybym go nazwał najgorsze gówno, jakie widziałem, to by ludzie się zlecieli, a nazwałem go to nie jest najgorszy film MCU.
1103:  OR - Chcieliśmy dać do zrozumienia, że to nie jest najgorszy, ale jest, wiesz, jest kilka gorszych, o tak.
1110:  OR - Ale algorytm i ludzie jednocześnie chcą krwi.
1115:  OR - Tam trzeba było dać najgorsze gówno na świecie, po prostu wrzucać do każdego materiału.
1119:  OR - Jak widzę, to jak łatwo...
1122:  OR - właśnie zaktywizować społeczność, która wchodzi, jeżeli zaczniesz mówić o samych negatywnych rzeczach, świat cię kończy, wszyscy są do dupy, a jeszcze jak znajdziesz jakiegoś człowieka, którego możesz postrzelać w internecie, że tak powiem, no to już w ogóle ci podrośnie.
1138:  OR - Te wszystkie negatywne emocje, które są tak premiowane, powodują, że jakiekolwiek premiowanie pozytywnych treści, pozytywnych zmian, ciekawych rzeczy,
1146:  OR - natychmiast schodzi i właśnie jest ten taki problem, o którym zresztą właśnie to takie wychowywanie trochę twórców, którzy, nie jednego twórcę widziałem, który miał takie
1160:  OR - chciał się podzielić swoim hobby.
1162:  OR - Zaczął od tego na YouTubie.
1163:  OR - Chciał opowiadać o swoich rzeczach, które lubi, które go kręcą, które ten, a potem jest ta mroczna strona przychodzi i nagle się okazuje, że okej, ale jeśli zamiast mówić o tym, co mnie kręci, zacznę mówić o tym, czego nienawidzę, to nagle zacznę zarabiać pieniądze.
1179:  BFP - Albo tego, czego nienawidzą inni.
1181:  BFP - Nawet nie ja.
1182:  OR - Tak, nawet nie ja.
1183:  OR - Ważne, żebym cały czas tak to podkręcał.
1186:  OR - I w tym właśnie całym szumie tego takiego bardzo aktywnego najazdu, ja sam zacząłem zauważyć, że na przykład się gubię w pewnym momencie i to jest też to podejście, które, zresztą Dawid Myśliwiec właśnie mówił o tym, czyli miniaturki na przykład.
1204:  OR - On wspominał w swoim tym materiale o tej miniaturce tam, jak oni zginęli, czy coś takiego.
1209:  OR - Na tym etapie ja, kiedyś miałem jeszcze jakieś wyrzuty sumienia do tego, że okej, nie chcę dawać miniaturek, które są krzykliwe, czy coś takiego, ale na tym etapie, w tym co, jak YouTube w tym momencie działa, ja stwierdziłem, że jeżeli nie dasz dużego napisu na miniaturce prawdopodobnie jakiegoś,
1226:  OR - to prawda jest taka, że mało ludzi w ogóle na to kliknie w tym momencie.
1230:  OR - A to z kolei powoduje, że ja uznałem tak, tak długo jak mam treści, które się nie zmieniły, a robimy cały czas treści, które się nie zmieniają, to w tym momencie naprawdę nie obchodzi mnie, oczywiście tak jak miniaturka nie jest, wiecie, obrażająca kogoś albo celująca w kogoś, bo wiemy o jakich kanałach mowa, kiedy są miniaturki, które celują w pewne rzeczy, ale jeżeli miniaturka będzie miała po prostu duży żółty napis czy coś takiego,
1252:  OR - W tej chwili mnie to przestało żenować, bo stwierdziłem, że po prostu nie wygrasz z tym.
1256:  OR - Jest moment, w którym po prostu nie jesteś w stanie z tym wygrać.
1259:  OR - I to są różne rzeczy, których ja nie znoszę, bo one mimo wszystko cały czas gdzieś powodują we mnie takie poczucie, no to też o czym Dawid mówił, takiego
1274:  OR - braku możliwości dotarcia do ludzi robiąc, czego 9 lat temu tak nie było.
1279:  OR - Ja swój kanał, tylko jeszcze powiem, ja swój kanał robiłem na początku tylko i wyłącznie hypując się.
1284:  OR - Zacząłem od kanału o komiksach i przez długi czas mówiłem tylko jak uwielbiam komiksy, jak bardzo lubię postacie komiksowe i tak dalej.
1291:  OR - Przez wiele lat mój kanał działał tylko i wyłącznie na bazie tego, gdzie hypowałem, polecałem kolejne komiksy i tego typu rzeczy robiłem i to spokojnie działało.
1299:  OR - Dzisiaj byłoby to dużo trudniejsze.
1303:  BFP - No ja mogę tylko powiedzieć, że zrobiłem eksperyment tydzień do tygodnia i opublikowałem przedwczoraj materiał o rzeczy, która mnie zachwyciła i rozkochała, czyli serialu Niebiesko Oki Samurai i w dwa dni zebrało 25 tysięcy wyświetleń, to jest bardzo dużo obecnie na możliwości mojego kanału, ale tydzień wcześniej zrobiłem rant
1325:  BFP - Na Napoleona i zebrał w jeden dzień 100 tysięcy.
1329:  BFP - To tak a propos emocji i tego, co jest promowane.
1333:  BFP - Przepraszam, już oddaję jedno ad vocem twoje szybkie Leszek i głos dla Krzysztofa na sporo dobrych minut.
1340:  BFP - Ale tylko przeczytam dwa szybkie komentarze.
1342:  BFP - Froget 67 napisał, Google też walczy inaczej z konkurencją niż tylko blokowaniem adblocka.
1348:  BFP - Zmiany w JavaScript, celowo gorsze działanie playera YouTube'a na innych przeglądarkach niż Chrome, nawet jak są na Chromium.
1357:  BFP - To jest interesujące jak bardzo nieczyste praktyki stosuje Alphabet tudzież Google.
1361:  BFP - do tego, żeby wygrywać z konkurencją, albo żeby zmuszać nas do tego, żeby wynosić go na poziom monopolisty.
1368:  BFP - Leszek, szybkie ad vocem i oddaję głos Krzysztofowi.
1372:  LC - Bo te zmiany jeszcze są dodatkowo konfrontujące, ty wspomniałeś i w sumie bardzo słusznie,
1377:  LC - o YouTube Premium, bardzo fajnej usłudze, która będąc wdrażaną nie była tania, bo ona nie jest tanią usługą względem innych np.
1386:  LC - platform streamingowych, ale na początku, przecież jak się kupowało YouTube Premium, YouTube sam inwestował miliony, miliony inwestował, pchał w twórców, no w szczególności anglojęzycznych, tworzących specjalny content dla YouTube Premium, czyli jakby dostępny tylko za tą bramką.
1404:  LC - trochę głębiej.
1405:  LC - Dopiero później tworzono tą kolejną iterację, że możesz bezpośrednio wspierać danego twórcy, który stworzy content za bramką i jeszcze mieć YouTube Premium, czyli jakby masz płatność na płatność na płatność na płatność, po prostu masz to wszystko w formie jakiegoś tortu ponakładanego, ale jest to w jakiś tam sposób też konfrontujące dla twórców, bo
1427:  LC - Przez rok czy dwa YouTube obiecuje, dobra, wejdziemy do Polski, wrzucimy trochę pieniędzy i YouTuberzy będą tworzyć specjalny content dla YouTube Premium, ale nie.
1435:  LC - Jednak system wspierania, czyli YouTuber, który jest osobą, pasjonatem.
1441:  LC - Ja akurat mam troszeczkę mniejszy z tym problem, bo jestem trenerem sprzedaży i znam się na tym.
1448:  LC - No ale kuźwa, jak ktoś jest modelarzem, albo nie wiem, zajmuje się właśnie komiksami, nigdy w życiu nawet nie przeszło mu przez gardło poproszenie kogoś o pieniądze, sprzedaż, aktywne promowanie się, pokazywanie się.
1462:  LC - Najgorszy chyba trend, obgadujemy YouTube'a, ale też trochę Spotify to napędza tą mikroewolucję, to są muzycy, którzy wyrażają się nie poprzez słowa, tylko poprzez muzykę, poprzez sztukę.
1476:  LC - bo nie z reguły nie radzą sobie tak dobrze ze słowami.
1478:  LC - Muzyka jest przecież tym językiem, który wszyscy kochamy, znamy i bardzo często od tych muzyków wychodzi z głębi.
1485:  LC - I kuźwa doszliśmy do czasów, w których oni się muszą promować.
1489:  LC - Muszą się jakoś pokazać, żeby wyjść na trending na TikToku albo na jakiejś innej apce.
1494:  LC - I właśnie mam straszną obawę, że to zabija tych twórców.
1499:  LC - Ta mikroewolucja właśnie, która nas pcha w te durne miniaturki, durne tytuły, w to, że każdy musi być sprzedawcą.
1506:  BFP - Sami staliśmy się agencjami marketingowymi, które nas obsługują, chociaż chcemy być po prostu twórcami i mamy w dupie marketing.
1513:  BFP - Krzysztof, jakie są twoje lęki, kiedy patrzysz na swój kanał na YouTubie?
1519:  KMM - Ja powiem może w ten sposób.
1522:  KMM - Po pierwsze, ja jestem dość uprzywilejowany przez to, że to nie jest moja pierwsza praca.
1526:  KMM - Pierwszą pracą moją jest praca na uczelni.
1529:  KMM - W związku z powyższym, ja mógłbym wyniośle mówić, że sobie robię miniaturki wbrew trendom, ale ja je robię wbrew trendom od samego początku, dlatego że sobie mogę po prostu na to pozwolić.
1538:  KMM - I zaznaczę, że ten mój trzyletni eksperyment powinien dać wielu twórcom do myślenia.
1543:  KMM - To znaczy, nie, nie zrobiłem nigdy filmu z żółtym napisem.
1546:  KMM - Nie, nie zrobiłem nigdy filmu, który miał mój ryj wykrzywiony albo czyjkolwiek inny.
1550:  KMM - Mój klikający się skądinąd bardzo dobrze film o Oldze Arystokarczuk nie ma wykrzywionej twarzy Olgi Tokarczuk z popałającym spojrzeniem czerwonym i żółtym napisem Olga Tokarczuk idiotka, tak?
1563:  KMM - Nie, nie ma.
1564:  KMM - Nie trzeba.
1565:  KMM - Jak widać.
1566:  KMM - Więc ja traktuję to jako pewnego rodzaju dowód.
