Popkulturowe TOP 2021. Najlepsze filmy, seriale i gry wg Bez/Schematu
🔗 https://www.youtube.com/watch?v=orC4wIAD1FU
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - Ostatnia porcja bez schematu w tym nieszczęsnym roku.
232:  GW - Jak ja się cieszę, że mamy jednak troszeczkę rozbieżne zdanie i jednak troszeczkę zbieżne, bo na mojej liście honorowych tutaj wyborów, że tak powiem, właśnie drugie, drugie, tudzież trzecie miejsce, no to jest oczywiście Duna i jak najbardziej Denis Villeneuve pokazuje po raz kolejny, jak bardzo potrafi wziąć czyjeś dzieło i oddać mu stosowny hołd.
260:  GW - Jak przy Blade Runner 2049 uhonorował odpowiednio dzieło Ridleya Scotta, wiązujące z kolei do prozy Filipa K. Dicka, tak w Dune'ie co prawda na razie tylko przedstawił obszerną ekspozycję, ale po niezrealizowanym dziele Fodorowskiego i karykaturalnej wersji adaptacji Lynch'a w końcu daje nadzieję, że cykl powieści Franka Herberta zostanie potraktowany z należytym szacunkiem.
285:  GW - No i muzycznie i wizualnie zrealizowane jest wspaniale pod kątem designu.
294:  GW - Z tego co pamiętam chociażby z encyklopedii Duny jest to zrobione co najmniej należycie dobrze, tudzież bardzo dobrze.
303:  GW - No i gra aktorska też jak najbardziej mi leżała, więc tutaj czekam z niecierpliwością na kontynuację.
309:  GW - Ale najważniejszy film dla mnie z tego roku to Green Knight.
314:  GW - Czyli działo jak dla mnie kompletne.
318:  GW - O mój Boże, to też miał trafić na moją listę.
320:  GW - No właśnie.
321:  GW - Klimatyczna muzyka i inżynieria dźwięków, wspaniałe ujęcia i montaż, fenomenalna kolorystyka i symbolika w obrazie.
328:  GW - Tam wiele ujęć można było sobie po prostu zatrzymać i sobie wrzucić na tapetę.
333:  GW - Nie wiem, jakby to inaczej nazwać.
335:  GW - W dzisiejszych czasach every frame a picture, tak?
340:  GW - reinterpretacja średniowiecznego moralitetu, który był swego rodzaju wzorcem dla młodych ludzi tamtych czasów, poruszający problemy zauważane wśród młodzianów właśnie w średniowieczu.
351:  GW - Teraz, jak poemat spełniał taką funkcję wtedy, to film troszeczkę taką funkcję może spełniać dzisiaj, bo zamiast prawienia
362:  GW - Prawdomówności i czystości, bo tutaj mamy to subwersywnie przełamane już od samego początku.
368:  GW - Cnoty rycerskie.
369:  GW - Tak, dokładnie.
370:  GW - Mamy determinację, branie życia na poważnie, poczucie odpowiedzialności, czyli coś, co wielu zauważa brak w dzisiejszej młodzieży chociażby.
382:  GW - I odzyskiwanie kontroli nad własnym losem.
384:  GW - Tak, dokładnie.
385:  GW - I cel jest ten sam, czyli idealnie istnieje i pogodzenie się z nim to jest klucz pewnego etapu odejrzewania.
393:  GW - No i tutaj to tak jak w poemacie było to pokazywane, tak samo tutaj w filmie to widać, czyli pięknie można zrobić
401:  GW - Na podobnych motywach oddać pewną istotę rzeczy, natomiast zrobić wszystko dookoła kompletnie inaczej i jest to jeszcze podane w niesamowitej formie.
416:  GW - Także jak dla mnie to jest absolutnie cudowny film i najlepszy film tego roku.
420:  GW - Poza Duną The Last Duel.
423:  GW - Czyli dzieło Ridleya Scotta, też takie bardziej rycerskie, bo tutaj adaptuję wycinek z historii o prawdziwym konflikcie pomiędzy francuskimi rycerzami o honor kobiety.
436:  GW - Świetny Matt Damon, Adam Driver i Jodie Comer ukazują z różnych perspektyw pewien...
446:  GW - Motyw, który no dzisiaj jeszcze jest tak bardzo aktualny jak kultura gwałtu, tak?
453:  GW - I jest to zrealizowane również przez Spaniolet.
456:  GW - Co prawda realia dla purystów historycznych mogą nieco odbiegać, gdyż tutaj mamy mocne odarcie świata ze sterylności, syf, brud, błoto, niedoskonałości.
465:  GW - ale realizacja całości daje niesamowite wrażenie.
469:  GW - Dodatkowo historia obrazuje właśnie ten tak bardzo aktualny problem, pokazując jak niektóre relacje społeczne i funkcjonowanie ludzkiej natury nie zmieniło się przez setki lat.
482:  GW - Jak dla mnie to jest jeden z takich naprawdę honorable mentions tego roku, jeżeli nie jeden z lepszych filmów tego roku jaki widziałem.
490:  GW - No ale zielony rycerz jednak tutaj wygrał.
495:  GW - Tak więc tyle ode mnie.
497:  KMM - To co ja, główny eskapista teraz się wypowie niestety, który ma gust pięciolatka pod wieloma względami, żartuję oczywiście, a tak naprawdę to nie, bo ja się właśnie cieszę tym zawsze w kinie, co sprawiało mi taką niewymuszoną przyjemność,
512:  KMM - I nie ukrywam, że jeśli mamy oceniać właśnie filmy, to to przeżycie kinowe jest dla mnie równie ważne, co sam film, który mogę sobie obejrzeć w zaciszu domowym i docenić go od strony intelektualnej, natomiast po... A zatem Matrix.
526:  KMM - A zatem Matrix, nie denerwuj mnie.
528:  KMM - A zatem po covidzie jest tylko jedna opcja, to znaczy w momencie jak poszedłem do kina i zobaczyłem Dune'ę, to było dla mnie przeżycie katartyczne i ja nie jestem w stanie, choćbym naprawdę bardzo doceniał różne produkcje, które wyszły w tym roku, a wyszły dobre i zresztą powiedzieliście o takich, pod którymi ja musiałbym się w 100% podpisać pod pozytywnymi ocenami, natomiast...
551:  KMM - Biorąc pod uwagę moje własne podejście do sztuki i tego, że sztuka ma oczyszczać, dawać ucieczkę do innej rzeczywistości, ja dostałem w tym filmie wszystko, czego potrzebowałem.
560:  KMM - Jeżeli bym potrzebował skomplikowanej fabuły i namysłu nad nią, to mogę to osiągnąć w seansie domowym na kanapie przed Netflixem i cieszyć się i kontentować tym absolutnie, tak jak się kontentowałem moją honorable mention, o której zaraz powiem.
574:  KMM - Natomiast...
575:  KMM - Dune'a była widowiskiem i przeżyciem.
577:  KMM - I przeżyciem narracyjnym, przeżyciem światotwórczym, przeżyciem imersywnym.
581:  KMM - Też użyję tego słowa, bo się akurat bardzo nadaję.
584:  KMM - I myślę też, że dużo zmieniła, to znaczy w roku, w którym fani oberwali ze wszystkich stron.
590:  KMM - Oberwali beznadziejnym Wiedźminem, oberwali jeszcze gorszym Matrixem, choć nie wiedziałem, że to jest możliwe, ale tak, to jest możliwe.
597:  KMM - Jest im tak zły, że nawet nie chcę o nim mówić.
599:  KMM - Ale będziemy.
600:  KMM - Dlatego.
600:  KMM - I
604:  KMM - I generalnie rzecz biorąc cały czas ścierali się z taką wizją świata, w której fantastyka znowu wraca do tych lat osiemdziesiątych, dziewięćdziesiątych, tego kampu kiczu i tandety.
613:  KMM - No Villeneuve pokazał, że można inaczej.
616:  KMM - I drugi film będzie poniekąd ukłonem znowu w stronę tego nieszczęsnego mojego eskapistłu, mianowicie Spider-Man, najnowszy.
625:  KMM - No way home.
627:  KMM - Który pokazał, że po Avengers można zrobić lepszy film.
632:  KMM - Nie sądziłem, że to jest możliwe superbohaterskie, ale to jest możliwe.
636:  KMM - Bawiłem się na tym filmie dokładnie tak, jak chciałem i, co więcej, dostałem bardzo, w zasadzie wzorcowy przepis na to, jak sobie radzić z sytuacją, w której mamy
648:  KMM - różnych aktorów w jednym uniwersum, w którym mamy skomplikowane realia copyrightowe, które sprawiają, że fani właśnie nie mogą cieszyć się swoimi postaciami superbohaterskimi, bo do jednych ma prawa Sony, do innych ma prawo Disney, a tutaj pokazano, w jaki sposób sztuka i wizja artystyczna może pokonać te trudności i wytworzyć świat, który będzie...
671:  KMM - sprzeczny w swej niesprzeczności.
672:  KMM - I to jest przepiękne absolutnie.
675:  KMM - Rzadko kiedy coś takiego widzę i dla mnie na przykład Potter pokazał, w jaki sposób tego nie należy robić.
681:  KMM - Jeszcze nie wyszły zbrodnie, znaczy nie zbrodnie Grindelwalda, tylko Secrets of Dumbledore, a ja już je krytykuję, ponieważ Mads Mikkelsen nigdy nie będzie wyglądał jak Johnny Depp.
690:  KMM - Więc jeżeli nie dadzą nam takiego samego wyjaśnienia, a najpewniej nie dadzą w obrębie Pottera, jaki dał w tym momencie Disney w obrębie Marvela,
699:  KMM - to będziemy mieli dowód na to, że Spider-Man No Winsome jest jeszcze lepszym filmem, niż staram się tutaj pokazać.
705:  KMM - I trzeci film, o którym bym powiedział, paradoksalnie, mało kto się pewnie tego spodziewa, znając mnie, Don't Look Up.
715:  KMM - Satyra, którą obejrzałem parę dni temu i dlaczego o niej mówię, z bardzo prostego powodu.
720:  KMM - Uważam, że w 2021, jak w żadnym innym roku, bardzo potrzeba filmów, które by pokazywały, jak się kończy niesłuchanie naukowców w różnych ważnych kwestiach, jak na przykład szczepienia, epidemia, albo pieprzony meteoryt, który leci w naszym kierunku.
737:  KMM - I niestety, jak wsłuchiwałem się w dialogi ludzi, którzy mówili,
741:  KMM - gdzie będzie tam meteoryt, spisek i tak dalej.
744:  KMM - Cały czas miałem powidoki i echa tych rozmów, które toczyły się w 2020 i 2021.
750:  KMM - Więc chociaż film jest to pod wieloma względami kampowy, w każdych innych okolicznościach uznałbym go za raczej nędzny, to fakt, że podjął ten...
759:  KMM - tej problematyki się właśnie i nakreślił ją w humorystyczny sposób, winduje go u mnie na liście bardzo wysoko i jeszcze dorzucam to, co ja osobiście bardzo lubię w kinie, to znaczy dobry montaż i zabawę formą, którą tam widać.
773:  KMM - Więc to są moje trzy rzeczy.
775:  KMM - Dwie bardziej eskapistyczne, a jedna troszeczkę do namysłu.
779:  BFP - To przechodząc do seriali, zróbmy teraz kółko w drugą stronę, czyli ty też Grzegorz, zacznij od seriali.
787:  GW - To w porządku.
788:  GW - Tutaj mam taki rozstrzał, bo mam... Chociaż też wydaje mi się, że jeżeli chodzi o seriale, to przynajmniej jeden, jeżeli nie dwa tytuły gdzieś tu się pokryją też z waszymi gustami, wnioskując z waszej recenzji w tym roku.
809:  GW - Po pierwsze, absolutny fenomen dla mnie, dramat przygnębiający, ale niezwykle przejmujący, czyli Mare of Easttown.
819:  GW - Jak dla mnie to jest doskonały dramat rozpisany na takiej kanwie, po pierwsze, problemów rodzinnych, problemów z narkotykami, historii o przemijaniu, o miłości, o ludzkich słabościach.
833:  GW - Kate Winslet absolutnie zaorała system, jeżeli chodzi o grę aktorską.
838:  GW - Sama fabuła potrafi zaskoczyć nieraz i jeżeli miałbym komuś polecić jeden serial, który będzie dowodem na to, że na streamingu mamy jakościowe produkcje, w tym roku przynajmniej, to jest właśnie ten.
849:  GW - Opowiada o kilku tygodniach z życia Mare, czyli byłej lokalnej gwiazdy koszykówki.
854:  GW - aktualnie będącej detektywem w sennym miasteczku w stanie Pensylwania.
860:  GW - Mamy tam serię porwań.
864:  GW - No i sam serial i relacje pomiędzy postaciami są absolutnie fenomenalnie pokazane, więc tutaj z całego serca polecam.
877:  GW - Drugie miejsce, jak dla mnie, to jest z kolei wskazówka w kompletnie innym kierunku, czyli komedia.
884:  GW - Ted Lasso na Apple TV+, dla rozluźnienia atmosfery, bez ujęcia chociażby odrobiny powagi.
891:  GW - Tutaj Apple TV przychodzi na ratunek z genialną komedią z Jasonem Sudeikisem na czele.
896:  GW - historia trenera uniwersyteckiego futbolu amerykańskiego, który przenosi się do Londynu, by trenować ledwo przędący zespół z Premier League AFC Richmond, poza szeregiem gagów pokazujących różnice kulturowe Amerykanów i Europejczyków, czy też samych Brytyjczyków.
916:  GW - Mamy tutaj masę takich tropów o wierze w siebie i to, co się robi,
922:  GW - radzenie sobie z własnymi ograniczeniami i problemami, komunikacji, nawiązywaniu więzi.
926:  GW - Później wchodzą takie tematy znacznie cięższe, zwłaszcza w drugim sezonie.
931:  GW - Serio, ten serial jest takim wideoprzewodnikiem o tym, jak należy budować zespół ludzi, którzy różnią się poglądami, charakterami i robi to fenomenalnie.
941:  GW - Drugi sezon co prawda traci część tropów ze względu na progresję postaci,
945:  GW - ale trzeci, który już został zapowiedziany, szykuje się na naprawdę całkiem mocne doświadczenie i myślę, że to obok Mythic Quest, który zresztą też jest na Apple TV+, to jest jeden z najlepszych seriali komediowych tego roku.
962:  GW - No i trzecie, oczywiście tutaj to raczej nikogo nie zdziwi, Arcane.
966:  GW - Piękna, absolutnie audiowizualna uczta, można powiedzieć, na bazie gry League of Legends.
973:  GW - Najlepsze jednak jest to, że można ją bez problemu polecić osobie, która materiału źródłowego kompletnie nie zna.
983:  GW - Serial jest pięknie animowany, świetnie udźwiękowiony, dynamicznie zrealizowany, jest czymś
988:  GW - bardzo innym i pomimo kilku słabszych momentów, do których się można oczywiście przywalić, zdecydowanie warto dać szansę serialowi na przynajmniej jeden do trzech odcinków, czyli na tą pierwszą część.
999:  GW - Jeżeli nas złapało, to warto to obejrzeć do końca.
1003:  GW - Jeżeli nie, trudno, ale myślę, że
1008:  GW - jakby nikt, kto przynajmniej obejrzy jeden odcinek, nie powie, że to jest kiepskie.
1013:  GW - To jest naprawdę niesamowita, audiowizualna uczta.
1017:  GW - Także tyle z mojej strony.
1019:  GW - Krzysztof?
1021:  KMM - No, tutaj się nie mogę nie zgodzić, swoją drogą, z tym ostatnim, ale ja sobie zachowałem sprytnie Arkane i jeszcze jedną animację do kategorii kolejnej, którą będziemy mieli, natomiast kategorię serialową wypełniam następującymi produkcjami, to znaczy w pierwszej kolejności, o dziwo, wymienię nie fantastykę, tylko serial Nine Perfect Strangers, który zobaczyłem zupełnie przez przypadek, bodajże na Amazonie, ale głowy nie dam, z Nicole Kidman,
1049:  KMM - Serial to o kilkorgu niebotycznie, bajecznie bogatych ludzi, którzy decydują się na udanie się do ustronia i odzyskanie spokoju, kontenansu i równowagi w swoim życiu.
1064:  KMM - No oczywiście w tym ustroniu czyni się to w bardzo specyficzny sposób, to znaczy z zapośrednictwem grzybków halucynogennych, ale to jest zupełnie nie o tym serial.
1072:  KMM - To jest znakomita produkcja przypominająca mi najlepsze kryminały Agaty Christie, rewolucjonizująca kompletnie tę formułę zamkniętego pokoju i tego, co się może stać z ludźmi, których zamkniemy w rzeczonym pokoju i jakie będą się nawiązywały między nimi interakcje.
1089:  KMM - Serial się kończy w tak dziwaczny sposób, że dla samego tego warto go zobaczyć i też warto, myślę, zastanowić się w trakcie seansu nad tym, gdzie nas prowadzi ta praca, w której się cały czas jak w kołowrotku chomiczym zatracamy.
1107:  KMM - I czy naprawdę to jest najważniejsze w życiu.
1109:  KMM - Więc to jest serial na poważnie, który bym polecał wszystkim, którzy mają problem z odpoczywaniem, polecałbym go wszystkim, którzy uważają, że ambicje i cele zawodowe to jest jedyna rzecz i polecałbym go wszystkim, którzy zatracili siebie i chcieliby siebie odnaleźć na powrót.
1125:  KMM - Natomiast jeżeli chodzi o produkcje fantastyczne, to mam dwa seriale, które w moim przekonaniu są wzorcowym przykładem tego, jak należy podchodzić do ekranizowania odpowiednio fantasy i science fiction, bo ostatnio Marcin Zwierzchowski na swoim blogu pisał w odniesieniu do Wiedźmina drugiego sezonu oraz do niestety jeszcze gorszego Koła Czasu, że no, że to taka jest specyfika, że tylko fani narzekają, otóż nie.
1149:  KMM - mianowicie Cienikość według powieści Libardugo, a właśnie nie według powieści Libardugo, bo osadzony w świecie powieściopisarstwa Libardugo, urban fantasy, czyli fantasy osadzona w settingu XIX-wiecznym mniej więcej.
1164:  KMM - Serial ten jest miksem wszystkich fabuł książkowych Libardugo, ponieważ no cóż, one dość są rozwlekłe,
1171:  KMM - i ładnie można było je połączyć w taki sposób, żeby zapewnić ekspozycję świata.
1175:  KMM - Więc, jeżeli byśmy patrzyli na to jako na klasyczną adaptację, to jest to fatalna adaptacja powieści Liwardugo, ale równocześnie, dlatego jest taka dobra, ponieważ przedstawia znakomicie świat, wprowadza widzów do niego i zachęca do czytania książek.
1188:  KMM - Właśnie w ten sposób się powinno robić nowoczesne adaptacje.
1191:  KMM - Jasne, też widać tam, że mógłby być ciut pięknie lepszy budżet, ale sama narracja i
1198:  KMM - Świat narracji, jaki zostaje wykreowany za jej pośrednictwem, rekompensują to w Wujnasu.
1203:  KMM - I drugi przykład po stronie science fiction, też nie będący klasyczną adaptacją, Snowpiercer.
1209:  KMM - Snowpiercer miał jedną z najlepszych w ogóle adaptacji na początku, to jest seria komiksów dla tych, którzy nie wiedzą, to znaczy Bong Joon-ho, ten reżyser od Parasite'a, ekranizował po raz pierwszy Snowpiercer.
1221:  KMM - i ja uważałem, że to jest adaptacja kongenialna, że nie da się lepiej, zwłaszcza, że grało to paru moich bardzo ulubionych aktorów.
1229:  KMM - Po czym zobaczyłem serial i okazało się, że można dobrze, można równie dobrze i co więcej, drugi sezon wprowadza twist fabularny, którego nie mogę zaspoilować, odpowiadający na krzyki wszystkich fanów, którzy po pierwszym sezonie byli rozczarowani, że no jak to wiecie, zazwyczaj bywa.
1246:  KMM - to dlaczego kobieta jest na pierwszym miejscu?
1250:  KMM - To był Mr. Wilford, a nie Mistress Wilford.
1254:  KMM - I z widłami, z pochodniami pod zamek oczywiście, bo skandal i ideologia gender.
1260:  BFP - Oto 500 ostatnio takich osób wpadło na bezschematy.
1264:  KMM - Czasem druga odsłona serialu pokazuje, nie, to każdy robi dokładnie to samo, co animacja He-Man, która też na samym początku czekała się tego rodzaju szafinistycznych komentarzy, a w drugiej części pokazała oczywiście, że nie, że He-Man dalej pozostaje He-Manem, tylko że to nie jest powód, dla którego nie należałoby kobietom też zrobić miejsca w panteonie głównych bohaterów.
1290:  KMM - I dlaczego Snowpiercer jest dobry?
1292:  KMM - Dlatego, że rozwija transmedialny świat Snowpiercera.
1294:  KMM - Czyli dokłada kolejną cegiełkę i absolutnie jako trzeci serial u mnie zwycięża.
1300:  BFP - Ale to który z tych twoich seriali jest tym, który wybrałeś jako serial roku, tak?
1304:  KMM - Nine Perfect Strangers.
1306:  BFP - Okej.
1306:  BFP - Panowie, wy bardzo liberalnie traktujecie te honorowe wzmianki, naprawdę, ale może to dobrze, bo macie do powiedzenia mniej więcej tyle, ile macie do powiedzenia o, a nie, chyba mówię w zasadzie o samym Krzysztofie, ile o pozostałych, ale może to dobrze, może tak powinniśmy robić i zachęcać do obejrzenia wszystkiego, co rekomendujemy.
1331:  BFP - Ale dziwię się, że nie pojawił się tam jeden z serii, ale nieważne, no dobra, no dobra, już mówię.
1335:  BFP - Po pierwsze, zacznę od honorowych wzmianek.
1337:  BFP - To pierwsza honorowa wzmianka to jest absolutnie Mare of Easttown i nie konsultowałem się tutaj z Grzegorzem, bo to jest naprawdę niekonwencjonalny, rodzinny dramat kryminalny, tak bym powiedział.
1348:  BFP - I właśnie te relacje rodzinne są bardzo złożone i interesujące.
1353:  BFP - Kate Winslet jest wybitna, ale sama zagadka kryminalna jest też interesująca i w moim odczuciu
1360:  BFP - znakomicie rozwiązana.
1361:  BFP - To znaczy, nie wydaje mi się, że znalazłby się ktokolwiek w sieci, na forach dyskusyjnych, na reddicie, kto odgadłby, jakie będzie zakończenie.
1372:  BFP - To jest duże wyzwanie i duże osiągnięcie.
1375:  BFP - Dlaczego tak się nadziwiłem, jak słuchałem Krzysztofa, że się nie pojawiła ta pozycja?
1378:  BFP - To jest moja druga honorowa wzmianka.
1381:  BFP - Squid Game.
1382:  BFP - Squid Game.
1383:  BFP - Trochę gadaliśmy o tym serialu i trochę jest fajny.
1386:  BFP - I oczywiście życzę mu takiego sukcesu, jaki osiągnął, bo uważam, że jest w pełni zasłużony.
1392:  BFP - Pokazał, zresztą zamierzam jeszcze obejrzeć Hellbound, który także jest koreańskim serialem, że największym sukcesem w historii Netflixa serialowym będzie
1405:  BFP - seria wyprodukowana w innym kręgu kulturowym niż większość produkcji, które wychodzą na Netflixie.
1411:  BFP - Więc o Squid Game powiedzieliśmy już w zasadzie wszystko i zachęcamy do obejrzenia tego naszego materiału, w którym analizujemy Squid Game, ale no uważam, że należało wspomnieć o tym.
1421:  BFP - Wiedziałem, że Arkane się pojawi, ale nie wiedziałem, że tylko ja wspomnę o Squid Game.
1425:  BFP - Natomiast moim serialem roku
1429:  BFP - Moim serialem roku, teraz będę trochę więcej mówił, bo to jest ten główny złodziej mojego czasu, znaczy, czy złodziej czasu, no to ma tylko 8 albo 10 odcinków, a mówię o miniserii Made, sprzątaczka na Netflixie.
1447:  BFP - To jest
1448:  BFP - To jest serial, który generalnie powinien być na HBO, w sensie to HBO produkuje takie seriale, Netflix tego raczej nie robi.
1455:  BFP - I Maid stał się ofiarą Squid Game.
1458:  BFP - Znaczy Squid Game swoją kolosalną popularnością przyćmiło Maid, które wyszło w bardzo podobnym czasie, a to jest
1466:  BFP - wspaniały serial oparty na wspomnieniach kobiety, która przechodziła przez poważne trudności i problemy życiowe.
1474:  BFP - I te problemy życiowe to jest kryzys ubóstwa, to jest przemoc domowa i samotne rodzicielstwo, ale ukazane w sposób całkowicie zniuansowany, to znaczy w oderwaniu zupełnie od stereotypów.
1487:  BFP - Kiedy mówimy o przemocy domowej, w całym serialu w zasadzie nie dochodzi do żadnych rękoczynów, ale jest znęcanie się psychiczne, jest...
1498:  BFP - przemoc ekonomiczna, czyli uniemożliwianie na realizowanie jakichkolwiek swoich planów, jakichkolwiek swoich ambicji, nawet zabieranie samochodu.
1507:  BFP - Kiedy mówimy o ubóstwie, to mówimy o ubóstwie nie tylko materialnym, mówimy o ubóstwie uwagi, ubóstwie czasu, ubóstwie snu, ubóstwie kapitału kulturowego, możliwości rozwoju, bohaterki, która jest niezwykle inteligentną
1523:  BFP - zaradną i silną kobietą, a mimo to cały czas wpada w takie dołki życiowe, z których jest trudno wyjść.
1529:  BFP - I na każdy z tych dołków, które sprawiają, że czujemy się potwornie bezsilni i mimo wolnie lecą nam łzy po policzkach, na każdy z tych dołków przypada przynajmniej jedna osoba w tej historii, która pokazuje, że dobro naprawdę drzemie w ludziach i naprawdę można się na nich oprzeć.
1544:  BFP - Więc gdybym miał polecić jeden serial do obejrzenia w 2021 roku, tak mówię to, to byłoby to Made.
1552:  BFP - I teraz ja pozwolę sobie zacząć kolejne kółko i przejdę do gier i również zacznę od dwóch honorowych wzmianek.
1562:  BFP - Hitman, Hitman 3 to jest moja honorowa wzmianka.
1565:  BFP - To jest taka, ja byłem fanem Hitmana od 2000 roku, czyli kiedy wyszła pierwsza część, potem Hitman 2, Silent Assassin, Hitman Contracts.
1574:  BFP - Blood Money trochę mniej.
1577:  BFP - I te ostatnie, jakby taki reset serii i reboot, czyli Hitman 1, 2 i 3, czyli tak naprawdę trzy sezony, bo oni tak to traktowali, trzy sezony po kilka odcinków, to jest dla mnie mistrzostwo w tym gatunku sandboxowym.
1593:  BFP - trudno powiedzieć, to jest taki sandbox, trochę połączony z Immersive Simem, ale wprowadził bardzo fajną, prostą mechanikę, czy system, to nawet nie jest mechanika, to jest system scenariuszy, to znaczy nasłuchujemy, co się dokładnie dzieje na danej planszy, na danym etapie i są różne szanse na to, żeby rozegrać
1610:  BFP - dany scenariusz i osiągnąć cel postawiony w misji.
1613:  BFP - Czyli raz możemy się przebrać z jakiegoś kucharza, przyrządzić, nie wiem, jakąś potrawę i tak zatruć cel, możemy też udawać jakiegoś biznesmena, który idzie na spotkanie, możemy udawać kierowcę Formuły 1, ale możemy też się przebrać za maskotkę, która chodzi między trybunami i rozdaje hot dogi.
1628:  BFP - Masa, masa nie tylko fajnych takich pomysłowych scenariuszy, ale samych też misji i Hitman 3
1635:  BFP - no już po prostu osiągnął perfekcję, jeżeli o to chodzi, ma tam właśnie jeden taki w stylu Agathy Christie, jedną taką misję, no mniam, znaczy gra, która ma naprawdę wielki potencjał regrywalności, jak to się ładnie mówi, czyli używając polskiego słowa dla angielskiego replayability,
1653:  BFP - Druga honorowa wzmianka to Guardians of the Galaxy.
1656:  BFP - Słusznie w tym momencie otrzymuje tytuły gry roku, szczególnie jeżeli chodzi o single player, bo to jest rzeczywiście gra, która przywraca wiarę w to, że można tworzyć naprawdę fajne gry dla pojedynczego gracza.
1669:  BFP - Zresztą mnie tylko takie interesują, póki nie zacznę streamingów z wami, panowie.
1675:  BFP - Ja bym powiedział, że Guardians of the Galaxy to jest najlepszy Mass Effect, w jaki grałem od 2010 roku.
