🔴 Thrones of Delay — WARHAMMER 3 (frakcja Dawich i Imperium)
🔗 https://www.youtube.com/watch?v=httWILQnfRQ

73:  Czemu?
1603:  Oj, bierzemy złoto przysięgi, tak.
1605:  Skarbiec.
1606:  Z drugiej strony tu mamy dochody ze wszystkich budynków.
1608:  Bierzemy dochody ze wszystkich budynków.
1613:  Ta bitwa się skończyła tak szybko, że się nawet nie zorientowałem.
1615:  Miss przetrwania, oczywiście, że to bierzemy od razu.
1619:  Ale to jest super, że mamy na stałe Gotreka i Feliksa, tak rozumiem przynajmniej.
1623:  Jak stan kaca pod God of War?
1624:  Coraz mniejszy.
1626:  Dzięki temu dodatkowi jest coraz mniejszy.
1630:  Dobra, tutaj to jest też bitwa polowa.
1631:  To tutaj przyzwiemy sterowiec, moi drodzy, ale jeszcze wcześniej trzeba zrobić ważne rzeczy.
1635:  W ustawieniach kamery trzeba zwiększyć szybkość animacji, bo ja się inaczej rozindyczę.
1641:  I mnie uniewinnią.
1643:  Wrodzy bohaterowie, wyłącz.
1647:  W ogóle jutro będzie jeszcze film.
1649:  Dużo rzeczy się, moi drodzy, dzieje.
1651:  O!
1652:  Czy ja w sumie mógłbym wam pokazać miniaturę tego filmu?
1656:  Piękne jest to, że nic ona wam nie powie.
1661:  Ale tak, będzie o 16 premiera.
1665:  Ja oczywiście będę podczas tej premiery.
1668:  Więc to jest, moi drodzy, miniatura.
1673:  Tak, więc będzie zabawnie.
1675:  Dobrze.
1678:  Wszystko, wszystko.
1679:  Jeszcze tutaj możemy zrobić jedną rzecz, a mianowicie... Nieuchronny bunt, brak sprzętu odrębniczego to jest niepotrzebne, nieprzedzielony lot cię nie poruszył, szkodzony budynek nas nie interesuje, lot w granicy nie nas nie interesuje, bohater się nie poruszył, nas nie interesuje.
1691:  I tyle.
1693:  Kacpo Kratosowy minie za dwa tygodnie, jak wejdzie Gołowców w Tsushima.
1696:  O właśnie.
1699:  Dobrze.
1700:  Tyle mogę powiedzieć, że to nie będzie na pewno szkolny odcinek.
1703:  Stocz bitwę.
1705:  Ostatnio postanowiłem odświeżyć sobie God of War Ragnarok.
1708:  Pisze Dwemer ze Skyrim i z każdą godziną jestem coraz bardziej pewien, że będziesz tę grę uwielbiał.
1711:  Ja też jestem pewien.
1715:  A propos shorta, trzeba też zmienić rodziców, pisze Łukasz Mozgowo.
1718:  W pierwszej klasie, gdzie chodzi córka, koleżanki, rodzice 15 do 3 zagłosowali, żeby były zadania domowe, bo trzeba utrwalać materiał.
1724:  To jest w ogóle, ale szkoła w ogóle nie powinna na to pozwalać, żeby rodzice głosowali, ponieważ to jest rozporządzenie ministerstwa.
1730:  To jest troszeczkę tak, jakby szkoła powiedziała, dobrze, teraz głosujemy, czy będziemy przyzwalać na zabójstwo.
1736:  No więc Rada Rodziców...
1738:  stosunkiem 20 osób do jednej przesądziła, że ta jedna osoba zostanie zjedzona przez resztę rodziców.
1745:  W związku z powyższym, jak przystało na świetną demokrację, w tym momencie bardzo prosimy o wyjęcie takiego dużego garnca i robimy gulasz z tego jednego rodzica, który zaprotestował tępy, myślał, że się wywinie, a tak się nie wywinie.
1760:  No więc tak długo, jak długo nie będziemy mieli stanu prawnego pozwalającego robić takiego rodzaju rzeczy, nauczyciele, którzy pozwalają na takie głosowania,
1769:  Kajda, nie łamią prawo, ale tak naprawdę to łamią.
1774:  Standard.
1776:  Doradztwo zawodowe to swoją drogą będzie trzeba zrobić, moi drodzy, to poważna sprawa.
1781:  Mali jakiś eksperyment w old-techu, prawda?
1784:  Właśnie.
1785:  Nie, ale powiem wam, że fakt, że działa siarkowe wreszcie wyglądają jak działa, i działają, jest dla mnie piękny.
1793:  Wcześniej strzelali chusteczkami do nosa, wiecie, to było straszne absolutnie.
1801:  To jest śliczne!
1804:  A Nagle jest dość pancerny, więc... Naprawdę nieźle, naprawdę.
1810:  Dobra, co on może zrobić?
1812:  Szaleńcza amunicja.
1816:  A, okej, on może zbaf... Nie, nie może... Może zbafować, może zbafować!
1820:  O, to jest ciekawe!
1822:  To jest ciekawe, dobra.
1826:  Ten sterowiec jest za 70 sekund.
1828:  Musimy, musimy tyle, musimy tyle ich wytrzymać.
1833:  A ślicznie mówiąc, oni muszą tyle z nami wytrzymać.
1835:  To może być, to może być skomplikowane.
1839:  Wzmocnienie, wzmocnienie.
1842:  Dobra, i szaleńcza amunicja.
1854:  To jest piękne.
1856:  Negul jest podatny na ogień.
1858:  Powiem wam, że ta szaleńcza amunicja coś dała.
1860:  Nie jakoś przesadnie dużo, ale coś.
1868:  Okej, okej, okej, Slayers sobie radzą nawet.
1871:  To jest ciekawe, ja chyba nigdy nie używałem Slayersów, zabójców w znaczeniu.
1876:  Jakie są funkcje specjalnej umiejętności tej frakcji?
1878:  Na przykład przyzwanie sterowca.
1881:  Ale generalnie buff dotyczy wszystkich jednostek Daui.
1884:  Ja na razie sam odkrywam te frakcje z wami.
1887:  Pierwszy raz gram.
1889:  Uspokójcie te szwadrony śmierci.
1891:  No, no, no, staram się!
1893:  Za potężni jesteśmy, niespokojnie zaraz przegramy.
1895:  Moi, wiecie jak to jest, zawsze tak jest.
1899:  Okej, szaleńcza amunicja działa.
1903:  We demand blood!
1906:  O Boziu!
1909:  Wreszcie żyrokopter jest żyrokopterem, a nie jakimś... jakąś kupą słabą.
1916:  Sterowiec.
1920:  Co on robi?
1925:  Puziu, jest sterowiec!
1929:  Włócznia Grunniego?
1937:  Okej, czy jest dobra przeciwko jednemu celowi gromodopalacz?
1942:  Boże, to spuszcza bombunie!
1947:  To spuszcza bombunie!
1952:  Ojojoj!
1956:  Wspaniałe!
1957:  Serowiec wspaniały, rewelacyjny!
1961:  Ach, matko, kupiłem sobie Baldur's Gate 3, pisze Szymon Półtorak, nie będąc fanem systemu walki, jakieś gameplaye mnie też nie przekonywały, teraz wsiąkłem.
1968:  Tak, w to się wsiąka.
1970:  Czy ulepszeniem żyrokoptera jest hugokopter, który oczywiście i bezsprzecznie jedzie po hugolinę, frunie po hugolinę.
1980:  Łupimy, łupimy, bo potrzebujemy złoto przysięgi.
1983:  Teraz się przydaje ono.
1985:  Dobrze, dobrze.
1988:  I okupacja.
1989:  Jeśli ja się nie mylę, to będziemy mogli ten sterowiec rozwijać.
1993:  Utrzymanie minus 5%, ale czy my będziemy mogli też rekrutować w nim coś, czy nie?
1998:  To jest pytanie.
1999:  Tak!
2001:  Czyli to działa jak horda.
2003:  Werbuj mścicieli uraz.
2005:  O, to jest to, co wam mówiłem.
2006:  Potężniejsze ciut jednostki.
2008:  Zobaczmy, jak bardzo żyrokopter...
2012:  Okej, to jest żyrokopter z torpedami trollo-młotowymi.
2014:  To są te najlepsze torpedy... To, to są... To są te najlepsze... Najpotęż... Okej.
2022:  Więc on ma siłę pocisków 160, zasięg 170, a nasz?
2025:  Hehehehehehehehehehehehehehehehehehehehehehe
2037:  Ja chcę wyścicieli uraz już!
2039:  I to jak najszybciej!
2041:  Maja Dudkiewicz prosi o jamniki wsparcia, mocno się rozchorowała.
2043:  No nie!
2044:  Przed majówką!
2046:  Wszystkiego jamniczego dla ciebie zdrowiej!
2050:  Co to za... Focus!
2052:  Focus!
2053:  Focus!
2055:  Oho!
2055:  Oho!
2056:  Sony!
2057:  Sony mnie zdradza!
2062:  Zdradza!
2065:  Skandal.
2067:  Ale Krzysztof, to nie są skaweni.
2073:  Okej, ich na razie... Dobrze, uzupełnij oddziały, to jest dobre dla Dawichi, to bardzo.
2079:  Okej... Nie no, za drogi, za drogie, za drogie.
2085:  Fajnie, kogo tutaj mamy?
2086:  Będziemy z Chaosytami walczyć.
2090:  Będziesz mieć misje związane ze sterowcem, które są prosto z książki, ma się tam na górze.
2093:  Okej.
2095:  Era rozrachunku.
2097:  Ukończ era rozrachunku, żeby uzyskać efekty.
2099:  A nie, to są te przygody Malakaja.
2103:  Aaa, od piątej tury są dostelne.
2105:  Ale super, podoba mi się bardzo.
2107:  Dobra, zobaczmy z kim możemy paktować na szybko.
2111:  Pewnie z Kislevitami, nie?
2112:  I am the fist of proud Kislev.
2115:  Offend me and you offend her.
2123:  To jest, moi drodzy, jedna sztuka złota.
2129:  To już było obraźliwe.
2131:  O, Kislev chce paktować.
2132:  To jest 235 sztuk złota.
2136:  To dobrze.
2137:  W ogóle Kislev będzie miać łatwiejszy start dzięki temu, że jest ta nowa frakcja.
2142:  To mi się podoba.
2145:  Malakai Makajson, pisze Dawid Wojacki, przyjmujący rolę lormistrza, złożył przysięgę zabójcy potem jak jego sterowiec niezniszczalny.
2152:  Wybuchł podczas pierwszego lotu, a okręt niezatapialny zatonął przy pierwszym rejsie.
2158:  Czy to jest prawda?
2160:  Bo to jest przepiękne.
2161:  Na razie, Maćku, jestem zachwycony, że moi ukochani Dawid zostali zboostowani.
2166:  A jeszcze nie sprawdzaliśmy, jak jest z frakcją imperialnych.
2169:  I może sprawdzimy dzisiaj, chociaż szczerze, na razie mi się daje mi dobrze grać.
2175:  Widzisz, to jest piękne.
2176:  Malakai Makajson zatem jest bardziej pechowy od Bennetta w Genshinie.
2181:  Mamy już 104 złota przysięgi, naprawdę?
2185:  Ej, to jest... Aha, bo dostaliśmy questowo.
2187:  Dobrze.
2188:  Natomiast widzę, że w dalszym ciągu jest beznadziejny zasięg ruchu.
2191:  No nic nie poradzimy.
2192:  Teraz sobie możemy zobaczyć, jak to jest z tą rekrutacją.
2195:  No tak.
2196:  Duch Gruniego może rekrutować.
2198:  Ale super!
2200:  Weźmy sobie tych górników z ładunkami.
2203:  By się sprawdzali na razie.
2208:  I tutaj wznosimy.
2210:  Dobrze, dobrze.
2212:  Zwołanie zastępów w koszwerbunku dla jednostek piechoty.
2215:  Lecimy.
2218:  Szczecin dalej nie przeprosił za Cycarycę Katarzynę.
2221:  Tak.
2222:  Cycarycę.
2224:  Czy będę rushował Clan Molde, żeby nie zaczął się rozprzestrzeniać?
2227:  Tak, no generalnie Clan Molde i Winter Tooth to są nasze pierwsze cele.
2233:  Przybrała mi pierwsze co słyszę, to nie zatapiałem na okrę, który zatonął.
2236:  Miłe doświadczenie, pisze Magdalena.
2237:  Witaj serdecznie.
2238:  Pograłem dziś po szesnastej, podbiłem całą norskę i wybrzeże mechanika.
2241:  Sprawca jest tak mocna, że nie potrzebujesz żadnych dodatkowych miast do rekrutacji, dopóki nie będziesz potrzebować drugiej armii.
2246:  Tak też planuję, chcę cały czas bronić Krakadrak.
2250:  To mnie bardzo, bardzo cieszysz, jeżeli tak rzeczywiście jest.
2254:  I'm on it!
2256:  Pewne zwycięstwo.
2257:  Never yield!
2260:  Bardzo dobrze.
2260:  Majestic Dwarves musiał przecież grać od razu po szesnastej.
2264:  Wiadoma sprawa.
2266:  Jego miano nie dopuszczało innej ewentualności.
2268:  Wielu Dawii zginęło w tych wypadkach, pisze Dawid Wojacki, nawiązując do niezatapialnego okrętu, który zatonął oraz niezniszczalnego sterowca, który został zniszczony.
2276:  I z tego powodu wyrzucono go z gildii inżynierów.
2279:  Malakai jest jedynym zabójcą, który używa także broni palnej.
2282:  O!
2283:  Proszę bardzo.
2284:  Ale on ma przerąbane, ale on ma przerąbane!
2287:  Dobrze, tam będą przybywać, więc zrobimy sobie, moi drodzy, w ten sposób.
2290:  CANON!
