🔴 Yuan-bo zwiedza terrarium z Mazdamundim — WARHAMMER 3 Yuan-bo #2
🔗 https://www.youtube.com/watch?v=Xd5wxHcz938

193:  Witam wszystkich najserdeczniej!
491:  Co my mamy w ogóle tutaj do zrobienia?
493:  O, proszę bardzo, niebiańska administracja.
496:  Wiedziałem, że to będzie nam przyda.
498:  Dla tych z was, którzy nie wiedzą o co chodzi, Yuan Bo jest lordem Kataju, z Kataju, ściślej mówiąc, z wielkiego cesarstwa Kataju, który podbija nowy świat, prowincję nowego świata.
508:  Mówisz jak Throg z Warhammera.
510:  O właśnie, o właśnie.
512:  Nasłuch to najgorsze, co się może uszom dziać.
514:  Nie po to mam super wygłuszające słuchafony, żeby mi jakiś menel nad uchem powtarzał za mną, prawda?
519:  Nie no, czyli ja mam zrobiony nasłuch w taki sposób, że słyszę siebie równocześnie dosłownie, bo nie ma żadnego opóźnienia, ale i tak to jest strasznie dziwny dźwięk.
528:  Nie chcę tego.
529:  Możemy, moi drodzy, mieć pospieszną budowę, możemy pacyfikować, możemy wynająć rzemieślników, możemy zamienić w rzeczy.
537:  Wszystko może zrobić Yuanbo.
539:  Jest to zdumiewająca frakcja, natomiast my czekamy na możliwość stworzenia centrum handlowego albo operacji zaopatrzeniowych, ponieważ to daje busty stałe naszym osadom, jak się okazuje, i leże jaśminowego jamnika zasługuje na taki bust.
554:  Czy bogów chaosu można wielbić tańcem?
556:  Tak.
558:  Wydawało mi się, że to ty mówisz szybko, ale pani Ania we ciebie zagadała.
562:  Cudowna bałeczka.
563:  Ania Szulc już bardzo dużo i bardzo szybko mówi.
565:  I super.
566:  Po tym się poznaje, moi drodzy, też ludzi z pasją, że nie trzeba im w zasadzie zadawać pytań.
571:  Mogliby sami opowiadać.
572:  To jest wspaniałe.
574:  Jak zaczynasz większość dystankronizować, to jest sprzężenie zwrotne w mózgu, prawda?
577:  Okropność.
579:  Co to jest, moi drodzy, w tym miejscu?
580:  To jest nasz dzielny karawaniarz.
582:  Popatrzcie.
584:  On się nazywa Hatfu.
587:  To mi przypomina, nie wiem, czy pamiętacie to, ale w twierdzy Krzyżowiec były jednostki, które mówiły dosłownie hatfunajentawyr albo maulaj, mazafatumpawila.
600:  Mówili tak.
601:  Nie żartuję.
602:  Nie mam zielonego opowiedzia tylko, co to znaczy.
607:  Krzysztofie, na start ważne pytanie, bo zapomnę.
608:  Cóż to za chemia organiczna była, której nie ogarniałaś?
611:  Dziewczyna, ale chemiczka pyta.
615:  Cała.
617:  Ja nie ogarniałem całej chemii organicznej.
620:  To jest bardzo proste, moi drodzy.
623:  Czy Imperium Katajskie przejmuje tereny wojnami cenowymi na węgiel, stal i zabawki elektroniczne?
628:  Wnosząc po tym, jak się rozpanoszyli tutaj, jest to bardzo możliwe.
633:  To mi przypomina, że powinniśmy z nimi paktować.
635:  Uuu, konfederacja.
637:  To nie jest coś, co jest popularne ostatnimi czasy.
640:  Ha, ha, ha, ha.
642:  Ale nie mamy gaśnicy.
643:  Co teraz?
644:  Spróbujemy zawrzeć z nimi sojusz wojskowy.
647:  Jak widzicie, konfederatów łatwo jest przekupić.
649:  Wystarczy 2413...
652:  Już są nasi.
654:  Stać nas.
657:  Pytanie, czy tak samo jesteśmy w stanie przekupić Ziaominga.
660:  Ziaoming jest już przekupiony.
663:  Myślę, że w imieniu całego czatu mogę poprosić o błaganie pani Ani o powrót i drugą część rozmowy.
667:  Nie musicie błagać, ja to planuję absolutnie.
670:  Mówisz z punktu widzenia Rosji?
672:  Tak, tak.
673:  Dwa tysiące i wiesz, już Chiny są nasze.
677:  Czy się stoi, czy się leży?
678:  Dwa tysiące się należy.
680:  To jest mądrość wzięta z ZSRR-u, jedna jedyna, która nam została po tym wspaniałym tworze politycznym i jak widać dalej się sprawdza.
687:  Czy to jest wszystko, co możemy zrobić?
689:  Czy możemy jeszcze nauczyć karawaniarza, co chodzi i powtarza, gdzie ma iść?
692:  Nie.
693:  Hatfu?
694:  Hatfu podróżuje wciąż, moi drodzy.
698:  Xiaomi, a nie Xiaomi?
700:  Oczywiście, że to jest Xiaomi, ja się pomyliłem.
705:  A propos liczenia proporcjami, to właśnie nas chemiczka nauczyła tak liczyć, pisze pan Skorpion, jeszcze się odwołując do rozmowy z Anną Schulz.
710:  Proszę bardzo.
712:  Czego chcesz jeszcze?
713:  Dołącz do wojny?
715:  How about spierdalaj?
717:  Dlaczego mam dołączyć do twojej wojny?
719:  Radź se sama!
722:  Co za skandal.
726:  Pyrrusowe zwycięstwo?
728:  My ass.
730:  Dobrze, moi drodzy, ale na spokojnie, czy on ma tutaj coś, czym jest w stanie nam zagrozić?
736:  Moim zdaniem nie.
737:  Więc pyrdusowe zwycięstwo my ass.
743:  Nie ma dowodów, że konfederaci wiedzieli o wykupieniu swych ziem.
746:  Jest nagroda 40 tysięcy monet dla tego, kto taki wskaże.
749:  Nigdy nie pytaj Sybirlandu, za ile sprzedali Alaskę.
753:  Jak dobrze, że dziś z team przy Marcin Mazurek.
755:  Nie dość, że nie uzyskaliśmy grantu na pisanie artykułu, zabrakło jednego punkciku, a potem dostałem poprawki do swojego artykułu naniesione ręcznie.
761:  Moi drodzy, Marcin Mazurek zasługuje na najserdeczniejsze jamniki wsparcia i ja się spodziewam zobaczyć ich mnogość na czacie.
768:  Granty, których się nie dostaje, to jest moje specialité de la maison, czyli specjalność domu, jak mawiają żabojady.
776:  No i co, gdzie jest moja gra?
777:  No przecież to jest jakiś skandal, czemu się nie wyświetla Warhammer?
781:  Dziękuję.
784:  22 punkciki mamy wiatrów magii.
786:  Postaramy się skupić magię.
789:  Proszę bardzo, widzicie?
791:  Defekacja popłaca.
793:  Skupiliśmy magię, mamy 31 punkcików.
796:  To jest adekwatne równocześnie, ponieważ punkciki, moi drodzy, jak wszystkie inne systemy metrycznego nadzoru, pochodzą z dupy.
804:  Dobrze, co tutaj jest?
805:  Wojownicy Saurusów z tarczami.
807:  Nie przeszkadza mi to.
809:  W ogóle dobre są poziomy, nawiasem mówiąc, głośności.
811:  Dajcie mi znać.
813:  Tutaj są... O, tu jest kohorta skinków z oszczepami.
815:  Wiecie, co zrobimy z kohortą skinków z oszczepami?
818:  Wyślemy na nich...
820:  Nasze lwy.
821:  A, dla tych, którzy nie byli ostatnio, moi drodzy, to są nasze przepiękne, kitajskie lwy.
826:  Spójrzcie, jakie one są przepiękne, kitajskie.
828:  Dlaczego lwy zaczęły ze sobą kopulować?
831:  Przestańcie kopulować ze sobą.
832:  W momencie, w którym chcę czatom pokazać, jakie jesteście piękne, zaczynacie kopulować.
837:  To jest skandal.
840:  Get a room, you two.
842:  Proszę bardzo.
843:  Czy to jest kitku?
844:  To jest jamniku, moi drodzy.
847:  Yukisane pisze, że ją proporcje nauczyła pani od polskiego.
849:  Żartujesz.
850:  Cinch, Skaveni czy Nekromanci pyta Devourer of Gods.
853:  Skaveni.
854:  Zawsze Skaveni.
855:  Kitajskie lwy są kitajskie.
857:  Tak jest.
858:  Są kitkowe.
859:  Kitkowe, kitajskie jamniki.
861:  I wszystko jest jasne.
862:  Nie, chcę przybliżyć kitkowego jamnika.
864:  Proszę bardzo.
865:  Wspaniałe są.
866:  Nie wiem tylko dlaczego te się nie ruszają.
868:  Albo ruszają się rzadziej.
871:  Jamnitku bojowe.
872:  O, jamnitku.
873:  To jest piękne, czerwony lisie.
874:  To jest piękne.
875:  Jamnitku.
877:  Mamy jeszcze to, to znaczy kruki cesarzowe, które się do niczego nie nadają.
880:  W związku z powyższym damy je tutaj.
882:  Mamy również strzelców.
884:  Strzelcy zrobią to, co strzelcy umieją najlepiej.
887:  Wiecie co?
888:  Strzelać.
889:  I będziemy bardzo złośliwi.
891:  Chociaż nie wiem, czy to jest mądre.
895:  Będziemy mądrzejsi.
897:  O, tak zrobimy.
899:  Tutaj będzie on, żeż?
901:  On ci tu będzie.
902:  I wiecie, co on rzuci?
903:  Sieć Amintoka rzuci.
904:  Na wszystkich.
906:  O Boże, to zrobimy.
907:  Tak.
909:  Są majestatyczne te lwy?
910:  Tak.
911:  Jest to prawda.
913:  Dobrze, teraz muszę szybko klikać.
914:  To się uda.
915:  Mam nadzieję.
917:  Mam nadzieję.
921:  Helena pisze, że ją o proporcji nauczyła babcia, która uczyła matematyki, już wtedy emerytowana, miała bardzo dużo cierpliwości.
925:  No proszę, dowiwarium z nimi wszystkimi.
929:  Takie rzeczy chcę słyszeć.
932:  Dobrze, walnimy sobie ich w jednej grupce.
934:  Co oni mają?
934:  Zwierciadło balistyczne będzie dobre do odbijania strzał, a tutaj jest specjalna zdolność oddech na ekscytowego lwa.
941:  Martwi mnie natomiast ta liczba wrogów tutaj.
944:  To mnie martwi.
947:  Może będziemy sprytniejsi, moi drodzy, i zrobimy tak.
950:  Wtedy... Albo nie.
953:  Nasza poprzednia taktyka była słuszniejsza, nie była tchórzliwa.
959:  Dobra, i teraz sieć Amentoka.
962:  Mamy tylko pojedynczą sieć Amentoka.
963:  Niedobrze, niedobrze, niedobrze.
965:  Strzelać w nich, strzelać w nich.
967:  Bardzo dobrze, bardzo dobrze.
972:  Strzelać mi w nich!
975:  Są niebezpieczni.
977:  Dobrze.
978:  I teraz tak.
978:  Rzucamy zakręciami.
986:  Dobra.
987:  Zwierciadło balistyczne.
988:  Zwierciadło balistyczne.
990:  Wiecie co?
991:  Zwierciadło balistyczne także na te ptaszory.
994:  Zwierciadło balistyczne na wszystkich, którzy strzelają.
1000:  Dobra.
1001:  Czy to działa?
1002:  Czy nasi kusznicy nie są rozbijani?
1005:  Nasi kusznicy są rozbijani.
1009:  Ale to nic.
1010:  Nic to.
1010:  Wiecie co jest wspaniałe?
1014:  Watch this sheer destruction!
1029:  Do widzenia.
1032:  Do widzenia.
1036:  Do widzenia.
1042:  I to jest, moi drodzy, piękne.
1044:  Tak wygląda czyste piękno.
1048:  Wyeliminowani.
1052:  Dobra.
1052:  Kusznicy, strzelać!
1055:  Tego chcieliśmy.
1056:  Bardzo dobrze.
1057:  Gdzie jest jeszcze jakieś wolne zaklątko?
1059:  Tu!
1060:  Strzelcy, strzelajcie w samych siebie.
1063:  Piękna i wspaniała kometa Cassandory.
1065:  Prawdaż.
1066:  Prawdaż, moi drodzy.
1068:  Zaklęcie komety Cassandory jest najlepsze właśnie, jak jest takie skupisko wrogów.
1071:  Cudowne.
1072:  Wiecie, co myślę?
1076:  Wiecie, co jest lepsze od jednej komety Cassandory?
1079:  Dwie komety Cassandory.
1081:  Viru, Viru.
1089:  Aaa... Nawet nasze jedno lwiątko możemy wycofać, żeby przypadkiem się nic tutaj nie podziało.
1095:  Kusznicy, przestańcie atakować wręcz, no przecież to jest jakaś żenada.
1100:  Za każdym razem, jak rozpoczynasz scena z Warhammer'a, mam przed oczami i uszami twoją reakcję na kule ognia, leczącą przez całe polegity, podczas pierwszego scena z Crosswindów, chaos.
1106:  Oj tak, to była legendarna rzecz.
1108:  Wiecie, co my jeszcze mamy?
1110:  Więcej zaklęć.
1110:  Ponieważ było bardzo mało zaklęć.
1114:  Jak wszyscy cudownie ginął.
1117:  Ooo, wielka żaba się poddaje, popatrzcie.
1121:  Jakaś śmieszna wielka żaba.
1123:  Wiecie co jest śmieszniejsze?
1124:  To, że mam sieć Amentoka.
1129:  Mam moralny dylemat, pisze jednoręgim bandyta.
1131:  Czy warto kupować Warhammera III?
1133:  Wiem, że dwójka na najwyższej detalach sprawia, że mój komputer wyjeb... odlitość.
1136:  Wciąż nie jest to tak zoptymalizowane, żebym ci z czystym sumieniem polecił, wiesz?
1142:  No, łamie się.
1143:  Bardzo bym chciał, żeby było inaczej, ale niestety, no nie mogę ci z czystym sumieniem polecić.
1148:  Po prostu będziesz miał problemy duże z odpaleniem gry.
1152:  Rysław grał w VR w Half-Life'a 2.
1154:  Właśnie widziałem.
1155:  Fajnie to wyglądało, powiem wam.
1156:  Chociaż wciąż graficznie, no, poniżej moich oczekiwań.
1160:  O, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie.
1164:  Wielka żaba się zatrzyma.
1168:  Wielka żaba.
1171:  Dobrze, i teraz spróbujemy Wielką Żabę zachęcić do tego, żeby Wielka Żaba nie uciekała do lasu.
1177:  Ponieważ nie mamy jak strzelać do lasu i to jest smutne.
1183:  Martwię się o Krzysztofa, pisze Paweł Rusina.
1185:  Nie musisz, to jest magia, to jest mój żywioł.
1189:  Dzisiaj zrobimy podobną akcję ikit przy bitwie zasadzkowej z Panikowem.
1191:  Zapomniałem o jego atomówce.
1193:  Oj, oj, oj, oj, oj, oj, oj, oj.
1196:  Widzicie?
1196:  Żaba się wycofuje z lasu.
1198:  Powiedział nikt nigdy.
1202:  Chodźcie.
1203:  8 sekund do sieci Amentoka.
1205:  Sieć Amentoka to jest potężna rzecz, jak macie Kometę Cassandory jednocześnie.
1208:  Wspaniałość.
1209:  Pal to jak prawdziwy mag?
1210:  Chciałbym.
1212:  Ale... Natomiast musimy tutaj, moi drodzy, się przemieścić tak, żeby żaba mogła być dosiężona przez nasze zaklęcie.
1219:  Oj, nie, nie, nie, nie, nie.
1220:  Żaba!
1221:  Żaba!
1222:  Żaba!
1223:  Won z lasu!
1227:  Moi drodzy, będzie trzeba użyć drugi raz zdolności Czarski Egzekutor, obawiam się, jak tak dalej pójdzie.
1231:  Czy zdołaliśmy wykurzyć żabę z lasu?
1236:  Prawie.
1238:  Żaba nie chce z nami współpracować.
1240:  Biedna żaba!
1241:  Jaka biedna żaba!
1242:  To jest okropny Lord Mazdamandi, który nam tak strasznie złoił dupsko ostatnim razem, że nie macie pojęcia.
1248:  Dobra.
1250:  Dwójeczka tutaj.
1252:  Powiedział, każdy w toalecie.
1254:  Równocześnie niezmiennie bawi mnie to, że Juanbo krzyczy A BETTER POSITION!
1259:  Zero skojarzeń absolutnie.
1260:  Oj, oj, oj, oj, oj, oj, oj.
1265:  Taka psiklość.
1268:  Lord Mazdamandi nie żyje.
1271:  Proszę bardzo.
1272:  Mówiłem, że będzie spektakularne zwycię... Mówiłem?
1278:  Czy ja mam jakiś stosowny?
1279:  Tak, oczywiście, że mam.
1290:  Dzisiaj obchodziłem Międzynarodowy Dzień Herbaty.
1292:  Naprawdę Froget?
1293:  Cudowna wiadomość.
1294:  Kto ma herbatę na żadach?
1295:  Mam nadzieję, że wszyscy.
1298:  Nie minęło 20 minut, mamy drugi raz wątek fekalny.
1300:  Podoba mi się.
1302:  Tak to bywa, moi drodzy.
1303:  Tutaj się nie da inaczej.
1304:  Armia uzupełniona o 1%.
1306:  To jest żenada.
1307:  Krzysztof zamknął żabkę.
1310:  Tak jest, moi drodzy.
1311:  Otwieramy zamiast żabki netto, ponieważ netto ma w logo psa.
1316:  To jest chyba terrier.
1318:  Jest herbatka?
1319:  Bardzo dobrze.
1320:  Z cytryną i imbirem?
1321:  Mnie by się przydała, bo ja mam cały czas zajęte zatoki, to jest jakiś dramat.
1325:  Milky Olung z Five O'Clock?
1327:  Szanuję.
1328:  U mnie jest migdała i wiśnie z Five O'Clocka.
1330:  Five O'Clock powinien sponsorować ten kanał, nie oszukujmy się.
1335:  Och, ja mam kolację.
1338:  Oj, oj, dzisiaj na kolację salsa rybna.
1340:  Zwykle to mi przypomina salsa rybna.
1341:  Wszystkie questy o salsie z Genshin Impact.
1346:  Ale było ten piąty akt, jak nie widzieliście.
1349:  Jezus Maria, coś wspaniałego z Genshina.
1352:  Nie żabka, tylko słoń.
1353:  Proszę bardzo, Jesz z Erlenwaldu pamięta naszego mema z Rings of Power.
1358:  Przepraszam, Rings of Power.
1360:  Swoją drogą, wiecie, że będzie drugi sezon i wiecie, że będziemy się wyżywać ponownie.
1365:  Otóż będziemy.
1367:  Ten nasz Shan Hu Su ma zdolność blokady armii.
1371:  Dlatego też, ponieważ chcemy, żeby był trzeci dowcip kałowy...
1375:  Ponieważ on blokuje, moi drodzy, to będzie nasz Lord Konstypator.
1383:  Lord Konstypator jest w stanie zapchać każdą armię.
1389:  Wszystkie latryny jest w stanie zapchać w danej armii.
1392:  Popatrzcie, jaki żenujący przeciwnik.
1394:  Pokonamy go.
1398:  Pyrrusowe zwycięstwo.
1400:  My ass.
1406:  Salsa rybna daje vibe tematu przewodniego jakiegoś odcinka i pingwinu z Madagaskaru.
1410:  Poddaję się, muszę oczyścić nos.
1426:  O, od razu lepiej.
1430:  U mnie dobra gra zaczyna się od muzyki, dla mnie gra z grafiką 0 na 10, a z dobrą muzyką jest 10 na 10, a przynajmniej 9 na 10.
1436:  Gerwazy, użyłeś za dużo cyfr.
1438:  Krzysztof Dyskalculik nie rozumie.
1441:  Krzysztof, aż poczułem w Bydgoszcz.
1446:  Czeska IKEA reklamuje się za pomocą jamnika.
1448:  Zatrzymać stream.
1453:  Gdzie?
1454:  Jak?
1455:  Reklama.
1466:  Czy to jest z tego roku?
1467:  Nie, to jest 2019 Musimy po angielsku Ikea Dachshund Add Dlaczego ja tego nie mam?
1479:  Kiedykolwiek, ostatni miesiąc Moi drodzy, nie ma Jestem zasmucony Przynajmniej ja nie widzę
1491:  Wchodzę na strumyka, Krzysztof gada o zapchanych latrynach.
1493:  Każde wojsko ma problem z zapchanymi latrynami, moi drodzy.
1497:  Nie należy dworować z zapchanych latryn.
1501:  Każdy generał musi uwzględniać problem zapchanych latryn.
1505:  Każdy.
1506:  Trzeba po czesku.
1508:  Świetnie, że umiem czeski.
1510:  Doskonała wiadomość.
1513:  Nie, ale tak, jeżeli chodzi o muzykę, moi drodzy, to rzeczywiście, poważnie mówiąc, muzyka w grach musi być.
1519:  Ja nie mam imersji bez muzyki w grze.
1521:  Jak jest gra na niemo, to jest tragedia.
1524:  A jest świetna muzyka w Warhammerze swoją drogą.
1528:  Przeczytałem jeźdźcy z ognistymi bobasami.
1532:  To ci, prawda?
1534:  Jeźdźcy z ognistymi bolasami.
1536:  Byli tacy gdzieś.
1538:  Tak, z ognistymi.
1539:  To są jeźdźcy z ognistymi bobasami od teraz, moi drodzy.
1543:  Co powiesz o formie żeńskiej na gościa?
1545:  To znaczy gościa?
1547:  Ja wolę gościni.
1549:  Jest o wiele lepsze.
1549:  Magini, gościni, rzeczy.
1552:  Poetyka popkultury pisze, że Krzysztof nadal nie zerknął na analizy poetyki popkultury, mimo że oblecał, że zerknie.
1557:  Leniwy Krzysztof.
1558:  Jest to prawda.
1558:  Nie zerknąłem.
1559:  Przepraszam.
1560:  Ale mój czas ograniczą.
1563:  Ja niestety bazuję na tym, że moja karta subskrypcji jest tak zawalona, że nie nadążam z nadrabianiem rzeczy.
1572:  JednorękiPenta pisze, że poczeka do upgrade'u.
1574:  Moi drodzy, tak w ogóle jeżeli chodzi o Total War'a, to ledwo wczoraj, dzisiaj wyszedł długi list od twórców Total War'a z przeprosinami dla fanów.
1589:  bardzo długi.
1591:  Bo pamiętacie, że ja nawet nie grałem w Warhammera III i to nie było tylko dlatego, że były inne gry, ale dlatego, że po prostu to, co się działo w patchu Shadows of Change, to była tragedia.
1599:  Ja miałem problemy z odpaleniem gry.
1601:  No więc mają podobno
1604:  podobno, zabrać się i zmienić rzeczy.
1606:  I mamy dostać darmowy dodatek, wszyscy, którzy kupiliśmy Shadows of Change, i w tym darmowym dodatku mają być dodatkowe rzeczy i dodatkowy content, a sprawa z Faraonem jest tak, tak straszliwie kontrowersyjna, że Creative Assembly zrobiła coś, czego nigdy nie zrobiło.
1624:  Nie dość, że obniżyli kwotę gry, to jeszcze stwierdzili, że będą zwracać ludziom do portfelu Steamowego.
1632:  Legend of Total War miał o tym cały film swoją drogą.
1636:  Ikea... Ikea Jezefcik?
1639:  Jezefcik to jest jamnik?
1641:  Co wy mówicie?
1642:  Ja potem to... Ja już się nauczyłem, żeby takie rzeczy wpisywać.
1647:  Inaczej.
1650:  W dalszym ciągu nie ma, moi drodzy.
1652:  Niestety.
1653:  Jamnika.
1654:  Chciałbym dostać link.
1657:  Rymester pisze, że dzięki filmom polubił Zajmek Inni, brzmi wytwornie.
1660:  Tak, tak, oczywiście.
1661:  Gościa jako... żeńska forma gościa jest, jak sama fleksja wskazuje, myląca.
1669:  Wpisałem Wyn to i wyszedł mi po prostu zwykły jamnik.
1672:  Taki jamnik mi wyszedł, nie?
1674:  Czyli ten, którego ja mam.
1676:  Dobrze.
1679:  Dlaczego Iwan, bo sepleni?
1681:  As we win...
1683:  Jestem you one boy seplenie.
1685:  Czemu seplenie?
1686:  Przestań seplenić.
1687:  Widzicie, to jest to, co powinien dobry nauczyciel zrobić.
1689:  Jak słyszy ktoś seplenie, powiedzieć przestań seplenić i my od razu poruszeni formą tego nakazu przestajemy to robić.
1696:  Proste?
1697:  Edukacja jest banalna.
1699:  Trzeba w YouTubie to wpisać, mówicie.
1701:  Ostatnia szansa.
1702:  Ostatnia szansa na zrehabilitowanie się Krzysztofa.
1706:  Sprawdzimy.
1712:  W dalszym ciągu tego nie widzę, moi drodzy.
1715:  Chyba, że to jest... Stop!
1718:  Dwa miesiące temu.
1722:  Jamnik!
1727:  Jamnik!
1737:  Jamnik!
1739:  Ojojoj!
1743:  Jaki Jamnik!
1747:  Wspaniały!
1748:  To jest odpowiedni fotel dla Jamnika.
1755:  Jaki Jamnik!
1756:  Wspaniały!
1757:  To jest jakiś inny pies.
1758:  Jak?
1759:  Ooo!
1761:  Wspaniały!
1761:  Zrobiliście mi dzień tym czat.
1763:  Bardzo, bardzo dziękuję.
1764:  Przepraszam, że nie znalazłem od razu.
1768:  Wspaniały jamnik.
1769:  A, od razu wrzucę wam link.
1771:  To jest do dodania do ulubionych.
1773:  I natychmiast proszę zasubskrybować kanał Czeski Ikei.
1777:  Nie interesuje mnie, że nie chcecie oglądać kontentu subskrybowanego przez 10 tysięcy osób kanału Czeskiej Ikei.
1785:  Tu jest jamnik.
1786:  Należy subskrybować.
1788:  Arcykapłanie Dzikich Bobrów dziękuję za 17 miesięcy wsparcia.
1791:  Wielka Tama 17 miesięcy ślepu ustawieństwa.
1794:  Jest to prawda.
1796:  Positioning is all.
1799:  Jak wiecie, już ustaliliśmy, że Yuan Bo jest niesamowicie znarowiony i mówi na przykład a better position albo a position is all.
1812:  Ja tego nie wymyśliłem.
1817:  To jest lepsze, to jest lepsze od Izabeli von Karsztajn mówiącej SWIFTLY QUICKLY SWIFTLY QUICKLY Dobra, to ja może się zmienię w smoka
1848:  Aaa, beka z głupiej żaby!
