🔴 Bear with me, niedźwiedź ze mną — WARHAMMER 3 Kostaltyn #2
🔗 https://www.youtube.com/watch?v=yjpBzYQVOcw

34:  Szybko ruchnij.
857:  Ojczyzna została wezwana.
859:  Patrycja pisze, że pierwszy raz na live'ie.
861:  Moi drodzy, wszystkiego jamniczego dla Patrycji.
863:  Witamy serdecznie, możecie wysłać jamniki, jeśli je macie.
867:  Zgodnie z naszą starą tradycją, chaos is a ladder.
869:  Oczywiście, moi drodzy, chaos jest drabiną i ja liczę na to, że nasi przeciwnicy chaosycy spadną z tej drabiny i sobie głupi ryj rozwalą.
878:  Taki jest plan.
879:  Uszkodzony budynek.
881:  W sumie możemy zostawić sobie tę część norski, bo czemu by nie?
888:  Czemu by nie?
889:  Mamy też mod wgrany dla tych z was, którzy się interesują tymi tematami, żeby były lepsze garnizony troszeczkę.
894:  Nazwij bohatera Dragon of Dogmatus, dupus drugi.
899:  Nie jestem pewien, czy chcemy upamiętniać Dragon z dogma.
903:  Krzysztof, wiesz co chcę tutaj napisać, do czego cię nawaliasz, pisze GenGreyman.
906:  Ja wiem, ja wiem, ja wiem.
909:  Dlaczego on mówi drużyna po polsku?
911:  To jest taki ukłon, Szymonie, dla nas.
914:  bo Kislev za bardzo był zrusyfikowany i teraz jest element polski wreszcie w Kislewie, bo Kislev to jest taka pansłowiańska frakcja, która ma obejmować wszystkie ludy słowiańskie i bardzo się cieszę, że akcent polski to jest już nie tylko husaria na niedźwiedziach, bo jest coś takiego, ale także... ale także... ale także... ale także...
943:  Drużyna.
944:  Dziękuję.
946:  Sprawdźmy, jak jest z dyplomacją tradycyjnie.
948:  Czy możemy z kimś paktować?
949:  Teoretycznie moglibyśmy paktować ze Złotym Dagonem.
952:  Nie, zły pomysł.
954:  Zacząłem grać w Genshin'e przy Oldor X. Dawno się tak nie bawiłem.
958:  Widzicie?
959:  Genshin II.
960:  Dragon's Dogma.
962:  Gdzieś tam niżej.
963:  Dlaczego za późno zrobiłem cenzurę?
965:  Nie wiem dlaczego.
966:  Lapaciu, dziękuję za prezent.
967:  Proszę bardzo.
968:  Jak można tak cudownie nadążać za czatem, grać i mówić do tego?
972:  Ale prewiz to jest, wiesz, praktyka, którą się człowiek szlifuje w toku zajęć, tak?
979:  Że na zajęciach muszę nawet robić coś trudniejszego, to znaczy ja sobie wykładam i mówię o jakichś straszliwych rzeczach, a równocześnie ludzie się na przykład kłócą między sobą albo polemizują z wykładem, co jest zajebiste zawsze.
991:  Co jeszcze możemy uczynić tutaj?
993:  Nie mamy niestety, moi drodzy, żadnych Atamanów.
995:  Jesteśmy Atamano... Atamano ubodzy.
1000:  Czyli w grze to jest normalne, myślałem, że to jakaś TTS jakoś to zrobiła.
1002:  Nie, nie, tutaj jest panslawicka frakcja.
1005:  Krzysztof gra w młotka.
1006:  Tak jest, Anela, tak jest!
1010:  Panu Słowiańsku, ale ona się rosyjska, żeby nie było całkiem rosyjska, walniemy w husarię.
1014:  No trochę tak jest Rapture, ale z drugiej strony im więcej tych akcentów polskich, tym lepiej.
1018:  I wiecie, dobrze, bardzo dobrze, że świat amerykański zaczyna rozumieć, że nie ma nic fajnego w promowaniu tej części narodów słowiańskich.
1026:  Poczekajcie, wyłączę moją świeczkę.
1032:  Krzysztof może... Krzysztof może i jest skąpy, ale ponadto jest krakusem, w związku z powyższym wyczerpywanie baterii niedobre.
1040:  Proszę bardzo, teraz zobaczycie jak bardzo, jak bardzo ich rozjedziemy.
1044:  Jak bardzo ta, jak bardzo ta armia jest doskonała.
1050:  Czy zagrać drugi raz Baldur's Gate, czy troszeczkę, troszeczkę za dużo pamiętam jeszcze z Astro Amy, nawet ja z tamtej gry.
1057:  Nie mam czasu na granie, więc przynajmniej aż popatrzę jak Krzysztof gra, pisze Borowiczek.
1060:  Taki jest układ na tych live'ach, moi drodzy.
1063:  Drużyna z rosyjskiego, nie z polskiego.
1065:  Drużyna!
1066:  To jest drużyna wyrażona, drużyna!
1068:  W życiu, w życiu.
1069:  Czesi się do Kislewu nie przyznają, bo Czesi zawsze bardziej byli na zachód, moi drodzy, taka prawda.
1075:  Mojej drodzy, no zawsze się może noga powinąć, ale pamiętajmy, żeby deweloperów też oszczędzać w takich sytuacjach.
1088:  Trochę tak jak daliśmy kredyt zaufania CD Projektowi Red.
1091:  Hmm, nie lubię tej fortecy, ale chyba nie lubię jej bardziej bronić, niż ją atakować.
1097:  Teraz tak, chosen drużyna teoretycznie... Nie, oni to naprawili!
1104:  Oni to naprawili!
1106:  Miała być regeneracja dla całej armii.
1109:  Wszystko patchują, moi drodzy, co przynosi radość graczom, jest natychmiast patchowane.
1113:  No przecież to jest jakiś dramat absolutny.
1115:  Dobra, lecimy zajmować wszystko, co się da.
1120:  Chosen drużyna.
1123:  Okej.
1125:  Jedna grupa, druga grupa.
1128:  Trzecia grupa.
1131:  Trzecia grupa pójdzie tutaj.
1132:  I czwarta grupa także.
1135:  E, e, e. Swoją drogą, ludzie, Capcom jest wyłączony z wyrozumiałości.
1140:  Tak, są pewne rzeczy, moi drodzy, które są tak bezczelne, że nie ma co litować się nad tym.
1147:  Nie no, naprawdę.
1149:  Poza tym kapką to jest korpo już na tym etapie.
1156:  Dobra.
1157:  Teraz czy nasze... czy nasze... Nasze sanie to nie są dobre, powiem wam, do zdobywania fortec.
1167:  Są nawet bardzo złe do zdobywania fortec.
1170:  Ja nie zrobiłem czasem katastrofalnego błędu, jak zawsze.
1174:  Tak, bo nas ostrzeliwują w tym momencie.
1177:  Różowe strachulce Cincha.
1181:  Naprawili kilka dni temu tę regenerację.
1183:  To wiele zmienia.
1184:  Przestaje być nasza armia teraz potężna.
1187:  Może go będziemy w stanie jakoś wywabić.
1191:  Czy głupi Ataman to jest Atuman?
1192:  Tak.
1194:  Nasz Ataman będzie nazwany Atumanem, jeżeli mu nie wyjdzie to co ja chcę, żeby mu wyszło.
1198:  Dobrze, kiedy ma... Może tędy mamy lepszy tutaj wjazd.
1201:  Dobra, tak zrobimy.
1204:  Tak zrobimy, moi drodzy.
1206:  Ależ mnie to drażni, że... Widzicie, i to jest to.
1209:  Naprawiają błędy, nie te, które są błędami wydejnościowymi, zauważcie.
1214:  Teraz się oberwie Creative Assembly.
1216:  Jeżeli tylko coś sprawia, że gracze mają więcej frajdy, to od razu.
1225:  Straszne.
1227:  A na Horizona też, moi drodzy, trzeba było ponarzekać, przypominam, ponieważ Horizon niestety nie wprowadził tylu innowacji, ile mógł, a mógł.
1236:  Więc czemu należałoby to oszczędzać?
1238:  Ja w ogóle nie rozumiem ludzi, którzy oszczędzają i deweloperów, i filmowców, i... O nie, tylko nie uraź nikogo krytyką, tylko nie to.
1247:  A tam, a tam.
1250:  A potem jest tak, że Krzysztof ma rację, bo wychodzi nowa wersja gry i nagle magicznie są poprawione te błędy.
1257:  Niesamowite.
1259:  Ciekawe dlaczego.
1260:  Może dlatego, że różni ludzie na to zwracają uwagę.
1264:  Capcom zawsze był korporacją.
1265:  Ja pamiętam, jak Angry Joe się pierdzielił z Capcomem, żeby uznali mu jego grę figurkową, którą robił.
1271:  Dajcie spokój.
1273:  Bastion Północy Prag jest nawiedzonym miastem, które odparło wiele razy na jazdę chaosu, pisze Joglol.
1278:  Pod fortesą miasta Prag nocą wyjął tysiące dusz i obrońców, a może i coś więcej.
1282:  Tam wyjął wszyscy, którzy chcieli, żeby gra singleplayerowa była zbalansowana.
1288:  Ooo, zbalansujmy grę, bo nie rozróżniam multiplayera od singleplayera.
1294:  Zbalansujmy ją!
1297:  Dramat.
1300:  Poczekaj na innowacje.
1300:  Jak widzisz, są łuczka z horizonie, czyli będą jednak.
1303:  To dobrze, to dobrze.
1304:  Widzicie?
1305:  Zajmujemy, zajmujemy mnóstwo miejsc.
1308:  Kto nas tutaj atakuje?
1310:  Dobrze.
1310:  I teraz będziemy w stanie ich odizolować troszeczkę i wystrzelać jednego po drugim.
1314:  Taki jest przynajmniej plan.
1317:  Tylko mam wrażenie, że te stanie są strasznie wolne.
1320:  To mnie troszeczkę martwi.
1322:  O, dobrze, dobrze, dobrze, dobrze.
1323:  Deminetki, znaczy demonetki już nas atakują.
1326:  Tak, tak, tak.
1326:  Bardzo dobrze, bardzo dobrze.
1329:  Bardzo dobrze, teraz wy tutaj przybywajcie i widzicie, dzięki temu mamy jakąś tam przewagę taktyczną nad nimi.
1336:  A tak jakbyśmy walczyli z nimi skupionymi w tym miejscu, mielibyśmy małe szanse.
1341:  A tutaj ropuchy już giną, jedna po drugiej.
1347:  Dobra.
1350:  Dobrze, ropuchy się nami zainteresowały.
1360:  Demonetki nie mają z nami żadnych szans tutaj.
1363:  Dobrze.
1365:  Gdzie jest nasz bohater, Lord?
1367:  Aha, tutaj, za bradziarza.
1371:  Tak tylko powiem, że w świadomości społeczeństwa rosyjskiego w XIX wieku pan Slavitz był utożsamiany z dominacją Rosji nad innymi narodami.
1377:  No, też to te echa do dzisiaj, moi drodzy, w różnych przemówieniach demagogów rosyjskich się pojawiają.
1387:  Dobra, co tutaj się dzieje?
1388:  A, demonetki giną.
1389:  Mówiłem, że zginą.
1395:  Możemy tego użyć.
1397:  Czemu by nie?
1398:  Ehehe, głupie ropuchy.
1402:  Ale czekajcie, tu są różowe strachulce Cincha, to my wyślemy na nie całą czwartą drużynę.
1407:  Drużynę?
1409:  Będzie trochę nowe rzeczy w Horizonie.
1410:  Dla mnie Forbidden West to świetny sequel, bo poprawia poprzedniczkę nie wiadomo jakiej rewolucji mechanika.
1415:  To cieszę się w takim razie.
1416:  Gramy, moi drodzy, na pewno nie będziemy porzucać Horizona.
1419:  Ja rzadko porzucam gry.
1420:  Dla tych z was, którzy byli wczoraj na streamie z Dragon's Dogma i się dziwią, no to mnie się to zdarzyło pierwszy raz w życiu, żeby grę porzucić tak szybko po odpaleniu.
1428:  A już na streamie to w ogóle.
1429:  Zresztą wiecie, było coś, nie wiem, 1100-1200 osób.
1434:  Teoretycznie byłby to ciągle przez parę tygodni się tak nabijać, ale ja właśnie uważam, że nie ma sensu.
1438:  Nie ma sensu dla, wiecie, taniego rechotu grać w grę, która nie sprawia frajdy.
1446:  Nie ma to najmniejszego sensu z mojej perspektywy.
1449:  Dragon's Dogma, czyli do dupy podwójny.
1451:  Tak.
1453:  Do dupy duplex, bo duplex łacińskie zawiera słowo dupa, więc idealnie.
1459:  Widzicie, z jaką łatwością ich wykonujemy w ten sposób, odizolowawszy?
1463:  Bardzo dobrze.
1464:  Lies of Pi dało mi to ograć, a wiecie dlaczego?
1467:  Bo w Lies of Pi różne rozwiązania mechaniczne, które mnie nie musiały odpowiadać, ratowała narracja i świat.
1474:  A tutaj mieliśmy dwie godziny rozgrywki i zero ekspozycji, słuchajcie.
1479:  Tak szybko, ale za późno, żeby zrobić refund.
1481:  Ja zrobiłem refund.
1482:  Zrobiłem refund!
1484:  Został zrobiony, moi drodzy.
1485:  Nie ma to tamto.
1486:  Dobra, weźmiemy sobie piątą drużynę, żeby wyeliminowała tych wojowników chaosu Korna.
1492:  Taki plan.
1493:  Jaka to sytuacja?
1495:  W miarę dobra.
1498:  Kto jest jeszcze blisko?
1500:  Łoj, łoj, łoj, łoj, łoj, łoj, łoj, łoj.
1502:  A wy tutaj co robicie?
1505:  Wy tutaj co robicie?
1508:  Idźcie na nich.
1511:  Dobra.
1512:  Tu jest w miarę dobra sytuacja, ale jest dużo przeciwników, więc się wycofamy.
1517:  Dwójka.
1519:  Misje poboczne w końcu w Horizonie mają więcej polotów i są ciekawiej zrobione.
1521:  To dobrze, bo to był główny zarzut, mój główny problem.
1529:  Z jakąś drogą poruszyciłbym za same plany jednorazowej gry.
1532:  Wiecie, jeżeli mówicie o mikrotransakcjach i tak dalej, uważam, że to jest kwestia całkowicie względna i nieproblematyczna, bo mikrotransakcje możecie usunąć jednym patchem.
1542:  A czego nie możecie usunąć jednym patchem, to zjebanego projektu świata.
1546:  Słuchaj ergonomicznie, co robi onanista na budowie?
1550:  Wali w gruzy.
1554:  Dowozicie, moi drodzy, dowozicie.
1560:  Dobra, jaka tu sytuacja?
1563:  Niedobrze, niedobrze.
1564:  Macie korzystać z waszej przewagi i nie będziecie walczyć z wojownikami chaosu.
1569:  Korneflaki, dziękujemy.
1571:  Drużyna!
1573:  Co, co jest, co, co, co tutaj się dzieje?
1575:  Zabij, zabij prześladowczynię Slaanesha.
1580:  Dobra.
1581:  Chosen drużyna!
1584:  Czwórka, idziecie za nim.
1586:  Nie rozumiem, skąd te zachwyty nad Dragon's Dogma i przytulnia.
1588:  Ja też nie rozumiem.
1589:  Wiecie, co mnie przeraziło?
1590:  Że ludzie mieli pod tym live'em, gdzie dosłownie jest pokazane, co jest źle, mieli dalej wątpliwości.
1597:  Ale Krzysztof wyjaśni.
1598:  Co ja mam wyjaśniać?
1599:  Macie dowód ostensywny, czyli wskazujący.
1602:  Nie ma lepszego dowodu.
1603:  Nie istnieje.
1606:  Pokazujecie problem i tyle.
1607:  Nie trzeba komentarza żadnego.
1609:  Dobra, tutaj za bardzo, za bardzo obrywamy od nich.
1612:  Niedobrze, niedobrze.
1615:  W ten sposób?
1616:  Czy ktoś jeszcze gdzieś obrywa?
1618:  Ojojojojojojojoj, nie ma tak, nie ma tak.
1621:  Dobra, ich dodajemy do grupy szóstej.
1625:  I grupa szósta idzie tutaj, tam gdzie jest bezpiecznie, jeżeli ktokolwiek za bardzo oberwał.
1630:  Follow the bear!
1633:  Ale za to tak, najlepszy kreator postaci w Dragon's Dogma, przyznaję.
1637:  I co więcej, myślę, że wielu twórców mogłoby się zainspirować jedną rzeczą.
1640:  A mianowicie, żebyśmy mieli kreator postaci dostępny wcześniej, niezależnie od gry, jako program.
1646:  To jest super sprawa.
1648:  A, Cactusowiak Cactus pisze, że chodzi o możliwość rozpoczęcia nowej gry w miejsce tej.
1652:  Już rozumiem.
1653:  No to tak, to absolutnie.
1654:  Będziemy sobie grali w God of War.
1655:  Obiecałem i dowożę.
1658:  Mimo że God of War mi nie leży, ale mówicie, ufam, że gra jest dobrze zrobiona i że dobrze się w nią gra.
1665:  Okej, przetestujemy.
1668:  Chosen Drużyna poradziła sobie tutaj.
1672:  No my mamy, moi drodzy, punkt zwycięstwa, więc oni muszą w tym czasie się wyrobić, żeby nam odebrać ten rzecz punkt zwycięstwa.
1683:  Okej, okej.
1684:  Wy tutaj zajmijcie ten punkt, dobrze?
1687:  Dziękuję.
1688:  Jak zajmujemy punkty dla tych z was, którzy nie wiedzą, co się dzieje, to nie można budować tych wieżyczek.
1695:  Według recenzji tego Dragon & Dragon jest lepsza od Eldena ze względu na... Nie, nie, nie.
1698:  Ja nawet tego nie zamierzam skomentować.
1700:  Elden Ring to jest gra, która osiągnęła status legendarny.
1704:  Kroisz postać niezależnie od gry, jak w RPGu.
1706:  No, no, no, to jest naprawdę dobre.
1709:  W jakichś tak kilku materiałach wyjaśnił problemy z dragą zdolną.
1711:  Bardzo dobrze.
1712:  Jezus, jak to dobrze, że ja tego nie muszę robić.
1715:  Ja za to się będę wyżywał na zajęciach.
1718:  Oj, będę się wyżywał na zajęciach.
1720:  Ojejejojojojojojojojojojo.
1722:  To będzie jeden z moich głównych przykładów.
1727:  Nosiciele zarazy Nergla.
1728:  Dobrze.
1730:  Tutaj mamy cały czas... Możemy ich jeszcze wziąć w kleszcze.
1733:  Myślę, że to może być dobra opcja.
1737:  Okej.
1743:  Czemu oni są ukryci?
1744:  To mnie tylko ciekawi.
1745:  Nawet w nieszczęsnym Elexie było lepsze wprowadzenie w świat.
1748:  A, to prawda, akurat to prawda.
1749:  Chociaż Elex bardzo niegrywalny.
1752:  Nosiciele zarazy Negra też mogą zostać wyeliminowani.
1755:  Oni bardzo, bardzo są wytrzymani, to znaczy mogą długo tankować.
1760:  Kiedy go dowol... przypuszczam, że w przyszłym tygodniu, wiecie?
1763:  Udało się po 6 tygodniu... godzinach grindu odbudować magicznego lisa w Warframe'ie.
1767:  O, proszę.
1769:  Warframe, o Warframe dobra gra.
1771:  Free to play!
1773:  Free to play gra.
1775:  To naprawdę jest świetna.
1778:  Okej, tu jest bardzo niedobra sytuacja z tą szóstką.
1781:  Wycofaj się w ogóle poza tutaj obręb.
1784:  Dziękuję.
1787:  Okej, wiem co zrobimy.
1789:  Wyślemy drużynę tutaj.
1795:  Niech on walczy z wojownikami chaosu.
1797:  A tu będziemy go ostrzeliwać.
1801:  Dobrze.
1802:  jak tu sytuacja, to możecie łaskawie zająć ten punkt, dziękuję.
1811:  Enderal po God of War, no kusicie mnie tym Enderalem, na pewno myślę, że warto zagrać w Enderala bardziej niż w Skyrim na modach nawet i szybciej to warto zrobić, tak mi się przynajmniej wydaje.
1823:  Mówim!
1826:  Dzięki Awatorowi wiemy, że najlepsi magowie ognia tkają błyskawice, czyta Palpatine, to zatem mag ognia, Palpatine.
1832:  Nie mam z tym żadnego problemu, kocham Siwa Palpatina.
1839:  Polecajka książkowa pisze Anela.
1841:  Aaa, dobrze, że pytasz, moi drodzy, ponieważ akurat dzisiaj otrzymałem egzemplarz autorski w imię Boga Dominiki Skoczeń, czyli Czerwia Fantastycznego.
1852:  Mega polecam.
1853:  Dzisiaj będę polecał wyłącznie tę książkę, moi drodzy.
1856:  Czytało się super.
1859:  Ooo, i zwycięstwo, bardzo dobrze, czyli nikt nie zginął, świetnie.
1864:  Widzicie?
1865:  Sanie, bojowe, dobre.
1868:  Które książki wstrząsnęły mną najmocniej?
1870:  Pytam o pojedynczą scenę i całość książki.
1872:  Pojedyncza scena będzie w tiganie Gaia Gavrila Kea.
1876:  A jeżeli chodzi o całą książkę...
1884:  Późne lato Johna Crowleya.
1886:  Engine Summer po angielsku.
1889:  Twórczości Adama Przekszty Danielu nie znam niestety.
1891:  Będzie trzeba nadrobić.
1894:  Dominika Zientara pyta, co bym wolał zagrać do końca, Taumaturg czy Dragon's Dogma?
1897:  Nie, Taumaturg to w tej sytuacji nawet możemy ogarnąć Taumaturga.
1903:  O nie, zrobiłem duży błąd, bo powinienem był zająć tą...
1914:  Nie, wszędzie mamy niestety skażony teren, paskudna sprawa.
1919:  Uspokajająca obecność w takim razie zniweluje ten efekt wyczerpania, przynajmniej częściowo.
1926:  Okej.
1928:  Ataman pojawił się.
1931:  Nie, awans Atamana.
1933:  Priorytetowo traktuje prowincję, tak jest.
1938:  Zamiast Shiddogma wejdzie Serennox, God of War.
1948:  Z Kostaltynem można ogarniać, moi drodzy, odmiany.
1962:  Proszę bardzo.
1963:  Ołtarz Pomiotów, wiecie co?
1965:  Sprzedamy Ołtarz Pomiotów Carycy Katarzynie.
1967:  Niech nas kocha i niech nas broni tam.
1970:  A nie mogę jej sprzedać ołtarzu pomiotu z jakiegoś względu.
1974:  Ale wiecie, co możemy zrobić?
1975:  Obozowisko... Nie, obozowisko Sarlów też nie możemy jej sprzedać.
1978:  Smutne.
1980:  Rise of the Ronin.
1981:  Tego nie śledziłem.
1982:  No one.
1983:  Widziałem, że Luke Stevens coś na ten temat robił, ale Luke'a Stevensa odsubskrybowałem po tym, jak chwalił Dragon's Dogma.
1990:  Dobra, skupmy się.
1991:  Co tutaj można wziąć?
1992:  I co nam jest potrzebne przede wszystkim?
1995:  Fajnie byłoby mieć lodową gwardię, bo ona udostępnia nam tutaj garnizon dobry.
2003:  Dobrze byłoby też mieć kusarię na niedźwiedziach.
2006:  A czy my mamy gdzieś kusarię na niedźwiedziach w ogóle rekrutowalną?
2009:  Tutaj już mamy kusarię na niedźwiedziach.
2010:  Dobra, czyli tam idziemy w co innego.
2012:  W porządku.
2014:  I tutaj mamy jeszcze dwa unikatowe budynki.
2016:  Musimy bardzo dużo mieć pieniędzy jeszcze.
2019:  Niedobrze.
2020:  Czy widziałem tajny projekt piąty od Sandersona?
2022:  Nie śledzę tych tajnych projektów.
2024:  Ja śledzę Archiwum Burzowego Światła.
2025:  Chcę wreszcie, żeby on to dokończył.
2028:  Będę wtedy człowiekiem szczęśliwym.
2031:  Można ograć jakąś fajniejszą smoczą w serii Dragon's Edge.
2042:  Ja się od Dragon's Edge odbiłem z uwagi na w ogóle całą mechanikę drużyny.
2046:  Ja strasznie nie lubię, jak są drużyny postaci w RPGa.
2049:  Ja wiem, to dziwnie brzmi o RPGi drużyny.
2051:  No nie, ja lubię zawsze RPGi, w których mogę grać jedną postacią i na niej się skupiać, a reszta to jest jakiś ewentualnie przydupa, który się sam autoleweluje.
2057:  I strasznie mnie to w Inkwizycji zdenerwowało.
2059:  Głównie przez to nie grałem w Inkwizycję.
2063:  Constaltyn strasznie mi przypomina tego typa z Rogue One, którego nigdy nie jestem w stanie się nauczyć imienia, który zawsze mówił NICE!
2072:  NICE EVERYWHERE!
2074:  Doprowadzą mnie do szału tym.
2076:  Dobra, musimy zgenerować się, bo inaczej będzie bardzo źle.
2080:  Legowisko leży króla trolli.
2086:  Co nam daje jakąś dobrą strzelcę?
2090:  Ktoś ma urodziny dzisiaj.
2091:  Kto ma urodziny?
