69 000 SUBSKRYPCJI DLA SLAANESHA — WARHAMMER 3 IMMORTAL EMPIRES
🔗 https://www.youtube.com/watch?v=rB9atL7RQ-4

688:  Chcieliście żądzy?
913:  I podarował wsparcie AnnieX403TrashPanda, Zebastianowi i Jesie.
922:  Dziękujemy Jamnikłajowi za bycie Jamnikłajem.
927:  Dobrze, moi drodzy.
928:  Więc polecam jeszcze raz Maszynimka.
929:  Teraz, without further ado, a, jeszcze jedna rzecz.
933:  Ważna, ważna informacja.
935:  Ważna informacja.
936:  Jamnik, którego widzicie na mikrofonie, jest jamnikiem, którego namalował Pablo Picasso, ale wykonała go moja dyplomatka, której serdecznie w tej chwili dziękuję.
946:  W druku 3D.
947:  I, moi drodzy, ten jamnik, z uwagi na to, że to jest stream slaneszowy, jest rozwarty.
953:  To tyle, jeżeli chodzi o ogłoszenia drobne.
958:  Czas na... Warhammera, moi drodzy.
962:  O tak.
963:  Mamy, moi drodzy, trzy opcje!
965:  I wszystkie trzy wykorzystamy.
967:  Ha ha ha ha ha ha ha!
968:  Powiedział, wykorzystamy.
970:  Mianowicie, rozegramy... W życiu rozegramy jurną kampanię z Laneszem.
981:  Na początku będziemy grać Nakari.
986:  Dla wszystkich, którzy nie widzieli Nakariego i jenu cudownych działań, Nakari jest niebinarnu.
994:  Pamiętajmy o tym, a... Nakari nie ogranicza się w ograniczeniach cielesnych.
1003:  Tak!
1004:  I to potem, moi drodzy, będziemy grać wojownikami chaosu.
1010:  Azazellem... Ello Azazello, tak?
1018:  Azazello jest otoczony wzdłużonymi wężami.
1023:  Azazello się cieszy, mogąc batożyć niejurnych, niechędogich kislewitów, wyznawców Tsariny Katariny, która jest mroźna.
1034:  I chłodna, nie to co, wspaniałe dary gorącego Slaanesha.
1040:  Nie, nie Cincha, Slaanesha.
1043:  I oczywiście, moi drodzy, tradycyjnie w ustawienia.
1050:  Poziom trudności kampanii legendarny!
1053:  Poziom trudności bitwy bardzo trudny!
1058:  Ostateczne kryzysy!
1060:  Tura 69!
1061:  Czas wstępczesnego ostrzeżenia!
1065:  Tura 6!
1068:  Wszystkie najgorsze rzeczy, które mogą nas spotkać, nas spotkają, moi drodzy!
1074:  Przerżniemy to tak, że aż będą wióry leciały!
1081:  Trzecia opcja.
1081:  O trzeciej zapomniałem.
1086:  Tak jest, moi drodzy.
1089:  Czy nie będziemy kontynuować poprzedniej kampanii na Karim?
1090:  Chciałbym, ale niestety mam nową wersję gry i jest niekompatybilna ona z wersją poprzednią.
1097:  Nie możecie tego zobaczyć, ale klawiatura ma, zajarzyła się barwami slaneszowymi.
1102:  Jakież to jest piękne.
1104:  Coldis, dzięki za wsparcie od 17 miesięcy jedziemy na ostro, o tak.
1110:  Ulfuan to prawdziwy wyspiarski raj, podobno stworzony specjalnie dla elfów Wysokiego Rodu.
1120:  To mi przypomina, moi drodzy, że... Poczekajcie, muszę zrobić małą cenzurę.
1125:  Stop, stop.
1127:  To mi przypomina, że dzisiaj, jak będziecie niegrzeczni na czatach, będziemy czytać
1135:  Będziemy czytać katechizm libertyński, wiedzy i dywi.
1139:  Ach, będzie się działo.
1141:  A zatem to miejsce przepełnione niesamowitą magią, gdzie niepojęta moc stała okiełznana.
1150:  Pytacie, co jeszcze można okiełznać?
1152:  Jest niesiona na łagodnych wiatrach za pomocą Wielkiego Wiru, który ściąga nadmiar magicznej energii z całego świata, uniemożliwiając demonom wdarcie się całymi hordami do wymiaru śmiertelników.
1168:  Głupie elfy nie wiedzą, co potrafi Nakari.
1172:  Tomasz Maleńczyk tymczasem podarował pakiety wspierania, albowiem Tomasz Maleńczyk jest Jan Mikołajem.
1179:  Dawid Chyla, Piotr Mi, Fugo Pychotka, Flaminguel otrzymali wsparcie.
1185:  Taak.
1187:  A my udajemy się do miejsca, które było od wieku włakomym kąskiem dla prymitywów ze Starego Świata.
1193:  Eee, ludzi!
1195:  Eee, elfów leśnych!
1197:  Eee, wampirów!
1199:  Co gorsza dla demonów, na których elfi duszy stanowią najwspanialszy przysmak.
1203:  Ewa Jędrzejczyk, wspierająca 5 miesięcy, za co serdecznie dziękuję.
1206:  Dziękuję za ostatni film.
1208:  To była przyjemność.
1211:  Mmm... Nakari!
1215:  Co nam opowiesz?
1220:  Tak, Nakari, pokaż mi, pokaż mi, pokaż mi czym jest prawdziwa ekstaza!
1228:  Aśku.
1230:  Aśku napisała coś i Krzysztof nie przeczytał.
1233:  Aśku napisała elu pojeby.
1235:  Aśku korzysta z bycia moderatorką do tego, żeby zbonkować czaty.
1240:  I jeszcze dziękuję Livantoziomowi za wsparcie od dwóch miesięcy.
1244:  Krzysztof, Nahida, Kazucha czy Oba.
1248:  Nieśmieszne, ale Oba.
1252:  To zgrozo, moi drodzy.
1254:  Więc tak, dla tych z was, którzy nie wiedzą, jak gra się na Karim, budujemy kulty rozkoszy w różnych miejscach świata i teraz, ponieważ jest karca 4090, mogę się przemieszczać po tej mapie z łatwością, co wcześniej nie było możliwe, więc przynajmniej będzie, moi drodzy, płynna rozgrywka.
1276:  Dobrze, plan jest następujący.
1278:  Wpierw musimy okiełznać... ...Kraze, a następnie musimy okiełznać...
1287:  Elfy, które są mroczne, bo wiecie, ostatnio, jak nie pamiętacie, brnęliśmy w tym kierunku, teraz zabrniemy na północ.
1296:  Kama Greenbeck, dziękuję za trybut, niechaj nasze jamniki będą długie, astrymiurne, niech wasze jamniki zawsze się dłużą.
1304:  Niech pozostaną nieskończone.
1306:  Aż mam ochotę na bakłażana, napisałem jamnik matematyczny, tak?
1310:  Zobaczmy, kogóż mamy.
1311:  Moi drodzy, dzisiaj możecie się wykazać.
1315:  pięknymi mianami dla demonetek z Lanesza.
1320:  To może teraz powiesz, skąd wiesz, jaka muzyka gra we włoskim porno z lat 70.
1324:  To wszystko dzięki tekstowi, który dzisiaj też przeczytamy, mianowicie, jak rozpoznać film pornograficzny.
1331:  To jest tekst autorstwa Umberto Eco.
1335:  Jak bardzo musimy być niegrzeczni, upewniają się czaty.
1338:  Dobrze, moi drodzy.
1341:  Patrzę, patrzę cały czas, czy będą jakieś miana.
1347:  Nasza kultystka, to jest kultystka, moi drodzy, my divine master, ach.
1353:  Jakież co umie, jest opływowa, zwiększa prędkość dzięki wspaniałemu poślizgowi rydwanu, na który się wespnie, bo będzie miała rydwan, wpierw będzie to rumak chaosu.
1368:  Orgia Flakellarczuk, jest pięknie, jest już pięknie, tak jest, musi być moi drodzy.
1375:  Wygrywa.
1377:  Flagellarczuk.
1379:  Tylko trzeba to napisać jakoś ładnie, wiecie, poslaneszowemu.
1383:  Eee... O. O tak, zdecydowanie tak.
1405:  Lubrycja!
1406:  O nie!
1407:  Lubrycja jest piękniejsza!
1409:  Przepraszam!
1411:  Przepraszam!
1412:  Przepraszam!
1413:  Ale jest przepiękne!
1418:  Hahaha!
1419:  Orgian jest cudowny!
1420:  Niech ktoś zapamięta Orgiana!
1422:  Albo wiecie co?
1424:  Już to zrobimy!
1425:  Herold Slanesha!
1427:  Mmm... Perfekcjonista!
1430:  Perfekcjonista brzmi pięknie!
1433:  Orgian musi być perfekcjonistą!
1437:  Orgian.
1441:  Wspaniałe.
1442:  Wspaniałe, moi drodzy.
1443:  Kiedy film o wychowaniu do życia w rodzinie?
1445:  Cóż za adekwatne pytanie.
1448:  Niebawem.
1449:  To znaczy jak będę mieć wenę, moi drodzy.
1451:  Jak zawsze, jak zawsze.
1453:  Co chcemy?
1453:  Czy chcemy przychody?
1455:  Czy chcemy rozwój?
1457:  Chcemy rozwój.
1458:  Chcemy się rozwijać, moi drodzy.
1462:  Fun fact jest święta Kseksburga, naprawdę?
1465:  Robimy ją absolutnie.
1469:  Doceniam, Saganu, doceniam.
1472:  Może, moi drodzy, czy my możemy kogoś... Nie wiecie jeszcze, co my możemy robić.
1477:  My wiecie, możemy... Możemy uwodzić elfy.
1484:  Nasi są łucznicy.
1486:  Uwie ci jednostki.
1487:  Hahaha.
1493:  Nasi!
1495:  Zwiedzeni na złą drogę!
1497:  Och, tak!
1499:  Jaka jest twoja ulubiona manga?
1501:  Moi drodzy, nie czytam niestety manga, to jest strasznie zasmucające.
1504:  Pan Twardego!
1512:  Pan Twardeusz, Boże drogi, jakie to jest genialne!
1517:  O nie!
1519:  Nie!
1524:  To, moi drodzy, musi być... To musi być ta jednostka.
1530:  Chociaż nie wiem, nie wiem, czy nie nazwiemy tak bohatera, ale trzeba bezwzględnie nazwać tak tę jednostkę, jak tylko będziemy mogli.
1537:  O!
1541:  Tradycyjne, moi drodzy, przegląd wspaniałych wojsk Slaanesha.
1545:  Mmm... Czyżbyśmy mieli dużo rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
1558:  które są okładane knucikami flagellacyjnymi, flagellantki.
1564:  Tak, okładają małe... Chociaż mimo, że małe, to jednak długie ryjki, które to ryjki będą bierzyć.
1574:  Tak, kogoż mamy jeszcze w naszej wspaniałej armii?
1579:  Mamy otóż więcej ryjków, te ryjki, moi drodzy, są... Tak, mrówkojadzie, mają język mrówkojadzi.
1589:  I oczywiście mamy deminetki, demonetki mianowicie, tak, dużo ich, bardzo dużo.
1597:  Czy warto zaczynać zabawę z FPS-o w Total War 3?
1600:  Total War 3 to jest Grand Strategy, czyli RTS, Real Time Strategy, ale powiększony jeszcze o dyplom... aha, powiększony, o dyplomację i o zarządzanie całym imperium, trochę jak Civilization, więc jeżeli lubisz Civilization, albo Crusader Kings, albo Europa Universalis, tak.
1617:  Arcykapłan Dzikich Babrów błogosławi jurnemu pobijaniu świata.
1620:  Wspaniale!
1621:  Popatrzcie, jakie nasze demonetki są jurne.
1625:  Są niesamowicie jurne.
1626:  I co najważniejsze, samu Nakari.
1631:  O, tak.
1632:  Nakari jest wspaniału.
1635:  A to są ludzie.
1637:  Kultyści.
1639:  Eee, kiepskie.
1642:  Wiecie, to jest takie mięso armatnie.
1646:  Ani to specjalnie nie jest twarde w boju.
1649:  No miętkie.
1650:  Są takie miętkie.
1653:  Miękkie, cieliste, ciała jamiste.
1656:  Nie jest to dobre, moi drodzy.
1658:  Będziemy pozbywać się szybko ich, chyba że...
1662:  Chyba, że będziemy rekrutować ich i następnie wysyłać na pierwszą linię frontu za każdym razem.
1670:  Jest to pewne.
1671:  Dobrze, moi drodzy, rozpoczynamy nasz bój.
1674:  Tylko zróbmy sobie jakieś sensowne... O, właśnie, w ten sposób.
1679:  O, ryjki, ryjki idą razem ze żniwiarkami.
1683:  Dobrze, łucznicy... Popatrzcie, jak skradliśmy łuczników i teraz łucznicy są zaróżowieni, bo są nasi!
1692:  Nikolas W. Dziękuję za wsparcie od 13 miesięcy.
1694:  Poproszę, zestaw powiększony!
1697:  I dildo na wynos.
1699:  Tak.
1700:  Słusznie, Nikolasie W. Słusznie czynisz.
1704:  Nakari.
1705:  Zobaczcie go w... Nie, Yenu w boju.
1708:  Ciężko jest, ciężko jest używać zupełnie nowych zaimków, moi drodzy, teraz naraz.
1714:  Te Wodnianie są najgorsze, nie?
1715:  To jest dramat.
1717:  Dobrze.
1719:  I swoją drogą, to jest dobry moment, skoro mówi mi już ona Karim, żeby polecić wam taką stronkę.
1726:  Pewnie może znacie, a może nie znacie, ale proszę bardzo, to jest bardzo dobra i pod temat dzisiejszego streamu strona, mianowicie Zajmki.pl, możecie sobie zobaczyć, jak używać zajmków niebinarnych, bardzo polecam, bardzo, a bardzo i całkowicie serio.
1743:  Łucznicy są zaczerwienieni, tak, zawstydzeni, Smoczini, masz rację.
1748:  Elfy spąsowiały z przerażenia, że muszą walczyć teraz dla Slaanesha.
1753:  W ogóle ciekawe jest to, że elfy wysokie zarówno w uniwersum Warhammera Phantasy, jak i Warhammera 40.000 byli spaczeni przez Slaanesha, tylko że w przypadku Warhammera 40.000 było znacznie gorzej.
1764:  Oj, dużo trybutów, plus tenik niekczemności wspiera od 16 miesięcy, niech będzie podpalony, piękna data do świętowania zaiste.
1771:  Bear od 9 miesięcy wspiera.
1774:  W takim razie od 16 miesięcy i od 9 miesięcy.
1777:  Piękne, piękne zbiegi okoliczności.
1780:  Jurny stream z Lanesza po jurnym anime Bastard.
1784:  Bastard to było cudowne anime.
1786:  Pseudartyska wspiera od 1 miesiąca.
1787:  Poprosi o jamnesze, czyli jamniki z Laneszowe.
1790:  Wspaniale.
1791:  Dziękuję, Angeliko, za wsparcie od 7 miesięcy.
1793:  Dzień dobry, dzień dobry.
1796:  Rozpoczynamy bitwę, moi drodzy.
1799:  Niech nasze ryjki
1802:  Gdzie są wrogowie?
1804:  A, już wiem!
1805:  Oni tu często na tej mapie się chowają, moi drodzy.
1810:  Zgadnijcie, kto ich znajdzie.
1812:  W takim razie, bądźmy przygotowani do tego, żeby wszystkie nasze wojska wyekspediować pięknie.
1817:  Z altem możecie przenosić jednostki.
1820:  O, w ten sposób.
1821:  I z kontrolem zmieniać szyk.
1825:  Ale armia została rozmieszczona w nieodpowiednim miejscu.
1828:  Tak, zdecydowanie.
1832:  Zasadziliśmy się, moi drodzy, przy... w nieodpowiednim miejscu, to jest niedobre.
1838:  Oooo!
1838:  Któż to jest?
1854:  Któż to jest?
1855:  Elf do spaczenia!
1859:  Wspaniałości i jurności!
1864:  Włócznicy?
1865:  Wiecie co możemy zrobić?
1866:  Zajść ich od tyłu!
1868:  O tak!
1871:  Dobrze, dobrze!
1873:  Tnijcie, żniwiarki, tnijcie!
1875:  Aaaa!
1878:  Piękne żniwa!
1880:  Wspaniałe!
1883:  Nasze ryki zostały... zostały prawie zgładzone przez kawalerię.
1887:  Zniszczyć kawalerię!
1890:  Jedynie żniwiarki są bezpieczne w szeregach wroga.
1892:  Niech żniwiarki zaatakują jeźdźców z Elfyrionu.
1896:  Ryjki, biedne ryjki, wycofujcie się.
1900:  Filton, dzięki za wsparcie od 8 miesięcy niech historia przeglądarki zostanie wymazana, tak.
1905:  Dimonec, zaatakujcie włóczników.
1908:  Chaosyci, atak, atak, żniwiarki w niebezpieczeństwie.
1913:  Niedobrze, niedobrze, wycofajmy żniwiarki.
1919:  Slanesz uwielbia zachodzić drogów od tyłu, oczywiście.
1924:  Tak, to najwspanialsza z taktyk.
1927:  Czy oddani grasanci Slanesza wesprą nas w naszym boju z włócznikami?
1935:  Te monetki tu, proszę tędy.
1938:  Dobrze, tak.
1941:  Pięknie.
1943:  Czy nasz Nakari jest?
1945:  Myślę, że to jest moment, kiedy możemy wysłać do boju Nakariego.
1948:  Nakari jeszcze jest bardzo wolny.
1951:  To się zmieni.
1952:  To się bardzo zmieni, moi drodzy.
1955:  Dzisiejszy stream tylko na słuchawkach.
1957:  Jest to prawda.
1959:  Uuu, zajdźmy ich od tyłu.
1961:  Tak, tak, tak, tak, tak, tak, tak.
1963:  Popatrzcie, ile wrzosów!
1965:  Jakie prześliczne wrzosy!
1969:  Zaraz krew włóczników wzrosi te wrzosy.
1974:  Atakujcie ryjki.
1976:  Dobrze.
1977:  Popatrzcie jak weszli w tyły wroga.
1980:  Wieszczping, dziękuję za danie wsparcia.
1983:  Och, Nakari ruszył do boju.
1986:  Cudownie.
1987:  Jak tam sytuacja?
1989:  Nakari jest potrzebny w tym miejscu.
1991:  Kawalerię ryjków musimy wycofać.
1993:  Popatrzcie jak walczy Nakari.
1996:  Ach.
1999:  Stoi na stacji jurność ciężka, ogromna i pod z niej spływa, pisze No One.
2004:  Tłusta oliwa stoi, sapie, dyszy i dmucha.
2007:  Żal z rozgrzanego i brzucha bucha.
2010:  Buch jak gorąco.
2012:  Ruch jak gorąco.
2014:  Nakari?
2016:  Zarżnij, Lorelai!
2018:  Zobaczymy, moi drodzy, kto wygra w tym nierównym boju.
2022:  Ujojojojoj!
2024:  Lorelai!
2026:  Gdzież jesteś, Lorelai?
2029:  A ja nawet jeszcze nie użyłem magii.
2031:  To straszny błąd.
2035:  Kto dmie w ten róg?
2039:  Strzelmy, Lorelai, knucikiem flagelacyjnym!
2043:  A, trzask!
2046:  Trzask.
2049:  Piękno.
2049:  Wyślijmy jeszcze Ryjki.
2052:  Ryjki przeciwko Lorelei.
2055:  Elfy dmią w rogi.
2058:  Myślą, że im to coś pomoże.
2061:  O nie.
2063:  Pytacie, co to jest?
2064:  To jest fascynacja.
2065:  Zadaje obrażenia walczącym.
2067:  Jest wysokoskuteczna, gdy jest więcej niż 25 wojowników.
2073:  Moglibyśmy metaforycznie rzec, gdy jest orgia wojowników.
2076:  Wtedy, moi drodzy.
2079:  Jak Boromir zadeła w ten róg.
2082:  Tak.
2086:  Tak, Lorelai, to ostatnie te chwili letwe na tym łespadole.
2093:  Krzycz, Lorelai, krzycz!
2097:  Prawda?
2097:  Twarda, nie chce zostać pokonana.
2100:  Twarda w boju, moi drodzy.
2104:  Yes!
2107:  Coś czuję, że kiedy ten stream zostanie zdemonetyzowany, nawet twoje pasywno-agresywne streamy do YouTube'a nie pomogą.
2113:  To jest prawda, ale moi drodzy, jesteśmy bezpieczni, póki na ekranie nie ma zarysu sutków na damskich piersiach.
2121:  Jeżeli to były męskie, wszystko jest w porządku, ale damskie... Dajcie spokój, wtedy ruderia amerykańska ucieka.
2129:  Dziękuję za memiczny trybut, Tomaszu Johnsonie, wincyjurności69.pl.
2138:  Nigdy nie wyczytuję wartości trybutów, ale dziś nie mogłem się powstrzymać.
2142:  Moi drodzy, ani się nie obejrzeliśmy, a nasi wrogowie już giną.
2148:  Jeszcze zostało dwóch.
2150:  Nie możemy do tego dopuścić, kochani, absolutnie nie.
2154:  Dziękuję, słoniu, za wsparcie 8 miesięcy.
2157:  Boa.
2157:  Dlaczego powiedziałem boja?
2158:  Boje są w wodzie!
2176:  Prawda, że wspaniały finał walki?
2178:  Nie mamy strat własnych, odnieśliśmy pewne zwycięstwo.
2182:  I teraz muszę sobie przypomnieć, pan Twardeusz, nie musiałem sobie przypomnieć, to było tak doskonałe, że nie musiałem sobie przypomnieć.
2189:  Mamy trzy wybory moi drodzy, ale zanim powiem wam o trzech wyborach, podziękuję Alison Poland za wsparcie od 18 miesięcy.
2197:  Może już na zaś, that's what she said.
2199:  She indeed did.
2204:  Kiedyś, kiedyś w którymś dla każdego coś przykrego powiedziałem, metal jest twardy i miałem jakieś tysiąc, nie, miałem jakieś sześćdziesiąt dziewięć tysięcy dziewięćset komentarzy na temat tego, że metal, nie, nie Krzysztof, nie metal, nie, nie metal, mylisz się.
2227:  Już nawet nie pamiętam, o co chodziło, ale bardzo mnie to rozbawiło.
2229:  To było fellatio... Przepraszam, nie fellatio accidentis, tylko fallacja accidentis.
2233:  Takie klasyczne fallacja accidentis, że ktoś na przykład porówna coś do czegoś i wy powiecie... Mmm... Actually... Actually... Możemy, moi drodzy, zdobywać wiernych w liczbie sztuk 31.
2247:  Możemy uzupełnić armię, na co reaguje dokładnie tak samo jak nasi wojowie.
2252:  I możemy wziąć łaski.
2254:  Bierzemy wiernych, zobaczycie dlaczego.
2259:  Dobrze.
2261:  Czerw fantastyczny, witamy serdecznie, Dawidzike, Krzysztof, sprawdź telefon.
2265:  Tak, to jest właśnie z moim telefonem.
2267:  Wstałem dopiero przed streamem.
2269:  Sprawdzę po streamie.
2271:  Dobrze, och, Nakari awansował, a ja poproszę o jamnesze, o slanesze dla Czerwia Fantastycznego, która się pojawiła akurat na czatach, moi drodzy.
2282:  Czerw Fantastyczna ma 10 tysięcy subskrypcji.
2286:  Jeszcze 59 tysięcy też będzie mogła świętować.
2290:  Tymczasem Mateusza Stacewicza witam i dziękuję za wsparcie od 10 miesięcy, wiernych na orgię i ofiary, absolutnie.
2297:  Cóż wybierzemy?
2299:  Wybierzemy biczek, czy wybierzemy chwackie, hendogie podążanie?
2303:  Chwackie, hendogie podążanie, moi drodzy, albowiem dzięki temu będziemy mogli dojść dalej, to jest oczywiste.
2313:  Master!
2314:  Oczywiście, zwiększmy mobilność.
2317:  Wiele zostało zmienione w Warhammerze Total War, ale niestety nie to, za każdym razem trzeba wyłączać to, ustalać szybkość animacji, no dramat absolutny, dramat, moi drodzy.
2327:  I druga rzecz, która też nie jest do globalnego wyłączenia, to te rzeczy.
2331:  Dostępne ulepszenie budynku, po sterunku wyłącz, brak sprzętu obejrzenicznego, Lord się w garnizon nie poruszył, wyłącz.
2341:  Dobra.
2342:  Badania.
2343:  Nadzwyczajna lubieżność.
2346:  Niebiańska kokieteria.
2348:  Surowa reprymenda.
2350:  Mmm, to mi przypomina, że na dzisiaj mamy również przewidziane tradycyjne czytanie slaneszowe, to znaczy z afrodyzjaka zewnętrznego.
2360:  O tak, moi drodzy.
2362:  Więc stąd też musimy przynajmniej do tego czasu surową reprymendę zaliczyć.
2368:  Mam błąd w Slaanesh?
2370:  Jak to mam błąd?
2372:  Gdzie?
2372:  W tytule streamu?
2374:  Nie może tak być, moi drodzy.
2378:  Przecież tak, przecież Slaanesh jest tragedia.
2381:  Dziękuję za informację.
2383:  Przecież to byłoby strach... Wstyd, moi drodzy.
2386:  Wstyd.
2387:  Dziękuję za informację.
2389:  Dobrze.
2390:  Więc nadzwyczajna lubieżność idzie na pierwszy ogień.
2395:  Później będziemy mieli... Oj, śmiertelna żądza też dobra, ale to są dyplomatyczne.
2400:  Dyplomacji na razie nie potrzebujemy, ale dyplomacja jest ważniejsza.
2408:  Tak, moi drodzy.
2413:  Orgian musi zostać.
2416:  Ale następny bohater... Czy możemy rekrutować bohaterów?
2418:  Niestety jeszcze nie.
2420:  Musicie zapamiętać pana Twardeusza, niestety, obawiam się.
2423:  Nie będzie to proste.
2424:  Co teraz zrobimy?
2425:  A, podobno jest tak, że po update'cie można te bitwy, kiedy nie ma murów, rozgrywać poza murami.
2434:  Zobaczymy, czy to działa.
2439:  Drobne zwycięstwo.
2440:  Weźmy sobie jednego łucznika.
2444:  Ło, możemy dwa oddziały wziąć.
2454:  Dobrze, dobrze, to good.
2460:  Orgian Twardowski jest też przepiękne.
2463:  Trzeba to zmienić, macie rację.
2466:  Macie rację.
2470:  Jakie mam fetysze?
2471:  Padło pytanie.
2472:  Myślę, że można byłoby śmiało powiedzieć, że sapioseksualne, moi drodzy.
2476:  Im mniej głupoty na tym świecie, tym lepiej.
2479:  Igniwus pisze, że będzie sobie robił tatuaż z symbolem Slaanesha.
2482:  To, moi drodzy, ten symbol, ten... Tak, który zupełnie wygląda jak Ungolianta, zgodzicie się?
2490:  Piękna sprawa.
2493:  O jurności iskrobogów w świecie slaneszowych pól!
2496:  Haha!
2497:  Jurna nad twym jurnym progu!
2499:  Staje nasz jurny chór!
2501:  Przepiękne, Nołan!
2503:  Skupmy magię!
2505:  Czy słyszałem, że zapowiedziano trzy nowe filmy ze Star Warsów?
2508:  Tak, moi drodzy.
2509:  Jestem załamany tym, że jest zapowiedziany film o Rey.
2512:  Fani mówią, wszyscy, chcemy filmy ze Starej Republiki, chcemy filmy ze Starego Uniwersum.
2519:  I co?
2520:  I dostajemy kontynuację historii, której nikt nie chciał.
2522:  Okropne to jest.
2526:  No więc, moi drodzy, została naprawiona rzecz, która mnie najbardziej denerwowała.
2529:  Dostajemy wreszcie Bitwy Polowe.
2531:  Działa!
2532:  Czy Cranstolody Chaosu grane?
2533:  Jeszcze nie było premiery.
2536:  Bardzo mnie martwi to, co jest związane z premierą Chaos Lost, bo chciałbym, żeby to było strasznie dobre.
2542:  I nie chcę sobie bardzo przyhypować.
2544:  Dobrze.
2546:  To jest dobrze.
2548:  Jakie fetysze?
2549:  Tak.
2550:  Właśnie.
2552:  Tym razem, moi drodzy, ruszymy do boju wpierw na Karim.
2561:  Będzie... Nie, gorzej, moi drodzy, nie Taika Waititi.
2564:  Wiecie, kto będzie reżyserował film o Rey?
2567:  Reżyserka Mrs. Marvel.
2571:  Nie może być lepiej, prawda?
2575:  Oj tak, strzelmy knucikiem flagelacyjnym, strze... Kto wam... Kto wam pozwolił się ruszać?
2584:  Albo dobrze, ruszcie się!
