Największa z uraz do pomszczenia — WARHAMMER 3 IMMORTAL EMPIRES
🔗 https://www.youtube.com/watch?v=1-_JZpCZ0kk

251:  Wyjątkowy stream środowy.
367:  W dalszym ciągu jest tak, że poziom zbalansowania i optymalizacji Warhammera 3 jest tragiczny, więc wszystkich ze słabszymi konfiguracjami uprzedzam, że jest to rzecz zasobożerna.
380:  I to bardzo zasobożerno.
381:  Muszę wyłączyć sobie swój głos, bo to okropne słyszeć siebie.
386:  Kim będzie dzisiaj grane?
387:  Thorgrim Strażnik Uraz, moi drodzy.
390:  Thorgrim Strażnik Uraz.
391:  Nie ma żartów.
394:  Ja jestem tu, żeby popatrzeć na golenie krasnoludów.
397:  Psychoboby ewidentnie życzy nam źle.
400:  To niedobrze.
401:  Do nowej denominacji religijnej podczas stu wyznawców
405:  Czemu nie mamy jeszcze muzyki Warhammerowskiej?
408:  Uraza niewyczytającego pozdrowień umgi zapisana w księdze, pisze Tarael.
411:  Witamy także szanowne grono moderatorskie reprezentowane dumnie przez Taraela.
418:  Dobrze, moi drodzy.
422:  Czy można sobie wyobrazić lepsze zawołanie na sam początek niż Let's March?
429:  Witałem Mateusza Rutkę w gronie Trybutariuszy przy okazji.
432:  Warhammer 3 dopiero po upgradzie, oj tak, oj tak, jednoręcznie, ja teraz będę kupował Intela i9, 24-rdzeniowego i 4080 grafikę prawdopodobnie, niebawem, jakoś w lutym przypuszczam będzie upgrade.
446:  Tak sądzę w każdym razie.
448:  I prawdopodobnie również chłodzenie wodne, bo do takiej bestii jest już konieczne.
452:  I mam nadzieję, że to wytrzyma przez następne lata, bo szczerze jestem trochę zaniepokojony faktem, jak coraz częściej jestem zmuszany do upgrade'ów.
460:  RocknStone, pozdro dla kumatych, pisze Scaler.
464:  Właśnie procke mam AMD i nigdy więcej.
467:  Wracam do Inteli.
469:  Karta 16-gigowa, 3060 Ti, ale karta nic nie pomaga w Warhammerze.
473:  W Warhammerze jest potrzebny potężny procesor, przede wszystkim, we wszystkich Total Warach.
477:  Witamy Aśku także, Julkę Opaczewską, proszę, proszę.
481:  Czy Total War Hammer działa, czy nie działa?
482:  Wiecie co, no przynajmniej jest płynnie, tak?
484:  Ale przy streamach, oj, ciężko, ciężko.
487:  Moi drodzy, dla tych z was, którzy nie wiedzą, co się stało, zdobyliśmy ostatnio Thorgrimem Strażnikiem Uras.
494:  Karak osiem szczytów.
496:  Czy może być coś przepiękniejszego niż zdobycie Karaku Osiem Szczytów pod koniec streamu, który był zatytułowany Zdobycie Karaku Osiem Szczytów.
505:  Wszystkie plany zostały rozwiązane.
508:  Myślę, że tutaj musimy szybko ruść czarną grań, a tutaj wymieniamy sobie armię, moi mili, na lepszą.
516:  To znaczy potrzebujemy tutaj dzieła ogniowego, więcej organków i więcej strzelców, tak.
522:  Takie są plany, moi mili.
525:  I tutaj też wszystko musi ruść.
526:  Ruść, ruść.
527:  Dobrze.
528:  Kazukan Kazachit!
529:  Ha!
530:  Tak jest.
532:  Mr. Bemont pisze, że to przerażające, że wymagania do gier tak rosną, potem ludzie się dziwią, że Valheim jest modowane, Scream jest to dalej odgrywane.
538:  Wiesz co, nawet nie jest to, że wymagania rosną, ale gry są wypuszczane w coraz to gorszym stanie i nie są optymalizowane.
544:  W Warhammerze naprawdę nie ma nic takiego tutaj, co byłoby za sobożerne.
548:  Okej, mapa jest duża rzeczywiście, ale to jest początek kampanii, nawet jeszcze się wszystkie frakcje nie aktywizowały.
554:  Maćku, witamy w gronie Trybutariuszy.
557:  Jak to zwalczać miotacze uraz zamiast dać im runy na auto-aim?
561:  Pisze Tarael.
562:  Czy są runy na auto-aim dla Krasnali?
565:  To jest pytanie.
566:  Idziemy, moi drodzy, teraz linią wojskową.
568:  Nie ma żartów.
569:  Przed nami Wurzak Wielki Zielony.
573:  Prorok.
574:  I musimy go zniszczyć, zgładzić, zamordować.
576:  Który bóg chaosu jest najwspanialszy?
578:  Dlaczego to Korn?
578:  Oczywiście, że Slanesz.
579:  Jeżeli już czcić chaos, to przynajmniej mieć z tego dużo przyjemności.
584:  Bo generalnie chaos należy zwalczać.
587:  Zwłaszcza jeżeli jest się dumnymi Daoimi, ale jeśli nie, to miejmy chociaż z tego jakąś przyjemność.
595:  Jest runa poszukiwań Flaksona do wykucia za złoto przysięgi.
598:  A, mądre.
599:  Faktycznie.
601:  Cinch też.
602:  Cinch jest czarnoksiężnikiem, więc dlatego nim graliśmy bardzo dużo na początek.
607:  Czy są krasnoludzcy wypalacze?
608:  Oczywiście, że muszą być.
610:  W każdej naszej armii są wspaniali krasnoludzcy wypalacze.
618:  Będzie ogrywane Hogwarts Legacy.
619:  Między innymi dlatego jest upgrade sprzętu, bo mam niejasne przeczucie co do tego, że będzie katastrofa.
624:  Oczywiście, że bogowie są w nas wściekli.
627:  Przed sekundą zacząłem szkalować Korna.
632:  Dobrze.
633:  Gdzie jest runa Poszukiwań Flaksona?
635:  Jest runa Poszukiwań Flaksona.
637:  Nałożymy ją na nasze wspaniałe organki, moi drodzy.
646:  That's what she said.
647:  Naprawdę.
650:  Naprawdę.
652:  Tylko niestety ta runa zajmuje nam, i to mnie bardzo martwi, zajmuje nam slot tu.
657:  To jest bardzo zasmucające.
659:  Julia Berezińska pisze, czciń chaos, w sensie Zeusa, wychodzę, atom Zeus.
665:  My tutaj mamy ciekawszych bogów niż Zeus, moi mili.
669:  Tu potrzebujemy natychmiast murów.
674:  Już widzę jak Clash z nami przegra.
685:  Need my warp token!
687:  Musimy zagrać z cavernami, nie ma opcji, moi drodzy.
689:  Prędzej czy później trzeba będzie to zrobić.
692:  Ooo... My nie mamy tutaj bardzo ważnej jednostki, moi kochani.
700:  My potrzebujemy gwardzistów.
702:  Oj, oj, oj, oj, oj, oj, oj, oj, oj.
705:  Żadne takie.
706:  Czy możemy mieć gwardzistów?
708:  Tak, potrzebujemy gwardzistów.
712:  Nazwanie postaci Wen... To od was zależy, czaty!
717:  Nie ja wymyślam nazwy dla postaci.
722:  Witamy Dziabowskich.
723:  Dla Organków lepsze będą runy dodające wybuchy i obrażenia od ognia.
726:  Dobrze wiedzieć, moi drodzy, dobrze wiedzieć.
729:  Co tutaj się z kolei dzieje?
730:  Boki Strażnik Gwiazd.
731:  Ewidentnie potrzebujemy nowych mian.
734:  Stróżuję tutaj.
736:  Dobrze, nasza południowo-zachodnia flanka jest zabezpieczona przez Rycerzy Kaledoru.
741:  To jest fantastyczna wiadomość.
742:  Oj, Gwardzisti są bardzo OP.
744:  Mamy już prawie gotowy Doomstack.
746:  Jedyne, czego nam brakuje, to Gwardzistów właśnie.
750:  Ale spokojnie, damy radę.
753:  Marcin pisze, że jest oburzony, dowiedział się, że u niego na uczelni robi się kolokwia ze sposobów cytowania.
757:  Oczywiście trzeba wiedzieć, w jaki sposób wyznaje pani prowadząca.
760:  Bardzo to jest inteligentne, biorąc pod uwagę fakt, że wszystkich styli cytowania na świecie jest około kilkadziesiąt tysięcy i że służą do tego programy w postaci menadżerów cytowania.
774:  Nieprawdopodobne, że ludzie do dzisiaj uważają, że trzeba zrobić tak pusty przedmiot.
781:  Bardzo mi się podoba klan Morse tego, jak ja mówię.
784:  Krzyczy NIE!
786:  NIE!
789:  Szczury w tej grze są niesamowite, absolutnie.
792:  Porada przed pierwszą sesją w życiu, pisze Pan Taczka.
795:  Pierwszy dzień przed sesją zrób sobie off totalnie, a wcześniej staraj się robić metodę trójpolówki, to znaczy nie przeginać z nauką do jednej rzeczy naraz, tylko urozmaicać to sobie i raczej czytaj niż wkuwaj.
808:  To jest moja porada.
809:  I druga rzecz, bardzo polecam terminy zerowe, naprawdę.
812:  Nawet jeżeli to będzie parę dni przed egzaminem, zawsze dostajesz dodatkowy termin wtedy.
817:  Wiecie co?
817:  Mam ochotę poznęcać się troszeczkę nad szczurami.
821:  Za dużo krzyczały, więc musimy z nimi stoczyć walkę.
827:  Czy kawaleria w Total War Warhammer 2 nie działa, czy ja nie umiem grać?
829:  Nie działa, Cordemon, nie martw się.
831:  W trójeczce działa.
834:  Problem cały polegał na tym, że devowie spieprzyli
838:  ciężar i modeli jednostek, to znaczy każda jednostka, każdy model najmniejszy ma swój ciężar, ma swoją wagę.
844:  I oczywiście wirtualną w świecie gry.
847:  I niestety było tak, że piechociarze mieli bardzo zbliżoną wagę jednostek jak kawalerzyści, w związku z powyższym kawalerzyści nie byli w stanie, jak zaszarżowali we flankę wroga, wydostać się z niej.
858:  Prosta kwestia do naprawienia swoją drogą i na szczęście ją naprawiono.
863:  Dobrze.
867:  To nie jest dobry teren.
870:  Zawsze sprawdzajcie ukształtowanie terenów, Warhammerze.
873:  Zawsze, zawsze, zawsze, zawsze.
876:  Dobrze.
877:  No i kawaleria też wymaga mikrowania, tak?
879:  To znaczy, trzeba uprawiać babysitting cały czas.
885:  Oj tak, moi drodzy, nasze dumne chówce znów są przed nami.
892:  Dobrze, moi drodzy.
894:  Strzelcy na flankę.
896:  Tutaj, bardzo dobrze.
898:  Wypalacze?
901:  Wypalacze tutaj.
902:  Jakie będzie wypalanko.
905:  Ależ będzie wypalania, moi drodzy.
908:  Nie ma to jak zacząć od dobrego wypalania środę.
913:  Nefrytowi lansjerzy nadal się blokują.
916:  To prawda, to prawda.
918:  Ale liczę na to, że jak będą...
921:  Teraz patche to to nam ponaprawiają do reszty, moi drodzy.
925:  Czy czytane były książki z Warhammera Fantasy?
927:  Wstyd naprawdę, moi drodzy, wiele razy o to pytaliście, ale nie.
933:  Czy Skaveni idą?
935:  Tak, idą, bardzo wolno.
938:  Wypalenie zawodowe?
939:  Precz z wypaleniem zawodowym, moi drodzy.
941:  Tutaj uprawiamy radosny eskapizm.
943:  Menadżerzy cytowań pisze, że jednoraki bandyta potrafią robić spore problemy, np.
948:  w przecinkach, informacja z pierwszej ręki od edytorki tekstów.
951:  Nie jeśli ma się dostęp do edycji kodu, a Citavi daje taką możliwość.
956:  Z bardzo prostego powodu wam dałem to.
958:  Nie jest to prawda, że daje złe przecinki.
961:  Wystarczy to umieć robić.
964:  A jeżeli chodzi o film dotyczący tego, w jaki sposób pisać licencjat, bo dopytujecie o to, będzie to, moi drodzy, ale kiedyś, nie wiem kiedy.
973:  Na pewno poza rokiem akademickim, bo w roku akademickim jestem tak zaabsorbowany wszystkim, że nie jestem w stanie się skupić na rzeczach, które dotyczą w sumie pracy akademickiej, ale na YouTubie.
986:  O, o, o, o!
988:  Organ Uraszczuk!
989:  Witamy!
989:  Dzień dobry!
990:  Wreszcie zaczynają się imiona!
993:  Szczury podgryzają katapulty zawsze, moi drodzy.
995:  Na szczęście... Na szczęście wszystko wskazuje na to, że jesteśmy w stanie się obronić.
1000:  Klan Bracia już są rozbici.
1002:  Świetnie.
1004:  Zresztą nie oszukujmy się, ta walka jest tylko po to, żeby się poznęcać.
1012:  Dobrze!
1013:  Rozbić formację szczurze.
1015:  Świetnie.
1016:  Czy lepiej rzucić Zotero w cholerę i kupić Citavi?
1018:  Zotero jest najtragiczniejszym managerem cytowań, ma koszmarny UI, nie nadaje się kompletnie do edycji i stwarza potworne problemy.
1028:  Moi studenci, którzy korzystali z Zotero, kleili na czym świat stoi i jak mieli na przykład Maca, to woleli sobie postawić Windowsa na tym Macu, nie żartuję, byleby móc opalić coś innego niż Zotero.
1041:  czy było oglądane The Last of Us, la puni, ba, jest rozmowa z moim udziałem na bez schematu i będzie co poniedziałek o godzinie 20.30 albo 21.00, śledźcie bez schematu i no muszę powiedzieć, że jestem zachwycony.
1055:  Wreszcie mamy adaptację gry wideo, która jest absolutnie bezkonkurencyjna.
1060:  Jestem bardzo zadowolony.
1062:  A mówię jako ktoś, kto grał tylko w grę na zasadzie takiej, że oglądał to jak wy teraz, nie?
1068:  Bo ja nie mam konsoli.
1069:  Więc...
1071:  Wiem, jak wyglądają postaci, wiem, jaki jest vibe, ale nie mam żadnych oczekiwań odnośnie do na przykład, nie wiem, reprezentacji określonych mechanik w grze, tego typu rzeczy.
1082:  Chciałbym bardzo, żeby szczurowilki nie szarżowały.
1084:  Co to w ogóle było?
1090:  Jak stracimy bodaj jednego, szlak mnie trafi.
1096:  No przecież szlak mnie trafi.
1099:  Jakim cudem nasze dumne linie krasnoludzi nie zareagowały?
1103:  Przecież to jest skandal.
1105:  Wypalać, wypalać!
1111:  Alcideviego nie trzeba kupować, wersja 5 jest bezpłatna.
1118:  Tylko trzeba się doklikać na stronie Citaviego i kupić piątkę, bo szóstka różni się od piątki tylko tym praktycznie, że jest w chmurze.
1127:  I jest bardziej zawodna miejscami.
1129:  Koniec różnic.
1134:  Więc mega polecam.
1136:  Niektórzy też używają Mendeleja i też go nie lubię za bardzo.
1141:  Co tu się dzieje, co tu się dzieje?
1143:  Dobrze, nasi wypalacze są już bezpieczni.
1147:  Wypalać, wypalać!
1152:  Dobrze.
1155:  Aktualizacja... Wiecie co, sprawdzałem tę aktualizację Total War'a, on był zaktualizowany, więc nie mam pojęcia co się stało.
1160:  On był zaktualizowany już ostatnim razem.
1164:  Bo aktualizacja szła przez Steama.
1167:  Myślałem na początku, że aktualizacja idzie przez... Launchera Total War'owego, ale nie.
1173:  Jaki ważny jest wybór miasta, jeżeli chodzi o Mastera na studia.
1177:  Mierzę się, pisze Nuln Vistra z wyborem, czy poświęcić miejsce, gdzie chcę mieszkać na jakości dyplomu.
1184:  Zależy o jakich studiach mówisz, czy to są studia zagraniczne, czy polskie.
1189:  Dyplom dostajesz wszędzie dokładnie taki sam, to znaczy całkowicie bezużyteczny.
1194:  Na rynku pracy czasem się przydaje, ale generalnie rzecz biorąc to jest dla satysfakcji intelektualnej.
1199:  To, co zrobisz na studiach, zależy wyłącznie od ciebie.
1202:  Naprawdę, jeszcze raz mogę tylko podkreślić,
1205:  Moje miejsce pracy obecne, jak również wszystko to, co robiłem wcześniej, nie ma żadnej korelacji bezpośredniej z moim miejscem studiów.
1213:  Wręcz przeciwnie, gdybym mówił, że jestem po logistyce na UJ, to raczej to byłaby disadvantage niż advantage.
1223:  Oczekiwania co do nowych DLC w młotku wojennym.
1225:  Krasnoludy chaosu, Belwerter!
1227:  Dokładnie tak!
1229:  Dlaczego jeszcze nie dostaliśmy ich?
1232:  Horizon Zero Dawn będzie za dwa tygodnie dopiero, ale może zrobimy sobie w przyszłą środę.
1238:  żeby nie było tak długiego czekania, bo w przyszłą sobotę jest Nier Automata, a w niedzielę jest Q&A.
1244:  I w niedzielę mówię trochę o moim kursie, który wystartował na platformie OpenAGH, tam przeprowadzę Was przez ten kurs.
1249:  Jeszcze sobie porozmawiamy o albumie Souls Art, który wreszcie do mnie przyszedł, jest przepiękny.
1253:  Więc fani Soulsów, przygotujcie się.
1257:  3 marca będzie The Last of Us Part I na PC.
1259:  Nieogrywane będzie, moi drodzy.
1260:  The Last of Us jest dobre jako seria dla mnie, ale nie jako gra.
1266:  No jest dzięki za trybut.
1270:  Więc wiecie, jeżeli jeszcze co do tego, o Boże, studiowania, to zdecydowanie studiowanie za granicą lepiej priorytetyzować pod łuk tego, gdzie chcemy się znaleźć, tak?
1279:  W jakimś sympatycznym i przyjemnym miejscu.
1282:  Bo to już jest samo w sobie dość duże wyzwanie, żeby studiować w innym kraju.
1287:  TheClever1.pl ma urodziny!
1289:  Jamniki dla TheClever1!
1293:  Jamniki!
1294:  Dużo jamników potrzebujemy.
1295:  Yyy...
1299:  Mhm.
1300:  Tutaj sobie poczekamy jeszcze, moi kochani, niestety na... O i tak, poczekamy sobie.
1305:  Bardzo mnie to martwi.
1306:  Lubię budować koszary strażników z bardzo prostego powodu.
1309:  Udostępnia garnizon dodatkowy.
1310:  To jest jedyny budynek, a jest problem w Warhammerze bardzo z garnizonami.
1314:  Okej.
1316:  Plan jest taki, że spróbujemy walczyć z Wurzagiem.
1320:  Może być z tym różnie.
1323:  Może być z tym różnie i wiecie co?
1324:  Chyba bezpieczniej będzie, bo góra Squigorn jest w miarę broniona, więc zaatakujemy żelazną skałę.
1332:  Tak zrobimy.
1332:  Spróbujemy zbejtować jego atak.
1336:  Ależ jamników urodzinowych na czatach.
1338:  Wspaniale.
1339:  I innych zwierząt także.
1345:  gdzie trzeba pomyścić zaraz urazy.
1348:  Trzy tury.
1350:  Długo jeszcze poczekałem, moi drodzy, długo.
1352:  Czy możemy z kimś paktować?
1353:  To jest pytanie.
1355:  Nie chcemy z nimi paktować.
1358:  Śmierdzący ląd nie.
1360:  Okej, z nimi nie możemy paktować.
1363:  Pakować moglibyśmy.
1367:  Właśnie, teraz zapomniałem, bo było imię podczas bitwy dla jednego z naszych dowódców.
1379:  Matthew Cyriak, dzięki za trybut.
1381:  Idealny streamer do rysowania jamnik.
1383:  Jamniki dla ciebie.
1387:  65 kilogramów.
1388:  Karol pisze, że potwierdza w szczególności swoje problemy ze znalezieniem miejsca z funkcją spania.
1392:  Pokój, mieszkanie, studia w Holandii nie polecam.
1395:  O, widzisz, dobrze, że to mówisz.
1396:  To też się zmienia bardzo z roku na rok, więc śledźcie, moi drodzy, tego rodzaju informacje zawsze.
1402:  Oho.
1405:  Karak osiem szczytów, nie ma szans się obronić.
1410:  O nie, jak ja tego nie znoszę!
1418:  Co więcej, nie możemy się zasadzić w zasadce chyba.
1426:  A zatem po prostu okupujemy.
1430:  I zobaczymy, co zrobi Wurzak.
1432:  Natomiast tutaj, teoretycznie, możemy spróbować zrobić jedną rzecz, w zależności od tego, jak to jest silna... To nie jest silna armia.
1439:  Nie jest silna armia.
1442:  Spróbujmy zatem wziąć Mistrza Rune.
1455:  I... Coś to da, coś to da.
1457:  Na ramieżnik, katapulta.
1462:  Zabij Imricka, póki żyje.
1464:  Hmm... Imrick jest przydatny na razie, nam zabezpiecza tę flankę.
1468:  Jak zacznie być słaby jak kupa, to go wykończymy.
1471:  Nie jesteśmy jeszcze tak potem... Boże, co tu się dzieje?
1475:  Oj, oj, niedobrze jest, moi drodzy, niedobrze.
1477:  Stracimy tę... Stracimy tę osadę.
1479:  Ja wiedziałem, że ta kampania, która nam poszła na początku bardzo dobrze, teraz będzie szła gwałtownie źle.
1489:  Trzeba tutaj zabezpieczyć przynajmniej to, co możemy.
1495:  Najlepsza rasa to Wojownicy Chaosu z DLC, zostali bardzo poprawieni, to jest prawda.
1501:  Jak uporamy się z Wurzagiem, to już będzie dobrze, bo potem będziemy mogli się skoncentrować na Skavenach i przejść na południe.
1511:  Tak, ten rush na czarną granic zrobiliśmy, Taraelu.
1514:  Tylko, że problem polega na tym, iż to wciąż za późno.
1518:  Chociaż to już jest ufortyfikowane jakoś.
1520:  Jakoś, jakoś.
1523:  Rząd Kolenderski chce prowadzić ustawę o zakazie rekrutacji cudzoziemców na studia począwszy od 2023?
1528:  Ojej.
1530:  Dziś stream tracimy karak osiem szczytów.
1533:  Nawet mnie nie przerażajcie, moi drodzy.
1536:  Ale to jest oczywiście możliwe.
1538:  Alternatywnie można zrobić chytrze w ten sposób, żeby niech sobie Skaveni rozwinął troszeczkę karak, bo nam z poziomu pierwszego i tak będzie bardzo... Wiecie co, to nawet jest nawet... Tak.
1551:  To jest nawet słuszne.
1552:  Jeżeli stracimy, to się nic nie stanie.
1555:  Witamy Dominika Jamniko, twórczynie Klimczak na czatach.
1558:  Dominika jak zawsze dzieli się z nami sucharem.
1562:  Co robi strażak na siłowni?
1566:  Spala kalorie.
1577:  Tradycji stało się zadość.
1579:  Internet odłączony w akademiku.
1581:  O nie, nie mówcie mnie nawet o takich rzeczach.
1590:  Odnoszę się do mojej wiadomości, to czy powiązanie homoviator quendich w wędrówce do walinoru z ardologią w postaci analizy osadnictwa w Amanie ma sens?
1598:  To jest bardzo hermetyczne pytanie, bardzo z usił człowieku.
1601:  Myślę, że ma.
1606:  Pamiętajcie, że...
1608:  To tak, żebyście mieli kontekst.
1610:  Ardologia to jest nauka o światotwórstwie w Śródziemia, prawda?
1613:  Więc jeżeli chcecie się parać ardologią, to się zastanawiacie na przykład nad tym, jaka była redystrybucja ras Quedic, chociażby, w Śródziemiu.
1622:  A jeżeli was interesuje Tolkienistyka, to wtedy chociażby analizujecie sobie Sidmarillion i, nie wiem, jego przekłady i tak dalej.
1630:  Dobra, pytanie, czy będziemy w stanie wesprzeć
1637:  Te osadę.
1639:  Aaa!
1639:  Haha, dobrze.
1641:  Bardzo dobrze.
1642:  Czyli nie tracimy.
1643:  To jest kluczowa kwestia, moi drodzy, żeby teraz żadnej osady nie utracić.
1649:  Dobrze.
1650:  I wygląda na to, zobaczcie, że Karak Osiem Szczytów przetrwa.
1655:  Dobrze, możemy się pozbyć tego budynku, nie będzie nam przydatny.
1663:  Ktoś jest żałosny!
1668:  Co?
1669:  Jaka szlachetna... Co?
1672:  O nie, nie, nie, nie.
1673:  Zrobimy chytrą rzecz, moi drodzy.
1675:  Nie dowodzimy armią.
1678:  A ponieważ to jest kiepska armia, damy ją pod kontrolę SI.
1684:  Oj, poważne rzeczy teraz.
1687:  Czy jest mod na rekrutowanie poległych legendarnych?
1689:  Tak.
1690:  Nie mam siły zajmować się konfederacjami.
1693:  Dziękuję czatom za polecenie Sowiego Domu, wspaniały serial na odpoczynek po ciężkim dniu, a ja jeszcze go nie widziałem, widzicie?
1704:  Sprawdzałem, czy nie ustawiałem starszej wersji w ustawieniu na Steam, prace w toku.
1707:  Ja cały czas mam tę wersję, którą dostałem od...
1714:  Nie, nie, nie, nie, nie, nie, nie, nie, nie.
1716:  To chodzi o to, że to jest wersja, którą ja mam od Creative Assembly, ale teraz zacząłem się zastanawiać, czy przypadkiem ona się nie zaktualizowała.
1723:  Nie, niemożliwe.
1725:  Niemożliwe, moi drodzy.
1727:  To byłoby bardzo zdumiewające.
1729:  O, świetnie.
1733:  To będzie trudna walka.
1734:  Od razu mówię.
1737:  Będzie trudna walka.
1739:  Strzelców musimy trzymać z tyłu.
1743:  Wypalaczy tutaj.
1746:  Pierwsza linia nie może się poddać, pod żadnym pozorem.
1752:  Okej.
1757:  No, łatwo nie będzie.
1760:  Później będzie trzeba troszeczkę dokonać małej korekty, jeżeli chodzi o rozstawienie katapult.
1767:  Dwa kolosy zaliczone u budowniczego pylonów, gratulacje!
1773:  co widzą my niedługo drugi sezon.
1776:  Tym bardziej trzeba będzie obejrzeć, moi drodzy.
1779:  Ale naprawdę, The Last of Us na razie mnie zachwyca.
1782:  Okej.
1783:  Robimy pełen Corner Camping tutaj, nie ma żartów.
1786:  Absolutnie nie ma żartów.
1790:  Teraz tak, tylko naprawimy ustawienie katapult.
1798:  Okej.
1800:  Dobrze.
1801:  Magda pisze jamnik, jamnik, jamnik, jamniczek, jamnior!
1805:  Dziękuję, dziękuję bardzo za wsparcie od pięciu miesięcy!
1814:  Trzeci sezon sobie jego domu będzie, nie drugi?
1816:  O, proszę.
1820:  Tutaj... Dobrze, tutaj nasi sojusznicy przychodzą.
1823:  Świetnie.
1824:  Świetnie.
1827:  Dlaczego dałem pod kontrolę sojuszników?
1828:  Dlatego, że my tą armią byśmy nie zadali żadnych obrażeń, a ja miałem mała cheaty na poziomie legendarnym.
1835:  Katapulty będą miały tu problem spory trafić.
1838:  To jest prawda, bo są w... No, to jest prawda.
1842:  Przesuniemy je... Przesuniemy je tutaj, moi drodzy.
1847:  O, tak.
1848:  Tu jest... Tak, tu jest paskudny... Paskudne zagłębienie.
1854:  Dobrze, teraz się upewnijmy, czy reszta będzie mogła trafiać.
1860:  Rozstawimy... Rozstawimy chytrze naszych kuszników.
1867:  Każdy musi trafiać, za każdym razem, nie ma innej opcji.
1874:  I tutaj nie ma możliwości takiej, żeby ktokolwiek przeszedł.
1878:  Nikt nie może przejść.
1882:  Trzeba być twardym, jak mawia mem.
1886:  To jest straszne, że to się zdarzyło.
1892:  Okej, tutaj damy jeszcze strzelców.
1897:  Tutaj.
1901:  Kusznicy tu.
1903:  Tak, rozproszymy się trochę, ale to celowo.
1910:  Dobrze.
1912:  Podejrzewam, że tutaj będzie nam najlepiej strzelać.
1917:  Sowietom jest na Disney+, okej.
1919:  Podcasty anglojęzyczne typu napisy końcowe bez schematu bądź streamy równie charyzmatyczne, pisze Marcin.
1925:  Ja bardzo lubię streamy low-co.
1927:  Często je oglądam.
1929:  Natomiast jeżeli chodzi o takie podcasty popkulturalne, to szczerze powiedziawszy nie śledzę wielu.
1934:  Zupełnie szczerze wam powiem.
1941:  Ale jak ktoś poleca na czatach, to chętnie takie polecenie przytulimy.
1944:  You shall not pass, oby, oby moi drodzy.
1947:  Co tutaj do nas leci?
1949:  Snoty.
1949:  Snotami się nie przejmujemy na razie.
1953:  O, tym się będziemy przejmować bardziej.
1955:  Gubniskimi łucznikami.
1956:  Ale świetnie nadchodzą, moi drodzy, falami.
1959:  O to chodziło.
1960:  O to chodziło.
1962:  Teraz tak, czy jesteśmy w stanie pieprznąć tutaj naszą armatą?
1967:  Jesteśmy w stanie.
1975:  Dobrze, dobrze.
1976:  Zawsze coś, zawsze coś.
1981:  Teraz tak, czemu nasi strzelcy nie mają tutaj zasięgu?
1984:  Okej, bo mają generalnie słaby zasięg.
1987:  To jest też wniosek, który trzeba wyciągnąć.
1997:  Czy warto kupić Warhammera III?
1999:  Ja bym się wciąż utrzymywał.
2000:  Poczekajcie do dodatków.
2003:  Poczekaj się do dodatków, zobaczycie wtedy, czy spatchowano błędy, o których grzmi cały czas społeczność jeszcze.
2012:  Spokojnie.
2017:  Dobrze, nie możemy się oddalić za bardzo poza linię ostrzału.
2025:  Dobrze, dobrze.
2027:  Niech idą falami, o to chodzi.
2030:  Musimy bardzo długo przetrwać.
2035:  Świetnie!
2036:  Dobrze, ostrzał był.
2041:  Good.
2044:  Creative Assembly podobno w 2023, moi drodzy, ma zabrać się za dodatek jakiś.
2052:  Jeden lub dwa, ale wciąż nie mam informacji, mimo że jestem w tym nieszczęsnym programie.
2057:  Co?
2057:  Co w nas strzela?
2060:  Coś w nas strzeliło.
