🔴 Raj dla maga, gdy gra domaga | BALDUR'S GATE 3 Livestream #2
🔗 https://www.youtube.com/watch?v=H6W_Fsw0jpE

28:  Cześć.
834:  Ale, moi drodzy, nie ma tego wszystkiego, co by na moje nie wyszło.
838:  Myślę, że uda się w nią wklikać jakoś sprytnie i chytrze.
841:  Tylko trzeba znaleźć dobrą jakość mapy Ferunu.
844:  Nie jest to takie proste, wbrew pozorom.
846:  Ostatnio mi się to udało zrobić i najpewniej już dzisiaj mi się to nie uda.
851:  Bo map Ferunu jest sporo.
853:  Żebyście mieli kontekst, co Krzysztof klika.
855:  Krzysztof klika te mapy.
856:  Jest parę opcji.
857:  Ta mapa jest na przykład odrażająca.
859:  Ta mapa jest względnie ładna.
861:  Może się uda nam w nią wklikać jakoś ładnie.
864:  Ale bardzo nie lubię tej wersji.
867:  No właśnie, bo nam wyświetla mało, małość nam wyświetla mapy.
871:  Może uda się tak to chytrze zrobić.
873:  O nie, jeszcze gorzej.
874:  Będę szukał mapy dalej moi drodzy.
876:  Musimy mieć mapę, mapy są ważne.
878:  Czy ostatnie zapowieści Sapko o Wiedźminie się spełnią?
880:  No ja mam nadzieję, dajcie spokój, muszą.
884:  Astrzej, zawsze jest tak, że szukasz gorących jamników w okolicy, jak się pojawiasz tutaj długo na streamach.
890:  Co mamy zrobić, moi drodzy?
891:  Musimy znaleźć remedium.
893:  Zakończyliśmy uzyskiwanie pomocy od uzdrowicielki Nettie.
897:  Musimy zwrócić się o pomoc do kapłanki Goblinów ewentualnie.
900:  O, Druid Halsin, to się pojawiło ostatnio.
903:  Mamy też wykorzystać swój potencjał.
906:  A!
906:  To jest chyba najbliższa rzecz.
908:  Udaj się do obozowiska goblinów, pokaż na mapie.
911:  Mieliśmy, moi drodzy, pomóc uchodźcom, którzy zostali wyekspediowani z gaju druidów z tego względu, że zakłócali tam rytuały i rzeczy.
920:  I uratować Halsina trzeba.
921:  Najważniejsze rzeczy.
923:  Wojtek się cieszy, że zapolecał jakieś tyle osób.
924:  Widzicie, czyli mój paskudny trolling, w ramach którego, dla tych, którzy nie wiedzą o co chodzi, zrobiłem recenzję Wiedźmina, która nie jest recenzją Wiedźmina, tak?
933:  Ja bardzo za to chciałbym przeprosić teraz niniejszym, ponieważ zatizowałem na ostatnim streamie, że będzie recenzja Wiedźmina, ale to nie jest recenzja Wiedźmina.
940:  To jest recenzja Silosu, ponieważ Wiedźmin mnie tak znudził już, znaczy dyskusja o Wiedźminie mnie tak znudziła, a zarazem Wiedźmin Netflixowski, że stwierdziłem, że trzeba wykorzystać to, że Wiedźmin wciąż trenduje i polecić Silos.
952:  Nigdy w życiu, jeżeli bym zrobił recenzję Silosu, nie byłoby 24 tysięcy wyświetleń.
957:  Nie ma takiej możliwości.
958:  Niestety.
958:  A trzeba taki serial promować, moi drodzy.
961:  Bo dobry.
963:  Możesz zmieniać klasę towarzyszy u Marnieja.
965:  Właśnie też o tym słyszałem.
966:  To jest bardzo dobra sprawa.
968:  Zadanie w gaju z dziewczynką.
969:  Tak jest, Michale S. To będziemy robić, moi mili.
972:  Czy myśmy mieli jakoś tutaj odpocząć, czy nie?
974:  Ja już nic nie pamiętam.
976:  Dobrze.
976:  Opuśćmy obóz zatem.
980:  Raciaveli pisze, że jest na szóstym odcinku Silosu i Mega.
983:  No proszę, Natalii się też Silos podobał.
985:  No widzicie, a podobno jeszcze książki są, moi drodzy, z tej serii.
989:  Dlaczego nie ma żadnej muzyki?
990:  Krzysztof jest zmartwiony i markotny.
992:  Kapłanka Kiszka, Obóz Goblinów.
995:  O proszę, czyli i tak się musimy udać do tej kapłanki?
998:  Jest tam Halsin?
999:  Proszę bardzo.
1000:  Czy ja mogę znowu pochwalić Larianów tym razem za to, że wszystkie questy prowadzą nas do Rzymu, moi drodzy?
1006:  Najwspanialsza rzecz.
1008:  Jak stąd wyjść?
1010:  Ja nie wiem, jak stąd wyjść.
1013:  Ratunku.
1014:  Czy to tędy?
1015:  Czy to tędy?
1016:  Pewne rzeczy się nie zmieniają.
1018:  Czy następnie będzie grany Gothic?
1020:  Obiecuję, że jeżeli będzie, moi drodzy, nie tędy, dokładnie na odwrót.
1024:  Obiecuję, że jeżeli będzie remake, to zagramy.
1026:  Ale tylko wtedy, jeżeli będzie remake.
1028:  Jak stąd wyjść?
1029:  A, tędy.
1032:  Moi drodzy, my musimy tuptupać na górę.
1036:  To ma prawa do świata Ferunu.
1039:  Wizards of the Coast, chyba.
1041:  Jeśli mnie pamięć nie myli, to jest firma, do której należy Dungeons & Dragons.
1048:  Kamilka nie poleca zmiany klasy towarzyszącej przy pierwszym podejściu.
1051:  Ja myślę, że na razie zostaniemy na pewno przy tych, którzy tutaj są, moi mini.
1056:  Ooo, jak tutaj pięknie.
1058:  Czy ja poszedłem w dobrym kierunku?
1061:  Jak dla mnie.
1062:  Wyszliśmy z obozu druidów, moi drodzy.
1066:  Chyba tak.
1067:  Spójrzmy na mapę jeszcze raz.
1068:  Nie, to był po prostu drewniany właz.
1070:  Ja nie wiem, jak się tam dostać.
1073:  Może tędy.
1076:  Tak.
1077:  Bardzo ładnie.
1078:  Oczywiście, że ładnie.
1079:  Krzysztof, po wejściu do jaskini z jednym wyjściem.
1081:  Jak stąd wyjść?
1082:  Tam były dwa wejścia!
1084:  Tu się nie da przejść.
1085:  Tu się nigdzie nie da przejść, moi drodzy.
1087:  Nie można dotrzeć.
1088:  Aaa!
1091:  Nierówna skała.
1093:  Wiecie co, ta eksploracja naprawdę jest ciekawa, bo w żadnym momencie nikt nam nie mówi, gdzie należy pójść i troszeczkę się solsowo robi pod tym kątem.
1103:  Z tą różnicą, że jest na szczęście mapa i to kompetentnie zaprojektowana, rzadkość wielka.
1107:  Więc znaleźliśmy dzięki temu skrzynię, widzicie, warto było tutaj pójść.
1111:  Znaczy nie Hasbro ma prawa do Ferunu, tak, to jest z Warhammerem, to też jest możliwe swoją drogą.
1116:  Świętostwa proza pisze, że czyta powiernika mieczy, kolejny raz się nie zawiódł.
1121:  Cieszy mnie to ogromnie, moi drodzy.
1124:  Tutaj jeszcze ktoś jest.
1126:  Pochodnia, płonięcie.
1129:  Pochodnia, nie płonięcie.
1137:  Dziękuję, dziękuję.
1141:  O, może jeżeli dam po angielsku, mądre, mądre, to wtedy doklikamy się do niej prędzej.
1143:  No oczywiście, że tak.
1144:  Ależ to jest niesprawiedliwe i smutne.
1163:  Za każdym razem tak się dzieje.
1164:  Proszę bardzo, high resolution, moi drodzy, zwycięstwo.
1168:  Dzięki Joglolowi zmobilizowałem się do doklikania się do mapy Ferunu.
1173:  Więc Joglol mówił o pustyniach.
1175:  Podejrzewam, że pustynie to jest wszystko to, co zostało zaznaczone na kremową.
1181:  Azma ma prawa do akcesoriów z D&D, pisze Kamilka, ale D&D należy do Wizard of the Coast i oni wydają podręczniki.
1186:  Właśnie dlatego ich kojarzyłem, coś.
1188:  Lakrissa?
1190:  Nie rozmawialiśmy z nią.
1192:  Weź już i dam wszystkich.
1194:  Czy gra jest warta ceny na premierę?
1195:  Tak.
1202:  Wiecie, jeżeli jesteście w jakikolwiek sposób co do tego nieprzekonani, to mogę powiedzieć tylko jedno.
1210:  Mianowicie, na YouTubie ukazał się w którymś momencie film Asmongolda, który... O!
1220:  Why I bought Baldur's Gate 3 even though I'm not going to play it?
1224:  Azmon tłumaczy tutaj, że w taką grę jak Baldur's Gate 3 trzeba zainwestować, jeśli się ma wolną gotowiznę z bardzo prostego powodu.
1232:  To znaczy, jest to gra, w której nie ma mikrotransakcji, nie ma ohydnych praktyk monetyzacyjnych, jest ona zrobiona z sercem, nie ma oszustw różnego rodzaju, nie ma battle passów, nie ma płatnych battle passów, nie ma płatnych kosmetycznych,
1246:  usprawnie.
1247:  Nie ma, o, długiego rozwoju tytułu, w ramach którego będziecie musieli rzucić tysiąc złotych w sumie, żeby mieć całość.
1252:  Zresztą to tak jest niestety w Diablo.
1254:  Więc jeżeli miałbym powiedzieć, czy Diablo 4, na przykład, czy Baldur's Gate 3, absolutnie Baldur's Gate 3.
1260:  Trzeba wspierać Larianów za to, że do wieźni.
1263:  I nie zrobili łatwego cash grabu tak jak Netflix, tak jak Disney ostatnio, przejechawszy się na znanej marce, prawda?
1271:  Bo nie oszukujmy się, Baldur's Gate 3 to jest gra kultowa i znana, więc oni mogli z łatwością wstrzyknąć tutaj cokolwiek chcieli, jakiekolwiek mikrotransakcje, tego nie zrobili, należy ich za to szanować.
1281:  Gra kosztuje 250, jest to prawda, nie każdy sobie może na nią pozwolić, to też absolutnie się zgadzam, dlatego też zaznaczyłem, że jeśli ktoś ma wolną gotowiznę... Cicho dźwięk w grze?
1291:  Podgłośnijmy grę.
1292:  No dobrze, przejechaliśmy przez Avernus.
1293:  Może się nie spotykam, ale jesteśmy ciężki.
1296:  Kto wie, może nawet nie jesteśmy w stanie przejechać do Bordera's Gate.
1317:  Absolutnie, podesz się z szacunkiem do utworu.
1319:  Zgadzam się, Red Pencil.
1320:  Jeśli przetrwaliście piekło, przetrwacie i to.
1323:  Może zdążysz zobaczyć kawałek Wroodbaldora zanim cię zabiją.
1325:  Konsekwentnie, moi drodzy.
1328:  No, nie jesteś optymistą.
1330:  Widziałam, co mogą robić gobliny w wątpliwej karawanie, więc nie jestem tak pewnościowa.
1335:  Ale jeśli jesteś, dlaczego nie włożyć trochę złota na linię?
1339:  Ooo, zakład!
1342:  Podoba mi się!
1345:  Widzicie, taka żadna interakcja, nie?
1348:  Żadna interakcja, przypadkowa i mi jest zabawne.
1357:  Dobrze.
1360:  Baldur czy Divinity Original Sin 2?
1361:  Wiesz co, Astro, na początku bym sobie zagrał w Divinity, żeby zobaczyć, na czym polega styl Larianów.
1367:  Okej, w jaki sposób ja mam stąd wyjść?
1371:  Krzysztof nie wie, jak tu przyszedł.
1375:  Ja autentycznie nie wiem, jak ja tutaj przyszedłem.
1377:  Aaa, tędy.
1379:  Tak?
1379:  Nie?
1380:  Nie wiem.
1382:  Jak to nie można tutaj dotrzeć?
1383:  O Boże.
1385:  O Boże.
1385:  Nie no, spokojnie, tutaj był jakiś właz.
1388:  Drewniany właz, tędy.
1390:  Let me out!
1391:  Nie inaczej, moi drodzy.
1392:  Raczej, raczej nie inaczej.
1394:  No dobra.
1396:  Chyba, czekaj, czekaj, czekaj, czekaj, a może tędy trzeba przejść?
1400:  Ja chcę konsekwentnie stąd wyjść, wiecie?
1402:  Nie jest to takie proste.
1407:  Nie ma mapy.
1407:  Mapa teraz będzie, swoją drogą, zaktualizowana w Genshinie, ciekawa sprawa, warstwowa.
1412:  Wciąż uważam, że warstwowe mapy są najlepsze, jeżeli chodzi o... O, tędy.
1417:  Jeżeli chodzi o nawigację po wielopoziomowych miejscach, moi mili.
1422:  Dobra.
1423:  I teraz tak.
1426:  Kamienne drzwi.
1427:  Musimy, obawiam się, iść tędy.
1429:  Tak mi się przynajmniej wydaje.
1433:  Co oznacza, że się przeteleportujemy w to miejsce?
1436:  Zresztą zaraz się wpakuję do podmroku.
1439:  Nie!
1439:  Nein!
1441:  Skoki dają większą mobilność.
1442:  My skaczemy i to jesteśmy rączy.
1446:  Jesteśmy rączy jak królisy.
1448:  Podobno królisy to jest mutacja królika i lisa do znalezienia w okolicach Czarnobyla.
1456:  O!
1464:  Pamiętam, że pololnistka, którą kiedyś miałem w postałówce, pomyliła osinowy kołek z osikowym.
1472:  Prawdopodobnie dlatego, że jakby zobaczyła wampira, to by drżała jak osika.
1479:  Zaczęłam grać w Gęsina przy Marta F., nie mam pojęcia, co robię.
1482:  Tak jest zawsze na początku.
1483:  Nie mam... Wchodzicie w tryb Miecia Mieczyńskiego.
1486:  Nie mam pojęcia, co robię.
1488:  Są też kunolisy?
1489:  Naprawdę?
1492:  Co tu jest?
1495:  O, moi drodzy, nowicjuszka Absolutu.
1497:  Pamiętacie o informacji o Absolutie, prawda?
1502:  Absolut jest czczony przez naszych bohaterów napotykanych.
1506:  Nie wiadomo dlaczego.
1509:  Uuu, tu jeszcze był autosave.
1513:  Niedobrze.
1536:  Nie to magia, Amnix jest niewzruszony.
1542:  Królisy grasowały w okolicy zalewu Zegrzyńskiego.
1545:  Razem z Paskudą.
1545:  Tak pisali w skandalach, pisze Sierra Papa.
1547:  Proszę bardzo.
1549:  Krzysztof, wyłącz karmiczne kości.
1550:  Dlaczego?
1552:  Czy grałeś w Pillars of Eternity?
1553:  Grałem.
1554:  W jedynkę.
1554:  W dwójkę nie zagrałem, a podobno jest najlepsza z dodatkiem Deathfile, niestety.
1558:  Czy to jest Fiona?
1559:  Podobna w sumie.
1560:  Jej rany wyglądają na głębokie, ale może dam radę mu pomóc.
1564:  Na pewno nie będziemy się poddawać, moi drodzy.
1567:  Shani?
1568:  W sumie?
1571:  Jesteś zbyt zniszczony.
1582:  Ołowia znalazła go głęboko.
1587:  Jeśli jest coś, co możesz zrobić... Oczekuję ciebie.
1590:  Zabity człowiek zamknął oczy z tobą.
1594:  Zrozumiałe zwierzęcie się w twoim głowie.
1600:  Spróbuj go zablokować.
1602:  Wytrzymaj jego spojrzenie.
1604:  Wytrzymamy, moi drodzy, spojrzenie.
1606:  Nie do magii, Amnix jest potężny!
1622:  Czy ultraczysty kostium nie przeszkadza mi w imersji?
1624:  To jest ultraczysty kostium?
1626:  Może teraz nie widzicie, ale... To nie jest ultraczysty kostium!
1631:  Jest cały zakrwawiony!
1634:  Edwin!
1642:  Ed!
1642:  Proszę!
1643:  Jesteś teraz z absolutnym.
1645:  Jesteś... Jesteś prawdziwą duchem.
1650:  Edwin, nasz brater, został wybrany.
1653:  Tak jak ty.
1654:  Masz dla nas urzędy?
1657:  Napisałyśmy o Edwinie.
1661:  Widziałem memy o grupie jamnikowo.
1663:  Tak, moi drodzy, Make Life Harder zrobił niesamowitą rzecz, ale to niestety było wtedy, kiedy myśmy streamowali, więc nie miałem jak na to zareagować.
1672:  Ale od czego jest Dominika Jamnikotwórczyni-Klimczak, która wysłała mi te wszystkie rzeczy?
1677:  Coś absolutnie przewspaniałego, moi mili.
1680:  Jeżeli nie wiecie, o co chodzi, to w którymś momencie Make Life Harder dokopało się do grupy jamnikowo.
1689:  Jeśli mnie pamięć nie myli w każdym razie.
1691:  I to było absolutnie wspaniałe.
1693:  Usiłuję znaleźć ten wątek, ale nie jest to proste.
1696:  Tak, bo proszę bardzo, to jest jeden z tych memów.
1698:  Obrona granicy jamnikowo mon.
1702:  Jest bardzo dużo.
1704:  One does not simply leave Jamnikowo Group.
1706:  Wszystko się wzięło z tego, że jedna osoba miała opuścić grupę Jamnikowo, ale nie.
1711:  O, proszę bardzo.
1713:  Właśnie tu jest chyba ten wątek, jeśli mnie pamięć nie myli.
1715:  Coś wspaniałego.
1716:  Czy Dominika Jamnikot, twórczyni Klimczak, jest jako rudy wykolejeniec u mnie na konwersacji?
1721:  Nie inaczej, moi drodzy.
1723:  Od przylutlenia nie ma już odwrotu.
1725:  Smasluk w pluszach.
1727:  Swoją drogą, swoją drogą, proszę bardzo, on istnieje.
1732:  Co?
1732:  Testujesz nas?
1760:  Prawdziwa duchowość, jak ty, została wybrana przez Absoluta.
1764:  Mówisz z jej głosem.
1765:  Twoje słowa są jej urządzeniem.
1768:  Poddaje ci się siłę, aby utrzymywać jej wolę.
1771:  I kiedy przyjdzie czas, prawdziwe duchy, ty, będziesz rządził.
1777:  Będziesz rządził galakcją!
1782:  Czy to znak prawdziwej duchowości?
1785:  Czy grałem w Warhammera Mechanicus?
1788:  Czy ja mogę jeszcze raz powiedzieć, jak bardzo nienawidzę YouTube'a?
1792:  Chciałem oznajmić, że bardzo nienawidzę YouTube'a.
1795:  Dosłownie.
1796:  Dosłownie na tym kanale, wśród wielu playlist, jakie są dostępne, jest i playlista z Warhammera 40 000 Mechanicus.
1805:  Graliśmy w Warhammera... Ja wiem, że graliśmy w Warhammera 40 000 Mechanicus bardzo dawno, moi drodzy.
1810:  Ja zdaję sobie z tego sprawę.
1812:  Ale dlaczego?
1813:  Dlaczego YouTube tego nie pokazuje?
1816:  Proszę bardzo, Krzysztof pokaże.
1819:  Wszystkie nauki Magosa z Kevoli.
1822:  Kultowy, wspaniały cykl z bratem Jeremiaszem.
1828:  Od niego zaczęliśmy, a potem już było dużo Warhammera i Wiedźmina.
1834:  Urocze podsumowanie.
1835:  Musisz jeszcze wiele nauczyć na temat naszej wiary, nowicjuszko.
1837:  Ostatnio ludzie mi też przypomnieli, że tu jest suwak i można przeglądać więcej opcji.
1844:  Mylisz się, nie jestem najwierniejszym.
1845:  Być może będziecie mogli mi pomóc.
1846:  Szukam druida Halsina.
1847:  Idziemy, moi drodzy, w konkrety.
1853:  Okej.
1854:  Wiemy, że wszystko za dobrze, panie, ale... Absolut nas tu przysłał.
1856:  Zobaczmy, jak on nas zniszczył.
1856:  Zobaczmy, jak on nas zniszczył.
1862:  Zobaczmy, jak on nas zniszczył.
1863:  Zobaczmy, jak on nas zniszczył.
1864:  Zobaczmy, jak on nas zniszczył.
1865:  Zobaczmy, jak on nas zniszczył.
1868:  Iwanus pisze, że był tam, 3000 lat temu, tak to było.
1872:  Ty ogólnie stronisz od konsol?
1873:  Tak, sikorkarkruk, nie znoszę konsol, nie znoszę kontrolerów przede wszystkim, nie lubię, nienawidzę, nie cierpię, z definicji.
1881:  Uważam, że konsole są dobre dla ludzi, którzy grają na takiej zasadzie, że jest sowka, jest 80 cali przed nimi i padzik.
1890:  Spoko.
1890:  W stu procentach to rozumiem.
1892:  Ale w sytuacji, gdy ja na przykład siedzę przy tym moim stanowisku i mam zajęcia, no to jak ja mam to zrobić?
1898:  No ja nie wiem tego, jak zrobić.
1899:  Poza tym telewizor jest zupełnie w innym miejscu.
1902:  Skomplikowane rzeczy!
1906:  Nie będziemy nic mówić o naszej przeszłości absolutnie.
1909:  Sowodźwiedź, proszę bardzo.
1912:  Sowodźwiedź jak królis zupełnie.
1915:  Uproszczone podsumowanie, musi się jeszcze wiele nauczyć na temat naszej wiary, nowicjuszko.
1919:  Dobra, wkręcamy ją.
1920:  Przepraszam, prawdziwa duchowość, ja... tylko powtarzałam to, co myślałam.
1925:  Wygląda na to, że Absolut ma jeszcze dużo co mi nauczyć.
1929:  Mmm... Powiedzcie mi więcej o tych zbiegach.
1933:  Nie wiemy, jak one wyglądają, ale... Ktoś, kto przeżył ten zbieg, powinien być zniszczony.
1938:  To wystarczy, żebyśmy się zaczęli.
1940:  Absolut chce ich znaleźć.
1942:  I jakich kosztów.
1947:  Musicie odszukać bestii i pomyśleć o swojego brata.
1949:  Zapomnijcie o sowodźwiedziu!
1950:  Zapomnijcie!
1952:  Tak.
1952:  Pustępne serce nas lubi, za to, moi drogi.
1971:  Jak wrażenia?
1971:  Oj, Kamil, jestem zachwycony już od... Nie mogłem się doczekać, aż znowu zagramy.
1977:  Mmm, ciekawe.
1984:  Bardzo ciekawe.
1994:  Oooo.
1995:  Ofiara Eididów, moi drodzy.
1997:  Good.
1999:  Aha.
2012:  Także można wkręcić ludzi w kult?
2013:  10 do 10, szkoda, że mój komputer to złom, który tej gry nie odpali za tysiąc lat.
2017:  A może, może streaming?
2019:  Nie wiem, czy przy... ...Nuidi jest to możliwe na przykład, ale... ...nie sprawdzałem.
2024:  Mądrość.
2025:  Zmuść się do odsłonięcia własnego umysłu, żaden iticki pasożyt nie będzie na ciebie wpływać.
2031:  Daj się poprowadzić własnemu ciału, przyjmij wpływ kijanki.
2038:  Aaa, co tam? !
2045:  Czy są w tej grze jakieś romanse?
2047:  Na pewno.
2047:  Łee!
2054:  I co teraz?
2059:  Czemu on to wsadził w dupę?
2065:  Nie!
2067:  To nie do tego służy!
2070:  Wpierw lewatywę zrób!
2072:  O nie!
2074:  Tu jest więcej robaków, a nie, to jest salami tylko.
2078:  Co ten człowiek, dlaczego on ma tyle salami?
2081:  Jedno salami, drugie salami.
2083:  Drzewce złamanej włóczni.
2085:  Okej.
2086:  Ser!
2086:  Ser z Waterdeep!
2087:  Tak, tak!
2089:  Więcej pęd kiełbasy?
2091:  Co to się dzieje?
2093:  O, co tyle kiełbasy.
2095:  Ale widzicie, opłacało się tutaj pójść.
2097:  Wiedziałem... Dobrze, idziemy, dobrze, idziemy cały czas we właściwym kierunku.
2105:  Okej, przez przypadek kliknąłem, ale jest fajna rozmowa.
2108:  Te malowidła w gaju, coś cię w nich zaintrygowało, prawda, posępne serce?
2111:  Dlatego zaczęłaś ze mną rozmawiać?
2112:  Wcale nie dlatego, że Krzysztof zrobił misklik.
2115:  Co mogę powiedzieć?
