🔴 Rozmowy z diabłem | BALDUR'S GATE 3 Livestream #15
🔗 https://www.youtube.com/watch?v=66GO4Iz7tWg

2:  muzyka muzyka muzyka
823:  Idzie dzisiaj na chłopów do kina i to jest dobra historia, ale co zabawne to fakt, że pominąłem chłopów z Weselem i cały czas byłam pewna, że to jest ekranizacja tych drugich.
833:  O nie, czy kostur na dole wzięty?
835:  Wydaje mi się, że tak.
839:  Ale głowy nie dam, moi mini.
841:  Głowy nie dam.
843:  Lagich i Nagiku niestety po stronie YouTubów dzisiaj.
846:  Reszta wieży, wracaj!
848:  Jaka reszta wieży, moi drodzy?
852:  Gdzie jest reszta wieży?
854:  Krzysztof nie wie.
855:  Cześć Joanna, jak cię miło widzieć.
859:  Nie wiem, moi drodzy, gdzie jest reszta wieży do zebrania.
864:  Opedrong, moi drodzy, jedyny kostur, jaki się liczy, to jest kostur, który nazywa się rozżarzony kostur, ponieważ daje nam kulę ognia.
872:  Z żadnego innego kostura nie zamierzamy rezygnować.
875:  Igo, dziękuję Ci serdecznie za bycie Jamnikołajeku.
877:  Kubatasak otrzymuje wspieranie.
879:  Dziękuję bardzo.
880:  Jamnikołajek dla Jamnikołajek jak zawsze.
883:  Odwiedźmy Ci dom żalu, lewy dolny ruch mapy.
886:  Mam dość, moi drodzy, tej wieży.
889:  Na dzisiaj.
890:  Może sobie tutaj wrócimy po ten kostur, ale ja szczerze powiedziawszy nie chcę innego na razie.
895:  Ja dzisiaj, moi drodzy, chcę wreszcie rozwiązać kwestię Pałacu Kaledora i rozwiązać zagadkę morderstwa.
903:  Męczy mnie ona już bardzo.
908:  Różowy Magu, dziękuję za wsparcie od jednego miesiąca.
910:  Czy mogę być uznawany za Maga Ziemi, bo wolę ten żywioł?
912:  Tak.
914:  Sprawa jest bardzo prosta.
916:  Mamy uratować wielkiego księcia.
918:  Lewy dolny róg mapy może tutaj jest?
920:  Wyłączenie stalowej straży.
921:  Cholera wie.
922:  Moi drodzy, mamy tyle do zwiedzania, że tu się w głowie nie mieści.
925:  A jeszcze pamiętam, że gdzieś... O!
926:  Cel mordercy.
928:  Wiedziałem, że mamy coś zrobić.
929:  Tu jest morderstwo.
931:  Idziemy do celu mordercy.
934:  Trzeba koniecznie.
937:  Po prostu Skóry Domowej pisze, że znalazła przypadkiem w Warszawie sklep w całości poświęcony papierowemu Warhammerowi.
942:  Jakie to jest piękne.
943:  Czy idziemy w dobrym kierunku?
944:  Tak.
947:  Jest lepszy kostur w wieży?
948:  Czy ma kulę ognia?
951:  Jeżeli ma kulę ognia, to zgodzę się, że jest lepszy.
953:  Jeżeli nie ma darmowej kuli ognia, nie zgadzam się.
959:  Więc najwyżej tam wrócimy, moi drodzy, kiedy indziej.
962:  Ja idę w złą stronę.
963:  Ja idę w złą stronę.
965:  Dobrze, ale jest za ciężki, pisze Oneksowa.
967:  Nie, dobrze.
968:  Czy byłem na targach?
969:  Pewnie, że byłem, Joanno.
970:  Było super na targach książki.
972:  Kupiłem mnóstwo rzeczy i jeszcze rozmawiałem z Rafałem Kosikiem, a rozmowa z Rafałem Kosikiem to jest treat intelektualny, to jest sama przyjemność.
980:  I jeszcze spotkałem się z Kasiu Sienkiewicz-Kosik z Paragrafu, pogadaliśmy o ich planach podboju świata, bardzo fajnie.
986:  Paragraf jest w ogóle niesamowitym wydawnictwem, obridżuje...
989:  Ten rozdziew, który jest między mainstreamem a fantastyką, zrobił naprawdę dobrą robotę.
993:  MyWash, dzięki za wsparcie od 25 miesięcy.
995:  Kogo dzisiaj podpalamy?
996:  Wszystkich.
997:  Wszystkich MyWash.
998:  I co jeszcze się udało na targach książki?
1000:  Obkupiliśmy się rodzinnie na targach książki, moi drodzy.
1004:  Bardzo dużo zostało kupione.
1005:  Pochlebiam sobie, że ja kupiłem prawie najmniej.
1008:  Aha, myśmy byli tutaj, moi drodzy, u tego mordercy.
1012:  I rozwiązaliśmy już ten problem.
1013:  Wydawało mi się przynajmniej tak.
1015:  Mamy się spotkać jeszcze z mystrą.
1017:  Jestem strasznie pogubiony.
1020:  A może... A może to jest tutaj jeszcze?
1023:  O co chodzi z tym questem z mordercą?
1029:  Uwolnij malarza.
1030:  Wspomóż czychę półświatka.
1033:  Boże, jakie to jest potwornie nieczytelne.
1035:  Ukryj ukończonych.
1038:  Niusik z soboty.
1039:  Niepraktyczny kartograf po prelekcji.
1040:  Myślę o założeniu kanału na YouTube po zachęcie publiczności.
1043:  Bardzo słusznie.
1045:  Jak źle pójdzie, moi drodzy, z tym... O!
1048:  To powinniśmy, moi mini...
1053:  Zrealizować inne questy.
1055:  Było na warsztatach?
1056:  No to jest pytanie do uczestników, Wiktorio, ale ja się bawię, super.
1061:  Co to za stwór ognisty?
1062:  Leci za nami żywiołak ognia, moim imieniem.
1064:  Dobra, myślę, że żeby nie było tak, że błąkamy się tutaj bez celu, to zrealizujemy sobie to, co jest najbliżej.
1073:  Jest jakiś Alexander Rainforest.
1076:  Czy były tłumy na targach?
1078:  Idziemy do Aleksandra Rainforesta.
1080:  Były bardzo duże tłumy na targach i szczerze powiedziawszy z tego powodu ja się szybko ewakuowałem też.
1086:  Bo ja nie jestem w stanie zbyt długo.
1089:  Co jest przyczyną takich lagów na YouTubie?
1091:  Nikt nie wie o Nexowa.
1093:  Nikt tego nie wie.
1095:  Na Down Detectorze jest od 15.30 wystrzał reportów w sprawie YouTube.
1099:  Właśnie też sprawdzałem.
1100:  Niestety.
1101:  Google zawala, moi drodzy.
1103:  W ogóle stwierdzam, że od czasu, kiedy odeszła ta szefowa YouTube'a poprzednia, to zaczęły się problemy.
1108:  Kluchen pisze, że też godzinka na targach i wyszła.
1111:  I nie widzieliśmy się.
1112:  Ale co kupiłam, to moje.
1113:  Tak.
1116:  Jaka dzisiaj książka poleca?
1117:  Jaka?
1117:  Nie wiem, szejku truskawkowy.
1119:  Zobaczymy, co wyjdzie nam w rozmowie.
1121:  Ja aktualnie czytam Magów Szkła i nie mam co polecać, szczerze powiedziawszy.
1126:  Bo jestem troszeczkę rozczarowany.
1129:  Ale to dlatego, że wcześniej czytałem Brenta Wicksa, więc wiecie, Brent Wicks jest znakomitym pisarzem, absolutnie.
1137:  Okej, okej, okej.
1138:  Damy radę, damy radę.
1139:  Otwieramy tutaj.
1142:  Otwieramy w tym... Ten dom musimy otworzyć, moi drodzy.
1145:  Nie ma opcji.
1146:  Ukrywanie się sukces.
1151:  Otwórz wytrychem.
1153:  Tak!
1154:  Dodaj premię.
1156:  Uda się, moi drodzy.
1160:  Mamy to.
1161:  G. I wszyscy wbijamy.
1166:  Mam nadzieję, że nie będą mieć do nas żadnego, żadnych wątów z tego tytułu, moi drodzy.
1171:  Może ten Alexander Rainforest to jest część tego... Może zamknijmy w ogóle.
1177:  To jest część tego questu o morderc, kto wie.
1181:  Chciałbym to zamknąć.
1182:  Dobrze, da się.
1184:  Tu zapisze, że wita po dłuższej przerwie po jednym miesiącu studiów jak na razie jest cudnie w porównaniu do SGGW.
1189:  Cóż, Wydział Reżyserii Dźwięku jest chyba bardziej przyjazny studentowi, ale dobrze.
1192:  Cieszę się bardzo.
1194:  Rzuca on nam raporty od dłuższego czasu o swoich perypetach z tytułem i się nie poddaje, żeby znaleźć miejsce dla siebie.
1199:  Jest to super.
1204:  Czy jest się przy takich lagach szarpać?
1205:  Zobaczymy rosale skóry domowej.
1207:  Ja na spokojnie gram, jeżeli rzeczywiście będzie źle, to sobie skończymy wcześniej.
1211:  Nie ma problemu.
1212:  Jak sobie dałem radę jako introwertyk w tłumie na targach, było ciężko, moi mili.
1216:  Było bardzo ciężko.
1220:  Dobrze, idziemy na górę, zobaczymy, co tam będzie.
1224:  Pogadaj ze szczurem, ale wiecie, że do tego muszę mieć rozmowę ze zwierzętami.
1229:  Za każdym razem, jak mi mówiliście, żebym rozmawiał ze szczurem, szczur nie chciał ze mną rozmawiać.
1234:  Czekam na finałowy odcinek Ataku Tytanów.
1236:  Wiecie, ile razy już był finałowy odcinek Ataku Tytanów, za mojej świadomości?
1240:  Trzy.
1241:  Dlatego też czekam, cierpliwie, aż wyjdzie to w całości wreszcie.
1248:  The Cheese Stux!
1256:  The Cheese Stux!
1257:  You gotta pay the Cheese Stux!
1258:  Tak.
1260:  Co się stało z ostatnim Seropuszczem?
1271:  Czemu tło zielone?
1272:  A już ostatnio mieliśmy zielone przy Baldurze.
1274:  Jakoś w Baldurze było tak, że przy każdym akcie było nowe tło.
1279:  Ostatnio Karimorę czytam, fantastykę odłożyłem.
1284:  Wolfe!
1284:  Wszytko w czerwonym!
1285:  Śmiał i trzymał Aleksandra bliżej, a potem Aleksander krzyczał i walczył, a wkrótce był w czerwonym też!
1307:  Tak wiele czerwonych morselów uciekło z Aleksandry.
1311:  Smakowały jak sól i smak.
1313:  Bardzo dobre.
1317:  Niemożliwe!
1318:  Nic nie jest lepsze od Sera!
1319:  Magdaleno, dzięki za wsparcie, od roku już!
1322:  Tak, super!
1323:  Niebawem, niebawem, niebawem... A nie, to już masz te, widzę, nowy batch, krystalomantyczny.
1331:  Krystalomancja to, moi drodzy, za rok wspierania u nas jest, jako tarczka, którą zaprojektowała unikalnikotwórczynik Limczak.
1336:  Dzięki za to, co robisz, to ja dziękuję za wsparcie.
1341:  Ten odcinek nadchodzący Attack on Tintans ma być ostatnim, definitywnie zamykającym całość.
1345:  Tak, ale to już jest trzeci taki, nie wiem, serio mówię, za każdym razem tak mówiono.
1348:  Ale dobrze, że już idą do brzegu, to się cieszę.
1352:  Aleksander nie żyje.
1354:  Zajęcie sprawia z tego, że zjadłeś wnętrzności Aleksandra.
1359:  Nie.
1369:  Aha, i tyle?
1371:  Dlaczego szczur nie chce z nami dalej rozmawiać?
1373:  To jest skandal.
1376:  Jestem oburzony.
1380:  Szczur nie chce z nami rozmawiać.
1381:  Idziemy do pustyni.
1384:  Po prostu zwierzę daje moc smoczego ognia i dwa dalmowe spery i odporności.
1388:  Warto rozważenia, ale na razie jestem zbyt przyzwyczajony do kuli ognia.
1393:  No więc... Nawet nie zauważyłem tej pułapki.
1399:  Odcięta stopa klauna!
1401:  Mamy wszystkie!
1406:  Tak!
1412:  Szczur powiedział, kim jest morderca?
1414:  Naprawdę?
1415:  Reklama przy odświeżaniu.
1416:  Wiecie co, ja w ogóle je wyłączę absolutnie, bo ja muszę w 100% wyłączyć reklamy, ponieważ YouTube inaczej je wstrzykuje tam, gdzie chce.
1425:  Ja sam mam na podglądzie swoim kółeczko krążące, ale numer.
1432:  Wszelako doskonałe połączenie chwali się YouTube.
1436:  Doskonały dowcip.
1439:  Znakomity wręcz, a tak naprawdę to nie.
1446:  Boże, straszne, moi drodzy, to co się dzisiaj dzieje na YouTubie.
1452:  Absolutnie przerażające.
1457:  Krzysztof już nie pamięta, co powiedział szczur.
1458:  Ja pamiętam tylko, że rozmawialiśmy o serze i o tym, że Aleksander był pyszny.
1463:  To jest wszystko, co ja pamiętam.
1468:  Guni pisze, że łączy się w bólu bateria interakcji społecznych, potrafi się na takich imprezach bardzo szybko rozładować.
1473:  No wiesz, zwłaszcza jak prowadzisz jakąś rozmowę, to wtedy... Oj!
1478:  Wtedy tym bardziej.
1480:  Urysława też laguje.
1481:  No to wszędzie będzie, moi drodzy, jeżeli są problemy na YouTubie.
1487:  Za to udało mi się znaleźć ukryte miejsce.
1490:  Kto je przypuszczał?
1496:  Jakość automatyczna 240p.
1498:  Załamujecie mnie.
1500:  Załamujecie mnie absolutnie.
1502:  Za to mamy safe.
1507:  Powiedział, że to krasnolud ubrany na czerwono.
1509:  Okej, okej.
1513:  Pojawiły się reklamy na streamach?
1514:  Tak, pojawiły się automatycznie, Jacku.
1516:  Napisy końce miały ten sam problem.
1518:  Ja je muszę wyłączać każdorazowo.
1521:  Doślimy tego żywiołaka.
1526:  Odprawienie.
1529:  Restart streama nic nie da, Paweł, bo nie jest po mojej stronie problem.
1536:  Bal, dzięki za wsparcie.
1537:  A Starion dalej ma czerwony zwój ze spelem?
1540:  Czerwony zwój.
1542:  Już wiem, o czym mówisz.
1543:  Dobrze, że wy pamiętacie takie rzeczy, bo ja ich nie pamiętam absolutnie.
1546:  Najnowsze.
1548:  Eee... Zwój sferalnego wiązania?
1554:  Może to było to?
1556:  Po prostu wszystkie zwoje najnowsze przekaże niedmagowi Amniksowi.
1560:  Zwój sztuki wojennej.
1561:  Chyba to było to.
1563:  Tak mi się wydaje przynajmniej.
1566:  I wszystkich zwojów się nauczymy teraz, jako niedomagiamniks.
1570:  Tak jest.
1571:  To jest jedyny z... Dlaczego jak wdaję najnowsze, to mi się nie pojawiają rzeczy najnowsze?
1576:  Aha, bo nie jestem w ekwipunku... Boże, niech ktoś naprawi ten interfejs.
1582:  Najnowsze.
1585:  Nauka czaru.
1586:  Nauka czaru.
1588:  Nauka czaru.
1590:  Proszę bardzo, mamy nowe czary.
1595:  To nie tylko Steam zapisy poprzednich tną podobnie.
1597:  Ja wiem, wszystkie, wszystkie w ogóle filmy na YouTube tną podobnie.
1601:  Chaty piszą, że F. Niedobrze, moi drodzy.
1608:  Niedobrze.
1616:  Tak, jest u mnie cały czas kółko ładowania.
1619:  Lag trwa minutę, stream sekundę, lag again, pisze Magda M1.
1623:  No u mnie, moi drodzy, że wam pokażę to, jak to wygląda, wygląda to w ten sposób.
1628:  Proszę prawdopodobnie zobaczycie, jest dużym opóźnieniem, ale wszystko wskazuje na to, że jest git, ale też jest ładowanie cały czas okna podglądu.
1637:  Więc jeżeli jest aktowanie, boże, ładowanie okna podglądu,
1642:  a u mnie jest doskonałe połączenie, instant transmisji na żywo i wszystko jest wspaniałe, to znaczy, że jest kłopot, moi drodzy, po stronie YouTube'a nierozwiązywalny.
1652:  Zobawiam się,
1654:  Że będzie trzeba tak, że będzie trzeba przesunąć to na następny raz jakoś.
1659:  Ja się postaram to wam jakoś, moi mili, zrekompensować.
1662:  Kiedy ja mam czas na Baldura?
1664:  Z Baldurem będzie ciężko, ale może nam się uda jakoś to zmieścić w grafiku streamowym.
1670:  Wreszcie Baldura YouTube sabotażuje.
1671:  No prawda, bo ja mam wolne szczęśliwie 1 i 2 listopada, więc może wtedy się coś uda zrobić.
1680:  A może, może jutro.
1682:  Zobaczymy, moi drodzy.
1684:  Podobno jest jakiś nowy, prosty moc, pisze Aglin, który poprawia funkcjonowanie akwipunku w Baldurze.
1689:  O, dobrze.
1690:  Grzegorz pisze, że wszystko padło.
1694:  Wielkie nieba.
1695:  Potrzebujemy transkrypcji twoich słów przez czaty.
1700:  Pinga sprawdź, u mnie ping jest bardzo wysoki, to nie jest, znaczy bardzo dobry, to nie jest problem jakiś specjalny.
1707:  Przy 1 gigabit downloadu i 500 mega, ile?
1711:  100 megabitów uploadu, to raczej nie powinno mieć problemów.
1715:  Mnie nic nie ścięło, moi drodzy, to znaczy to na YouTubie ścię, ścina.
1719:  Swoją drogą, jak planowałem radośnie oglądać sobie dzisiaj, to były też problemy i to duże.
1727:  Pogadamy tu przynajmniej.
1728:  No tak, to robimy właśnie, Magdalenu.
1732:  Z czegoś pozytywnego przyrostu kury domowej znalazłam wczoraj przypadkiem w Warszawie sklep w całości poświęcony papierowemu Warhammerowi.
1737:  To przeczytałem drugi raz, więc ewidentnie są problemy różne.
1741:  Mówili, że live będzie bezstresowy.
1744:  Prawda, Morales?
1745:  Prawda?
1747:  Homik kręcący kołowrotkiem na serwerach YouTube'a poszedł strajkować.
1751:  Ewidentnie, moi mili.
1754:  Dobrze, to zróbmy w ten sposób.
1757:  Nie będziemy, moi drodzy, się męczyć, bo to nie ma najmniejszego sensu i wtedy wrócimy sobie przy jakichś innych okolicznościach.
1765:  Ja ukryję ten zapis strumyka, bo to troszeczkę nie ma sensu, żeby to się pojawiało i wznowimy sobie od tego momentu, w którym się znaleźliśmy, następne części.
1775:  A tymczasem też to samo napiszę na czacie.
1788:  Down Detector zgłasza globalnie w ciulu reportów odnośnie awarii na YouTube, pisze Paweł Pasiałka.
1792:  Jup, tak jest, moi drodzy.
1807:  Więc dla wszystkich, którzy w ogóle mnie jeszcze słyszą, no strasznie mi przykro, moi drodzy, nie damy rady, musielibyśmy, to jest powód, dla którego powinienem mieć Twitcha, teraz sobie to uświadomiłem, że powinien być awaryjny Twitch na takie okoliczności i może to jest pomysł, na który wpadnę przy innych okolicznościach, zobaczymy.
1826:  Więc trzymajcie się, moi drodzy i...
1829:  Do jamniczego tradycyjnie.
1831:  Boże, do jamniczego powiedziałem.
1833:  Wszystkiego jamniczego i do następnego.
1835:  Haha!
1835:  I to się nie zapisało, cholera jasna.
1837:  Trzymajcie się.
