🔴 Morderca bez serca w pamięć się wwierca | BALDUR'S GATE 3 Livestream #20
🔗 https://www.youtube.com/watch?v=9clKOnbf7Vw

6:  Dziękuje za uwagę.
635:  Tak, tak, uwielbiam, zresztą dla każdego coś przegrałego, które jest jutro o godzinie 18, będzie rozkładany jeden z artykułów, praktyczki polonistki, oczywiście, że musiała być to polonistka, dlaczego mnie to kompletnie nie dziwi, będziemy się na tym wyżywać.
646:  Moi drodzy, czy wy widzicie, niedomagiamnik zyskuje inspirację.
652:  Tak zaczynamy.
655:  Konkutery to jest magia kryształowa, jak kryształy i kopalnie to krasnoludy.
658:  Absolutnie.
661:  Wczoraj widziałem jamnika sunącego w śniegu, jak smok azjatycki.
664:  One to robią, to jest absolutnie prawda.
667:  Słuchajcie, swoją drogą, nowa herbatka, jak ja wam ją polecam, nazywa się Laponia i to jest herbata biała.
677:  Boże, ja się zachwycam herbatami, te aby mi za nie płacili, a tak naprawdę ja za nie płacę.
682:  Jest przepiękne.
683:  Japonię bardzo polecam, Japonię też.
687:  Obiad, jest herbatka, jest stream, jest sebul, bo wszystkiego smacznego w takim razie dla Ciebie.
691:  Dziękuję za wsparcie od 17 miesięcy.
694:  Moi drodzy.
695:  Może pamiętacie, co się tutaj ostatnio stało?
698:  A mianowicie tutaj była hekatomba, wszystkich wyrżnęliśmy.
704:  I to był wszystko jeden quest, nie żartuję.
706:  Gdzie taką kupić herbatkę?
707:  W 5 o'clocku.
709:  Sprawdźmy, czy ten wiekowy sługa na przykład ma dla nas jakiś lód.
712:  A, nie, myśmy cały lód już wzięli, w związku z powyższym nie mamy w ogóle... Zbroja Strażnika Zarodników?
721:  Nie, nie chcę tego.
723:  Arcyksiążęca, Koronacja, Przepustka.
725:  I to są 4 kilogramy.
727:  Przecież to jest niewiarygodne, absolutnie.
731:  Jeszcze zrobił taki product placement, jeszcze siorbiąc, patrząc nam prosto w oczy, tak?
736:  Nie wiem, jak po raz pierwszy zobaczył nowy kadr i dostał od razu inspirację.
739:  Tak było, moi drodzy.
742:  Świat ogląda, oglądałem swego czasu z Kuwejtu, pisze Oskar Draus, z Brazylii, a teraz regularnie z Krety.
748:  To z Krety pamiętam, Oskarze, ale z Kuwejtu?
751:  Bogowie.
752:  Składam wniosek o wycieczkę do domu nadziei, a może być do domu bez nadziei?
755:  Gdzie jest dom nadziei?
757:  Gdzie jest Dom Nadziei?
758:  Czy tu jest Dom Nadziei?
760:  Krzysztof, nie wiem, gdzie jest Dom Nadziei.
762:  Dom Żalu.
763:  Dom Żalu nie brzmi jak Dom Nadziei.
766:  Kryjówka Cesarza.
767:  Sprawiam Mordes.
768:  Mieliśmy zbadać sprawę Mordes.
769:  Tak głosi przynajmniej tytuł tego streamu.
771:  W związku z powyższym zrobimy tak, że sobie poeksplorujemy tutaj.
775:  O, tutaj nie byliśmy na przykład.
776:  Żeby cała mapka była odkryta.
778:  Taki plan.
781:  Ponieważ wydaje mi się, że tutaj wszystko już zdobyliśmy.
783:  O, Mistyk Karion!
784:  Z nim walczyliśmy, moi drodzy.
786:  To jest herbatka od Świętego Mikołaja z Finlandii, absolutnie.
789:  Tak jest, Laponia.
790:  My dalej jesteśmy przeciążeni.
792:  Jak to się stało?
794:  No i co mam z tym wantem zrobić, moi drodzy?
796:  Mamy sztabę złota, wązę sztabą złota.
799:  Mamy jakieś mnóstwo różnych rzeczy.
800:  Cały kurczak, na przykład.
801:  Po co nam jest cały kurczak?
803:  Nie potrzebujemy całego kurczaka.
804:  Bez sensu.
808:  Niedomagiamnik dalej jest przeciążony.
811:  Co się dzieje?
814:  Wisi do obozu ekwipu.
815:  No musiałbym cały wysłać do obozu.
818:  Przecież to jest jakiś dramat.
819:  No dobrze, ewentualnie nie będziemy nosić całego portretu Gortasza.
824:  Dobrze, to pomogło.
826:  To pomogło serce.
828:  I chyba nie potrzebujemy wszystkich strojów, tak mi się przynajmniej wydaje.
832:  Niedmagiamniks może się bez nich obyć.
835:  Co to jest?
836:  Korona szar.
838:  Dziwne rzeczy tutaj mamy.
841:  Listy książki komu są niepotrzebne?
843:  Aha.
844:  Mówicie to do filologa.
847:  Tu jest, moi drodzy, tapicerowany tron.
848:  Coś czuję, że jest tutaj.
850:  Sekretne przejście.
855:  Nie wyrzucaj na te rejskich kamieni.
856:  Coś też czułem, że będą potrzebne.
858:  Gablota.
861:  W gablocie nic nie ma.
862:  Dobrze, a chcą z nami porozmawiać żebracy, czy już nie?
870:  Ja dostałem swego czasu, pisze Horgu, fińską herbatkę świerkową.
873:  Czy miałem ochotę spróbować?
874:  Nie, ale brzmi pysznie.
878:  Brzmi absolutnie przepysznie.
881:  Sprzedaj całe to ogólne, żeby zarobić na dom nadziei.
883:  Jak to zarobić na dom nadziei?
884:  Przerażacie mnie.
885:  Mistyczny karioner został pokonany.
887:  Tak było, moi drodzy.
888:  Walczyliśmy z nim.
890:  Dobrze, zwiedzamy tutaj.
892:  Nie domagam, nikt potem się pozbędzie całego ciężaru.
895:  Z duszy.
896:  A przede wszystkim finalizujemy sprawę morderstw, bo ona mnie już męczy.
899:  Chcę, żeby morderstwo zostało nakryte.
902:  Najpopularniejszym modem do Baldur's Gate 3 jest zwiększanie wagi 900 razy.
906:  No właśnie, bo może powinno w ogóle tego limitu nie być.
908:  Ja jestem zwolennikiem tego, by realizm świata był balansowany z realizmem gameplayu.
917:  Dobrze.
919:  Ale dobrze jest być w Baldurze, moi drodzy.
921:  Sielsko, przyjemnie, sympatycznie.
925:  Mimo, że wyjątkowy jest stream, niezapowiedziany wam wcześniej,
931:  Chaty pocieszają, że nie trzeba zarabiać na Dom Nadziei.
934:  To dobrze, bo ja nie mam pieniędzy.
935:  Czy będziemy w stanie stąd zeskoczyć?
937:  Chyba tak.
938:  Tu się coś niedobrego stało.
940:  Aha, czyli to jest po prostu koniec Baldur's Gate, widzicie?
943:  To nie jest tak, że ja czegoś nie eksploruję.
946:  Po prostu to miasto nie jest tak duże, jakby mogło być.
948:  Wejdźmy do tego domu przy okazji.
951:  Praktycznie zawsze jesteś w jasnych bądź białych ubraniach.
953:  Czy nie lubisz ciemnych?
954:  Uwielbiam ciemne, tylko po prostu zawsze do nagrań zakładam takie.
958:  Lepiej to wygląda.
962:  Dobrze, może uda nam się otworzyć wytrychem.
966:  Tylko byleby szybko.
969:  W razie czego zawsze można okraść skarbiec.
971:  Myśmy to chyba zrobili już.
973:  Tak mi się wydaje.
974:  Siostra ostatnio kupiła do domu czarną herbatę.
976:  Pisze smoczni z czekoladą, karmelem i morwą białą.
978:  Boże, jak to brzmi.
980:  Z czarnych herbat, z czarnych herbaczat jest też w Five O'Clocku herbata wiśnia i migdał.
985:  Też ją kupiłem.
987:  Wczoraj testowaliśmy.
988:  Rewelacja absolutna, powiem wam.
992:  Jedna moneta to 1 gram złota.
994:  Dlaczego sakiewka nie wlicza się do wagi?
995:  Wlicza się niestety.
997:  Waży 3 kilogramy i wiecie co?
1000:  Przekażemy je Karla też.
1002:  W ten sposób będziemy ważyć mniej.
1004:  Czy w tym domu jest jakiś quest?
1006:  To jest dom starego Garloa.
1008:  Przejście do domu nadziei jest w jednym ze stopów gdzieś pod cmentarzem.
1011:  To świetnie, bo na cmentarz właśnie się wybieramy.
1014:  Oj, oj, oj.
1017:  Nie, nie, nie.
1019:  Nie pij Liptona z płótnik.
1020:  Nie, nie, Lipton to jest pył herbaciany.
1031:  Jestem niedoma Giamniks.
1033:  Miło cię poznać.
1034:  Pożerę wasze dusze!
1040:  Patrycja B pisze, że przyszła paczka kawusi Monsund Malabar.
1043:  Powiedz jak przyjdzie herbata.
1046:  Więc moi drodzy, jeżeli tutaj był jakiś quest, to już go nie ma.
1065:  No cóż, żywiołowe wypaczenie.
1070:  Czy możesz zrobić żywiołowe wypaczenie?
1074:  Jak to brak miejsca?
1076:  Czemu?
1077:  Czemu?
1080:  Aaa, bo on miał ukrycie.
1081:  No świetnie.
1084:  On nie może zrobić żywiołowego wypaczenia.
1086:  Teleport nie działa.
1087:  No, come on.
1090:  Zabij jaszczura.
1091:  Oczywiście, moi drodzy.
1092:  Widzę jaszczura i od razu mam mordercze instynkty.
1095:  Wiwat Edyta Górniak.
1102:  Wiesz może jak tworzy się plany studiów, bo w pierwszym semestrze mój kierunek nic nie robi, a na czwartym, piątym ledwo dycha.
1106:  Tak, plany studiów nie są tworzone z myślą o studentach, bardzo im przykro.
1110:  Najczęściej są one tworzone z myślą o pensach dydaktycznych, tak zwanych.
1117:  A pensum dydaktyczne to jest liczba godzin, które musi wyrobić każdy naukowiec.
1122:  Krzysztof bije tych dobrych.
1124:  Zaatakowali nas w odpowiedzi na mój dowcip, moi drodzy.
1130:  Resztę w takim razie ogłuszymy.
1134:  Taki jest plan.
1136:  Dotarcie do celu niemożliwe, kłamstwo.
1145:  Chacia puk.
1149:  No come on!
1154:  Oni są przyjaźni?
1156:  To dlaczego mają tutaj opancerzone kraby?
1159:  A są już przyjaźni.
1162:  Faktycznie.
1164:  Ciekawe, interesujące, intrygujące i niezwykłe.
1170:  Już wiem wreszcie, co śpiewają.
1171:  36%, no przecież w życiu tego nie zrobię.
1189:  Boże, przez to, że on nie mógł się teleportować jak człowiek... A, tu jest krab.
1194:  Skąd tu się wziął opancerzony krab?
1197:  Duchowi Strażnicy.
1200:  Oczywiście.
1201:  Kraby w grach, moi drodzy, nie inaczej.
1205:  Jaką mam strategię dobierania towarzyszy?
1208:  Jeden healer zawsze jest.
1210:  No to musi być, prawda?
1212:  Następnie tank i łotrzyk.
1215:  Zawsze tak grałem we wszystkich RPG-kach, było cudownie.
1218:  Dlaczego ja zrobiłem... Widzicie, jeszcze się mylę czasem.
1222:  Tak miało być.
1224:  Tak miało być, pomyliłem się.
1230:  Astariona trzeba uleczyć.
1232:  Czy możemy uleczyć Astariona?
1236:  Może... Może...
1244:  To jest owca?
1246:  Skąd tu jest owca?
1249:  Czy w Baldur's Gate jest klasa tragarza?
1251:  Oczywiście tępy barbarzyńca, Teodorze, do tego służy.
1254:  Czy do przygotowania herbaty potrzeba specjalistycznego sprzętu, tak jak to w przypadku yerby jest?
1258:  Absolutnie nie.
1259:  Do przygotowania herbaty potrzebujesz tylko takiej siateczki małej, ale możesz też używać woreczków papierowych.
1265:  One są fajniejsze, ponieważ te wszystkie siateczki metalowe zwykle przesiąkają smakami różnych herbat.
1272:  Trzeba je czyścić następnie roztworem sody oczyszczonej.
1275:  Oczywiście można to robić, ale jak się nie lubi czyszczenia albo się nie ma zmywarki, to niefajne.
1279:  I w zasadzie tyle, tylko tyle jest Ci potrzebne.
1281:  No i cierpliwość, ponieważ herbatkę też zaparza się 3 minuty, a nie liptona, którego się zaparza, bo wiecie, 50 sekund, ale też przyjemność trwa tyle samo.
1289:  Z picia.
1292:  Nie ma to jak użyć piekielnej reprymendy na krabie.
1299:  Nie domagiam niks.
1301:  Nareszcie!
1302:  Teraz tak, z tego co pamiętam, jeżeli jest zielony towarzysz, to my go możemy zranić magią, w związku z powyższym musimy się bardzo postarać.
1310:  Ja na wszelki wypadek zapiszę, bo nie wiem, czy czarna dziura nie działa na nich.
1320:  Chyba nie.
1321:  To dobra wiadomość.
1325:  To znakomita wiadomość.
1336:  Co najbardziej polecam od Stanisława Allema.
1338:  Niezwyciężonego, Kubo.
1340:  Niech ci nie zrazi fakt, że gra jest nudna.
1342:  Niezwyciężony jest super.
1347:  Nie wiem, co nie do magii Amnix właśnie zrobił, ale to było bardzo dziwne.
1350:  Niezwyciężony jest trochę w stylu Starship Troopers.
1357:  Spopielający cię, spalące uderzenie.
1362:  Śmieszny, opancerzony krab.
1364:  On by chciał być taki opancerzony, tak naprawdę jest żałosny.
1368:  Właściwie nie byłem w stanie grać w Niezwyciężonego Cayetanie.
1371:  Kupiłem podwykłady i śmiertelnie mnie ta gra znudziła.
1377:  Jeżeli gra mnie znudziła, mimo że musiałem zrobić wykład, to wiecie, jest coś na rzeczy.
1386:  Ten krab nie chce zginąć, nie giń.
1390:  No naprawdę, przeczytanie Niezwyciężonego jest dobrym pomysłem, moi drodzy, to bardzo polecam.
1400:  Chciałam Niezwyciężonego.
1413:  Proszę bardzo, moi drodzy.
1415:  Albo... Nie wiem, który kadr jest lepszy do pokazania książek.
1419:  Mam wrażenie, że ten, bo tu jest chyba większe zbliżenie.
1422:  Ale z drugiej strony tu jest lepsze światło, więc chyba na tym kadrze będę pokazywał.
1430:  Niezwyciężony.
1431:  Dobra rzecz.
1433:  Starship Troopers, Nostalgia za podaję krzyżów.
1435:  A wiesz, Chorgu, że wyszło Starship Troopers bardzo niedawno w uczcie wyobraźni Maga?
1442:  W ogóle Starship Troopers jest absolutnie rewelacyjny, jeżeli chodzi o animacje.
1446:  Jeżeli nie znacie animacji Starship Troopers, mega polecam.
1452:  Czy my mamy gdzieś jakiś info na temat tej animacji?
1457:  Powinno być.
1459:  Starship Troopers, to było Legend of Mars?
1464:  Dobrze pamiętam.
1468:  Traitor of Mars.
1471:  Traitor of Mars.
1475:  Tak!
1476:  Tak, moi drodzy.
1479:  Proszę was bardzo.
1482:  I jakaż tu jest przepiękna grafika.
1484:  No ja wiem, że teraz już mamy troszeczkę więcej, jeżeli chodzi o możliwości graficzne, ale i tak ogląda się to bardzo miło.
1491:  Mega polecam.
1493:  Jeżeli chcecie poczuć właśnie klimat Stanisława Lema... Ojej, to jest dobry pomysł.
1499:  Lore od Joglola Klątwa to potężny, negatywny, magiczny efekt.
1503:  Miały one różne efekty oraz określone typy zaklęcia, przedmioty rodzinne, boski, nieumarli oraz czarnoksiężnicy.
1508:  Im więcej Joglol nam pisze o lore Baldura, tym bardziej mam wrażenie, że powinna być dołączona książeczka staromodna, ładna do tej gry.
1519:  Daniela ma piękną okładkę.
1520:  Absolutnie, te wydania literackiego są w obór dobre.
1524:  Opancerzony krab sprintuje.
1526:  Opancerzony krab nie powinien sprintować.
1529:  Czy opancerzony krab wyszedł z tego budynku?
1531:  Nie wierzę.
1533:  Opancerzony krab wyszedł z tego budynku, żebyśmy my musieli go ścigać.
1536:  Powiedzcie mi, czym ja sobie na to zasłużyłem?
1539:  Co ja takiego zrobiłem?
1542:  Czemu ta okładka Niezwyciężonego kojarzy się z tym Art Deco?
1545:  Wiesz co, istota żyjąca, co ciekawe, Lem jest uznawany ostatnimi czasy, znaczy nie tylko ostatnimi czasy, ale w ogóle, za przedstawiciela Atompunku, czyli takiego retro-cyberpunka.
1560:  Ojojojoj, opancerzony krab nieodporny!
1568:  Pocisk wiodący, chybienie.
1570:  Czy ktoś jest zaskoczony?
1572:  Jest taka herbatka od Tipiks, która jest torebka w kształcie jamnika.
1576:  Przepraszam.
1587:  Nie wiesz?
1588:  Jamniik!
1592:  Jamniik!
1593:  Macie dyspenzę na picie herbatek z tego, bo mimo że to są szczury z pyłem, to daję dyspenzę, bo tu jest jamnik.
1603:  To było, to było moi drodzy, Urbie Diskorbie Dispenza.
1607:  Możemy kolunię ognia jeszcze jedną pierdzielnąć, ale nie, nie, użyjemy, użyjemy oszczędnie.
1619:  Nie ma to jak oszczędnie użyć i wszystkich zabić.
1623:  Patrycja B zaklina się, że herbatka jest dobrej jakości.
1626:  To mi się podoba.
1627:  Palące uderzenie.
1629:  O, doskonale.
1631:  Wtedy więcej spalimy.
1640:  Jakie wrogie nastawienie!
1649:  Widzicie, dobrze, że ja zrobiłem quicksave.
1653:  Nie miało... Stożek ataku nie obejmował go.
1659:  Nie obejmował.
1664:  Tipix ma też wsypaną herbatkę.
1666:  O, dobrze wiedzieć.
1668:  Bardzo dobrze.
1675:  Jeżeli stożek ataku obejmował, to Krzysztof jest ślepy.
1679:  Ooo, Izabela Biernat, witam serdecznie przy okazji na czacie, pisze, że kupiła trylogię ciągu, jest cudowna, za jednym zmachem kupiłam trylogię Mostu i na Allegro, niedostępną już w necie.
1687:  Polecam książkę Gibsona, Wypalić Chrom, to jeszcze ci polecam.
1690:  Peryferal, jak wsiąkłaś w Gibsona.
1692:  Oj, to śmiało, śmiało.
1698:  Teraz się zemścimy, moi drodzy.
1699:  Aha, ja zapomniałem, co mieliśmy robić.
1703:  Miała być... A, bo to chodziło o czarną dziurę.
1706:  Czaję.
1713:  No dobrze.
1715:  Czarna dziura i... Kulunia ognunia.
1720:  Czy teraz obejmiemy przynajmniej więcej wrogów, czy nie?
1723:  Trudno powiedzieć.
1728:  Ale przynajmniej wszyscy zginęli na... Nie, nie zginęli na raz, co za żenada.
1739:  Ja nie lubię strasznie takich sytuacji.
1750:  Dobrze, ale teraz wiedzieni doświadczeniem, moi drodzy, walniemy tego pakaraba, żebyśmy nie musieli się później ceregielić.
1759:  Czemu nie działa ten teleport?
1762:  Ciekaw jest uczucie jak wracam ze szkoły, robię obiad, Krzysztof już streamuje.
1766:  No dzisiaj wcześniej, ponieważ dzisiaj wcześniej kończymy.
1772:  Wiecie co, teraz wyeliminujemy tego kraba po prostu.
1776:  Ciebie nie.
1777:  Wiecie co, teraz nie wyeliminujemy tego kraba.
1781:  Ale teraz wpadniemy w szoł i będzie lepiej.
1785:  Daw Muffin wita cieplutko, dziś dostał wyrok, tydzień L4 i antybiotyk ledwo żyje.
1790:  Moi drodzy, wiecie co robimy w takich chwilach.
1795:  Wszystkiego zdrowotnego dla ciebie od drzemnika, czyli drzemiącego jamnika, a trybutariuszy proszę serdecznie o skorzystanie z jamniczych emoji wspierających.
1805:  Siostry Pratchett konkretnie, mamy ją na takie okoliczności.
1808:  Siostra Pratchett dla tych, którzy nie wiedzą o co chodzi, w odróżnieniu od siostry Ratchet niesie wsparcie, a nie cierpienie.
1821:  Ehehe, wszystko ginie.
1827:  Ta ściana na czatach sióstr Pratchett.
1831:  Teraz wszyscy krwawią.
1832:  Po co jest mi ten kled, skoro on cały czas ginie?
1837:  Ginie, skacze, a i tak do niczego się nie nadaje.
1841:  Więc zrobimy teraz, moi drodzy, wielkie leczenie.
1844:  Wielkie leczenie, wszelkie stworzenie.
1848:  Śpiewa niedomagowi swemu.
1851:  Dobrze, F5.
1852:  Pocisk wiodący jest wiodący.
1857:  Dziękuję.
1858:  Jeden punkt doświadczenia.
1865:  Niedomagu, porozmawiaj z ludźmi, których ocaliłeś.
1869:  Kapłanka Helma!
1875:  Czy ja jestem jedyną osobą, która to pamięta?
1878:  Czy pamiętacie świątynię Helma z Neverwintera?
1881:  Tam była walka z Mogrimem Corotirem, jeśli mnie pamięć nie myli.
1886:  I to było niesamowite.
1887:  Ja się do tej walki przygotowywałem całe popołudnie, pamiętam.
1890:  Czytałem poradniki, przygotowywałem zaklęcia, nie mogłem w żaden sposób pokonać takich konstruktów latających ze zbroja i z mieczem.
1898:  One wysysały ze mnie wszystkie zaklęcia, tam nie można było odpoczywać i potem czekała mnie gigantyczna walka z Mogrilem Korotirem.
1904:  O Boże!
1905:  To było niesamowite przeżycie.
1908:  Venzant pamięta, proszę bardzo.
1910:  Proszę bardzo.
1913:  Jaka petycja Kefler?
1914:  Jaka?
1916:  Moi drodzy, uciekamy na górę, ponieważ tam ktoś potrzebuje naszej pomocy.
1928:  Czy oglądałem stałą zemstę z tytułu po czesku?
1930:  Nie, ale oglądam ją co roku.
1933:  Moje ulubione Gwiezdne Wojny.
1934:  Hmm...
1943:  Marina!
1947:  Cip, cip, cip, cip, cip, cip, cip, cip, cip, cip, cip.
1950:  Krzysztof, nie nazywaj Mariny cipu.
1952:  Nie nazywam.
1953:  Cip, cip, cip, cip, cip, cip, cip.
1956:  No i co?
1957:  Gdzie jest ta tepiara?
1961:  Tutaj?
1963:  Tutaj jest jakiś ogródek.
1965:  Ciężka skrzynia.
1968:  Jest na dole?
1968:  Przecież oni powiedzieli, że jest na górze!
1972:  Gdyby miało być do gry dołączone całe lore tłumaczone, co tutaj jest, to byłaby nie książeczka, tylko wielki grimoire i bardzo dobrze.
1978:  Myślisz Joklal, że ludzie by tego nie kupili?
1981:  Oczywiście, że ludzie by to kupili.
1982:  Dlaczego Zemsta Sithów to moje ulubione Gwiezdne Wojny?
1985:  Idealne połączenie polityki, Jediów, Sithów i walki z nimi oraz bitew kosmicznych.
1993:  Uwielbiam.
1995:  Więc moi drodzy, tutaj jest zadeptany kopytami dziennik Jeno, nie ma żadnej Mayriny.
2002:  Znów śniła mi się Efel.
2004:  Śmiała się z ustami pełnymi moich wnętrzności, gdy wyrywała mi zębami dziecko z łona.
2011:  Krzyczałam, a moje dziecko wraz ze mną, ale wtedy zmieniło się w lalkę, potworną lalkę.
2016:  Obudziła mi się, czując jednocześnie lodowatych łód i piekielny gorąc, czy kiedykolwiek uwolnię się od tej przeklętej wiedźmy.
2022:  Znów widziałam lalkę, lecz tym razem był to sen.
2025:  Kled opowiadał mi o ładnej chmurze, którą zauważył na niebie i wtedy zobaczyłem ją nad jego ramieniem.
2029:  Wpatrywała się we mnie.
2030:  Zacząłem krzyczeć.
2031:  Biedny Kled też podniósł krzyk, więc skłamałam, że zobaczyłam mysz.
2034:  Chyba muszę się położyć.
2035:  Widzę tę lalkę wszędzie.
2036:  Chciałem ostrzec pozostałych, ale nie mogę się odezwać.
2039:  Nie mogę chodzić.
2040:  Moje palce sztywnieją, gdy to piszę.
2041:  Adrian!
2042:  Zabierz!
2043:  I wiemy co.
2046:  Czy ja na bagnach zabiłem Malinę?
2048:  Nie mam zielonego pojęcia.
2049:  Widzicie, jak dawno temu to było?
2053:  Dobrze, wcisnąłem ALT i dalej nie widzę tej postaci.
2062:  Na dole też jej... Przepraszam, skąd on się tutaj wziął?
2073:  Co tu się dzieje?
2079:  Ten żartujący, żartujący, szalony mały czarny kapłan!
2083:  O, nie wierzę, że zniknę z hags-tricks!
2085:  Znów!
2085:  Ethel, przepraszam.
2085:  Zacznę od początku.
2086:  Po to, że uciekłeś mnie od Ethela, byłam zaskoczona... ... z tym, jak głupio byłam.
2108:  Podoba mi się jak ma rozmyty makijaż.
2135:  Jakiś związek z naszą... Ach, wiem!
2138:  Ethel to była ta baba Jaga na bagnach.
2140:  Faktycznie.
2144:  Myśmy ją zabili.
2145:  Myśmy jej nie zabili.
2148:  Myśmy ją zabili.
2166:  Efel, zanim ją zabijesz, wspomina, że zawsze wraca, pisze Bliksoniak.
2173:  To by coś wyjaśniło nam zdecydowanie.
2177:  Tomek Kujsz pisze, że oglądanie streamów Baldurowego Krzysztofa zapoczątkowało fandom w Sajgonie.
2180:  Ja tu już dwa lata i kontakt z językiem ojczystym między innymi dzięki tym streamom.
2183:  Dzięki.
2184:  Serdeczne pozdrowienia dla ciebie, Tomku.
2186:  Strasznie się cieszę.
2188:  Czyli na stałe tam jesteś.
2190:  Ciekawa rzecz.
2191:  I powiedz mi, jak to jest, czy rzeczywiście i nam, czy rzeczywiście Wietnam jest taki stereotypowo, jak my postrzegamy Wietnam, czy też ma w sobie pewien urok?
