🔴 Akt drugi i jamnik długi | BALDUR'S GATE 3 Livestream #7
🔗 https://www.youtube.com/watch?v=L0SlofPtLhc

73:  Dzień dobry.
819:  O świcie, czyli teraz jest świt lotrano, a 16 to jest świt przecież.
823:  Co wy mówicie?
825:  Dobrze.
825:  Marniej chce z nami... Nie, nie chcemy z Marniejem.
827:  Idziemy do drugiego aktu.
828:  Nie okłamałem was.
829:  Odszukaj szkołę Gitianki zakończone, moi drodzy.
832:  To zrobiliśmy.
833:  To była szkoła glitchy.
834:  Tak, moi drodzy.
835:  Tak jest.
837:  Widzisz, że Oppenheimer jest zajebisty, to jak nic nie powiedział wczoraj obejrzany, jak wspaniale Aurora.
841:  Mamy uwolnić malarza, to już w Grotach Baldura.
844:  Ooo, we Wrotach Baldura.
845:  Musimy do Lady Esther wrócić.
848:  Gdzie jest Lady Esther?
850:  Ach, wiem, gdzie ona jest.
855:  Granie.
856:  Granie.
857:  Ona jest tutaj, mówię wam.
859:  Już skończony Baldur Dominik?
861:  Jakim cudem tak szybko?
863:  Ha!
864:  Krzysztof pamiętał!
866:  Krzysztof pamiętał!
868:  Kacper Pitela to czwarta rano czy w nocy?
870:  Krzysztof piętnasta rano.
873:  Kacper faktycznie zawsze wrzuca filmy o czwartej.
876:  To jest ciekawe.
877:  Musiał wytrenować już algorytm YouTube'a.
879:  Czy oglądam dziś Gamescom?
881:  Nie mam czasu, moi drodzy.
882:  Raczej jakiś skrót z tego zobaczę.
886:  Kijanka.
886:  Tak.
892:  A, i jeszcze, bo widzę wiadomości o licencjacie, Aleksandra Bukowska pisze, że kończy licencjat.
898:  Zrobię, moi drodzy, ten film, tak jak obiecałem, w wakacje, o pisaniu prac dyplomowych, tylko pamiętajcie, że zawsze wszystko ma haczyk u mnie, mianowicie wakacje akademickie trwają do 1 października.
913:  Dobrze.
914:  Nazwanie tego projektu naszym jest lekką przesadą.
925:  Jakub pisze, że 100 godzin zajął Baldur, ale wszystko, czy tylko główna fabuła?
933:  Ja dopiero w Baldurach chcę zagrać z nowym komputerem.
935:  Ezju to może... Albo Ezju, nigdy nie wiem jak się czytać.
937:  To może być słuszne, bo czytałem, że w trzecim akcie podobno jest szkoła życia dla profesorów.
947:  Dzięki, Cecubus, sama za życzenia.
949:  Jestem live do tyłu.
950:  O nie, najgorzej.
951:  Trauma rekolekcyjna, pisze Magdalena.
953:  Bo się chowa w swoim worze.
955:  O Boże.
967:  Mam dla ciebie jajo?
969:  Krzysztof powiedział w wakacji, nie powiedział w które.
977:  Tak.
979:  Proszę bardzo.
980:  Dostaliśmy 453 sztuki złota za niebezpieczną misję.
986:  O, bo się chowa w swojej noże.
988:  Wtedy niuchać już nie może.
992:  Gdyż poleruje poroże.
995:  Co tu jest jeszcze?
996:  O, tu jest sekrety artefaktu.
999:  Porozmawiać z Inkwizytorem w szkole Gifianki.
1002:  Myśmy nie rozmawiali jeszcze z Inkwizytorem, moi drodzy.
1005:  Tak, tak.
1006:  Czyli jeszcze musimy iść do szkoły Gifianki.
1011:  No dobrze, tutaj.
1014:  Kiedy ranny wstało zorze, jamnik grzebie w swojej noży.
1020:  Tak.
1025:  Jeszcze sykomorze się z tym mrymuje, moi drodzy.
1028:  Nie, mu Krzysztof to pomoże.
1030:  Nie skończyłeś szkoły wifianki, przypomina Daniel.
1031:  No właśnie, tak, tak, tak.
1034:  Robimy to, moi drodzy, nie ma co.
1035:  Bo w szkole wifianki chyba nie było tyle portu, tak mi się przynajmniej wydaje.
1039:  Zagadka nielogiczna mam napisane.
1041:  Zagadkę nielogiczną myśmy rozwiązali, moi drodzy.
1046:  Czy są jakieś sensowne exploity na złoto w grze?
1050:  Nie wiem.
1053:  Czym są shinky?
1056:  Źle przeczytałem.
1057:  Prawdziwy eskapista ma wakucję na zawołanie.
1060:  Jakie piękne zdanie, moi drodzy.
1061:  Prze... Co jest z tymi rymami?!
1065:  Ja chcę już skończyć!
1066:  Gdzie jest wejście do tej szkoły?!
1068:  Chyba tędy.
1069:  Powiedział żaden uczeń 1 września.
1072:  Tędy, tak.
1073:  Pod drzwiach klasztoru.
1075:  Witaj szko... O nie!
1077:  Tylko nie.
1078:  Krzysztof Tylema ostatnio mówił o powierzchniku, mieczy, pisze szeptucha.
1080:  To był egzemplarz mojej Środowej Bibliotece.
1082:  O, jak super!
1083:  Ale pamiętasz, że to cztery tomy?
1085:  Dobra.
1085:  Tu nie przeszliśmy na wyprost, moi drodzy.
1088:  Dla wszystkich, którzy nie wiedzą, co się dzieje.
1091:  Byliśmy w szkole Gifianki.
1093:  I ponieważ w szkole Gifianki są obratymcy, a raczej pomioty.
1099:  Zeil?
1100:  Zil?
1101:  Tej bohaterki, którą zabiliśmy, ponieważ była nieznośna, wszyscy zostali wyrżnięci.
1107:  Wszyscy.
1108:  Każden.
1110:  Nie przetrwał żodym.
1111:  Tak było, nie zmyślam.
1115:  Czy to tam wszystko wyglądało?
1116:  No nie wszystko, popatrz.
1118:  Zaraz, zaraz, zaraz, zaraz, zaraz.
1120:  Oni znowu żyją?
1122:  Moment, moment.
1124:  Pewnie, żeby było oglądane Smocze Książę Michale.
1130:  Super animacja.
1131:  Nikt nie spodziewał się inkwizycji, należy do inkwizycji, powiedzcie mi o czym plotkowaliście Natychmiast!
1147:  Dodaj premię
1151:  Nic, Rastyl.
1153:  Czy masz coś do powiedzenia o tym, co będziesz wiedział?
1156:  O broni, której Kifrat nie może znaleźć.
1158:  Kwanirel?
1159:  Zostaw twój mózg zamknięty.
1173:  Niezdatowanie się nie zamykaj, co jeszcze możesz mi powiedzieć?
1175:  Kithraki są bardzo martwi o zagrożenie Gake'a.
1177:  Przed tym, jak przyjechałaś tutaj, odkrywanie tego, co się dzieje w Taurach Mumarysu, było naszym głównym skupieniem.
1184:  Słyszeliśmy, że Kithraki mówią, że Inquisitor stracił jej czas w poszukiwaniu broni.
1192:  My?
1192:  Nie weź mnie do tego.
1193:  Wiem, kiedy zamknąć moją głowę.
1196:  Wiecie, co jest fascynujące?
1198:  Że tutaj mamy całą galerię postaci innego koloru skóry niż biały.
1201:  A zobaczcie, że zaprojektowane są w taki sposób, że człowiek jakby tego nie zauważa nawet.
1210:  Niesamowite, tak jakby, tak jakby była tutaj dobra charakteryzacja i dopasowanie do lore świata.
1222:  Nie!
1223:  To niemożliwe!
1225:  Fani są rasistami, na pewno, tak, to o to chodzi.
1230:  Moi drodzy, po czym poznajemy, że tutaj byliśmy?
1233:  Otóż po tym, że portret Vakif jest zbezczeszczony.
1240:  Białość Astariona nadrabia za resztę.
1242:  Tak, a, no i zgodnie z obietnicą, moi drodzy, skoro już mamy od nich wszystkie informacje, no to prosta sprawa.
1248:  Astarion.
1250:  Astarion, proszę.
1252:  Dziękuję.
1252:  Dziękuję.
1256:  Dobrze.
1257:  Wróciłem sobie na ulicę Dunwall.
1258:  Jest cudniej przedawić.
1259:  Zawsze jest dobrze wrócić na ulicę Dunwall.
1264:  O nie, no nie chybiaj.
1265:  No nie kompromituj się.
1266:  Astarion.
1268:  Stream się zaczął.
1272:  Co to było?
1275:  Dziękuję.
1276:  Wybrzeża miejsce, co jest bardzo kosmopolityczne.
1279:  Co innego inne rejony Ferunu.
1281:  Otóż to.
1282:  To wszystko trzeba uwzględniać, moi drodzy.
1285:  Z DLC do Warhammera 3 nie czułem, że frakcje klistełu pójdą bardziej w Ungolu, pisze Radek.
1290:  Podobnie... Jednostki podobne bardziej do kozaków, jakie były w modach do Mediwala 2.
1295:  To jest nie ostatni, podejrzewam, dodatek kislewiski, więc może Anusz.
1301:  Co się dzieje?
1303:  Czy naprawdę mag musi walnąć swoim kosturem?
1312:  Niesamowite.
1316:  Czy Nowy Baldo jest moją grą roku?
1318:  Tak.
1319:  Bez chwili wahania.
1322:  Wczoraj znalazłem film Krzysztof My Out of Context.
1324:  Piękny jest, pisze Tomas.
1325:  Ja też go znalazłem.
1326:  Co więcej, wiecie, co jest zabawne?
1329:  Na mojej głównej, to jest autentyk, na mojej głównej, już tylko zmienię wam na tryb ciemny, żebyście nie mieli meltdownu.
1336:  Tryb ciemny.
1338:  Dobrze.
1339:  Więc na mojej stronie głównej, moi drodzy, a nie, teraz oczywiście zniknęło.
1342:  Świetnie.
1343:  Był właśnie Krzysztof My Out of Context.
1345:  Po co?
1346:  Po co to zrobiłem?
1348:  Po co przełączyłem na tryb ciemny?
1350:  Gubi mnie... Gubi mnie chęć uczynienia waszego doświadczenia oglądania znośnym.
1356:  Krzysztof, jak sobie radzisz w te upały?
1357:  Klimatyzacja, moi drodzy, jedyna opcja.
1359:  Jak wychodzę na zewnątrz, to jest źle.
1361:  Chociaż powiem wam, że byłem ostatnio na wspaniałej wycieczce.
1365:  w Jurze Krakowsko-Częstochowskiej i stwierdziłem, że jestem w stanie znosić upały, tylko musi być odpowiednie towarzystwo do tego.
1373:  To jest jedyna opcja.
1375:  No i oczywiście musi być towarzystwo zamków.
1377:  Zamki są równie bardzo... Mówiłem, że tutaj była... Dlaczego mnie tutaj nie teleportowało?
1384:  Jakie chamstwo.
1386:  Tak samo da się upał znosić, jak nie ma dużej wilgotności.
1389:  Jak byłem raz, to było bardzo dawno temu, jeszcze byłem w szkole w Egipcie, na wycieczce z rodzicami, to wtedy byłem w stanie to znieść, moi drodzy.
1398:  Jakoś.
1399:  Wiecie dlaczego?
1399:  Dlatego, że tam jest cholernie sucho.
1401:  W związku z powyższym, człowiek nie miał takiego wrażenia, aby ktoś mu pecynął błota wrzącego przywalił w twarz, jak wychodzi z domu, względnie, jakby ktoś owinął duszącą ścierką.
1413:  Trybut.
1413:  Przepraszam za przeoczenie.
1415:  WTF, wtorek, 16.16 live, co tu się dzieje?
1419:  Póki są wakacje, Michale, to jeszcze szalejemy.
1422:  Jeszcze szalejemy.
1424:  Potem już nie będziemy szaleć, potem będzie smutny rok akademicki.
1428:  Nie zmyślam niestety.
1429:  Krzysztof, kiedy Q&A z mamą?
1432:  Przekażę jej to pytanie.
1433:  Dzięki za wsparcie od 22 miesięcy, Jamnikowy Piechurze.
1437:  Bardzo... Jest całkiem inny klimat.
1440:  Otóż to, u nas jest inny klimat.
1442:  Wiecie dlaczego teraz?
1443:  Bo zawsze był umiarkowany.
1447:  Bo klimat się zmienia?
1452:  To mnie zawsze bawi, że ja rozumiem, że na przykład, o, problemy z klimatem mogliby nie chcieć mówić albo chcieliby je deprecjonować ludzie zamieszkujący na przykład Svalbard, tak?
1463:  Okej, rozumiem.
1464:  Albo Sybir.
1465:  Okej.
1466:  Ale żyjemy w klimacie umiarkowanym, który przestał być umiarkowany.
1471:  Stał się subtropikalny.
1474:  I zawsze mnie to fascynowało.
1478:  Muszę iść do sklepu najgorzej, pisze Izabela.
1481:  Czy to jest sklep spożywczy?
1482:  Jeśli tak, trzeba kupić słodycze.
1484:  Teraz mamy klimat nieumiarkowany.
1487:  Tak jest, moi drodzy.
1488:  Nieumiarkowanie w jedzeniu i piciu.
1491:  Rok akademicki to najlepsza pora roku?
1493:  Nie zgadzam się z tym.
1495:  O, zielony kryształ.
1497:  Dobrze.
1502:  Czy zainteresowanie od dzieciaka pochodzeniem słów i powstawaniem i ewolucją języka znaczy, że jestem pojebany?
1507:  Pyta Gawron Warlock.
1508:  Nie, znaczy, że jesteś dobrym materiałem na językoznawcę.
1512:  Ja też zawsze swoją drogą lubiłem, chociaż nie zostałem finalnie językoznawcą, bardzo lubiłem etymologię słów.
1520:  Wiesz co, może w Warszawie kluchenmuchen, bo w Krakowie Jacek Beton Majchrowski stwierdził, że zabuduje wszystkie korytarze powietrzne.
1531:  Mówicie, ja bym miał wam powiedzieć, na czym polega Kraków, to problem z Krakowem jest taki, że Kraków to jest taka kotlinka i w tej kotlince sula smog sobie.
1540:  Czyli przepływa.
1541:  I ten sulający smog nie jest wywiewany z Krakowa, tak samo jak nie jest wywiewane ciepło, które powstaje w każdym mieście, gdzie jest wyspa ciepła.
1549:  Nawiasem mówiąc, polecam film na ten temat, na temat wysp ciepła u Kasi...
1559:  Gandor.
1560:  Płoniemy w miastach.
1562:  Jak smażymy się na betonie i co z tym zrobić?
1564:  Bardzo polecam.
1566:  No, w związku z powyższym bawiło mnie to strasznie, że Kasia Gandor mówi o tym na przykładzie Warszawy, gdzie jest przewiew i nie ma zabudowanych korytarzy wietrzenia miasta, bo tam jest płasko, tak?
1577:  A w Krakowie jest kotlinka.
1578:  I geniusz Majchrowski i deweloperzy, patodeweloperzy, poustawiali gigantyczne budynki na krawędzi tej kotlinki.
1585:  Więc wiatru mimo.
1588:  Koszmar.
1591:  Tym razem nie obraziłem Warszawy, tym razem pochwaliłem geografię Warszawy.
1598:  Natomiast powiedziałem, że warszawiacy nie doceniają geografii Warszawy, więc jednak udało się obrazić warszawiaków częściowo.
1606:  Czy Baldur jest przed Neverwinterem czy po?
1608:  Nie wiem jak w chronologii H.O., ale ja to potraktuję po prostu jak opowieści z Wybrzeża Mieczy wszystkie.
1615:  Ile godzin w Baldurze?
1616:  Tyle, ile streamów, Ain.
1618:  Nie gram off-stream.
1620:  Moi drodzy, zdobyliśmy punkty doświadczenia.
1625:  Czy będziemy walczyć z tym Inkwizytorem?
1627:  Ja myślę, że Inkwizytora nie zabijemy.
1630:  Bo wydaje mi się... Albo Inkwizytora właśnie będziemy musieli zabić.
1635:  Zobaczymy.
1637:  Jako kępnianin czuję to samo.
1639:  Kotlina pełna fabryk mebli, pisze Oliver.
1645:  Kraków to miska wypełniona gołębiami i smogiem.
1648:  Tak.
1648:  Oraz najgorsza część Krakowa, czyli Krakówek, jest jeszcze wypełniona snobistycznymi artystami i również snobistycznymi krytykami literackimi.
1660:  Kogo on mi przypomina?
1663:  To jest Voldemort.
1664:  On mówi dokładnie jak Jason Isaacs.
1695:  Lormistrzowie Chatowi piszą, że Baldur 3 dzieje się po Neverwinter.
1700:  Długo po.
1704:  Elkobustem pisze, że w Warszawie jest dzielnica Bemowo, w której bloki są zbudowane tak, że stanowią nie tyle płuca Warszawy, ile tworzą tunel nawiewowy dla centrum, dlatego tam zawsze wieje.
1712:  Ciotka moja mieszkała w tamtych okolicach, tak?
1716:  No to jest Voldy, absolutnie, prawda?
1718:  Zabij go, on ma kostur.
1724:  Nie powinniście bardziej przejmować się inwazją łupieżców umysłu?
1727:  Uniknął pytania, nie do magii Amnix.
1729:  Co cię sprawia, że my nie jesteśmy?
1732:  Mówimy o wielkim designie, restauracji niepłytnego Imperium.
1737:  Nie ma nic większego znaczenia.
1740:  Ale bronie jest rozwiązaniem.
1744:  Słyszałam to od pani Vlachitha sama.
1747:  To jest sposób, w jaki zatrzymamy Mind Flayers, zanim zniszczą nas wszystkich.
1753:  I to już koniec.
1758:  To jest wielki design.
1760:  To jest to, czego wszyscy Gaecki szukają.
1763:  Zrestaurowanie Elitycznego Imperium, które rozszerzyło całość Multiverse.
1769:  Przez wieki tam, głęboki mózg starał się powrócić do ich domów.
1773:  Każdy plot, który zniszczyli, zakończyliśmy.
1779:  Ale teraz są blisko do sukcesu.
1780:  Nigdy wcześniej nie mogli powstrzymać ceremonii.
1785:  Nigdy wcześniej nie mogli pozwolić, by infekcje rozszerzyły się bezpośrednio.
1791:  O. Dosłownie no.
1792:  Ciekawe.
1822:  To jest ten artefakt, o którym cały czas mówi posępne serce, a z posępnym sercem chcemy mieć znakomite stosunki, moi drodzy.
1830:  Ooo!
1831:  Ooo!
1839:  Widzicie?!
1840:  Sami zaatakowali!
1842:  Można ich zabić bezkarnie!
1845:  Zaraz, zaraz, ja nie mam w ogóle zdrowia.
1848:  To jest coś, czego nie przewidziałem.
1850:  Ehm...
1854:  Dobrze, spowicie cieniem, zyskaj niewidzialność.
1867:  Let's go.
1868:  Aaa, dobrze, dobrze, dobrze.
1870:  Zasadzimy się na niego potem.
1872:  Czy ja mogę w tym stanie wypić coś?
1877:  Hehe, tak.
1879:  Umrzesz!
1881:  Nie ma takiej możliwości.
1885:  Niedomagiamnik został powalony.
1888:  Czego oni nie wiedzieli, to tego, że niedomagiamnik już jest powalony.
1895:  No dobrze.
1896:  To po kolei.
1897:  Dlaczego nie mogę użyć szału?
1901:  Opalna wiadomość.
1902:  Dziedzictwo Avernusa piętnujące ugodzenie.
1907:  Dziesięć tur.
1912:  Atak w zwarciu.
1915:  Tak jest.
1916:  Zresztą najlepiej byłoby w sumie tych strzelców wykończyć w pierwszej kolejności, wojowników, a Inkwizytora potem.
1922:  Jest jeszcze jakaś Zelota, o Boże.
1929:  Dobrze.
1933:  Co ciekawe, u mnie Lezil się zgodziła, że trzeba ich zabić.
1937:  Czyli Lezil potrafi mieć Erikcz.
1940:  Posępne serce ma problem.
1943:  Dlaczego nie było ataku okazyjnego?
1945:  Wiem, że ciągle tu jesteś.
1947:  Ojej.
1950:  Wykrycie obecności.
1952:  Co?
1957:  Tak!
1958:  Oberwał!
1961:  Co to jest myślorabunek?
1964:  Nie brzmi to dobrze, moi drodzy.
1966:  Rozdarcie psychiczne też nie brzmi dobrze.
1968:  Wiecie co?
1969:  Myślę, że będzie trzeba przed tą walką jednak odpocząć.
1975:  Bo ja nawet nie zdołałem... Tak, ja nie mam leczenia w ogóle.
1978:  Musimy odpocząć przed walką.
1980:  Nie da rady.
1983:  Nie da rady, moi drodzy.
1985:  Nie spodziewałem się tego.
1991:  Czy jest jakieś Q&A, Pitalares?
1994:  Było w niedzielę.
1997:  Nie mogę przejść do obozu?
1999:  Czemu nie mogę przejść do obozu?
2000:  Aha, bo ten obszar w ogóle cały jest... Aaa... Czyli tu też?
2008:  Strasznie daleko.
2012:  Szybka podróż z tego obszaru jest niemożliwa.
2014:  W ogóle tego nie zauważyłem.
2017:  Tak, przyspieszenie będzie dobre.
2019:  To może dać kijanka przed walką?
2024:  To jest dobre pytanie, może... Uuu, bo posełne serce nie chce używać pasożytów umysłu.
2032:  To szczęście odległej dziedziny nie jest złe.
2035:  Przemieszczenie.
2037:  Istoty, które odnoszą obrażenia od upadku spowodowane twoimi akcjami.
2040:  Nie.
2040:  Tunel mocy.
2041:  Wykonaj szarżę przed ciebie.
2043:  To nie jest złe.
2046:  Ej, to nie jest złe dla niej.
2048:  Biorę to.
2053:  I odpychacz.
2054:  Niezdobyte jeszcze umiejętności.
2056:  Odepchnij wszystkie istoty o 6 metrów.
2061:  Skoncentrowany wystrzał.
2064:  A jak jest u Niedomaga i Amniksa?
2065:  Może Niedomaga i Amniks może jakieś nowe rzeczy?
2068:  Zauroczyć atakującego przeciwnika możemy.
2071:  Psjoniczne wyładowanie.
2072:  Te dwie rzeczy już zdobyliśmy.
2075:  Transfuzja zdrowia.
2078:  Poważne rzeczy, moi drodzy.
2080:  Gifianki są jak elitowie, mają wrodzone moce psychiczne, powiadacie.
2084:  Astarion.
2086:  Astarion też ma szczęście odległej dziedziny.
2089:  Ale to jest dobre dla Astariona.
2091:  Urok.
2092:  Astarion musi mieć urok, moi drodzy.
2094:  Osobisty.
2096:  Dobrze.
2099:  Jest okej?
2103:  Jestem w trzecim akcie i nie mam pojęcia, kim jest ta czerwona postać, którą masz w drużynie.
2106:  To jest Carla.
2107:  Można ją spotkać na samym początku.
2109:  Nie no, dlaczego ja w ogóle stąd się nie mogę wynieść?
2115:  A, dopiero stąd można.
2116:  Strasznie, strasznie długi ten obszar.
2121:  Bardzo dużo istot w D&D ma ochronę przed urokami.
2124:  A zobaczymy, czy będzie ochrona przed urokiem kijankowym.
2127:  Trochę to obrzydliwe, jak się wgryzają w mózg.
2129:  Nie inaczej, szamanie.
2130:  To jest obrzydliwe.
2131:  To ma budzić twoją odrazę i opory, żeby nie używać mocy, które są aż tak bardzo overpowered.
2142:  Gdyby w dialogu podał przypis, Krzysztof by nie atakował.
2146:  Hmm.
2146:  Mówicie.
2147:  Ja zawsze atakuję.
2149:  Jak to 49 na 40?
2150:  Dlaczego automatycznie zużywa mi za dużo?
2156:  Spieprzaj!
2159:  Zużył za dużo.
2166:  Jaką dziedzinę wybrałem jako wizard?
2168:  Przywoływanie zawsze.
2170:  Uwielbiam przywoływanie.
2173:  Dobrze.
2175:  Opuść obóz.
2178:  Good.
2179:  To teraz idziemy w drugą stronę.
2181:  W drugą stronę.
2182:  W drugą stronę.
2183:  Po śladach krwi.
2185:  Co to za piesio był?
2186:  Możemy Joe przygarnąć pieska.
2189:  Nazywa się Drapek.
2190:  Może wywoływanie, nie przywoływanie.
2192:  Bzdury gadam, macie rację.
2193:  Wywoływanie.
2195:  Niedomagiamiks wywołuje błyskawice, wywołuje pioruny, wywołuje ogień oraz wywołuje wilka z lasu.
2201:  Więc ewidentnie wywoływanie.
2203:  Chociaż co ciekawe, wywoływanie wilka z lasu powinno być w szkole przywoływania.
2210:  Tak.
2212:  Jak Krzysztof powiedział, żeby tego nie używać, znaczy, że trzeba używać na pałę.
2215:  Nie inaczej.
2217:  Nie do magii Amnix zostanie potężnym magiem z sercem zamiast mózgu?
2220:  Będziesz wyciskał z larwy ile się da?
2222:  Czemu by nie?
2225:  Ojej, musimy na nowo ten dialog mieć z nim.
2228:  Pa, pa.
2232:  Pa, pa.
2233:  Czym jest wielki plan?
2234:  Pa, pa.
2234:  Pa, pa.
2236:  Nie pozwolę ci jej zabrać.
2239:  Ten dialog był kanoniczny, moi drodzy, więc nic nie zmieniamy.
2241:  O, furia!
2243:  Dobrze.
2245:  Amok się pietnie przepięknie.
2251:  Chacia-puk!
2252:  Jaka riposta!
2254:  Rąbnięcie.
2256:  Rozprucie.
2258:  Jakie tam riposte.
2259:  Jakie chybienie!
2269:  Na co mi to szczęście?
2272:  Na co mi to szczęście?!
2279:  Bardzo polecam eliksiry i inne mikstury.
2281:  Ja mam problemy z eliksirami, nie wiem czy macie tak samo, ale dla mnie eliksir to jest zasób zużywalny.
