🔴 Krzątanina we Wrotach Baldura | BALDUR'S GATE 3 Livestream #17
🔗 https://www.youtube.com/watch?v=MnFn1T1_EQE

75:  Dzień dobry.
598:  Krzysztofie, mam tego dość niedość, że matury to jeszcze prawie codziennie, klasówki umieram, pisze Miami.
603:  Słuchajcie tego i baczcie, że niewiele osób w ogóle wspomina o tym, że jest to problem, a większość nauczycieli udaje, że problemu w ogóle nie ma i to jest bardzo smutne.
615:  Nie jestem w stanie rozmawiać z ludźmi, którzy wypierają.
619:  A problem ten dotyka bardzo wiele osób i jedynie garstka temu się sprzeciwia.
628:  Guni pisze, że nie widział mnie w kafejce na Dlisie.
630:  Nawet nie wiedziałem, że jest kafejka.
632:  Możecie mi wytłumaczyć, dlaczego niedomagiamnik został zaatakowany, mimo że nawet nie jest w tym domu?
638:  No przecież to jest nieprawdopodobne, absolutnie.
641:  Biedny niedomagiamnik.
643:  Wiecie, co zrobi niedomagiamnik?
644:  Przywoła
646:  Przywoła gulę.
649:  One nic nie dają, ale mogą robić dobry zwiad.
654:  Moja polecajka z wczoraj, mój demon, pisze Urszula Giewont, super się ogląda.
658:  Nie znam.
659:  Nie znam ci tego.
660:  Niebiesko oki samuraj, jeszcze nie widziałem.
663:  Nie było czasu, moi drodzy.
664:  Dzisiaj miałem kryzysową interwencję w przypadku jednej magisterki i jeszcze nie wiem, czy nie będę mieć w przypadku drugiej.
674:  Tak to bywa czasem.
678:  A propos tego problemu, co powiedzieć na gadanie bumerów, którzy mówią, że w ich czasach było więcej materiału i było ciężej w szkole?
684:  Toute proportion gardée się porównuje, tak?
687:  To znaczy nie można porównać sytuacji sprzed 20 lat 1 do 1 z sytuacją z teraz.
692:  I myślę, że w bardzo prosty sposób można to odbijać.
695:  To znaczy dzisiaj są badania dotyczące tego chociażby, w jaki sposób ludzie są przeciążeni, a wtedy takich badań nie było prowadzonych.
701:  W związku z powyższym nie mamy dostatecznej liczby danych.
704:  żeby można było jedno z drugim zestawić.
706:  Drażni mnie strasznie, jak ludzie operują na takich makrokategoriach bez żadnych danych.
712:  Przepraszam najmocniej, że na potwierdzenie moich słów jest raport za raportem dzisiaj, który wychodzi.
717:  Niesamowicie mi z tego powodu przykro.
719:  W związku z powyższym, jeżeli ktoś jest na tyle mężny i dzielny, żeby mówić dokładnie to, co mówią wszyscy, no to spoko, ale niech przynajmniej przywołuje dane.
730:  Byłem Dorii na Napoleonie i powiem wam, że się zgadzam w 100% z tym, co napisał Philips bez schematu.
736:  Mianowicie, no nie jest zbyt dobrze.
739:  Tak samo zgadzam się z Nagałęzi.
741:  Film jest ciemny bardzo.
742:  Ciężko się go ogląda.
745:  Nie rozumiem, jakie było założenie.
747:  To znaczy, czy chcieli zrobić bardziej sylwetkę człowieka?
750:  Czy chcieli zrobić sylwetkę wybitnego dowódcy?
752:  Trudno powiedzieć.
754:  Nie jestem w stanie zrozumieć, jaki był cel tego filmu.
758:  Zdecydowanie wolę Ridleya Scotta epoki Gladiatora niż Ridleya Scotta epoki Robin Hooda.
764:  O, jeżeli się wam nie podobał Robin Hood, to się wam na pewno nie spodoba Napoleon.
768:  A jeżeli się podoba wam Robin Hood Ridleya Scotta, to jest szansa, że wam się spodoba Napoleon.
773:  Na pewno nie jest to film przewybitny, ale też nie jest to film tragiczny i zły.
778:  Po prostu jest strasznie tłuki.
780:  I biorąc pod uwagę fakt, że przez całego Napoleona jest tam może 7, może 8 minut bitew, to wiecie, jako człowiek, który przeczytał wojnę i pokój, to ustoja, ominąwszy wszystkie fragmenty dotyczące pokoju i przeczytawszy wszystkie fragmenty dotyczące wojny, możecie sobie wyobrazić, jak się czułem na Napoleonie.
801:  Mmm... No bo obraz Marszałka Tamasa w filmie nie był najlepszy.
804:  Ooo, Tamas.
805:  Jakbyśmy mieli Tamasa dwie strzały z ekranizowanego, to byłoby piękne.
811:  Ta misja ma akropny design.
813:  Irytujące grupy wrogów, niejasne wskazy wkrótce Danuta.
815:  Ale to jest prawda, ja nawet nie wiem, co się dzieje w tej misji.
819:  Kompletnie nie wiem.
821:  I no cóż zrobić?
824:  Jedyne, co mogę zrobić, to zlutować tego poltergeista.
827:  Po prostu przemy naprzód, moi drodzy.
832:  Camo Greenberg, dziękuję ci za trybut.
834:  Jak się miewa jamnik z rozprutym zatkiem?
841:  Rozumiem, że pytanie jest dlatego, że teraz jest lepszy obiektyw, tak?
845:  Który i tak nie zrobił fokusu.
846:  Proszę bardzo, moi drodzy, macie sfokusowane rozpruty zatka jamnika.
852:  Więc jamnik ledwo żyje.
854:  Czy Krzysztof też się często wywraca zimą?
856:  Pyta, daj ci wulpes, dziękuję ci serdecznie za trybut.
859:  Ja się wywracam zawsze, nie muszę mieć do tego zimy.
863:  Ja się jestem w stanie wywrócić za każdym razem, moi drodzy.
867:  Jestem typem człowieka, który potyka się o własne sznurowadła i to co i rusz.
872:  Co się stało z Zatkiem Jamnika?
874:  To jest historia na inną okazję.
877:  Celem Napolona, Ridleya, Scott'a było wkurzyć wszystkich historyków i rekonstruktorów w epoki napoleońskiej, potem ich zwyzywać za każdym razem, gdy śmieją się z olewania źródeł.
884:  Zaczynam zauważać, że olewanie źródeł i w ogóle śmianie się z ludzi, którzy upominają się dyskretnie o to, żeby być może jednak na źródła zwracać uwagę, zaczyna być taki leitmotiv w Hollywoodzie.
896:  Nie macie takiego wrażenia?
897:  Bo ja mam takie wrażenie.
900:  Natomiast dlatego twierdzę, że lepsze to byłoby zdecydowanie jako, no nie wiem, właśnie taki gladiator, który nie rości sobie praw i pretensji do tego, żeby jakoś w szczególny sposób dbać o materiał źródłowy, bo to jest film w gruncie rzeczy historyczny fantasy.
916:  No powiedzmy, że trochę nadużywam określenia fantasy w tym momencie, ale na pewno jest to raczej fikcja historyczna niż dokument historyczny.
922:  O, tak byłoby lepiej.
926:  Grimhawk pisze, że rozdupcył kostkę sobie, bogowie, łamiąc ją na lodzie.
931:  Mam teraz 5 tygodni oglądania z filmów Krzysztofa i grania.
935:  Życzę wszystkiego najzdrowszego dla ciebie Grimhawk.
939:  Czy mamy siostrę Pratchett na Podorędziu?
941:  Mamy siostrę Pratchett na Podorędziu.
942:  Siostra Pratchett rusza ci na ratunek, a ja ci życzę tymczasem wszystkiego zdrowotnego.
948:  Dobrze, że to nie jest ręka, bo byś nie mógł wtedy grać.
950:  Znaczy można wtedy grać.
951:  Można wtedy grać właśnie w turóweczki, moi drodzy.
953:  Ja tak grałem, ja miałem złamaną rękę.
955:  I w karcianki.
957:  Nawiązywanie do greckiej mitologii przy tworzeniu historii fikcyjnych ras.
962:  Wielu nawiązywało.
963:  Mistrz Tolkien nawiązywał do mitologii celtyckiej chociażby i mitologii nordyckiej, więc jak najbardziej można.
969:  Czemu by nie?
971:  Ja mam nic przeciwko brakowi zgodności historycznej, pisze Karol, jeśli historia się klei, a tu się nie klei nic.
975:  No właśnie, to jest ten problem.
977:  Gdyby ta historia była opowiedziana w sposób sensowny i angażujący, to nikt nie miałby problemu z Napoleonem.
985:  Szkoda wielka, wiecie, bo to jest zmarnowana okazja, biorąc pod uwagę, jak to jest niesamowita postać.
989:  No i przede wszystkim, wiecie, bitwy napoleońskie to jest klasyka taktyki wojennej i wojskowej.
995:  Jan Guzek pisze, że jako osoba, która przygotowywała na studiach listy z bitew o Borodino, myślałem, że wyjdę z sali, serio.
1001:  Domyślam się, znaczy historycy musieli cierpieć.
1008:  A jeszcze też nic nie wskazywało na to, że Ridley Scott nie będzie chciał zrobić tego zgodnie z realiami historycznymi, ba, wszystko wskazywało raczej na to, że będzie chciał.
1016:  Wiecie co, może też zrobimy sprint, przecież my tam nigdy nie dotrzemy.
1023:  No Napol... znaczy, wiesz co, Lothra, no... czy zły?
1026:  No nudny, no, więc... więc jeżeli Napoleon jest nudny, to jest zły, bo na... film o Napoleonie nie powinien być nudny!
1033:  O to... o to chodzi głównie.
1036:  A czy był ktoś na dzierżynie Disneya?
1037:  Właśnie, to jest pytanie, misiu piesiu.
1039:  Ja nie byłem na pewno, może ktoś z czatów był i czy warto.
1042:  Dobrze, czy teraz możemy, moi drodzy, ciachać i zabijać?
1046:  Mam taką nadzieję.
1048:  Uderzenie Zephiru.
1049:  O tak, walniemy uderzeniem Zephiru.
1057:  Mój kolega po złamaniu ręki kupił myszkę z dużą liczbą przycisków i grał rankingowe mecze w CESie.
1061:  O proszę, da się.
1063:  Może Spielberg dowiedzie jak wyjdzie ten serial na podstawie pomysłu Kubricka.
1067:  A rozwiniesz Karo?
1068:  Bo nie słyszałem o tym projekcie.
1074:  Magda M1 pisze, że film Disneya nie jest tragiczny, ale ją zawiódł.
1078:  Jednak pójść można.
1080:  Widzicie, mamy jakiś teraz problem ostatnimi czasy z filmami, które mogłyby być naprawdę rewelacyjne, a są mech.
1086:  Smutne, nieprawdaż?
1088:  A wiecie, co nie jest smutne?
1090:  Jak to za mało punktów ruchu.
1093:  Wycofuję się z tego, to jednak jest smutne.
1095:  Ale możemy zrobić inną rzecz, możemy pieprznąć burzą ognia.
1099:  I cisza, cisza.
1102:  Będziemy używać burzy ognia, to nie jest burza lodu wcale.
1108:  Absolutnie i w 100% nie.
1112:  W ogóle, moi drodzy, dzisiaj jest wielki dzień, ponieważ eksperymentujemy, to znaczy w tle cały czas chodzi sobie druga kamera, która jest już kupiona, jest drugi kadr przygotowany, ale czekam do piątku, aż przyjdzie pensja i będzie wtedy dokupywany obiektyw numer dwa, do kamery numer dwa i dzięki temu będzie, moi drodzy, już na jam nikołajki na pewno w przyszłym tygodniu w środę,
1135:  O ile nie już na stream w niedzielę drugi kadr.
1139:  Poważne sprawy.
1141:  I teraz druga część mojej historii wiąże się z tym, że rozwiązałem problem zasilania baterii.
1146:  Być może pamiętacie problem związany z tym, że kamery Sony nie pozwalały na to, żeby je ładować.
1152:  To znaczy ładowarka dołączona do kamery Sony ma to do siebie, że
1155:  wypuszczacie ładowarkę, podcinacie USB-C, no i bateria wyczerpuje się szybciej niż jest ładowana.
1162:  Krzysztof pomyślał, pewnie jest jakiś problem z tym związany, no być może będzie trzeba kupić taką dużą ładowarkę za 2,5 tysiąca złotych do Sony'ego, bo nic innego nie działało, dummy baterii nie działało.
1172:  W związku z powyższym ładowarka za 2,5 tysiąca Sonego miała w sumie takie 4 bateryjki i inną, która ładowała ładnie kamerę, ale to starczało maksimum na 6 godzin, w związku z powyższym po tych 6 godzinach trzeba było wrzucić do ładowarki Sonego z 4 bateryjkami dwie nowe bateryjki, które oczywiście trzeba było osobno dokupić.
1191:  No i wtedy może było to wystarczyć na strumę.
1192:  Wiecie na czym polega problem?
1193:  No to już problem polega na tym, że działa dowolny zacilacz, tylko taki, który zapewnia ładowanie 33 waty.
1201:  Oczywiście Sony tego nie powiedziało, oczywiście przedstawiciel sklepu Sony tego nie powiedział, dopiero się dowiedziałem tego od jakiejś dobrej duszy na czatach.
1209:  I teraz właśnie eksperymentuję z najprostszą ładowarką za stówkę od Greensela i od pięciu godzin działa kamera na stu procentach.
1220:  Więc jeżeli ktoś ma problem z FX30, kupujecie normalną ładowarkę za stówkę, która zapewnia stosowny wataż i wszystko jest w porządku.
1235:  Jak widzicie, w takich chwilach pięknie wykłada się nam, że wiedza to potęga.
1240:  Jak ktoś zna się na takich rzeczach, to nie płaci jak debil, czyli Krzysztof, tak?
1247:  Krzysztofie Gębarowski, dziękuję ci serdecznie za trybut.
1250:  Krzysztof poleca nam z całego serca Pluto na Netflixie.
1254:  Nie widziałem Pluto, obejrzę Pluto.
1261:  No tak, no jest mem z tym aparatem Lothra, no ja wiem, ja wiem, ale ja jeszcze testuję.
1265:  Dzisiaj będzie cały dzień testowany, jeżeli 12 godzin wytrzyma na baterii normalnej Sony'ego, podłączej usb-cekiem, ładowareczko za stówkę do ściany, to znaczy, że wytrzyma na strumykach.
1280:  Dramat jakiś absolutny.
1283:  Ja sprawdzałem o Levales chyba 10 różnych dummy battery i nie działały.
1287:  Bo widzicie, FX30 i inne kamery Sonego, muszę zrobić wstęp, mają zabezpieczenie w postaci takiej, że jeżeli jest otwarta klapka od baterii i podłączony kabelek, to one nie działają.
1300:  Musi być włożona bateria Sonego oryginalna i podłączona ładowarka niezależnie.
1304:  A dummy battery działają w ten sposób, że macie taką niby bateryjkę, okej, coś takiego i od tego jest kabelek.
1311:  Problem polega na tym, że ten kabelek nie może wyjść z niektórych aparatów Sonego, ponieważ nie mają one dziurki, a równocześnie software Sonego sprawia, że jeżeli jest otwarta klapka, to się aparat nie włącza, więc nie można było normalnej dummy battery włożyć do tego, niestety.
1326:  Trzeba koniecznie obejrzeć Pluto, potwierdza Radosław.
1329:  Moi drodzy, zostanie to uczynione, ale teraz musimy zrobić czarną dziurę.
1338:  Przemieszczenie.
1339:  Odparcie.
1341:  Czarna dziura została odparta.
1342:  Jak to?
1343:  Za głupotę się płaci.
1344:  Tak, tak, ten anonimityk.
1346:  Za głupotę i za niewiedzę, nie?
1348:  Absolutnie tak.
1349:  Więc to jest odpowiedź na pytanie, po co się uczyć.
1352:  Po to, żeby nie płacić.
1354:  Albo drugi wariant, który się spodoba osobom, które myślą, że sobie mogą nadwyrężać organizm.
1360:  Oczywiście, oczywiście nie śpijcie sobie tyle, ile należy, tyle wadzą wam lekarze, nie dbajcie o swoje zdrowie, pod warunkiem oczywiście, że stać was na wydawanie kilku tysięcy na wizyty u lekarza co miesiąc.
1371:  Jeśli was stać, proszę uprzejmie.
1374:  Więc to jest to samo, moi drodzy.
1376:  Przeciwzaklęcie na wyniszczający dotyk to jest poziom czwarty, walimy to.
1382:  Kwiaty łowickie?
1383:  Skąd to pytanie, Wojciechu?
1386:  Mam wrażenie, że były w Wiedźminie.
1388:  Czy lubię?
1389:  Trudno powiedzieć.
1390:  Pomyśl pozytywnie.
1391:  Dzięki temu Sony ma 2,5 tysiąca więcej w swoim portfelu.
1394:  Dzięki tobie, pisze Marcin Michałowski.
1395:  Tak, tak, nie inaczej, nie inaczej.
1398:  Czy to się może teraz, nie wiem, skończyć ta tura?
1403:  To znaczy te poltergeisty nas cały czas nachodzą i nawiedzają, a my nie możemy nic z tym fantem zrobić.
1408:  To ja może przelecę.
1410:  Czy lot działa?
1411:  Lot nie działa, moi drodzy.
1412:  Boże, żałuję, żałuję, że to przyzwałem, naprawdę.
1417:  Dlaczego to jest takie powolne?
1419:  Czy to jest jakiś dramat?
1420:  W papierowym DND-ku, na którym bazuje badur, jest zdolność pozwalająca zmienić obrażenia zakręć np.
1425:  lodu na ognia.
1426:  I to jest wspaniałe.
1429:  Zresztą lubisz, jak widzę Sony, więc spieszę z wiadomością, że PS5 Slim jest dostępna.
1434:  Co to jest?
1436:  Moi drodzy, dlaczego kubek jest atakowany przez nasze gule?
1440:  Co się tutaj dzieje?
1441:  A bo ta czaszka spowalnia, przeklęta czaszka.
1444:  A czy ja mogę ją na przykład rozwalić?
1451:  Otóż mogę, otóż mogę.
1453:  Co i uczyniłem.
1454:  Sanktuarium nam nic nie da, to by nie dało nic.
1458:  Dobra, to uleczymy wszystkich.
1462:  Ten quest to udręka, potwierdza jeszcze Froget.
1465:  Lorot Joglola, witamy Joglola serdecznie, naszego lormistrza na czacie.
1469:  Spectre, czyli widmo, to jest rodzaj bezcielesnego, nieumarłego.
1473:  Proszę bardzo, moi drodzy, oto i ono.
1476:  Różnią się od duchu przede wszystkim świadomością, mianowicie ich świadomość to nienawiść.
1480:  Wysysają życie, krótko mówiąc nieprzyjemnie, moi drodzy.
1483:  Nic, co by mnie zdziwiło.
1487:  Wszyscy wiemy, że mamy przerąbane w tej grze.
1490:  Oczywiście nie mogę strzelić jeszcze raz.
1493:  Fuck yes!
1498:  Miałem... Miałem taką imersję oglądając chłopów, że dopiero w połowie połapało mi się, kto gra Borynę.
1503:  Pisze, nie mam pomysłu na sen.
1505:  Ja też, ja też i to było najlepsze, że Mirosław baka i jakimś cudem nie bakował.
1512:  Nie robił tego, co w cyberpunku.
1514:  O nie, to działa też na nas.
1517:  Sony to cudowna firma płacze, że Microsoft chce robić konsolowy monopol na grę, a w międzyczasie raptem 3% jej gier ukazuje się na inne platformy albo PC-ty.
1524:  To tak, tak.
1526:  Absolutnie tak.
1528:  Zaczynam się cieszyć, że ominąłem ten quest, pisze Janek.
1530:  I my nie, moi drodzy!
1531:  Każdy quest robimy!
1533:  Każdy!
1534:  Ja tu jak Baldurek w poniedziałek, prawdziwy prezent urodziny, a na stronę Janek Szczytowa pisze Tektro, prezent urodzinowy?
1539:  Czy ja słyszę urodziny?
1540:  Wszystkiego jamniczego dla ciebie, Tektro!
1545:  Czekuję na moc jamników na czatach dla Tektro.
1547:  Silent, dzięki za wsparcie od 7 miesięcy, jamnik miłości dla wszystkich.
1550:  Proszę, jak miło się robi, moi drodzy.
1552:  Wiecie, co zrobimy w takim razie, skoro jest tak miło?
1555:  Walniemy tutaj...
1557:  Kulunią ogniunia.
1559:  Jak śmiesz.
1560:  Jak śmiesz.
1561:  Daj mi strzelić.
1563:  Hop.
1567:  Jak to za mało punktów ruchu.
1569:  Bzdury.
1572:  O. Da się.
1576:  I teraz nie będzie lodu.
1577:  Doskonale.
1579:  Czy zmieniłem posemne serce na kapłana życia?
1581:  Tak.
1582:  Tak mi się wydaje.
1583:  Ale jamników dla Tektro.
1585:  Wspaniałości.
1589:  Denerwuje mnie, że nie można przyspieszyć tych tur.
1592:  W Divinity była taka opcja, że spacją chyba się przeklikiwało do następnej tury.
1597:  Nie rozumiem, dlaczego niektóre rozwiązania z Divinity, moi drodzy, zostały porzucone.
1604:  Jeszcze jedna informacja, moi drodzy, piję nową herbatkę, ona się nazywa Milky.
1610:  To jest herbatka zielona i jest dostępna w Five O'Clocku.
1613:  Jaka ona jest dobra.
1615:  Pachnie jak ciasteczka z masłem.
1617:  Dosłownie.
1618:  Maślane ciasteczka w sensie.
1619:  Coś wspaniałego.
1620:  O Boże, jaka ona jest dobra.
1622:  A kupimy ją tylko dlatego, że niestety, bardzo niestety nawet, nie jest dostępna New York.
1627:  Wiecie co?
1627:  Ja odprawiam, ja odprawiam ten trójząb.
1630:  On nam na nic się nie przyda.
1633:  Jest beznadziejny i irytujący.
1635:  Pocisk wiodący jest wiodący.
1640:  Gdzie się podział jamnik pirat?
1642:  No niestety, Serenok, musimy robić czasem czystki w jamnikach, jak przychodzą nowe, a jak czasem są jakieś nieużywane, no to wtedy tym bardziej.
1651:  Tu jest jeszcze jedna czaszunia, moi drodzy, i wiecie co?
1653:  Ustrzelimy ją.
1656:  O, ta... Aha, i wiecie co?
1657:  Nie ustrzelimy jej.
1662:  Przepraszam, co to jest odporne na wszystko, co ja mam?
1664:  Zbadaj.
1667:  Podatność na obrażenia od moczu i od światłości, dobrze.
1671:  A zatem obsikamy.
1673:  Seperint.
1677:  Jaki jest limit jamników?
1679:  Nie pamiętam, szczerze powiedziawszy, ale to w tym momencie jesteśmy...
1684:  zależni zawsze od liczby, którą narzuca YouTube.
1689:  Nie pamiętam w tym momencie, co to jest konkretnie, ale pamiętam, że im więcej jest wspierających, tym wyższe progi są wymagane, liczby wspierające, żeby odpalały się kolejne
1701:  Emoji, sloty na emoji w zasadzie.
1703:  Czy będzie dzisiaj poleca jaka książkowa?
1704:  Zawsze jest poleca jaka książkowa.
1706:  Ja mogę wam dzisiaj polecić z całym sercem Taszę Suri.
1711:  Skończyłem czytać wszystko, co napisała na razie, to co przynajmniej ja kupiłem, bo jeszcze jest jedna jej trylogia, której nie czytałem.
1716:  Królestwo Piasku w każdym razie skończyłem i Krainy Popiołów.
1719:  Jakie to było dobre.
1719:  Mam to w sypialni, więc zanim ja tam bym dotarł, moi drodzy, to Bogowie.
1724:  Ale może...
1727:  Może jeszcze wątek wróci, to wtedy stwierdzę, że jednak tak zrobimy.
1731:  Dobra, moi drodzy, chyba trzeba włączyć także sprint w niedomagu jamniksie, przecież my będziemy tutaj szli godzinę.
1737:  Herbatka do polecenia dla herbaciarza, biel zieleń.
1739:  No to właśnie, jamniczko kapłanko z Allenstein, polecam ci serdecznie tę herbatę milki.
1745:  Ona jest między biało-zieloną smakowo.
1749:  Myślałem, że Krzysztof wiecznie jaśminowo zmienił się w stryja Ayroha.
1752:  Aaaa, patrzaj Kotel, aaaa.
1755:  Nie, jaśminowa pyszna, absolutnie.
1758:  Ale staramy się czasem wymieniać herbatki.
