🔴 Precz z Dragon's Dogma — HORIZON: FORBIDDEN WEST #2
🔗 https://www.youtube.com/watch?v=ey8tVacIRp8

202:  Wszystkie prawa zastrzeżone.
649:  Czy nagram jakieś materiały opowiadające o patologiach w Dragon's Dog?
652:  To co, Bal?
653:  Zrobią to za mnie recenzenci.
654:  To nie jest nic, czego ja nie byłbym w stanie zrobić.
657:  Już Kiszak zresztą pojechał po Dragon's Dogmie, tak jak należało, moi drodzy.
662:  Ja tylko będę oczywiście sobie nie radził jak zawsze z różnymi kontrolsami, ale to wiecie dobrze i mnie znacie.
667:  To, co ostatnio udało mi się zrobić, to zdobyć wierzchowca, co jest bardzo ważne.
671:  W związku z powyższym idziemy od razu do samotnego świata.
673:  Nie zrobię tego błędu, co w jedynce,
675:  To znaczy w jedynce robiliśmy questy poboczne, zamiast żeby zrobić quest główny i potem zacząć questy poboczne jakoś po drodze, a tymczasem widzę, że mamy Jamnikołaja na czatach, Knur Maciek dołącza do gnaw wspierających Gino89, Łukasz G. Oraz, oraz, oraz, oraz, Arkadiusz Cybulak i Pan Pomidor dziękuję serdecznie Anulinusowi za wsparcie społeczności.
695:  Niuch!
696:  Stała się, moi drodzy, straszna rzecz, mianowicie niuchacz został zmiażdżony przez stół podnoszący... Więc musiałem niuchacza szybko wydobyć.
705:  Ale kryzys został zażegnany.
706:  Ale mnie drażni, natomiast to... Oczywiście, że będzie narzekanie, jak zawsze jest narzekanie.
710:  Drażni mnie strasznie to, że jak się przełączam na inny monitor, to wtedy gra się pauzuje, dlaczego tak się dzieje.
715:  Jak się przyzywało wierzchowca, pamiętacie to może?
717:  Okej, X-em się przełączam między tym.
720:  Wierzchowiec to jest chyba R?
723:  Wezwanie wierzchowca.
725:  Tak, wezwanie wierzchowca, to chcę, to chcę.
728:  Wjeżdżę do kopii gry, którą posiadali recenzenci Dogma i mieli dorzucony guideline, w którym było wspomniane, że do gry będą dorzucone mikrotransakcje.
733:  Tak, tak, widziałem to, co Asmongold nagłaśniał, widziałem.
739:  Stream Zagwaz Dogma 2 się skończył dobrze na grańsku w Hollow Knighta, to prawda.
744:  Gwizdu, gwizdu, jest nasz wierny wierzchowiec, śmigacz, moi drodzy.
749:  Czy ja mogę jeszcze raz zaznaczyć, że tak powinna wyglądać grafika w 2024?
753:  To jest wciąż grafika z 2000...
760:  No, 21.02., jak na moje standardy, ale jak na standardy gamingu współczesnego, jak widać, nie.
770:  Czy nie zmieniam dubbingu na oryginalny?
772:  Zapomniałem o tym, Martyno.
773:  Zapomniałem o tym.
775:  Pewnych rzeczy nie da się zrobić, jak stream się zaczyna o godzinie 16, a wstanie się o godzinie 15.30.
778:  No dobrze, 15.00.
782:  O, biedny niuchacz.
784:  Niuchacz został zmiażdżony przez stół, moi drodzy.
786:  Ja nie mam z tym nic wspólnego.
788:  Stół jest winien, nie ja.
789:  Stół podnosi się automatycznie.
791:  Niuchacz został wciśnięty między regał a stół.
797:  No, to jest grafika z 2019 Death Stranding, tak wygląda.
799:  Ja wiem, ja wiem, ja wiem, moi drodzy.
802:  Jeszcze powinniśmy mieć tutaj RTX i inne tego typu rzeczy.
805:  Raytracing znaczy się i...
808:  Ale trzeba się cieszyć z tego, co mamy, bo jak widać, może być gorzej.
812:  Jak się zsiada z koń?
814:  E chyba, tak?
815:  E, dobrze.
818:  Ja muszę cały czas pamiętać, żeby odblokowywać, moi drodzy, ogniska i zapisywać.
823:  Bardzo dobrze.
824:  Ja uważam, że z 2002, ponieważ w 2007 roku był taki Assassin's Creed chociażby i on był lepszy.
834:  Zapominam cały czas, że tutaj, moi drodzy, nas ranią rude rzeczy.
838:  Jesteśmy rudzi, ale ranią nas rude rzeczy.
842:  I Aloj zmienia się w bajżu i zaczyna kaszleć.
846:  Nie Krzysztof uszkodził niuchacza, tylko podnoszący się stół uszkodził niuchacza.
850:  Znaczy nie uszkodził trwale, ale niuchacz był podduszony nieznacznie, więc jeżeli niuchacz nie jest w BDSM-y, no to...
859:  No to niuchaczowi się to nie mogło spodobać.
862:  Z czystej ciekawości lustrzane odbicie spod lądu głównej kamery podczas gameplayu to nowa wizja, z rodzaju jak mi się teraz podoba odwrócony Krzysztof to nowe doświadczenie.
869:  A ja cały czas zapominam, że to jest w drugą stronę, tak.
874:  To prawda.
877:  Dobrze.
879:  Bardzo mnie, moi drodzy, ciekawi, czy tutaj będą jakieś lokacje, które mnie zachwycą.
884:  Jak wyrażamy sobie gry na za dwie dekady, przy obecnych tendencjach myślę, że się cofniemy do 1994 roku, a gracze będą mówić, nie, nie, nie, nie, to tak ma być, bo to jest retro, to jest nostalgia.
896:  Ile mam jeszcze zapłacić?
897:  Ile?
898:  Ile?
899:  A dobrze, dobrze, 750 złotych, nie ma problemu.
902:  200 złotych, nie ma problemu, nie ma problemu, to jest tak.
906:  Inflacja.
909:  Oczywiście gra się zawiesi w pierwszej godzinie rozgrywki, no to nie musimy co do tego mieć żadnych wątpliwości.
920:  Zbieram rośliny, bo one się przydadzą.
922:  Zobaczycie, że one się przydadzą, zanim wejdę do tego miejsca.
929:  Będzie nowy Pong ze skinem innego koloru piłeczki, aha.
933:  Ojej, ja mogę tu nurkować?
936:  Ooo!
937:  A jak ja nurkuję?
941:  Dobrze, jakoś zanurkowałem, nie wiem jak.
946:  Nie wiem jak, ale bardzo mi się to spodobało.
948:  Czy to zanurkowanie jest tutaj automatyczne, czy nie?
950:  DLC na odwieszenie gry?
953:  Dolar dziewięćdziesiąt dziewięć.
955:  Tak.
957:  Cofniemy się do 1984 roku.
958:  Tak.
964:  Nie było mnie wczoraj na live'ie, dostałem wiadomość na maile, że otrzymałem membership od kogoś, pisze Maria Skoczylas, dlatego ślicznie dziękuję tej osobie.
969:  To był Jan Mikołaj.
973:  Inflacja, dlatego podnosimy ceny gier o 50%.
975:  Tak, inflacja, dlatego podnosimy ceny mieszkań o 1000%.
981:  10 minut, Horizon jeszcze nie został obrażony.
983:  Ja, moi drodzy, odebrałem swoją lekcję pokory, okej?
986:  Odebrałem swoją lekcję pokory i będę dzisiaj narzekał mniej.
989:  Nurkujesz, kiedy chcesz, chyba że to klawisz C.
994:  Aż sprawdzę.
995:  Chyba, że ja to robię myszą, bo to też jest możliwe.
997:  Nie.
999:  Wow, to jest klawisz C. Nie, no to jest piękne.
1005:  Ja uwielbiam gry, w których można nurkować.
1009:  Oficjalnie uważam, że najlepszy dodatek do Genshin'a jaki był, to było nurkowanie.
1013:  Urszulo, dziękuję Ci za trybut.
1014:  Tymczasem my z Rudą Parówką wyszliśmy na 2,5 godziny spaceru.
1018:  Zrobiliśmy 11 kilometrów z jamnikiem?!
1021:  Jamnik był w stanie przetrwać tyle?
1025:  Czy wskutek natężenia byle jakich gier powinniśmy rozważać grobę odpowiednich złotych malin?
1028:  Ej, to jest dobry pomysł.
1032:  To jest autentycznie dobry pomysł, bo to by może zdyscyplinowało trochę twórców, którzy przestali kompletnie słuchać recenzentów.
1040:  Przedmioty będą trafiać do schowka.
1042:  Okej.
1043:  Nie wiem wprawdzie, gdzie jest mój schowek, ale co tam.
1049:  Dobrze.
1051:  Podoba mi się, że wczorajszym streamie powstał feminatyw Szambuł Nurkini.
1054:  Na naszych streamach dzieją się, moi drodzy, rzeczy najdziwniejsze.
1060:  Dlaczego, dlaczego on powiedział to mnie łamaga?
1065:  Skandal absolutny.
1068:  Spodoba ci się, tutaj jest sporo podwodnych miejscówek.
1070:  Ooo, uwielbiam.
1074:  Nie wiem, jak można jednocześnie zrobić dobrego Monster Huntera i katastrofalną Dragon's Dogmę.
1078:  Ja patrzę na to, jak się rozwija Bethesda i to rozumiem.
1083:  Bethesda jest mistrzem robienia gier, które są legendarne, a potem robienia crapów.
1088:  Dobrze.
1095:  A, przykro mi, ale nie.
1097:  To działka dowódcy Nozara.
1099:  Jestem Lawan, jego porucznik.
1101:  Więc, co robi Aloy z Nora w samotnym świetle?
1104:  Przybyłam na ambasadę.
1106:  Bardzo mam nadzieję, że poruszam na zachód.
1110:  Skoro uczony Władis już dotarł, może warto się za to zabrać.
1114:  Ha ha, a tak, kapłan słońca.
1117:  Nie lubię nurkować aż tak, żeby grać w San Nautica, okej?
1121:  Chyba naprawdę lubi te zwoje.
1123:  Ale ambasada się opóźnia.
1126:  Dowódca Nozar zgłosił gotowość, ale szeryfowie tenaktów jeszcze nie zadali wróg.
1133:  Dobrze, jasne.
1135:  Zatem mnie przepuść.
1136:  Mam tu ważne sprawy.
1138:  Nie będę.
1139:  Nie będę.
1139:  O sramscy pamiętajcie.
1140:  Niestety przed ambasadą nikt nie wyjdzie.
1143:  Otworzą bramy, jak te naktowie odejdą.
1157:  Będzie piękna misja podwodna?
1159:  Cudownie.
1160:  Umysłowe Ghetto pyta co za mikrofon.
1162:  Shure SM7B, a nade mną, czego nie widzicie, ale możecie usłyszeć, jest Sennheiser MKH50, to jest mikrofon tak zwany ołówkowy do dialogów i na nim nagrywam materiały od niedawna.
1178:  Dobra.
1179:  Czy Horizon Forbidden West będzie Gothiciem, Skyrimem, twierdzą postalem drugim następnego pokolenia?
1183:  Nie sądzę.
1184:  Nie sądzę.
1185:  Ja zawsze patrzę na Horizona w tej klasie gier co Uncharted, co... No nie, może Uncharted nie, ale...
1196:  Ale na przykład właśnie God of War i tak dalej, takie typowe, ekskluzywy PlayStation, które dają historię, mają zaawansowany gameplay, ale nie w takim stopniu są otwarte i nie pozwalają na taką gigantyczną swobodę, żeby każdy gracz mógł utworzyć swoją własną postać, wlać tam swoją własną tożsamość, opowieść, historię.
1218:  Myślę, że takie gry zapamiętujemy najbardziej, które są fuzją tego naszego własnego, indywidualnego doświadczenia i tego, co możemy w grze zrobić.
1225:  Pewnym ewenementem tutaj jest Wiedźmin, ale pamiętam jeszcze recenzję Wiedźmina III, jak wychodził, jak ludzie narzekali, że właśnie z Geralt nie można roleplayować.
1234:  Jako ktoś inny.
1236:  Najlepsza graficznie gra do tej pory, jaką w życiu widziałem, to był Red Dead Redemption 2.
1243:  Ktoś naprawił taką zdobkę, w najbliższym czasie będzie druga próba.
1247:  Nie mogą naprawić enig z narracji świata.
1250:  To jest to samo, moja uwaga, co z Cyberpunkiem.
1252:  Phantom Liberty może być świetny, natomiast Cyberpunk nie zaczął być dobry dlatego, że usprawnili błędy i połatali je, ponieważ Jackie w dalszym ciągu jest naszym najlepszym przyjacielem w ciągu dwóch minut, jak go poznajemy.
1265:  Nie da się tego naprawić.
1266:  To jest spaprane na zawsze, dlatego właśnie narracja musi być dobrze w grach zrobiona, bo jak spaprzecie narrację, to nie możecie jej spaczować.
1276:  Dobra, lecimy.
1278:  A w ogóle oglądam Problem Trzech Ciał i się rozkręcił, więc bardzo możliwe, że będzie recenzja.
1283:  Ambasada.
1283:  O co chodzi z tą ambasadą?
1286:  Ktoś powiedział ostatnio w komentarzu, że ambasada to też archaicznie może być spotkanie, więc powiedzmy.
1293:  W zamian, tenaktowie zwracają rzeczy zabrane kardza, poległym podczas krwawych łowów.
1300:  Jednakże ta ambasada jest szczególna.
1303:  Poniekąd tak, chociaż ja zawsze traktuję The Last of Us bardziej jako film niż grę.
1307:  Żołnierza imieniem Faszaw.
1309:  A, czyli wiesz...
1314:  Później w grze będzie urządzenie, które pozwala na przebywanie wodą przez cały czas, pod wodą?
1319:  Super.
1321:  Czytałem książkę, po co mam przechciał?
1322:  Nie, ja się odbiłem od książki.
1324:  Kompletnie się odbiłem, dlatego nie wiedziałem, co się dzieje w serialu na samym początku i dlatego też czekam, aż obejrzę w całość, żeby zrobić recenzję i nie spieszę się z tym.
1334:  Na pewno nie będę tak entuzjastyczny jak Filip.
1336:  To elitarni wojownicy.
1338:  Przed każdą ambasadą przybywają z kontyngentem żołnierzy z każdego z trzech klanów.
1343:  Potem, już w trakcie obrad, pertraktują... Czy możemy sobie nazywać tę ambasadę Sabatem?
1348:  Bardzo proszę.
1348:  A przez pertraktują, rozumiem, gapią się na kapłanów Słońca, aż ci ustąpią.
1353:  Bohater drugiego planu.
1354:  Ten Ambaiv spotkał się z nimi po raz pierwszy na poprzedniej ambasadzie.
1359:  Gość wrócił cały zlany potem.
1362:  Boże, drewniany śmiech polskich aktorów.
1371:  Jesus Christ.
1372:  Git.
1372:  Niezmiennie uwielbiam stroje, które są w tej grze.
1375:  A tymczasem ten gość z tyłu, dalej.
1393:  Oni sobie rozmawiają radośnie, tymczasem ktoś w tle.
1396:  Absolutnie przecudowne.
1397:  Kocham takie momenty.
1412:  To jest zabawne, że za każdym razem jak zmieniam kąt kamery, to Aloj robi fikołka.
1418:  Nie myli... Co?
1420:  Dlaczego?
1421:  Okej.
1426:  Z ciekawości sprawdzę, jaki jest klatkaż.
1429:  Ministerstwo Głupich Kroków, tak.
1432:  112 FPS-ów, cóż za miła odmiana względem gry za trzystówki.
1438:  Odstąp, żołnierzu.
1439:  Tak jest.
1441:  Odstąp, żołnierzu.
1443:  Odstąp, soldacie.
1445:  Masz fioletowe gacie.
1449:  Dobrze.
1452:  Trzeba sidequesta wziąć, zanim pójdę na ambasadę, czyli jednak, bo ja chciałem odblokować wszystkie nasze zdolności, moi drodzy.
1464:  Ale czego można się spodziewać po dzikusach?
1470:  Przy max ustawieniach, tak.
1477:  Tak, giraffe.
1483:  Myśmy to ostatnio zrobili?
1485:  Oczyściliśmy z doliny?
1486:  Chyba tak.
1487:  To była dolina górnicza?
1491:  Nie.
1491:  Twój green screen na nogi również polepsza się ze streamu na stream.
1494:  To wszystko dzięki wsparciu kanału, moi drodzy.
1495:  Zamknij się.
1496:  Skąd to opóźnienie?
1500:  Myśmy jakoś przezwali tego kapłana.
1502:  Nie do Władis!
1503:  Tak.
1507:  Horizon jest za dwie stówki, a tamto gówno za trzysta.
1509:  Trzysta plus dwieście za mikrotransakcje.
1513:  To nie jest jakaś zapyziała wiocha na wschodzie, taka jak twoja, Nora.
1517:  To zakazany zakup.
1521:  Jak się nie podoba, zasuwaj do południka i się poskarż.
1524:  Południka, która ocaliłam, w sensie?
1526:  Tak jest.
1528:  Nikt nie przejdzie przez bramę, dopóki nie przybędzie trzeci klan i nie zabrzmi ruchu.
1533:  Nawet Zbawczyni Południka.
1535:  Zaraz będzie ciemno, zamknij się, tak?
1538:  Nieśmiertelnie.
1539:  Nieśmiertelny cytat.
1542:  Dobrze, poczekamy.
1545:  Na twoje szczęście, Zbawczyni Południka ma kilka ważnych spraw do załatwienia.
1549:  Uwielbiam jak wchodzi temat Aloj.
1553:  Zakazany zachód.
1554:  Roll credits.
1556:  Dobrze, czyli mówicie, że tu jest fajny sidequest.
1558:  Tu są trzy fajne sidequesty.
1560:  Nowa misja, nowa misja, nowa misja.
1562:  Dobrze, to w takim razie możemy sobie te misje odznaczyć, ale nie będę każdego pytajniczka odznaczał, bez przesady, moi drodzy.
1569:  Wiem o levelach, że miało być po angielsku, ale ja po prostu nie mam cierpliwości do robienia tego na Steamie.
1574:  Nienawidzę tego robić.
1576:  Niech wreszcie producenci gier nauczą się, żeby udostępniać możliwość zmienienia języka w środku gry.
1584:  Doprowadza mnie to do szału.
1586:  Zbawczyni.
1587:  Tylko ty mi zostałaś.
1589:  Conover, to Zbawczyni Południka, nie twoja.
1592:  Musimy go uwolnić z pierdla, mówię wam.
1595:  Czego chcesz?
1597:  Nikt mnie nie słucha.
1600:  Ale zaćmienie.
1602:  Oni są w beznadziei.
1604:  Znowu to samo?
1605:  Już ich pokonała, a ty chcesz ją zanudzać swoimi bredniami?
1609:  Niektórzy zbiegli na zachód po bitwie pod Oświecą.
1612:  Czy bitwa pod Oświecą to jest coś, co powinienem pamiętać?
1616:  Próbowałem podsłuchać, ale zauważyli mnie.
1619:  Alaruvik chciał mnie zabić.
1625:  Sud.
1627:  Zakryj sud.
1628:  YouTube się pogniewa.
1629:  Nie ma niezbitych dowodów łączących Laruvica z zaćmieniem.
1633:  A skoro Conover nie przeczy, że zabił towarzysza broni, Nozar skazał go na śmierć.
1639:  Może Ewout w koniec roku będzie dobrym RPG-iem?
1642:  Pod koniec roku wychodzi druga część Hollow Knighta, więc w to nagramy na pewno.
1647:  Słyszałem bardziej naciągane argumenty, ale i tak jest słabo.
1651:  Historia z zaćmieniem może być tylko próbą uniknięcia śmierci.
1654:  Skoro muszę umrzeć, niech będzie.
1657:  Tylko jeśli to zignorujemy, zginą także inni.
1664:  Powiedz mi, co dokładnie się stało.
1671:  Niedawno, przy zmianie wart, obcy przemknęli przez bramę.
1675:  Zanim to zauważyliśmy, byli już w wąwozie.
1678:  Nozar uznał, że nie trzeba ich ścigać.
1680:  Druga część kronata wychodził 5 lat nieskutecznie, ale zapowiedzieli, że będzie ostatni kwartal tego roku, więc anusz.
1685:  Zmusił liczbę patroli, udzielił nagany strażnikom i wszyscy zajęli się swoją robotą.
1690:  Lecz ja nie mogłem przestać o tym myśleć.
1692:  Wszyscy tu jesteśmy ostrożni, czyli ktoś celowo nie domknął bramy.
1698:  A Laruwik?
1699:  Cóż, on zawsze narzekał na oficerów, ale tym razem nie pisnął słowa.
1705:  Zaś po wypadku zaczął zachowywać się inaczej, nerwowo.
1711:  Kim jest Laruwik?
1712:  Więc jak tylko zobaczyłem, że wymyka się z koszar, ruszyłem za nim.
1716:  Spostrzegłem, jak się z kimś kłóci, a gdy Laruwik wspomniał o zaćmieniu, próbowałem się zbliżyć, ale...
1723:  Krzysztof, jak brałeś udział w bitwie, to wypadałoby o tym pamiętać, inaczej jest to niegrzeczne.
1728:  Czyli jestem niegrzeczny.
1733:  Strażnicy usłyszeli hałas i znaleźli mnie nad ciałem.
1740:  A propos tego spotkania.
1742:  Przestrzenie między kratami są tak duże, że aż dziw, że koleś nie zwiął przemaksmat.
1746:  Ale polana, na której się spotkali, jest na wschodzie, za rzeką.
1749:  Przeszukał już ją tuzin żołnierzy, Conover.
1752:  Niczego tam nie ma.
1753:  Widzę znacznie więcej niż inni.
1756:  Jeśli są w beznadziei, znajdę ich.
1759:  Dziękuję, Aloy.
1761:  Dobrze, ja muszę poznać waszą opinię, tu zgromadzonych na temat tego, czy dublasz, czy nie dublasz, więc walnę krótką ankietkę.
1770:  Horizon z dublarzem.
1775:  Wraży dublaż.
1780:  Wraży dublaż.
1782:  Zmień.
1784:  Chcę napisy.
1785:  O, tak zrobimy.
1786:  Proszę bardzo.
1789:  Bo ja osobiście nie mam z tym takiego problemu, jak miałem chociażby w przypadku transakcentującego Bucky w Cyberpunku, który starał się brzmieć jak Idris Elba.
1810:  I nie mógł, bo nie umiał, ale umiał przedłużać samogłoski.
1820:  Weźmiemy sobie od razu następny quest, bo nie chce mi się do niego wracać.
1826:  A, zbawczyni.
1827:  Powiedz, czy aby przypadkiem nie szukasz przejścia do ziemi niczyjej?
1831:  Może.
1831:  A czemu pytasz?
1841:  Okej, skarby.
1844:  Czyli to nic ciekawego.
1846:  Dobrze.
1847:  Rabini są niezgodni w ankiecie.
1850:  Nienawidzę tej ankiety, jest 55%.
1852:  Znaczy, to tylko oznacza, że w połowie live'a zmienimy na dubbing.
1858:  Znaczy, z dubbingu na napisy.
1862:  Ankieta niejasna, zagłosowałem na dubbing niemiecki z czeskimi napisami.
1865:  No tak, no tak.
1868:  Nudne kontrakty są w grach zawsze, niestety.
1871:  Z jakiegoś względu twórcy się cały czas przy nich upierają.
1875:  Nie wiem dlaczego tak się dzieje, być może gracze niewystarczająco głośno o tym mówią, być może nie mamy już dobrych recenzentów, którzy by na to wskazywali.
1885:  Zastanówmy się.
1888:  Więc poszedłem na polanę i to jest polana.
1892:  Widzicie?
1892:  To musi być ta polana.
1897:  jako Sam Hogwarts Legacy Rock po ograniu, nie wrócę do tej gry, więc pod tym względem na pewno replayability siedzi, ale w dalszym ciągu myślę, że jeżeli jesteś fanem ASBCKW pod uniwersum Pottera, to może ci się spodobać.
1911:  Tylko bym nie... starał się wymaksować tej gry i mapy.
1921:  Fokus.
1922:  Fokus.
1924:  Nic to, że ja włączyłem fokus wcześniej,
1929:  Ludzkie ślady.
1931:  Gałęzie.
1933:  Rzeczy.
1935:  Ludzkie ślady.
1940:  Ludzkie ślady zbadaj.
1943:  Polana, która jest na palmę polana.
1945:  A na polanie są polana.
1953:  A to, że mało gier ma misje poboczne jak w Wiedźminie, moi drodzy, to jest też do naprawienia.
1959:  Wystarczy się inspirować.
1960:  Każda gra wprowadza jakąś fajną mechanikę albo jakieś fajne rozwiązanie.
1965:  które powinno stawać się częścią standardów w branży.
1968:  Będę powtarzał do znudzenia, potrzebujemy jednolitych standardów w branży, żeby pewne rzeczy były utrzymywane na określonym poziomie.
1975:  Znaczy na przykład umawiamy się, okej, nie ma drewnianej mimiki, kto robi najlepiej mimikę postaci?
1979:  Kupujemy bibliotekę animacji, rozwijamy ją wspólnie, wgrywamy do każdej następnej gry.
1984:  Bo jak czasem mam takie wrażenie, jak gram w różne tytuły,
1988:  Jakbym czytał książkę i po tej książce miał następną książkę, tylko że ktoś zrobił downgrade i drukuje złym fontem, takim, który jest zły dla wzroku, a następny stwierdza, że co trzecią stronę wyrwie, a jeszcze inny stwierdza, ja zrobię innowację artystyczną i moja książka będzie do góry nogami zadrukowana co drugą stronę.
2008:  Musimy się zgodzić co do tego, że są pewne standardy odnośnie do formy projektowania interfejsu, nawigacji, standardów dostępności i tak dalej, a innowacje wprowadzać na poziomie właśnie tego, co będzie contentem misji, jaką nową mechanikę wprowadzimy.
2022:  Ale powinien być bazowy zestaw mechanik, który nie jest żenujący.
2025:  I teraz się narażę wszystkim, na przykład powiem, że tak uważam, że Sekiro powinno się było zainspirować tym...
2031:  wspaniałym parkurem, który jest w Assassin's Creedach, zwłaszcza jeżeli chodzi o wykorzystanie linki.
2037:  I nigdy nie zaakceptuję wyjaśnień, że ta linka i tak, ona jest celowo, ona jest celowo taka w Sekiro, że jest gorsza od gry, która miała to lepiej zrobione w 2009 roku.
2046:  No nie.
2053:  Krzysztofie, dość chłodno wyraziłeś się o Quokka z Legacy.
2055:  Naraził się czymś po pierwsze z Seema?
2057:  Nie, po prostu...
2060:  Podtrzymuję zdanie, że świat jest wspaniały, natomiast gra ma strasznie dużo takiego contentu po to, żeby był content.
2068:  W związku z powyższym trudno, żeby później człowiek do niej wracał, więc w kategorii replayability, którą możecie ocenić dopiero jak zagracie w jakąś grę i właśnie oceniacie po roku, czy po dwóch latach, czy po trzech latach, no tu leży.
2082:  Dobrze, ewidentnie czegoś nie zrobiłem.
2085:  Musimy tutaj użyć jeszcze raz fokusu.
2088:  Odświetl ścieżkę, dokładnie.
2093:  Nibycieli, byłam zachwycona hugą z Legacy Detroit Become Human, to co polecasz po tym.
2099:  Life is strange, jeśli nie znasz.
2103:  Interfejsy diegetyczne na przykładzie wykorzystania fokusa.
2107:  Interfejs diegetyczny to jest to, co macie w grze
2113:  i widzi to zarówno postać, no bo ma focus, nie?
2116:  Ona w tej chwili wyświetla sobie interfejs, prawda?
2118:  Widzicie ten, to.
2119:  Więc to widzi Aloj, ale równocześnie widzimy to my i dlatego nazywamy to interfejsem diegetycznym, ale równocześnie macie tutaj wygaść świeczkę, boże, ścieżkę, ja jeszcze naprawdę śpię.
2129:  I jeżeli ten napis już nie jest częścią interfejsu diegetycznego, bo tego nie widzi Aloj.
2135:  Diegetyczny oznacza związany z opowieścią i ze światem opowieści, czy ze światem narracji, ze światem gry.
2141:  i wygaś ścieżkę nie jest z tym związane w żaden sposób.
2147:  Dobrze, ja się postaram ukryć, ale to się już chyba nie uda.
2152:  To się już zdecydowanie nie uda.
2157:  Dlaczego strzelam strzałami kwasowymi?
