🔴 Gramy w Twierdzę i Hollow Knight! | WIELKA POŻOGA JAMNICZEJ POMOCY 2024 (cz. 2)
🔗 https://www.youtube.com/watch?v=DUBwMRZed1g

1:  🎵🎵🎵
1889:  Swoją drogą, czy jeżeli chodzi o naszą muzykę, to ją odpalono dobrze?
1892:  Tak, tak, będzie.
1893:  Patrzcie, ile jest tego w elektropląsach.
1895:  Ktoś jest zainteresowany, z jakiej playlisty słuchamy, to od razu Wam udostępnię link.
1899:  Proszę bardzo.
1901:  Dzisiaj pamiętam o takich rzeczach.
1905:  Akurat maluje Space Marinus, pisze z Corvus z Warhammera 40.
1908:  Najlepsza rzecz, moi drodzy.
1909:  O, jakie to jest niesamowite!
1913:  Ja myślałem, że Neil Gaiman nie może być piękniejszy.
1916:  Pombadil nieźle kosił w bitwie o śródziemiach się go przyzwało.
1919:  Tak, Battle of Middle F2 było absolutnie znakomite pod tym względem.
1924:  Czy esej naukowy może mieć zakończenie otwarte?
1926:  Moim zdaniem absolutnie tak.
1929:  Każdy esej może mieć zakończenie otwarte.
1930:  Ja myślę, że w ogóle to jest istotą eseju, przynajmniej tak długo jak długo słuchamy Montaina, który mówi, że to jest próba, próba zmierzenia się z jakimś tematem, więc jak najbardziej.
1937:  W ogóle teksty naukowe często mają, bardzo naukowe mają zakończenie otwarte, to znaczy mówisz chociażby, że potrzeba dalszych badań, potrzeba drewna.
1946:  co kierował Tolkienem przy stworzeniu Toma Bombadilla.
1948:  Ja myślę, że to samo, co kierowało nim, jak zredkonował całą Ardę i powiedział, że a, tak naprawdę to jest nasza ziemia, to nie jest tak, że ja tworzę jakieś magie i alternatywne światy, to nie, to wszystko jest legitne i zgodne z korpusem katolickim.
1962:  Ja myślę, że to samo.
