🔴 Mucha, to nawet nie jest ona — THE THAUMATURGE Livestream #2
🔗 https://www.youtube.com/watch?v=APtadCvjLRY

16:  Dziękuje za uwagę.
639:  Dziękuję Łukaszowi G, który zwrócił uwagę, że jest problem z głośnością.
643:  Swoją drogą, moi drodzy, tak a propos głośności, to jeszcze mamy drugi wariant.
649:  Ale to jest, moi drodzy, mikrofon, który będzie wykorzystywany na live'ach Q&A.
652:  On jest nade mną i zbiera w inny sposób dźwięk.
656:  Zobaczymy, jak to się będzie sprawdzało.
658:  Ma to tę zaletę, że będę mógł machać rękami, nie będę trykał wtedy mikrofonu.
661:  Widzicie, jak trykam mikrofon.
662:  Boże drogi, tryknąłem mikrofon.
665:  No, natomiast na streamach będziemy używali tego, ponieważ mikrofon z góry zbiera wszystkie kliknięcia klawiatury.
670:  Co dzisiaj pytę?
672:  Pytę, hahaha, pite.
674:  Dzisiaj jest pite, Frogett67, to co zawsze.
677:  Będziemy robić to co zawsze, Pinki, będziemy pić herbatę i podbijać świat.
682:  Jak tam zdrowie?
682:  No jak widać, Marto Szczepaniak nie na tyle dobrze, żeby nie mylić Pity z Pytą, ale poza tym w porządku.
689:  Czy mam książkę Czerwia Fantastycznego?
691:  Nie tylko mam, ale czytałem, ale nie mam w sensie fizycznym.
694:  Uważam, że wystarczają w zupełności, moi drodzy, książki w wersji e-bookowej, natomiast biedna Czerw chce cały czas przekazać mi życzoną książkę, a nie może, ponieważ wiecie, Krzysztof chory, a ja uważam, że nie należy zarażać.
707:  Taki mam kontrowersyjny pogląd.
709:  Ja wiem, nie wszyscy się zgadzają z tym, ale ja osobiście uważam, że nie fajnie jest zarażać ludzi.
717:  Wracamy do bardzo dziwnego flamenko warszawskiego.
721:  Pochwalę się, pisze Magdaleny, jestem wolontariuszem w schronisku.
723:  Proszę bardzo, nie ma żadnych jamników, ale psy niskie są.
726:  Dlaczego nigdy nie ma żadnych jamników?
727:  A widzicie, ja wiem, dlaczego nie ma nigdy żadnych jamników, ponieważ wszystkie najpiękniejsze i najszlachetniejsze psy zostały już przygarnięte, a?
734:  Maciej jest jamnikłajem, Boże, ja nie mam niuchacza.
736:  Ania Szymańska, Czun Czun Maru oraz Karolina Jurewicz i Firenz i Padem i Ferenc otrzymują wspieranie.
743:  Gdzie jest niuchacz?
750:  Niuchacz leżał na pufie, moi drodzy.
752:  Niuchacz był zaopiekowany.
756:  Niuch!
757:  Dziękuję serdecznie za wsparcie kanału.
760:  To się zaraził, bo ludzie nie noszą maseczek.
761:  Tak!
763:  Ale absolutnie tak.
764:  To jest wirus, to co ja miałem.
767:  Mnie to doprowadza do szału.
768:  Jest jeden, jedyny moment, moi drodzy, kiedy ja byłem zdrowy i to były czasy pandemii.
773:  A ja myślałem, że to jest choroba zawodowa, że im więcej wykładam, tudzież, nie wiem, krzyczę na streamie, to...
779:  O nie, nie, nie, moi drodzy.
780:  Nie, wystarczyło, że wyszedłem na jeden konwent w Częstochowie, skądinąd, i proszę bardzo, zawiało mnie, ktoś mnie na mnie nacharkał i się skończyło.
790:  Karol Korol jeszcze otrzymał wsparcie od Szymona Wróblewskiego, który też jest Jan Nikołajem.
794:  Niuch!
798:  Byś miał taki gorączki jak w imię Boga.
800:  Właśnie przeczytałem krzyż, to jestem w szoku.
801:  Dominika ma świetne pióro, przy końcu się wzruszyłem, polecam wszystkim.
806:  Mówiłem!
806:  Zresztą będzie mi w tym tygodniu w niedzielę Q&A i ja będę o tej książce mówił.
811:  Jak wrażenia po czwartym odcinku Szoguna?
813:  Jest super, naprawdę.
814:  Czy możecie mi przypomnieć, co się w ogóle działo w tej grze?
816:  Bo ja nic nie pamiętam.
818:  To jest goli broda.
820:  Mamy się przygotować na Soiree?
823:  Co to jest suara?
824:  Ja już nic nie pamiętam.
827:  Można byłoby zrobić tak, że jak zmieniasz brodę i fryzurę, to Wiktorowi z menu głównego też się zmienia.
831:  Różne rzeczy tutaj można byłoby zrobić, na przykład zmienić muzykę.
834:  Mamy jakieś strasznie dużo, moi drodzy, questów.
839:  I my musimy te wszystkie questy poodhaczać dzisiaj.
842:  Odwiedź Rasputina przy Powązkowskiej 7.
844:  Dowiedz się o ostatnich chwilach ojca.
846:  Aha.
847:  Ciężka sprawa, powiem wam.
850:  Cześć, Krzysztof.
850:  Papa Krzysztof, muszę lecieć, nauczyć ludzi angielskiego.
853:  Lajmo z powodzenia.
856:  Wcisnąłem alt, bo myślałem, że w ten sposób się podświetla przedmioty, ale jednak nie.
860:  Dobra.
862:  W ten sposób.
863:  W ten sposób.
864:  Jaki artykuł o światotwórstwie przeszedł na początek?
866:  Ja ci polecam Dominikum Marka J.P.
868:  Wolfa.
870:  Dobra.
871:  Zagadaj.
873:  The talkative gentleman.
875:  Sit down.
875:  The talkative gentleman.
878:  Aha.
880:  Czyli my możemy u niego wyłącznie się strzyc i nic więcej.
884:  Nietypowa sprawa, jak na balwieża i goli brodę, nie uważacie?
889:  Ubiłeś ludzi pod domem, zmieniłeś fryz i na imprezę wybierasz się z siostrą.
892:  Podsumował, za co bardzo dziękuję, Matwa Nika.
897:  Tutaj nie możemy wejść, rozumiem.
899:  Aha, tu mam zaczekać prawdopodobnie.
902:  Dobrze, zobaczmy tę mapę.
904:  To co mnie tutaj strasznie złości, to że nie pokazują się wszystkie questy na mapie.
908:  Mówiłem, że w którymś momencie zacznę narzekać, to jest ten moment.
911:  Wracam do gry i to właśnie dobrze wtedy widać problemy, nie?
914:  Wracacie do gry, widzicie mnóstwo rzeczy w dzienniku i co ja mam za każdym razem sobie to oznaczać?
920:  Za każdym razem, za każdym małym side questem, zwłaszcza, że szansa na ukończenie tego zadania kiedyś przeminie.
925:  Dlaczego szansa na ukończenie wszystkich tych zadań przemija?
929:  Odszukaj krawieckie inspiracje, poczekaj na rozwój wydarzeń.
933:  Może odszukajmy wpierw krawieckie inspiracje, Chryste Jezu.
937:  To jest jakiś dramat absolutny.
939:  Czy to będzie w tym miejscu, czy to jest w jakimś innym, ohydnym miejscu Warszawy?
943:  Aha, teraz na odmianę nie ma żadnego.
949:  No dobrze, to w takim razie powiślę.
953:  Dziewiąta minuta i już jest narzekanie.
955:  Ktoś czuje, że największy minus Szymon Duguna będzie jeden, że się skończył, pisze Froget.
959:  Moi drodzy, ta rozmowa, którą mieliśmy na bez schematu, o, powiśle, dobrze, tutaj idziemy.
963:  Ta rozmowa, którą mieliśmy na bez schematu, tylko mi pokazała, że naprawdę, po pierwsze, niesamowicie, niesamowicie jest rzadkie to, żeby nikt nie był w stanie przyczepić się do serialu, a po drugie, że...
975:  No, łatwiej jest zrobić dobry serial, który nie jest serialem fantasy, niż dobry serial fantasy.
980:  Zawsze będę twierdził, że jeżeli macie światotwórstwo, to jest utrudniona wtedy sprawa.
986:  Wszystko jest tutaj pozamykane.
989:  Czy... Bar Księżycówka, czy ja?
993:  Aha, mamy po prostu się rozejrzeć i tyle.
996:  W porządku, tak zrobimy.
998:  Czekamy na komentarz o Uniwersytecie KEN, czyli Komisji Edukacji Narodowej.
1004:  No, ten komentarz byłby bardzo zbliżony do tego, co miałem na temat Uniwersytetu Wrocławskiego, więc możliwe, że zrobimy to sobie w formie shorta.
1010:  Ale na pewno komentarz jest potrzebny, chociaż wiecie, to, co się dzieje na Uniwersytecie Pedagogicznym, bo będę go nazywał po ludzku dobrze, to nie jest jakaś nowa rzecz.
1019:  Myśmy mieli taki eksodus w którymś momencie pracowników właśnie stamtąd, że pojęcia nie macie.
1024:  Ludzie uciekali od dawna.
1029:  Ktoś mi może wytłumaczyć, co tutaj się dzieje?
1031:  Aha, czyli jednak tędy.
1034:  Czy, czyli jednak tędy.
1036:  O, a, mamy, co, co, co, co, co, co, co, co?
1040:  Gaza higroskopijna sterylizowana, to mi się przydało.
1044:  Opakowanie po gazie aptecznej.
1046:  Niestety zniknęło, zanim zdążyłem przeczytać.
1050:  O, Michał Rybarczyk pisze, że ukończył grę, proszę bardzo.
1054:  Zobaczymy, jakie będzie zakończenie.
1056:  Wiesz co, Michale, ja nie wiem, czy my skończymy na live'ach, ponieważ wskakują w przyszłym tygodniu takie tytuły, których ja nie mogę pominąć, czyli Dragon's Dogma 2 i to będzie z tego długa seria na kanale, plus jeszcze Horizon Forbidden West.
1071:  Dori pisze, że zaczęła studia magisterskie, inżynieria obliczeniowa na UW jest mega zadowolona i coś czuje, że chodzi na studia, nie marnuje czas dla jakiegoś papierka.
1079:  I to jest super.
1080:  Odnoszę się do studiów na Politechnice Krakowskiej, tam było gorzej, mówisz.
1084:  W nocy jest wszystko zamknięte, ale wiecie, tutaj nie ma systemu dnia i nocy, żebym ja sobie mógł jakoś radośnie odpocząć.
1091:  A to dobrze, Mac, to dobrze.
1103:  Ja uważam zawsze, że narzekanie jest dobre, tylko że zawsze staram się zaznaczyć, że narzekam, ponieważ niektórzy uważają, że to jest, nie wiem, bowa niedawiści wobec gry, a ja po prostu myślę, że jeżeli gra budzi zainteresowanie w tę lub drugą stronę, to dobrze, zawsze się możemy czegoś nauczyć.
1120:  Afisz z ogłoszeniem, na przykład tego, żeby tutaj był przycisk przeczytaj, tak?
1125:  Jeden prosty skrypcik AI-owy i możesz sobie czytać.
1127:  To mogłaby być nawet Iwona.
1129:  Iwonę mieliśmy 12 lat temu, jak się YouTube zaczynał.
1132:  Każdemu, kto udzieli informacji na temat miejsca i organizatorów nielegalnych walk na pięści w naszym mieście.
1137:  Pomorze w ujęciu braci, tudzież znane jako Zupa i Kaprawy Wacław.
1141:  Kaprawy Wacław brzmi źle.
1143:  Brzmi jak Wacław albo Wacek zamoczony w zupie.
1146:  Zostanie wypłacona nagroda 50 rubli.
1148:  Zgłoszenie na każdym warszawskim komisariacie.
1151:  Wyciągnij wniosek.
1153:  Moi drodzy, jak dobrze już wiecie, jestem mistrzem w wyciąganiu wniosków w tej grze.
1158:  Mój mózg jest tak olbrzymi, że nie mieści się w głowie.
1163:  Iwona była cudna.
1164:  Pamiętacie te przeróbki Władcy Pierścieni z Iwoną?
1166:  Wielkie nieba.
1167:  Nie wiem dlaczego, ale gra mi się kojarzy stylistycznie, pisze Bartek z Lies of Pi.
1170:  Wiesz co, mnie też, absolutnie.
1171:  Myślę, że to jest akurat bardzo dobre, bo bym był zmartwiony, gdybym się kojarzył estetycznie z Warszawą.
1177:  Nielegalne walki, które odbywają się nocami na Białoskrobniczej 5.
1181:  Okej.
1182:  Czyli mamy iść na Białoskrobniczą 5.
1184:  Czy to jest w tym rejonie Warszawy?
1186:  Tak, to jest w tym rejonie Warszawy.
1187:  No i widzicie, jest pięknie.
1190:  Przyjmuję pończochę do nadrabiania.
1195:  Jak chodzi o misję z tajemnikiem, zostaniesz powiadomiony o drodze bez powrotu, tak więc nie ma problemu.
1198:  A, okej, okej, Michale, to jest dobra wiadomość, cieszy mnie to.
1201:  Tutaj coś widzę, widzę, widzę, ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty ty
1225:  Otwarta!
1238:  Więc brama przy Grzybowskiej była otwarta, o czym powiadomiłem dozorcę.
1241:  O północy na skrzyżowaniu z Królewską i Marszałkowską zobaczyłem grupę cyganów, którzy chcieli rozbić namiot przy skwerze.
1247:  Nakazałem im popuścić to miejsce, udali się w dalszą stronę Powiśla.
1250:  Dalszy obchód bez incydentów.
1253:  Nie ma to jak dobry, zdrowy rasizm.
1256:  Okradam tylko takich...
1263:  Nie mogę czytać.
1265:  Przedstawiam mu do góry mężczyznę pozującego w studiu.
1267:  To już wiadomo, że nie o mnie, ponieważ nie jestem młody.
1275:  To jest smutne.
1277:  Idziemy ekspit.
1278:  Czekajcie, bo ja już chyba minąłem miejsce, do którego miałem pójść.
1284:  Gdzie jest Grzybowska?
1285:  Nie uważacie, że powinny być nazwy ulic tutaj, tak?
1287:  Just saying, nie?
1289:  Jeżeli ktoś nas kieruje na Grzybowsko, skoro ja mam wiedzieć, gdzie... Aha, ja już wiem, bo to jest gra.
1296:  To jest... Chyba, że my jesteśmy w Śródmieściu Północnym.
1299:  Tak.
1300:  Nie, no my jesteśmy na Powiślu.
1304:  Okej, ja nic nie rozumiem.
1307:  Miejsce odpoczynku, chyba musimy iść do miejsca odpoczynku.
1310:  Więc, ja już rozumiem, to jest Warszawa, w związku z powyższym ta sama zasada jest, co na dworcu głównym, który nazywa się centralny z niewiadomych względów, a mianowicie, no to jest twój problem, jak nie wiesz, gdzie jest Grzybowska.
1321:  Sorry.
1322:  To jest twój problem, że nie wiesz, jak iść na Pragię.
1327:  Trudno.
1328:  No tak się zdarza czasem.
1332:  Czy to jest jakiś skandal?
1337:  Okej, tego się nie spodziewałem.
1343:  Można zrobić nową misję, żeby zdobyć nowego demona.
1345:  O, to będę chętny, Michale.
1349:  O, to wygląda jak nowy demon.
1352:  Morana?
1355:  Morgana.
1358:  Od rana.
1365:  Zobaczmy, co ty tu zbierałeś.
1368:  Niezamknięta może oznaczać... Niezakluczona.
1371:  Otwarta się kojarzy z dosłownie otwartą.
1374:  Okej.
1375:  Odszukaj nocą nielegalną mordownię na Białoskrobniczej.
1378:  Na jednej z plaż powiśla ukazała mi się upiorna kobieta w przemoczonej halce.
1383:  Halka!
1384:  Boże, jak ja nie znoszę Moniuszki.
1386:  Stojąca po kostki w wodzie.
1387:  Morana.
1388:  Cała halka Moniuszki może być streszczona w następujący sposób.
1395:  Czy ty mnie kochasz?
1396:  Czy ja ciebie kocham?
1398:  Czy ty mnie kochasz?
1400:  Czy ja ciebie kocham?
1401:  Czy na pewno mnie kochasz?
1403:  Na pewno cię kocham.
1406:  Da capo al fine, jak mawiają muzycy.
1410:  Poczułem, jak wzrok bogini śmierci nowego początku mrozi mi krew w żyłach.
1414:  Ja mam wrażenie, że po prostu opery po włosku brzmią lepiej, bo nie zdajemy sobie sprawy z tego, większość ludzi nie zna włoskiego, zakładam, jak bardzo prymitywny jest tam tekst.
1424:  Więc ja tutaj widzę jakąś rzecz.
1426:  A nie, to jest po prostu płomień.
1431:  Zbadaj.
1432:  Ulotka.
1434:  To już widzieliśmy.
1439:  Więc pytanie, czy ja tutaj mam... Zrobię F5.
1441:  Pytanie, czy ja tutaj mam po prostu zaczekać.
1444:  Zmiana pory dnia.
1444:  A w ten sposób się zmienia pory dnia.
1446:  Let's wait.
1451:  Porozmawiaj z upyrem.
1460:  Cudownie.
1461:  Uwielbiam te rozmowy.
1465:  Serra z Wiktorem pisze, że połowa oper może zostać tak streszczona.
1468:  Tak, ale jak są po włosku, to tego nie słyszysz.
1470:  To jest dobre.
1471:  Chyba, że się zna włos.
1472:  Nie polecam.
1477:  Do popołudnia.
1481:  Właśnie ten dym kieruje rymek w miejsca, które są... No właśnie.
1486:  Tutaj nas kieruje dym teraz.
1491:  Odszukaj nocą.
1494:  Do nocy.
1495:  Dziękuję.
1496:  No więc jest noc.
1501:  Okej.
1502:  Teraz dym nas prowadzi gdzie indziej.
1506:  Jesus Christ.
1507:  Naprawdę mógłby to być znacznik.
1509:  Naprawdę mógłby to być znacznik.
1515:  Lukas Senpai pisze, że się wybrał wreszcie na basen.
1517:  Miałeś lat i trzeba się zmęczyć, żeby poczuć, że się odpoczywa.
1522:  Dlatego kwestia kluczowa, moi drodzy, to jest dobrać sobie taki rodzaj wysiłku fizycznego, który się lubi, bo ja miałem ten problem, że kojarzyłem wysiłek fizyczny wyłącznie ze sportem.
1532:  To jest największa krzywda, jaką się nam robi.
1535:  Procent ludzi, którzy są predestynowani do uprawiania sportów, nie jest tak wysoki, jak procent ludzi, którzy powinni ćwiczyć.
1545:  Można zacząć misję salutera, nie masz wystarczająco zrozumienia tych umiejętności, by połączyć wszystkie fakty i zdobyć marzonę.
1549:  Świetnie.
1552:  Proszę bardzo, moi drodzy.
1553:  Mordownia.
1555:  Trening na mordowni.
1557:  Czy warto czytać Łowców Duny i Czerwie Duny po skończeniu całej Kronii Duny?
1559:  Myślę, Kubo, że tak.
1560:  Jeżeli chcesz jakieś książki Briana Herberta i Kevina J. Andersona przeczytać, to te na pewno.
1565:  Ewentualnie jeszcze można... Jihad butleriański, bo jest ciekawy i późniejsze tomy.
1570:  Są trzy tomy Jihadu butleriańskiego.
1575:  Dobrze.
1577:  Przygotuj się na... Czy to jest wszystko?
1582:  To, to... Odszukaj, odszukaj osoby ze skazu, które pragnie Morana, czyli to jest, to jest ta nieszczę... Dobrze, okej, okej, okej, okej.
1595:  Jeszcze możemy odwiedzić Rasputina.
1598:  Rasputin.
1599:  Ras Stalin, Ras Lenin, Ras Putin.
1601:  Gdzie jest Ras Putin?
1605:  Tak, to jest druga rzecz, która mnie tutaj niesamowicie drażni, to znaczy, że nie można przechodzić sobie swobodnie po tej Warszawie.
1612:  Ja wiem, że to jest z ograniczeń technologicznych wynikłe, ale jeżeli to jest gra tego typu, no to wiecie, Diablo istnieje 3, tak?
1621:  Ile lat temu wyszło Diablo 3?
1623:  Dawno.
1627:  Człowiekowi, którego nie uważa gier za sztukę, pisze betonowy beton, można powiedzieć tylko jedno.
1630:  Mądrość go ścigała, ale zawsze był szybszy.
1632:  Ale ładny pocisk, podoba mi się.
1636:  Nowe zadanie z wielkim pytajnikiem.
1638:  Coś interesującego.
1639:  Świetnie, tu też jest coś interesującego.
1654:  Okej, to...
1657:  Wona Bistra Divarius jest za nami.
1661:  Proszę bardzo, są Cobblestones, moi drodzy, bruk.
1664:  Jest przepiękna piosenka o Cobblestones i kostce brukowej.
1668:  Nie żartuję, ona kończy Assassin's Creed Syndicate.
1673:  Ależ ona jest dobra.
1675:  Dori pisze, że też odczuwa coraz większej korzyści z uprawiania sportu, jak ma się duże zaangażowanie umysłowe na co dzień.
1680:  Tak, i to wicewersa.
1681:  Jeżeli z kolei macie pracę fizyczną, to polecam zainteresowanie się
1686:  komiksem, anime, mangą, serialami, filmami, grami, książkami, czymkolwiek, tzn.
1691:  odpoczynek intelektualny wtedy się przydaje.
1697:  Kołki, kołecz.
1698:  Okej.
1699:  Premium Wood!
1715:  Vampire?
1715:  Nie sądzę, że tak.
1743:  Gnuśny o tym nie wysłał powiadomień?
1745:  Ja ci powiem, dlaczego czerwony lisie.
1748:  Ponieważ Krzysztof ośmielił się siedem dni niczego nie wrzucić, bo był chory.
1752:  Nie wolno chorować.
1753:  Kapitalizm nie wybacza.
1759:  Wiecie, że Tom Scott, który odszedł z YouTube'a, bo bardzo głośny teraz film na ten temat, polecę go wam od razu, oczywiście, że musiało mi zapauzować, no naturalnie, że musiało mi zapauzować, cudowna sprawa, Tom Scott mianowicie, bo bardzo go polecam, popularyzator nauki i w tym przypadku to nie jest Obelga,
1776:  After 10 years it's time to stop weekly videos.
1779:  Bardzo wiele razy wyświetlone jakieś 10 milionów, więc sądzę, że mogliście się na to natknąć już.
1785:  I Tom Scott mówił, że od 10 lat dosłownie nie opuścił jednego tygodnia uploadu na YouTube'a.
1792:  To jest przerażające.
1797:  Czepiam się pauzowania, bo jak czasem wychodzę na drugi ekran, to się pauzuje automatycznie.
1802:  Niestety.
1805:  Taśmę?
1805:  Zdecydowane, ale te stawki, powiem ci, panie.
1809:  Od czasu, kiedy zablokowali magika, sprzedawali je jak pieczarki.
1814:  Ktoś z jakiegoś sensu je kupuje.
1816:  Uważasz w to wszystko?
1819:  Uważam w pieniądze.
1821:  I jeśli ludzie chcą kupić stawkę z bólu, to kto ja jestem, żeby się o tym porozmawiać?
1831:  El Politico pyta, co przeczytać po Malazanie.
1833:  Dziękuję ci za wsparcie od dwóch miesięcy.
1835:  Jak masz za sobą Malazan, teraz spokojnie możesz czytać już Martina Heideggera.
1838:  Żartuję, nie czytaj Martina Heideggera, ponieważ był nazistą.
1842:  Po Malazanie możesz śmiało iść w kierunku dark fantasy, jeżeli chcesz coś polskiego.
1846:  Agnieszka Hałas, Robert Wegner, względnie...
1853:  Felix Kress.
1854:  Czemu ja zapomniałem Felixa Kressa?
1856:  Natomiast w zachodniej fantastyki musiałbym troszeczkę pomyśleć, żeby polecić coś podobnego.
1861:  Wydaje mi się, że półkę wyżej jest Sanderson wciąż.
1864:  CzerwonyLis się dziękuję za odnowienie wsparcia.
1867:  Ogromnie.
1869:  Jak się podobała recenzja Duny Tomasza Raczka, czy wytrzymałem nerwo przy oglądaniu?
1872:  Wytrzymałem 30 sekund.
1873:  That's what he said.
1876:  Naprawdę, nie jestem w stanie oglądać Raczka.
1879:  Znaczy, Raczek... Ja zaraz wam powiem, co on zrobił w tej recenzji.
1889:  Dlaczego on chce mówić coś papieżowi?
1894:  To nie ma żadnego sensu.
1895:  Chyba, że to nie jest papież, tylko chodzi o popa.
1897:  To jest też możliwe.
1898:  Nie ma interesu w mnie.
1900:  Jestem anemiczny.
1914:  No więc, Tomasz Raczek stwierdził, że bardzo fajnym pomysłem na zrecenzowanie filmu fantastycznego światotwórczego, jako jest Dune'a Villneva, będzie nawiązanie do nazistowskich filmów propagandowych Riesenstahl.
1930:  spytacie być może dlaczego.
1932:  No robi się coś takiego wtedy, kiedy człowiek nie zna kontekstu, ale musi szyć cokolwiek na maturę.
1941:  No więc, no więc tak.
1943:  Najzabawniejsze jest to, że ja myślałem, że to jest ważny quest.
1946:  I starałem się nawet słuchać tego questu.
1949:  Ale nie, okazuje się, że tutaj jest to, co nas interesuje.
1952:  Dobrze, ale zanim przejdziemy do tego, ogarnijmy coś interesującego.
1955:  I Powązkowską 7.
1958:  Ja nie żartuję, szana Koyomi, możesz odpalić na kanale Raczka jego recenzję Dune'y 2, tam przez mniej więcej z 5-6 minut pierwszych nie ma nic o Dune'ie.
1970:  Napij się czekolady.
1974:  Co tu się dzieje?
1975:  Słodki posmak z odrobiną goryczy.
1977:  Tak, kuście mnie jeszcze czekoladą, jak nie mogę jej pić.
1979:  Pocztówka z zamorskiego świata, gdzie śpiewają rajskie ptaki i pobrzękują niewolniczą łańcuchy.
1983:  Nie mogę pić czekolady, bo czekolada drażni gardło.
1986:  To jest smutne.
1988:  Sajnun zajtczajka raczka minął.
1991:  Przepraszam, ja będę mówił głupoty jeszcze, ponieważ mi się mieni w oczach, jak czytam.
1996:  W ogóle jak choruję zwykle, to nie czytam, dlatego mnie złości tą grę, w której trzeba czytać.
2001:  Natomiast oglądam, moi drodzy, Code Guess w tej chwili.
2005:  Jezus, jakie to jest dobre.
2007:  Obejrzałem cały sezon.
2009:  To są plusy chorobowe.
2011:  Tak wiele tej kwestii dialogowej mi grzy miałoby sensu, gdyby były nagrane po polsku.
2015:  A widzieliście dowcip największy?
2017:  Ja nie pamiętam...
2019:  zaraz oszaleję, ja nie pamiętam, kto to linkował, ale to chyba było na Twitterze, mianowicie 11bitów, 11bitstudios, oni opublikowali tak komiczny, tak komiczny wpis na temat taumaturga, że nie macie pojęcia absolutnie, ale nie wiem, czy mi się to uda znaleźć,
2039:  Oczywiście, że mi się tego nie uda znaleźć, ale z tego, co pamiętam, Artur Ganszyniec się z tego śmiał.
2047:  Więc spróbujemy do tego dotrzeć w inny sposób.
2051:  Można ssać kosteczkę czekolady, ale trzeba być człowiekiem cierpliwie nicnotliwym.
2054:  Ssanie kosteczki czekolady, moi drodzy, też nie jest dobrym rozwiązaniem, ponieważ czekolada drażni.
2059:  Artur Ganszyniec.
2060:  Niestety muszę wejść... Nie, nie Artur Ganszyniec, czy Kurasinski?
2065:  Diabli wiedzą, któryś z Arturów.
2066:  Wierzcie mi, warto!
2069:  Bardzo warto.
2069:  Znajdę to.
2070:  Nie ma takiej opcji, mimo że to jest człowiek, który publikuje dziennie tak często, że jest, znalazłem, znalazłem.
2079:  W grę jeszcze nie grałem, pisze Artur Kurasiński, ale przez dłuższą chwilę musiałem skupić się na analizie tego posta.
2084:  Hotfix for the Tomaturge is out.
2086:  We fixed a memory leak at the Powązki Cemetery area that could have led to random freezes or crashes and degraded performance.
2096:  Powązki Cemetery.
2102:  Naprawdę?
2107:  Już widzę, już widzę anglosasów, którzy czytają słowo po wąski.
2111:  Ja już to widzę.
2112:  Nawet tego fonetycznie nie zapisali.
2116:  Czy mówisz o anime Code Geass?
2117:  Tak.
2119:  Albo Geass.
2120:  Ja to czytam Geass po łacinie trochę.
2122:  Nauczyłem się słowa Geass z upadku Illerian Marty Wells, gdzie Geass to były zaklęcia nakładane na amulety i dystrybuowane wśród ludzi.
2131:  Powiedz, że ci się spieszy.
2135:  Co, myślisz o zrobieniu Dark Souls Randomizer?
