🔴 Łowczyni łowi ładnym łukiem łżące łosie | HORIZON: ZERO DAWN Livestream #3
🔗 https://www.youtube.com/watch?v=k3QOwNxingg

46:  Dziękuje.
587:  Bear pisze, że właśnie snowballuje Sylwanią w Warhammerze II.
589:  Oj, oj, oj, w Warhammerze II i Warhammerze III zresztą też wąpierze są bardzo, bardzo silne.
597:  Bear jeszcze pisze, wita jamnik.
599:  Witamy cię, Bear, witamy.
601:  Magnor, pierwszy nas na streamie.
602:  Serdeczne jamniki dla ciebie, Magnor.
605:  Jak zoczę, że ktoś jest pierwszy raz na streamie, to nawet osobiście je wysyłam, moi drodzy.
610:  Jamnikom nie wolno skakać i chodzić po schodach?
612:  To jest prawda, Gim Lukas, to jest prawda.
614:  Nigdy nie powinno się tak robić, więc stream chciałby zostać przeprojektowany dla Jamnika.
624:  Za cicho jest ta muzyka i najzabawniejsze jest to, że ja nie jestem w stanie nic z tym zrobić.
631:  No zobaczcie.
633:  Chyba, że to są efekty dźwiękowe.
636:  O nie!
656:  Grysony.
659:  F dla Giersony.
667:  To jest niesamowite!
669:  Jak można takie podstawowe rzeczy spaprać?
673:  Chryste Jezu!
676:  W głowie się nie mieści, wiecie, i to prowadzi mnie do mojej stałej mantry.
680:  Błagam!
682:  Zatrudniajmy więcej specjalistów od Quality Assurance, którzy są najmniej opłacani.
689:  Zawsze jest tak, że się karierę rozpoczyna od QA i później się pnie w górę.
692:  Nie, to powinna być najbardziej odpowiedzialna funkcja w firmie.
697:  Najbardziej.
698:  Litości.
702:  Co reguluje suwak muzyka?
704:  Fajnie, że pytasz, Bear.
706:  Wiesz, co reguluje suwak muzyka?
708:  Muzykę!
713:  Nie, przecież to jest jakiś koszmar absolutny.
716:  Urszula Giewon pisze, że wczoraj na plaży spotkali jamniki.
718:  Całe trzy rudowłose jamniki.
720:  Ojej, jeszcze rudowłose jamniki, to już w ogóle.
723:  It's not a bug, it's a feature.
725:  Jak zdrowie?
727:  Jak mawia stare słowiańskie przysłowie?
730:  Chujowo, ale stabilnie.
737:  Tuptup pisze, za mało mi płacą.
738:  No właśnie, czyli mamy QA-ów na czatach.
741:  Nikt nie przywitał, Aśku, skandal.
743:  Witamy serdecznie, Aśku, i całe grono moderatorskie, które przemknęło się, chytrze, tak, żebym przypadkiem nikogo nie zauważył.
756:  Dlaczego Aloj... Dlaczego Aloj ogrzewa się tak przy ognisku?
763:  Czy widzieliście kogoś, kto się tak ogrzewa przy ognisku?
768:  Nie?
772:  Ryan Merke pisze, jak się podobał Mechajamnik.
773:  Piękny był Mechajamnik.
775:  A to był twój?
776:  Twoja praca?
778:  Czy ja nie surfuję przy ognisku?
779:  Pewnie, że nie, Fomka.
780:  Czy słyszałeś, że w Japonii na promocji nowego Avatara wykorzystano delfiny z niewoli?
784:  O, choć nie wiem, czy potwierdzone info.
786:  Ja bardzo nie lubię, jak takie rzeczy się dzieją, moi drodzy.
790:  Aśku wraca do serialu.
791:  Czy jest to Wednesday?
793:  Czy jest to Wednesday, Aśku?
794:  Jeśli tak, to jest to dobry wybór.
797:  To była animacja chwytania płatka śniegu.
799:  Naprawdę?
801:  In what fucking universe w ten sposób się chwyta płatki śniegu?
805:  Dobrze, moi drodzy, tutaj... Na początek.
808:  Tu wjedzie nas główna fabuła.
810:  Zasmucę was, nie robimy dzisiaj głównej fabuły.
814:  Dzisiaj eksplorujemy wszystko to, czego nie wyeksplorowaliśmy.
818:  Dzisiaj również poznaję sekrety dzienniczka.
822:  Otóż okazuje się, moi drodzy, że samouczki są w dzienniku zadań.
828:  I tego nie przypuszczałem.
831:  W związku z powyższym, będziemy starali się poznać mechaniki tej gry.
835:  Ja się nie dziwię, że jej nie umiałem, skoro nie było samouczka, bo nie wiedziałem, że samouczek jest w dzienniku zadań.
840:  Więc porobimy sobie te wszystkie rzeczy w takim razie, spokojnie.
845:  Zobaczymy, zobaczymy, jak to będzie wyglądało.
848:  Porobimy sobie skażone strefy, kotły, tereny... Wszystko będziemy robić, moi drodzy.
856:  To są tylko zadania na używanie rzeczy.
858:  Okej, ja myślałem, że to jest jakieś... Dobra, tak czy siak.
862:  Moi drodzy, obozy bandytów.
864:  Może obozy bandytów, a potem żyrafy.
869:  Potykać na pierwszym streamie.
870:  Tak, bo to był jedyny samouczek, który był zaembedowany w fabułę, nie?
875:  A cała reszta nie.
877:  Sam uczek trzeba mieć jako aktywne zadanie, inaczej się nie zalicza.
879:  No właśnie, bez sensu.
881:  Czy polecam jakieś gry typu Tower Defense?
883:  Jezu, tak!
884:  Jamcraft.
884:  Wiesz, ile ja tam mam godzin wbite?
887:  Będzie z 600?
889:  Spokojnie.
890:  Znakomita gra.
891:  A oprócz tego, jeżeli chcesz coś bardziej fabularnego, to polecam w równym stopniu Death Trap.
897:  To jest gra w uniwersum The Incredible Adventures of Van Helsing.
903:  Ekspa jeszcze dużo spada z samouczków.
905:  Dobra, to moi drodzy, obóz bandytów, a potem lecimy z samouczkami.
910:  Mój komentarz, wspieranie nie zostało odczytane.
912:  Pisze Jerz z Ellenwaldu.
913:  Przepraszam cię!
915:  Megowanen pisze Jerz z Ellenwaldu.
917:  Niech żyje przyjaźń jamniczo-jeżowa.
919:  Przyłączam się do tych radosnych powitań i dziękuję ci za wsparcie od jednego miesiąca.
925:  Bardzo cię przepraszam, że mi to umknęło.
927:  Tak się czasem zdarza.
930:  Pan Lodowego Ogrodu?
931:  Zawsze o to pytacie, a ja zawsze odpowiadam, że bardzo lubię.
934:  Ale jeszcze bardziej Wam polecam Teatr Węży, który skończyłem.
937:  I teraz wreszcie zacząłem Zaginiony Metal Sandersona.
940:  O Boże, jak ja chciałem to wreszcie przeczytać.
943:  Gdzie jest to, gdzie jest to, gdzie jest to, czego szukam?
946:  Dwa tysiące kroków!
948:  Van Helsing jest znany na czatach?
950:  No nie mówcie mi.
952:  Okej, zobaczcie, ile tutaj jest rzeczy niezrobionych.
956:  Tereny Ło... Boże, drogi, jaka ta mapa jest gigantyczna!
961:  Wiesz, to jest przerażające.
962:  Ta mapa nie powinna być tak gigantyczna.
964:  Dobrze, to przeniesiemy się może tutaj.
967:  Chyba, tak myślę.
968:  Nie wiem.
969:  A może tu będzie bardziej interesująco?
974:  Koszty pakietu szybkiej podróży?
976:  O nie!
978:  Witamy wieszcza pingwi... Dziękujemy za pingwiny!
981:  Mój mąż też nie przychodził samoczka w Horizon i po dwóch godzinach się wkurwił i stwierdził, że nie będzie grać, pisze Alejandra.
985:  No właśnie!
988:  Kotły i żyrafy, poza punktami doświadczenia, też dają punkt umiejętności.
991:  Czy widzicie, jak jest pięknie?
993:  Czy wy widzicie, jak tu jest pięknie?
995:  Czy nagram coś o Wednesday?
996:  Wiecie, nie wiem, dlaczego mi to umknęło w sumie, ale potem nagrała o Wednesday dwa materiały, aż fantastyczny czerw i stwierdziłem, kurczę, po co mam się dublować, bym powiedział w sumie to samo.
1007:  Planuję przejść całą grę, Agnieszko, tak jak najbardziej, przy czym nie wiem, jak to będzie, biorąc pod uwagę to, że nie spodziewałem się, że jest aż tak duża, a chciałbym bardzo, znaczy nie chciałbym bardzo, będę na 1000% ogrywał Hogwarts Legacy na premierę.
1021:  Można później zakupić nieskończone, szybkie podróże?
1023:  Chwała Bogom.
1025:  Dobrze, moi drodzy, ale na początek.
1027:  Na początek małe polowanko.
1029:  Dawno nie było polowanka, a Krzysztof musi ćwiczyć.
1037:  Popatrzcie.
1038:  Clueless Łoś nie wie, że łowczyni łowi ładnym łukiem łóżące łosie.
1047:  Dzielna łowczyni!
1049:  Good.
1053:  MD też nie zrobił samouczków i olał grę.
1055:  No widzicie?
1056:  Samouczki ważne.
1057:  Ale nie, tak na serio, to strasznie nieintuicyjne miejsce do wtrynienia samouczków.
1063:  Niech nas jego pingwinia tłustość błogosławi.
1068:  Cóż za stwierd... Wasza tłustość.
1072:  Czy będzie ogrywany Space Marine 2 na premierę?
1073:  To, Krzysztofie!
1074:  A kiedy jest premiera, tak swego drogu?
1076:  To mi umknęło.
1077:  Bardzo bym chciał.
1078:  Ag-5 Blue, witamy w gronie, trybutariuszy!
1086:  Dlatego warto korzystać z wierzchowców, moi drodzy.
1088:  Chcę dalej polować na te wspaniałe stworzenia.
1094:  Mam wrażenie, że jest to nieprawdopodobnie satysfakcjonujące.
1098:  Wcale nie jest tak dlatego, że uwielbiam... GIŃ!
1105:  ...że uwielbiam ogień.
1106:  Wcale nie.
1109:  Gdzie to jest?
1110:  Gdzie to jest?
1110:  Giń!
1111:  Giń!
1112:  Giń!
1112:  Giń!
1113:  Giń!
1114:  Giń!
1114:  Giń!
1115:  Giń!
1117:  Giń!
1118:  Zginął.
1123:  Maka111, dzięki za trybut, jaki kolejny serial będzie już ze mnie omawiany?
1127:  Bardzo możliwe, że The Last of Us, ale zobaczymy, jak się będą układały nasze rozmowy z Filipem, bo niezależnie, no, bez schematu robię, ale myślę, że The Last of Us zasługuje na to, żeby je omówić, mimo że to jest post-apo.
1138:  Krzysztof chce po prostu spłonąć ten piękny świat.
1140:  Oczywiście, płonący świat jest piękniejszy dowodem zakończenia Ogniska Elden Ringa.
1144:  Czy mam jakiś jeden ulubiony film fantasy?
1146:  Nie ma lepszego filmu fantasy niż Władca Pierścieni w reżyserii Petera Jacksona.
1150:  Nigdy nie został nakręcony film fantasy, który by traktował równie poważnie ten gatunek i świat.
1156:  Jedi Fallen Order 2 również będzie ogrywany, przy czym priorytetyzuje Hogwarts Legacy.
1162:  W Rexu jest parodia barona żaba Harko Kokonena, w całej swojej rozladowo-złości, jakie piękne.
1172:  Dobra.
1173:  Main quest'a też będziemy zrobić, Marcinie, prawdopodobnie pod koniec dzisiejszego streamu, tak myślę, ale muszę na początku troszeczkę podbić nasze statystyki, wiesz?
1184:  Okrutnik, no Szantyman, no przepraszam, ale naprawdę nie ma lepszego filmu niż Władca Pierścieni Fantasy.
1189:  Są dobre, ale filmy science fiction.
1193:  Natomiast fantasy nie jest konwencją, którą czuje Hollywood i fantasy nie jest też konwencją, która jest tania w realizacji.
1201:  O wiele taniej jest zrobić serial science fiction, bo można zrobić jakiś nowpunk albo wczesny cyberpunk, albo można robić takie niszowe filmy jak na przykład, nie wiem, Mother,
1212:  Nie, I am mother, przepraszam.
1213:  I am your mother albo I am mother.
1215:  I am mother.
1216:  Tudzież ten wspaniały film Denis Villeneuve'a Ex Machina.
1220:  No kurczę, no to się dzieje w jednej lokacji, tak?
1222:  Bierzecie betonowy bunkier, wsadzacie dobre CGI robota i macie zajebisty film science fiction pod warunkiem, że jest dobrze zrobiony scenariusz.
1229:  Nie zrobicie czegoś takiego przy fantasy.
1235:  Przyznaj się, zapomniałeś jak się gra i chcesz sobie przypomnieć.
1236:  Oczywiście, że zapomniałem jak się gra, ja zawsze zapomniam jak się gra.
1239:  Najgorzej jest, wiecie, jak prowadzę zajęcia, a to się teraz dzieje, i w ciągu tygodnia mam jakieś 3-4 gry więcej na Wakandzie.
1247:  Aloj, nikogo nie interesuje, co masz do powiedzenia.
1250:  Absolutnie nikogo.
1251:  Ani chatów, ani mnie.
1255:  Dzień dobry.
1256:  Ten człowiek ma czerwone włosy.
1260:  Już go lubimy.
1261:  Cieszę się, że przyjechałeś.
1263:  Cieszę się.
1266:  Dlaczego?
1267:  Nazywaj to wspólnym interesem.
1268:  I nazywaj mnie Nill.
1271:  Spójrz tam, te stare roki.
1273:  Klan banditów się na nich śpiewa.
1277:  Zatrzyma te roki i oni wracają.
1278:  Czy będziemy mieli dwa zadania na jednym... za jednym zamachem?
1283:  Dlaczego przyjechali tutaj?
1287:  Dynorahy są w problemie.
1287:  Rzucenia rozszerzają się jak dłoń.
1288:  Nie ma brzegów na górę, zabójcy chęcią sportu i śpiewają jak dłoń.
1298:  I on faktycznie wygląda jak Jared Leto.
1302:  Macie rację.
1310:  A ma fajne dziary za to.
1314:  Kim jesteś?
1317:  To jest tak, przeprowadzacie długą rozmowę, tak jakaś półtora godzina mniej więcej.
1321:  E, a w sumie jak masz na imię?
1323:  To mi się dzieje bardzo często.
1325:  To mi się dzieje bardzo często.
1328:  Najgorzej, jeżeli na przykład przyjaźnicie się z kimś i on wpadnie na koszmarny pomysł wyjścia za mąż albo, nie wiem, narzeczeństwa, wiecie, tego typu sprawy, że nie możecie już dłużej ignorować tego, że nie pamiętacie, jak się nazywa jego lub jej partner.
1343:  I wtedy trzeba się nauczyć imienia.
1345:  Problem polega na tym, że mnie się to jeszcze nigdy nie udało.
1350:  I wiele razy, wiele razy jestem w takich sytuacjach, że po prostu rozmawiam używając form bezosobowych, nie?
1357:  O, naprawdę?
1359:  O, słuchaj, słuchaj, nie wiem, rzucę, Kingo, to, no to powiedz swojemu lubemu, że powinniśmy gdzieś pójść, tak?
1369:  Ileż razy, ileż razy tak było?
1374:  Zastanawiam się Krzysztofie, czy masz jakiegoś polskiego pisarza omawianego w szkole, którego uważam za wartego przeczytania.
1379:  Omawiany w szkole, warty przeczytania Agnieszko, obozy rozłączne, jest to pewien problem.
1396:  Traveler, Genshin Impact.
1412:  Ile razy robiono mi awanturę za nadużycie formy bezzosobowej?
1415:  Naprawdę?
1419:  Z tego powodu, pisze Jan, opanowałem do perfekcji sztukę nie mówienia imienia drugiej osoby.
1422:  Mój rekord to ponad dwugodzinna rozmowa bez użycia imienia tej persony.
1425:  Ok, challenge accepted.
1428:  Challenge accepted.
1430:  Z romantyzmu pisze Agnieszka, ale z polskiej romantycznej, Jezus Maria.
1437:  Ciężkie zadania mi dajesz.
1439:  Z zachodniego romantyzmu to easy, czarny i mroczny romantyzm jest super, jest tam nawet sporo powieści, które można uznać za pra, pra, pra fantastyczne.
1451:  W moim podręczniku były fragmenty książek fantasy.
1453:  Jaki to podręcznik i jakie fragmenty żółwił?
1457:  W porządku.
1457:  Ktoś musi ich powstrzymać, żeby nie stracić innych.
1459:  I my nie.
1460:  Będziemy ich powstrzymać, żeby nie stracić innych.
1461:  Spokojnie.
1462:  Chodź i wejdź.
1462:  Cieszę się, że widzisz, czym jesteś w stanie.
1484:  Tak, to jest absurdalne.
1485:  Generalnie gra jest mega cicho i ja już nie mam możliwości jej podgłośnienia.
1495:  Mogę tylko siebie ściszyć troszeczkę, bo jednak ten mikrofon przez to, że jest dynamiczny, dobrze wyłapuje.
1509:  Nie ma miejsca.
1527:  Bo patrzcie, użyłem fokusa.
1529:  Aaa!
1531:  Tymczasem ja unikający przez większość czasu form, które wskazywały na moją tożsamość płciową, mógł jednocześnie mówić jej innymi i starać się nie nalazić siebie w tej średniopłaczanej.
1537:  No, to jest straszny problem, a jeszcze biorąc pod uwagę to, że żyjemy in a Polish society.
1545:  Wiecie, to jest ten problem.
1546:  My nie tylko możemy powiedzieć jak Joker, we live in society.
1550:  Możemy powiedzieć, we live in Polish society.
1552:  I teraz szybka anegdota dla tych z was, którzy nie śledzą mojego Twittera.
1555:  bo pisałem dzisiaj niesamowicie rozbawiony, że we wszystkich praktycznie serwisach, w których krążył wywiad z Ridleyem Scottem na temat kontynuacji Avatara II, były komentarze polskich widzów na zasadzie, co to, to w Gladiatorze II będzie gej pewnie!
1579:  Starożytny Rzym?
1581:  Flavius Philostratus anyone?
1588:  Myślę, że nie.
1620:  Chcesz to kupić?
1649:  I will survive this!
1652:  Co to znaczy?
1652:  Co to znaczy, że się nie wbił headshot?
1654:  Skandal.
1657:  Widzicie?
1657:  Blisko jest przeciwnik i ja nigdy go nie umiem trafić.
1660:  To jest przerażające.
1663:  Czy oni naprawdę nie wiedzą, jak mnie zaatakować?
1669:  Przyszli z pochodniami po nas.
1671:  Czuję się już jak w klasywanii.
1673:  Brak amunicji.
1679:  Czy grałem w grę Transistor?
1681:  Nie grałem Achmed Pepe.
1684:  Nie żyję od twórców Hadesa.
1686:  Może być pewien problem, bo Hades mi się podobał, ale tak na one-time event.
1691:  Znaczy nie jest to gra, do której bym wrócił.
1693:  Niestety.
1698:  Nie chciałem tego zrobić.
1699:  Najgorszy snajper ever.
1705:  I macie wrażenie, że tu jest sporo... A, bo ja wiem, co myśmy mieli zrobić.
1713:  Wiecie, co myśmy mieli zrobić?
1714:  Myśmy mieli wejść na tę wieżę i zrzucić z niej kamień.
1719:  Jakaś roda na overthinking przed powrotem na uczelnię?
1723:  Hmm.
1726:  A co masz na myśli przez overthinking, No One?
1728:  Czy chodzi ci o stres związany z zaliczeniami?
1733:  Może chcę zmienić w opcjach czułość myszy przy celowaniu, byłoby mi przyjemniej celować.
1737:  To jest wina mojej myszy niestety, której muszę zmienić DPI jak zawsze.
1741:  Notorycznie o tym zapominam przed simami.
1746:  Przestań mnie obelżywie obrażać.
1749:  Otrzymujesz strzałę w głowę za karę.
1754:  Co to ma znaczyć?
1755:  F, F, F. Dlaczego dałem dwa razy F?
1761:  Jak tutaj się... Jak tutaj się unika?
1763:  Tego... Tego już zapomniałem.
1764:  Dobrze, w ten sposób.
1766:  Wiecie co?
1766:  Ciężko jest wyjść na tamtą wieżę.
1769:  Przeraża pierwsza nadchodząca sesja.
1771:  Okej, moi drodzy.
1772:  Protip na sesję jest następujący.
1776:  Idziecie na wszystkie terminy zerowe, nie żartuję.
1778:  Dlaczego?
1780:  Dlatego, że termin zerowy, oczywiście jeżeli prowadzący coś takiego akceptuje, to jest szansa na takie one-on-one, bez stresującej atmosfery egzaminacyjnej i najczęściej, nie mówię, że zawsze, ale najczęściej jest tak, że prowadzący wtedy zakładają, że ktoś świetnie zna się na temacie.
1798:  No skoro przychodzi do mnie na zerówkę, przynajmniej ja tak zawsze myślałem, to znaczy, że się zna na temacie, prawda?
1806:  i w związku z powyższym zadają tak zwane trudne pytania, a tak zwane trudne pytania najczęściej nie są pytaniami wiedzowymi i wtedy jest duża szansa, że odpuści wam najgorsze rzeczy.
1818:  Natomiast to zależy bardzo od prowadzącego, więc też trzeba nie popełnić jakiejś samobójczej decyzji.
1825:  Okej, jak zawsze utrudniłem sobie życie.
1829:  Więc robicie research, tak?
1832:  Czy ktoś był u kogoś prowadzącego na zerówce?
1836:  Jeśli tak, to sprawdzamy, nie?
1838:  Może ono już się okazać, że się opłaca.
1842:  I wtedy, w najgorszej sytuacji, dostajecie ekstra jeden termin, który jest darmowy.
1847:  Nie musicie... Bo normalnie jest tak, że jest jakiś termin dla tych z was, którzy nie wiedzą, jak studia funkcjonują, jest termin pierwszego egzaminu, potem jest termin poprawkowy, na AGH jest jeszcze drugi termin poprawkowy.
1856:  Hahaha!
1858:  Natomiast, na większości uczelni nie ma na przykład, na ulicy nie było.
1861:  A zerówka daje wam jeden ekstra termin.
1863:  A brak danych pisze, że nigdy zerówek nie ma.
1865:  No, no to tak, to jest problem.
1866:  To to jest problem, rzeczywiście.
1869:  Ale mam wrażenie, że w przypadku kierunków humanistycznych na przykład jest to troszeczkę łatwiejsze, bo bardzo często... No egzaminy też polegają na czymś troszeczkę innym, nie?
1880:  To znaczy zwykle to jest jakaś opowieść, historia.
1883:  Zostałem ekwipunek i lud.
1885:  A, w tym... Już rozumiem.
1888:  Umiejętność zbieraczka złomu.
1890:  Czyli znowu nie mam jakiejś umiejętności.
1897:  A. Nie mogę mieć tej umiejętności.
1901:  Ech.
1902:  O bogowie.
1905:  No dobrze.
1907:  Rozbierz.
1909:  F. F. F. F. Przynajmniej symbole są podobne.
1917:  Widzicie co, rozbiorę wszystkie zielone.
1925:  Czekam na starsze testy.
1926:  Bardzo.
1927:  Torba jest za mała.
1929:  Skrawcimy sobie w takim razie większą torbę.
1932:  O ile się da to zrobić.
1933:  Torba na pułapki.
1935:  Torba na amunicję do procy.
1936:  Wiecie co?
1937:  Nie mogę, niestety.
1939:  Nie mam kości królika.
1942:  Dlaczego?
1944:  Dlaczego?
1947:  Dobrze, mam wrażenie...
1951:  Mam wrażenie, że to wszystko, co mogę zrobić.
1954:  Krzysztonow podarował pakiety wspierania, czyli Krzysztonow jest jamnikłajem, moi drodzy.
1958:  Żółw usunięto, oto Marta Szczepaniak, kapitan puru dobrodyjnołan.
1963:  Mój zapas surowców jest pełny, o Boże.
1967:  I Romek wali koni, jak również Marta Szczepaniak, otrzymali wsparcie.
1974:  Dobrze, tego mamy za dużo, tak?
1976:  Mówiliście mi, że soczewki można niszczyć.
1978:  Dobrze, niszczmy soczewki.
1981:  O Boże, jak ja nie lubię takich rzeczy.
1983:  Kość indyka.
1984:  Szkło pustyni.
1987:  Cenione przez kupców.
1989:  Rozbierz wiele.
1993:  F. Czy to jest wszystko?
1997:  Jest dużo jeszcze tych soczewek, to rozbierzmy wiele soczewek.
2006:  F. Tyle hajsu przepada?
2007:  No przepada!
2010:  Zup zadanie na torbę.
2011:  Jest takie?
2013:  Mam nadzieję.
2015:  Dobrze.
2016:  Bierzemy.
2019:  Takie same wyrazy oburzenia były na czatach w Wiedźminie, jak ja na skeligę po prostu wrzucałem wszystko do wody, bo chodziło mi o to, żeby zebrać wszystkie pytajniczki.
2029:  Mój współlokatorzy z Akademika przez ponad trzy miesiące tylko jeden raz użyli mojego imienia, pisze Jan Kowalczyk.
2033:  Ło, to jest niezłe.
2035:  No tak, jeżeli ma się do czynienia z psychopatą, to tak się to kończy.
2044:  Druga rzecz jest jeszcze problematyczna taka, że są inni psychopaci, którzy wyciągają średnią następnie.
2049:  Boże, jak ja takich ludzi nie szanuję.
2051:  Czy możecie mi powiedzieć, gdzie się wchodzi na tę wieżę?
2054:  Albowiem Krzysztof oczywiście i naturalnie tego nie widzi.
2057:  Chyba, że od środka, to jest możliwe.
2062:  Ale nie, od środka też nie.
2065:  Przy wieśku to bolało mi się, Alejandra.
2067:  No tak.
2068:  No tak.
2070:  Dobrze, bardzo uważnie spoglądam wszędzie.
2072:  Nigdzie nie widzę.
2079:  Pa pa.
2084:  Dobrze.
2085:  Chyba się udało.
2088:  Tam się nie da wejść?
2092:  Wiecie tam, gdzie tworzysz torbę, masz przycisk na utworzenie zadania?
2095:  Serio?
2099:  O Jezu, faktycznie.
2101:  Ale super.
2102:  Ale to wtedy nam zamieni misję, ale dobrze wiedzieć.
2107:  Cześć, arabeska, witamy serdecznie.
2109:  O, wczoraj tu byłam.
2110:  O, widzicie, są jakieś schodki.
2112:  Chodźmy po schodkach.
2116:  Wtedy tak to jest, jak ja raz zapamiętam coś w Dialoga.
2118:  Musimy być więźniami bandytów.
2119:  Zabrała wysokie tereny.
2125:  Okej.
2127:  Aha.
2127:  Wiecie co, mam wrażenie, że tutaj nie ma tego kamolca i nie da się go zrzucić.
2130:  Bardzo mnie to smuci.
2132:  Jezus Maria, co się dzieje?
2133:  Co się dzieje?
2134:  F... A!
2136:  Atak!
2137:  Co się... Co się stało?
2142:  Jakim cudem nas ktoś zaatakował tutaj?
