🔴 Kika! | HOLLOW KNIGHT Livestream #5
🔗 https://www.youtube.com/watch?v=fBBSlGPGQxA

32:  Dziękuje za oglądanie.
601:  Proszę bardzo, jest Hollow Night.
606:  straszne rzeczy, moi drodzy.
608:  Czy wy przypadkiem nie słyszeliście równocześnie dwóch rodzajów muzyki?
614:  Jest taka obawa we mnie.
617:  Tak mi się przynajmniej wydaje.
618:  Czy mógłbyś podać specyfikację kostura jamniczego, jakimś chciało posiadać?
625:  Tak jak Saruman.
627:  Saruman miał najlepszy kostur.
628:  Tak, słyszeliśmy dwie muzyki.
630:  O Boże, przepraszam was.
635:  Zmiksowane było wszystko.
636:  Tak sobie to kończy, moi drodzy.
638:  Mam nadzieję, że się dobrze macie dzisiaj, środowo.
641:  Nawet nie zauważyłem, że były dwie muzyki.
642:  Moi drodzy, to jest potęga ambientu.
644:  Właśnie tak działa ambient, że nawet nie zauważamy, że w tle pogrywa.
648:  Czy budyń powinien być gęstszy od miodu?
650:  Ważne pytania od Dawida Wojackiego.
652:  Po prostu sobie zrobię, mi nie spływa z łyżki.
653:  W ogóle w ramach, moi drodzy, to wy odpowiadacie na takie pytania, ja się nie znam.
657:  W ramach ogłoszeń drobnych jutro jest wyjątkowy stream.
660:  Nie ma zwykle streamów w czwartki, ale będzie, ponieważ wychodzi Horizon Forbidden West.
666:  na pecety.
667:  Więc gramy od tej godziny, od której będzie dostępne, więc spodziewajcie się, że może być o bardzo nieortodoksyjnej godzinie stream.
674:  Nie wykluczam tego.
675:  A w piątek będzie mocno standardowo, tzn.
678:  po moich zajęciach o 20.00 gramy sobie w Dragon's Dogma 2.
682:  I tak samo w weekend będzie, więc dużo streamów nadchodzi, moi drodzy, dużo, dużo.
687:  Co sądzisz o trailerze Star Wars Acolyte?
689:  Przez chwilę obejrzałem, nie wiem, co o tym myśleć.
691:  Ja ignoruję trailery Gwiezdno-Wojenne, jak na razie.
695:  W ogóle jestem tak bardzo na bakier teraz z tą franchise, że się w głowie nie mieści.
699:  Ezio przesyła dużo miłości i pozytywnej energii dla nas wszystkich.
703:  Skupmy się, moi drodzy, na tym, żeby było tak właśnie wholesome, jak mawia się po polsku, i spokojnie, i radośnie, bo zaraz nie będzie, zaraz się zaczną klątwy, moi drodzy, na eksplorację.
713:  Czy skończony Code Geass?
715:  Tak, skończyłem Code Geass i jestem absolutnie zachwycony.
718:  Świetny, świetny animiec.
719:  Teraz włączyłem sobie solo leveling bodajże.
725:  W tle jeszcze kończy jeden projekt.
726:  Może wyjdzie, pisze Kazia Kazanowska.
727:  Tu są kciuki i tu są trzymane.
730:  O bogowie.
732:  Lajmoz pisze, że akurat musi uczyć ludzi angielskiego to stream znak świetnej gry, wszystkiego jamniczego dla Lajmoza.
738:  Dzisiaj, moi drodzy, jest senny dzień, więc senny jamnik.
741:  Ja nawet miałem ustawiony budzik na godzinę 17.16, żeby zdążyć zjeść coś na kształt obiadu przed streamem, ponieważ musiałem zasnąć, to znaczy zdrzemnąć się, tuż po tym, jak dostałem diagnozy chirurgiczne u dentysty.
755:  Kolejna ósemka, pa pa i bardzo dobrze.
758:  Polecam w ramach odtrutki wrócić do Expanded Universe, a to jest dobry pomysł, Horgu, tak właściwie.
763:  Dobrze byłoby sobie poczytać książeczki z Expanded Universe, Star Warsowego, tak jest.
768:  Dzisiaj fioletowo, bo fioletowy Hollow Knight.
771:  Obejrzyj sobie Toru, no indeks poleca istota żyjąca, polecam pod względem światotwórczym.
775:  A wiecie gdzie ja jestem?
778:  Ja jestem blisko ciówci.
782:  Fantastyczna sprawa.
783:  W piątek się kończy Freeden.
784:  Ej, to oznacza, że będę mógł wreszcie pomyśleć o jakiejś recenzji, ale wcześniej jest problem trzech ciał, więc właśnie wszystko zależy od tego, czy się w czwartek wyrobię z tym.
792:  Dobra, włączmy sobie całą mapę, bo ja nic nie wiem.
795:  Patrzcie, a mamy niewyeksplorowaną tę część w ogóle, to jest jakiś dramat absolutny.
799:  Czyli my musimy teraz do tych Royal Waterways pójść, ewentualnie spaść w tym miejscu, gdzie jest Blue Lake.
807:  Nie wiem, gdzie my tam spadniemy, ale niepokoję się.
810:  Idziemy do tego miejsca, nad Royal Waterways, bo chyba tam jest... a nie, to jest kupczyk.
815:  O Boże drogi, czyli tutaj jest stag.
819:  To jest stag?
820:  Nie, to nie jest stag.
821:  Stag jest fioletowy.
823:  Jezus Maria, tu nigdzie nie ma staga w Royal Waterways!
830:  Możesz iść też do DeepNest.
831:  Tak, oczywiście, mogę również ulec zgubie.
836:  Krzysztof, czy polecasz streamować dla zabawy?
838:  Pyta Jakub Wieczorek.
839:  Ale pewnie, absolutnie, ja to bardzo polubiłem.
841:  Grabo, dzięki za wsparcie od 13 miesięcy.
843:  Inżynier technologii kosmicznych pozdrawia czaty.
845:  Jak to brzmi?
847:  Czy planujesz karierę w NASA?
849:  Według tego, co Sony wrzuciło na Steam, w Polsce Horizona ma odblokować o 16.00, pisze Czerwony List.
853:  No to idealnie.
855:  Ale to dziwne, bo miało być o pierwszej.
859:  który przystanek autobusowy w kanałach, ale jakikolwiek przystanek, przecież jakiś koszmar to jest.
865:  Czyli to oznacza, że ja teraz muszę bardzo daleko spaść.
870:  Recenzje animki są bardzo często uchadz.
872:  Była, przypominam, obok Cyberpunka.
874:  Recenzowałem Legend of Vox Machina na pewno.
878:  Co jeszcze recenzowałem?
879:  Castlevania recenzowałem.
881:  Same dobre rzeczy recenzowałem.
882:  Tutaj się chyba spada, prawda?
884:  Tak mi się przynajmniej wydaje.
885:  Do Deeper's Nest na koniec tam jest ciemno, straszno i do domu daleko.
888:  Właśnie, bardzo słuszna uwaga.
891:  Czy ja pamiętam, jak się gra w tę grę?
894:  Byczek bzyczek.
895:  Dobrze, nie jest tak źle, moi drodzy.
897:  Nie zginąłem przy pierwszej możliwej okazji.
900:  Nie jest tak źle.
902:  Skoro w Horizonie nie ma magii, a grasz, to zagrasz w God of War?
905:  Nie, ponieważ w Horizonie są jamniki.
909:  Tylko jamnik w God of War by sprawił, żebym zagrał w God of War.
913:  Nie no, pewnie się kiedyś złamie, no bo co zrobić, a ja tak strasznie nie lubię wikingów, no.
917:  To jest druga najnudniejsza rzecz pod słońcem po cierpieniach młodego Wertera, wikingowie.
922:  Oni są... wszystko jest zawsze takie same z wikingami.
927:  Nie lubię.
928:  Nie umiem się do tego kompletnie przekonać.
934:  Ehehe, prymityw.
938:  Udało się.
940:  Udało się, moi drodzy.
942:  Deepness dla ludzi z arachnofobią to ciężko, ostrzega Haze Studio.
946:  D-dziękuję.
948:  Pocieszacie mnie.
949:  Teraz tak, która ławeczka będzie bliżej?
951:  Chyba ta, która jest po prawej stronie, tak mi się przynajmniej wydaje.
955:  Teraz chcę God of War'a, krzyczy Gary.
959:  A czy jest tam jamnik?
960:  Kratos to Spartani na uchodźstwie, a Skandynawia nie wiking.
963:  No dobra, dobra, dobra, ale tam są motywy nordyckie.
967:  Witamy Dominikę Jamnikotwórczynię Klimczak!
970:  Bardzo śmiesznie brzmi ta inżynieria kosmiczna.
972:  Od momentu, jak dostałem ten dyplom, to żartuję z tego tytułu, pisze Grabol.
975:  Ale wiesz, ale założę się, założę się, że jak powoływano na uczelni ten kierunek, to wszyscy byli z ciebie niesamowicie dumni.
984:  Będziemy kształcić inżynierów kosmicznych!
986:  Wprawdzie nie mamy w Polsce inżynierii kosmicznej, ale będziemy ich kształcić.
989:  To już jest dobry początek.
991:  Zawsze.
992:  Niestety będziesz musiał iść do DeepNest.
994:  Watch me!
996:  Witness me!
998:  Swoją drogą, czy tylko ja nie jestem kompletnie nachajpowany na furiozę?
1003:  Ja w ogóle mam wrażenie, że się ostatnio kompletnie wyleczyłem z hajpowania.
1006:  To jest chyba konsekwen... To jest chyba konsekwencja tego, że zostałem tak wiele razy rozczarowany różnymi rzeczami.
1013:  To jest tak smutne.
1015:  Bo proces hajpowania jest miły.
1018:  Czy czytałem mitologię nordycką Nilagajmana?
1020:  No właśnie to jest jedyna rzecz, że nie czytałem Nilagajmana, ponieważ to jest mitologia nordycka.
1025:  Czemu to się nie spuszcza?
1027:  That's what he said.
1030:  Dobrze.
1032:  Furiaza to nie była polska komedia.
1033:  To chodzi o to, co jest w Logan w Mad Max Fury Road w tym świecie w każdym razie.
1039:  Wiecie, świat Mad Maxa to jest dieselpunk.
1042:  Nie ma ropy naftowej, w związku z tym wszyscy wsiadamy na grzejące aż po horyzont ropożerne
1049:  pojazdy i wyczerpujemy ostatnie zapasy ropy naftowej.
1052:  Ma to sens.
1053:  Wyleczenie z hype'owania to raczej starość, ostrzega Szymon Rodziewicz.
1056:  Dziękuję Ci za wsparcie od 24 miesięcy oraz za wsparcie psychiczne w tym momencie.
1061:  Ja uważam, że ja po prostu słucham Luka Stevensa, który mówi hype makes you stupid.
1067:  Bo tyle razy się już rozczarowaliśmy różnymi rzeczami, moi drodzy, że człowiek po prostu chce oszczędzić sobie
1074:  tego, co mają optymiści.
1076:  Optymiści mianowicie zawsze rozczarowują się negatywnie, a pesymiści rozczarowują się pozytywnie, więc ja uważam, że Star Wars Acolyte to będzie śmierdząca kupa i teraz proszę bardzo, niech przekonają mnie, że będzie inaczej.
1092:  Uwielbiam magię.
1094:  No dobra, DLC do Eldena to jest czysty hype, ale to jest też dlatego, Ezio, że my posmakowaliśmy już tego, jak wygląda Elden Ring i umiemy to docenić, w związku z powyższym liczymy na to, że będzie to coś dobrego, ponieważ FromSoft zdał egzamin i to zdał egzamin w gatunku, którym podobno nigdy nie miał mieć nic wspólnego i co więcej, jeszcze dodał mapę i nawet gracze gier FromSoftu się nie obrazili, nie do wiary.
1120:  Czy żeby iść do Deepness musisz iść głębiej?
1122:  Tak jest, trzeba wejść głębiej, moi drodzy.
1124:  Martyna Kaczmarek, dziękuję za wsparcie od 15 miesięcy.
1126:  Kika!
1127:  Właśnie, moi drodzy, musimy dzisiaj wykonać eksperyment naukowy, to znaczy dostałem informację, że to nie jest papanada, tylko bafanada.
1134:  Więc będziemy musieli pójść do tego miejsca, w którym się pojawia papanada, która jest bafanadą i zrobimy sondę.
1140:  Co słyszycie?
1141:  Ale w razie, gdyby się okazało, że to jest bafanada, to wzbogacimy się o nowe słowo.
1147:  Wszystko pięknie.
1148:  To prawda, to prawda.
1151:  To jest troszeczkę tak jak z CD-Pem.
1153:  Nigdy byśmy, moi drodzy, tak strasznie nie byli rozsierzeni na początku na Cyberpunka, gdyby nie Wiedźmin 3 i gdyby nie świetne dodatki do niego.
1162:  Też uważam, że Papa nada na 100%, absolutnie.
1167:  Dobrze.
1167:  Daniel Siargi pisze, że Hollow Knight średnio zafascynowała.
1169:  Piano playlista z gry trafiła do ulubionych, jest regularnie używana.
1173:  Mnie zainteresowało średnio gatunek, jakim jest platformówka, ale Hollow Knight ma tak niesamowity klimat, że wow.
1180:  Nie ma sensu tego teraz sprzedawać, nie wiem dlaczego tutaj jestem, ale posłuchamy jaki to jest dźwięk.
1186:  Vele mi artret.
1187:  Vele mi artret.
1190:  Vele mi artret.
1190:  Vele mi artret.
1192:  To nie brzmi dobrze, to nie jest tak fajne jak Papanada.
1197:  To jest mapanada, bo można kupować mapy.
1200:  Papanada is immortalized, pisze Krzyziek.
1202:  Kasia, okej, dzięki za wsparcie od pół roku już.
1204:  Papanada.
1205:  Podwodną brodę, dzięki za wsparcie od trzech miesięcy.
1207:  Bapanada.
1210:  To są sugerowane odpowiedzi, proszę uchylić to pytanie.
1214:  Velmi altret.
1215:  Velmi altret.
1217:  Jak ja to mam zapamiętać?
1218:  To są aż dwa słowa.
1220:  Ja zapamiętuję pojedyncze słowa, kika, melemu, papanada, ale nie zapamiętuję słów, które są już, znaczy w zasadzie fraz, które są złożone z dwóch słów.
1230:  Dobrze, Royal Waterways są na dole i ja nawet pamiętałem, że tutaj czeka mnie Zagłada i Zguba.
1236:  Ghost of Tsushima będzie na Steamie, premiera 16 maja, Angelico w moje własne urodziny, więc ja w tym momencie od razu już mogę zapowiedzieć, że będzie radosny strumyk.
1246:  Skończyłem dzisiaj zakon Drzewa Pomarańczy i nawet mi się podobało, chociaż rzeczywiście długo się rozkręca, pisze Dav Bigos.
1250:  No długo, długo, tak połówka pierwszego tomu mniej więcej.
1253:  Ja muszę wrócić do zakonu Drzewa Pomarańczy, bo przyznam się, że pierwszy tom mnie zmęczył.
1258:  Dobra, moi drodzy, byliśmy w lewo, nie byliśmy w prawo.
1263:  Ki Kanada, pisze Wesper, dziennik jest otwarty od 10 miesięcy.
1266:  O Jezus, to są te bieda... I tu jesteśmy, moi drodzy, w raju Zbigniewa Stonogi, ja to pamiętam.
1275:  To jest bardzo niebezpieczne miejsce.
1277:  Czy robiłem nowy event alchemiczny w Genshinie?
1279:  Event alchemiczny w Genshinie jest najlepszym eventem w tej grze od dawna.
1283:  Jest re-we-la-cyjny.
1285:  Jeśli zastanawiacie się, czy grać w Genshina, to to jest bardzo dobry moment, żeby to zrobić, bo jest naprawdę przepięknie i przefantastycznie i jeszcze można nafarmić do cholery tych nieszczęsnych primogemów, za które się kupuje postaci, więc warto.
1299:  Czy planuję na coś na Dzień Jamnika?
1301:  To jest 26 marca.
1304:  Jaki to jest dzień tygodnia 26 marca, moi drodzy?
1306:  Nie wiem.
1309:  To jest wtorek, czyli musimy zrobić wtedy stream.
1311:  Trzeba zrobić Jamnikołajki.
1314:  W kanałach jest dwóch bossów opcjonalnie fabularnych.
1316:  Robimy dwóch!
1319:  Diluc zrobił napój dla dżin.
1320:  To mnie ominęło, znaczy ja przeklikiwałem się przez dialogi, mnie jarało głównie robienie, moi drodzy, tych wspaniałych, a cudownych dekoktów alchemicznych w Hermix 9.
1334:  Dziękuję ci serdecznie za trybut.
1337:  Krzysztof, czy zagrasz w Hollow Knight Silksong jak wyjdzie?
1339:  Nie, no na pewno, Ravy, ja już jestem kupiony przez to uniwersum.
1344:  Iguana, pisze Anna, ale iguana to nie jest papanada.
1347:  Od ławeczki w prawo jest zabawny boss.
1350:  Zabawny boss.
1351:  Jak wy mówicie, że coś jest zabawne, to znaczy, że jest przerażające i dojmujące.
1358:  Ale właśnie, to ja w prawo właśnie nie szedłem, wszystko jest idealnie.
1361:  To tak długo jeszcze będzie?
1373:  Bardzo dziwne postaci, zapomniałem już o nich.
1380:  Ojej, ale, ale, ale, ale, ale, ale, ale... Aaa!
1383:  Zbigniew Stonoga!
1403:  Tylko nie to.
1406:  Mówicie, że tutaj jest ten boss?
1407:  No pewnie tak.
1409:  Ewidentnie gaźnik do wymiany.
1411:  Zaśmiał się Krzysztof, który nic nie rozumie z żartów motoryzacyjnych.
1414:  Za primodżemy nie kupujesz postaci, kupujesz szansę ich odblokowania, precyzuje wyznawca roga tego szczura.
1419:  No dobra, dobra, ale przy tym banerze trzecim, który został wprowadzony, technicznie już możemy sobie wybrać postać.
1425:  Krzysztof, brzmisz jak proboszcz z mojej dawnej prawi.
1427:  Mówił w ten sposób.
1429:  Współczuję serdecznie.
1430:  Co to jest na dole?
1432:  Jest w ogóle niebezpiecznie.
1433:  Dlaczego kazaliście mi tutaj pójść?
1434:  To jest niebezpiecznie.
1436:  Ja nie powinienem być w niebezpiecznych miejscach.
1437:  Mam słabe serce.
1440:  Widzicie?
1441:  Widzicie?
1442:  Melemukika Papanada Avada Kedavra!
1445:  Czy ja byłem jedyną osobą, która była niemożebnie rozindyczona, kiedy w drugiej części, w Komnacie Tajemnic, mianowicie, Lucius Malfoy, out of the blue, czyli wprost z niebieskiego, niesprowokowany, tuż po scenie z Albusem Dumbledorem, końcóweczka narracji całej, nagle się zasadza na Zgredka i Harrego i mówi Avada!
1472:  Jakie to było głupie!
1474:  Denerwuje mnie to do dzisiaj.
1478:  Czy zagram kiedyś jakiś horror?
1479:  Mało prawdopodobne MFA, ale nigdy nie wiadomo.
1482:  Kiedyś mówiłem, że nigdy nie zagram w Dark Souls.
1485:  Będzie bosik, jest dobra trasa, nie denerwujcie mnie nawet.
1492:  Dlaczego on mówi teraz, jak każdy sklepikarz w Turcji?
1497:  bo chcieli pokazać, że Lucius Malfoy jest zły, no okropne, nie pamiętam tego, autentycznie jest tak, Maćku, ale to nie jest jedyny problem.
1504:  Dzisiaj wpadł mi w oczy TikTok, na którym jakiś gość mówił, że na samym początku Prisoner of Azkaban, czyli Wieźnia Azkabanu, który jest, to jest kluczowe, który jest cały praktycznie o tym, że nie można używać zaklęć, ponieważ Mafalda Hopkirk, prawda?
1520:  Pierwsza scena tego filmu to jest Harry mówiący Lumos Maxima!
1525:  Zamiast używać latarki.
1526:  No po prostu... Ale David... Właśnie to nie jest David Yates jeszcze.
1530:  To Alfonso Cuaron już nie rozumiał lore'u.
1533:  Mówicie o jakimś Dunk Defenderze.
1535:  Był Dunk Eater, moi drodzy.
1537:  I to było w Elden Ring'u.
1538:  Kupożerca był.
1539:  Jaka doma, doma?
1541:  Gdzie doma, doma?
1545:  Wiecie rzeczy znowu.
1547:  Mafunda Baka?
1550:  Podoba mi się to, co widzę na czacie.
1552:  David Yates był beznadziejny.
1553:  Dziękuję, że ktoś to mówi.
1555:  Doma, doma.
1557:  A bu-ble-ble-ble-ble, pisze Victor Winter.
1559:  Muszę powiedzieć, że nasze konwersacje wciąż, nawet w ten sposób, nawet te wokalizowane wciąż, to są aeropagi, moi drodzy, intelektualnej rozmowy w zestawieniu z tym, co jest w komentarzach na profilu Niedla Chaosu w szkole.
1575:  Absolutnie.
1577:  Kusi mnie, żeby zamieszczać tam właśnie tego rodzaju wpisy od teraz.
1583:  Czy ja tutaj umiem wskoczyć?
1587:  Umiem.
1590:  KIKO HOM!
1590:  AHAHAHAHAHA!
1592:  Czy tu będzie ławeczka?
1595:  IKO IKO!
1596:  JALALALA!
1598:  ALA AKBAR!
1599:  Co?
1601:  Moi drodzy, ale tutaj jest bardzo duży problem, to znaczy nie ma mapy, nie ma mapy... MERA MERA!
1608:  HO HO HO HO HO HO!
1610:  Dlaczego ja nagle jestem w każdej grze FromSoftu?
1614:  Iko mas, iko iko, iko aha, numa numa jej.
1619:  Numa numa jej, numa numa numa jej, bleśta bleśta.
1624:  Nie mówcie mi nawet, że nie słyszeliście tego.
1628:  Ta piosenka nie ma słów.
1634:  Jezus Maria, Jezus Maria.
1638:  Aaaah!
1647:  To jest żuk-gnojarz!
1651:  Żuku-gnojarzu i kanalarzu!
1662:  Jesus Christ, co się dzieje w tej grze?!
1668:  Nie umiem wycelować.
1680:  Jesus Christ.
1683:  Przestań rzucać kupami!
1686:  Sanepid!
1687:  Niech ktoś wezwie Sanepid natychmiast.
1690:  Popatrz, jaki mam krągły stolec!
1698:  Doma, doma!
1703:  Źle wycelowałem.
1706:  To niedobrze mówić o złym celowaniu w momencie, w którym się walczy z człowiekiem, który obrzuca nas stolcami.
1717:  No nie!
1722:  Gówniana walka.
1726:  Wygląda jak przero... Kupa zabawy!
1728:  To wygląda jak przerośnięty klesz.
1729:  Przynajmniej mamy... O!
1729:  O!
1730:  O!
1734:  Przynajmniej mamy, moi drodzy, mapę.
1736:  Bardzo mnie to cieszy.
1745:  O!
1745:  Jak jest pod ziemią, to zup, atak magią w dół.
1751:  Ja już zapomniałem o tym, że go mam.
1753:  Zbigniew Stonoga.
1758:  Dobrze.
1760:  Dobrze.
1761:  Czy to stworzenie siedzi na stolcu?
1762:  To stworzenie siedzi na stolcu i obrzuca stolcami.
1769:  To mi przypomina rozmowy wszystkich madek, które mówią o tym i...
1775:  jakiego kształtu stolce wydalają ich pociechy.
1777:  Niestety byłem świadkiem kiedyś takiej rozmowy w pociągu, oczywiście wtedy, kiedy pałaszowałem jakiegoś Prince Polo czy coś w tym stylu, to, co się robi w pociągach.
1786:  No jakaś babka mówiła, że... A moja Paulinka to robi okrągłą!
1792:  No więc przypomniało mi się to niestety, jak zobaczyłem okrągły stolec w tej walce.
1796:  Tak, to było w pociągu.
1798:  Widać, że ten żuk jest z stolicy, bo to jest żuk-gnojarz, tak?
1801:  Rozumiem.
1806:  Ja uważam, że to powinno podpadać, moi drodzy, pod sharenting, to znaczy pewnych rzeczy nie powinno się jednak mówić publicznie.
1814:  Jak rzuca kupami, lepiej być bliżej niego niż dalej.
1817:  Wiecie, że to jest nieintuicyjne.
1820:  Jak ktoś rzuca kupami, to chce być dalej od niego.
1835:  Co to jest za boss?
1836:  Mhm, lepiej być blisko.
1841:  Jasne, jasne.
1845:  Nie pamiętam, jak się to robiło.
1846:  Już wiem!
1848:  Ooo!
1853:  Jesus Christ!
1856:  Od razu, jak mi coś wyjdzie, to musi mi przestać wychodzić!
1863:  Aaa!
1872:  Come on, to się odbija!
1874:  Ten stolec się powinien rozplasnąć na ścianie, a nie odbijać się, moi drodzy.
1879:  Nie zmyślam.
1884:  Jezus Maria.
1888:  On się porusza erratycznie.
1897:  Jeszcze nigdy wydalanie nie było tak przyjemne.
1903:  On powinien podpisać z NFZ-em umowę i zostać proktologiem.
1914:  No i co?
1915:  Zrobiłem to i nie udało się!
1917:  Co za skandal!
1925:  Ha!
1926:  Udało się!
1928:  Wyleczyć przynajmniej.
1930:  Doma, doma!
1954:  Ten boss ma vibe takiego rubasznego wfisty, który zaczyna z dziećmi na zajęciach grać w zbijaka.
1958:  Myślałem, że ma vibe rubasznego wfisty, który zaczyna obrzucać dzieci stolcami Paulinki, które, jak pamiętamy, są okrągłe.
1965:  Przepraszam wszystkie Pauliny na czatach.
1971:  Myślicie, że to jest okupacja?
1973:  Zdecydowanie tak.
1975:  To była okupacja.
1978:  Trybuty w trakcie walki były wielkie.
1979:  Nieba, moi drodzy, już nadrabiam.
1983:  Widzę, że poezja fekalna na tepeciu, oj tak!
1986:  Idziemy teraz walczyć z następnym rzygającym przeciwnikiem.
2011:  Dramat.
2012:  Gdy walniesz magią w dół, jak on nurkuje, to dostanie stan anakiki.
2015:  Właściwie tak się raz udało, a za drugim razem się nie udało i nie wiem dlaczego.
2019:  Przy ścianach się też można spokojnie leczyć.
2021:  Zapamiętam, to skłamał Krzysztof.
2025:  On nie rzyga.
2027:  Gwarantuję wam, że jeżeli ktoś tyle wydala, to równocześnie rzyga.
2031:  Nie ma takiej możliwości, żeby było wszystko w porządku z jego żołądkiem i systemem trawiennym.
2038:  Nie ma takiej możliwości.
2040:  Musi być coś nie tak.
2046:  Dobrze.
2047:  Paulina pisze, że nie czuje się obrażona, aczkolwiek koleżanki mojej matki zrobiły jej awanturę, że mnie tak dziwnie nazwa.
2052:  Naprawdę?
2053:  Dlaczego dziwnie?
2054:  Paulina, to nie jest dziwne imię.
2056:  Dziwne imię to byłoby na przykład Hermenegilda.
2059:  Ale byłoby super.
2060:  Albo Padme, o Jezu, albo Amidala.
2063:  To byłoby dopiero dziwne.
2066:  Za drugim razem ci się nie udało, bo już się wyłaniał spod ziemi.
2068:  Aaa, to dlatego, to dlatego.
2070:  Jesteś w kanałach.
2071:  To tak, tak Zusia, tak, absolutnie.
2073:  Kiedy jest w formie kuli, możesz go odbijać.
2077:  Parowaniem czy mogę go odbijać uderzeniem?
2081:  To jest dopiero ciekawe.
2085:  Śmigłomiła?
2086:  To jest dopiero super imię.
2088:  A mi dało to nazwisko, ale może mnie uczynić imieniem.
2091:  Helga!
2094:  Może Tadeusz Norek ci pomoże?
2096:  Jestem pe... Jestem pewien, że go tutaj gdzieś możemy znaleźć, moi drodzy.
2101:  Eee, he, he, magia!
2109:  Dobra, udało się, udało się!
2111:  Udaa, bla, bla, bla!
2113:  Ho, ho, ho, ho, ho, ho, ho!
2120:  Jesus Christ.
2131:  Jak go niby mamy odbijać?!
2137:  Ja się nie nauczę, że skąd tak damage w tej grze, prawda?
2140:  Już nigdy.
2140:  Doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma doma dom
2163:  O, dobrze, dobrze, dobrze.
2165:  Niedobrze.
2167:  Leczonko, leczonko.
2169:  Doma, doma.
2171:  Ja naprawdę mam problem z wymierzaniem odległości.
2174:  Doma, doma, doma, doma, doma.
2181:  No autentycznie.
2182:  Doma, doma.
2193:  No, ja, ja... Od czego zacząć Zaydla?
2199:  Paradyzja lub Cylinder Van Troffe'a.
2203:  Albo Limes Inferior w zasadzie.
2207:  O Boże, on teraz to robi szybciej!
2216:  Nieee!
2218:  Przecież uderzyłem!
2219:  O nie... Dobrze, trzeba usiąść do tej walki.
2224:  Atakiem w górę go można odbijać?
2226:  Aha, rozumiem.
2228:  To totalnie nie działa u mnie.
2233:  Czy to jest jakaś kryptoreklama Laxigenu?
2234:  Nie wiem, czym jest Laxigen.
2236:  Zbijak w szkole koloryzowany.
2243:  Czyli to była, moi drodzy, krótko mówiąc, druga faza.
2248:  To trzeba usiąść na spokojnie, tak jest.
2249:  Mnie świecisz czy sobie?
2259:  Muszę powiedzieć, że te dźwięki mnie prześladują.
2264:  Odbijanie go atakiem w górę łatwo spieprzyć, pisze Tobiasz, który już dobrze wie, jak to się może skończyć, jak ja się za to zabiorę.
2275:  Dobrze, bardzo dobrze.
2277:  Aż by się chciało rzec, nie zestrajcie się z tą walką, prawda?
2281:  Czy to jest platformowy Soulslike?
2283:  Ja uważam, że po prostu platformówka, Łukaszu.
2287:  Pamiętaj, że walczysz z awatarem Chepriego, Kepri, egipskiego prabóstwa, stwórcy bogów, boga Skabrabeusza, pana wschodu, słońca i zmartwychwstania.
2293:  Okaż należny szacunek, ostrzega Tarael.
2295:  Czy Kepri był bogiem gówna w starożytnym Egipcie?
2299:  Zabiłeś go równo wtedy, jak zginąłeś, czy ktoś jest zdziwiony?
2304:  Ja nie.
