🔴 Hakana segamos! | HOLLOW KNIGHT Livestream #8
🔗 https://www.youtube.com/watch?v=SE_lGCzj65M

19:  © PTA & TVP
512:  Tutaj Loremistrz Karner, witamy Karnerze, fanka Wiedźmina, pisze, polecam dziś ulepszyć Dream Nail.
517:  Musimy przede wszystkim mieć 1800, żeby wejść do Białego Pałaca, Pałac Paca, Pałac Paca.
523:  Brakuje jeszcze Pale Ore od Taty Robaczków, gdy uratujesz 31 robaczków i zazdrowienie drugiej części Koloseum.
527:  Właśnie Koloseum mamy jeszcze, dajcie spokój, ile roboty.
531:  Czasem się dowiedziałem, że imię Hedwig to nic innego jak angielska wersja Jadwigi.
535:  Naprawdę?
535:  Ja nie wiedziałem.
537:  Czyli Chodtus Podtus miał sowę Jadwinię.
542:  Mikołajek też miał Jadwinię.
543:  Czy to jest crossover, którego się spodziewaliśmy?
546:  Nie, nie spodziewaliśmy się takiego crossovera.
550:  Jeszcze Starblade będzie... A, jeszcze na pecety musi wejść.
553:  Aaaa!
554:  Kihihi!
556:  Na szczęście Marcinie.
558:  Ania Szumańska pisze, że była dzisiaj od dentysty, jest wszystko w porządku.
561:  Dobrze, ja też byłem dzisiaj od dentysty, ale dzisiaj małe, małe rzeczy.
565:  Jeno kontrola.
567:  W sumie idź na zakończenie.
568:  Tak, tak, tak, mamy, moi drodzy, dużo do zrobienia.
570:  Jest zakończenie, do zrobienia pierwsze.
572:  Jest do zrobienia Koloseum, jest do zrobienia Queen's Garden oraz, oprócz Queen's Garden, jest ul.
577:  Ul, ul, ul, ul, ul, ul, ul, ul, ul, ul, ul, ul.
580:  Ul ważny.
581:  W ulu, w ulu, w ulu, w ulu, w ulu, w ulu, w ulu mamy amulet, który jest istotny, ponieważ regeneruje nam żyćko.
588:  Hedwiga Spottera to samiec, a nie samica, bo tylko samce mają takie upierzenie.
593:  Moje życie się modyfikuje, rekonfiguruje na waszych oczach.
598:  Niesamowite.
599:  Ul ważny, byczki, bzyczki, właśnie.
600:  Ul jest super lokacją, ale wiecie, na czym polega problem?
604:  Ja bym zielonego pojęcia, jak tam dotrzeć.
607:  Ul jest podły?
608:  Świetnie.
609:  Czy Ul jest w tę stronę?
610:  Gdzie jest Ul?
612:  Zaczęło się.
613:  Witam na czacie.
615:  Swoją drogą, ja miałem gdzieś taką mega mapę Hollow Knighta.
618:  Gdzie jest mega mapa Hollow Knighta?
620:  Hollow Knight Map, w razie czego.
626:  Tak, znalazłem, znalazłem mapę.
630:  Widził spoiler?
630:  Mapa nie jest spoilerem, to jest kłamstwo.
632:  Mapy nie są spoilerami, więc musimy znaleźć Ul.
636:  Do Ula dojeżdżasz tramwajem na dole, a w ogóle gdzie jest tramwaj?
639:  A, myśmy odblokowali tramwaj, faktycznie.
641:  Eeej.
641:  Eeej.
646:  Iiii... Gdzieś widziałem ten tramwaj, Wam traj.
650:  Tu jest Hallownest Crown, tu jest Crystal Peak, dlaczego tutaj nie ma nigdzie... O, tu jest tramwaj!
656:  Resting Grounds, widzę.
660:  Czy odwiedzałem drugi raz Żuka Gnojarzyk?
662:  Jakieś bardzo trudne rzeczy mi mówicie, podnieść przedmiot?
665:  Myśmy dawno już to podnieśli, wydaje mi się, bo to była informacja od Kornifera.
671:  W Knight's Edge jest wejście do Ula, o ile pamiętam.
673:  Knight's Edge, Forgotten Crossroads, jeszcze raz sprawdźmy.
678:  Kingdom's Edge.
681:  Tu jest jakaś Shell?
683:  Koloseum of Fools jest, moi drodzy, w Kingdom's Edge.
687:  Jeszcze Świątynia Czarnego Jaja na zakończenie, ale pytanie... A, czyli tutaj.
696:  Ja nawet nie odkryłem tutaj tramwaju.
697:  Widzicie, bo tu jest pewnie tramwaj.
699:  Ha ha ha ha ha.
700:  Jest niepoodkrywane rzeczy.
702:  Na rufę jest jamnik ojem tymczasem.
703:  Dymiń dołącza do wspierających jeszcze raz.
706:  Jamnik!
707:  Niuk!
707:  Gdzie jest niuchacz?
709:  Niuchacz.
710:  Są papanady do kupienia znaczniki stacji pociągu.
714:  Oj, to jest dobra wiadomość, moi drodzy.
716:  Natychmiast idziemy tam, bo to inaczej się będę męczył.
726:  Głowa boli, życie boli, brak Jamnungandra boli, martwi się Sebulba.
730:  Jamnungandr wraca w sobotę.
735:  Wracamy.
736:  Kiedy Path of Pain... Kiedy się nauczę wskakiwać do windy, wiecie?
741:  Wtedy będzie Path of Pain.
744:  Więc tak, kupimy sobie znaczniki Wamtrajów.
747:  Mamy 545 akurat.
750:  Panie, mapy z błąd jest fajne.
751:  Może dla kogoś innego, nie dla mnie.
754:  Ja nienawidzę odkrywać rzeczy bez, yyy, solucji.
757:  Ekobuff?
757:  Ale to nie jest papanada.
759:  To nie jest papanada.
760:  Gdzie indziej jest papanada?
763:  Tu jest papanada.
764:  Widzicie?
764:  Ja już mam na tym etapie problemy.
767:  Boli brzuch przez okres nadja... Oj, współczuję najogromniej.
771:  Pominięte wiadomości.
772:  Przepraszam, już nadrabiam.
775:  Czy wspaniały wodny smok jest już zdobyty?
777:  Wgęśnie pyta Kazia Kazanowska.
779:  Dzięki za wsparcie od trzech miesięcy.
780:  I jeszcze GenGreyman pisze Awe Jamnik z Morituri Tessalutan.
783:  Tak!
784:  Dzięki za wsparcie od dwunastu miesięcy.
785:  Zdobyty, moi drodzy.
786:  Zdobyty jest... Dlaczego tutaj ktoś śpi?
790:  Nivlet jest zdobyty, jego broń jest zdobyta.
792:  To jest Kornifer?
793:  Skąd on się tutaj wziął?
796:  Papanada.
797:  Papanada.
798:  Queen's Gardens.
798:  Map of Queen's Gardens.
801:  Trumpin.
802:  Wszystko kupujemy.
806:  To jest jego dom?
809:  Czy oni, pani Papanada, tego śmiegę swą wąwą?
815:  No nie żartujcie sobie nawet.
819:  Kornifer to mąż Papanady i odkrył cały świat?
823:  Papanada.
826:  To jest jego żona.
828:  Od razu wiedziałem.
831:  Nie, nie, niesamowite.
833:  Nie, niesamowite.
834:  Nie, nie zniosę tego sapania spokojnie, kluchen.
836:  Już stąd uciekamy.
837:  Czemu nie ogarnąłeś?
838:  Nie wiem, czemu nie ogarnąłem.
840:  Ale chyba wiecie, czemu nie ogarnąłem.
843:  He, he, he, he.
847:  Aaaa... Papa nada.
849:  Na kim co mam niwleta?
850:  Zero, nie da się, nie da się na wyższych zdobyć, dajcie spokój.
853:  Więc tak, gdzie ja miałem iść?
855:  A, miałem teraz pin niby.
859:  Tutaj jest nasze zakończenie pierwsze, do którego idziemy, ale pierdwej chciałem all zdobyć.
865:  Więc gdzie jest vantry?
867:  No i nie zaznaczyło nam Wamtraju.
869:  Ale chamstwo.
871:  Okej, tu jest stacja Wamtraju.
873:  Rzeczywiście, mieliście rację.
874:  Palace Grounds, Ancient Basin.
876:  Zgadza się.
877:  Zgadza się.
878:  Michał Pęksaj z Jamnikołajem i Mateusz Jamrus, Fizis oraz Jakub Jot otrzymują wsparcie.
883:  Juch!
884:  Juch!
884:  Jamnikołaje dla Jamnikołajów.
886:  Dziękuję serdecznie.
887:  Pa, pa, nada.
888:  Już mówiła, że jest z Korniferem.
889:  Zapomniałeś?
891:  Czy ktoś jest zdziwiony?
892:  Ja nie.
893:  Dobrze, czyli musimy dotrzeć tutaj, okej.
895:  Jeszcze gdzieś będzie trzeba... Dużo jest dzisiaj do zrobienia, już nawet sam nie wiem, od czego zacząć.
899:  Dobra, pierw ul.
901:  Pierw ul.
902:  W ulu zdobędziemy pieniądze, w koloseum zdobędziemy pieniądze, fejmy zdobędziemy.
906:  Tak, ul.
907:  Ul, ul, ul, ul, ul, ul, ul.
910:  Chyba, że trzeba wpierw zrobić to zakończenie.
913:  To jest pytanie, jedno jedyne.
915:  Niech zjasną na dworze, go na live kształt.
917:  Co za dystans poznawczy, pisze Mintaj.
919:  No to jest najgorsze.
920:  Lucywaj pisze, z pozdrowieniami.
921:  Pozdrowienia również.
924:  W Koloseum zdobędziemy Depresję i Rage.
926:  Aha.
926:  Czarne Jajo jest najbliżej.
928:  Hidden Station do Ula.
928:  Powodzenia z Koloseum.
929:  Ostatnie jest trudne.
931:  Nie trzeba, ale możesz.
932:  Czyli wiecie co?
933:  Ul.
934:  Wiedźmolol Ul.
935:  Tak.
937:  Wiedźmolol Ul.
938:  Czyli jeszcze raz muszę to sprawdzić, bo już zdążyłem zapomnieć.
942:  King Station jest tutaj.
944:  Najbliżej.
945:  Stacja.
946:  Nie.
946:  W Palace Grounds.
949:  Dobra.
949:  Dare to.
953:  To było chyba Distant Hidden Station.
954:  Dlaczego to się nie może nazywać tak samo?
957:  Mnie to dererwuje strasznie.
963:  Ja przeszłam ostatnią część Kolosseum, kiedy byłam pijana, pisze Natyard, czyli tak trzeba.
969:  W Queens Gardens jest też Lawki, który otwiera wejście w Kingdoms Edge do bossa, we Collector.
974:  Po jego pokonaniu zdobyjesz mapę, gdzie będą pozostałe do uratowania robaczki, ważne!
979:  Dobra, Ul Queens Gardens.
981:  Musisz znaleźć też wszystkich name masterów, zawalczyć z doma doma znowu Ul Kolosseum.
985:  Boże drogi, ile do zrobienia!
989:  Dajcie spokój, jaka ta gra jest cudownie długa.
993:  Ona jest długa niby jamnik, moi drodzy.
995:  Tylko zawsze na początku jest chaos, bo nie wiadomo co robić.
998:  I cudownie.
1001:  Insect.
1003:  Pewnie to jest wejście do tego białego pałacu.
1006:  Coś mi się tak wydaje.
1008:  Dobrze, już się pogubiłem.
1011:  Czyli teraz idę cały czas i konsekwentnie w lewo i potem do góry.
1017:  Jeszcze Grim.
1018:  O Jezus.
1022:  Grim też dzisiaj Ał, ał, ał, ał, ał, ał, ał, ał, ał, ał, ał, ał Beka z typa Poza tym ja jeszcze muszę nauczyć na nowo sterowania, moi drodzy, nie ma tak prosto Okej
1039:  To było wejście do Białego Pałacu?
1041:  Widzicie?
1041:  Wiedziałem, wiedzia... Wiedziałem, wiedziałem, wiedziałem.
1044:  Nikt nie musiał mi podpowiedzieć, absolutnie, w życiu.
1047:  Grima w końcu trzeba zacząć.
1049:  Co, co?
1049:  Gnojasz, żuk gnojasz, żuk gnojasz, żuk gnoja... ŻUK GNOJASZ!
1055:  Wstrętny i odrażający!
1058:  Jeszcze Pantoon 5?
1059:  Pantoon 5?
1059:  To, to w ogóle... To nie do zrobienia, moi drodzy, jeżeli się zmnął.
1065:  Okej, Wamtraj.
1067:  Świetnie, Wamtraj jest tutaj.
1070:  kwiatek za kawałkiem maski, tego mi w ogóle nic nie mówi.
1073:  Jak samopoczucie?
1075:  Dzisiaj w miarę dobrze, moi drodzy.
1076:  Zobaczymy, jak po grańsku może będzie jeszcze lepiej.
1080:  O!
1082:  Insekt!
1085:  Jeśli uda przejść Path of Pain, to już nigdy nie zapomnisz sterowania.
1087:  Jest to prawda.
1090:  Ja totalne growe bez talencia zrobiłem wszystkie trzy wyzwania z kolecą, więc da się pocieszać J w account.
1096:  Czy jesteśmy tam, gdzie myślę?
1103:  Chyba?
1109:  Okej, jestem w miejscu mapy, której... Nie mam tej mapy, nie mam tej mapy.
1113:  Musimy odkryć, musimy odkryć.
1116:  Trzeba przenieść kwiat bez otrzymania obrony, dostaniesz kawałek maski.
1120:  Mam wrażenie, że ja to już sfejlowałem niestety.
1122:  I nie wiem, czy da się do tego questu podejść jeszcze raz.
1129:  Dajcie spokój.
1131:  Czy po przejściu gry będzie lore'owy filmik od Mozbanga?
1134:  Możemy, jak najbardziej.
1136:  Zresztą oglądałem go i chwalę sobie.
1144:  Absolutnie mnie tutaj nie było.
1147:  Już sobie nie poradziłem.
1153:  Odbicie profesjonalne od wroga.
1156:  Kwiaty można robić wielokrotnie, a to pocieszające.
1158:  Dobrze.
1162:  Tutaj spelem.
1163:  Tu był ul.
1164:  To stąd słychać te... Jak to tu?
1168:  Spelem w te pszczoły?
1175:  Chyba, że chodziło wam o inny spel.
1177:  Chodziło wam o inny spel.
1180:  Proszę, znaleziony, niekradziony Ul.
1182:  Kaini z JamNikołajem.
1183:  Krzysztof S. otrzymuje wsparcie.
1185:  Jeszcze ktoś był wcześniej JamNikołajem.
1188:  Nie zauważyłem.
1188:  Armii z JamNikołajem.
1190:  Mnóstwo JamNikołajów.
1192:  Nati Art otrzymuje wsparcie.
1194:  Foxigren.
1194:  Artur Pradzyński, wyznawca Rogatego Szczura.
1197:  Oraz Daisy jeszcze.
1199:  Dziękujemy serdecznie obydwu JamNikołajom.
1202:  Niuch!
1204:  Będzie fan w Ulu, mówicie?
1206:  Czy to jest objaw?
1209:  Skrajnego niedowierzania względem możliwości Krzysztofa.
1212:  Jeszcze odblokować przejście na górze, to jest dobry pomysł.
1220:  Odblokujmy to przejście wtedy.
1223:  Chciałem cię wspierać już, dziękuję.
1226:  Tu jest to przejście do odblokowania chyba.
1228:  O!
1230:  Znowu jest statek protestów, lotniskowiec konkretnie.
1233:  Au.
1235:  No i przypadły pieniążki.
1237:  Tak to się właśnie kończy.
1243:  Czy to będzie cały czas tak bzyczeć?
1245:  Nie lubię bzyczenia, bardzo nie lubię bzyczenia.
1247:  To jest takie komarze bzyczenie, paskudne bzyczenie.
1253:  Nie lubię komarzego brzydze... Brzydzę się bzyczeniem.
1258:  Kiedy dziesiąte z Sims Mass Effecta?
1260:  Nigdy.
1261:  Edycja legendarna nie była legendarna, moi drodzy.
1265:  Jestem oburzony tym faktem.
1267:  Au!
1269:  Wstrętny i odrażający.
1270:  No przecież ja się leczyłem.
1273:  Komary mają gorsze bzyczenie, jest to poniekąd prawda.
1279:  Tak, ewidentnie oduczyłem się gry w Hollow Knight, a tak to właśnie jest.
1283:  Tak to właśnie wygląda.
1284:  Spokojnie, za dwie godziny sobie wszystko przypomnę.
1287:  Skłamał Krzysztof.
1290:  NIEEEE!
1291:  Dramat.
1294:  Tutaj dopiero będą byczki, bzyczki.
1295:  Niedobrze.
1296:  Mam wrażenie, że tutaj jest jakiś sekret, ale to było tylko wrażenie.
1299:  Niedobrze.
1304:  Kyrie eleison!
1305:  Zwariuję z tymi latającymi fruwadłami!
1307:  Przecież to fruwadła nie mogą nie być latające.
1310:  Tutaj też trzeba zdobyć surowce do ulepszenia broni.
1312:  Ja nie wiem, gdzie się zdobywa te surowce, moi drodzy.
1315:  Quest z kwiatem można dość znacznie zserować, czystąc sobie drogę z większości przeciwników, ale trzeba się dostać do Queen's Gardens.
1320:  Queen's Gardens mam w ogóle nie wyeksplorowany i chyba tam nie ma żadnego bossa?
1324:  Aaa!
1324:  Zwariuję, oszaleję!
1325:  Jezus Maria!
1327:  Gdzieś się leczę cały czas!
1330:  Nie znoszę walki w powietrzu, więc tak, Path of Pain będzie cudowne dla mnie.
1335:  O mój Boż.
1338:  No właśnie, jest jeszcze w Queens Gardens, bossu tego nie mamy, no dramat absolutny.
1343:  Okej.
1346:  Pieniądze!
1347:  Świetnie, dużo pieniądza.
1355:  Lotniskowiec Protossów mnie irytuje.
1358:  Powiedzcie mi, że to jest już tutaj, błagam.
1363:  Jesus Christ.
1369:  O!
1372:  Brakuje ci jeszcze pejlor od taty robaczków za uratowanie, czyli to jest tylko, tylko tam już możliwe do zdobycia, rozumiem.
1379:  To fatalnie.
1380:  Ale trzeba znaleźć wszystkie robaczki wtedy, może tutaj będzie jakiś robaczek.
1383:  Kto wie.
1390:  Jak śmiesz, jak śmiesz.
1393:  Masz odporność na kwas.
1395:  To prawda, zapomniałem.
1397:  Robaczki koloseum.
1405:  Nara.
1406:  Ale, ale irytujący dźwięk.
1408:  Jesus Christ.
1409:  Ooo, to wam chodziło.
1413:  W... W ulusu dwa robaczki?
1415:  Dobrze, doskonale.
1417:  No to wszystko zrobione.
1419:  Wszystko zrobione.
1421:  Good.
1422:  Ale my za nich nie dostajemy pieniędzy.
1425:  Dlatego jedyne komary w grze to Papanada i Kornifer.
1428:  Ich bzyczenie jest akurat świetne.
1430:  Papanada jest komarem?
1432:  Dzięki Amnikłajowi, Rada 13.
1434:  Ślepo nowe na wsparcie pisze.
1435:  Wyznawca Rogatego Szczura wspierający od 16 miesięcy zaiste.
1441:  Jeżeli nie dostajemy żadnych pieniędzy z nich, będziemy ich upokarzać zaklęciami.
1446:  Podłoga do rozwalenia jeszcze gdzieś.
1450:  Gdzie wy to widzicie?
1456:  Faktycznie.
1458:  Jeszcze ruda z koloseum?
1463:  Nie wiedziałem, że tam jest ruda.
1464:  Dobra, ul.
1470:  Wlazłem do ula od innej strony.
1486:  Jesus Christ.
1488:  Robaczek, robaczek, robaczek!
1490:  Nawet nie zdążyłem się z nim przywitać.
1492:  Ale jest super ten ul.
1492:  Wszędzie jest miód.
1509:  I cudowny ambient, to jest cul de sac.
1513:  Tędy nie prodegresujesz.
1515:  A czy ja tutaj przypadkiem wlazłem do miejsca, do którego miałem wleźć?
1521:  To dobrze.
1522:  Jak stąd wyjść?
1523:  Aaa!
1523:  Proszę, powiedzcie mi, że w ulu nie będzie ich w takiej ilości.
1525:  Mil jest pyszny i zdrowy?
1526:  Pod warunkiem, że się może jeść cukier, to wtedy tak.
1547:  Tam coś jest, nie ma już nic.
1549:  Nie pamiętam, gdzie był ul.
1551:  Nie tutaj.
1554:  Nie bzykaj.
1555:  That's what she said.
1556:  Może w tłumaczeniu się różni multifokalizacja od punktu widzenia?
1561:  Tak.
1562:  Uczynię to.
1564:  Tylko muszę sobie wpierw przypomnieć, gdzie się szło do ula, bo już nie pamiętam.
1567:  Chyba tędy mi mówiliście, że mam... Tak, progres... Dobrze, chyba tędy.
1574:  Chyba?
1574:  Nie wiem.
1576:  Może.
1578:  Tędy!
1579:  Dobrze.
1581:  Więc tak, najprościej, moi drodzy.
1584:  Jeżeli chodzi o definiowanie punktu widzenia, to jest punkt widzenia, to znaczy widzimy albo w lewo, albo w prawo.
1590:  W związku z powyższym...
1592:  To, co ja w tej chwili robię, to jest odpowiednik tego, jakby narrator pisał, wcielając się w Hollow Knighta, o ile my gramy Hollow Knightem, wcielając się w naszego bohatera, tak?
1606:  Natomiast jeżeli byłby narrator wszechwiedzący, to jego punkt widzenia byłby niezależny od punktu widzenia bohatera i on by na przykład wiedział, co się znajduje za nim.
1613:  Na tym polega ta różnica, więc jeżeli George R. R. Martin dzieli sobie Pieśń Lodu i Ognia na punkt widzenia Sansy, punkt widzenia Tyriona, punkt widzenia Tywina, to jest jakby wielu narratorów, tak?
1625:  Dlatego się o tych narratorach mówi, że to są fokalizatorzy, bo oni fokusują widzenie nasze, czytelnika, na jedną perspektywę.
1634:  Więc jeżeli macie wiele takich perspektyw, no to jest to multifokalizacja.
1638:  Czyli najprościej narracja pierwszoosobowa to jest fokalizacja.
1642:  Narracja wieloosobowa, by trzeba było nazwać, to jest multifokalizacja.
1647:  I jedno i drugie nie wykorzystuje narratora trzecioosobowego wszechwiedzącego, czyli takiego, który nie tylko widzi to, co nasza postać, ale też wie, co jest na przykład za nią.
1656:  Jamnik wsparcia dla zmęczonych świętami, pisze Kluchenmuchen, wspierająca 30 miesięcy.
1661:  To jest absurdalna liczba miesięcy, która zbliża się do Srebrnego Niuchacza, jeśli mnie pamięć nie myli.
1668:  Czy ci narratorowie są czuli?
1670:  Oni są nieczuli.
1672:  I zdecydowanie przychylam się do jamników wsparcia dla zmęczonych świętami.
1677:  Chociaż ja nie jestem aż tak zmęczony świętami z tego względu, iż... Uuu, miodzik.
1683:  Przecież święta radośnie sobie graliśmy.
1687:  Czy on, on, on, on wypróżnia, on wypróżnia, on się wypróżnia, on wypróżnia.
1692:  On się wypróżnia.
1693:  Przestań się wypróżniać, przestań się wypróżniać.
1697:  Dlaczego będziemy walczyć ze stworzeniami, które się wypróżniają na nas?
1703:  To są żuki-gnojarze.
1705:  Ależ tu jest ślicznie.
1708:  Gdyby tylko się nie wypróżniali.
1710:  W Ulu jest jedna ławka tylko, a mapa jest wspólna dla Kingdom's Edge?
1715:  A, rozumiem, czyli nie będzie trzeba znajdować kornifera.
1717:  Dziękuję!
1722:  Uwielbiam to przełamywanie ścian miodu.
1725:  Cudowne.
1726:  Czy wspominałem, że kocham tę grę?
1729:  Święta były męczące przez zmianę czasu.
1730:  Jezu, tak.
1731:  No i święta bywają męczące wtedy, jeżeli na przykład rodzina zmusza do świętowania długiego.
1737:  Ja miałem to szczęście, że nie.
1740:  Bardzo dobrze.
1741:  Mnie strasznie męczyły te święta, które miałem, omg-iś rodzinne, że wiecie, trzydzieści osób przy stole, z czego połowy nie znacie.
1748:  No masakra jakaś absolutna.
1750:  Po całym dniu siedzenia z rodziną byłam bardziej zmęczony, niż po piętnastu kilometrach górami.
1753:  No właśnie, Joanno.
1755:  No właśnie.
1755:  To jest to.
1756:  To jest to.
1759:  Kornifer wrócił do domu i mamy wszystkie mapy?
1761:  A czy i potem poznajemy, że Kornifer wrócił do domu?
1763:  Okej.
1767:  Proszę bardzo, proszę bardzo, proszę bardzo.
1770:  Sfejdował Krzysztof.
1771:  Proszę bardzo, proszę bardzo.
1774:  Pa pa!
1776:  Moje jajo!
1778:  Doskonale.
1780:  Teraz tak, będzie czas sprawdzać, czy tutaj gdzieś nie ma ukrytych lokacji, pokojów, rzeczy.
1786:  Zwłaszcza rzeczy.
1787:  O nie, to jest ten, który się wypróżnia.
1788:  Przestań, przestań się wypróżniać natychmiast.
1791:  Udało, uda... On się wypróżnia pośmiertnie!
1798:  Rany boskie.
1801:  Ławka w dół i w lewo, czyli dokładnie w odwrotnym kierunku niż poszedłem.
1806:  Tu jeszcze są bzyczki.
1809:  Ale to nie są byczki.
1815:  Jak można zauważyć, Ul to zaawansowana cywilizacja, mają półki z książkami i funkcjonalne meble.
1819:  To, że mają półki z książkami jeszcze nie świadczy o ich zaawansowaniu.
1823:  Co to jest?
1823:  O nie, żądło, żądło, żądło, żądło, żądło, żądło!
1830:  Ależ mi się podoba ta lokacja, jest przepiękna!
1834:  Jan Gołębiowski dołącza do grona wspierających.
1836:  Masz jamniki, dziękuję serdecznie.
1837:  Dzisiaj będzie inny jamnik, moi drodzy.
1839:  Popatrzcie, jaki smukły jamnik.
1841:  Jaki szlachetny, wzdłużony tułów.
1844:  Coś wspaniałego.
1846:  Kasia Kazalska pisze, że mnie zmusili do kościoła, przynajmniej miałem rozkminy.
1849:  Jak ksiądz daje błogosławieństwo, to ja bym robił inkantację.
1851:  Czy jeśli się pomyli, to jak ma, to może nie chcą przekląć.
1854:  Co ciekawe, w książce Homoludens, zabawa jako źródło kultury, Johan Huizinga, którego się pisze Huicinga,
1861:  tak właśnie, twierdzi, że wszystkie rytuały religijne wywodzą się z praktyk zabawowych
1868:  Więc jest coś na rzeczy, jeżeli chodzi o te podobieństwa.
1870:  A jeżeli chodzi o zmuszanie pójścia do kościoła, to jest coś, czego ja strasznie nie cierpię.
1875:  A to z tego powodu, że wiara powinna być indywidualną kwestią ludzi i tego się nie powinno zmuszać bez przesady.
1880:  Widzicie, odkryłem ławeczkę.
1881:  Składał Krzysztof, który tutaj nie trafiłby nigdy w życiu, gdyby na czatach nie powiedziano, że tutaj jest ławeczka.
1888:  Łul jest zaznaczony na żółto.
1891:  Wow.
1893:  Wiecie co?
1894:  Nie można zmarnować takiej okazji.
1896:  Ja na święta musiałam przewieźć trzy koty, pisze elf, które darły ryja w samochodzie wtej i z powrotem, wtej i nazad.
1904:  Lor Ul zamieszkiwała niezależna od reszty królestwa społeczność.
1908:  Gdy król prowadził wysiłki ku zjednoczeniu plemion, pszczoły zapieczętowały wszystkie wejścia do kolonii.
1915:  Jaka piękna lokacja, gdzie o krzyż to wlatając i wyburzając otoczeń.
1918:  Oczywiście.
1919:  Wyburzanie otoczenia jest ważne.
1923:  Niestety nie da się zniszczyć wszystkich lamp.
1926:  Ubolewam nad tym.
1928:  Lor, pszczółki z ula mają jakby współdzielony umysł podlegają królowej, czyli legitnie tak to powinno być.
1934:  Smart Swarm, inteligencja roju.
1937:  Dlatego też nie dopadła ich infekcja.
1940:  Wciąż nie wiem jakie jest źródło infekcji i o co z nią chodzi, ale coś ma wspólnego ze snami, tyle wiem.
1948:  Przestań!
1949:  Czyli on może wypróżnić się wcześniej, a potem wypróżnia się jeszcze raz.
1953:  Niedobrze.
1959:  Jesus Christ, Jesus Christ, Jesus Christ.
1966:  Au.
1974:  Amarz!
1978:  Zacznę używać więcej zaklęć, obiecuję.
1984:  Jak bijemy pszczoły, to mają pomarańczowy płyn i to jest infekcja.
1987:  To to jak jest w końcu z tą infekcją, moi drodzy?
1990:  Jestem po pierwszej wizycie u psychiatry, pisze Just Whitely.
1993:  Chcę wyprostować pewne słabe problemy z agresją.
1994:  Teraz leki i psycholog.
1995:  Gratulacje serdeczne za zajęcie się tą częścią naszego organizmu, która jest przez wszystkich zaniedbywana.
2001:  A raczej była przez wszystkich zaniedbywana.
2003:  Teraz, moi drodzy, duma, bo ludzie na szczęście zajmują się ważnymi rzeczami, nie ignorują naszego najbardziej skomplikowanego organu, jakim jest
2014:  Nie, jakim jest mózg?
2018:  O, wiedziałem, że tu coś jest!
2020:  Pieniądze!
2022:  Ej, dużo pieniędzy.
2023:  Bardzo dobrze, potrzebujemy więcej pieniędzy.
2026:  Na jakieś straszne, mówiliście, 1800 do tego bladego króla?
2029:  Białego króla?
2030:  Powiedzmy, że będzie to blady król.
2031:  Wiecie dlaczego?
2032:  Dlatego, że głębia Marcina Podlewskiego.
2038:  Jak tam wishowania?
2038:  Bardzo pozytywnie.
2040:  Udało się na ostatnich dwóch wishach zdobyć cholernego niwleta i jego broń.
2045:  Więc zostały mi dosłownie dwa wisze, jakie to smutne.
2053:  Przeszła Nati Ard dziewięć kilometrów, to jest dużo.
2058:  Bo to jest blady król, okej.
2060:  Nie myślałem, że to jest biały król.
2062:  Chwalmy bladego króla.
2068:  Chciałem zaprotestować przeciwko temu, co się tutaj dzieje.
2074:  Czy on ma autonamierzanie?
2075:  Tak, on ma autonamierzanie.
