🔴 Ser w Koloseum | HOLLOW KNIGHT Livestream #13
🔗 https://www.youtube.com/watch?v=ZsDHsb9ogrg

38:  Bapa nada.
558:  To prawda, to prawda.
559:  Miokun, Nemeczek i Kazia Frossoł, Newrast, Pademi Fernes.
564:  Witajcie najserdeczniej, moi drodzy.
566:  Mam nadzieję, że się dobrze macie, ale ja dzisiaj, ja dzisiaj mam dla was niesamowitą rzecz.
571:  Absolutnie nieprawdopodobną.
572:  Otóż... Nie, nie, stop, stop, stop, stop.
576:  Do tego musi być, do tego musi być stosowna muzyka.
580:  To był bodajże Seer.
582:  Tak to się nazywa oryginalnie.
585:  Dobrze.
592:  Melemu!
599:  Melemu!
622:  zrobiony moi drodzy przez samą Dominikę Jamnikotwórczynię Klimczak certyfikat fucking autentyczności niesamowite absolutnie
642:  No nieprawdopodobne.
643:  Ja jestem w autentycznym szoku.
646:  Dominika znowu dowiozła, moi drodzy.
648:  Po raz kolejny.
649:  To jest autentyczny wyrób z gliny, swoją drogą.
654:  No nie wiem, no niesamowite po prostu.
657:  Już na zawsze z nami zostanie Melemu.
660:  Nie ma opcji innej.
664:  Mam dar przewidywania jak Melemu, bo przewidziałem, że to właśnie będzie ta niespodzianka, pisze złodziej uliczny po zobaczeniu jej twórczości.
669:  Ha!
672:  To jest Dominiki Melemowczyni.
677:  Tak jest, moi drodzy, tak jest.
680:  Czy to już oficjalnie jest nasze bóstwo?
681:  Jest to możliwe?
683:  W ogóle ja nie wiem, jakim cudem mam dzisiaj tak dobry humor, biorąc pod uwagę to jakiś dziki zapierdol na uczelni, ale widzicie, co nie robi z człowiekiem Hollow Knight, którego już w ogóle nie pamiętam.
695:  Nie mam zielonego pojęcia, w jaki sposób się w tej grze steruje.
698:  Tak, dzisiaj rano do obiadku i śniadania, bo jakimś cudem to nie jest syf i jest 100% lepsze od Obi-Wana Kenobi'ego.
707:  Znaczy poprzeczka jest zawieszona, umówmy się, bardzo nisko, w związku z powyższym wszystko jest lepsze od Obi-Wana Kenobi'ego, ale dla mnie to jest serial, który gdybyśmy puścili go mówiąc, że to jest trzeci sezon Mandalorianina, albo że to jest właśnie czwarty odcinek Obi-Wana, nikt by się nie zorientował.
723:  Znaczy te wszystkie produkcje Disneyowskie Star Warsowe wyglądają dokładnie tak samo.
728:  Kolejny sezon po drugiej przerwie będzie straszny, to prawda.
731:  To prawda, będzie absolutnie straszny.
733:  Czy ja pamiętam w ogóle...
736:  O!
737:  Jak ja pamiętam takie rzeczy, to ja pamiętam wszystko.
740:  Dobrze, tak się robiło.
742:  Nie, no bez przesady!
744:  Bez przesady!
745:  Lukas Senbaj stęsknił się za streamami growymi.
747:  Ej, przecież był!
749:  Niedawno całkiem.
750:  Znaczy, mieliśmy Q&A w niedzielę, to prawda, i nie było w sobotę nic.
754:  Ale wiecie, co jest gorzej?
756:  To znaczy nadchodzi Pyrkon w przyszłym tygodniu i w ogóle nie będzie streamu w weekend.
759:  To znaczy zostałem poproszony o poprowadzenie razem z Dominikiem Bossem jakiejś gali gamingowej w niedzielę o 14, skutkiem czego wracam o 15.50, skutkiem czego będę pewnie o 20 z hakiem, więc chyba, że będziecie ready na stream o godzinie 22, ale wtedy będę gotów tylko grać w jedną grę, to znaczy w Warhammera.
781:  Nie ma żadnej innej gry, w której jestem w stanie grać o 22 w niedzielę, jest to tylko Warhammer.
785:  No i jestem przerażony, szczerze wam powiem, to znaczy perspektywa jazdy na 3 dni Pyrkonu, gdzie jest mnóstwo ludzi, przeraża mnie absolutnie.
795:  Krzysztof nie zapomniał o Rycerzu Miłek, absolutnie nie zapomniał.
799:  Natomiast wiem, co muszę zrobić, to znaczy muszę odzyskać cienia.
803:  Tak jest.
804:  Gierka daje trochę vibe Ori and the Blind Forest.
806:  Tak, tak, bo to jest ten sam gatunek, bardzo polona stylistyka.
809:  Znaczy nie obie gier w A2D, bo użyłem w latach 90-tych Fancy, wtedy nie było alternatyw.
815:  Wiesz, to dlatego.
816:  W związku z powyższym teraz mam tak, że jak tylko mogę gry, które są przynajmniej 2,5D,
822:  To okej.
823:  Rzut izometryczny jeszcze zniosę.
825:  Natomiast Hollow Knight mnie urzekł stylistyką.
827:  Jest absolutnie przepiękna.
829:  W studio filmowym rysunkowym w Bielsku Białej, no moi drodzy, studio filmowe w Bielsku Białej jest autorem najlepszej rzeczy, jaka istnieje.
838:  Przypominam.
842:  To znaczy Reksio i Jamnik.
848:  Reksio i Jamnik jest najbardziej poruszającą opowieścią, jaka istnieje.
853:  Już nie mówiąc o tym, że w Reksiu było cudowne absolutnie to, że Reksio na sam koniec tego wstępu robił... Uwielbiam absolutnie.
865:  No i Jamnik został tutaj przedstawiony w sposób godny, ale niestety adekwatny.
869:  Wszyscy się na początku natrząsają z nieszczęsnego jamnika, ale potem jamnik pokazuje, że jest niesamowicie odważny i nieustraszony, więc bardzo polecam.
878:  To jest 8 minut szarych eminencji zachwytów.
885:  Ja miałem taki problem, chociaż nie stać mnie na Pyrkon.
887:  Swoją drogą, poproszono mnie o ogłoszenie drobne.
889:  Widzicie, dobrze, że mi przypomnieliście o tym.
891:  Mianowicie, mamy podpięty cały czas link ten Pyrkonowy i teraz ja oczywiście, jak to ja, ja nie umiem sprzedawać, w związku z powyższym zapomniałem powiedzieć, że w ramach tego linku jest jakiś pakiet.
904:  z rzeczami.
906:  I tutaj podobno ma być, mają być jakieś rzeczy, jakieś torby, jakieś specjalne rzeczy w środku.
913:  Podobno ma być tam jamnik.
915:  Tak, zostałem poinformowany, że będzie jamnik, ale w razie czego, jeżeli byście się na to nie załapali, nie martwcie się, ja będę mieć swojego jamnika.
923:  Przychodzę przygotowany.
924:  W związku z powyższym, tak, z jednej strony jest link, będę go, ten link, eksponował na najbliższych live'ach.
930:  We wszystkich tych przypadkach
932:  dostajecie, z tego co wiem, specjalny pas.
937:  Tyle, reszta szczegółów jest pod linkiem, ja się nie znam.
940:  Tylko na pakiet specjalny, znowu właśnie, na jakiś specjalny pakiet, nie wiem, ale mam was zachęcić, więc to robię.
949:  Jak nie ma kluczy do kawalerki w Poznaniu, to i tak jest.
954:  Przypominam, że jeżeli chodzi o Poznań, to w tym momencie, jeżeli nie macie tam noclegu, to ja nie polecam, bo kosztuje jakieś 2 tysiące za noc.
961:  Nie żartuję.
962:  Czy będę grał w World of Warcraft 19 września na PC?
965:  Oczywiście, kapicafi.
967:  Wrzesień nasz, growy, to jest God of War Ragnarok i Total War... Boże, i Space Marine 2.
975:  Najlepszy wrzesień ever.
976:  A biorąc pod uwagę, że moja praca zaczyna się dopiero w październiku, a nie we wrześniu, to jest faktycznie najlepszy wrzesień ever.
982:  Tak, będę robił teraz koloseum, absolutnie.
985:  Czy będzie się można spotkać na Pyrkonie?
986:  No Mononika, jestem na Pyrkonie przez trzy dni non-stop.
990:  Praktycznie.
991:  Wbrew swojej woli.
994:  Więc tak, będzie można.
997:  Ja tam mam tak dużo punktów, że to się w głowie nie mieści, a jeszcze przed tym, teraz, w piątek, jadę do Gdańska.
1004:  Czemu nie mogę tu wejść?
1005:  Już wiem.
1007:  Jadę do Gdańska na konferencję naukową z kolei.
1011:  Tam i z powrotem.
1011:  Forgu prosi o jamniki.
1013:  Depresja pofestywalowa dopadła.
1015:  Mówiłem, że tak to jest właśnie z tymi wszystkimi wyjazdami.
1018:  Tak to jest.
1019:  Dzisiaj będzie nie tylko jamnik.
1021:  Dzisiaj będzie także... Melemu!
1025:  Melemu!
1029:  A dlaczego w Poznaniu nocleg kosztuje 2 tysiące?
1031:  Bo widziałem, widziałem jak sprawozdawałaś o tym wszystkim.
1033:  Popatrzcie, nawet pamiętam, że kontrol to jest to... Ej, ja naprawdę nie zapomniałem sterowania.
1037:  Au.
1056:  Dobrze, i w jaki sposób się czarowało?
1058:  Okej, już wiem.
1060:  Ha!
1064:  Au!
1067:  O dobra, tych pamiętam, tych pamiętam.
1070:  Au!
1071:  Contact damage!
1072:  Contact damage!
1074:  To było tutaj!
1079:  Oj, byczek bzyczek!
1087:  O, jak ja go nienawidzę.
1091:  Samonaprowadzające się ścierwo.
1099:  Dobrze.
1100:  Jak na początek nie idzie jakoś strasznie źle.
1106:  O, powiedział Krzysztof, prawie umarł.
1109:  Szy!
1115:  Okej, idzie bardzo źle.
1117:  Idzie bardzo źle.
1120:  Ludos pisze Miami, jakie piękne powitanie.
1122:  Stwierdziłem, że idę na studia pewnie na AG i chcę bardzo podziękować za 4 lata pomocy duchowej i mentalnej w przeżyciu liceum.
1128:  Cała przyjemność po mojej stronie i nieironicznie, to jest całkowita prawda, ponieważ przyjemność przechodzenia przez liceum nie była po twojej stronie.
1135:  Bardzo ci współczuję, ale cieszę się, że już to za tobą.
1139:  Przy okazji, nadrajam czat jeszcze.
1140:  Wiktor Winter, dzięki za wsparcie od 18 miesięcy.
1143:  Ave Legio Jamnicarum, jakie piękne powitania dzisiaj mamy.
1146:  I Dominikę Jamniku, twórczynię Klimczak, witamy, dziękujemy za 33 miesiące wsparcia oraz najwspanialsze możliwe dzieło w postaci Melemu.
1155:  Melemu!
1159:  Dzisiaj będzie bardzo długi stream, mówię wam.
1163:  Zwłaszcza, że nie chcę, żeby nastał czwartek.
1167:  Co robić, jak promotor od tygodnia się nie odzywa?
1169:  Męczyć go w socialach wszędzie, a poza tym przypominam, że promotor musi się odzywać na bieżąco, a poza tym chciałem jeszcze jedną rzecz powiedzieć, ale to już będzie mała złośliwostka ode mnie jako też promotora, to znaczy wiecie kiedyś studenci się zaczynają martwić, że promotor się nie odzywa?
1186:  W czerwcu.
1192:  Przynajmniej tej figurce nie rozprujesz dupska jak jamniko, jej pisze Dominika Jamnikot, twórczynik Limczak, która ma rację, ponieważ jest istotnie jeden jamnik u nas w kolekcji, który cierpi na syndrom wypadającego odbytu.
1204:  W sensie Subnauticę?
1205:  Nie grałem w Subnauticę.
1207:  Subnauticę mi zepsuli twórcy, ponieważ dostałem game design document i zaspoilowali mi całość gry.
1214:  Niedługo wyniki matur.
1215:  Kiedy będą na TRT?
1216:  Kiedy będą?
1217:  Nie denerwuj się, wynikami matur.
1219:  Denerwuj się, jak już będą.
1220:  Wtedy się można denerwować.
1221:  Nie ma co wcześniej.
1223:  Co ja robiłem z tym jamnikiem?
1224:  Ja, ja, ja nie tylko machałem.
1225:  Nic więcej, moi drodzy.
1226:  Nic więcej.
1227:  Już nie będę pokazywał rozprótej dupy jamnika.
1229:  Wystarczy.
1235:  Po zobaczeniu glinianej melemu zrobiłem glinianą figurkę Elderburga, czyli robaczka witającego nas kolonajcie.
1241:  Proszę bardzo.
1242:  Co ja zrobiłem?
1242:  A, zrobiłem F zamiast D. Naprawdę nie jest dobrze.
1247:  Nie jest dobrze.
1250:  Trzeba się bardzo skupić teraz.
1252:  Jedna porada na prezentację po angielsku.
1254:  Nie przejmować się akcentem.
1258:  I tak jest to twój drugi język.
1262:  Przeciętny Amerykanin lub... No dobrze, Brytyjczyk nie, ale przeciętny Amerykanin bardzo by się cieszył, że mówisz w jego języku.
1269:  I byłby bardzo zdziwiony.
1274:  Zapomniałem, że oni... Jak się robiło to zaklęcie w dół?
1278:  Okej, w ten sposób.
1281:  Ależ mnie denerwuje to, że to jest samonaprowadzające.
1284:  Absolutnie mnie to denerwuje, niezmiennie mnie to denerwuje.
1292:  Tak, przyzwyczajenie się do tego, że istnieje contact damage nie będzie proste.
1316:  No tak.
1317:  No tak.
1325:  Czy widziałem materiał z pokazów pracowych The Enderinga?
1329:  Oczywiście, że tak.
1332:  Oczywiście, że jest samonaprowadzający.
1334:  Oczywiście, że ten atak jest samonaprowadzający.
1335:  Jest zawsze samonaprowadzający i był.
1339:  Odwodną prawdę jeszcze doradzę, żeby nie przejmować akcentem, uważać na wymowy, bo to może znaczenie zmienić.
1343:  Nie no, to to zawsze, tak?
1344:  Ale akcent nie jest istotny.
1347:  I poprawna wymowa.
1348:  Nie zapomnę, jak kiedyś jakiś Anglista tłumaczył, jak należy mówić dźwięk , który naprawdę umie wymówić nieliczna część ludzi.
1358:  Ja i tak go w tym momencie intencjonalnie przeakcentowałem.
1362:  I ja zawsze powtarzałem, lepiej powiedzieć , tak? ,
1368:  niż the end, albo se end, jak niektórzy Polacy mówią, usiłując wymówić niewymawialnie dla nich dźwięk.
1374:  Prędzej, prędzej ktoś zrozumie, jeżeli ktoś będzie usiłował powiedzieć we are thinking, niż jak powie we are sinking, bo wtedy będzie tonął zamiast myśleć.
1386:  Nie mam wpływu Just Whitely na reklamy, niestety.
1389:  Jeżeli się coś pojawia, to nie moja wina, jest wyłączone wszystko po mojej stronie.
1393:  Comiesięczne przypomnienie o istnieniu NDR-a, pisze Graham Grayman.
1395:  Kiedy ja mam w to niby grać?
1396:  Nie ma czasu na gry.
1398:  Wiesz, najgorsze jest w tym wszystkim to, że autentycznie nie ma czasu na gry, nie ma czasu na streamy, bo tyle rzeczy się dzieje.
1404:  Nienawidzę czerwców.
1405:  Czerwiec to jest podróbka Maja, najgorsza rzecz, jaka istnieje.
1410:  Obrzydliwy, obrzydliwy miesiąc.
1412:  To jest miesiąc, w którym się zaczynało świętowanie, o, gala z okazji zakończenia szkoły, poczet sztandarowy, o, tak, cieszmy się, świętujmy i ratujmy.
1427:  O, jak ja tego nie znosiłem!
1431:  I to się nie zmieniło, tak?
1433:  Od tego czasu nie znoszę czerwca.
1439:  Jeszcze gorąco jest do tego wszystkiego.
1441:  No jest autentycznie najgorszy miesiąc.
1443:  Jeszcze jest sesja.
1445:  Układanie egzaminów.
1447:  Chryste Jezu po prostu.
1451:  Autentycznie nie jestem w stanie go inaczej pokonywać.
1453:  Muszę w ten sposób.
1457:  Co, co, co, co?
1458:  Gdzie?
1462:  Czy ja chociaż raz... Dziękuję.
1465:  Dziękuję.
1467:  Chociaż nie raz.
1469:  Goląc jest fajny?
1470:  Nie zgadzam się.
1471:  Goląc jest okropny.
1473:  Kwiecień?
1473:  Kwiecień jest lepszy.
1476:  Nie będzie to proste, moi drodzy.
1479:  Tak to jest, jak człowiek się odzwyczaja od grania.
1481:  Wiesz, horror absolutny.
1486:  Kiedy myśmy grali ostatnio w Hollow Knight'a?
1487:  Jakoś bardzo dawno temu.
1492:  Protibąża nie przychodzi na te wszystkie gale, przynajmniej jako uczeń.
1495:  No właśnie.
1496:  Można.
1496:  Ale mnie tego nikt nie powiedział.
1498:  Memory, dziękuję serdecznie za czynienia.
1500:  Pięknego wieczoru.
1500:  Przypominam, z radosną nowiną wydałem właśnie muzykę i odsyłam uroczyście ciebie i czatę do utworu klaustrofobicznie.
1507:  Gdzie jest ten utwór dostępny, Memory?
1509:  Czy my możemy tego odsłuchać?
1512:  Rozmiar Elden Ringa to będzie 16 giga, preload 19 czerwca.
1515:  To dużo i to dobrze.
1519:  Akurat premiera, kiedy jest 21 czerwca?
1521:  To jest piątek?
1522:  Memory pisze, że to jest na YouTubie.
1530:  Czy możesz wrzucić link?
1532:  Czekajcie, DLC Shadow of the Earth Tree.
1536:  Kiedy to wychodzi?
1539:  Otóż... 21 czerwca, w piątek.
1546:  To ja wtedy robię stream.
1549:  Ja wtedy rejestruje stream o godzinie 16, zostało zapowiedziane.
1552:  Czy wybieram się na księdzyska Mononoke?
1554:  Znam księdzyska Mononoke.
1555:  Nie umiem się zmusić, żeby obejrzeć Miyazakiego po raz drugi cokolwiek.
1559:  Witamy, Lucyfe, witamy.
1560:  Potrzebuję pomocy coraz czytać Kosiarze, Likanius, Metro, Epoka Obłędu.
1564:  Ja bym zaczął od Likaniusa, potem Kosiarzy, potem Epoka Obłędu, a na końcu Metro, dlatego że jestem bajas względem postapo.
1572:  Na Steamie premiera Shadow of the Edge jest 20 czerwca, a to gorzej.
1577:  Czekajcie, to jest, to jest zła informacja.
1581:  Bo ja chyba 20 czerwca, tak, mam ostatni warsztat.
1588:  Cholera jasna.
1589:  Memori pisze o prawach autorskich i ostrzega.
1591:  Znaczy co, znaczy, wiesz, że ty możesz mi wrzucić copyright Strike'a.
1595:  Chyba, że to zostało wydane przez jakiegoś wydawcę, który wtedy będzie mieć z tym problem.
1600:  To ja, ja wtedy na wszelkich badań tylko pokażę.
1602:  Kiedy następny live fantastyczny?
1604:  Pod koniec czerwca.
1606:  Czym różnisz sandbox od otwartego świata?
1608:  Ciekawa uwaga.
1609:  W sandboxie masz trochę jak w piaskownicy.
1612:  Piaskownica jest ograniczona, prawda?
1614:  Masz ze wszystkich stron drewienka, na których sobie siedzisz.
1618:  I tak samo jest w sandboxie.
1619:  Sandbox to jest taki pseudo otwarty świat, więc w każdym przypadku, kiedy będziesz mieć jakieś GTA albo coś w tym stylu, czy mafię, czy Watch Dogs i tak dalej, to są sandboxy.
1631:  Sandboxy bardzo często są w miastach też.
1633:  To jest charakterystyczne, że chcę dostać jamniczą flagę na Pyrkonie.
1637:  Kaszakaszel, musisz pamiętać, że jeszcze muszę jakoś wrócić do domu z tym wszystkim, z tymi pinklami.
1642:  Co będziesz robił, jak skończysz Kolosaumu?
1643:  Chcę Grima zrobić.
1644:  Chyba, że mnie zdenerwuje Kolosaumu, to sobie zrobimy jako przerwę Grima.
1648:  O to, że fabuła w Sanautica jest dwuorzędna fancy, to ja wiem, ponieważ miałem cały Game Design Document, a cały Game Design Document to nie jest miejsce, w którym Ci opisują fabułę, tylko wszystko w grze.
1658:  Więc jeżeli chcesz poznać taki stuprocentowy spoil,
1663:  Tak, to wcale nie jest samonaprowadzające.
1667:  To... 100% game design i document.
1670:  Tam masz opisane wszystkie mechaniki, wszystkie lokacje.
1677:  Dobra, zdążę się wyleczyć.
1680:  Panie, ile to już czasu, pepeuszko, witamy serdecznie!
1684:  20 miesięcy wsparcia, dziękuję ci bardzo!
1687:  Czy te nasze żuczki będą go niszczyć?
1689:  Bo mi się strasznie nie chce.
1693:  O!
1696:  Dobrze.
1698:  Niedobrze, nie zauważyłem, że on jeszcze istnieje.
1700:  Przestań istnieć.
1704:  Dobra.
1705:  Nie jest źle.
1706:  Jest lepiej niż ostatnio.
1709:  Ale Krzysztof, to nie jest to samo.
1710:  To prawda.
1712:  We Flying Tigers są plusowe jamniki.
1714:  Ba, ja zauważyłem, że jest w Rossmanie jakiś papier toaletowy z jamnikiem.
1721:  Miałem nawet zrobić zdjęcie, ale potem sobie przypomniałem, że ja nie umiem robić zdjęć.
1726:  Ha!
1727:  Ha!
1729:  Proszę bardzo, kto trafił dalej?
1732:  Krzysztof, otóż!
1735:  Sam!
1740:  Ale Krzysztof, jak pamiętałeś, że to tu się dzieje?
1743:  Pamiętałem, bo to trauma.
1746:  podcierać się obliczem jamiczym, to że to elezja.
1748:  Swoją drogą tak.
1749:  Chociaż jeżeli ktoś bardzo szanuje swój odbyt, to wtedy nie.
1756:  No i widzicie, i teraz pytanie.
1757:  Będziecie się teraz zastanawiać, czy szanujecie swojego czy nie.
1761:  Ciężka sprawa.
1763:  Chyba, że jest proktolog na czacie, to wtedy wiadomo.
1769:  O Jezus Maria, na nich się farmiło manę, ale wiecie co, ja mam manę.
1782:  Au!
1787:  Okej.
1788:  Skoczne pająki, obrzydliwe, paskudne.
1791:  Nie istnij.
1795:  Dobrze.
1796:  Zabić.
1799:  O Boże, tak, to jest to!
1801:  Nienawidzę tej... Nienawidzę tej sekwencji!
1806:  Oni mają nieuczciwą przewagę!
1809:  Właśnie!
1810:  W postaci tego!
1834:  To nie jest samonaprowadzające, w ogóle nie, absolutnie.
1842:  Może go rozwalą.
1845:  Te moje żyjątka ładne.
1847:  Które nie są ładnymi żyjątkami, bo to tak naprawdę są pająki, fu.
1855:  Okej.
1866:  Dobra.
1867:  Ło!
1873:  Udało się psim swendem!
1884:  O Boże, to jest to.
1886:  Nie, nie znoszę.
1908:  Come on!
1911:  Nie, strasznie mnie dekoncentrują te moskity cholerne.
1916:  Tak, muszę się znowu nauczyć z niej walczyć.
1919:  Okropny egzamin dzisiejszej historii kultury, pisze Czesław.
1921:  Taki typ wyczytywał obecność na początku 120 osób.
1924:  Psa kretyn.
1925:  Na scenie przez brak sensowny miejsc usiadłem w ostatnim rzędzie.
1927:  Gość można uznać, że nie podał zagadnień, powiedział wszystkie wykłady i slajdy.
1930:  Przyszedł się do mnie jak dziecko w postawce do pierwszego rzędu, gdzie nie dało się ściągać.
1933:  Bez ściągania dało się napisać także nieskonsumowany test.
1935:  Oczywiście, że test.
1937:  Jak zdałem, będę szczekać jak jamnik.
1940:  Nie szanuję strasznie czegoś takiego.
1941:  W ogóle sprawdzanie obecności na studiach, jak nisko trzeba upaść.
1946:  Dobra, sprawdźmy... Memory nie wysłała nam tego linka, ja wiedziałem, że tak będzie.
1951:  Klaustrofonicznie.
1955:  Mhm.
1957:  Biorąc pod uwagę jakość... Biorąc pod uwagę jakość wyszukiwania, która jest w tej chwili na YouTubie, to możemy uznać, że Memory ułatwiła nam zajęcie.
1966:  Otóż ja tylko pokażę... Ja tylko pokażę, co się wyświetliło.
1970:  W związku z powyższym, póki nie będę mieć linka, nie ma szans.
1974:  klaustrofobicznie nawiasem, a czyli to jest to.
1979:  Czyli to jest to.
1982:  No to dobrze!
1983:  Czyli się wyświetla jako pierwsze, to bardzo dobrze w takim razie.
1987:  Wrzucam link, moi drodzy.
1988:  Mamy kolejny przypadek, kiedy jest czatowe dzieło.
1993:  To już kolejny przypadek, kiedy jest czatowe dzieło po książce Vesper, którą świętowaliśmy czas jakiś temu.
2002:  Czyli działa dobrze.
2005:  Algorytm nie działa.
2007:  To jest tak zwany wyjątek, który potwierdza regułę.
2012:  Nie możemy posłuchać właśnie, bo dystrybutor, Dominiko.
2018:  Dramat absolutny.
2020:  Jaki był parametr do wyszukiwania do adresu Google, żeby była normalna wyszukiwania, a nie wspomniane... WSPOMAGANE AIM GÓWNO.
2027:  Dużo pytań, Taraelu, w jednym, ale generalnie są takie zaawansowane operatory wyszukiwania.
2035:  Wyszukiwania.
2036:  Czemu ja mam Caps Locka włączonego?
2039:  I operatory wyszukiwania zaawansowanego macie tutaj wszystkie.
2043:  Bardzo polecam.
2044:  Nie wiem dlaczego z tego się nie korzysta, ale jest ich sporo, jak widzicie.
2048:  W zależności od tego, czego potrzebujemy.
2050:  I tak tutaj nie są wszystkie, tak nawiasem mówiąc, wymienione.
2053:  Wystarczy wpisać zaawansowane operatory wyszukiwania i to wam znajdzie.
2058:  Za każdym razem muszę to zrobić, co doprowadza mnie do absolutnego szału.
2062:  Następna inwestycja do wieży to będzie prywatny jomnibus z szoferem, który będzie zabierał cię na konwenty.
2067:  Musiałbyś... Nie, to byłaby raczej... Nie, nie, nie, nie, nie, nie.
