🔴 Ścieżka bólu bez nadziei | HOLLOW KNIGHT Livestream #12
🔗 https://www.youtube.com/watch?v=Ti3O49kJYAY

28:  O nie...
529:  i Zuza, i Marcia, i Sara Gawrońska, Artur Motyka, Ania Rzymańska, Ennea Gramor,
539:  Ja wiem, moi drodzy, że jesteście bardzo rozczarowani faktem, że tutaj nie siedzi Bartosz Filip Malinowski z kanału Bez Schematu i Bez Życia.
550:  Polecam kanał Bez Schematu i Bez Życia, ale ten rzecz sam.
567:  Bartosz Filip Malinowski będzie prawdopodobnie i trzymajmy za to kciuki.
571:  Trzymajmy intensywnie kciuki streamowo w tym tygodniu z nowego studia swojego.
575:  Mam nadzieję, że się wszystko powiedzie.
577:  Trzymajcie kciuki za Filipa, a dzisiaj przechodzimy do trzymania kciuków za naszego wspaniałego jamniczego wojownika, który jest tak naprawdę niuchaczem z kryzysem tożsamości, bo nie wie, nie wie czy jest jamnikiem, czy też jest niuchaczem, czy po prostu jest małym rycerzem, który nie umie skakać.
598:  Tak będzie, moi drodzy, no co mam powiedzieć, co mam powiedzieć, tak będzie.
603:  Na razie jeszcze będziemy słuchać muzyki z Path of Pain, na razie, ale potem się przełączymy na jamniczy swing.
612:  Co się stało z czołem?
613:  To samo, co zawsze, Pinki, opanowywałem świat.
621:  Czym jest Pedro, Pedro z Raccoonem, Lucyfer?
623:  Ja nic nie włączam.
624:  Ostatnio dostałem demonetyzację za to, że włączyłem trailer, na który ktoś mnie namawiał podczas live'u o fantastyce.
629:  Jest skandal absolutny.
631:  Michał Pęksa jest Janem Nikołajem, tak swoją drogą.
634:  A więc... Niuch!
637:  Graphic Witch otrzymuje stałe obywatelczyni streamów, wsparcie, wspaniałe wiadomości.
641:  Łajtki dzięki za wsparcie od 13 miesięcy, czy oglądam Eurowizję?
643:  Jak zawsze ją zignorowałem.
645:  Diabło Tasmania wysyła mnóstwo.
647:  Kanguro z czórniczej mocy, by poszło jak najgładziej.
649:  Dziękuję Taraelu najserdeczniej.
652:  Dobra, lecimy z tematem.
657:  Swoją drogą, odkryłem jedną rzecz, która mnie bardzo zdenerwowała, a mianowicie odkryłem, w jakich okolicznościach nasz bohater się odbija, a w jakich okolicznościach się nie odbija od ścian.
667:  Jest to bardzo irytujące.
669:  To znaczy, bywa tak, że nasz bohater po prostu nigdy się nie odbija od ściany, ponieważ tak decyduje kapryśny algorytm.
676:  Dobra.
681:  Oczywiście.
683:  Zobaczymy, ile będę musiał ćwiczyć tę początkową sekwencję.
687:  Bardzo długo będę musiał ją ćwiczyć.
691:  Nie ma czasu, Dwemer, ze Skymi na ćwiczenia off-stream, niestety.
694:  To by szło znacznie sprawniej i lepiej, gdyby nie fakt, że sobie muszę wszystko przypomnieć od zera.
698:  No taki ból, moi drodzy, no co nam poradzić?
702:  Dwie prace nie wybaczają.
705:  I jeszcze do tego wszystkiego mamy teraz sesję wcześniejszą dla niektórych i nie jest ciężko, naprawdę jest ciężko na AG teraz.
715:  Samorząd studencki prawdziwie to przewalczył, że wcześniej się rok akademicki kończył dla osób, które... O, jest dobrze.
722:  No fuck, nie w tę stronę!
724:  Dla osób, które zdają prace licencjackie, żeby mogły się rekretować na drugi stopień.
730:  Czy będzie z Teams do związywania dzisiejszej matury z matmy?
732:  Cheris, ja nie pisałem matury z matematyki i przypominam również, że matury z języka polskiego, z którego mam dyplom doktorski, technicznie, rzecz ujmując, blizny teatru rodzinawstwa, miałem 23%.
744:  Naprawdę uważacie, że z przedmiotu, na którym się kompletnie nie znam, miałbym więcej?
750:  Problem polega na tym, że system testów jest zły z definicji.
754:  W związku z powyższym, nieważne co to będzie, jeżeli ktoś by zrobił test z mojej własnej publikacji o światotwórstwie, ba, z mojego własnego przedmiotu, to ja bym ten test oblał.
764:  Wystarczyłoby mi podać wszystkie pytania w takiej kretyńskiej formule, szlag mnie trafi z tym!
770:  Tak swoją drogą...
772:  Zobaczycie, to jeszcze wiele razy.
774:  Bywa, że nie odbija się on od ściany i wtedy zużywa mi na ścianie podwójny skok.
779:  Było to już ostatnio.
781:  I doprowadza mnie do absolutnego szału!
785:  Wspaniały stream od PZF Akcjonizmy, bardzo się cieszę, że się wam podobał, moi drodzy.
790:  Więc jeżeli chodzi o maturę z polskiego, to bardzo możliwe, że zajmę stanowisko, jak zawsze.
794:  To znaczy powiem, że wszystkie pytania są do dupy.
797:  Przeglądałem ją swoją drogą, ponieważ miałem audycję radiową w Radiu Kraków i prosili mnie, żebym się wypowiedział na temat matury.
803:  Przyjrzałem się jej i matura z języka polskiego w 2024 roku wyglądała dokładnie tak samo jak matura, której nie zdałem w 2006 czy 2007.
811:  Już nie pamiętam, kiedy to było nawet.
813:  Nie, nie w ten sposób, nie w ten sposób.
815:  Skok, dasz i wtedy.
819:  Och.
825:  A, overlay z klawiaturu, zapomniałem.
832:  O Boże, jak to się nazywa?
838:  O Boże, jak to się nazywa?
840:  Czemu ja nie mam tego programu przypiętego?
842:  On ma kretyńską nazwę.
846:  On się nazywa Nohbord.
850:  Bardzo, bardzo logiczne.
854:  Dobra, jest input, jest input.
858:  Matura tak kiepska, że ktoś nie umiał się powstrzymać, aż swoim PESELem wrzucił fotki do internetu dla bek.
862:  Ja tak, tak, słyszałem o tym.
867:  Chciałem Path of Pain bez Pain.
868:  Chciałem, żeby sterowanie było niezawodne, wiecie?
871:  To bym bardzo chciał.
872:  O. I wtedy mój ból byłby mniejszy.
877:  Dobrze.
878:  Już sobie przypominam, już sobie przypominam.
880:  Już sobie przypominam.
884:  Fuck.
885:  I oczywiście nie można się uratować, ponieważ pół sekundki za wcześnie, pół sekundki musi, pół sekundki musi dłużej robaczywe ścierwo się regenerować, żeby nie można było się odbić drugi raz.
897:  Czasami się nie odbija od ściany jak za wcześnie naciśnięcie klawiski rąkowej.
900:  Nieprawda.
901:  Czasami się nie odbija od ściany wtedy, kiedy się nie przyczepi do niej.
904:  Kropka.
906:  Wtedy się nie odbija.
906:  Teraz zostaliśmy teleportowani do góry.
913:  Dobrze.
920:  O... Raz, dwa, trzy, dobrze.
926:  Dobrze, dobrze!
929:  Dobrze, dobrze, dobrze, dobrze, dobrze, dobrze.
933:  Tylko tam na początku jest z tym problem, co ciekawe, z tą ścianą, potem już go nie ma.
938:  Fuck, zapomniałem, co tu zrobić.
940:  Tutaj trzeba... Tutaj trzeba podskoczyć i później daszować.
949:  O!
950:  O!
950:  To kocham, to kocham!
953:  Zużyje mi za wcześnie podskok i potem nie można go użyć we właściwym momencie.
960:  Oj, dajcie spokój.
964:  O!
966:  Za nisko.
972:  Czar Mikołaj III, dzięki za wsparcie od 10 miesięcy.
973:  Czy oglądam Tales of the Empire?
975:  Nie.
975:  Ignoruję wszystko, co Gwiezdno Wojenne na razie.
977:  W przyszłym miesiącu zapowiadam bycie Mikołajem.
980:  Dziękuję kazarkom magu piekielno-jemniczego ognia.
983:  32 miesiące wsparcia to potężna sprawa.
985:  Ignoruję, moi drodzy, wszystko, co Gwiezdno Wojenne.
988:  Zdenerwowałem się.
989:  Kathleen Kennedy działa mi tak na nerwy, że nie zamierzam oglądać nic ze stajni Gwiezdno Wojennej.
993:  Zero moich pieniędzy zobaczą.
1001:  Jak najbardziej denerwujące jest to, że za każdym razem, kiedy tutaj spadam, czuję, że zeruje mi się progres kompletnie.
1006:  I faktycznie tak się dzieje.
1012:  Dobra.
1013:  MagdaM1 pisze, że chmurowy egzamin z hiszpańskiego powodzenia życzymy.
1021:  No przecież szlak mnie jasny trafi z tym!
1026:  Tej zowej empa, jakby mi się spodobało?
1028:  Nie wierzę.
1029:  Przypominam, że Tales of the Jedi skrytykowałem, ponieważ i tak to jest niekanoniczne, więc nie ma żadnego znaczenia.
1041:  Powiedziałem na streamie o perfekcji, że przeczytałem w życiu kilkanaście do kilkudziesięciu tysięcy książek i podtrzymuję to zdanie.
1045:  Na samych studiach przeczytałem parę tysięcy.
1047:  Szemutko dziękuję za wsbycie.
1049:  Ja Mikołajką, Nadia Lewi otrzymuję wsparcie.
1051:  Arosławek i Ania7 oraz Edziu.
1054:  Edziu, przepraszam.
1055:  Winter2077.
1055:  Niuch!
1058:  Ja miałem na studiach na jednym roku 370 książek.
1062:  Wiem to dlatego, że obliczyliśmy, że nie jesteśmy w stanie przeczytać i jeżeli nie będziemy czytać, więcej niż jednej dziennie.
1071:  Nie jest specjalnie trudne.
1073:  W bibliotece domowej z około 6 tysięcy przeczytałem większość.
1080:  Potem jeszcze wszystkie wypożyczone, to się szybko osumuje.
1083:  Dobra.
1084:  Jest, jest, jest, jest, dobrze, dobrze, dobrze, dobrze.
1089:  Fuck, zapomniałem, że on tutaj do samego końca... To jest problem właśnie, ja nie pamiętam tego wszystkiego, co odkryłem w zeszłym tygodniu i to mnie strasznie złości.
1103:  Ania7 cieszy się, że to pierwsze wsparcie w prezencie.
1106:  Proszę bardzo.
1109:  Okazało się, że mimo przedłużonego czasu nie mogłam dłużej pisać matury za matmy, bo ktoś popełnił błąd robiąc listy i wyznanie mnie przez przypadek.
1114:  Zuzek, odwołaj się.
1116:  Bezwzględnie się odwołaj.
1118:  Można się zawsze odwołać od tego rodzaju rzeczy, że to jest błąd regulaminowy.
1121:  Oni nie mają prawa nie uwzględnić twojego odwołania.
1123:  Widzicie, jak się nie przyczepił?
1124:  Piękne, piękne.
1125:  Wspaniałe, wspaniałe.
1127:  Czy tragedia jest bronienie pracy we wrześniu?
1129:  Nie.
1131:  Sam wysłałem dwie osoby na wrzesień, mówiąc całkowicie rzeczowo u mnie na seminarium, że po prostu nie jesteśmy w stanie się wyrobić czasowo.
1141:  To jest normalna rzecz.
1142:  Tylko pamiętajcie, że bronienie pracy we wrześniu bardzo często oznacza, że to jest pierwszy tydzień września i strasznie jest ciężko wtedy się wyrobić z grafikiem.
1152:  Fuck.
1152:  Nie mogę po prostu.
1154:  Teraz byłem na dobrej wysokości, ale za mało czekałem.
1160:  Świętosław Prozak.
1161:  Dzięki za wsparcie o 13 miesięcy.
1162:  Kończę z kolana z potrzebą jakiejś rekomendacji.
1163:  Zapraszam na live o fantastyce, który będziemy mieli za półtora miesiąca.
1167:  I będziemy o tym autentycznie mówić, bo będzie akurat o fantazy.
1173:  Ja ci mogę na szybko polecić Czarodziejów Lwa Grossmana.
1177:  Bo w tym stylu.
1183:  Dobra.
1186:  Tak, jak to się szybko robi, to jest łatwiej.
1192:  Fuck!
1195:  To jest tak złośliwie wymierzone, to jest tak, tak drażni mnie coś takiego.
1200:  Jeżeli trudność jest złośliwością, to jest strasznie irytujące.
1206:  Tysiąc razy już przeszedłem ten etap, tysiąc razy udowodniłem sobie, że potrafię to zrobić.
1211:  Natomiast złośliwość umiejscowiania tych miejsc, że to wszystko jest na milimetry wyliczone, doprowadza mnie do krańcowego szaleństwa.
1220:  Ooo...
1226:  Dobra, jest.
1228:  Strasznie trudne, strasznie trudne.
1234:  Nie ods... Co fantastyki, będzie co miesiąc UHAC, natomiast 1 maja był wyjątkowo.
1249:  Poza tym i tak nie masz szans, żebym w trakcie sesji robił tego rodzaju rzeczy, moi drodzy.
1255:  W ogóle będzie dobrze, jeżeli będziemy mieli ten sam grafik streamów utrzymany.
1259:  Bo sesja ciężka w tym roku, się zapowiada.
1267:  Zużyte skrzydełka przy ścianie, oczywiście!
1271:  Oczywiście, że tak!
1272:  Oczywiście!
1279:  Masakra, moi drodzy.
1285:  Ma-sa-kra.
1291:  Czemu tu nie może być checkpointu?
1293:  Czemu?
1293:  Ja się nie mogę uczyć w ten sposób tej sekwencji, która jest dla mnie w tym momencie nieznana.
1305:  Dobrze!
1308:  Udało się, dałem!
1311:  Stop!
1312:  Stop!
1313:  Co jest dalej?
1314:  Co jest dalej?
1316:  Co jest... A, to jest dalej, okej, okej, okej, okej, okej, okej, da się!
1322:  Jezus Maria, teraz tak, żeby to wyszło, teraz żeby to wyszło.
1329:  Dobra, dobra, dobra, co tam jest na dole, co tam jest na dole, co tam jest na dole?
1332:  Mam w razie czego podwójny skok, mam podwójny skok, tak?
1336:  Więc czekajcie, teraz tak, to idzie do góry... Ha!
1354:  ***!
1354:  Czy musi tam być tak wąsko? !
1360:  Czy musi tam być tak wąsko?
1362:  Tak, pogo przypilę, tylko że równocześnie są kolce!
1370:  Wiem, że to jest tuż przy końcowym tym... Ooo!
1374:  Teraz będzie moje ukochane.
1380:  Nie!
1380:  Dobra, zginie.
1385:  No to już się nie powtórzy, moi drodzy.
1388:  To już się nie powtórzy ani razu, mówię wam.
1390:  O, teraz będzie się działo to standardowo.
1393:  Właśnie dlatego checkpointy w grach są ważne.
1396:  Zawsze będę to powtarzał.
1397:  Dajcie graczom możliwość zapisu.
1400:  Nie każdy ma możliwość grania non-stop do k*** wynędzy.
1403:  Nie każdy ma możliwość poświęcenia ośmiu godzin.
1406:  Ja w tym momencie nie mówię, zauważcie, w imieniu swoim.
1410:  Mówię w imieniu wszystkich ludzi, którzy chcieliby sobie na spokojnie w ten segment zagrać,
1414:  Mieć wyzwanie fajne, ale nie mogło, bo jakiś debil stwierdził, że to się zapisuje tylko jeden raz.
1419:  Doprowadza mnie to do szału.
1423:  W zasadzie tylko to powoduje, że ja się tym Path of Pain stresuję, bo normalnie bym do tego podchodził całkowicie na lajcie.
1433:  Dobra, jest, jest, drugi raz.
1435:  Dobra i teraz tak.
1437:  Skok.
1440:  Na spokojnie.
1443:  No oczywiście.
1444:  I teraz musiał mnie pchnąć w bok.
1447:  Naturalnie, naturalnie, naturalnie.
1458:  Więc ja przy ograniczeniu czasowym, moim, nie wiem czy będę w stanie do dzisiaj zrobić w całości.
1468:  To nie jest sadyzm.
1470:  To jest brak pomyślunku.
1483:  Dobra.
1486:  Fuck!
1487:  Zapomniałem o... ...ataku w dół.
1495:  Aaa...
1500:  Ja by cofał do jakiegoś checkpointu bez opcji uzupełnienia mania, nie na początek, ale no cokolwiek, no by cokolwiek, cokolwiek, cokolwiek.
1507:  Przede wszystkim, nie wiem czy wiecie, bo ja nie o tym mówię, nie mówię w tym momencie o checkpointzie, mówię o tym, że jeżeli ja bym wyłączył grę, po osiągnięciu nawet drugiego etapu, to cofa do ławki.
1518:  Dzisiaj jak włączałem Hollow Knighta, to cofnęło do ławki.
1521:  Dlatego to jest debilizm kompletny.
1526:  Na razie bez electroswinga, potem jak będzie desperacja, wjedzie Bayon Bartek.
1533:  Za wcześnie, za wcześnie.
1538:  Więc tutaj, jeżeli chodzi o checkpointy, to by trzeba było przeprojektować pierwszą komnatę, za czym też jestem swoją drogą i uważam, że przed tą drugą sekwencją powinien być checkpoint.
1555:  Jesus Christ, od czego są mody?
1556:  Nie ma niestety takiego modu.
1560:  Path of Pain ma zapotrzebowanie na jeden mod.
1564:  To znaczy mod, który sprawia, że jak ja doskakuję do ściany, to po niej nie zjeżdżam.
1567:  Koniec, nie ma takiego moda, sprawdziłem.
1574:  Teraz znowu nie będę umiał się... Dobrze, jest.
1584:  No i teraz już wjeżdża stres.
1588:  No właśnie.
1591:  Jest na customową ławkę.
1596:  Ale tutaj nie jest kwestia, naprawdę, wewnątrz Path of Pain?
1601:  Teraz widzicie, co jest najzabawniejsze?
1602:  Ja w tym momencie zapominam, co jest dalej.
1605:  Totalnie.
1606:  Nie wiem, co tam mam zrobić.
1608:  Ponieważ znowu muszę robić rzeczy, które robiłem w zeszłym tygodniu.
1616:  Oryginalna muzyka jest przepiękna.
1618:  W ogóle polecam wam cały album Christophera Larkina, bo jest przepiękny.
1623:  Dobra, jest, jest, jest, jest, jest.
1630:  I za nisko.
1633:  To ja teraz tam będę usiłował już wlecieć w takim razie.
1635:  Nie bawię się w podskakiwanie do góry.
1640:  Tylko, bo to naprawdę oszczędziło nam paru godzin co najmniej.
1644:  Nie można ustawić Dreamgate'u Andriowa Stora z tego względu, że jesteśmy w świecie snów.
1649:  Przypominam, że to dlatego się pojawiają na ekranie te ultra denerwujące artefakty, które nawiasem mówiąc są totalnym błędem designerskim z tego względu, że nie można ich wyłączyć, a osoby, które są wrażliwe na efekty stroboskopowe mogą dostać tutaj kiksum.
1663:  Więc ostrzegam, jeżeli macie coś takiego.
1665:  Ja na szczęście nie mam, ale znam osoby, które są wrażliwe na takie błyski, które macie w tej chwili na przykład.
1671:  O, ja chociażby przez to czasem nie widzę nic.
1676:  A nie jestem wrażliwy na takie efekty, więc cóż dopiero, gdyby ktoś był?
1681:  Powinno się dodać wyłączyć.
1690:  Dobra.
1693:  No to trzeba Aniwastora w całości, całe Path of Pain na jedno posiedzenie wziąć.
1699:  Jak dobrobłunie.
1709:  To jest to, czego nienawidzę.
1711:  Dlaczego on odrzuca nas w bok?
1713:  To nie ma żadnego sensu.
1717:  To nie ma absolutnie żadnego sensu.
1724:  Lecimy.
1730:  Wiesz co, nie masz co się wyśmiać, tylko sobie śnię z małego procenta graczy, które jest wrażliwe na efekty stroboskopowe, bo w grach wideo to jest standard i włączasz na samym początku, jak sobie włączysz dowolną grę AAA, to będziesz mieć taką informację, ponieważ się mogą pozwy posypać, więc to, że to jest gra indie niczego nie tłumacza absolutnie.
1746:  Standardy są standardami.
1747:  Już wystarczy mi, że gamedev nie przestrzega żadnych standardów, w ogóle.
1752:  Żadnych standardów UX-owych, żadnych standardów UI-owych, w odróżnieniu od twórców aplikacji.
1757:  Niech przynajmniej przestrzegają, o oczywiście nie mogłem, niech przynajmniej przestrzegają tego, żeby, nie wiem, chronić ludzi i dawać im różne opcje wyłączania badziewia graficznego, które jest na ekranie.
1769:  Bo to jest badziew graficzny, to jest brzydkie i paskudne.
1775:  Czemu gra jest wyciszona?
1776:  Gra nie jest wyciszona, tylko włączamy sobie inną muzykę, bo inaczej zwariujemy wszyscy.
1783:  Hmm... Jesus Christ, po prostu.
1790:  Ale wiesz, Arturze, że ja nie mam możliwości włączania muzyki, niestety.
1793:  To nie jest Twitch.
1794:  Mogę włączać tylko te, które mam licencjonowaną.
1797:  No i się zaczyna.
1798:  Nie, to jest tutaj...
1802:  No nie ma tego ostrzeżenia Turkusowi, jeśli nie na początku gry, niestety nie ma.
1806:  Ja sobie w ogóle muszę wszystko przyciszyć, bo inaczej oszaleję.
1813:  A nie no, po prostu, po prostu wyłączyć, nie?
1815:  By... Tyle.
1817:  Wyłączyć flary.
1819:  I koniec problemu.
1823:  Zwłaszcza, że to jest w tle ta flara.
1828:  Dobra, jest, jest, jest, jest, jest.
1830:  Jesteśmy blisko ćwiczenia.
1836:  No i ty idziesz dobrze.
1839:  O Boże, naprawdę.
1844:  Robaczek odrzuca cię w bok, jeżeli nie zrobisz pokonanego uderzenia.
1846:  Wiem, ale to mnie denerwuje od samego początku, bo jest nieuzasadnione niczym, bez sensu.
1851:  Żaden przeciwnik nas tak nie odrzucał daleko.
1854:  A Contact Damage gdzie jest przecież, nie?
1856:  Contact Damage polega na tym, że po prostu kamera się trzęsła i traciliśmy jedną tarczę.
1860:  Nie wiem dlaczego tutaj musi być inaczej akurat, nie mam zielonego pojęcia.
1864:  Znaczy mam.
1870:  To nie jest światło wokół Hollow Knighta, to są flary.
1872:  W tym momencie macie to na ekranie.
1875:  Hollow Knight jest na dole, a tutaj na górze się pojawia dosłownie w innym miejscu w tle białe cholerstwo jakieś paskudne.
1888:  Ona się zawsze pojawiała, jak jesteśmy w świecie snu, tylko że ponieważ to jest biały pałac, no to... no to są białe.
1902:  No idę i teraz idę tam.
1905:  Mnie drażni proces docierania tam.
1907:  Za bardzo mnie drażni, żebym był w stanie się tam skupić.
1920:  No i ja, wiesz, to jest... Przynajmniej to idzie szybko.
1931:  Względnie.
1933:  No, względnie.
1935:  To nie jest ważne, Aniowa, stara się, że jest lepiej niż ostatnia, bo to, że będę szybko robił tę sekwencję, nic nie zmienia, po prostu powinien tu być checkpoint, no i tyle.
1946:  Oszczędność czasu.
1948:  Już i tak, biorąc pod uwagę, że jest ta zjebana mechanika, że nas wyrzuca całkowicie w momencie, w którym wyłączymy grę, to już by dali tutaj... Checkpoint!
1957:  Do cholery!
1958:  I dlaczego ja się nie mogę uratować z takiej sytuacji?!
1963:  O Boże drogi... Nie próbuj dołem?
1967:  Absolutnie będę próbował kapołankować mym dołem.
1969:  Nie zamierzam zrobić górą.
1971:  Ani razu mi to nie wyszło.
1972:  A tutaj mi już wyszło, przypominam, raz.
1976:  A tam mi nie wyszło ani razu, a próbowałem ostatnio 4 godziny.
1983:  Nie, nie powiedziałem, że chciałem robić, że tak pamiętam, co 3 skoki, wskazałem precyzyjnie miejsce, w którym on powinien tutaj być.
1991:  Fuck!
1992:  Mmm!
2002:  Aś, to jest to, to jest to, że jeżeli człowiek popełni błąd i chce wyjść jakoś z tego błędu, nie jest w stanie.
2013:  Rafałka pisze, żeby porzucał tę grę, ale myśmy już skończyli, to jest ostatnie wyzwanie, które tutaj zostało.
2017:  Ja nie zamierzam walczyć z Radiance, bo jak zobaczyłem, że ona zadaje dwa obrażenia i że wszystko będzie polegało na tym, że po prostu walka za każdym razem będzie się zaczynała bez dusz, tak jak wszystkie walki w snach, to mi się zrobiło niedobrze na samą myśl.
2035:  Shake'u Truskawkowe, akurat rzeczy, które są problematyczne w grze, tutaj po prostu kulminują.
2040:  W mojej ocenie, od samego początku, zjeżdżanie po ścianie jest debilizmem.
2045:  I to utrzymuje przez całą grę.
2046:  Niezależnie od tego, na jakim etapie jesteśmy, to jest idiotyczne.
2050:  Po prostu w Path of Pain jest to wyjątkowo borderlessne, z tego względu, że przez to zjeżdżanie po ścianie, failuje się proste sekwencje.
2059:  Zod został pokonany.
2061:  A NKG to... Aha, Nightmare King Green.
2064:  Grim już był.
2067:  Nie wiem, czy mam ochotę walczyć z tą samą wersją, tylko taką, która jak znam życie... Czekajcie, zgadnę.
2072:  Grim zadaje dwie tarcze obrażeń, jak znam życie, czy dwie maski, na 1000% zadaje dwie maski i będzie miał wszystkiego dwa razy więcej, to znaczy dwa razy więcej rybek, które wypuszcza, dwa razy więcej flar, wszystkiego dwa razy więcej.
2085:  No jaki to jest sens?
2086:  Jeżeli to byłyby inne mechaniki, to spoko, ale tak?
2090:  Czuję małą motywację.
2097:  Ostatnią walkę w Colosseum bym chciał zrobić, o to tak.
2104:  Dobrze, dobrze.
2114:  A, jeszcze szybciej pisze Ania się, no tak, no to nie, to po prostu nie.
2117:  Dla mnie walka z grillem była za szybka już wyjściowo i nie chcę jej więcej przeżywać.
2123:  Jeżeli ma być, jeżeli po prostu zostało, to jest to reskin walki, to nie.
2128:  Możesz sobie zobaczyć natomiast, jak wygląda przynajmniej raz.
2136:  No tylko tu jestem uwięziony, nie?
2138:  Muszę robić pawel, aż skończę.
2139:  Hehehehe.
2151:  Jest.
2152:  Pan Fiony będzie robił?
2153:  Nie.
2154:  Jak się dowiedziałem, na czym polegają pan Fiony, to znaczy... Wszystkie walki z bossami razem!
2159:  No hit!
2160:  To jest wezwanie speedrunerskie, e-sportowe.
2163:  Ja nie robię e-sportu.
2171:  O, Krzysztof, kurą!
2173:  Kurą, rób kurą!
2175:  Tam górą, górą udało ci się aż zero razy, a dołem udało ci się dwa.
2183:  Rób górą.
2185:  Dobra, na spokojnie.
2187:  Na spokojnie, na spokojnie, na spokojnie.
2195:  Dobra.
2203:  Kurwa mać, udało się!
2205:  Nie wierzę!
2207:  Nie wierzę!
2212:  Nie wierzę!
2214:  Jest!
2215:  Jeeest!
2217:  Jest mój checkpoint!
2219:  Jest, jest, jest, jest, jest!
2223:  Nie, nie, nie, nie ta muzyka!
2226:  Nie ta muzyka!
2258:  Dziękuję!
2293:  Boże, udało się!
2295:  Udało się!
2297:  Udało się!
2298:  Dobrzy ludzie, udało się!
2300:  No przecież jakim cudem!
2301:  Jakim cudem!
2303:  Jamniczy Swing pomaga!
2306:  Jamniczy Swing pomaga!
2308:  Dziękuję, Szelmutko, za podwójny, strasznie hojny trybut!
2312:  Och!
2314:  Bogowie!
2317:  Och!
2319:  Och!
2321:  A teraz pozostałe 700...
2322:  ILE?!
2324:  Młotko, dzięki za wsparcie od 15 miesięcy!
2327:  Udało się, tak!
2332:  Dajcie spokój... Nie idź dołem!
2336:  Dokładnie, nie?
2339:  Teraz krasz dy... Nie, nie, nie, nie, żaden krasz!
2341:  Żaden krasz!
2343:  Dziękuję Wieszczu Pink za wsparcie od 20 miesięcy, na jego tłustość udało się!
2348:  Ooo...
2350:  Teraz komp 24 na 7.
2352:  No dokładnie, Adamie, ja go nie wyłączam.
2354:  Ale wiecie, co jest najgorsze?
2358:  Jezus, ja teraz sobie to uświadomiłem.
2362:  Jutro mam wymieniany płyn w chłodzeniu wodnym.
2370:  Jezus Maria.
2373:  Jezus Maria!
2375:  Będę musiał wyłączyć... Musimy to dzisiaj zrobić!
2378:  Siedzimy do oporu!
2383:  Miriam Kadzinski, zespół od siedmiu miesięcy.
2386:  Chwalę się kolokwialnym dopuszczeniem do egzaminu z Danek.
2388:  Bardzo dobrze, Gnołan!
2389:  Gratulacje serdeczne!
2391:  Mieliście kamienną minę przy tych piłach?
2393:  Dajcie spokój, ja nawet nie wiem, ile ich tam było!
2401:  Spokój.
2403:  Dobra, swing wyłączamy na razie.
2406:  Bo tu będzie chyba nowy fragment utworu, nie?
2411:  O, tak.
2413:  Co teraz?
2414:  Co teraz?
2414:  Co teraz?
2423:  Dobrze, że tu jest checkpoint.
2424:  Dobrze, że tu jest checkpoint.
2426:  Wiem, co trzeba zrobić.
2430:  O!
2436:  Trochę niżej.
2440:  Tutaj.
2441:  Tutaj!
2441:  Tutaj!
2443:  Dobrze!
2444:  Moi drodzy, to wyszło mi fuksem.
2445:  Umówmy się.
2461:  Nie, ale uważam naprawdę, że jest łatwiejszy, bo tam wystarczy tylko zrobić... Tam zależymy tylko od siebie, a w innym przypadku zależymy od trzech cholernych żuczków.
2472:  Okej.
2477:  To jest łatwe, tutaj trzeba się chyba na... Tak.
