Za Aiur! | STARCRAFT 2 Livestream #6
🔗 https://www.youtube.com/watch?v=37NWlyITPD8

51:  Wielkie dziękuję.
415:  Dobrze, Krzysztof nie ogarnął sobie podglądu na objęcie.
419:  Tak, to jest z Krzysztofem.
423:  Niebieskie powinny być.
424:  Ja wam dam niebieskie.
425:  Co tu jest?
426:  Co to jest za kolor?
428:  Zielony kolor.
429:  Zeratul jest zielony.
430:  Entaro, Zeratul!
432:  Jesteśmy po stronie Zeratula, moi drodzy.
435:  Nerazimowie są zieleń.
436:  Proszę bardzo, Lucifer z Nalor.
440:  Dory się cieszy, że jest rzygający jamnik.
442:  Moi drodzy, tam rzygający jamnik.
445:  Jak jeszcze jesteśmy przy tym, to chciałem was poinformować, że Dominika kompletnie poszalała.
451:  Jak to zrobić, żebyście widzieli?
453:  Tak to zrobić, że będziecie widzieć.
454:  Dominika kompletnie poszalała i nie dość, że jest rzygający jamnik dla wspierających,
460:  to jeszcze do tego jest jamnik wspierający dla wspierających, drugi jamnik wspierający dla wspierających i jamnik powitalny.
469:  Dominika stwierdziła, że skoro ma ona swój autoportret, ja też powinienem mieć, więc dlatego ten jamnik ma słuchawki.
475:  Wszystko się zgadza, ale dobrze wiemy, który jamnik będzie nadużywany.
479:  Ja niestety zdaję sobie z tego w pełni sprawę.
483:  Ponieważ jak dobrze wiemy, to nie jest prawda, że kraby w grach, moi drodzy, rzygi w grach.
490:  Jak zniesiecie dwa odcinki Kwaśnych Pierścieni, ciężko.
493:  Teraz jeszcze czekam, aż Amazon łaskawie odblokuje zapis naszego streamu.
501:  Jamnik pląsa i ma wąsa, tak jest.
504:  Mam nadzieję, że cinematic najpiękniejszy w świecie odpala się, jak odpalamy Szeptyku Zagładzie, tak mi się wydaje.
511:  Więc dajemy nową kampanię, oczywiście na poziomie wysokim, bo bez przesady.
516:  Szeptyku Zagładzie.
518:  Nastała era wielkiego niepokoju.
521:  Mroczny bóg Amon odrodził się na nieznanym świecie, zwiastując zagładę wszelkiego życia w sektorze Koprulu.
529:  Przed powrotem do własnego ludu, by poddać się jego osądowi, Zeratul wyrusza w głąb galaktyki.
536:  Jego celem jest odnalezienie sposobu na powstrzymanie nadciągającego zagrożenia.
542:  W tej mrocznej godzinie szuka ostatnich fragmentów pradawnego proroctwa, które mogą kryć iskierkę nadziei.
551:  A ja tymczasem witam Kotlew w gronie Trybutariuszy.
556:  Bardzo dziękuję za wsparcie.
557:  Dobry zwyczaj, zajamniczaj.
561:  Czy teraz będzie cinematic?
563:  On jest piękny, przygotujcie się.
565:  Cinematicu jesteś piękny.
571:  Nie, nie będzie Cinematicu tutaj.
574:  Jak przepowiedziano, Amun, Mroczny Bóg, znów żyje.
580:  Jeśli istnieje jakakolwiek nadzieja dla naszej galaktyki, to spoczywa ona w rękach Xel'Naga.
590:  pozostaje już tylko jedna część proroctwa do spełnienia na świecie przed główną kampanią ok rozbłysnąć ma ostatnie światło jedna istota zna położenie tego miejsca stwór o imieniu samierdula przez steran znany jako
620:  W tym systemie kryje się dawno zapomniana placówka Mobiusa.
625:  Mam nadzieję, że wewnątrz odkryję tajemnicę narodu.
632:  Już wiemy, że Cathy Duran z House of Cards to też była naród.
637:  Zeatulu, to wielki zaszczyt.
640:  Jestem pretorka Talis i usłusznie proszę cię o pomoc.
644:  Nieznane siły porywają Templariuszy z naszych kolonii.
649:  Razem z moimi oddziałami wytropiłam oprawców w terrańskiej placówce, ale zostaliśmy zaatakowani przez Rui.
659:  Jestem w drodze, Talis.
665:  Niech Adun ma was w opiece do mojego przybycia.
668:  Dziękuję, Felipy, za trybut na konsolę PS5.
671:  A co tam?
671:  Zyrnaczo, dzięki za wsparcie w tym miesiącu.
673:  Musimy ich uwolnić, zanim Rui zdoła opanować... Zyrnaczo ma urodziny?
678:  Proszę o jamniki urodzinowe.
679:  Wiedziałam, że wyczułam twoją obecność.
682:  Przejdźmy do rzeczy.
683:  Co tutaj robisz?
685:  Znajdują się tutaj informacje, których szukam oraz moi pobratymcy.
691:  Zamierzam je zdobyć, a ich uwolnić z Rockterra.
695:  W tej czasówce Amon tworzy swoją armię hybryd.
697:  Mój rój wzrówna to miejsce z ziemią.
698:  Ale wiem, że to cię nie powstrzyma, więc powiem wprost.
709:  Nie wchodź nam w drogę, Zeratul.
716:  Nie obawiaj się, Talis.
718:  Nie zrezygnuję z walki.
720:  Jeśli będziemy działać szybko i mądrze, unikniemy roju.
725:  Dobrze.
726:  Przygotowałam nasz nexus na twoje przybycie.
733:  Czekajcie, tutaj jest dość szybka misja.
734:  Czy będzie jakaś dyskusja bez tematu o pierścieniach z Ratkiem?
737:  Prawdopodobnie będzie pod koniec sezonu, tak myślę.
740:  Zobaczymy zresztą.
742:  Dobra.
743:  Lecimy, moi kochani.
745:  Pojmani templariusze znajdują się niedaleko.
748:  Przygotujcie ostrza, wojownicy!
753:  Kerrigan wyśle Rui, by zniszczyć... Musimy uratować naszych obywatelców, zanim do tego dojdzie.
776:  Mroczny prałacie, aby dotrzeć do jeńców, będziemy musieli przeciąć drogę ataku roju.
783:  Ruszajcie dopiero, gdy droga będzie wolna.
785:  Okropność.
787:  Za wszelką cenę unikajcie zeru.
789:  Dobra, ściszamy grę, już nie powinno być więcej fabularnych rzeczy dla was.
796:  Kiedy kolejny materiał z Rysławem?
797:  O, nie wiem, moi drodzy, bo teraz już się wrzesień zrobił i zaczynam mieć coraz więcej pracy, więc jeszcze cztery streamy środowe to tak max, znaczy trzy i potem już wracamy do starego, dobrego, październikowego, wyjątkowego streamu środowego, moi drodzy.
818:  Witamy Sandy i wszystkich przybywających.
821:  Och, jak to miło zagrać se w spokojnego StarCraft.
823:  To będzie u Krzysztofa, który za chwilę zostanie zmuszony do wyciśnięcia największych APM-ów i to będzie straszne.
831:  Ja wiedziałem, że Julce się będzie podobała emoji rzygania.
836:  Niech się gromadzą.
839:  Tropiciel na pewno się jakiś przyda.
841:  Jeszcze jeden.
843:  Jeszcze nie, bramy.
844:  Katastrofa.
845:  Czy tutaj się... Nie, tu się jeszcze nie researchuje bramy.
849:  Dobrego treningu, Sebastianie.
851:  Siłą studentów na kampanię wrześniową, sześć obron magisterskich i dwie licencjackie.
855:  Natomiast z egzaminów nikt.
858:  U mnie bardzo rzadko się zdarza tak.
860:  Oczywiście, że zawsze potrzeba dodatkowych pelonów.
864:  U mnie do rzadkości należą jakiekolwiek terminy wrześniowe z egzaminów.
869:  Nie chcę przyzywać dodatkowych pelonów.
871:  You must construct additional pylons.
876:  Teraz gierka głośniej.
877:  Ja wiedziałem, że tak będzie.
879:  Ja wiedziałem, że tak będzie, moi drodzy.
883:  Dobra, przekształcamy w bramę.
885:  Będzie spokój święty.
890:  Dobrze!
893:  Nasza produkcja wraca do...
895:  właściwego poziomu.
897:  Tutaj się będzie działo nieprzyjemnie, to znaczy jest tutaj taki mały atak, na który trzeba być przygotowanym.
903:  Jakie wrażenia po Gamescomie?
904:  Nie śledziłem w ogóle, szczerze wam powiem.
907:  Za dużo się dzieje, żebym śledził jeszcze Gamescom.
912:  Czym się różni licencja tej inżynierki?
914:  Pyta Kotowizja.
915:  Nigdy się nie dowiedziałem.
916:  Już Ci tłumaczę.
918:  Inżynierka generalnie rzecz biorąc jest pracą krótszą, ale bardziej praktyczną.
923:  To znaczy zasadniczo powinno się w ramach pracy inżynierskiej zaprezentować jakieś rozwiązanie, które teoretycznie można wdrożyć, więc nie wiem, może być to jakiś kod, może być to jakieś rozwiązanie informatyczne, może być to...
936:  opis wdrożenia potencjalnego, jest bardzo dużo opcji różnych.
947:  Natomiast praca licencjacka generalnie jest zwykle pracą teoretyczną i przez to, że jest pracą teoretyczną,
955:  to zwykle oczekuje się po niej, że będzie dłuższa.
958:  Na przykład u mnie na uczelni jest tak, że praca licencjacka musi mieć przynajmniej 60 albo 70 stron, coś takiego.
969:  Osobiście uważam, że to jest znacznie za dużo.
971:  Osobiście uważam, że praca licencjacka czy praca inżynierska powinny zalecać się tym, że jest to po prostu i najzwyczajniej w świecie artykuł naukowy.
985:  I taki do opublikowania, wiecie, artykuł naukowy do opublikowania to jest 15 stron.
990:  Tylko że, wiecie, jest jedna zasada, to znaczy te 15 stron ma być zajebiście dobrze przygotowane.
995:  Znaczy, moim zdaniem lepiej jest pisać krótszy tekst, tak jak w przypadku inżynierek się dzieje, ale za to dobry, taki, który można opublikować i nie jest tak, że później człowiek kończy z pracą dyplomową, która jest do szuflady w zasadzie i nic się z nią nie dzieje.
1013:  Roche pisze, że wspomniał o utworze jamniczym.
1015:  W końcu jest na holistycznej twórczości.
1016:  O, dobrze wiedz, może sobie dzisiaj posłuchamy.
1018:  Tylko przypomnijcie mi później.
1021:  Stwórzmy sobie jeszcze parę bram, żeby móc szybko dostarczać nowe jednostki.
1028:  Bo tu już niestety... Tak, Kerrigan się panoszy.
1034:  To są tak wspaniałe jamniki, pisze Angelika.
1036:  To jest wszystko zasługa Dominiki, jamnikotwórczyni Klimczak.
1039:  Naprawdę.
1040:  Ja nie mam nic wspólnego.
1042:  Mój licencja miał 39 stron tekstu, te kilka stron to była tytułowa.
1045:  Na różnych uczelniach jest inaczej.
1047:  Wiecie, tak to jest, jeżeli ministerstwo nie rządzi, to znaczy każda uczelnia może sobie robić po swojemu, ale oczywiście to jest bardzo złe i należy standaryzować centralnie, tak żeby każda szkoła i każda uczelnia, bez względu na to, czego uczy, zawsze, ale to zawsze, musiała na przykład pisać na 74,5 strony.
1067:  Niezależnie od tego, czy jesteście geografem, biologiem, czy, nie wiem,
1072:  chirurgiem musicie absolutnie za każdym razem tak samo.
1076:  Tak wygląda matura, nie?
1078:  I nikt nie śmieje się z matur, ale śmieszne wydaje się coś takiego.
1084:  No otóż tak wyglądają matury.
1086:  Niewiastem mówiąc szykuję się do jakiegoś materiału na temat matur, bo to, co się dzieje w tych nowych założeniach, przynajmniej matury z polskiego, na której się znam i mogę mówić, jest kuriozalne.
1099:  To są tak wspaniałe pylony, pisze ta sunka.
1101:  Każdy pylon jest wspaniały, moi drodzy.
1103:  Zwłaszcza te, które są dodatkowe.
1106:  Dobrze, będziemy mieli całość.
1110:  Możemy wyruszać powolutku.
1113:  Teraz tak, tutaj jest dobrze mieć jednego próbnika, który będzie za nami podążał i konstruował mnóstwo pylonów.
1120:  Ponieważ dzięki temu będziemy w stanie szybko ekspediować dodatkowe wojska.
1127:  Nie?
1128:  Taki jest to chytry plan, moi drodzy.
1130:  Jeszcze trochę nie ufam tej obronie, którą tutaj mamy, więc zrobimy... troszeczkę... O tak!
1138:  Ciupineczkę więcej!
1141:  Mówiłem.
1144:  Mówiłem!
1148:  Tak, oglądałem te retrospekcje, bardzo sympatyczny film, dzięki za polecenie, ale nie będę go puszczał, bo nie ryzykuję, moi drodzy, już po tym copyright strike'u, który był amazonowy, bo on był poważnym copyright strike'iem, to znaczy nie jest tak, że zdemonetyzowali, tylko zrzucili film z kanału.
1163:  Coś takiego jeszcze mi się nigdy nie zdarzyło, co świadczy o tym, że Amazon faktycznie bardzo agresywnie sobie poczyna.
1168:  Nawiasem mówiąc, jest paru zagranicznych youtuberów, którzy sprawdzili, że były usuwane masowo oceny za IMDb, nie oceny takie, które są jeden,
1177:  tylko ceny, które są... hmm...
1181:  poprzedzone dłuższą recenzją na przykład.
1183:  I jest to przykład nadzwyczajnego wprost świństwa.
1187:  Jeszcze dodam od siebie to, że z jakiegoś dziwnego i tajemniczego powodu nie mówi się o tym, że jest review bombing, jak są same oceny bez recenzji 10, ale mówi się o review bombing w momencie, w którym oceny są 1.
1201:  Fascynujące.
1202:  Czy nie przypomina się wam coś może, o czym sobie opowiadaliśmy na kanale przy okazji filmu o krytyce?
1208:  Bo mnie się przypomniało.
1211:  To znaczy krytyka zawsze jest dobra tak długo jak długo i jest konstruktywna tak długo jak długo mówimy o rzeczach, które są pozytywne.
1219:  Wtedy jest wszystko w porządku.
1220:  Jakżeż mnie to strasznie denerwuje.
1223:  Co to zmienia, że jest uwaga negatywna?
1225:  Nie wiem czy wiecie, absolutnie jeżeli chcecie jakiegoś youtubera na przykład strasznie skrzywdzić i piszecie mu...
1233:  komentarze, nawet takie, które podpadają pod hejt, to Hello Hello informuje niniejszym, że algorytm YouTube'a to bardzo lubi.
1240:  To znaczy, jest większy ruch na kanale.
1243:  Nie ma czegoś takiego, jak opinia negatywna, która szkodzi serialowi.
1247:  Nie ma.
1248:  To jest absurdalny i głupi pogląd.
1254:  I tak samo jest na YouTube'ie.
1255:  Każdy komentarz się liczy.
1257:  Tak?
1257:  Algorytm nie patrzy, czy on jest pozytywny, czy jest negatywny, patrzy, czy jest komentarz.
1262:  Czy brałem udział w konstytucjach społecznościowych jakiegoś projektu ustawy?
1265:  Na szczęście nie.
1270:  Ja generalnie, wiecie, trzymam się tak daleko od polityki, jak tylko mogę.
1277:  Dobra.
1279:  Trochę zelotów się przyda.
1281:  Świetnie, będziemy mieli niebawem więcej rzeczy.
1283:  Dobrze.
1284:  Kotor II był grany.
1285:  Tak, jak najbardziej.
1288:  Dobra.
1289:  Brama.
1290:  Gate.
1293:  Okej, potrzebujemy jeszcze więcej.
1295:  Jeszcze więcej bram.
1297:  Jeszcze więcej pylonów.
1299:  Mnóstwo pylonów.
1301:  No, więc to taka rada, wiecie, jeżeli nie pasuje wam jakiś twórca i piszecie mu komentarz, to właśnie mu pomogliście w algorytmach.
1313:  Czy to alternatywny astrolol?
1314:  Nie rozumiem pytania.
1316:  Nie rozumiem pytania, Wojciechu, co masz na myśli?
1320:  Jak polityka tylko w House of Cards?
1322:  O, zgadzam się, to jest świetny serial.
1324:  Do momentu, w którym jest ostatni sezon.
1325:  Wtedy przestaje być świetny.
1328:  No Krzysztof, przyznaj się, po prostu ci nie pasuje Claire Underwood.
1332:  Poza tym, że faktycznie nie lubię Claire Underwood jako postaci i tak samo nie lubię Franka Underwooda jako postaci, bo jeżeli lubiłoby się Claire Underwood albo Franka Underwooda, to by to bardzo źle o nas świadczyło, to...
1344:  Chodzi o coś absolutnie innego, to znaczy bardzo nie lubię pozakadrowego zabijania głównych postaci.
1350:  Mam z tym niejaki problem.
1352:  I dlatego nie lubię ostatniego sezonu House of Cards.
1356:  Frank Underwood jako postać zniknęła.
1358:  I ludzie, którzy będą to oglądali później, nie będą rozumieli dlaczego.
1362:  To znaczy, żeby zrozumieć dlaczego Frank Underwood zniknął w ogóle i nawet nie była skomentowana jego śmierć w żaden sposób, trzeba znać całą sytuację, która była wcześniej.
1372:  Przez 8 godzin czytałem Maga Bitewnego Flannerego.
1374:  O mój, w Elesie, kocham i polecam.
1376:  Ach, się cieszę, że się podoba.
1378:  Cieszę się, Julku, że się podoba.
1380:  Czy puszczę Cinematica po misji?
1381:  No będzie, będzie.
1382:  To jest prolog w ogóle, moi drodzy, na razie tylko.
1386:  Ojojojojoj.
1387:  Blink forward, blink forward.
1389:  Zniszczyć mi tego czołga.
1391:  Ten czołg.
1394:  Eee, okej.
1397:  I weźmy sobie jeszcze troszeczkę wartowników.
1399:  Wartownicy tutaj w tej części regenerują osłony, więc są dość istotni.
1405:  A!
1407:  Zniszczyć wszystko.
1409:  Zabić i zniszczyć.
1409:  O, tutaj robimy pylon.
1410:  Okej.
1415:  Mam wrażenie, że... O, tak, jest więcej.
1419:  Świetnie.
1422:  Metro Głuchowskiego czytałem tylko pierwszy ton.
1425:  Ja postapo generalnie nie bardzo.
1428:  Byliśmy pewni, że koniec jest bliski.
1431:  Co wiesz o tej placówce, Zenoto?
1434:  Ranie.
1435:  Turturowali nas.
1436:  Eksperymentowali na naszych ciałach.
1440:  Większość z nas nie przeżyła.
1443:  Byłem już świadkiem podobnych okrucieństw, ale naród nie żyje.
1449:  Kto was tutaj sprowadził?
1452:  Niestety nie wiem.
1460:  Zatem szykujcie się, templariusze.
1467:  Dobra, muszę bardzo nadrobić czaty.
1470:  Po pierwsze, Marek Krauze, dzięki za wsparcie do 10 miesięcy, zaiste, długo ci nie był na streamie.
1474:  Druga kwestia, w tej misji można budować też jednostki stacji robotycznej, nie miałem tego w tej świadomości, ale numer.
1480:  Jak oceniam gameplay w Red Dead Redemption 2, pyta Dawid Wojacki, irytują go mechaniki i wyzwania, które są repetytywne, dlatego ja z wyzwań w ogóle nie korzystałem, natomiast mechaniki krytykowałem w trakcie streamów ku olbrzymiemu zgorszeniu czatów.
1492:  ponieważ jak wiadomo, jeżeli lubimy jakąś grę, to oznacza, że ona jest doskonała i nie może być ulepszona.
1498:  I jeżeli chodzi o podobieństwo StarCrafta do LoLa, o które pytał Wojciech, to myślę, że ono jest czysto graficzne.
1509:  Naprzód!
1512:  Ruszajcie po zemstę, której szukacie!
1514:  Teraz nie dokonują przesyłu.
1515:  To niemożliwe!
1533:  Jak to przesył?
1536:  Boże, nie pamiętałem tego.
1541:  Odbierzcie pylon Terranom.
1546:  Dekar pisze, że uwielbia light build, nie grałby w StarCrafta, a to nie jego gatunek.
1549:  Ale się cieszy, że ci się podoba.
1551:  Ja kocham StarCrafta.
1553:  Zwłaszcza te kampanie.
1555:  A jak wam się... Podobają RTS-y, bo widzę, że się podobają.
1559:  to prawie na pewno, w którymś momencie, może w przyszłe wakacje, zagramy sobie w Command & Tiberium Wars, które uważam, i następne części, które uważam za jedną z najdoskonalszych RTS-ów ever.
1574:  Świat Forgotten Realms?
1575:  Grałem w Neverwintery, Icewind Dale'a i Baldura, jeżeli chodzi o Forgotten Realmsy.
1580:  Bardzo lubię.
1582:  To jest przepiękny też... To jest świat Fenuru, prawda?
1586:  On jest fantastycznie zaprojektowany.
1591:  Potrzebujemy stanowczo więcej wszystkiego.
1594:  Blink forward.
1598:  Tak, jeszcze trochę wartowników.
1601:  Teraz tak, gdzie jest nasz biedny mały próbnik?
1605:  Biedny mały próbnik, czyń tutaj pylon.
1610:  Spontaniczne jamniki od Hyszy.
1612:  Hysza po prostu dba, że jeżeli nie ma rzygania w grach, to są rzygające jamniki, ja rozumiem.
1618:  Red alert trójeczka?
1619:  O, to znakomita rzecz.
1624:  Kerrigan się tutaj przeniosła.
1636:  Zniszczyć wszystkich.
1638:  Absolutnie wszystkich, natychmiast.
1642:  A może tutaj damy sobie pylon od razu?
1644:  Będzie wygodniej.
1646:  Czy ktoś w nas jeszcze strzela?
1648:  Chyba nie.
1656:  Dota powstała jako mod do StarCrafta 3, to prawda.
1658:  LOL powstała jako bezpośrednia konstrukcja Doty, więc jakieś połączenie jest.
1661:  A w sumie?
1662:  W sumie słuszna uwaga, Arix, tak.
1664:  Którym z trzech wolę wygrać w StarCraftzie raz?
1667:  Którym z trzech raz?
1668:  No, najbardziej lubię protosami, ale zergi są wygodniejsze.
1675:  Dobra, będziemy musieli sporo uzupełnić strat.
1681:  Zwłaszcza potrzebujemy stalkerów, czyli propicieli.
1687:  I troszeczkę nam za bardzo zginęło, za dużo zginęło wartowników.
1692:  Myślę, że to jest też ten etap, kiedy można zrobić więcej bram.
1697:  Głównie bramy się nam przydadzą po to, żeby było więcej zelotów.
1702:  Kiedy dołączył jamnik rzygowy?
1704:  Dosłownie dzisiaj.
1705:  Dominika mnie dzisiaj zaskoczyła tym, że zaproponowała rzygowego jamnika.
1711:  How cool is that?
1714:  Widzicie już, po co nam był ten próbnik mały, mały, dzielny próbnik.
1717:  Zrobi tutaj radosny nexus.
1719:  Zawiesza Weblak, dzięki serdecznie za trybut.
1721:  Masz jakieś rady, jak po długiej przerwie od czytania przełamać lenia i wrócić do książek?
1726:  Moja rada jest niezmiennie taka sama.
1729:  opowiadania.
1731:  Im krótsze opowiadania, tym lepiej.
1733:  Shorty, czyli opowiadania, które są najkrótsze, na jedną stronę, dwie strony.
1738:  W ten sposób będzie ci łatwiej.
1740:  Nie ma co się porywać od razu z motyką na Sandersonat, czyli na słońce.
1750:  Dzięki jeszcze raz za wiszo, za trybut.
1753:  Więc to bym ci radził.
1754:  Ja też w ten sposób przełamywałem swoje blokady.
1759:  Dobra, tutaj potrzebujemy też mały pylon i... Tak.
1768:  Oj oj oj oj.
1775:  Dobra.
1779:  Trochę szkoda, że jednostki z ratuna nie są zielone.
1781:  Są w trybie współpracy już.
1784:  I super.
1786:  Bardzo słusznie i zasadnie.
1788:  Dobra.
1790:  Posiłki mamy.
1792:  To jest moja ulubiona część, bo stosujemy aimów przez cały czas.
1796:  Jak to jest, że jednostki StarCrafta Warhammera są tak podobne?
1799:  Blizzard nie dostał licencji od Games Workshop i postanowił zrobić kreatywny plagiat.
1803:  To nie jest żart.
1807:  Jak dobrze wiecie, plagiaty dużym korporacjom uchodzą.
1809:  Nie uchodzą tylko małym twórcom na YouTubie.
1813:  Na przykład.
1816:  Not that I know of.
1821:  A tak serio to głównie fanom, tak?
1822:  To znaczy fanfiction jest odbierany jako plagiat w polskim prawie, mimo że plagiatem absolutnie nie jest.
1827:  Wręcz przeciwnie, fikcje fanowskie sprawiają, że ludzie się bardziej interesują danym zagadnieniem i jest to strasznie smutne i krótkowzroczne, że polskie prawo nie dopuszcza praktycznie używania
1841:  pomysłów innych twórców w twórczości zależnej właśnie w celu rozbudowy świata.
1846:  Bo to jest coś, do czego prawo autorskie jest dopasowane generalnie do fabuł, które nie są fantastyką, czyli nie są światotwórcze.
1853:  W związku z powyższym rozpatruje problem, ok, jest fabuła, która jest oryginalna i ktoś ma do niej prawa.
1859:  A nie rozpatruje problemu, ok, jest fabuła, ale równocześnie ktoś do tej fabuły wymyślił sobie twórczość zależną, która rozbudowuje świat tego tekstu.
1868:  i w efekcie promuje fabułę pierwotną.
1872:  To jest totalnie nierozpoznane przez polskie prawo.
1877:  A to jest ściśle, moi drodzy, to, z czym mamy do czynienia w fantastyce.
1881:  Czy ja jestem bardzo opóźniony?
1884:  Tak.
1892:  Nie uchodzi też robienie recenzji z używaniem kilku klatek serialu Udającego Lotra, ewidentnie.
1898:  No, to jest smutne.
1899:  Ale to wiecie, to jest też kwestia kolonialnego myślenia.
1904:  To znaczy, bardzo dużo twórców zachodnich bez najmniejszego problemu to robi.
1909:  Na przykład The One Ring Ned.
1912:  Dokładnie, to co ja.
1913:  Ale wiecie, no... Rzadko coś takiego mówię, ale rasizm nie jest tylko w odniesieniu do osób innego koloru skóry.
1924:  Natomiast ja...
1926:  Można się spotkać także z rasizmem w odniesieniu do krajów tzw.
1929:  trzeciego świata.
1930:  Dla mnie było olbrzymim szokiem, jak na kiedyś konferencji w Oksfordzie zostałem zakwalifikowany właśnie jako Polak do kraju trzeciego świata, razem z prelegentami z Afryki itd.
1942:  Pomijam, że kwalifikowanie kogokolwiek do kraju trzeciego świata jest obrzydliwością właśnie postkolonialnego myślenia anglosaskiego,
1951:  ale to nikt na to nie zwracał uwagi, wszystko było w porządku, bo jest to znormalizowane, więc...
1960:  Tak.
1960:  YouTube polskich twórców, krótko mówiąc, zupełnie inaczej traktuje niż twórców zachodnich i to naprawdę nie dotyczy mnie w tym momencie.
1967:  Przypominam sytuację, w której myśmy zresztą zajmowali stanowisko jako nasza społeczność, to znaczy likwidacji kanału Dawida Myśliwca.
1976:  Podobno był jakiś problem związany z prawami autorskimi właśnie, to znaczy chodziło konkretnie o to, że była transmisja, ojej, bardzo przegrywamy, bardzo przegrywamy,
1987:  Była transmisja, która nie była autorstwa Dawida, sprzedaż jakichś bitcoinów czy czegoś w tym rodzaju.
1992:  No i YouTube to zdjął, momentalnie.
2001:  Zapomniałem, że mamy iść tutaj.
2012:  Tak, zapomniałem, że nie tam idziemy.
2015:  Dlaczego ja robię takie rzeczy?
2017:  Ale gdzie tutaj... Aha, tędy po prostu trzeba przejść.
2020:  Dobra.
2021:  Dobra, okej.
2022:  Ważne, że mamy dużo próbników.
2025:  Tak to jest, jak człowiek się zagada.
2027:  No, więc dla tych z was, którzy nie pamiętają, chodziło o to, że zostało przejęte konto Dawida Myśliwca na YouTubie i po tym, jak zostało przejęte, to YouTube zareagował, zobaczył, że jest jakaś podejrzana transmisja i zdjął cały kanał.
2045:  Teraz sytuacja taka na zachodzie jest do rozwiązania w parę godzin, ale ponieważ chodziło oczywiście o polskiego twórcę, no to poczekaliśmy trochę, to znaczy jakiś tydzień, jeśli mnie pamięć nie myli.
2061:  Ale zmaściłem.
2062:  Dobra, będziemy mieli za to więcej gejtów.
2069:  Więc jeżeli chodzi o ten zapis Induza, będziecie jeszcze dużo razy o to pytać, mimo że pisałem na karcie społeczności, ale sporo osób mogło nie zajrzeć.
2077:  Będzie wtedy, kiedy Amazon rozpatrzy moją apelację.
2084:  Budowanie nie potrzebuje jednostek.
2087:  Znaczy nie potrzebujemy wznosić...
2093:  bezpośrednio jednostkami budowli, co nie oznacza, że nie potrzebuję jednostek, no po prostu przyzywamy je.
2103:  Dobra.
2106:  G. A fakt, zapomniałem z tym shiftem, masz rację absolutnie, kacprze.
2112:  Człowiek zapomina strutów klawiszy, człowiek się przyłącza z gry na grę.
2115:  Co, warto przejść po rytmatyście?
2118:  Z mgły zrodzony.
