DOŚĆ TOLERANCJI DLA OBLECHÓW | Dla każdego coś przykrego #13
🔗 https://www.youtube.com/watch?v=tyv_FL9tWac

29:  Naprawdę?
282:  Miałbym problem z pracodawcą, ponieważ ja działałbym na szkodę wizerunkową pracodawcy i w interesie żywotnym pracodawcy jest wyznaczyć mi tego rodzaju karę umowną, następnie wyekspediować mnie z zakładu pracy tak szybko, jak to jest tylko możliwe i wystrzelić na orbitę, a sprawę zgłosić do prokuratury.
300:  Oczywiście tego rodzaju sytuacje załatwia się w prawie tut proportion garde, czyli w zależności od poziomu przewinienia.
309:  I naturalnie, że w sytuacji, w której ktoś kogoś molestuje w miejscu pracy albo nie daj Boże robi coś jeszcze gorszego, chociaż już przypominam, że i molestowanie i mobbing to są przestępstwa,
322:  To w tej sytuacji oczywiście konieczna jest interwencja prokuratury i policji, ale zdarzają się też sytuacje takiego właśnie, no, miękkiego molestowania.
330:  No profesor sobie zażartował przecież, no, no bo cycki zamieścił na prezentacji, to taki żart jest, no nie rozumiecie.
340:  Nie pierwszy zresztą, pamiętam sytuację sprzed dwóch lat, jak jeden z profesorów wyższej uczelni, zresztą obwołany mistrzem mowy polskiej, mimo że zapraszał studentów i pracowników na aulę, a nie do auli, ale zostawmy te małostkowe złośliwości, w swojej prezentacji właśnie zamieścił zdjęcie rozneliżowanej modelki, jak studentki zgłosiły sprawę do mediów i powiedziały what the actual fuck, czyli to, co każdy powinien powiedzieć, no to oczywiście reakcja profesora była taka,
369:  Tak, no przecież to żart był, ja chciałem tylko rozładować atmosferę, trudno.
376:  Zacznijmy od tego, że jeżeli masz kiepie i kmiocie jeden z drugim i z trzecim, złą atmosferę na wykładzie, jeżeli jest napięta sytuacja, jeżeli ktoś się wierci, patrzy w smartfona, to może zacznij od siebie i zamiast leczyć symptomy, może wylecz objawy choroby.
396:  Jeżeli prowadzisz zajęcia w taki sposób, albo szkolenie, albo seminarium, albo cokolwiek innego, że ktokolwiek wierci się, czuje się niezręcznie i musisz rozładowywać atmosferę, to znaczy, że chyba jednak coś jest nie tak z Twoim wykładem i z Twoimi zdolnościami retorycznymi i oratorskimi.
416:  Coś o tym wiem.
417:  Prowadzę wykłady, szkolenia, seminaria.
420:  Czasem zdarza mi się również wygłosić jakąś dłuższą wypowiedź na konferencji.
426:  Nie mam takich sytuacji, żebym musiał uciekać się do pokazywania na PowerPoincie kadrów z kalendarza motoryzacyjnego z półnagimi modelkami.
436:  Zobaczcie, goła jest!
439:  Zwłaszcza, że to jest też kiepska strategia retoryczna biorąc pod uwagę fakt, że wtedy odwołujemy się tylko do części słuchaczy, prawda?
448:  Bo nie wszyscy na przykład mogą gustować w tego rodzaju wdziękach płci przeciwnej, bo na przykład są tą płcią przeciwną albo są innej orientacji seksualnej.
458:  Kiepska strategia, prawda?
460:  Pierwsza zasada prowadzenia wszystkich tego rodzaju przemów mówi zdefiniuj sobie grupę odbiorczą i mów do wszystkich.
468:  Ale nie o tym.
470:  Najważniejsza i najpoważniejsza kwestia dotyczy tej omeryty, zmowy milczenia.
473:  Jak student ma się odważyć?
476:  pójść do władz i nagłośnić tego rodzaju sytuacje, skoro on od samego początku jest w pozycji władzy.
482:  I dobrze znacie te sytuacje, jeżeli chodzicie do pracy i macie szefa, który was mobbinguje, gwarantuję, że dwa albo trzy albo pięć razy się człowiek zastanowi, zanim to zgłosi HR-owi, jeżeli w ogóle jest HR, zanim cokolwiek z tym zrobi, ponieważ mkną nam przez głowę myśli.
500:  A co jeśli stracę pracę?
501:  A co jeśli ktoś mi powie w takim razie, że ja też coś złego zrobiłem?
504:  A co jeśli on mi odmówi?
505:  Będzie słowo przeciwko słowu.
507:  A jeżeli on jest w pozycji władzy, a ja nie jestem w pozycji władzy, to ja od razu przegram z marszu, prawda?
512:  To są myśli, które nas nachodzą.
514:  I to jest całkowicie naturalne.
515:  To jest całkowicie oczywiste.
517:  I mamy święte prawo do tego.
519:  Problem polega na tym, że rolą instytucji różnego rodzaju jest właśnie przeciwdziałać takiej sytuacji.
525:  I stworzyć różne procedury, które mają...
529:  Ucinać w zarodku, które mają eliminować ryzyko nawet powstania tego rodzaju nadużyć.
536:  Bo tak, oczywiście ktoś może powiedzieć, no żarty nieodpowiednie.
541:  Ale jeżeli zamieciemy pod dywan tego rodzaju kwestie, to zamieciemy pod dywan tym bardziej kwestie poważniejsze, a nawet jeśli nie, to ten student, czy ten uczeń, czy ten pracownik, któremu daliśmy do zrozumienia, poskarżyłeś się, zdobyłeś się na odwagę, żeby walczyć z władzą, a mamy to w dupie.
564:  To co on pomyśli, jeżeli będzie na przykład ofiarą gwałtu?
567:  Albo jeżeli zostanie zmolestowany w windzie lub w pokoju profesorskim lub gdziekolwiek indziej.
574:  Zgłosi się?
576:  Czy może raczej nie?
579:  I to jest właśnie ten główny problem, z którym się w dzisiejszym bardzo przykrym odcinku mierzy.
585:  Bo cóż z tego, że trafiają do mediów tego rodzaju sprawy?
589:  Cóż z tego, że co jakiś czas jest tak, że zainteresuje się tym krytyka polityczna i zapyta o to, co łączy wszystkie uczelnie w tym kraju seksizm i zbierze tego rodzaju dowody, zbierze również wypowiedzi studentów,
608:  które napływają zarówno na Instagrama pod tym hashtagiem dzikiseksizm, jak i wszelkiego rodzaju inne wypowiedzi.
616:  Jeżeli media się interesują nagle tym, że na wykładzie ktoś powiedział, że kobiety to probówki na spermę, jesteście w stanie mi wskazać normalną sytuację konwersacyjną, w której pada coś takiego?
633:  Bo ja nie jestem w stanie sobie tego wyobrazić.
636:  I to oczywiście nie są jedyne tego rodzaju przypadki.
639:  Jest tego bardzo dużo.
640:  Nie będę wam czytał całego tekstu, ale zdanie plemniki mają ogłęki po to, żeby można było je łatwo wyciągać z pomiędzy zębów, albo teksty o orgazmusach i luźniejszych pochwach, to nie są teksty, które mają charakter neutralny i są neutralnie zabarwione.
661:  To są akty dyskryminacji ze względu na płeć.
666:  I to jest dowód na to, że dziki trener kompletnie nie wie o czym mówi.
673:  Bo jeżeli byśmy mieli w takiej próbie tekstów zgłoszonych przez studentów i studentki, także szowinistyczne uwagi względem mężczyzn, osobliwie mężczyzn heteroseksualnych, to wtedy moglibyśmy powiedzieć, no tak, tak, to jest bezpodstawne, ważne jest, żeby myśleć o studentach, nieważne jaka płeć, ponieważ dzieje się krzywda wszystkim.
693:  Ale problem polega niestety na tym, że wszystkie te wypowiedzi jakimś cudem są kierowane do kobiet.
699:  Jakimś cudem to kobiece ciało jest traktowane jako przedmiot heheszków na wykładzie i prezentacji.
704:  Z jakiegoś powodu profesor nie prezentuje gościa z nagim torsem i podobnym komentarzem, prawda?
710:  Tylko prezentuje akurat cycę na wykładzie.
715:  Zastanówmy się też przez moment, przez chwilę, jak nisko trzeba upaść, żeby uciekać do tego rodzaju argumentów.
722:  To są żarty, które by przeszły ewentualnie po siedemnastym piwie na imprezie.
728:  Ale imprezie, która jest zamknięta, prywatna, nie na w trakcie wypowiedzi i wystąpienia publicznego.
733:  Czy zdajecie sobie sprawę z tego, jak bardzo pewnie się muszą czuć tacy ludzie, którzy to robią?
738:  I dodajcie dwa do dwóch, jeżeli ktoś taki się czuje pewnie.
742:  to co on będzie robił w sytuacji, w której będzie mógł tak ciupineczkę nadużyć tej władzy?
748:  Na przykład, no...
750:  przywłaszczyć sobie doktorat jakiegoś doktoranta jako swój, albo takie inne drobiażdżki na przykład, no nie zacytować swojego kolegi z katedry, tylko opublikować artykuł z jego badaniami, no albo też taki drobiażdżek, no na przykład się zemścić na studencie, który się krzywo na niego popatrzył i dać mu dwa zamiast pięć, no i co mi zrobisz?
775:  Dodawajcie dwa do dwóch.
776:  Jeżeli ktoś postępuje źle w sytuacji drobnej, ale manifestuje przy tym tą swoją bezczelność i arogancję z pozycji władzy, to drżyjcie co ten człowiek zrobi wtedy, kiedy nie będziecie na niego patrzeć, kiedy nie będzie skierowane na niego światło reflektorów, kiedy nie będzie krytyki politycznej do tego, żeby zrobić o tym artykuł, albo gazety wyborczej, albo tygodnika powszechnego, albo Rzeczpospolitej obojętnego mediumu,
801:  Albo jeżeli nie będzie youtubera, który nakręci o tym film.
805:  Albo jeżeli nie będzie fangottena, który skrytykuje dzikiego trenera.
808:  Albo jeżeli nie będzie Martyny Kaczmarek na Instagramie, która będzie cierpliwie zbierać wypowiedzi od studentek.
814:  Przepraszam, dlaczego tych wypowiedzi nie zbierają rzecznicy przy uczelniach do spraw dyskryminacji?
819:  Dlaczego nie, a gdzie mają aktywnie na tę rzecz?
822:  Nie zarzucam w tym momencie im bynajmniej indolencji i bezsilności.
827:  Nie.
828:  Nie działają dlatego, że nie mogą działać, ponieważ studenci czują się zastraszeni i nie zgłaszają tego rodzaju sytuacji, bo nawet często nie wiedzą, że jest taka możliwość.
838:  Że jest na uczelniach rzecznik do spraw równego traktowania studentów, że jest rzecznik praw studenta wreszcie.
844:  Na mojej macierzystej uczelni również.
847:  I aktywnie działa na rzecz tego, żeby pomagać studentom, ale skąd oni mają to wiedzieć w sytuacji, w której są zastraszani przez tego rodzaju ludzi, których naprawdę ostatnie miejsce pracy powinno być na uczelni.
859:  Szczerze powiedziawszy, przy pierwszej sytuacji, w której bym zobaczył, że jakikolwiek mój pracownik zachowuje się w ten sposób, ja bym się nie zastanawiał pięciu minut przed jego usunięciem.
868:  Akurat środowisko akademickie jest jednym z tych, gdzie kolejki do zatrudnienia są bardzo długie i w moim przekonaniu o wiele lepiej jest zatrudnić nawet dwójkę zdolnych, dobrze rokujących doktorantów na miejsce jednego oblecha profesora, który sobie będzie robił tego rodzaju żarciki.
884:  I teraz, żeby nie być gołosłownym, bo trzymam się tej tradycji, żeby w cyklu dla każdego coś przykrego jednak pojawiały się też merytoryczne uwagi dotyczące tego, w jaki sposób możemy zaradzić sobie w jakiejś sytuacji problematycznej albo w jaki sposób możemy właśnie podejść od bardziej precyzyjnej, merytorycznej strony do tego.
904:  I ukazał się, tak się składa, czas temu jakiś już raport jeszcze poprzedniego rzecznika praw obywatelskich na temat doświadczeń molestowania wśród studentów i studentów.
914:  Ten raport, tutaj prezentuję wam tylko jego wyimki, jest absolutnie przerażający.
919:  I on pokazuje, że te 450 wypowiedzi zebranych przez Martyna Kaczmary, robiącą niesamowitą robotę i 450 odważnych wypowiedzi studentów i studentek, którzy stwierdzili, że nie, że przełamią omertę i że powiedzą o tym, co odpierdalają ich wykładowcy.
937:  to tu nagle się dowiadujemy, że tego rodzaju tradycje są o wiele, niestety, rozleglejsze i bardziej rozpowszechnione.
945:  Od razu mówię jedną rzecz i żeby nie było później komentarzy dotyczących metodologii.
950:  To jest próba bardzo niewielka, to znaczy na 4284 studentach.
956:  I to się wydaje mało, ponieważ jesteście przyzwyczajeni do statystyk.
959:  50 tysięcy, 150 tysięcy, milion.
963:  Ale ja wam mówię, że to jest bardzo dużo.
966:  W całej swojej karierze może spotkałem kilka osób, które przyszły, odważyły się i powiedziały mi o nadużyciach, które się pojawiały, po czym starałem się tym nadużyciom przeciwdziałać i doświadczałem tego, co tak bardzo lubię, to znaczy zamiatania pod dywan.
982:  Przy sprawach poważnych, mniej poważnych, ale zamiatania pod dywan, postawy ugodowej.
987:  Bo tak, bo jeżeli ktoś postępuje źle, to trzeba pogodzić go, żeby ze studentami był pogodzony, tak?
997:  Jeżeli ktoś komuś ukradnie torebkę, to... Piotrusiu, pogódź się zagadką, popogódźcie się ze sobą.
1005:  Nie bądźcie dla siebie niedobrzy, bądźcie dla siebie mili.
1011:  Nie mówi się w ten sposób, tylko mówi się, Agatka mi ukradła torebkę, tak?
1016:  I być może powinna ją zwrócić, być może przeprosić, jeżeli jesteśmy na etapie przedszkola, a jeżeli nie jesteśmy na etapie przedszkola, to być może powinna mieć za to grzywnę zasądzoną, prawda?
1027:  I tu się dowiadujemy, że ta próba 4284 studentów, jeszcze raz powtarzam, gigantyczna próba odważnych ludzi, którzy się zdecydowali mówić otwarcie o kwestiach, które są obłożone omertą, wykazała, że od momentu rozpoczęcia studiów, and bear with me, 47,7% studentów i studentek doświadczyło molestowania.
1049:  To jest połowa, to jest co drugi.
1051:  co drugi student i studentka, a raczej studentka i student, bo zobaczycie zaraz jak się to rozkłada, 47% kobiet i 31% mężczyzn, doświadczyło molestowania na uczelni.
1067:  Spośród osób, które doświadczyły molestowania 64% doświadczyło tego typu zachowań na studiach, spośród osób, które w ogóle w swoim życiu kiedykolwiek doświadczyły molestowania 60%, czyli grubo ponad połowa dotyczyło okresu studiów.
1084:  Na podstawie zebranych danych można stwierdzić, że studentki generalnie częściej od studentów doświadczają molestowania, co wiemy też z Instagrama Martyny Kaczmarek.
1093:  Jedyną formą molestowania, które doświadczyło więcej mężczyzn niż kobiet były groźby.
1097:  Przyznaję, samemu mi grożono na Uniwersytecie Jagiellońskim.
1100:  Pozdrowienia dla profesorów stamtąd.
1102:  Wiedzą dobrze ci, o których mówię, o których chodzi.
1105:  Co czwarta studentka, 24% w okresie studiów usłyszała niestosowne komentarze na temat swojego ubioru i wyglądu.
1111:  Przypis dla niezorientowanych.
1114:  Nie powinno Ciebie obchodzić, jeżeli jesteś wykładowcą, jeżeli prowadzisz w ogóle jakiegokolwiek szkolenia czy seminaria, czy studentka ma makijaż, czy ma tatuaże, czy ma piercing, czy ma takie włosy, śmakie włosy, czy inne włosy, czy ma taki ubiór, inny ubiór, czy jest w sukience, czy ta sukienka jest krótsza, długa, nie powinno Cię to interesować.
1132:  Kropka.
1133:  Jeżeli chcemy, żeby planował jakikolwiek dress code, należy przygotować dokument stosowny w tym wymiarze, taki jak jest w banku, wtedy będzie dress code i nie będzie tematu.
1141:  Póki dress code'u nie ma, wszystkim vara od cudzego wyglądu.
1145:  Najprostsza zasada.
1147:  W przypadku niektórych zachowań utrudnianie wypowiadania się, wyśmiewanie się, nawiasem mówiąc niedawno właśnie miałem taką sytuację zgłoszoną dotyczącą wyśmiewania się z nazwisk, proporcja kobiet i mężczyzn, które ich doświadczyli nie różniła się istotnie statystycznie, no bo wiadomo, że z nazwiska sobie można pocisnąć i do jednego i do drugiego, z faceta raczej nie pociśniemy, że ma za krótką sukienkę.
1168:  I oczywiście tego rodzaju zachowań, które podpadają pod molestowanie, zwracam uwagę, jest więcej.
1173:  Niestosowne uwagi na temat ubioru wyglądu i tak dalej, zachowania, to jest pierwsza kwestia.
1177:  Utrudnianie możliwości wypowiadania się, wyśmiewanie się, ignorowanie i ostentacyjne lekceważenie, opowiadanie negatywnych informacji i próba skłócenia ze środowiskiem, to jest oczywiście bardzo prosta taktyka.
1188:  wymagania niższe niż w wypadku innych, no to tu, powiedzmy, jest jeden, jedyny moment, kiedy mogę stwierdzić, że okej, każdy student uważa, że wymagasz od niego więcej niż od innych, sam też tak uważałem.
1199:  Ale reszta.
1200:  Ktoś w nieodpowiedni, uwłaczający sposób patrzył na mnie.
1203:  Ktoś naruszył moją nietykalność cielesną.
1206:  Zobaczcie, jakie tu są procenty.
1208:  To są duże procenty.
1210:  Naruszenie nietykalności cielesnej na uczelni.
1213:  Nie w przedszkolu, gdzie można kogoś trzepnąć w ucho.
1216:  Na uczelni, gdzie są dorośli ludzie.
1218:  Ktoś mnie prześladował, obserwował, podglądał, wysyłał niechciane wiadomości, nachodził 4%.
1224:  Pamiętam relację jednej z moich znajomych ze studiów, która mi opowiadała, że profesor do niej wydzwaniał pijany po godzinie 24.
1232:  Też zujotu swoją drogą.
1235:  I wreszcie groźby.
1236:  Przypominam, karalne. 4%.
1242:  Need I say more?
1243:  Chyba ten wykres dostatecznie wyraźnie pokazuje, kto doświadcza tego rodzaju sytuacji częściej i z jakiego powodu.
1251:  Dyskryminacja ze względu na płeć po stronie kobiet.
1255:  Co ciekawe, ze względu na orientację seksualną po stronie mężczyzn.
1260:  A i teraz pytanie na inteligencję.
1263:  Dlaczego jest tak, że kobiety nie są molestowane i prześladowane ze względu na orientację seksualną przez tych samych oprawców co mężczyźni?
1274:  No przecież oczywiście, że chodzi o to, że to są te heteroseksualne macho z dużym bandzioszkiem piwnym, prawda, że się podkręci wąsa i hehehe, przecież to on jest, on jest taki, no ten ty gest, ten facet nienormalny, nieheteroseksualny przecież, a z drugiej strony będzie naturalnie robił dokładnie odwrotne rzeczy w stosunku do kobiet, to znaczy, no starał się pokazywać swoją właśnie taką samczół dominację.
1303:  To są ci sami ludzie, wiecie?
1305:  Ci ludzie, którzy mają problem z kobietami, prześladują je ze względu na ich płeć, bardzo często też mają problem z osobami homoseksualnymi wśród swojej płci.
1315:  I to są bardzo często ci sami ludzie.
1317:  Wracając do naszego raportu.
1324:  Wyznanie, jak widzicie, przekonania religijne nie są jakoś przesadnie częste.
1329:  Teraz kolejna jego część, miejsca, w których to się odbywało, bo myślicie sobie, jak to jest możliwe w ogóle, że na uczelni dzieją się takie rzeczy, przecież jak?
1338:  Nie, absolutnie.
1340:  Co, przy pełnej sali?
1341:  No, 55%.
1342:  55% przypadków molestowania zdarza się przy pełnej sali.
1351:  W gabinecie, na windzie, w akademiku itd.
1355:  również, ale przy pełnej sali 55%, z czego do kobiet jak zwykle większość.
1363:  Jeżeli chodzi o przekazywanie informacji o zdarzeniu, w ogóle uważam, że tego rodzaju sytuacje są bardzo, ale to bardzo rzadko zgłaszane gdziekolwiek wyżej.
1373:  I zresztą raport to potwierdza.
1375:  Najczęściej powiernikami naszymi są po prostu studenci, z którymi rozmawiamy na fejsie, na Messengerze, na Discordzie i mówimy, że ten człowiek jest jakiś nienormalny, on robił mi to i to i to.
1388:  Ale nie pójdziemy do prowadzącego i nie powiemy mu tego, no bo wiadomo, będzie...
1392:  No pani, no rozumiem pani, no przecież my wiemy, on tak ma już, no ale jest pani pewna, a może jednak to tak nie do końca było, jak pani opowiada?
1405:  Jest takie łagodzenie, które bierze się oczywiście z omeryty, to znaczy tego, że jeden pracownik boi się najczęściej swojego szefa, kierownika i nie chce zainterweniować prosto.
1414:  Niestety, za prosto.
1417:  I teraz motywacje, nie raportowania o tych sytuacjach.
1422:  Chciałem albo chciałem mieć spokój i zapomnieć o tym zdarzeniu.
1427:  Co trzecia osoba.
1428:  To, co się wydarzyło, nie wydawało mi się wtedy tak złe, żebym musiała lub musiał komukolwiek o tym mówić.
1434:  Wtedy to jest kluczowa sprawa, bo później mądrzejemy i stwierdzamy, dlaczego ja nie chodziłem wszędzie na wszystkie zajęcia z dyktafonem?
1441:  Dlaczego nie wykorzystywałem tego, że mam smartfon w kieszeni?
1444:  Jak widziałem, że profesor robi coś nieodpowiedniego,
1448:  Jak umiem dobrze ściągać, to umiem też chyba wyciągnąć smartfona i nagrać tę sytuację i później wrzucić na YouTube'a z imieniem, nazwiskiem i afiliacją, żeby wiadomo było dla wszystkich kolegów tego człowieka, co on wyprawia na zajęciach, nie?
1462:  Nie sądziłam lub nie sądziłem, że ktokolwiek może mi pomóc 20%.
1469:  To jest ten moment, w którym każda osoba, która działa na rzecz równouprawnienia studentów, powinna złożyć wypowiedzenie, jeżeli jest taka statystyka, a jeśli nie, to przedsięwziąć natychmiastowe środki ku temu, żeby studenci byli poinformowani, co mogą zrobić i przede wszystkim czuli się bezpieczniej.
1486:  Najprostsze rozwiązanie tej sytuacji to jest anonimowy formularz do zgłaszania tego.
1491:  I nie, nie USOS, gdzie można napisać ankietę,
1494:  Tylko anonimowy formularz, gdzie zgłaszamy sytuację, opisujemy ją i nie podpisujemy się.
1500:  I im więcej jest anonimowych informacji dotyczących danego zachowania, danego człowieka, tym większą trzeba mieć podejrzliwość i wszcząć śledztwo na własną rękę.
1510:  Nie wiem, dlaczego ja akurat muszę robić instruktaż w tym zakresie, ale najwyraźniej moi uczeni koledzy i moje uczone koleżanki mają z tym pewien problem.
1519:  Zwłaszcza, że nie mogę się powstrzymać, żeby tego nie zaznaczyć, przede mną akurat na tym temacie dotyczącym dzikiego seksizmu i molestowania studentek i studentów nie wypowiedziała się profesor Magdalena Środa.
1534:  Nie wypowiedziała się profesor Inga Iwasiu.
1537:  Nie wypowiedziała się nawet Sylwia Hutnik, autorka kieszonkowego Atlasu Kobiet i nawet udająca w którymś momencie, że czytała Margaret Atwood, bo przeprowadzająca z nią wywiad na festiwalu w Gdańsku w odparciu o informacje, które czerpała z serialu, a nie z książki.
1552:  Bardzo było zabawne.
1553:  No i wreszcie, nie zapominajmy, nie zapominajmy, nie wypowiedziała się główna feministka polska i wrażliwa autorka.
1562:  Olga Tokarczuk, która pisała o czułym narratorze, jest takim wrażliwym barometrem wszystkich społecznych wahnięć i ten czuły narrator miał tam od tego wykładu noblowskiego towarzyszyć w takich sytuacjach.
1579:  No, no to ja mówię jako pierwszy spośród wszystkich ludzi reprezentujących środowisko naukowe i kulturalno-artystyczne o tej sytuacji.
1588:  Super, cóż za zaszczyt.
1591:  Ktoś musi.
1592:  Dziękuję.
1594:  I tutaj macie statystykę dotyczącą tego znowu, jakie wychowania naganne, o których studenci nie chcieli raportować lub nie mogli, lub czuli się zastraszeni, dominowały.
1604:  Ubiór, wygląd, wiek, sytuacja materialna, no pewnie trzeba sobie pośmiać z tego, że student musi na przykład uczęszczać do pracy, żeby równocześnie móc studiować, a samemu się dostało mieszkanko od rodziców, samemu się dostało pieniążki na studia, bo było się w innej sytuacji w innym czasie.
1624:  w innych czasach też, w których studiowanie było nie przywilejem, tylko było normą.
1631:  Tak, to pośmiejmy się jeszcze ze studentów, że muszą łączyć tego typu sytuacje, a nie raczej bądźmy pełni podziwu, że student nie dość, że się uczy, to jeszcze pracuje i robi dwa razy więcej niż my w jego wieku.
1642:  Ktoś w nieodpowiedni, uwłaczający sposób patrzył na mnie lub prezentował wobec mnie pogardliwe lub obraźliwe gesty poniżające 11%, 20% naruszenia nietykalności cielesnej w tej grupie i te wymagania nieszczęsne.
1661:  I teraz cięższe działa, ok?
1664:  Molestowanie seksualne.
1665:  To jest ten moment, w którym ja się podłamałem, czytając ten raport.
1670:  30% spośród tej grupy badanej studentek i studentów zadeklarowało, że doświadczyło przynajmniej jednego zachowania o charakterze molestowania seksualnego od momentu rozpoczęcia studiów.
1682:  W przeważającej większości.
1685:  Były to kobiety.
1687:  Ale oczywiście, ale oczywiście, że dziki trener ma rację.
1691:  I przecież nie ma braku równouprawnienia na studiach.
1696:  Nie, w ogóle.
1702:  Z całej próby badanej tylko nieco ponad 12% mężczyzn przyznało, że takie zdarzenie miało miejsce, podczas gdy wśród kobiet odsetek ten wyniósł niemal 44%.
1713:  No i znowu, zachowania o charakterze molestowania seksualnego.
1717:  To też dla moich kolegów, na wypadek, gdyby nie wiedzieli, co robić, jak się zachowywać, czy można cycki na prezentację, czy jednak nie, czy może w staniku ma te cycki, nie?
1726:  Bo to trudne jest, żeby to stwierdzić, prawda?
1728:  No bo jeżeli ktoś mnie nie wychował i sam nie orientuje się za bardzo w tym, jak się zachować, to potrzebuje instruktarzu.
1734:  No to informacja teraz dla wszystkich, okej?
1737:  Słuchajcie z uwagą.
1738:  Ktoś obnażył się ze mną, albo żeby dokuczyć, albo żeby mnie przestraszyć 3%.
1744:  Dręczył mnie dzwoniąc, wysyłając smsy, maile lub listy, które zawierały nieprzyzwoite uwagi lub pogróżki.
1749:  4%.
1750:  Zaczepiany przez gwizdanie.
1753:  Sprośne komentarze albo natarczywe przyglądanie się. 15%.
1758:  Czyli rozumiecie, idziecie sobie na studia, tak?
1761:  I na tych studiach, no musicie się liczyć z tym, że jak jesteście kobietą, to prowadzący sobie gwizdnie se na ciebie, jaka dupa ładna idzie, nie?
1769:  Liczcie się z tym, że jak idziecie na uczelnię wyższą, to jest ryzyko, że zostaniecie potraktowani tak jak na budowie, okej?
1776:  Poczułem się nieswojo dlatego, że ktoś komentował mój wygląd, ciało lub życie prywatne i robił seksualne aluzje.
1782:  11%.
1783:  To dziesiąta osoba, tak?
1786:  Ktoś opowiedział mi sprośny dowcip lub rozmawiał ze mną w sposób, który uznałam lub uznałem za formę opresji seksualnej. 8%.
1793:  Ktoś objął mnie lub usiłował pocałować wbrew woli.
1796:  Też prawie 8%.
