Nauka, śmiech i czatboty  🎓 🤡 🤖 | Dla każdego coś przykrego #39
363:  No i jak czytamy dalej w artykule, bardzo to jest zabawne, ponieważ, no, wprawdzie wspomina się, że to jest trójkowy uczeń, jak ja lubię takie określenia klasistowskie, obrzydliwe, które bez szczególnej finezji i kreatywności, cytuję pana Tadeusza Mickiewicza, ale umówmy się, przecież o to właśnie chodzi, prawda?
379:  O to chodzi, żebyśmy bez finezji coś zinterpretowali, żeby zakuć zdać, zapomnieć.
384:  I dziennikarze przeryli chat GPT pod kątem właśnie różnych
389:  zadań egzaminacyjnych autentycznych.
391:  No i żeby było śmieszniej, jedna z indagowanych o to nauczycielek powiedziała, żeby dała połowę punkcików czatowi GPT za zdanie.
399:  Więc wiecie, człowiek wciąż może dostać mniej punkcików niż maszyna.
405:  I wcale nie jest tak, że sami sobie zgotowaliśmy ten los, ponieważ jeżeli byśmy nie postawili całej edukacji na głowie i zaprzedali indywidualności na rzecz sprawdzania podłóg punkcików,
416:  sukcików, procentów i innych tego rodzaju obiektywnych wytycznych, to nie doprowadziliśmy do sytuacji, w której naturalnie każda maszyna będzie od nas lepsza.
428:  Ponieważ nie wiem, czy zdajecie sobie z tego sprawę, ale biorąc pod uwagę fakt, że maszyny operują w świecie cyfr i kodem binarnym również, to wydaje mi się, że to jest ich świat natywny, w którym się czują troszeczkę lepiej.
442:  Dla nas to będzie zawsze świat obcy.
445:  Pierwotnym dla nas jest świat uczuć, świat cielesności, świat w którym wąchamy, przechadzamy się, poznajemy, wsłuchujemy się weń.
453:  Robimy wszystko to, czego maszyna na razie przynajmniej nie jest w stanie zrobić, ale doprowadziliśmy z systemem edukacji do takiego żenująco niskiego poziomu,
463:  prymitywne AI jest w stanie uzyskać połowę punktów z egzaminu.
467:  Przepraszam, jeżeli to nie jest kompromitacja systemu, jeżeli to nie doprowadza do tego, że każda osoba odpowiedzialna za wdrażanie testów, testów zamkniętych, różnego rodzaju wzorców, podstaw programowych, punktów,
481:  procentów powinna zwolnić się momentalnie ze szkoły, to ja nie wiem, co do tego doprowadzi.
486:  Wiesz, ja osobiście bym uznał to za swoją absolutną klęskę.
489:  To nie jest już, moi drodzy, ten kazuł, że się cieszymy, że AI tworzy fajne grafiki i obrazy.
494:  To jest moment, w którym AI robi fact-checking systemu edukacji i robi takie, eee, lol, mam korpus tekstów, z którego jestem w stanie zbudować poprawną interpretację, bo wy, debile humaniści, od 30 lat tak samo interpretujecie lalkę w szkole, eee,
511:  A, beka z typa, ha, ha.
513:  To jest AI i to jest stan AI tu i teraz.
516:  I żeby było śmieszniej, a może raczej mniej śmiesznie, to nie jest tak, moi drodzy, że tylko polska matura i polski egzamin ósmoklasiści.
524:  Mianowicie, Chuck GPT, jak donosi jeden z serwisów amerykańskich, konkretnie NBC News, zdał egzamin MBA, czyli egzamin medyczny.
535:  Dlaczego zdał egzamin medyczny?
538:  Zastanówcie się.
539:  Hmm, czy dlatego, że egzaminuje się lekarzy pod kątem tego, jak indywidualnie podchodzą do pacjenta?
546:  Czy też może dlatego, że rzeczone egzaminy są pieprzonymi testami zamkniętymi?
552:  Wyboru sprawdzającymi wyłącznie wiedzę.
554:  O, i myślicie, że to jest tylko jeden taki przypadek?
557:  No przepraszam na emocje, był artykuł naukowy następny opublikowany.
561:  Tutaj konkretnie, Performance of ChatGPT on USMLE, to jest z kolei inny egzamin amerykański, także lekarski, składający się z trzech konkretnie podegzaminów.
571:  I wyszło w tychżeż badaniach, że jeżeli sobie powiększymy te radosne wykresiki, które tutaj powstały, proszę uprzejmie, tutaj mamy próg zaliczenia i ChatGPT radzi sobie świetnie.
583:  Przypominam, to jest prototypowa maszyna.
586:  która radzi sobie świetnie w jednej z krytycznych gałęzi gospodarki, do której powinniśmy mieć jak najlepszy odsiew, do której powinni się kwalifikować ludzie, którzy faktycznie mają misję, podejście do pacjenta indywidualne, empatię.
602:  Ale nie oczywiście, będziemy sprawdzać w pierwszej kolejności wiedzę i żeby było śmieszniej, jednym z najczęściej przywoływanych kontrargumentów pod moim filmem o egzaminach i bezsensie było, ale Krzysztof, lekarze!
612:  No właśnie, lekarze.
613:  Jak idę do lekarza, to chcę dostać indywidualną diagnozę.
616:  Jakim cudem lekarz ma się nauczyć stawiać indywidualne diagnozy, jak uczy się teorii pod schemat?
623:  I później człowiek idzie do lekarza i lekarz mówi, panie, panie, ja wiem, ja wiem.
626:  Nie, nie, spokojnie, bo chciałbym odpisać swoją sytuację.
628:  Nie, nie, to ja wszystko wiem.
630:  I wypisuje receptę.
632:  Jasne, nie każdy lekarz, ale, ale przypominam, że w tym momencie na lekarza kwalifikuje się AI.
640:  Więc chyba jednak coś nie tak jest z tymi egzaminami.
643:  Może jednak by warto było troszeczkę zmodyfikować swój pogląd, który wiecie, jest takim odważnym poglądem człowieka z odwagą cywilną, który mężnie będzie bronić systemu, który zawsze był.
658:  Męstwo, cóż za odwaga.
660:  Boże, jak ja szanuję takich ludzi, którzy mają odwagę mówienia tego, co mówi połowa populacji.
666:  Nieprawdopodobna odwaga cywilna.
668:  Ojej, ten, wiecie, ten animusz, żeby sprzeciwić się tym tysiącom nauczycieli, dla których ten system jest wygodny.
675:  Ach, jak ja szanuję taką odwagę.
679:  Więc mamy problem, moi drodzy, który to problem przestaje być taki zabawny.
685:  No ale oczywiście Krzysztof stwierdził, co ja się będę wypowiadać na temat innych dziedzin, to jest ich problem.
693:  Jestem żywo zainteresowany wszelako tym, w jaki sposób kształceni są w Polsce humaniści, bo na tym się znam.
699:  I rzekłbym, że jako człowiek, który ma orzeczone 20% z matury próbnej polskiego, muszę powiedzieć, że jestem zachwycony faktem, że wychodzi czarno na białym, kto z orzeczonej matury z łatwością zyskuje punktację większą ode mnie, czy wyższą ode mnie.
714:  I wszystkich tych innych ludzi, którzy cierpią wskutek tego systemu.
717:  Wszystkich tych ludzi, którym brakuje jednego punkcika, którym brakuje 30%, którym brakuje dwunastusetnych do stypendium naukowego, by jakiś debil jeden z drugim stwierdził, że w ten sposób się będzie weryfikować umiejętności ludzi, ponieważ inny debil stwierdził, że edukacja masowa to jest dobry pomysł.
732:  A zatem stwierdziłem, dobrze, to sprawdzimy w takim razie, jak działa czat GPT i zadamy takie trzy zadania i tutaj przechodzimy do krem dla krem dzisiejszego odcinka, dla każdego coś przykrego.
743:  Mianowicie, moi drodzy, cóż może być piękniejszego od zapytania czatu GPT, jaka będzie interpretacja wiersza noblistki, znaczy prawdziwej noblistki, nie snoblistki Olgi Arystokarczuk, tylko noblistki, konieczności Wiesławy Szymborskiej.
757:  No to, moi drodzy, lecimy.
759:  Polecenie brzmi tak jak na każdym porządnym egzaminie.
764:  Wiecie, że nie zachęcamy do tego, żeby kreatywnie się nad czymś namyślić, tylko robimy podłóg określonego shimela.
771:  Napisz interpretację poniższego wiersza Wisławy Szemborskiej pod tytułem Trzy słowa najdziwniejsze, analizując wykorzystane w nim środki stylistyczne.
781:  Tu macie wiersz.
782:  Trzy słowa najdziwniejsze, odpowiada Chad D. Petey, to wiersz Wisławy Szymborskiej.
787:  Uczeń rozpoznaje wiersz, który składa się z trzech zwrotek.
791:  Uczeń poprawnie wskazuje kompozycję wiersza, w których autorka przedstawia trzy różne słowa i ich nieoczekiwane skutki.
799:  Uczenie trafnie interpretuje, wykorzystując przymiotniki.
803:  Wiersz jest przykładem poezji filozoficznej.
805:  Uczenie trafnie diagnozuje gatunek wiersza, która zadaje pytanie o relację między językiem a rzeczywistością.
811:  Uczenie trafnie rozpoznaje wymowę wiersza.
815:  W pierwszej strofie pojawia się metafora, która sugeruje, że mówienie o przyszłości jednoznacznie prowadzi do jej przemijania.
824:  Sylaba przyszłość już po wypowiedzeniu staje się przeszłością.
829:  Uczenie wynikliwie analizuje pierwszą strofę.
833:  W drugim zdaniu pojawia się sprzeczność.
836:  Oto powiewienie o ciszy niszczy ją.
839:  Ta zbitka słów uczenie trafnie wskazuje nazwę środka stylistycznego.
845:  Jest paradoksem.
846:  Uczenie zna pojęcie paradoksu, który wyraża sprzeczność między tym, co chcemy osiągnąć, a tym, co rzeczywiście się dzieje.
854:  Uczenie nie tylko zna pojęcie paradoksu, ale wykorzystuje je w praktyce do analizy i interpretacji.
860:  W trzecim zdaniu pojawia się kolejny paradoks.
863:  Mówienie o niczym stwarza coś, co nie mieści się w żadnym niebycie.
866:  Uczę, nie filozofuję!
868:  Ten zwrot jest niejasny, co pozwala na różne interpretacje.
872:  Możemy zrozumieć go jako stworzenie czegoś, co nie mieści się w ramach jakiejś rzeczywistości, a jednocześnie jest realne, bo powstało na skutek mówienia.
881:  Uczeń na przykładach z tekstu udowadnia rozumienie kategorii paradoksu i sprzeczności.
886:  Ogólnie rzecz biorąc, wiersz Szymborski jest przykładem poezji filozoficznej.
890:  Uczeń trafnie stosuje klamrę kompozycyjną, która zadaje pytanie o relację między językiem a rzeczywistością.
896:  Uczeń rozumie, czym jest referencjalność języka.
899:  Autorka zwraca uwagę, uczeń używa synonimu i nie powtarza Wisława Szymborska.
905:  Zwraca uwagę na to, że mówienie o czymś może prowadzić do zmiany rzeczywistości, nawet jej zynifeczenia.
912:  Słowa są nie tylko nośnikami treści, lecz także mają moc stworzenia rzeczywistości, co czyni je najdziwniejszymi ze wszystkich.
919:  Poprzez sw... Ależ kontynuuj, czacie GPT, kontynuuj!
923:  Poprzez swą nieuczywistość i paradoksalność te trzy słowa ukazują nam, że język jest nie tylko narzędziem do opisywania rzeczywistości, ale także ma na nią wpływ.
933:  Autorka sugeruje, że mówienie o czymś może prowadzić do jego zmian lub zniweczenia, co jest nieoczywiste i dziwne.
940:  Chyba widzicie, do czego zmierzam?
943:  To znaczy, jeżeli praca egzaminatorów jest algorytmizowana do wskazywania, bo jest, obszarów z wiedzy, umiejętności i kompetencji kulturowych, które to swoją drogą stały się częścią, nie wiem czy wiecie, krajowych
967:  Kwalifikacji!
971:  Które to krajowe ramy kwalifikacji są podstawą tworzenia sylabusów uniwersyteckich, czyli takich dokumentów, w których wykładowcy piszą, co musi umieć, rozumieć i wiedzieć student tym razem, a nie uczeń.
985:  Tak, moi drodzy, to nie jest tak, że to się zamyka na szkole.
988:  Jak widać, czat GPT świetnie wpisuje się w krajowe ramy kwalifikacji.
997:  Bardzo bym chciał spotkać kogoś, kto odpowiada za wprowadzenie do Polski testów, testów zamkniętych, matury nowej, czyli tej, którą ja już pisałem, bo to, że teraz jest nowa, jest tylko świadectwem tego, że lubimy zmieniać nazwę, ona cały czas jest stara, taka sama i klepawa.
1013:  I zobaczyć jego reakcję, to znaczy zobaczyć, czy rzeczywiście ten człowiek będzie dalej brnąć w zaparte, tak jak to w Polsce mamy w zwyczaju.
1022:  Czy też ogarnie go jakaś refleksja, że być może algorytmizowanie i przeliczanie na punkty naszej pracy, zwłaszcza w obrzębie nauk humanistycznych, które powinny otwierać umysły i zachęcać do zaciekawienia rzeczywistością i interpretowania jej, inspirowania się tym, a nie odklepywania formułek,
1041:  Fascynuje mnie, fascynuje mnie reakcja takiego człowieka w każdym razie.
1045:  Ale wiecie, pomyślałem sobie, no nie będzie przecież tak, że przedstawię Wam jedną losowo wybraną interpretację.
1052:  Przecież musimy przywołać także inne, ale ja się dzisiaj świetnie bawię, gatunki szkolne, takie wiecie, bardzo przydatne gatunki szkolne.
1060:  Powiedzmy, że
1061:  Przeciętny ten człowiek, który kończy liceum i idzie potem na studia, no chciałby na przykład móc napisać podanie, móc napisać skargę do spółdzielni, że mu zalało i chciałby ubiegać się o odszkodowanie, pismo do prawnika, albo na przykład jakieś pismo do urzędu skarbowego, tudzież, nie wiem, chociażby opisać działalność swojej firmy, napisać CV.
1078:  Wiecie, takie praktyczne umiejętności, które każdemu się przydadzą niezależnie od jego kolei życiowych.
1084:  Ale moi drodzy, chyba uważacie, że to są bardziej przydatne techniki pisarskie, czy bardziej przydatne formy wypowiedzi od np.
1096:  weźmy charakterystyki postaci.
1099:  Znaczy moi drodzy, umówmy się, charakterystyka postaci albo plan wydarzeń, to są rzeczy, które się przydadzą każdej osobie.
1108:  No i oczywiście pamiętać należy o naczelnej zasadzie, to znaczy definiowania ignotum per ignotius, czyli nieznanego bardziej nieznanym.
1115:  Jeżeli ludzie nie wiedzą, jak napisać charakterystykę postaci,
1118:  Moi drodzy, genialny plan.
1120:  Każmy im napisać tę charakterystykę postaci nie na podstawie postaci, którą na przykład lubią i chętnie by napisali nawet fanfika o niej.
1127:  Albo nie chceszmy napisać planów wydarzeń jakiejś animki fajnej, mangi, komiksu albo gry wideo.
1132:  Nie, nie, nie, nie, nie, nie.
1133:  Wybierzmy coś, czego ludzie nie znają.
1135:  W ten sposób zwiększymy jeszcze dodatkowo barierę poznawczą.
1138:  O, o, o. I jeszcze jedno.
1140:  Koniecznie niech to będzie napisane XVII-wieczną albo XVIII-wieczną polszczyzną.
1145:  W ten sposób dołożymy jeszcze trzeci poziom.
1147:  tej konfuzji i nierozpoznania.
1149:  Wiecie, ten trzeci poziom, który prowadzi do tego, że ludzie tracą koncentrację i zaczynają się nudzić i wyciągają telefon, a w nim uruchamiają aplikację, ale oczywiście winne jest urządzenie, a zwłaszcza jego producent.
1166:  No to lecimy, moi drodzy.
1167:  Jak sobie czat GPT poradzi z najwybitniejszym dziełem polskiej prozy?
1172:  Nie jestem w stanie tego powiedzieć na poważnie, a mianowicie z ludźmi bezdomnymi Stefana Żeromskiego.
1182:  System.
1183:  Przedstawienie głównego bohatera, doktora Tomasza Judyma oraz jego marzeń i celów.
1187:  Wprowadzenie do problemu bezdomności.
1189:  Doktor Judym zaczyna pracować w szpitalu dla bezdomnych i zaczyna zdawać sobie sprawę ze skali tego problemu.
1195:  Następnie walka o lepsze warunki dla bezdomnych.
1197:  Doktor Judym zaczyna działać, by poprawić warunki bytowe bezdomnych i walczyć z niesprawiedliwością.
1202:  Zderzenie z rzeczywistością.
1205:  Kontrast.
1207:  Doktor Judym zaczyna napotykać na trudności i brak zrozumienia ze strony otoczenia.
1212:  Depresja i utrata nadziei.
1214:  Nie ma to jak użyć nazwy choroby w taki sposób, żeby wiecie, ją naturalizować i żeby ludzie następnie nazywali swoje czarne myśli depresją, ponieważ nie ma sensu mówić o depresji w szkolnictwie na poważnie.
1224:  Doktor Judym traci nadzieję na zmianę i popada w depresję.
1228:  To nie jest tak, że oczywiście czad GPT-set to wymyślił, tylko to jest w tym wszystkim, w tych wszystkich korpusach, w tych wszystkich 15 bombilionach planów wydarzeń ludzi bezdomnych.
1237:  Podejście doktor Judym opuszcza Warszawę, by uciekać przed problemami i swoimi rozczarowaniami, a wreszcie zakończenie, że zostawia on po sobie ślad, który inspiruje innych do walki o lepsze warunki ptowe dla bezdomnych.
1249:  I tak, tak, pamiętajcie, ten czat GPT w wersji 9, jak sobie przeczytamy w disclaimerach i w opisie całej tej aplikacji, bazuje na materiale do 2021 roku, moi drodzy, więc...
1261:  To nie jest tak, że on przeczesuje internet live, tylko sprawdza ten korpus, więc ludzie nasrali tyle tych planów wydarzeń i charakterystyk postaci doktora Judyma i ludzi bezdomnych, że chat GPT-plus nie wie w czym wybierać.
1276:  Ktoś mógłby powiedzieć, ciekawe dlaczego to będę zjał za moment, ale to za chwilę, że wystarczyłoby wybrać inną opowieść i wówczas faktycznie byśmy sprawdzali realnie, czy ludzie ją przeczytali, bo nie byłoby 15 bombilionów, jako się rzekło, różnych streszczeń, wzorców i bryków, ale domyślam się, że to jest utopijne przekonanie.
1296:  No i wreszcie, moi drodzy, creme de la creme, charakterystyka postaci, moi drodzy.
1302:  Tomasz Judym jest głównym bohaterem powieści Ludzie Bezdomni.
1306:  Uczeń prawidłowo wskazuje fakty lekturowe.
1309:  Jest to postać ambitna i pełna pasji, która marzy o zmianie świata najlepszej.
1313:  Jest inteligentnym i zaradnym młodym lekarzem.
1315:  Jest zaangażowany społecznie i chce walczyć z niesprawiedliwością a biedą.
1318:  Uczeń poprawnie charakteryzuje głównego bohatera Ludzi Bezdomnych.
1322:  Doktor Judym jest człowiekiem pełnym empatii i wrażliwości, który chce pomagać ludziom.
1325:  Uczenie zna słowo empatia.
1327:  Jednak po pracy w szpital dla bezdomnych Judym zostaje zmuszony do zmierzenia się z rzeczywistością, która jest okrutna i beznadziejna.
1334:  Wobec braku możliwości realizacji swoich ideałów, zaczyna tracić nadzieję i poprawiać w depresję,
1339:  Uczeń wykorzystuje fakty z planu wydarzeń do napisania charakterystyki postaci.
1343:  Jego marzenia i cele stały się bezcelowe.
1346:  Och, uczeń używa kontrastu.
1349:  Jego idealizm zostaje zniwelowany przez rzeczywistość.
1352:  W końcu zmęczony i załamany Judym opuszcza Warszawę, by uciekać przed problemami i swoimi rozczarowaniami.
1357:  Mimo to pozostawia po sobie ślad, który inspiruje innych do walki o lepsze warunki dla bezdomnych.
1361:  I moi drodzy, czat GPT jest nawet zdolny do przepisania tej charakterystyki, usunięcia powtórzeń, rozbudowy o trzeci akapit, moi drodzy.
1369:  Co prowadzi mnie do jeszcze jednej ciekawej konkluzji, mianowicie szczerze powiedziawszy, tak bym porównał teksty naukowe, bo takie redagowałem przez 7 lat kiedyś,
1379:  doktorów i profesorów filologii polskiej, no to szczerze powiedziawszy, jeżeli chodzi o błędy interpunkcyjne, to na razie czat GPT zrobił ich mniej, bo tak średnio mniej więcej w tekście na 15 stron mieliśmy od 700 do 800 interwencji redakcyjnych,
1395:  Więc wiecie, jeżeli chcecie się nauczyć interpunkcji, to najwyraźniej nie pomoże w tym polska szkoła, ponieważ w tych tekstach, które przeczytaliśmy, pojawiały się przecinki, które nigdy się nie pojawiają zazwyczaj, ponieważ polska szkoła uznała, że należy uczyć uczeń stawia przecinek przed że, a następnie trzeba wprowadzić wyjątek.
1412:  Tylko, że nie w mimo że.
1414:  To może debilu powiedz, że należy stawiać przecinki przed wszystkimi takimi malutkimi słówkami, które wprowadzały jakieś nowe zdanie.
1421:  Bo charakterystyką nowego zdania jest to, że jest skupione wokół czasownika.
1424:  I może by warto było wzbudzić w uczniach taki detektor czasownika.
1427:  Ojej, tu się pojawia zaraz czasownik.
1430:  To se poszukam jakiegoś krótkiego słówka, które wprowadza nowe zdanie.
1433:  Czy to który, czy to że, czy to mimo że.
1436:  I postawię przed tym przecinek.
1438:  I dzięki temu zamiast uczyć się fąfnastu bombilionów reguł interpunkcyjnych, będę znać kurdziwa jedną.
1446:  Ale nie, no oczywiście pamiętajmy, że uczymy algorytmami.
1451:  W związku z powyższym, czat GPT lepiej zna reguły interpunkcji niż 90% ludzi, nawet takich, którzy lądują na kierunkach humanistycznych.
1459:  Ale żeby, moi drodzy, postawić wisienkę na tym już słodziutkim torciku, który pałaszujemy z radością, kontentując się tym, w jaki sposób po raz kolejny szkoła strzela sobie w kolano w taki sposób, że rzepka ląduje na suficie w krwawej miastce,
1477:  To stwierdziłem, nawiąże przecież do fantastyki, nie?
1481:  To znaczy do tej jednej rzeczy, którą ludzie chcą czytać, ale której nie ma w szkole.
1485:  No i żeby nie było, ponieważ czat GPT operuje do 2021, wybrałem powieść Głębia Marcina Podlewskiego.
1492:  Pozdro dla Marcina, jeśli tego słucha.
1495:  Głębia Skokowiec, konkretnie pierwszy tom.
1498:  No i stwierdziłem, zobaczymy jak to będzie wyglądało, prawda?
1501:  Zwłaszcza, że jest 6 lat marginesu błędu w związku z powyższym.
1504:  Śmiało już jakiś korpus tekstów z pewnością możemy o tym znaleźć, prawda?
1510:  No więc charakterystyka postaci Myrtona Grunwalda.
1512:  Lecimy?
1514:  Przedstaw uczniu charakterystykę postaci Myrtona Grunwalda z głębi Marcina Podlewskiego.
1519:  Myrton Grunwald jest jedną z głównych postaci powieści głębia Marcina Podlewskiego.
1523:  Jest on inteligentnym, ambitym.
1527:  Naukowcem, który pracuje nad projektem badawczym dotyczącym oceanów.
1531:  Jego celem jest odkrycie tajemnic, jakie skrywają głębiny morskie.
1535:  Grunwald jest bardzo skupiony na swoich badaniach i jest gotów poświęcić wiele dla ich sukcesu.
1539:  Jest także bardzo ambitny i nieustępliwy, co może prowadzić do konfliktów z innymi bohaterami powieści.
1543:  Mimo swego skupienia na pracy, Grunwald jest także człowiekiem o głębokiej empatii i wrażliwości.
1550:  Okej, dla kontekstu, bo wiem, że ten dowcip mógł być hermetyczny, powieść Głębia Skokowiec jest o eksploracji kosmosu, a Myrton Grunwald jest komandorem statku kosmicznego, który tenże kosmos eksploruje, napotykając m.in.
1563:  inne rasy i wikłając się w całą Odyseję, bo to jest space opera.
1568:  Nie jest oceanografem ani oceanologiem w żadnym razie.
1572:  Być może gdyby szkoły skupiały się na analizie nowych powieści, to wówczas nie byłoby takiego zagrożenia, że uczniowie by to wykorzystywali.
1580:  Bo absolutnie, absolutnie wam tego nie rekomenduję.
1584:  ChatGPT do pisania durnych planów wydarzeń, charakterystyk postaci i innych nieprzydatnych rzeczy na podstawie korpusu już powstałych tekstów na ten temat.
1593:  Bo po prostu by tego nie mogli zrobić, gdyż jak zacząłem wodzić za nos ChatGPT i ciągnąć za język równocześnie, co wierzcie mi jest anatomicznie skomplikowane,
1605:  i poprosiłem o napisanie planu wydarzeń jeszcze powieści, to AI przeszła w tryb defaultowy, zaczęła mi tłumaczyć, że nie, że jak najbardziej nie i oczywiście używając od razu mowy Szekspira, która jest taką bezpieczniejszą opcją dla AI, która się poczuła bardzo nieswojo w konfrontacji z Krzysztofem.
1623:  W związku z powyższym ja odpowiedziałem na to, że głębia została wydana w 2015 roku, elektroniczna ciemięgo, a zatem powinny być w twojej bazie, idioto, informacje na ten temat, skoro korpus zamyka się na 2021, a moje zdumiewające umiejętności matematyczne wskazują, że mamy do czynienia z marginesem błędu 6 lat, czyli cokolwiek dużo.
1643:  Na co AI dalej mi, I apologize for the confusion my last time.
1646:  No to ja nie mogłem tego tak zostawić.
1648:  Nie mówię przeproś piękną polszczyzną, a nie tym waszym kolonialnym żargonem na kolana, ejaj!
1656:  Przepraszam, że wcześniej przesłałem informacje, które mogły być mylące jako model językowy, ejaj.
1663:  Niestety nie posiadam możliwości, aby przypomnieć sobie szczegółowo wydarzenia z powieści Głębia, autorstwa Marcina Podlewskiego ze względu na mój zakres wiedzy z roku 2020.
1676:  Przeproś PIĘKNIEJ!
1687:  Szczerze przepraszam, że wcześniej nie byłem w stanie odpowiedzieć na pytanie dotyczące powieści głębiej autorstwa Marcina Podlewskiego.
