Szkoła NIE MA PRAWA ingerować w wygląd uczniów | Dla każdego coś przykrego #56
🔗 https://www.youtube.com/watch?v=UIg01-l8Wzg

0:  Coraz częściej podnoszona w debacie publicznej kwestia praw ucznia ma dwa oblicza.
269:  W związku z tym w ramach naszych doniesień prasowych, które mogą zaalarmować na temat pewnej tendencji, która się pojawia, czytamy z lipca 2023 doniesienie, że nauczycielka z woźną podstępem obcięły włosy uczennicy i staną za to przed sądem szczęśliwie.
283:  To było w szkole łańcuckiej i kontekst był taki, że stwierdziły obydwie kobiety, że ponieważ jest epidemia w Szawicy,
291:  to dziewczynka, która ma splątane włosy i kołtun, musi po prostu zostać pozbawiona tego kołtuna, ponieważ one się poczuły wtedy lekarkami i musiały zainterweniować medycznie.
302:  To jest ekwiwalent sytuacji, w której byście zobaczyli na ulicy kogoś z krzywym zębem i byście unieuchomili go i następnie zaczęli mu wyrywać zęba rzeczonego obcęgami i jeszcze następnie kazali podziękować, wytłumaczywszy, że skoro twój ortodonta nie umiał, to ja ci pomogłem.
319:  To jest przerażające absolutnie i dobrze, że sprawą tą zajął się akurat sąd, natomiast wciąż na wyrok sądu czekamy i wiecie dobrze jak to będzie.
326:  Nie dowiemy się jaki był ten wyrok sądu, ponieważ o tym oczywiście media już nie doniosą, a przynajmniej w tym konkretnym przypadku powinna być zasądzona absolutna kara bezwzględna zakazu wykonywania zawodu.
338:  Przypadek z kilku miesięcy wcześniej, też z roku 2023.
343:  Szarpnięcie za włosy i znowu trzeba było obciąć je.
347:  Nastolatka opowiedziała o tym na TikToku, chwała Bogu, że można dzisiaj o takich rzeczach opowiadać i to dokumentować.
352:  I Marcin Kruszewski z Prawa Marcina, serdeczne pozdrowienia, zareagował na to i bardzo dobrze.
360:  twierdząc, że w przypadku szarpania włosów i zmuszania do ich obcięcia jest niedopuszczalna sytuacja, która grozi odpowiedzialnością karną za naruszanie nietykalności cielesnej i dóbr osobistych ucznia, bo nauczyciel nie może nawet dotknąć włosów ucznia, cóż dopiero za nie szarpać albo, wiecie, jeszcze do tego wszystkiego wprowadzać przedmiot ostry, nożyczki.
377:  Wystarczy, że się ręka powinie, trzeba mieć wyobraźnię, można wykuć oko dziecku wtedy.
382:  Jak można w ogóle doprowadzać do takich sytuacji?
385:  Ja nie jestem w stanie przejść nad tym do porządku dziennego całkowicie obojętnie, gdy równocześnie nauczyciele mówią, że uczniowie nie mogą przedmiotów ostrych wnosić na teren szkoły.
396:  Jak widać, nie muszą, ponieważ te przedmioty już są i w rękach nieodpowiedzialnego nauczyciela mogą się zmienić w broń.
404:  Wyborcza jeszcze donosiła w lutym 2023 roku, że dyrektor jednego z krakowskich liceów, ja obstawiam jedynkę lub dwójkę,
411:  Zatrzymał jedną z uczennic na korytarzu, kazał jej zmyć makijaż i zagroził, jeżeli nie zmyjesz go sama, mam w biurku rozpuszczalnik.
418:  Mama dziewczyny prosi, żeby nie podawać, która to szkoła, bo nie chce dalszych nieprzyjemności.
422:  To też jest ważna dla nas historia, bo z niej możecie sobie wyprowadzić wniosek a minori ad maius, czyli od małej przesłanki do większej, skoro
432:  Dzieci się boją mówić rodzicom o takich sytuacjach z uwagi na wstyd albo, nie wiem, złe kontakty ucznia z rodzicem, wszystko jedno, tak może się przecież zdarzyć.
442:  Tym bardziej boją się o tym mówić dyrekcji albo kuratorium,
447:  Nauczyciele z kolei chcą, żeby sytuacja absolutnie była zamieciona pod dywan, a rodzice albo nie wierzą uczniowi, albo boją się właśnie, tak jak mama tej uczennicy, że będą jakieś konsekwencje, to ile przeszkód musi być pokonanych, żeby sprawa trafiła do mediów?
463:  rozumiecie już, dlaczego tych spraw nie mamy dziennie kilkadziesiąt, tyle ile ich jest w Polsce, tylko mamy je raz na miesiąc, dwa razy na miesiąc.
471:  Wam się wydaje, że to są izolowane przypadki?
474:  Jak zobaczymy zaraz na statystykach, to bynajmniej nie są izolowane przypadki, a dla mnie, z mojej perspektywy, tego rodzaju świadectwa są po prostu dokumentem
484:  Uwiądu pedagogicznego w Polsce, tego, że nauczyciele nie umieją uczyć, że nie są uczeni właściwie, nie ma warsztatów pedagogicznych z rozwiązywania trudnych spraw, a przede wszystkim są kompletnie nieświadomi konsekwencji prawnych, jakie mają tego rodzaju zachowania, bo zauważcie, że tutaj mówiliśmy we wszystkich praktycznie przypadkach o naruszaniu prawa do wyglądu u dziewcząt.
508:  To nie jest normalne, zwłaszcza, że konstytucja mówi o zakazie dyskryminacji ze względu na płeć, więc coś jest bardzo mocno nie tak.
515:  I uchwyciła to coś świetnie Agnieszka Miastowska w artykule Powrót do szkoły i pokaz władzy nauczyciela, gdzie zapytowuje retorycznie, czy kreska na oku 14-latki ma być rzeczywiście ważniejsza niż jej wiedza.
526:  I przywołuje tutaj ten charakterystyczny argument, że szkoła to nie rewia mody.
529:  Ja jak ostatnio patrzyłem na rewie mody, nie wiem, domów w Versace czy Prada, to jako żywo nie ma tam takich strojów, na jakie są w stanie sobie i finansowo pozwolić uczniowie, więc metafora to nietrafiona, ale przede wszystkim zauważcie, że kto zwraca uwagę w ogóle tutaj na wygląd, mówiąc o tym, że to nie jest rewia mody?
546:  Czemużby nie służyć przykładem i nie traktować właśnie uczennic jako, nie wiem, modelek czy mis i zwracać uwagę na ich wiedzę, ambicje, wzmacniać te cechy, które bardzo często ukrywają się właśnie wskutek tego, że jest zła priorytetyzacja zachowań i tak, oczywiście wiem co powiecie, że jest jeszcze Instagram i tak dalej,
566:  No właśnie, to znaczy my już i tak mamy nasze mózgi lasowane przez to, że cały czas musimy wszyscy praktycznie ścigać jakiś niedościgniony ideał urody, to jeszcze trzeba nas udupić w miejscach, do których nawet nie chcemy chodzić, idziemy tam z przymusu, chcemy mieć wszystko z głowy za sobą już i tego rodzaju trudności są opiętrzone.
590:  I to się dzieje, moi drodzy, od lat i ta redaktorka zresztą bardzo słusznie przywołuje, że dużo ludzi wtedy tak wspomina ten mores szkolny i dyscyplinę z pewną dozą nostalgii, mimo że to było znęcanie się z powodu makijażu, pomalowanych paznokci, nieodpowiedniej fryzury.
604:  Nie było mowy wtedy, pisze ona, o makijażu czy jakimś farbowaniu włosów, gdy raz zobaczyła jej mama koleżankę w pomalowanych rzęsach,
611:  Nauczycielka zobaczyła koleżankę i mamę w pomalowanych rzęsach, wzięła ją pod rękę i zaprowadziła do łazienki.
617:  Sama zaczęła szorować twarz tej dziewczynie, bo uważała, że na twarzy ma także puder.
622:  Z tym akurat się pomyliła.
623:  To jest przerażające absolutnie.
625:  Czyli jak daleko...
627:  można posunąć się z ingerencją w cudzą prywatność, intymność, cudzą cielesność.
632:  W szkole tymczasem, jak pisze świetnie ta autorka, nastolatki muszą się dostosowywać do sztywnych zasad, tak?
639:  Spędzać dnie na nauce, godziny na odrobieniu zadań, no mnóstwo tych rzeczy jest,
643:  I na sam koniec nauczyciele mówią im prosto w twarz, ale poza tymi wszystkimi zasadami nawet nie masz prawa wyglądać tak, jak chcesz, mimo że rodzice ci na to pozwalają.
652:  Gdzie w ogóle i kto, bo nie ma takiego aktu prawnego w Polsce, zezwala nauczycielom na decydowaniu w imieniu rodziców,
660:  jak mają wyglądać ich dzieci, zwłaszcza wtedy, jeżeli rodzice dają mocą swojej suwerennej decyzji wolność i swobodę swojej progeniturze do decydowania o jej losie czy wyglądzie.
673:  Nie jestem w stanie znaleźć takiej podstawy prawnej, jak zobaczycie wkrótce, nie tylko ja.
678:  I jeszcze jeden cenny dla mnie, jako faceta mimo wszystko, głos,
703:  Dla mnie samej masy nastolatek makijaż był maską, pod którą ukrywałem trądzik i teraz sobie uświadamiam, że tak, ja jako facet też sobie ukryłem swój trądzik różowaty korektorem, co robię już tak machinalnie, że nawet się nad tym nie zastanawiam, a tak nie chcę Wam świecić moimi czerwonymi plamami przed kamerą.
720:  I co?
721:  No to, moi drodzy, jesteście na YouTubie świadkami rewimody!
725:  Gdzie tam dom werskacze i armatni i inni guciowie i guci?
730:  Krzysztof na YouTubie to jest rewiamody, moi drodzy, więc cieszcie się, macie to za darmo i nie musicie płacić za wstęp na jakiś gigantyczny jubel, gdzie pokazują się modele i modele.
741:  Macie Krzysztofa z jego trdzikiem różowatym korektorem.
745:  Jakie to jest bardzo żenujące?
746:  No bardzo jest żenujące.
747:  Jeśli pomyślicie, że dla młodej cery zdrowej, wracam do wątku,
751:  zdrowie byłoby jej niczym nie zakrywać, chyba nie wiecie, jak okrutni potrafią być nastolatkowie.
756:  Nawet najmocniejszy makijaż wykonany słabymi i tanimi kosmetykami, które pewnie nie poprawiały zdrowia naszej cery, często dawał bowiem tę ważną częstkę zdrowia psychicznego, spokój od uwag, pewność poczucia atrakcyjności i odrzucenie wstydu.
768:  Robiłam makijaż, pisze sama autorka, nie po to, żeby zachwycić kolegów z klasy, jak z ironią sugerowali mi nauczyciele, co nawiasem mówiąc zakrawa o mobbing, ale raczej po to, żeby nie zwracać na siebie uwagi, nie odstawać wyglądem.
779:  Gdy pan od historii próbował przy całej klasie podkreślić,
781:  za mocno, kto traktował szkołę jako konkurs piękności.
785:  Uwielbiam tę retorykę artykułu i myślę, że bardzo dobrze tu jest wskazany podstawowy problem, to znaczy tutaj mamy do czynienia z jakąś fiksacją na punkcie wyglądu i nieumiejętnością dostosowania się do
798:  różnych zmieniających się trendów, która bynajmniej nie jest właściwa wyłącznie współczesnemu społeczeństwu i powiedzmy to sobie otwarcie.
805:  Nieprzypadkowo miniaturka do tego filmu to jest prześmiewczy rysunek Honoré Daumier, który się wyśmiewa z Krynolin.
813:  Tak było, będzie i nie ma się co temu dziwić.
817:  Natomiast czegoś wcześniej nie było.
819:  To znaczy nie było statutów i aktów prawnych regulujących to, co się w szkołach może przydarzyć, a co nie.
826:  Instytucja szkoły jest relatywnie młoda.
829:  W związku z powyższym dzisiaj mamy do czynienia z innego rodzaju problemami, ponieważ to nie chodzi już tylko o to, że krytykujemy sobie jakieś zjawisko społeczne.
837:  Możecie sobie krytykować absolutnie wszystko.
839:  Tak jak ja na przykład mogę się wyśmiewać z facetów, którzy mówią, że no, no, no.
844:  On się powinno dobrze ubierać, a on, powiedzą, na galowo, co uwielbiam, bo galowy to może być mundur, ho ho ho, a tymczasem sami nie potrafią zawiązać krawata porządnie, tylko wiążą sobie takiego kwadratowego Windsora, bo symetryczny ma być, mimo że Arystoteles tłumaczył, że symetria jest estetyką głupców.
860:  No i co?
861:  No i mogę coś takiego powiedzieć i tylko mówię to dlatego, że ludzie właśnie tacy, którzy najczęściej nie mają wiedzy, kompletnie nie znają kanonów męskiej elegancji, będą się wymądrzać, jak ktoś się ma nosić, to może siedź cicho, jak nie wiesz, zamknij się i nie raś wszystkich naokoło swoją niekompetencją i głupotą.
881:  Wiele razy wam mówiłem, że cechą ludzi głupich nie jest to, że mają jakieś niedostatki, z których sobie zdają sprawę.
888:  Nie.
888:  Człowiek głupi
888:  głupi jest święcie przekonany, że jest mądry.
891:  I to jest właśnie problem i niestety w tym konkretnym przypadku jest to też problem wszystkich ludzi, którzy byli autorami tych statutów, czyli wszystkich nauczycieli, którzy podpisują się pod tego rodzaju uwagami.
901:  I mówię to nie ja, tylko Rzecznik Praw Obywatelskich, który rok temu już interweniował w sprawie tego, że są skargi uczenniów i uczennic, którzy podnoszą zapisy określające ich obowiązki w szkolnych statutach, ingerują także w kwestie związane z ich wyglądem.
917:  W artykule w Rzeczpospolitej powołano się na opinię mecenasa Chmielowskiego, który zwraca uwagę i przypomina, że w statutach nie powinno być w ogóle mowy na temat wyglądu ucznia, tylko powinna być dyskusja ewentualnie na temat stroju, który jest regulowany statutem.
933:  Wiecie, no, szkoła sobie ustanawia dress code, może ustawodawca przewidział tego rodzaju
940:  możliwości, w związku z powyższym szkoła sobie może narzucić mundurki.
943:  Ja wprawdzie uważam, że wtedy powinna je sfinansować, bo to jest kaprys szkoły, tak?
947:  To szkole się chce być etonem drugim, mimo że nim nigdy nie będzie.
950:  No to jeżeli chcesz wyglądać jak eton, przynajmniej fasadowo, tak?
954:  To w Polsce lubimy, żeby fasadowo było wszystko ładnie, pozłota zniknie na ścianie, a świńska skóra zostanie, tak?
960:  No, więc to może sobie to zrobić w takim razie, ale niech zapewni ludziom możliwość pozyskania tych mundurków za darmo.
966:  Nie ma problemu.
967:  Natomiast
968:  To jest część stroju.
971:  Tutaj natomiast mówimy, zauważcie, o czymś innym.
973:  Strojem nie są włosy kolorowe, nie jest nim piercing, nie jest nim tatuaż, nie jest nim makijaż, nie jest nic, co robimy ze swoim ciałem, od którego nauczycielom vara.
984:  Z różnych względów, także z uwagi na nadużycia innego kalibru, o których mówiliśmy sobie przy okazji filmów na temat molestowania.
992:  I teraz mam dla Was drugą ekspertyzę prawną, którą możecie w moim przekonaniu spokojnie cytować za każdym razem, kiedy będziecie chcieli zwrócić uwagę na tego rodzaju nieprawidłowość i zgłosić sprawę wyżej do kuratorium, do dyrekcji, do ministerstwa nawet, czy gdziekolwiek indziej.
1008:  Opinia została przygotowana przez doktora habilitowanego czy profesora w naszym systemie naukowym, Łukasza Gasińskiego, na temat dopuszczalnego prawem zakresu ingerencji w wygląd uczniów na mocy statutów szkół.
1021:  Powiedziane to zostało w oparciu o nowelę Prawa Oświatowego z 2017 roku, która doprecyzowała to, że nie mamy do czynienia w Prawie Oświatowym w ogóle z regulowaniem wyglądu, tylko i wyłącznie z regulowaniem stroju i jeszcze do tego wszystkiego zamierzeniem ustawodawcy, jak wyjaśnia prawnik, było, by zasady ubiory ucznia nie zawierały zwrotów ocennych uczniów.
1042:  O nie, koszmar, co zrobią nauczyciele nie mogąc oceniać, taki jak schludny, estetyczny, niewyzywający, skromny, ja już czekam na te wszystkie statuty, gdzie mierzono słówmiarką, jaka ma być długość spódniczki, żeby one zostały sformułowane bez użycia słowa niewyzywający.
1059:  Albo skromny, albo elegancki, czy galowy, czy cokolwiek innego.
1064:  Nieprecyzyjnych określeń, które nic nam nie mówią.
1066:  I co więcej, one są, zauważcie, zamknięte wyłącznie w tej szkolnej banierce i rzeczywistości.
1070:  Nikt przy zdrowych zmysłach nie mówi poza szkołą, żeby się gdzieś ubrać na galowe.
1074:  Gdyby szef mi tak powiedział, to bym go wyśmiał.
1076:  Zakaz noszenia jaskrowych ubrań lub noszenia ubrań sugerujących przynależność do subkultury natomiast, już zauważcie, nie wydaje się racjonalnym zdaniem profesora, prawa i konieczny z punktu widzenia realizowanych przez oświatę celów, co też zgadza się poniekąd z moim poglądem, jako praktyka byłoby nie było w obszarze edukacji,
1096:  Mianowicie, chyba przez całą swoją karierę nigdy, czy to na praktykach, które miałem nauczycielskich w gimnazjum, podstawówce oraz w liceum, w sumie to były dwa lata, czy też w pracy na trzech uniwersytetach, przysięgam Wam, nigdy przez ani jeden moment nie zwróciłem uwagi na to, jak ludzie się ubierają.
1115:  Mnie to po prostu nie obchodzi.
1117:  głęboko mam w życiu to, jak ludzie się noszą.
1122:  Tak długo, jak długo ja na przykład nie słyszę uwag na temat swojego ubioru, bo ja słyszałem całe życie uwagi, dlaczego musi być na galowo?
1129:  No nie wiem, bo się tak ubieram, tak?
1131:  I tyle.
1133:  How about spierdalaj, chce się w takich sytuacjach odpowiedzieć, ponieważ człowiek już ma po prostu dość tego, że ludzie muszą za każdym razem oceniać ten wygląd.
1140:  I ten wygląd i jego ocenianie jest wzmacniane przez te sytuacje szkolne.
1144:  Ale widzicie, ja jeszcze mam łatwo
1146:  bo ja zawsze mogę coś na siebie narzucić, mogę ubrać bluzę, wszystko jest w porządku.
1150:  Natomiast jeżeli te uwagi dotyczyłyby mojej twarzy albo makijażu, który nakładam, no to sytuacja już byłaby troszeczkę bardziej problematyczna, bo na to nie muszę mieć takiego wpływu.
1160:  W związku z powyższym,
1161:  Dlatego też w tejże opinii, którą Wam podlinkuję jak zawsze, jest jak byk powiedziane, że na poziomie konstytucyjnym niedopuszczalne jest wprowadzenie do statutów szkolnych postanowień, które dotyczą szeroko pojętego wyglądu uczniów, jako postanowień naruszających przyrodzone prawa i wolności uczniów, niezależnie od tego, że byłyby one sprzeczne z przepisami prawa oświatowego.
1182:  Jednocześnie szkoły w swoich statutach nie tylko regulują zasady wyglądu ucznia, ale także często prowadzają zróżnicowane zasady w odniesieniu do płci, czym łamią kolejny artykuł konstytucji mówiący o tym, że ma być zasada równości kobiet i mężczyzn.
1195:  Nie może być tak, że statut szkoły mówi o makijażu, że on jest dozwolony wyłącznie w przypadku dziewczyn chociażby, bo to jest sprzeczne z zasadą konstytucyjną, zanim zaczniecie piszczeć i...
1205:  żeby bić piąstkami jak amaniasz w Mikołajkach, że wam się to nie podoba, ponieważ atakuje nas wielki zachodni gender, to zwrócę uprzejmie uwagę, że to już jest na poziomie konstytucyjnym, a następnie odeślę was do słownikowej definicji tego pojęcia, ponieważ ewidentnie nie wiecie, co ono znaczy.
1220:  Wszelkie przepisy prowadzające, czytamy w konkluzji tego uzasadnienia, odmienne zasady w zależności od płci powinny mieć przede wszystkim konstytucyjne umocowanie dla takiego zróżnicowania, podobnie jak w przypadku regulacji dotyczących zakazu noszenia nakryć głowy.
1232:  Prowadzania odmiennych zasad dotyczących noszenia biżuterii czy też sposobu układania włosów przez dziewczynki i chłopców nie ma uzasadnionych podstaw.
1238:  Stoją one w oczywistej sprzeczności z podstawowymi normami konstytucyjnymi i w konsekwencji nie mogą być od uczniów egzekwowane.
1245:  Fascynuje mnie w tej perspektywie, co nasz prawnik powiedziałby o szarpaniu za włosy, przymusowym zmywaniu makijażu płynem do mycia naczyń i do tego starym znarażeniem zdrowia, czy skracaniem tych nieszczęsnych końcówek, zapewne to było dlatego, żeby uniknąć rozdwojenia końcówek, ja już widzę jak na wokandzie
1263:  Tego rodzaju argumentacja jest podnoszona przez nauczyciela, który udowadnia, że jest po prostu ofiarą tego systemu, jak zawsze.
1269:  Przypuszczalnie reakcja byłaby dość ostra.
1272:  No na pewno byłaby równie ostra, jak reakcja Rzecznika Praw Obywatelskich, którą też Wam podlinkuję nawiasem mówiąc.
1278:  Wprost mówiącego, że wskazanie w prawie oświatowym, że szkoła może określić obowiązki ucznia w zakresie przestrzegania zasad ubierania się na terenie szkoły, oznacza, że regulacje odnoszące się do innych elementów wyglądu osoby wychodzą poza uprawnienia szkoły.
1292:  Zwolennicy innego poglądu podkreślają, że obowiązki ucznia wymienione w art.
1296:  99 to katalog otwarty, co umożliwia umieszczenie w statucie także innych wymagań.
1300:  To z kolei sprawia, że musimy doprecyzować ten katalog, ponieważ jest zanadto otwarty.
1304:  Ich zdaniem, skoro szkoły mają swobodę w ustalaniu swoich zasad, to różne nakazy należałoby uznać za zgodne z ustawą.
1308:  Jednocześnie zaleca się nie używanie takich wyrażeń jak skutne, ekstrawaganckie, awangardowe.
1312:  Jak widzicie, zdania prawników w tym momencie są jednomyślne raczej niż wielomyślne.
1317:  Tylko po to, bo oczywiście to chcemy zrobić, żeby uniknąć tego pola do interpretacji, ponieważ po to są różnego rodzaju prawa, żeby były szczegółowe, a nie żeby były ogólne, ponieważ jeżeli prawa są ogólne, to każdy może je z łatwością naruszać.
1330:  tak jak to swoją drogą są one naruszane od bardzo dawna.
1335:  Może pamiętacie, jak w jednym z odcinków dla każdego coś przykrego, tu się wam powinien pojawić, niezależnie go też podlinkuję, cytowałem wam raport Stowarzyszenia Umarłych Statutów na temat skali naruszeń prawa oświatowego w Polsce i w tymże raporcie jest jeden pasus, który pozwolę sobie teraz przypomnieć, a mianowicie...
1352:  były sądy pośród uczniów dotyczące tego, jakie są zapisy właśnie w statutach.
1358:  No i 48,6% ankietowanych wskazało, że w statucie szkoły przepisy takie się znajdują, a ponadto jeszcze część odpowiedziała, że statut w szkole zawiera normy określające, że wygląd ucznia ma wpływ na ocenę zachowania.
1370:  Tutaj macie to zwizualizowane, czyli możemy powiedzieć, że w połowie szkół przynajmniej dochodzi do tego rodzaju problemów i tak będziemy bardzo łagodni, moi drodzy, ponieważ w listopadzie tego roku z kolei dowiedzieliśmy się, że tego rodzaju naruszenia udokumentowała Najwyższa Izba Kontroli.
1384:  Wprawdzie ktoś może powiedzieć, że nie no, udokumentowała tylko Izba.
1388:  w województwie świętokrzyskim.
1389:  Więc jak rozumiem, niektórzy mogą od razu powiedzieć, nie no, to jest dowód anegdotyczny, to jest tylko jedno województwo, więc moi drodzy, wszyscy z województwa świętokrzyskiego, jak jesteście, możecie się przedstawić w komentarzach, pomacham wam, no niestety mam dla was złą informację, jesteście dowodem anegdotycznym, nie istniejecie i to, że w 90% waszych liceów łamane jest prawo, no powinniście po prostu zbyć milczenie, no bo, no bo w Mazowieckim nie jest.
1414:  Najwyraźniej nie jest to problem.
1415:  Oczywiście kłopot polega na tym, że nikt ma tak dużo do roboty, że nie jest w stanie zbadać tej skali patologii, ale jeżeli się okazuje, że w jednym województwie w 90% placówek są naruszenia, to jest to troszeczkę bardziej niepokojące niż
1430:  informacja ze Stowarzyszenia Umarłych Statutów, że w całej Polsce połowa, tak?
1434:  Bo może się okazać, że te statystyki też są niedoszacowane, jak NIK skontroluje, pilni wszystkie województwa i mam nadzieję, że to się wreszcie stanie.
1442:  I oczywiście ta lista nieprawidłowości będzie zawierała bardzo
1445:  Zbliżone rzeczy, pomijając oczywiście nieprawidłowe wyznaczenie reguł oceniania, to chodzi oczywiście o oceny z zachowania i lecimy.
1455:  Za nieodpowiedni wygląd oczywiście wystawiane, tak?
1458:  Pomijam, że oceny z zachowania wystawia się w Polsce i na Białorusi, a pomijając inne kraje Europy, to ciężko jest znaleźć tego rodzaju praktyki, więc wiecie...
1470:  Fajne mamy w wzorce, nie?
1472:  Farbowanie włosów, malowanie paznokci, noszenie kolczyków, wyzywającego strojem makijażu, to wszystko spełnia definicję wyglądu w świetle interpretacji prawnych.
1481:  A artykuł 99 punkt 3 prawa oświatowego mówi, że szkoła może regulować wyłącznie zasady ubierania się u ucznia, a nie jego wyglądu.
1488:  No i zanim właśnie powiecie, że tylko świętokrzyskie, to bardzo mi przykro, bo...
1492:  Niedalej jak parę dni temu wyszło, że Fundacja Waria Poznania przebadała statuty 41 szkół w Poznaniu ponadpodstawowych, czyli licealnych techników.
1500:  Okazało się, że tam też dochodzi do tego rodzaju naruszeń.
1503:  Ale wiecie, taka bagatelka z ustawami, z konstytucją, z konwencją o prawach dziecka...
1509:  Takie drobiażdżki i znowu to samo, czy ubiór jest zgodny z tradycyjnymi normami obyczajowymi.
1515:  Co to są tradycyjne normy obyczajowe?
1517:  Nie wiadomo, ale przydałoby się, żeby były przynajmniej prawicowe i konserwatywne.
1521:  Wtedy byśmy przynajmniej wiedzieli, że tutaj nie ma żadnej hipokryzji, ktoś wprost mówi, o co mu chodzi.
1526:  Może od razu ubierzmy wszystkich, jak ubierają amiszowie, tak?
1529:  Niech to będzie precyzyjnie zdefiniowane w statucie, przynajmniej będą ludzie wiedzieli, od jakiej szkoły trzymać się jak najdalej.
