Egzamin ósmoklasisty vs technologia (2022, kretynizowane) | Dla każdego coś przykrego #29
🔗 https://www.youtube.com/watch?v=5aSPk1CZ4rY

4:  Macie tak, że...
175:  I oczywiście jest też druga strona tego medalu, to znaczy technologia miała sprawić, że mieliśmy odpoczywać coraz więcej i pracować coraz mniej.
183:  Taka była idea industrializacji, chociażby przyświecająca Hedemu Fordowi.
188:  Ale to jest materiał na inny raz.
190:  Dzisiaj mówimy o tym, w jaki sposób
193:  Propagandowo egzaminatorzy, nauczyciele i niestety także część pedagogów i profesorów przekazują technofobię młodszym pokoleniom i wbijają młodych ludzi w takie fałszywe przekonanie, że używanie smartfona czy korzystanie z komputerów albo ślipienie w ekran to coś złego, od czego powinni się odzwyczaić.
216:  I myślę, że najlepszym dowodem tego będzie artykuł, który ukazał się, no właśnie, w ten mój cudowny wtorek
223:  to znaczy wczoraj, względem tego, kiedy nagrywam, a mianowicie artykuł pod tytułem Ha, ha, ha, te limena z zaparciem szukała przyszłego męża, ho, ho, beka stypa, nie umie mówić po polsku, ciekawe dlaczego i o tym za moment.
240:  Najczęstsze błędy na egzaminie ósmoklasisty.
243:  Bekęstypa ma profesor Danuta Krzyżyk, z którą rozmawia Magdalena Warchala-Kopeć.
250:  Rzecz ukazała się na łamach wyborczej, bo gdzieżby indziej.
254:  Widziałam pracę, w której o bohaterze lektury uczeń napisał facet, a o bohaterce pannica.
263:  Też zadrogli!
265:  Musimy się niezwłocznie tym zająć, opowiada profesor Danuta Krzyżyk, językoznawczyni z Uniwersytetu Śląskiego, a myślałem, że na Uniwersytecie Śląskim są ludzie z Rikczem, która analizowała uczniowskie prace z egzaminu ósmoklasisty.
278:  Pamięta pani śmieszne wpadki z egzaminów ósmoklasistów?
281:  Ja, ja, ja chcę, ja chcę, ja chcę, ja opowiem, ja opowiem, ja opowiem, notuję je sobie, zaraz przeczytam, ha, ha, ha, męczyli ich rozbiorcy, ha, ha, ha, ha, moja ocena o bohaterce nie jest jednoznaczna, ponieważ mam o niej mieszane zdanie, ha, ha, ha, ha, beka stypiary, napisała, że ma mieszane zdanie, ojojojoj, telimena z zaparciem szukała przyszłego męża, ojeje, beka, beka, bo, bo nie napisała...
302:  bo nie napisała, że haha, inaczej, że z zaparciem, bo rozumiecie, żarty skupy, haha, o, o, o, jeszcze to, moim opisanym człowiekiem była Zosia, o, o, o, o, o, jeee, widać, że ci młodzi ludzie to świata nie znają, bo napisali, że kobieta jest człowiekiem, haha, no przecież wiadomo, że kobieta jest kobietą, tylko facet jest człowiekiem, ponieważ gender bias, a nie, przepraszam, to chyba świadczyłoby dobrze o nowym pokoleniu, a nie dobrze o
331:  starszym pokoleniu, dla którego to jest postrzegane jako błąd.
335:  Ale dobra, dobra, lećmy dalej, bo teraz jest coraz lepiej.
339:  Talimena nie potrafiła wykrztusić słowa z ust, też beka straszna, bo pomieszany idiom jeden z drugim, albo udając się do swoich marzeń, trafiła prosto do celu, czyli do królestwa.
350:  To tylko kilka przykładów, mówi pani profesor, które odszukałem na szybko, ale w pracach ósmoklasistów można znaleźć ich więcej.
358:  Najwięcej kłopotów sprawiają wypowiedzi ciągłe, nawet te krótkie, użytkowe jak ogłoszenie, zaproszenie czy życzenia.
367:  Bo wiecie, w XXI wieku, w czasach internetu ludzie niczego innego nie robią, tylko piszą zaproszenia, takie wiecie, na minimum pół strony A4 mniej więcej.
379:  Bardzo często też piszą ogłoszenia różnego rodzaju, ponieważ nie istnieją serwisy aukcyjne, chociażby OLX, Allegro, Amazon.
387:  Zresztą Amazon to jest dopiero mały startup.
389:  Myślę, że musimy poczekać jakieś 80-90 lat, aż wreszcie będzie z tego jakaś większa firma.
395:  No i młodzi ludzie regularnie zamieszczają tamto na taką stronę A4 ogłoszenie bardzo piękną polszczyzną sformułowane tak, żeby dotarło do wszystkich użytkowników sieci.
405:  Tak samo jest oczywiście z innymi aspektami.
408:  Na przykład ludzie młodzi zwłaszcza, także nie oszukujmy się, wszystkich pokoleń, zamiast...
414:  Wysłać smsa z, nie wiem, kilkoma zdaniami, na przykład, nie wiem, wszystkiego urodzinowego albo wszystkiego najlepszego, zamiast żeby wysłać gifa na Messengerze, nie no, oni siadają sobie spokojnie, wyjmują gęsie pióro, następnie rozrolowują pergamin, jeden z tych, które ocalały po pożarze Biblioteki Aleksandryjskiej,
433:  która, jak wiadomo, w odróżnieniu od internetu umożliwiała na lepsze zapisywanie informacji i trwalsze przede wszystkim, następnie na onym pergaminie, onym gęsim piórem, wypisują piękną polszczyzną życzenia urodzinowe.
447:  Tak robi każdy i myślę, że tego rodzaju wypowiedzi użytkowe bezwzględnie należy kształtować.
454:  O czym my mówimy?
457:  Może zastanówmy się nad jedną podstawową kwestią.
461:  Dlaczego
463:  Ludzie mogą mieć problemy z formułowaniem myśli w języku polskim.
469:  Mam taką odważną hipotezę, wiecie, podzielę się z nią z wami.
474:  Może dlatego, że...
476:  Podstawa programowa jest przeładowana lekturami, przeładowana bzdurami, zamiast żeby uczyć gramatyki i języka, zamiast żeby ćwiczyć współczesne formy wypowiedzi.
494:  Z mojej perspektywy jako człowieka, który promuje i sprawdza prace dyplomowe i prowadzi eseje tutorskie na uczelni, jest kluczowe to, żeby ludzie umieli się wysławiać i nie interesuje to, gwarantuję was, żadnego wykładowcy, czy ktoś wie, kim była Telimena, czy nie była, bo to może interesować teoretycznie wykładowcę polonistyki, natomiast wszystkie inne kierunki wymagają tego, żeby ktoś umiał skonstruować sensowną wypowiedź.
522:  Albo jeżeli pójdzie do korporacji, żeby umiał przez pięć minut przedstawić pomysł na nowoczesny prototyp.
529:  To jest nowoczesna wypowiedź, którą należy kształtować.
532:  Masz pięć minut i masz opowiedzieć o czymś, o czym byś normalnie opowiadał przez pół godziny.
537:  O, to jest umiejętność.
540:  Tego rodzaju formy pisemne należy ćwiczyć.
542:  Nie jakieś archaiczne z XX i XIX wieku, które do niczego nie służą.
549:  Na Uniwersytecie Oksfordzkim
552:  Eseje pisze się chociażby z wszystkich kursów.
555:  Ojej, ojej, a to niesamowite.
556:  Ja myślałem, że eseje to tylko humanistyka, bo to tylko humaniści muszą umieć pisać.
564:  Nie!
565:  To jest kolejny z durnych...
568:  mitów, który narósł na edukacji stworzonej przez profesora Mirosława Handkiego w Polsce, konsortes, którzy doprowadzili do takich, a nie innych reform, wskutek których rozdzielono nauki humanistyczne od nauk przyrodniczych i innych, wprowadzono testy i doprowadzono do tej patologii, jako są współczesne egzaminy, które wykształcają w ludziach właśnie takie przeświadczenie, że szkoła wypluwa humanistów i ścisłowców, którzy następnie będą się napieprzać w ramach jakiejś dziwnej świętej wojny.
597:  Nie!
599:  Tacy ludzie będą nieskuteczni zawodowo i albo w obszarze ścisłym, albo w obszarze humanistycznym.
605:  I jedni, i drudzy są upośledzeni.
608:  a jednym i drugim potrzeba umiejętności formułowania logicznych wypowiedzi.
615:  Dla mnie o wiele bardziej problematyczne niż to, że ktoś popełni lapsus językowy jest to, że nie ma związków logicznych między zdaniami.
624:  Dla mnie o wiele bardziej problematyczne jest też to, że językoznawcy nie widzą powodu, dla którego ludzie nie używają interpunkcji.
632:  No mnie zrozumienie tego i wpadnięcie na pomysł, dlaczego tak może być, zajęło jakieś 15 sekund.
638:  Wystarczy zobaczyć na flow wypowiedzi na Messengerze.
641:  Gdzie stawiamy Enter?
644:  No tak, tam gdzie jest zwykle przecinek lub kropka.
648:  Dlaczego nie ma przecinków i kropek w wypowiedziach ciągłych?
651:  Dlatego.
652:  To znaczy, mamy różnego rodzaju nawyki, które przejęły interpunkcję.
656:  Na przykład, nie wiem, starożytni Rzymianie nie używali interpunkcji, tak?
660:  Ponieważ znajomość gramatyki pozwalała im stwierdzić, gdzie się kończy zdanie.
664:  Ale nie, no ja rozumiem, że to głupi naród, tak?
668:  Nie stworzyli nawet żadnej państwowości imperium.
670:  A ups.
673:  Więc to, co musi robić językoznawstwo, czy powinno, to nie toczyć bekę z ósmoklasistów na łamach wyborczej, tylko zastanowić się na tym, w jaki sposób należałoby uczyć interpunkcji w nowoczesnym świecie, w którym nie ma życzeń na stronę A4, w którym nie ma planów, wydarzeń i innych tego typu bzdurnych form wypowiedzi, które do niczego nie służą, ale w którym pisze się teksty dziennikarskie, w którym pisze się artykuły vlogowe, w którym się pisze scenariusze do różnego rodzaju filmów, w którym się pisze...
701:  Formy użytkowe w postaci podania i innych tego typu rzeczy, których ludzie później nie umieją napisać, ponieważ nikt ich nie nauczył, jak to zrobić.
710:  Tego rodzaju rzeczy istnieją i należy aktualizować bazę tego rodzaju form wypowiedzi, jeżeli w ogóle chce się egzaminować, chociaż znacie moje stanowisko, że moim zdaniem nie powinno w ogóle być żadnego egzaminu, ponieważ jak widać jest on dysfunkcyjny.
722:  A jeszcze nie doszliśmy do meritum, to znaczy do owej shtechnofobii, więc pozwólcie, że wrócimy do tego cudownego wywiadu.
733:  Tutaj macie kolejne wspaniałe
737:  wzorce, w przypadku pisania zaproszenia, kto zaprasza, kogo zaprasza, na jakie wydarzenie, kiedy się ono odbędzie, to mi przypomina to, co ja musiałem wkuwać do matury próbnej, którą przypominam, napisałem na 20% i musiałem później iść na olimpiadę z języka polskiego, żeby dostać się na studia, tak mam doktorat z tej dziedziny, tak wciąż mnie to nie bawi i słyszałem, że kto mówi, do kogo mówi, co mówi, jak mówi, taki był shimel, wzorzec wypowiedzi, które należało wpróć, po to, żeby dobrze ją pisać.
765:  Nawet nie będę komentował uczenia się na pamięć tego rodzaju schematów.
769:  Natomiast kluczowy problem to jest diagnoza, którą stawia pani profesor.
773:  Tych wszystkich lapsusów i błędów językowych, jak również nieumiejętności konstruowania dłuższej wypowiedzi.
778:  I nie, jeżeli byście się zastanawiali, nie jest to tym głównym problemem i tą przyczyną to, że, no nie wiem, na przykład jest przeładowanie lekturami i wskutek tego, że czytamy...
790:  Teksty napisane w XIX wieku albo w XVIII wieku.
795:  Uczymy się polszczyzny, której dzisiaj już nikt nie uży... Nie, nie, nie, nie, nie, nie.
798:  Nie, moi drodzy.
801:  Dziewczynki chętniej sięgają po metafory.
804:  Chłopcy po porównanie czy hiperbole.
806:  Przypuszczam, że to wpływ...
813:  Gier komputerowych, w których świat często jest przerysowany i w przerysowany sposób mówią ich bohaterowie.
825:  Czy fan Minecrafta usiłuje jak odratować twarz swoją dziennikarka i równocześnie jakoś wybronić tę dziwną diagnozę?
835:  Napisze twardy jak obsydian.
838:  Biedna pani dziennikarka zakładała, że pani profesor wie czym Minecraft działa.
842:  Właśnie tak!
844:  Języka uczymy się przez naśladowanie.
846:  Miłośnicy gier komputerowych... ...naśladują... ...sposób mówienia ich bohaterów.
872:  Często się dziwicie, jak z jednej strony mówię o tym, że nauka jest egalitarna, to znaczy jest dla wszystkich, że wiedza powinna być powszechnie udostępniona w open accessie, że każdy ma prawo do edukacji, ale równocześnie
892:  Miewam poglądy o charakterze elitarnym, to znaczy na przykład mówię, nie, nie wszyscy powinni studiować, nie, absolutnie nie wszyscy powinni kończyć studia z tytułem magistra czy doktora i nie, absolutnie nie należy wszystkich ludzi zmuszać do tego, żeby chodzili do szkół czy...
910:  Chodzili na studia, ponieważ w dzisiejszych czasach ztechnologizowanych, skomputeryzowanych coraz częściej o wiele bardziej doceniamy rzemieślników, ludzi, którzy pracą własnych rąk, tworzą piękne rzeczy.
921:  Następnie płacimy za to czasem setki tysięcy albo tysiące dolarów, bo właśnie tak wzrosła wartość pracy manualnej, fizycznej.
935:  To jest ten moment, kiedy będę elitystyczny i powiem, że tacy ludzie nie powinni pracować na uczelni, że skutkiem bolesnym edukacji współczesnej jest to, że doprowadzono do doktoryzowania i habilitowania ludzi, którzy się absolutnie do tego nie nadają.
955:  Którzy nie powinni pracować w zawodzie, ponieważ mają problemy z dokonywaniem najprostszych operacji myślowych.
963:  Podstawowa zasada prowadzenia nauki brzmi, że nie wypowiada się człowiek na temat, którego nie zna.
969:  To jest też powód, dla którego ja odmawiam zawsze debatowania z ludźmi na tematy, które nazwijmy to bardzo poważne, którzy się na tych tematach nie znają, ponieważ szkoda mi na to czasu.
983:  I to jest ten przykład.
985:  Gdybym ja miał być na konferencji naukowej i debatować z rzeczą na panią profesor, szkoda byłoby mi na to czasu, ponieważ mój jedyny komentarz jest do źródeł, dołóż się!
994:  Koniec komentarza.
995:  Nie mam żadnego innego komentarza w tej kwestii.
999:  Tak wielkiej i piramidalnej bzdury nie usłyszałem w całym swoim życiu.
1003:  Scenariusz do Beyond Two Souls ma ponad 6 tysięcy stron.
1006:  Z Cyberpunka 2077 wycięto 30 tysięcy linii dialogowych.
1011:  30 tysięcy.
1012:  Wycięto.
1012:  Tego nie ma tam, a zostało tyle, ile zostało.
1015:  Ale wycięto 30 tysięcy, czyli objętość książki.
1019:  Niewielkiej, bo niewielkie, ale jednak.
1022:  Na streamach, jak czytam...
1025:  znajdowane książki w grze wideo, to zajmuje mi to, nie wiem, pięć minut, tak?
1029:  Dziesięć minut, czasami piętnaście.
1031:  Ludzie się śmieją z tego, że sobie czytamy w którymś momencie i że jest sztuka.
1035:  No tak, tak, bo gra wideo tym różni się od książki, od filmu, od serialu, od wszystkich innych mediów interaktywnych, że w grze wideo przeczytamy książkę, w grze wideo obejrzymy film, w grze wideo obejrzymy serial, w grze wideo przeczytamy komiks, w komiksie nie obejrzymy filmu, w książce nie przeczytamy książki.
1054:  Możemy przeczytać inną książkę, ale to będzie zupełnie inna historia i opowiemy ją innym razem, ale w książce nie zagramy w grę wideo, w książce nie obejrzymy serialu.
1062:  W serialu nie przeczytamy książki, a w grze wideo zrobimy to wszystko.
1066:  Ba!
1066:  Gra wideo jest tym medium, w którym też możemy zagrać w grę wideo.
1070:  I jest to minigra.
1072:  I w Gravideo jest także tym medium, które jest w stanie zremediować, jak to mówimy, charakterystyczną dla literatury dyspozycję, dzięki której jesteśmy w stanie czytać książkę w książce.
1082:  To się nazywa powieść szkatułkowa.
1085:  I też jesteśmy w stanie coś takiego zrobić w Gravideo.
1087:  Gravideo jest medium doskonałym, to znaczy umożliwia na realizację wszystkich form medialnych w swoim obrębie.
1094:  Ja czytam później, że gry wideo sprawiają, że ludzie naśladują sposób mówienia ich bohaterów.
1100:  Jaki sposób mówienia ich bohaterów?
1102:  Są normalne dialogi filmowe w grach wideo w tej chwili.
1104:  Jak mówią bohaterowie?
1107:  Hans Zimmer jako kompozytor muzyki filmowej przeszedł do przemysłu gier komputerowych na poziomie Crysisa 2.
1115:  Większość utalentowanych scenarzystów i scenariopisarzy przechodzi do...
1122:  przemysłu gier wideo po to, żeby realizować się artystycznie, ponieważ w Hollywoodzie nie jest w stanie realizować się artystycznie na tym poziomie.
1129:  Disco Elysium jest grą, która dostaje książki naukowe poświęcone jej analizie.
1136:  Specjalne numery czasopisma, bo jest tak złożona.
1140:  Jakim prawem ktoś może w ten sposób powiedzieć cokolwiek?
1143:  Jakim prawem wypowiada się językoznawca na temat, którego nie ma zielonego pojęcia?
1149:  Jakim prawem nie robi wcześniej researchu?
1153:  Jeszcze w dodatku, wrzucając do jednego worka tak na przykład wielobarwnym, żywym, pięknym językiem napisaną grę wideo, jaką jest Wiedźmin 3, który jest tak dobrze napisany, że wykracza miejscami artystycznie poza to, co osiągnął Andrzej Sapkowski w swojej prozie.
1169:  Prawem w ogóle ktoś może coś takiego powiedzieć i pomyślcie o tym, co robi to z umysłem młodego człowieka, który wciąż ma jeszcze w głowie fatalne wyobrażenie na temat tego, że profesor jest autorytetem, przed którym należy klęknąć i słuchać jego słów jako Ewangelii.
1184:  Jeżeli ktoś coś takiego przeczyta, to pomyśli sobie, że może to z nim jest coś nie tak, że może dlatego ja mam problemy z tym, żeby się wysłowić.
1192:  że gram w gry komputerowe, a nie dlatego, że czytam archaiczne teksty, które są napisane nie dzisiejszym językiem i do których potrzebuję słownika, żeby je zrozumieć.
1201:  Dlaczego ludzie uczą się języków obcych grając w gry komputerowe?
1205:  Dlatego, że są pisane one żywym, współczesnym językiem.
1208:  Dlatego, że oddziałują na nas wielobodnicowo i dzięki grom wideo jesteśmy w stanie asymilować znacznie więcej treści w jednostce czasu niż w jakimkolwiek innym medium, a to z tego względu, że gry oddziałują wielobodnicowo i każdy kto liznął chociażby pedagogiki,
1224:  dydaktyki i psychologii wie o tym, że podstawą w skutecznym zapamiętywaniu jest oddziaływanie wielobodźcowe.
1230:  Takie jest chociażby podstawa tak zwanej dramy szkolnej, czyli tego inactmentu, w ramach którego, nie wiem, sobie robimy jakiś sąd antygony, tak?
1238:  Że ludzie w ten sposób lepiej zapamiętują, kim była antygona i o co w ogóle chodziło w starej tragedii, której by w ogóle nie pamiętali w innym przypadku.
1246:  No właśnie chodzi o oddziaływanie wielobodźcowe.
1250:  Gry wideo są jedynym medium, które oddziałuje tak wielobodźcowo.
1253:  Dlaczego w książkach w XVIII wieku pisane dla użytku księcia, jak to się mawiało, ad usum delfiny, żeby uczyły i bawiły, było tyle ilustracji?
1262:  No dlatego, że ludzie już wtedy rozumieli, że należy oddziaływać wielobodźcowo, ale niestety profesor językoznawstwa z Uniwersytetu Śląskiego w XXI wieku tego nie rozumie.
1272:  I może nie powinien się wypowiadać, ponieważ szczerze powiedziawszy nie widzę żadnej korzyści z tego, że toczy się bekę w wywiadzie z tego, że ludzie popełniają błędy.
1282:  Humor zeszytów szkolnych to jest czas, co można sobie zrobić w ramach kabaretu, tak?
1287:  I to jest coś, co bawi zwykle ludzi, którzy sobie wspominają czasy szkolne i śmieją się z perspektywy swojego doświadczenia i wiedzy, jak kiedyś popełniali lapsusy językowe.
1295:  Natomiast robienie tego z pozycji autorytetów
1298:  na łamach Gazety Ogólnopolskiej jest żenujące, jest żałosne.
1302:  To znaczy, że ktoś sobie musi podbijać bębenek, jak to się ładnie mawia, bo sam nie ma najwyraźniej żadnych osiągnięć i ja jestem w stanie w to głęboko uwierzyć, że tylko człowiek bez osiągnięć naukowych, poważnych i bez wykształcenia jest w stanie mówić takie piramidalne bzdury jak to, że ludzie mówią gorzej dlatego, że naśladują gry komputerowe.
1323:  Przeciwnie, w całym swoim życiu erudyci, których napotykałem, to byli gracze i czytelnicy fantastyki.
1330:  To byli ludzie, którzy aktywnie uczestniczyli w kulturze, którzy potrafili najwięcej i najdłużej opowiadać na temat tego, w co zagrali, w co przeczytali i co obejrzeli.
1340:  Natomiast tak się dziwnie składało, że tak zwani erudyci, których napotykałem w kręgach polonistycznych, czy polonistycznych, w tym przypadku szczególnie to adekwatnie wybrzmiewa,
1354:  Z głoszeniem wypowiedzi składnej.
1357:  I zwracam uwagę, że mówię to tylko dlatego, że to są poloniści, czyli jedynym, jedynym obowiązkiem jest to, żeby mówili składnie.
1366:  Jeżeli ktoś ma problemy z wymową, to nie jest to znowu obiekt do śmiechu, tylko do leczenia.
1372:  Logopedy, tak?
1373:  Natomiast jeżeli ktoś zabiera się za wykładanie, a nie umie się wypowiedzieć, jeżeli ktoś zabiera się na kręcenie filmów na YouTubie i nie umie się wypowiedzieć, jeżeli ktoś zabiera się za uczenie ludzi poprawnej wymowy i nie umie się wypowiedzieć, to znaczy, że failował w momencie, w którym memicznie mawiamy, you had one job, tak?
1390:  Więc jeżeli tego nie potrafi, to sorry, źle oceniam kwalifikacje.
1396:  I pomijając kwestie językowe, problemem oczywiście było też to, że nigdy nie potrafili opowiedzieć mi o literaturze, którą się pasjonują, czy o operach, których słuchają, czy o muzyce, którą jej słuchają, czy o filmach, które oglądają, w taki sposób, żeby mnie zainteresować jakimś czutem.
1412:  Za każdym razem opowiadali w tym dokładnie taki sam sposób, jak się opowiadało w szkole.
1416:  To znaczy tak, żeby wdeptać człowieka w ziemię.
1419:  I teraz pozwolicie drugi akt.
1422:  tego dzisiejszego minirantu, okej?
1425:  Drugim aktem tego minirantu jest to, co się dzieje niestety na samym egzaminie ósmoklasisty.
1431:  Ponieważ na samym egzaminie ósmoklasisty mieliśmy sobie oto taki tekścik o pochwale przyjaźni.
1436:  Myślicie sobie, nie no, fajnie, przyjaźń, spoko, może o tym warto napisać, bo to chyba uniwersalna rzecz.
1444:  Ale problem polega na tym, że jeżeli pisze o tym boomer, to zaczyna się robić mało uniwersalnie.
1450:  Świat współczesny nie przypomina ateńskiej Agory.
1457:  Oczywiście tutaj musimy zrobić natychmiast wyjaśnienie dla ludzi, co to jest Agora.
1462:  Agora, rynej miasta grecki, mianująca się środkiem życia politycznego.
1465:  Wiecie, no bo to jest oczywiste, że trzeba uczyć polszczyzny, której nie ma.
1470:  I uczyć na przykładzie rzeczy, które nie istnieją.
1473:  Nie można napisać o przyjaźni we współczesnym świecie.
1476:  Trzeba pisać o lernej Agorze.
1478:  Anywho, ludziom w XXI wieku jest bliżej do siebie, ale rzadziej i krócej są ze sobą.
1486:  Introwertycy płaczą z tego powodu żywnymi łzami.
1491:  Będąc w ciągłym ruchu, nawiązują za pośrednictwem... Aaaaaj, mamy nowych mediów!
1499:  Kontakty powierzchowne i krótkotrwałe.
1502:  Idzie badanie na ten temat.
1504:  Nie mają czasu na przyjaźń, co najwyżej zawierają znajomości.
1510:  Już słyszę te wypowiedzi na temat tego, że no tak, kiedyś to miałem pęczek przyjaciół, a dzisiaj tylko znajomi na fejsie.
1523:  Błodzi ludzie nie korzystają z Facebooka, ale to taki szczegół.
1530:  Monitor komputera i... ...klawiatura.
1537:  Wyświetlacz telefonu komórkowego.
1542:  Zastępują im kontakty face to face.
1547:  You know, face to face in English.
1551:  Twarzą w twarz.
1555:  Polszczyzna niedobra do używania,
1559:  ale tylko jeżeli nie jesteśmy uczniami lub studentami.
1563:  Jak jesteśmy profesorem, możemy używać angielski.
1567:  Jak jesteśmy uczniem lub youtuberem, nie możemy używać angielski, bo wtedy komentarz, że w Polsce jesteśmy.
1576:  A jak autorytet używa angielski, to dobrze, autorytet może używać angielski.
1583:  Lub też są nowym, uproszczonym rodzajem tych kontaktów.
1588:  I to jest
1592:  Bardzo krótki, rzekłbym, wstęp, którego w ogóle nie powinno być, bo potem tekst jest bardziej, nazwijmy to, wspaniałomyślnie filozoficzny i służy on głównie temu, żeby zrobić takie właśnie prymitywne otwarcie, jak to się uczy w rozprawkach, żeby, wiecie, było rozprawka, był...
1610:  Chodzi o to, że mówimy o takich ogólnych rzeczach, których nie trzeba udowadniać w żaden sposób i takie ogólne informacje, a potem przechodzimy do szczegółów.
1618:  Oczywiście tak naprawdę w ten sposób nie powinno się pisać esejów, ponieważ za każdym razem, jeżeli głosimy jakiekolwiek ogólne sądy, czyli doksy, to znarażamy się na to, że będziemy szerzyć fake newsy, co par excellence robi ten właśnie potworny tekst.
1632:  który utrwala stereotypy i jeszcze bazuje na przestarzałych kompletnie danych.
1636:  I nie denerwowałbym się być może na ten temat tak bardzo, gdyby nie fakt, że tuż po tym dziwacznym tekście, no oczywiście mamy testy, no bo wiadomo, że musi być
1648:  teścik, żeby stwierdzić, czy zostało przeczytane ze zrozumieniem i oczywiście ten teścik będzie oceniany w skali punktowej, ponieważ należy ważyć i mierzyć.
1657:  Humanistykę nie polega na tym, że ocenia się wypowiedź, tylko ocenia się ją, wiecie, algorytmicznie, prawda czy fałsz.
1663:  To jest najważniejsze.
1664:  Ja oczywiście nigdy nie zdawałem takich testów.
1666:  Ewidentnie jestem głupi.
1668:  W każdym razie kończy się to tym.
1672:  Zadaniem piętnastym.
1674:  Obejrzyj poniższą grafikę.
1679:  Obejrzałem.
1682:  Ja widzę to tak.
1685:  To jest bardzo istotna informacja dotycząca tego, że należy używać tak zwanych screen protectors, czyli obrońców ekranu.
1695:  Obrońca ekranu służy temu, żeby piasek tutaj symbolizowany przez wyspę nie zarysował nam szkła, które jest niesamowicie drogie i również temu, żeby nie dostawała się do telefonu woda, zwłaszcza wtedy, kiedy telefon nie spełnia...
1709:  Wytycznik do czytących szczerze?
1710:  A nie, to nie o to chodzi.
1714:  Czy grafika Pawła Kuczyńskiego, piękna grafika swoją drogą, mogłaby być ilustracją do tekstu Pochwała Przyjaźni?
1722:  Uzasadnij swoją wypowiedź, że tak.
1726:  Bo wiecie dobrze, że to jest pytanie z tezą.
1731:  I teraz moim zdaniem to jest technofobia na jednym obrazku.
1736:  To jest przykład nie tylko głębokiego niezrozumienia tego, jak funkcjonuje dzisiejsza rzeczywistość, ale także niesamowicie szkodliwa propaganda.
1746:  Dlaczego?
1747:  Dlatego, że o wiele poważniejsze tematy, na przykład, nie wiem, molestowanie seksualne w mediach społecznościowych, stalking, czy inne zjawiska, o których kręcone są dokumenty na Netflixie, którego prawdopodobnie nie oglądają egzaminatorzy, ponieważ to jest obrzydliwy streaming.
1764:  A nawet jeśli oglądają, to o tym nie mówią otwarcie, ponieważ telimena.
1769:  Tego rodzaju tematy...
1771:  są pod dyskusję.
1773:  Tego rodzaju tematy powinniśmy poruszać, uczyć, krótko mówiąc, tego, w jaki sposób korzystać z różnorodnych narzędzi w sposób odpowiedzialny i świadomy.
1785:  90% ludzi nie korzysta z menadżerów haseł.
1787:  Dlaczego nie korzystają z menadżerów haseł?
1789:  To jest straszne.
1791:  To jest podstawowa higiena cyfrowa wymaga korzystania z menadżera haseł.
1795:  Dlaczego ludzie tego nie robią?
1796:  Gwarantuję Wam, że egzaminatorzy układający ten test tak samo tego nie robią, jak uczniowie, którzy pisali ten test.
