Tu dwie piątki, a nie pały, i się system chwieje cały | Dla każdego coś przykrego #5
🔗 https://www.youtube.com/watch?v=c9jNoLCjIaM

3:  Miałem coś powiedzieć, jak wyskoczył temat elekcji 2020.
249:  do sztandaru podstawa programowa.
253:  O to chodzi w nauce, nie?
254:  Znaczy ma być realizowana podstawa programowa, żebyśmy mogli zrealizować następnie plan pięcioletni.
259:  To jest oczywiste.
260:  Po to zrezygnowaliśmy z systemu komunistycznego i wydrowaliśmy się z orbity wpływów Związku Radzieckiego, żeby dalej realizować plan pięcioletni.
267:  To jest absolutnie oczywiste.
269:  Ja nie wiem, czego wy nie rozumiecie.
272:  I tutaj się pojawia ta dystynkcja główna.
275:  To znaczy albo mamy ucznia pilnego, który pracuje sam, samodzielnie i dostaje dobre oceny i oczywiście paseczek, czerwony paseczek, bo to jest najważniejsze, żeby ocenki były, bo...
291:  Wyniki poszywowały w górę jak nigdy wcześniej i nie jesteśmy w stanie już dzielić ludzi na lepszych i gorszych.
299:  Wszyscy mają takie same oceny.
301:  No to niechybnie, mocny zaczną się walić, plony przestaną być zbierane, mikroprocesory przestaną być projektowane, no bo przecież ludzie nie będą mieli świadectw z czerwonym paskiem, no umówmy się, to jest dramat.
312:  Ja nie wiem, dlaczego tego nie doceniacie.
315:  To jest dramat.
316:  Nagle się okazuje, że wszyscy są tacy sami.
319:  Teraz zobaczcie, że w tym krótkim tekście, który stał się podstawą do dzisiejszej interwencji Związku Nauczycielstwa Polskiego na Facebooku, nie mówi się jednej zasadniczej kwestii.
332:  To znaczy, że szkoła wprowadza taki model, w którym praca samodzielna, in angelo cum libello, w kąciku z książeczką, jest dobra.
342:  I co więcej, że ona, jak czytamy tam w tych wypowiedziach, przygotowuje do samodzielnego życia.
349:  Jeżeli nie będziemy tych nauwyków, które są w szkole wdrażać, jeżeli dzieciaki będą ściągać, korzystać z internetu i książek, nie dajcie bogowie, no to wtedy będą przygotowane do samodzielnego życia.
367:  Double facepalm when one facepalm isn't enough.
372:  Przecież całe nasze życie polega na tym, że żyjemy społecznie, w grupie.
378:  Tak się rozwija cywilizacja.
380:  Jeżeli ja nie wiem, jakie jest rozwiązanie, to idę do kogoś, kto je zna.
384:  Wypracowujemy rozwiązanie wspólne.
388:  A nie samodzielna praca, to nie, nie ściągaj ode mnie, nie, nie, nie, nie ściągaj.
394:  Ja, ja, ja będę robić sam, sam.
397:  Nie powiem ci, jak to zrobię, sam będę robić.
400:  Tak się to kończy, jak nauczanie jest sprowadzone do kartkóweczek, sprawdzianików, teścików, egzaminków, na których wystawiamy ocenki.
408:  43,7% to jest plus 4, a 43,6% to jest 4, a 46,3% to jest minus 4.
418:  Co to znaczy minus 4?
419:  Co to znaczy dostatecznie dopuszczalne?
421:  Co to w ogóle znaczy?
422:  Po co to wprowadzamy?
424:  Przecież to są systemy klasyfikacji, które przynależą, nawiasem mówiąc, do narzędzi biopolitycznych, zarządzania ludzkim ciałem, zarządzania, jak to się dzisiaj mówi, kapitałem ludzkim.
433:  To są systemy, które mają nas tego nauczyć, że jesteśmy redukowalni do numerka.
438:  Ja zrozumiałem, że jest to bzdura i że cały ten system, za którym oręduje Związek Nauczycielstwa Polskiego, którego jedyną misją życiową jest to, żeby zostało jak było.
449:  Znaczy, gdyby był gmach ZNP, to powinien mieć taki wielki herb ze skrzyżowanymi linijkami do prania dzieciaków po rękach i taką dewizę, zostawmy jak było.
462:  Bo taki jest ich główny cel.
464:  Jeżeli w szkole się pojawia tablica multimedialna, to ona jest traktowana mniej więcej tak jak papież w Papamobile.
470:  O, tablica, nie dotykajmy najlepiej, w ogóle najlepiej tego nie używajmy, bo to jest jedna taka tablica w szkole.
476:  Więc nie dość, że szkoła nam się nie rozwija w kierunku jakiegokolwiek postępu, już pomijam technologiczny, ale merytorycznego, pedagogicznego, to jeszcze w dodatku cały czas głównym wrogiem szkoły są źródła.
489:  to znaczy te, które nie są autoryzowane, czyli nie podręczniki szkolne, bo tak, jakieś 70% rynku księgarskiego to są podręczniki szkolne i no oczywiste jest to, że przecież warto napisać podręcznik, chcę gdzieś tam, będą takie jakieś tam 3, 5, 7 błędów, może 15, no bo potem ten sam autor dostaje zlecenie na napisanie edycji poprawionej, no i tej edycji poprawionej oczywiście poprawia błędy, ale dba o to, żeby były kolejne, żeby można było nowo poprawić i w ten sposób coś, co mogłoby być dostępne
517:  online w PDF-ie, jest sprzedawane za cenę złota i jeszcze w dodatku rodzicom się wmawia, że jeżeli będą kupować te podręczniki, no to tak, to wasze dzieciaki będą mądrzejsze i dostaną pracę i tak dalej, i tak dalej.
528:  A tymczasem to rzeczywiście, co szkoła wykształca w ludziach, to tresurę.
534:  To znaczy, muszę mieć dobre oceny, żeby mieć czerwony pasek, żeby rodzice nie mieli do mnie pretensji, nie mogę ściągać.
540:  Jeżeli praca w grupie to tylko taka, w której jedna osoba robi wszystko, a cała reszta się przygląda.
544:  Nie praca w grupie na zasadzie, ej, jak zrobić to zadanie, albo cokolwiek, co jest kwalifikowane jako ściąganie.
552:  Ja wiem, że ludzie nie lubią, jak się odpisuje, ale come on, grow up.
556:  Tak wygląda dzisiejszy świat.
559:  Gdyby odpisywanie i ściąganie nie było skuteczną traktyką, Chiny nie zrobiłyby takiej gospodarki, jaką mają w tej chwili.
566:  Na zrzynaniu patentów amerykańskich.
567:  No sorry, tak jest.
568:  Tak wygląda rzeczywistość.
570:  Więc ja nie mówię, że to jest dobre.
572:  Ja tylko mówię, żeby ZNP i cała reszta tego środowiska, tej pepiniery, która zarządza naszą edukacją, nie mówiła, że nie ściąganie i praca samodzielna przygotowuje do życia.
583:  Bo nie.
584:  Nie przygotowuje do życia, robi coś dokładnie odwrotnego.
587:  Wykształca w nas mechanizmy samoobronne, wykształca w nas świadomość tego, że musimy liczyć tylko i wyłącznie na siebie i wykształca nas wreszcie permanentny strach.
598:  Strach przed tym, że ktoś nas sprawdzi, strach przed odpowiedzią, strach przed wyrażaniem własnej myśli.
604:  Na uczelniach, w szkołach wyższych głównym problemem jest to, że przychodzą studenci i trzeba im sformatować na nowo mózg, żeby wiedzieli, że wypowiedzenie się nie będzie podlegało ocenie.
615:  To znaczy, to nie jest tak, że jeżeli ja się wypowiem, to nauczyciel powie, dobra, ślicznie Tomusiu, ślicznie, pięknie, no nie to, co Patrycja.
624:  Patrycja jest głupia.
625:  Ona powiedziała źle.
627:  Nie to, co Tomuś.
628:  Zobaczcie na Tomusia.
631:  A tymczasem w gronie naukowym, czy w ogóle w
635:  W środowisku, w pracy, w korporacji, w domu.
639:  Wyrażanie swojej opinii jest właśnie tym, wyrażaniem swojej opinii.
643:  I to, co trzeba wykształcić w sobie, to gotowość na krytykę.
647:  I świadomość tego, że krytyka tej opinii nie jest oceną, nie jest wartościowaniem.
652:  Dlatego właśnie oceny szkolne są tak złe.
655:  I dlatego właśnie histeryzowanie podczas elekcji, że ktoś będzie ściągał i w ogóle musimy jeszcze 30 kamer mieć naokoło, bo nie tylko ta wystarczy, jeszcze ta kamera trzeba by na pewno nie ściąga, z góry kamera, żeby sprawdzić, co ma na biurku, jeszcze pod spodem kamera, żeby sprawdzać, co chowa sobie w gacia, bo może ma tam ściągę.
674:  No i co z tego, jeśli ma tę ściągę?
677:  Były kiedyś badania na temat tego, jaka jest korelacja między ściąganiem, a zostawaniem Elonem Muskiem?
683:  Czy nie było takiej korelacji?
685:  Zastanowił się ktoś może, dlaczego ludzie, którzy osiągają sukcesy zawodowe, gigantyczne sukcesy, nie po drodze im ze szkołą bardzo często odpadają z niej, odchodzą, nie kończą dyplomów na studiach.
698:  Zastanówmy się, może coś w tym jest.
702:  Tak więc nie róbmy z dzieciaków niewolników.
706:  I to jest uwaga nie tylko do nauczycieli, ale też do rodziców, którzy się zabierają za bycie koncentracyjnym, znaczy strażnikiem obozu koncentracyjnego, tak samo jak nauczyciele to robią.
718:  W efekcie teraz dzieciaki mają podwójny system nadzoru, jeszcze w dodatku w przestrzeni, która dotąd była dla nich bezpieczna, to znaczy przestrzeni domowej.
727:  Wczujmy się przez jedną sekundę w to i naprawdę to będzie takie przerażające, jeżeli ktoś dostanie piąteczki, mimo że to jest iluzoryczny system, moglibyśmy równocześnie dawać ludziom euro gąbki, miałoby to takie samo znaczenie?
738:  Ręka do góry, ktokolwiek na rozmowie kwalifikacyjnej zapytał, a czy na pewno był paseczek czerwony na świadectwie?
746:  A jaka ocena była na dyplomie?
748:  Ale ja rozumiem, że było bardzo dobrze na dyplomie.
750:  No bo jeżeli na dyplomie z eudolpeistyki było 4,5, a nie 5,0, no to nie będziesz menadżerem wielkiej korporacji, mimo że masz 7-letnie doświadczenie w APL-u.
760:  No umówmy się, było 4,5 na dyplomie.
763:  Przecież nikt tak nie mówi.
764:  Oceny nie mają żadnego znaczenia.
766:  Żadnego.
767:  To jest statystyka.
769:  To jest wręcz powiedziałbym świadectwo nieumiejętności nauczycieli do oceniania tak naprawdę.
778:  Bo jeżeli nauczyciel ocenia, to on ocenia dla siebie.
781:  On ocenia to, jaki jest postęp czyjś, szacuje, a nie daje plakietkę, którą się wpisuje w rubryczce i później się te rubryczki sumuje.
791:  I teraz panika po stronie nauczycieli w trakcie przedłużającej się kwarantanny związana z tym, że dyrektorzy szkół wywierają naciski, bo jest za mało ocenek w rubryczkach.
813:  Jakie to ma znaczenie, że jest za mało ocenek w rubryczkach?
815:  Jakie to miałoby znaczenie, gdyby nie fakt, że ci dyrektorzy są później rozliczani przez kolejnych przedstawicieli systemu, którzy sprawdzają, czy dyrektorzy realizują plan pięcioletni, następnie dyrektorzy sprawdzają, czy nauczyciele realizują plan pięcioletni, a następnie nauczyciele sprawdzają, czy rodzice realizują plan pięcioletni, rodzice i nauczyciele sprawdzają, czy realizują plan pięcioletni dzieciaki, które się uczą.
841:  a nie wykorzystywanie internetu i książek.
846:  Całej reszty narzędzi podczas nauczania jest przejawem krytynizmu.
853:  I przećwiczyłem to na sobie.
856:  Robię egzaminy.
857:  Podczas egzaminu można korzystać z telefonów, z komputerów, z notatek, z własnych notatek, z moich książek, z podręczników, z czego przerywnikkolwiek ktoś sobie życzy.
871:  I wiecie co?
874:  Da się.
876:  Tylko trzeba umieć napisać taki egzamin.
879:  Trzeba być na tyle inteligentnym, żeby sformułować pytania, które zadają problem kreatywny do rozwiązania, czyli coś, z czym się ludzie właśnie będą w życiu mierzyli, bo nikt nikogo w pracy ani gdzie indziej nie spyta, jaki jest wzór na coś.
894:  tylko ten rzeczony człowiek ma umieć sobie go wyprowadzić albo znaleźć.
898:  Nikt nie spyta nas w, nie wiem, mnie nawet nikt nie spytał, mimo że jestem w obszarze edukacji wyższej i tak pracuję.
907:  Nikt mi nie zadał pytania wiedzowego.
909:  Nie zadaje się takich pytań.
910:  Na konferencjach naukowych nikt nikomu nie zadaje pytania.
913:  A, a w tej książce na stronie 430 to co było napisane?
916:  Nikt nie zadaje takich pytań, bo dzisiaj od kwestii wiedzowych mamy smartfony.
923:  Mamy komputery.
924:  Mamy książki.
926:  Po co robić z mózgu śmietnik?
933:  I po co robiąc z mózgu śmietnik zarazem traktować ludzi, którzy mają się uczyć jak śmieci?
944:  Pozdrowienia dla Związku Nauczycielstwa Polskiego i do następnego.
