COVIDioci i negacjoniści nauki | Dla każdego coś przykrego #3
🔗 https://www.youtube.com/watch?v=7cJnA7iHXZw

0:  Nie zliczę ile razy słyszałem, że nazwanie kogoś idiotą jest obrazą, a nie diagnozą.
271:  Koło tam.
272:  Żadnych kolejek.
273:  Żadnych ludzi.
275:  Ja nie słyszałem żadnych karetek.
276:  To znaczy, że nie jeżdżą karetki.
278:  To jest oczywiste.
279:  Jeżeli ja w swoich cmentarnicach rozmokłych karetki nie usłyszałem, to oznacza, że w Krakowie, w Gdańsku, w Warszawie one oczywiście nie jeżdżą.
286:  Jeżeli w moim maleńkim szpitaliku w cmentarnicach rozmokłych nie ma wszystkich zajętych łóżek, to na pewno w Krakowie, Gdańsku, Wrocławiu i tak dalej są one również niezajęte.
294:  No to jest oczywiste, ponieważ powiedziałem to ja.
297:  Idiotez.
299:  O problemach politez.
303:  Tak więc argument z grypą jest bezzasadny, ponieważ są inne okoliczności towarzyszące temu i przede wszystkim wyższa zaraźliwość, czy infektywność, jeżeli chcemy używać frymuśnych słów.
319:  Następnie, w odróżnieniu od grypy, którą jeżeli sobie przejdziemy w listopadzie, to nie zapadniemy na nią już w grudniu, jeżeli przejdziemy
329:  zwycięsko walkę z wirusem COVID-19, możemy się nim znowu zarazić.
334:  Tak.
336:  Taki jest konsensus naukowy.
337:  To nie jest tak, że się zarazicie raz i później już dobra, bez maseczek sobie wychodzimy na zewnątrz.
343:  Nie.
344:  Można się ponownie zarazić.
345:  Co więcej, można w dalszym ciągu zarażać.
350:  I teraz niespotykane
354:  Środki zaradcze i zapobiegawcze, których można wykorzystać, zdaniem naukowców publikujących, przypomnę, na łamach The Lancet,
365:  są dokładnie takie same jak te, o których mówiło WHO, które, jak wiadomo, jest organizacją zbrodniczą, której celem jest zniewolenie całej ludzkości.
373:  Tak samo zresztą, jak było w wypadku protokołów mędrców Syjonu.
377:  No i o tym nasz Edziu z Cementarni Rozmokłych dobrze wie.
382:  Natomiast naukowcy piszący na łamach The Lancet wiedzą co innego.
385:  To znaczy, że transmisję wirusa można zablokować przez dystans społeczny, czyli słynny social distancing,
393:  Wykorzystanie osłon twarzy, skutecznych osłon twarzy dodam, ponieważ jeżeli ktoś sobie nosi maseczkę, na przykład tutaj, żeby chronić struny głosowe, bo jest śpiewakiem operowym, dlatego tutaj sobie będzie nosił maseczkę, nie zakryje nią ust, którymi się roznoszą orzeczone krople, tudzież nosa, którym również się roznoszą, jeżeli ktoś potężnie kichnie,
414:  Nie.
415:  Tu, tu trzeba zakryć.
416:  Tu.
417:  Ja widziałem ostatnio takiego dziadunia, który miał maseczkę jak czepek ubraną.
422:  Prawdopodobnie chronił się przed szkodliwym wpływem fal 5G.
426:  No i oczywiście przed, jak wszelkimi próbami sądowania go przez obce cywilizacje, które używają do tego również tych nadajników, bo wszyscy wiemy, że są w spisku ze Stanami Zjednoczonymi Ameryki od czasu, kiedy po raz pierwszy lądowali w strefie 51,
443:  w której oczywiście również był Bill Gates, Barack Obama i urządzali sobie orgie razem z Sylwiem Berlusconim.
449:  To jest powszechna wiedza.
452:  I wreszcie, no to jest coś, co ja domyślam się, że u Polaków może wzbudzić ciężką panikę, to znaczy należy utrzymywać podstawową higienę.
462:  To może wzbudzić panikę.
463:  Pamiętam, jak byłem w Bibliotece Jagiellońskiej swego czasu,
467:  W toalecie był to mój ostatni pobyt, no nie w toalecie, ale w Bibliotece Jagiellońskiej, osobliwie w toalecie Bibliotece Jagiellońskiej, ponieważ zorientowałem się wówczas, że profesorowie, doktorowie, magistrzy i tak dalej sobie tak wchodzili do kibelka, zrobili co mogli i se wychodzili.
483:  Ale żadnego kurka z odkręcaną wodą słychać nie było.
486:  I tak po którejś tam osobie stwierdziłem, że to już jest moja ostatnia wizyta w bibliotece, ponieważ ja do biblioteki przechodzę po to, żeby na przykład poczytać sobie książkę, a nie poczytać sobie książki i dostać w pakiecie bakterie kałowe.
498:  No więc to jest kolejny środek zapobiegawczy, którego możemy używać.
502:  Zgodzicie się zapewne, że nie jest zbyt
508:  I wreszcie, ojej, kolejna przerażająca rzecz.
512:  Trzeba unikać tłumów.
514:  Kto mógł to przypuszczać?
515:  Nie mam pojęcia.
517:  Nie wiem dlaczego na to wpadliśmy, że jak już spadły zarażenia, to wówczas zaczęliśmy organizować duże imprezy, najlepiej tak powyżej 100 osób.
528:  żeby te zakażenia wzrosły.
530:  To jest logiczne, prawda?
531:  Tak samo, o czym mówiłem ostatnio, szkoły.
534:  Jasne, w szkołach nie ma dużych tłumów.
537:  No i wreszcie słabo wentylowane pomieszczenia.
539:  Chodzi o pomieszczenia, które nie mają pełnej wymiany powietrza.
544:  Czyli na przykład pomieszczenia z klimatyzatorami będą cudownym źródłem zakażeń, ponieważ te klimatyzatora, chyba że będziemy wymieniać filtr codziennie, będą gromadzić się rzeczone kropelki.
557:  Te kropelki, które zarażają COVID-em będą się gromadzić w filtrze i przez ten filtr następnie będzie sobie cyrkulować powietrze.
568:  nadążamy, tak?
569:  Jeżeli powietrze cyrkuluje przez filtr, który jest zakażony, zapewne, zapewne będzie również zakażać.
577:  Polecam sobie przeczytać ten artykuł, jak zresztą wszystkie pisma naukowe w tym momencie publikujące
583:  Artykuły poświęcone COVID-owi 19 również w Lancet jest dostępny w tzw.
589:  open accessie, czyli w otwartym dostępie.
591:  Można sobie przeczytać bez konieczności subskrybowania tych czasopism, bez konieczności wykupywania do nich dostępu, który zwykle kosztuje od paruset do paru tysięcy dolarów.
601:  Tak, zamiast czytać różne artykuły mniej lub bardziej popularnonaukowe, lepiej po prostu sięgnąć do źródeł naukowych i wówczas mieć przynajmniej bat na wszystkich tych, którzy będą się zachowywać niezgodnie z absolutnie wszystkimi przyjętymi standardami, prawda?
621:  Że będą się zachowywać tak.
625:  Bo tak by należało podsumować rozmowy z ludźmi, którzy wypowiadają się bez lektury czasopism naukowych w temacie, bez odebrania starannej edukacji w zakresie medycyny, pulmonologii, epidemiologii.
642:  To nie jest tak, że nasz świat jest nieskomplikowany.
647:  Nie, on jest bardzo skomplikowany.
648:  Nie można się wypowiadać na temat ekonomii, fizyki jądrowej albo właśnie wirusologii czy epidemiologii bez odbycia starannego wykształcenia w tym zakresie.
658:  A jeśli go nie macie, tak jak ja go nie mam w tym zakresie, to co robimy?
662:  Idziemy do źródeł naukowych, czytamy, korzystamy z tej edukacji, którą mamy w Polsce, a nie mamy jej złej, w zakresie ogólnym przynajmniej, i jesteśmy w stanie...
674:  przynajmniej w podstawowym stopniu zrozumieć tego rodzaju teksty.
679:  Więc to do nich należy sięgać.
681:  I walka z autorytetami to jest coś, na co sobie możemy pozwolić wtedy, kiedy my mamy autorytet.
687:  Niestety.
688:  W przeciwnym wypadku...
690:  no możemy sobie pójść na taki właśnie kongres, prawda?
694:  I spotkać ludzi nam podobnych, którzy również będą myśleli, że są najmądrzejsi w świecie, że zjedli wszystkie rozumy i że mogą się wypowiadać na tematy, o których nie mają zielonego pojęcia.
709:  Co powiedziawszy, to co mnie tym razem strigerowało.
714:  Tak samo jak mieliśmy płaskoziemców, tak samo jak mieliśmy
719:  Ludzi, którzy opierali się szczepionką obowiązkowym, którzy swoją drogą ostatnio ucichli cokolwiek, tak?
726:  Nie słyszymy specjalnie antyszczepionkowców.
728:  Nie, ludzie czekają na szczepionkę przeciwko COVID-owi.
731:  Podejrzewam, że jest wśród nich wielu uprzednich antyszczepionkowców, którzy, przypominam, uznawali, że szczepionki wywołują autyzm, opierając się na badaniach naukowych, które zostały podważone i właśnie...
745:  Wszczęto przeciwko nimi procedurę, o której wypowiedziałem wam na samym początku.
749:  Retraction.
750:  Te artykuły zostały wycofane z pism naukowych, a te, które nie zostały wycofane, ich autorzy są ośmieszani w społeczności akademickiej i powszechnie w tych środowiskach są uznawani za szarlatanów.
764:  A jednak...
767:  Jak widać, to nie jest kwestia jakiegoś tematu aborcji, in vitro, szczepionek, społeczności LGBT.
777:  To nie jest kwestia tematu określonego, że ludzie na ten temat czegoś nie wiedzą i akurat w tym temacie postanawiają się wypowiedzieć.
784:  Nie, to jest wzorzec postępowania osób, które nie myślą wspólnotowo, myślą o sobie wspólnie.
793:  Człowiek się uczy nie dla siebie, my się uczymy dla innych, po to, żeby funkcjonować w społeczności.
799:  Jeżeli odmawiamy tego, jesteśmy idiotą w tym starogreckim sensie, klasycznym.
805:  Jesteśmy skupieni na sobie i nie funkcjonujemy społecznie.
811:  Tak więc domaganie się w tym wypadku wolności jest kompletnym absurdem.
816:  Jak można domagać się wolności w postaci tego, że nie będziemy nosić autentyczne określenia swoją drogą na maseczkę na mordnika?
823:  Naprawdę?
824:  Z kagańcem będziemy to porównywać?
827:  skoro równocześnie grzecznie każdego miesiąca płaci się podatki, które są wyższe od tych, które płacił w ciągu całego swojego roku pracy niewolnej niewolnik na plantacji w starożytnym Rzymie.
840:  Ale będziemy te podatki płacić, to jest w porządku, natomiast nie, nie, no gdzieżby, jeżeli ktoś nam powie, że powinniśmy nosić maseczkę po to, żeby może nie zarażać innych lub sami się nie zaraźli.
852:  Nie, nie, no to to wtedy jest pogwałcenie naszych swobód obywatelskich.
858:  I do tego dochodzi jeszcze jeden element, który jest antynaukowy.
861:  I przepraszam tutaj z góry wszystkich, którzy w sposób emocjonalny podchodzą do religii, bo ona na tym polega.
868:  Ale niezależnie od tego, w co wierzymy, nie możemy nie wierzyć równocześnie w naukę.
875:  I namawianie przez duchownego, kapłana, jakiejkolwiek religii w tym momencie, jakiejkolwiek, namawianie do tego, żeby postępować wbrew zaleceniom lekarzy, bo wiemy lepiej, bo jesteśmy idiotes, a nie polites, jest nieetyczne, mówiąc bardzo łagodnie.
899:  Nie wolno tak robić.
901:  jeżeli nie mamy wiedzy w tym zakresie.
903:  Powtarzam cały czas.
905:  Dopiero zdobycie rzetelnej, udokumentowanej w wielu źródłach wiedzy uprawnia nas do formułowania hipotez naukowych i do kontrowania hipotez naukowych naszymi nowymi tezami, które są uargumentowane.
922:  Jaka jest różnica między wiarą a nauką?
925:  Taką, że w wierze mamy aksjomaty.
929:  Czym jest aksjomat?
931:  Aksjomat jest taką hipotezą, której nie wymaga udowodnienia, najkrócej rzecz ujmując.
936:  Tak więc niestety między tą wypowiedzią, a tą wypowiedzią jest pełna analogia.
944:  Jedni i drudzy wierzą w to, co mówią.
948:  Jedni i drudzy równocześnie nie czytają źródeł naukowych.
953:  Co więcej, podważają źródła naukowe, ale w sposób antynaukowy.
959:  Jedynym procedurą podważenia źródła naukowego jest wysunięcie argumentów o charakterze naukowym.
964:  Nie ma innej procedury.
967:  To znaczy, każda próba zrobienia czegoś odwrotnego będzie przez środowisko naukowe w 100% zignorowana.
974:  Bo tak się po prostu nie postępuje, tak się nie robi.
977:  Tak to nie działa.
978:  Nie po to...
980:  mamy sformalizowane procedury przyznawania prac dyplomowych, doktorskich, habilitowania w Polsce i w Niemczech również, żeby ludzie
989:  równocześnie zabierali się za dyskusję naukową całkowicie z pominięciem tych wszystkich procedur.
995:  Myślicie, że środowisko naukowe wymyśliło te procedury bez powodu?
998:  Że to chodzi tylko i wyłącznie o to, żeby ktoś miał sobie dyplomik doktora w tubie ładnej, mógł sobie nim pomachać i zrobić zdjęcie na Insta, a profesor, żeby móc sobie dopisać kolejne cztery litery przed nazwiskiem, bo własnych czterech liter już mu mało?
1011:  Nie, to nie jest po to.
1012:  To jest tylko i wyłącznie po to, żeby wiadomo było, że jeśli ktoś tę procedurę otrzymał,
1017:  to stoją za tym lata pracy.
1019:  Ciężkiej pracy częstokroć.
1022:  I również lata zmagania się z problemami, z którymi twój randomowy znajomy z fejsa zmaga się od przedwczoraj.
1031:  Bo przedwczoraj dopiero poznał ten problem.
1034:  A epidemiolog poznał go 25 lat temu.
1038:  I rozmawiał z innymi epidemiologami.
1040:  I wie, jak w takich sytuacjach postępować.
1043:  A jednak z jakiegoś powodu...
1046:  Nie, to zna się Edzius Cmentarnic Rozmokłych, który nawet nie zrobił magistra najczęściej.
1052:  A nawet jeśli zrobił tego magistra, to w dalszym ciągu nie jest to magister z zakresu pulmonologii i nie ma prawa się wypowiadać na temat chorób płuc.
1064:  I wreszcie... Creme de la Creme.
1071:  To jest informacja...
1074:  Sprzedwczoraj bodajże, kiedy w Krakowie ogłoszono, że jest strefa czerwona, czyli najwyższy poziom obostrzeń i zabezpieczeń antyepidemicznych.
1084:  No więc co zrobili mądrzy ludzie?
1086:  No jasne, że postanowili, że będą świętować koniec strefy żółtej i początek strefy czerwonej, bo to jest bardzo inteligentne.
1096:  I pojawiła się kolejka, taka kolejka, taka długa kolejka się pojawiła, bo przecież w kolejce się nie zarażamy, bo jak wiadomo naukowcy w Lancecie mylili się twierdząc, że obecność dużych tłumów sprzyja transmisji i że trzeba ich unikać.
1114:  No ale jeżeli ktoś uważa, że przeczytawszy informacje o tym, unikaj tłumów w okopres, automatycznie jest uprawomocniony do tego, żeby stwierdzić, że to agentura niemiecka, wstrętne media, wrogie, totalna opozycja, nie myl.
1131:  Znacie takie powiedzenie, trafiło się ślepej kurze ziarno?
1134:  Jak się z kimś nie zgadzacie politycznie, ideologicznie itd.,
1139:  Mówcie se, co chcecie na jego temat, a mówcie se, że to jest brytyjska, niemiecka, żydowska, masońska agentura, wszystko mi jedno.
1148:  Ale każdy zawsze ma możliwość powiedzenia czegoś, co jest słuszne, nawet przez przypadek.
1156:  Ba, jestem skłonny stwierdzić, że i płaskoziemcom zdarza się przez przypadek powiedzieć coś mądrego.
1164:  Ale to jest duży przypadek.
1166:  Natomiast w wypadku tym konkretnie,
1170:  mamy do czynienia z sytuacją kompletnie absurdalną.
1173:  Ludzie stwierdzili, że oni wiedzą lepiej i w związku z powyższym będą szkodzić sobie i innym, bo trzeba poimprezować.
1181:  Zresztą, żeby nie było, to nie tylko jest grzech krakowian w tym momencie, bo Czesi zrobili to samo po zakończeniu pierwszej fali wirusa w czerwcu lub lipcu bodaj, zrobili sobie imprezę na moście Karola i wspólnie świętowali sobie, że nie będą chorzy i teraz mają jeszcze gorszą sytuację niż u nas, co jest dość dużym sukcesem, bo sytuacja nasza jest tragiczna.
1201:  Tak więc pamiętajmy o tym, że bycie idiotą nie jest obrazą.
1210:  Jeżeli ja powiem komuś, że jest idiotą, że jest covidiotą, to znaczy, że nie, że jest zły.
1219:  Nie, że w jakimś sposóbkolwiek mnie obraża, czy zaburza moją egzystencję.
1225:  Nie, szkodzi społeczności.
1228:  Ignorancją.
1229:  I co więcej, odczuwa wysoką potrzebę ewangelizowania wszystkich na ten temat, bo jak wiadomo, jeżeli poznamy jakiś aksjomat i w niego uwierzymy,
1238:  No to coś musimy z nim zrobić.
1240:  Nie jest tak, że zachowamy go dla siebie.
1243:  Trzeba dzielić się prawdą objawioną.
1247:  No więc idziemy w świat i mówimy.
1250:  No oto słowo moje.
1253:  I mojego kumpla z fejsa, który mówi, że mam rację.
1258:  Jeżeli chcecie głosić jakiekolwiek informacje, zweryfikujcie je wpierw.
1262:  Fake news polega także na rozprzestrzenianiu informacji przez ludzi.
1269:  Dziennikarstwo obywatelskie ma swoją pozytywną i złą stronę.
1272:  To jest ta zła.
1274:  Ale, co ważne, nie zawsze.
1279:  Ponieważ możemy również dotrzeć do informacji, które mają ludzie, którzy pracują w służbie zdrowia.
1288:  Tu jest akurat informacja od Jakuba Sieczko, który mówi rzeczy absolutnie przerażające.
1296:  Rozmawia z pracownikami medycznymi bezpośrednio i słyszy, że nie ma miejsc respiratorowych, że pacjent musiał być przekazany do szpitala 100 km ode mnie i nie było na to szans.
1311:  Wybłagaliśmy ostatnie miejsce 230 km od nas.
1315:  To stwarza obraz rzeczywistości, którego na przykład, jeżeli nie zgadzacie się z tych czy innych względów z panującym w naszym kraju rządem, no to sięgnijcie do ludzi, zorientujcie się, jaka jest sytuacja w służbie zdrowia.
1332:  I zobaczcie to zderzenie, o którym mówi cytowany przeze mnie internauta rzeczywistości ministerialnej koleżeńskiej.
1344:  I wsłuchajcie się w te argumentacje.
1348:  Może w takim razie nie przyjmować do szpitala tych z COVID-19?
1351:  Jaka jest alternatywa?
1352:  Mam nie zaintubować duszącego się 80-latka, bo mi zajmie ostatnie miejsce z respiratorem?
1358:  No fucking way, jestem lekarzem, umiem w leczeniu, a nie dobór naturalny.
1362:  Tym ludziom należy się pomoc.
1365:  To jest czyjś dziadek, czyjś ojciec lub po prostu człowiek.
1371:  I wreszcie kolejny dylemat.
1372:  Jak ten 80-latek zajmie respirator, to zabraknie go jednak dla 35-latki, która przechodząc przed przejście dla pieszych zagapiła się i wpadła pod tramwaj.
1382:  I widzicie, tutaj jest drugi problem.
1385:  To znaczy...
1387:  Może nigdy nie zapadniecie na COVID-19 i szczerze wam tego życzę.
1391:  Mam nadzieję, że sam nie zapadnę na tę chorobę.
1394:  Mam nadzieję, że zapadnie na nią jak najmniej ludzi.
1396:  Ale problem polega na tym, że nasz system opieki zdrowotnej jest mało wydolny w czasach pokoju.
1404:  Teraz jesteśmy w stanie wojny z wirusem.
1408:  I zawsze jest tak, że stan wojny nadszarpuje nasze możliwości logistyczne i wszelkie inne.
1415:  Więc służba zdrowia jest taki mało wydolna.
1417:  No i gwarantuję Wam, że w momencie, jeżeli jesteście jednymi z covidiotów,
1423:  Mam nadzieję, że nie.
1425:  Ale jeśli jesteście i złamiecie nogę i odbijecie się od pierwszego szpitala, drugiego szpitala, trzeciego szpitala, czwartego szpitala, nie przyjedzie do was prywatne pogotowie ratunkowe, nie przyjedzie do was regularne pogotowie ratunkowe, nie dlatego, że ktoś będzie wam życzył źle, nie dlatego, że lekarze nie będą spełniać przysięgi lekarskiej, nie dlatego, że sanitariusze nie będą zachowywać się zgodnie z etycznym kodeksem służb medycznych, tylko dlatego, że nie będą mogli.
1453:  Albo, że będą umierać z wycieńczenia.
1456:  Były już obrazki ze szpitali lekarzy, którzy leżą na ziemi, usiłując złapać sen.
1464:  To nie jest proste.
1467:  Nie jest proste operować kogoś, nie móc się podrapać po nosie przez kilka godzin.
1472:  To co dopiero musieć być aktywnym 12 godzin, przez cały czas przyjmować w stroju ochronnym, pełnym, pełnym stroju ochronnym, nie tylko w maseczce, tylko maseczce z filmem FFP3, następnie z przesłoną, następnie jeszcze całym tym foliowym kombinezonem.
1491:  Wyobraźcie sobie, że zamiast jednej maseczki jednorazowej musicie założyć na siebie to wszystko.
1497:  I co jeśli po dwóch, trzech dniach, dwóch, trzech tygodniach zabraknie tych środków ochrony, których brakowało w wielu szpitalach?
1506:  Lekarze wtedy nie przychodzą może?
1508:  Nie, dalej przychodzą, dalej leczą.
1510:  Chorują i mamy coraz mniej lekarzy.
1514:  I tu jest ten problem, o którym chciałem dzisiaj powiedzieć.
1517:  Myślenie o społeczności w takich sytuacjach jak ta jest krytycznie istotne.
1524:  To nie jest czas i moment na myślenie o samemu sobie.
1528:  To nie jest czas i moment na waloryzowanie i cenienie wyłącznie swojej wiedzy.
1533:  To nie jest czas i moment na ignorowanie innych, bo sami wiemy lepiej.
1538:  To nie jest wreszcie czas i moment na ewangelizację.
1541:  Ja tego też bynajmniej w tej chwili nie robię.
1543:  Pokazuję źródła, staram się Was uczulić na to, żeby szukać samemu, krytykować.
1549:  Krytyka nie jest zła, krytyka jest zbawienna, ale w momencie, w którym zaczynacie w sieci dyskusje na tematy naukowe, musicie postępować tak, jak postępuje każdy naukowiec.
1563:  Nie dlatego, że ktoś was ukaże za to i pani nauczycielka powie bzitko, bzitko, nie wolno.
1570:  Nie dlatego.
1571:  Dlatego, że te procedury zostały po coś wymyślone.
1575:  Głównie po to, żeby eliminować ryzyko tworzenia propagandy.
1582:  Bo każdy z was, kto w tym momencie nie zachęca innych do tego, żeby podjęli się tego zakładu Pascala,
1592:  I założyli maseczkę na wszelki wypadek.
1595:  Bo a nóż!
1596:  Najgorszy scenariusz jest tym prawdziwym.
1600:  Możecie się z nim nie zgadzać.
1602:  Możecie twierdzić, że to jest wszystko bujda.
1606:  Ale twierdźcie to sami w ciszy swojego globus hystericus.
1613:  I niech ta informacja się odbija w ciszy waszych czaszek.
1617:  W momencie, w którym zacznie poza nie wychodzić,
1621:  Weźcie ten minimum odpowiedzialności za swoje słowa i sprawdźcie w kilku źródłach.
1628:  Nie na fejsie, nie u kolegów.
1631:  Porozmawiajcie z lekarzami
1634:  Jest taka możliwość w świecie cyfry.
1636:  Porozmawiajcie z pielęgniarkami, z sanitariuszami.
1639:  Przeczytajcie nie tylko informacje w swoim ulubionym dzienniku, ale także tym, który ten dziennik krytykuje i jest zupełnie z innej opcji politycznej.
1647:  Wejdźcie na strony zagraniczne.
1648:  Porozmawiajcie z zagranicznymi znajomymi.
1651:  Spytajcie, jak to u nich było.
1654:  Jak dowiecie się tego wszystkiego, wtedy, dopiero wtedy, zacznijcie się wymądrzać na fejsie.
1663:  bo w przeciwnym wypadku całe te wasze mądrości, którymi się dzielicie i tak dla całego społeczeństwa będą wyglądać w ten sposób.
1674:  Dla każdego coś przykrego mam nadzieję, że następnym razem będziemy się widzieć już w bardziej sprzyjających myśleniu i intelektualnej konwersacji o okolicznościach.
