Czego nie znoszę w Oldze Tokarczuk? | Dla każdego coś przykrego #20
🔗 https://www.youtube.com/watch?v=GzB2LG3aghE

2:  I kultura.
434:  Generalnie dość prosto można wytłumaczyć, wystarczy sięgnąć do eseju Umberto Eco, The Ontology of Fictional Characters, w którym tłumaczy, że fikcyjne postacie są bardziej realistyczne i realne niż te, z którymi mamy do czynienia w historiografii, ponieważ choćbyśmy się zesrali, to nie jesteśmy w stanie zmienić faktu, że Anna Karenina ginie pod kołami pociągów, pod koniec książki Anna Karenina lwa to ustoja, przepraszam za spoiler, natomiast choćbyśmy nie wiadomo co zrobili, to jednak mimo wszystko, jeżeli wyjdą jakieś nowe dokumenty historyczne na temat Napoleona Bonaparte czy Adolfa Hitlera,
463:  czy jakiejkolwiek innej postaci historycznej, no to wówczas będziemy musieli zmienić wszystkie podręczniki do historii, bo wyjdą nowe dokumenty.
471:  Natomiast w wypadku Tołstoja możemy napisać 15 bombilionów re narracji i retellingów, a Anna Karenina Tołstoja w dalszym ciągu zginie.
479:  Pod koniec powieści Anny Kareniny.
481:  Przepraszam za spoiler.
483:  Więc tak Olgo Tokarczuk bez problemu da się wytłumaczyć ontologiczny status postaci fikcyjnych.
489:  Proponuję używać następnym razem słów trudnych jak np.
492:  ontologia ze zrozumieniem i ze znajomością rzeczy.
496:  Wracając do eseju, bo teraz zaczyna się crème de la crème.
501:  Uważam tego typu czytelniczą ciekawość za cywilizacyjny regres.
507:  To upośledzenie umiejętności wielowymiarowego, konkretnego, historycznego, ale i symbolicznego i mitycznego uczestnictwa w łańcuchu wydarzeń zwanym naszym życiem.
517:  życia tworzą wydarzenia, lecz dopiero wtedy, gdy potrafimy je zinterpretować, próbować zrozumieć i nadać im sens, zamieniają się one w doświadczenie.
526:  Wydarzenia są faktami, ale doświadczenie jest czymś niewyrażalnie innym.
531:  To ono, nie zaś wydarzenie, jest materią naszego życia.
535:  Doświadczenie jest faktem poddanym interpretacji i umieszczonym w pamięci.
539:  Odwołuje się także do pewnej podstawy, jaką mamy w umyśle, do...
544:  do głębokiej struktury znaczeń, na której potrafimy rozpiąć nasze własne życie i przyjrzeć mu się dokładnie.
551:  Wierzę, że rolę takiej struktury pełni mit.
555:  Mit, jak wiadomo, nigdy się nie wydarzył, ale dzieje się zawsze.
558:  Dziś działa już nie tylko poprzez przygody antycznych herosów, ale przenika do wszechobecnych i jak najbachędziej popularnych opowieści współczesnego kina.
568:  Gier, literatury.
572:  Życie mieszkańców Olimpu przedniosło się do dynastii, a heroiczne czyny bohaterów obsługuje Lara Croft.
585:  No rozumiem, to jest dramat.
587:  Ja święcie jestem przekonany, że gdyby mity przepadły w pomroce dziejów i nikt już nigdy nie opowiadał żadnych heroicznych cynów poza, poza, poza Olgą Tokarczuk, która mogłaby o tym pisać swoją antropologizowaną literaturę albo literatruzowaną antropologię kultury, czy jakkolwiek by nazywać należało jej powieści, to wtedy to byłoby dobre.
611:  prawda?
612:  Gdybym mogła pisać tego rodzaju rzeczy i miała na nie wyłączność, ale no niestety tak nie jest i dlatego trzeba dojebać Lara Croft i grom video, bo przecież to niedobrze, że jest to akurat gra video, która
627:  eksponuje pierwszoplanową, silną, kobiecą postać.
631:  Za tym, w czym w innych okolicznościach, Olga Tokarczuk zapewne by optowała, ale ponieważ to jest brudna gra wideo, no to rozumiecie sami, że są priorytety, prawda?
641:  To znaczy na naszej hierarchii wartości nad feminizmem, nad gender studies, nad wolnością i równouprawnieniem, no jest dosrywanie grą wideo.
651:  No to przecież to jest jasne, nie?
655:  Wracając do naszej dzisiejszej czytanki.
660:  Do przekonania trafia mi też rozróżnienie relacji wobec fabuły, którego dokonał pisarz i eseista Edward Morgan Foster.
670:  Pisał on, że kiedy mówimy umarł mąż, a potem umarła żona, to jest to relacja.
676:  Kiedy zaś mówimy umarł mąż, a potem ze smutku umarła żona, to mamy fikcję.
683:  Każda fabuła Zerwany jest przejściem od pytania, co było potem, do próby jego zrozumienia.
691:  Zaraz, zaraz, zaraz, stop, zatrzymajmy, zatrzymajmy tę karuzelę śmiechu.
698:  Jeśli dobrze pamiętam, a coś mi mówi, że dość dobrze pamiętam, teorię narracji, to jest taka, faktycznie jest taka książka Fostera, jest taka książka, nazywa się Aspects of a Novel i w rzeczonej książce możemy przeczytać coś zgoła innego i pozwolicie, że pokażę wam to, bo myślę sobie, że w eseju, który tętni od jadu na Wikipedię, fake newsy i manipulowanie faktami, może być interesujące to, żeby zobaczyć, jak
728:  Autorka tego eseju sama czyni dokładnie to, przeciwko czemu występuje, okej?
734:  No to spójrzmy sobie w Aspects of a Novel Forstera, tego Forstera, eseisty, pisarza, czytamy.
740:  Let us define a plot.
742:  Zdefiniujmy narrację.
743:  We have defined a story as a narrative of events arranged in their time sequence.
748:  Zdefiniowaliśmy fabułę jako narrację wydarzeń zaaranżowanych sekwencyjnie.
754:  A plot is also a narrative of events, the emphasis falling on causality.
762:  Narracja jest więc również opowieścią o wydarzeniach, ale z akcentem na ich kausalność, czyli przyczynowo-skutkowość.
769:  The king died and then the queen died is a story.
774:  The king died and then the queen died out of grief is a plot.
780:  Król umarł i potem królowa umarła to wydarzenia, to opowieść.
786:  The king died and the queen died of grief is a plot.
790:  To z kolei jest tożsame ze zdaniem król umarł.
796:  Królowa umarła z rozpaczy za nim.
800:  I jest to narracja.
801:  Czy możecie mi wyjaśnić, w jaki sposób przepisuje się to na zdanie umarł mąż, a potem umarła żona?
809:  I w jaki sposób słowo relacja oznacza narrację, a fikcja fabułę?
822:  He, he, he, he, he...
826:  Tzn.
827:  bingo!
828:  Olga Tokarczuk popełniła malutki błąd.
832:  Być może gdyby stosowała się do reguł sztuki i jak cytuje coś, to no właśnie, nie parafrazowała, tylko może patrzyła to przypisem, to wówczas nie byłoby takiego problemu.
843:  Ale wiecie na czym polega problem?
845:  Olga Tokarczuk mianowicie przemawia tutaj z pozycji autorytetu.
849:  I niestety w momencie, w którym się przemawia z pozycji autorytetu, to bardzo często takie szczegóły jak np.
856:  Szanowanie czytelnika i jego zdolności intelektualnych i oddanie mu pewnych narzędzi, żeby mógł zweryfikować to, co my głosimy, to jest wtedy dość niepożądane.
867:  Po czym się poznaje prawdziwy autorytet?
869:  Właśnie po tym, że coś takiego robi.
870:  Właśnie po tym, że się nie wymądrza dla samego wymądrzania, tylko powtarza, ja się mogę mylić.
879:  Nie muszę mieć zawsze racji.
881:  I nawiasem mówiąc, to się odnosi również do tego, co ja tutaj mówię.
884:  W całym cyklu dla każdego coś przykrego.
886:  Dlatego zawsze lubię złośliwe komentarze, które wytykałem i że się pomyliłem.
890:  Tak!
891:  Tak należy robić.
892:  Jest to słuszne.
893:  Natomiast ja, jak słyszę tego rodzaju arystokratyczne pienia na temat tego, że o, tu jest literatura, ono...
902:  Umiera i cywilizacja upada, bo są internety i gry wideo.
906:  A potem widzę, jak ta sama pisarka, ta sama arystokratka nie oddaje sprawiedliwości sztuce pisarskiej, w której sama wzrastała, to otwiera mi się gilotyna w kieszeni.
922:  Wracając zatem do cudownego eseju i mowy noblowskiej Olgi Tokarczuk, który absolutnie powinien być czytany we wszystkich szkołach.
931:  Czytamy dalej.
932:  Nie ma już potrzeby prowadzić dziennika podchórzy.
936:  Kiedy można fotografować, to to
941:  Instagram, Boże drogi, Instagram wszystko zepsuł, jak tam, że jest Artstagram i że jest sztuka na Instagramie, to jest nieważne, ale on wszystko zepsuł, prawda?
951:  Bo teraz można fotografować komórką, a nie tak wcześniej, takim aparatem za takie minimum 6 tysięcy, jeszcze obiektyw do tego za 2,5 tysięcy.
960:  wtedy jest dobre zdjęcie i dobra sztuka.
962:  A ewentualnie możemy też rozsiąść się z paletą i malować olejnie.
966:  To też kosztuje jakieś paręset do paru tysięcy złotych, ale na pewno jest to lepsze niż cyknięcie fotki telefonem, który spłacamy stówką miesięcznie za abonament.
978:  I wysyłać te fotografie za pomocą... Coś mi śmierdzi tutaj.
983:  Portali społecznościowych w świat.
985:  To te portale.
986:  Zaraz i każdemu.
987:  Nie ma potrzeby pisać list
993:  skoro można łatwiej zadzwonić.
995:  Po co czytać grube powieści, skoro można zanurzyć się w serialu?
1001:  Zamiast wyjść za miasto, na miasto, żeby rozerwać się z przyjaciółmi, lepiej zagrać w grę.
1013:  Sięgnąć w autobiografię?
1015:  Nie ma sensu, skoro śledzę życie celebhejtów na Instagramie i wiem o nich wszystko.
1026:  Jak mówię, a jak mówię wszystkim, że jest opozycja cały czas kształtowana między tak rozumianą, karykaturalnie, jak to robi Tokarczuk, literaturą, a nowymi mediami, serialami i grami wideo,
1042:  To słyszę, Krzysztof, ty przesadzasz, ty się czepiasz, ty jakiś spisek wężysz.
1048:  Nie, nie, nie wężę żadnego spisku.
1050:  Olga Tokarczuk wykładała w studium literacko-artystycznym na Wydziale Polonistyki UJ.
1054:  Everything is connected, everything is connected.
1058:  Dlaczego?
1059:  Dlatego, że to jest jedna formacja światopoglądowa, nie dlatego, że Krzysztof węszy spisek, tylko dlatego, że ludzie są kształceni w określonym duchu, że wpierw szkoła im tłucze do głowy, że nie wolno używać smartfonów, mimo że później wszyscy używają smartfonów i że można byłoby jakimś cudem dokooptować smartfony do edukacji.
1077:  Potem szkoła nie mówi nic o grach wideo, one nie istnieją i o serialach nowej generacji, nikt nic o tym nie mówi.
1084:  Nawet filmy, jeżeli jakieś są, to wiadomo, raczej Andrzej Szkoły pójdą, Wajda króluje, ale nie inne.
1090:  I potem studia polonistyczne dla tych nieszczęśników, którzy się na to zdecydowali, one utrwalają tego rodzaju stereotypy i to jest samosprawdzająca się przepowiednia i pętla, z której się nie wychodzi.
1102:  No chyba, że się właśnie wychodzi i dostaje się Nagrodę Nobla.
1105:  Dlaczego się dostaje Nagrodę Nobla?
1106:  O, mógł ktoś mu powiedzieć, Krzysztof 2003.
1110:  Może to jest dlatego, że Olga Tokarczuk wybitnie pisze.
1113:  No a jeżeli chodzi o to wybitne pisanie, to też bym bardzo ostrożny, tak a propos tego cytatu z Forstera.
1118:  Gdyby mi się chciało, a mi się strasznie nie chce, to chętnie bym posprawdzał inne te zapożyczenia, ale rozumiem, to jest wtedy fikcja, nieprawda, a fikcję literacką można tworzyć.
1127:  Widzicie, to jest samosprawdzająca się przepowiednia cały czas i pełna immunizacja.
1131:  No, w każdym razie zmierzam do tego, że
1133:  To wszystko jest strasznie toksyczne.
1136:  To znaczy, ja nie widzę powodu, dla którego w mowie noblowskiej, która powinna być naprawdę takim wydarzeniem wiekopomnym w twórczości każdego pisarza.
1144:  I to mówię bez ironii, wbrew pozorom.
1147:  Myślę, że to było jedno z najważniejszych wydarzeń w nudnym życiu Olgi Tokarczuk.
1151:  Na pewno.
1152:  I zdumiewa mnie to, że wykorzystała ten moment, kiedy mogła...
1158:  Zarazić pięknem literatury.
1160:  Kiedy mogła rzeczywiście pokazać czułość narratora.
1163:  Kiedy mogła udowodnić, że swoją literaturą stoi po stronie słabszych.
1169:  Stoi po stronie ludzi, którzy borykają się z problemami.
1173:  Którzy uciekają do innych światów.
1175:  Uciekamy do światów seriali, do światów fantasy, do światów gier wideo.
1181:  No właśnie uciekają.
1183:  Dlaczego?
1183:  Dlatego, że nie zgadzają się na tę rzeczywistość, którą też krytykuje Tokarczuk.
1188:  Nie zgadzają się na szary, beznamiętny świat wypełniony politykierstwem, załatwiactwem i wyścigiem szczurów.
1200:  Chcemy odetchnąć w literaturze, w serialach, w grach wideo, w filmach.
1205:  Ale Olzy Tokarczuk nie chodzi o to, żeby promować sztukę, żeby zarażać pięknem literatury.
1212:  Jej chodzi o to, żeby antagonizować.
1214:  Robi to podświadomie, co gorsza, bo nie mówię, że to jest intencjonalne.
1218:  Robi to dlatego, że została tego nauczona, że nie wychodzi poza pudełko, w którym się znalazła i uważa, że owszem,
1229:  kwestii uchodźców, czy jakiejkolwiek innej palącej, osób homoseksualnych, LGBT, to tak, tutaj absolutnie szacunek jest wskazany, natomiast wobec graczy, czy np.
1242:  widzów seriali już nie.
1243:  To jest absurdalne, jak na to spojrzycie i też pokazuje kawiorowość polskiej lewicy, do czego zawsze będę nawiązywał.
1251:  Ja jestem po stronie opowiadania się za szacunkiem dla wszystkich ludzi.
1255:  I nie stygmatyzowaniem, nie piętnowaniem tego.
1259:  I zaraz zobaczymy w drugiej części tego, pewnie to będzie bardzo długi film, dlaczego tak właśnie dzieli się społeczeństwo i dlaczego się dzieli kulturę na kulturę wysoką i kulturę niską.
1273:  W jakim celu to jest robione?
1276:  No otóż, moi drodzy, w bardzo prostym celu.
1279:  Widział Krzysztof przechodząc do rzeczonej drugiej części filmu, którą właśnie zapowiedział.
1285:  Mianowicie jest to zrobione w celu klasowym, tworzenia podziału klasowego.
1289:  Jeżeli mi nie wierzycie, to możecie sięgnąć do książki, która była napisana w latach osiemdziesiątych XX wieku.
1298:  Mianowicie do książki Johna Fiskego pod tytułem Understanding Popular Culture.
1303:  I w książce Żona Fiskiego, pod tym, że już czytułem, w rozdziale Popiel o tekst czytamy coś takiego.
1309:  Będę tłumaczył symultanicznie.
1312:  Nie uważam się w tym momencie za esencjalistę, jeżeli chodzi o podejście do literatury, ale wskazuję jedynie na sposób, w jaki jest nauczana i w jaki krąży w naszym społeczeństwie.
1323:  Jej różnica od kultury popularnej leży raczej we sposobach, w jakich jest wykorzystywana w społeczeństwie, niż w tekstach, które ją reprezentują.
1334:  Ci krytycy...
1336:  którzy uważają, że Szekspir ongiś był częścią popularnej kultury, ale już teraz nie jest, wyciągają całkowicie sprzeczny wniosek ze swoich obserwacji.
1348:  Wniosek ten powinien brzmieć raczej, że nie tyle
1354:  popularne upodobania XX wieku w jakiś sposób zdegradowały się względem tych z wieku XVII, lecz raczej, że instytucjonalizacja literatury uczyniła Szekspira częścią sztuki wysokiej.
1371:  nadała mu właściwe znaczenia i umieściła w takim małym, wąskim zakresie, gdzie są drogie i pretensjonalne teatry i gdzie przede wszystkim ta jego twórczość staje się obiektem badań, ale również egzaminów.
1394:  A więc tak jest ona przedstawiana byci
1399:  którzy ją interpretują właściwie, otrzymywali wyższe noty i zarazem stawali się kimś lepszym, świetlejszym niż wszyscy ci, których odczytania są mniej doniosłe.
1417:  No i na koniec, odwołując się do Bordier, Fiske dodaje jeszcze, jak tekst może być popularny w momencie, w którym jest wykorzystywany do tego, żeby dyskryminować jednostki i wyuczać zarazem ludzi, by zachowywali się zgodnie z upodobaniami klasy, do której nie przynależą i także wyznawali odmienne uczucia od tych, które są właściwe dla ich klasy społecznej.
1447:  tu się pojawia smutna prawda.
1452:  To znaczy ten podział, który jest na kulturę popularną i kulturę wysoką, zauważcie, on niczemu nie służy.
1461:  Ponad to, żeby jedni czuli się lepiej, a drudzy czuli się gorzej, nie ma żadnego innego uzasadnienia dla istnienia tego podziału.
1471:  Nie jest tak, że...
1474:  Teksty kultury wysokiej są lepsze pod jakimś względem, czy komunikują nieprzemijalne wartości, a teksty kultury popularnej nie.
1482:  Wręcz przeciwnie, jedna z najpopularniejszych książek ever napisanych, czyli i Harry Potter i Władca Pierścieni, to jest literatura fantasy, której rdzeniem jest komunikowanie uniwersalnych wartości.
1495:  ponieważ literatura fantasy jest retropolowana w przeszłość, czyli jest przenoszona w wyobrażony świat przeszłości, więc zawsze będzie ten świat aktualny.
1505:  Natomiast interwencyjna społecznie proza to karczuk osadzona w naszej rzeczywistości, w większości przypadków w jej utworach,
1512:  No zdezaktualizuje się, bo w którymś momencie te problemy polityczne, które ona porusza, przestaną być sensowne.
1519:  Jej mowa noblowska przestanie być znacząca, tak samo jak przestały być znaczące teksty legionu jej poprzedników, pisarzy, myślicieli, eseistów, których dzisiaj już nie czytamy.
1530:  Z bardzo prostego powodu, bo były one partykularne, a nie uniwersalne.
1535:  Były dostosowane do określonego czasu w historii, a nie do czasu uniwersalnego.
1541:  A zatem za każdym razem jak słyszycie sformułowanie wysokoartystyczny, albo że coś jest takie pulpowe, masowe, niszowe, to niech się wam zapali czerwona lampka, a następnie otworzy ta gilotyna w kieszeni, bo macie do czynienia z arystokratą intelektualnym.
1558:  i czas tę arystokrację roznieść na pikach i zacząć uświadamiać ludziom, że krzywdzą w ten sposób, tak samo jak krzywdzi się osoby nieheteronormatywne narzucaniem im heteronormy, tak samo jak krzywdzi się osoby o innym kolorze skóry stwierdzeniem, że no ale biały kolor skóry to jest taki domyślny i przeźroczysty i tak samo jak w ogóle krzywdzi się ludzi w momencie, w których się
1584:  wsadza ich do jakichś szkatułek i pudełek, tak samo krzywdzi się wszystkich fanów gier wideo, seriali i podobnych sztuk traktowaniem ich cały czas per nogam, że oni są ci gorsi, bo nie czytają literatury.
1599:  I paradoksalnie usłyszałem ostatnio taką opinię ze strony jednego z nauczycieli, że no tak, Krzysztof to tak tylko ciągle o tych grach komputerowych, a jednak tutaj na tle książek przemawia, aaa, jednak coś jest na rzeczy, tak?
1614:  Nie, nie jest nic na rzeczy, po prostu większość gier jest na platformie Steam.
1618:  Nie ma mi jak zaprezentować cholera jazd, tak chciałbym.
1621:  A poza tym, jak wyraźnie się przyjrzeć, to otaczam się raczej fantastyką.
1625:  A zatem tym, czym Olga Tokarczuk gardzi, i wiemy to z któregoś z pierwszych akapitów z jej mowy doblowskiej, gdzie się odwołała do literatury fantasy i science fiction z błędem ortograficznym, jako do literatury gatunkowej, czyli tzw.
1638:  genre fiction fantasy.
1639:  która dla niezorientowanych w podziałach tego rodzaju anglosaskich jest traktowana opozycyjnie względem... No?
1646:  No czego?
1647:  No czego?
1647:  Literature.
1648:  Jest podział literature i fiction.
1650:  Fiction to jest czytadło, literature to jest literatura, która dostaje nagrody.
1655:  Nawiasem mówiąc, wyśmiewał się z tego Antoine Compagnon w Demonie teorii, mówiąc o tym, że nawet w księgarniach francuskich, do których chodzi, właśnie widzi tego rodzaju podział i on go niezmiennie bawi.
1665:  Natomiast to nie jest zabawny podział w momencie, w którym jest wykorzystywany jako broń polityczna.
1670:  I jeszcze jedną rzecz wytłumaczę, jeżeli chodzi o ten podział klasowy.
1674:  Zauważcie, jaka jest średnia cena książki, zwłaszcza dobrej książki, grubej książki i...
1684:  Cenę abonamentu na Netflixa.
1686:  Zwłaszcza dzielonego.
1688:  Co jest tańsze?
1689:  Co jest bardziej affordable, jak mawiały Anglosasi?
1691:  Na co nas stać?
1693:  Na co stać przeciętnego konsumenta kultury?
1695:  Na co stać przeciętnego pracownika i człowieka?
1700:  Bilet do opery?
1703:  Bilet na festiwal Misteria Paschalia?
1705:  Karnet może za 1300 złotych?
1708:  Krakowski tyle kosztuje?
1710:  Czy może stać naczyń na ósemkę czy dwunastkę za Netflixa w podziale?
1717:  Albo za podobny serwis streamingowy?
1722:  Podział kultury wysokiej i popularnej, czy podział kultury raczej na takie dwa rejestry, czy trzy rejestry nawet, jeżeli mamy wysoką, popularną i masową, jest podziałem klasowym.
1734:  I zauważcie, że jak każdy tego rodzaju podział formułowany jest odgórnie.
1740:  To znaczy nikt z perspektywy przeciętnego widza seriali, gracza gier wideo, czytelnika fantastyki nie będzie biczował się za to, że nie czyta wybitnej literatury i nie ogląda, nie wiem, wybitnych filmów, bo chyba te dwie sztuki, no i jeszcze oczywiście wybitne spektakle teatralne i operowe, bo w zasadzie te sztuki są traktowane jako część kultury wysokoartystycznej.
1765:  Nie mam takiej potrzeby, ponieważ każdy widz seriali, czytelnik fantastyki, gracz w gry wideo wie, że są arcydzieła w tych nurtach.
1773:  I przepraszam najmocniej, Olga Tokarczuk nie będzie lepsza niż Mr. Robot.
1778:  Olga Tokarczuk nie będzie lepsza niż Disco Elysium, czy Papers, Please, czy Bioshock Infinite.
1788:  I Olga Tokarczuk wreszcie nie będzie lepsza niż Margaret Atwood na przykład, albo Ursula Le Guin, albo Neil Gaiman.
1797:  Przykro mi.
1799:  Tylko, że problem polega na tym, że ludzie, którzy zdają sobie sprawę, że nie są lepsi, lubią sobie podbijać bębeny.
1806:  I na temat tego podbicia bębenka ostatni, obiecuję, ostatni tekst, który dla Was dzisiaj przygotowałem, pochodzący mianowicie z książki Filozofia sztuki masowej Noela Carola.
1817:  I czytamy tam rzecz następującą.
1820:  W istocie rzeczy w podziale kultury na wysoką i popularną chodzi o różnice klasowe.
1826:  Przepraszam za spoiler, mały.
1830:  Tak zwana sztuka wysoka to sztuka konsumowana przez wyższe klasy społeczne.
1834:  Konsumpcja ta jest sygnałem ich przynależności do wyższych sfer.
1838:  Sztukę masową natomiast czy popularną konsumują pozostali i ta konsumpcja również jest oznaką ich afiliacji klasowej.
1844:  Mówiąc krótko, dla zwolenników teorii eliminacji twór znany pod nazwą sztuki masowej czy popularnej nie istnieje.
1851:  Jedynie pewne przedmioty odgrywają rolę znaczników i stymulatorów podziałów i tożsamości klasowej.
1857:  Teorię tę można nazwać eliminacyjną, ponieważ utrzymuje ona, że w rzeczywistości nic takiego jak sztuka masowa czy popularna nie istnieje, można jedynie mówić o odgrywanej przez nią roli społecznej.
1868:  I to jest, moi drodzy, najważniejsza rzecz, z którą chciałbym, żebyście wyszli z tego odcinka.
1874:  Sztuka ma sens, jeżeli definiujemy ją w stosunku do roli jaką wypełnia, do funkcji jaką ma.
1880:  Ma mieć, może tak jak dla mnie, funkcję eskapistyczną i emocjonalną.
1884:  Potrafię się rozpłakać słuchając muzyki, przeżywam bardzo filmy, zatapiam się w lekturze na długie godziny i nie zdaję sobie nagle sprawy, że ona się skończyła.
1893:  I potrafię grać w gry wideo 6, 8 godzin, 12, 14 bez przerwy.
1898:  Najdłużej było kilkadziesiąt godzin.
1901:  Ale to inna historia, opowiem ją innym razem.
1904:  Bo mój styl odbioru jest imersywny.
1907:  Lubię się zanurzać w sztuce.
