SZKOŁA W CHMURZE po maturze | Dla każdego coś przykrego #47
🔗 https://www.youtube.com/watch?v=kj-9yJdTVHM

0:  Poniedziałek, piąta rano, autobusu nie zastano.
348:  Bo w tym momencie mamy konkretne dane dotyczące bardzo podstawowej odpowiedzi na bardzo podstawowe pytanie.
356:  Tak, da się zdać maturę, jeśli nie będziecie chodzili do tradycyjnie pojętej szkoły.
363:  Zdać, nie mówię wybitnie zdać, mówię, że da się, tak?
368:  Nie wikłamy się w oceny, bo dostajemy suche dane.
371:  Wiemy już, że można edukować zdalnie i wiemy już, że wszyscy, którzy mówili, ho, ho, ho, Krzysztof, tak mówisz o tym edukacji zdalnej, poczekajmy na matury, he, he, he, matury nam udowodnią.
384:  Co udowodniły?
386:  Nic nie udowodniły, a wiecie dlaczego nic nie udowodniły?
389:  Bo ten system jest skompromitowany i nie jest w stanie wytworzyć narzędzi, które cokolwiek udowodnią.
395:  Bo te narzędzia są wadliwe i były od lat wadliwe, ale nawet one pokazują, że nie ma żadnej różnicy między edukacją zdalną a edukacją stacjonar... Nie, przepraszam.
408:  Przecież w ramach Szkoły w Chmurze czy jakiegokolwiek innego rozwiązania, gdzie ludzie po prostu uczą się w domu i muszą przyswoić
416:  Podstawę programową, żeby zdać matury.
430:  To nie dostają w pakiecie mobbingu, nikt im nie władowuje głowy do kibla, żeby się napili.
439:  Tak, w ramach przerwy nikt ich nie kopie, nie ma bullingu, nie ma śliny starszych kolegów w dozownikach na mydło, bo przecież dezynfekcja, nie ma rozlatujących się toalet, nie ma śmierdzących klepek parkietu, na których musimy ćwiczyć sporty siłowe, bo oczywiście nie można normalnie zrobić zajęć wychowania fizycznego, tylko trzeba robić wychowanie sportowe.
461:  A skoro jesteśmy przy sporcie, nikt nas nie wyśmiewał.
465:  Gruby na bramkę!
467:  albo nikt nam nie mówi, że mamy grać w siatkówkę, a chcemy grać w nogę i odwrotnie, albo nie ma takiej sytuacji, że na przykład skłóca nauczyciel ze sobą różnych uczniów, bo wiecie, socjalizacja,
481:  Ludzie muszą się socjalizować, więc skłóćmy ich na wszelki wypadek.
485:  Nikt was nie wyciągnie na środek klasy i nie będzie stygmatyzował przed wszystkimi, żebyście potem przez całe życie się porównywali.
492:  Swoją drogą, był o tym niedawno odcinek.
494:  Polecam, jeżeli zmagacie się z porównywaniem i cały czas nie możecie wyprzeć tej traumy.
500:  Nikt wam nie będzie mówić, że dostajecie...
504:  MINUSZ zachowania, ponieważ macie kolczyki albo tatuaże.
508:  Nikt was nie będzie dyskryminował na tle seksualnym.
511:  Mam kontynuować?
513:  Z bardzo prostego powodu, to znaczy szkoła w murze, jak każda usługa, ma dostarczyć produkt.
518:  Tym produktem jest wiedza, wiedza następnie w najnudniejszy możliwy sposób jest, no cóż, sprawdzana podczas egzaminu państwowego, więc proces się nie różni.
528:  Za każdym razem jego końcówka jest taka sama i teraz już nikt nie może powiedzieć, że no nie mamy dowodu, że to działa, no znaczy mamy dowód, że to działa.
537:  Jak działa, zostawmy ekspertom, zostawmy egzaminatorom, zostawmy nauczycielom, ale działa.
544:  I to jest kluczowe.
546:  Tylko, że właśnie w pakiecie nie dostajemy tych wszystkich negatywnych aspektów nauczania, o których cały czas mówię na tym kanale, o których wspominają psychologowie, grzmiąc na ile się tylko da, że nie można XIX-wiecznych metod nauczania i kontroli ludzi przeszczepiać 1 do 1 do XXI-wiecznych, ponieważ one się skompromitowały już w wieku XX, a od XX wieku do XXI mieliśmy większy postęp technologiczny niż...
571:  w całych dziejach naszej cywilizacji, więc nie da się czegoś takiego robić, ale moi drodzy, dobrze wiecie.
577:  Że to nie jest koniec, prawda?
580:  Że przecież wszyscy ci nauczyciele, którzy mówili, że nauczanie w murze to tylko szkoła ze sztandarem, pocztem sztandarowym dyżurnym, którego władza zamyka się na tym, że może wybrać kolor gąbki, którą będzie mazać tablicę przewodniczącym szkoły, którego władza zasadza się na tym, że może wyznaczyć dyżurnego.
601:  Och, co się pytacie?
603:  Cała ta...
604:  ceremoniał, który mamy, te wszystkie akademie i tak dalej, to wszystko tak właśnie, to jest bardzo dobre, zyskują sojusznika.
611:  Wiecie, kto jest sojusznikiem wszystkich myślących tak nauczycieli?
615:  Nie zgadnijcie, kto jest sojusznikiem wszystkich myślących tak nauczycieli.
618:  Ano...
621:  A, a, magister niełuki i szkodnictwa wyższego, profesor, doktor, habilitowany inżynier, ksiądz Przemysław Czarnek, nie inaczej przecież, który mówi, że chcemy ograniczyć obchody.
635:  wchodzenie obowiązku szkolnego, które mają być podobno tego rodzaju rozwiązania, jak stosuje między innymi szkoła w Murze.
642:  Pamiętajmy, że to jest tylko jedna z firm, ale niestety ona stała się w tym momencie synonimem edukacji domowej, tak samo jak nauczanie zdalne stało się synonimem nauczania przez kiepskiej jakości kamerkę i chrzęszczący mikrofon, ponieważ jeden kieps drugim nie jest w stanie wydać 50 złotych na to, żeby mieć lepszy sprzęt.
660:  Tak zaraz zacznie się ryk, że to przez niskie pensje nauczycieli
663:  Ale zanim zacznie się ten ryk, że to jest przez niskie pensje nauczycieli, to dam, że dokładnie ten sam problem mieli profesorowie zarabiający 7 i 9 tysięcy netto na rękę.
671:  Więc ewidentnie nie jest to przez niskie pensje nauczycieli, a kontrargument oddalony.
675:  A zatem kontynuując, obchodzenie tegoż obowiązku szkolnego ma polegać na tym, że 42 tysiące uczniów, którzy w tym momencie są w edukacji domowej...
684:  bardzo zresztą skądinąd z tej edukacji domowej zadowoleni, no mają właśnie uczestniczyć, jak to czytamy, w patologii, która wyrosła na tej edukacji, ponieważ korzystając z różnego rodzaju przepisów edukacji domowej, stworzono tak zwane szkoły w chmurze, dude jest jedna, które mają po kilkanaście tysięcy uczniów, z których wielu, zwłaszcza w szkołach ponadpodstawowych, omija obowiązek szkolny, korzystając z przepisów edukacji domowej.
709:  I rozwiązaniem tego problemu jest oczywiście stacjonarne przeprowadzenie egzaminów klasyfikacyjnych ze zgłoszeniem do kuratorium oświaty, aby mogło ono zaplanować wizytę oraz rejonizacja.
717:  Co jest zabawne, właśnie szkoła w Burze, jak mi donoszono, miała wizytację z kuratorium w trybie stałym i ciągłym, więc mimo to okazało się, że wszystko byli w stanie zrobić.
727:  Ale radłbym zachęcić was do dyskusji, refleksji, jak to się dzieje, że ci nauczyciele, którzy uważają, że wszystkie problemy w szkoły biorą się z tego, że mieliśmy ministrę Zalewską, a następnie ministra Czarnka.
743:  Jak to jest, że oni mówią jednym głosem?
745:  Czyżby było tak, jak mówi Krzysztof, że problem nie leży w tym, że jest jeden, drugi, trzeci minister, bo od ministra Handkego w górę jest cały czas to samo, tylko zmieniają się nazwy przedmiotów.
755:  Mamy raz przyroda, raz biologię.
758:  tylko może problem leży w tym, że ktoś tego ministra wykształcił.
762:  Ktoś temu ministrowi dał magistra.
766:  Ktoś temu ministrowi dał wcześniej dyplom licencjata.
770:  Ktoś temu ministrowi dał profesurę, a wcześniej doktorat.
773:  Może w tym leży problem.
775:  Może problem leży w środowisku, które ma bardzo podobne poglądy, jeżeli chodzi o technologię, jeżeli chodzi o
780:  wykorzystanie, nie wiem, smartfonów w edukacji i tak dalej i tak dalej, jeżeli chodzi właśnie o zdalność nauczania, jeżeli chodzi o wszystkie rzeczy związane z internetem i kulturą współczesną, fantastyką i grami wideo.
790:  To jest taki pakiet, po którym możemy rozpoznać, czy ktoś mówiąc językiem z Ani z Zielonego Wzgórza zna Józefa czy nie zna Józefa.
797:  nie znają Józefa, nie znają całej współczesnej kultury, jej odniesień, nie potrafią się przemieszczać sprawnie w sferze nawet memetycznej, czyli języku, którym się posługujemy, nie mówię w tym momencie o slangu, tylko mówię o języku kultury, języku seriali, które wyznacza, nie wiem, sukcesja Gra o Tron, Severance, filmów, które, nie wiem, od Marvela po Gwiezdne Wojny, a skończywszy na grach wideo od Bioshocka po Dark Souls, to jest język nieznany tym ludziom.
828:  I to jest charakterystyczna ich cecha.
830:  Dlaczego właśnie mówią jednym głosem?
832:  I dlatego również bardzo często środowiska nauczycielskie, czy tak zwane reformatorskie, ale wiecie, takie bardziej lipkowe reformatorskie, będą mówić, że tak, że problem jest taki, że mamy niewłaściwe komisje, trzeba zmienić rząd, wszystko się zmieni.
847:  A i nową ustawę najlepiej.
848:  Tak, i pamiętajcie, żeby w tej ustawie zapisać, ważne, że przyroda ma się nazywać biologia od tego momentu.
858:  to rozwiąże wszystkie problemy, ale pamiętajcie,
862:  Przyroda, nie biologia.
864:  Jak nazwiemy to inaczej, będzie wszystko w porządku.
867:  I to jest główny kłopot, który mamy i który będziemy mieć absolutnie.
870:  Oczywiście, żeby nie było też, dla uczciwości narracji zaznaczmy, że Szkoła w Chmurze sama w sobie również oczywiście ma swoich krytyków i co więcej, ta krytyka jest całkowicie uzasadniona.
881:  Chociażby z tego względu, że ci z pasjonatów, którzy poszli tam uczyć, bo też nie domyślacie się zapewne, że to nie był taki przeciętny właśnie nauczyciel technofob,
890:  bo nie byłby w stanie na platformie zdalnej się w ogóle poruszać, mówili, że to się zrobił taki ośrodek egzaminacyjny, czy centrum egzaminacyjne, to jest cały artykuł na ten temat, donoszący właśnie, że w którymś momencie rozwiązano 200 umów z pracownikami, że były problemy z subwencją, przetasowania różnego autorementu, no i to doprowadziło do tego, że ta szczytna idea, no niestety zaczęła się rozmijać na drobne, to znaczy nauczyciele w zasadzie byli
916:  praktycznie zatrudnieni włącznie do egzaminowania uczniów, praca nie wymagała przygotowania do prowadzenia lekcji, nie była kreatywna, odtwórcza, polegała na zadawaniu pytań i dawaniu uczniom feedbacku.
926:  Nawiasem mówiąc, dawanie feedbacku to jest bardzo kreatywna praca, więc ewidentnie ktoś tutaj nie wiedział, jak to robić dobrze.
933:  Co mówię jako certyfikowany tutor, czyli ktoś, kto właśnie pracuje jeden na jeden z człowiekiem i jego podstawą metodą pracy jest to, żeby dawać komuś feedback, informację zwrotną, która co więcej jest o wiele trudniejsza, jeżeli chcecie sformułować krytykę, niż jeżeli chcecie sformułować jakąś, no nie wiem, coachową radę, czy przygotować człowieka do radzenia sobie z jakimiś mniej kłopotliwymi sprawami.
955:  No ale to osobna sprawa, więc wracając do tego tekstu, problem jest cały czas taki, że mamy środowisko egzaminacyjne, które to środowisko egzaminacyjne jednak, zauważcie, również powstało po coś.
966:  To znaczy ono powstało po to, żeby uczniów przygotowywać do egzaminów państwowych.
971:  I tutaj dochodzimy do kluczałego problemu.
973:  To znaczy system kompromituje się dlatego, że są egzaminy państwowe, którym nauczyciele w którymś momencie zaczynają w ogóle nie ufać.
981:  Bo w tym momencie jest narracja bardzo ciekawa,
984:  przyglądam się wypowiedziom o egzaminach ósmoklasisty i maturalnych, że konsensus jest taki, że na pewno są złe, ale nie wiadomo w którą stronę.
992:  To znaczy, jest dosłownie jeden człowiek napisał w polityce dwa artykuły, obydwa niby o tym samym, ale mające zupełnie inną argumentację.
1002:  Więc Dariusz Chętkowski pisze, że egzamin ósmoklasisty w Polski na trójkę, matematyka na dwójkę to jest alarm dla szkół, że jest problem, ponieważ generalnie rzecz biorąc z Centralnej Komisji Egzaminacyjnej ręka mękę, my jednak
1013:  w każdej instytucji publicznej jest swoją drogą, no i wyniki są niskie, jest problem straszny, bo wszyscy by dostali ocenę dopuszczającą z matematyki i troszeczkę lepiej z polskiego, jest z tymi punkcikami, procentzikami, bo przecież wiadomo, że w ten sposób należy obiektywnie ludzi oceniać.
1031:  Aha, zaraz, zaraz mi powiecie cokolwiek na temat obiektywnego, pamiętajcie, pamiętajcie, aha, obiektywnie, obiektywnie oceniamy, czyli to jest prawda, tak?
1040:  Więc jeżeli obiektywnie oceniamy i te obiektywne oceny działają, i punkciki, i procenciki wasze działają, to w takim razie musimy uznać wyniki tych matur, które były w Szkole Chmurza.
1050:  Jeżeli jest to, jak mówi Krzysztof, i punkciki, i procenciki nie działają, to znaczy, że i jedno, i drugie, i trzecie jest do zmiany.
1057:  I może właśnie będzie trzeba wykorzystać to, co w szkole w murze zostało poniekąd zaprzepaszczone, to znaczy właśnie ten indywidualny i tutorski kontakt z uczniem.
1066:  Być może za tym powinna pójść likwidacja egzaminów i pozostawienie może na przykład uczelniom decyzji o tym, kogo chcą przyjmować, bo w tym momencie jest abstrakcyjna sytuacja taka, że matura w zasadzie służy jednemu.
1077:  To znaczy służy temu, żebyście mieli...
1080:  Papier, który daje wam wejście na studia.
1082:  I teraz wyobraźcie sobie analogiczną sytuację, że macie na przykład maturę z przedsiębiorczości, dostajecie automatycznie stanowisko Chief Financial Officera w dowolnej firmie.
1092:  No bo że znasz na finansach i przedsiębiorczości, no to jesteś CFO w naszej firmie.
1097:  No bo jest matura.
1098:  No to w tym momencie tak funkcjonują uczelnie.
1101:  To znaczy bez gadania przyjmują na wiarę jakiś procencik, który jest na dyplomie, nic nie znaczy.
1108:  Przypominam, że ja miałem 20 procencików z matury próbnej z polskiego i mam równocześnie doktorat przedmiotowy z dyscypliny.
1115:  prawa dla systemu, więc my musimy to przyjąć bez żadnego gadania i co więcej, jeżeli komuś na przykład powinie się nagać na maturze, to nawet nie ma możliwości dostania się na uczelnię na zasadzie takiej, że po prostu okej, przychodzę, egzaminujcie mnie, sprawdźcie co wiem.
1129:  Nie ma takiej procedury.
1130:  Więc doprowadzono do tego rodzaju absurdu i potrzebny był mi ten kontekst, żebyście wiedzieli, dlaczego mówię, że należy matury i egzaminy zlikwidować, ponieważ absolutnie do niczego nie prowadzą, poza rankingozą, poza proliferacją, czyli rozmnożeniem szkół wyższych, w Polsce jest ponad 350 uniwersytetów w sumie.
1148:  I oczywiście poza całym czas tworzeniem tego popytu niepotrzebnego zupełnie na kolejne placówki oświatowe i równocześnie kolejne dyplomy, podczas gdy naprawdę nie wszyscy potrzebują nawet wykształcenia średniego.
1165:  Jeszcze jest dużo zawodów, gdzie wystarczy wykształcenie podstawowe, zwłaszcza teraz mamy 8 klas szkoły podstawowej, więc sporo.
1172:  Potem można spokojnie iść, już zakładać jakąś firmę do zawodu, albo można iść zupełnie w innym kierunku, w stronę rzemiosła.
1178:  Jest mnóstwo różnych opcji, które można realizować i naprawdę nie musi być tak, że 60% Polaków, tak jak głoszą statystyki, ma stopnie naukowe magistrów i następnie jeszcze zawody ściśle mówiąc magistrów.
1190:  I potem jeszcze do tego wszystkiego idzie na studia, żeby, o, jeszcze chce hapsnąć jakiś stopień naukowy, jak na przykład doktorat, nie dajcie bogowie.
1198:  Więc to tylko pokazuje, gdzie zaszliśmy i gdzie jest problem.
1201:  Ale wiecie, co jest najlepsze?
1202:  Że ta narracja o tym, że jest źle bardzo, że te egzaminy uzmoklasisty, tak, tak, że one źle poszły.
1208:  Ten sam człowiek, ten sam człowiek, Dariusz Chętkowski, pisze drugi artykuł.
1213:  Wyniki matur dobre jak zagiertyka.
1216:  No nie dogodzisz człowiekowi.
1217:  Z jednej strony są złe egzaminy, z drugiej strony są za dobre matury, za wysokie te wyniki.
1224:  I żeby było śmieszniej, w jednym i drugim przypadku da się zgodzić z tą narracją, to znaczy ona jest wyprowadzona całkowicie sensownie.
1230:  Tutaj z kolei mówi się o tym, że matury nie zaliczył prawie co siódmy.
1235:  abiturient liceum, gdy tymczasem bywały takie momenty, kiedy nie zdawał nawet co trzeci, więc wiecie, tym razem jest tak, że jeżeli mało osób zdało, to znaczy, że dobrze nagle, a nie, że powinno więcej osób dostać dobry ocen.
1248:  Ja nie rozumiem, jak te dwie narracje mogą ze sobą egzystować, ale mam jedno rozwiązanie, to znaczy rozwiązanie brzmi, cokolwiek zrobi jakikolwiek przedstawiciel partii politycznej, który ma inne poglądy niż ja, to źle.
1265:  Tymczasem nauka i edukacja nigdy nie powinny być sprawą jakiejś partykularnej partii politycznej i z nią walki.
1271:  Tak samo jak wyśmiewałem się z tego, że jeżeli ktoś mówi o Oldze, że ohoho, jeżeli ktoś nie czyta jej książek, to znaczy, że jest faszystą albo wyborcą PiSu, to znaczy, że mamy kompletnie poronioną dyskusję o polskiej kulturze.
1287:  Per analogiam, dokładnie tak samo zatem, będzie w odniesieniu do edukacji.
1291:  Jeżeli ktoś sprowadza edukację do tego, iż jeśli ktoś jest za egzaminami, ale akurat za Gierdyka, to znaczy, że coś, to nie rozumie, na czym polega cała ta dyskusja.
1302:  Istotą tej dyskusji jest to, że niezależnie od tego, czy mieliśmy jako ministra oświaty niedoszłego ministranta, czy konia, który mówi, za każdym razem było źle i za każdym razem były proponowane rozwiązania patologiczne.
1315:  Nigdy nie zapomnę, jak jedyną odpowiedzią rzeczonego konia, który mówi na to, że dzieje się źle w polskich gimnazjach było...
1322:  Wprowadźmy mundurki.
1324:  Dawniej ludzie nosili mundurki.
1327:  Nie wiem dlaczego mówię głosem guślarza z Wiedźmina Trzeciego.
1330:  I wtedy, gdy ludzie nosili mundurki, byli grzeczni, to teraz jak wprowadzimy mundurki, to dzieci też będą grzeczne, bo będą nosić mundurki.
1340:  No to była autentycznie jego linia logiczna, rozumowa, znaczy to jest przerażające, to jest mylenie następstwa z przyczynowością, to jest mniej więcej tak, jakbyście spojrzeli na, nie wiem, barierkę w Sopocie, która się tak wygieła i na niej stoi sobie mewa i myślicie,
1358:  Ta mewa musi być strasznie ciężka, jak tak wygieła tę barierkę.
1362:  Przeraża mnie, że o edukacji więc wypowiadają się ludzie, którzy nie łączą kropek i nie łączą faktów i naginają bardzo często narrację do tego, co jest im aktualnie potrzebne.
1371:  Raz pukciki dobre, ponieważ są obiektywne, a innym razem pukciki nie są dobre, ponieważ nie są zgodne z naszymi oczekiwaniami politycznymi, więc tym gorzej dla pukcików.
1382:  I to jest przerażające.
1384:  Skoro pukciki
1385:  Gdziki i egzaminy są dobre, to oznacza to, że ten wynik, od którego zacząłem całą swoją dzisiejszą poddenerwowaną wypowiedź, powinien być jeden do jeden przyjęty jako obowiązujący wzorzec postępowania i powinny być wyciągnięte z tego wnioski, jak z każdych badań naukowych, jakie istnieją.
1400:  Aha, skoro jednak jest możliwe poza systemem nauczanie w taki sposób, żeby można było osiągać dobre wyniki na maturach i egzaminach państwowych, to są dwie opcje.
1412:  Albo robimy nauczanie hybrydowe i eksperymentujemy to, co się w nauce robi z różnymi wariantami, skoro dane nam mówią, że należy eksperymentować,
1420:  Albo będziemy się zachowywać jak właśnie jakiś niedoszły ministrant, który będzie po prostu tylko wierzył w to, co mu pleban powie i poczekamy, aż pleban się wypowie.
1429:  No to wtedy ewentualnie zrobimy to, co nam on rozkaże.
1435:  I tutaj dochodzimy do naczelnego problemu, który ja już widzę, że zarysowuje się.
1439:  Ale Krzysztof...
1441:  Ale Krzysztof, przecież edukacja domowa jest dla osób uprzywilejowanych ekonomicznie.
1450:  Nie każdy ma czas, żeby edukować młodzież w domu.
1455:  No ja rozumiem, że abonament internetu 69,99 miesięcznie, nice.
1462:  To jest bardzo problematyczny wydatek, ponieważ pamiętajmy, że jeszcze trzeba kupować alkohol.
1469:  To jest priorytet wydatkowy w polskich domach.
1471:  I rozumiem to, oczywiście.
1473:  Równocześnie, jeżeli ktoś na przykład, nie wiem, aspiruje do bycia w tych, wiecie, wyższych...
1481:  w percentylach klasy średniej, no to wie, że nie tylko trzeba ten alkohol, ale jeszcze taką, no przynajmniej by przydało się z jedną książkę Andrzeja Stasiuka, no mieć na półce, nie?
1494:  A ewentualnie jakiegoś innego laureata Nike.
1496:  Więc rozumiem, że to są priorytety budżetowe w polskich domach, ale mimo wszystko myślę, że jednak gdzieś tam ten wydatek na internet jest.
1504:  I teraz kluczowa sprawa polega na tym, że rodzice bardzo często, ponieważ wiedzą o technologii nic, gdyż uczeni w polskiej szkole, więc wiecie, błędne koło, nie uczą się sami, to dają dzieciakowi tablet i mówią, baw się.
1521:  A podają internet i mówią, szukaj se.
1524:  No to to jest mniej więcej tak, taki przeciętny kretyn promotor, nie jest w stanie zrobić porządnej pracy redakcyjnej nad pracą dyplomową i pisze sobie komentarz...
1536:  Proszę poprawić błędy.
1539:  Dude, you had one job, tak?
1540:  Że to jest jedna twoja robota, wskaż mi te błędy.
1543:  I to samo w przypadku rodziców.
1545:  Jeżeli chcemy, żeby młodzież, dzieci, wszystko jedno, korzystali sensownie z sieci, czy korzystali z współczesnej kultury, no to trzeba niestety odpracować dupo godziny.
1554:  Ja wiem, że najlepiej byłoby zrobić tak, żeby zrobiwszy se dzieciaka, odstawić go jak worek kartofli do szkoły i niech se tam nim zajmą.
1562:  Tylko problem polega na tym, że to nie jest tak, że szkoła ma obowiązki edukacyjne i wychowawcze.
1567:  Rodzice mają obowiązki edukacyjne i wychowawcze.
1570:  I prawda jest taka, że tak samo lepiej sobie będzie radzić uczeń w szkole tradycyjnej, który dostanie wsparcie od rodziców w postaci korepetycji, w postaci siedzenia wspólnego nad książkami i zadaniami, w postaci wspólnych dyskusji, wychodzenia do kina, rozmowy o sztuce, literaturze i kulturze.
1584:  Tego wszystkiego, krótko mówiąc, co doświadczyłem ja, ze szkoły publicznej nie wyniosłem następnie absolutnie nic.
1591:  Ponad stresu i traumy oczywiście i poczucie takiego w zasadzie w większym stopniu zmarnowanego czasu.
1598:  No i oczywiście zero znajomości, bo fajne znajomości zyskiwałem sobie poza tym środowiskiem, na przykład w środowisku ludzi, którzy się interesowali fantastyką i grami, a którego osobliwie akurat w szkole nie miałem.
1609:  I ja na tym zyskałem i tak samo w szkole w chmurze wyglądało to też analogicznie, to znaczy też bym zyskiwał dzięki moim rodzicom.
1619:  Czyli jak widzicie, problem nie leży w trybie edukacji, problem leży w tym, że uważają rodzice bardzo często, że tryb edukacji stacjonarnej, i dobrze wiecie, że mam rację, jest dobry dlatego, że jadą sobie na tę szychtę do pracy swojej na godzinę ósmą, w związku z powyższym opłaca im się, że szkoły się zaczynają o godzinie siódmej, najlepiej trzydzieści, więc odstawia się ten worek ziemniaków do szkoły, następnie worek ziemniaków sobie o tej piętnastej wróci, albo no może, może ewentualnie się zabierzemy wspólnie,
1647:  I potem worek ziemniaków sobie odpracuje zadania domowe, więc spokój jest, worek ziemniaków sobie siedzi i mamy święty spokój.
1654:  I tak możemy sobie odpocząć wreszcie od worka ziemniaków i od pracy.
1657:  I potem szychta zaczyna się od nowa.
1660:  Więc jeżeli ktoś w ten sposób myśli o wychowaniu dziecka, to najlepiej, żeby go wcześniej nie miał...
1665:  Ale tutaj dochodzimy do dyskusji na temat tego, w jaki sposób w Polsce się planuje rodzinę, więc może tej dyskusji na wszelki wypadek nie otwierajmy, gdyż mam takie wrażenie delikatne, że ostatnimi czasy bardziej o tym decydują kwestie
1682:  sumienia pewnej grupy wyznaniowej, aniżeli kwestie nauki i medycyny.
